VariableName,itemID,coordinate,componentPosID,componentLine,componentsize,attrTarget,attrNumType1,attrNum1,attrNumType2,attrNum2,attrNumType3,attrNum3,attrNumType4,attrNum4,strengthCostSeq
27,4084,{y=603;x=1478},4,{y=622;x=1292;flip=1},240,,13,<16;25;33;42;50;59;67;76;84;93;101;110;118;127;135;144;152;161;169;178>,7,<207;455;704;988;1272;1597;1923;2295;2668;3095;3521;4010;4499;5058;5617;6257;6898;7631;8365;9205>,9,<58;128;197;276;355;446;537;641;745;864;983;1119;1256;1413;1569;1748;1926;2131;2336;2570>,8,<207;455;704;988;1272;1597;1923;2295;2668;3095;3521;4010;4499;5058;5617;6257;6898;7631;8365;9205>,32
28,4085,{y=402;x=1417},5,{y=439;x=1242;flip=1},230,,1,<574;1262;1951;2739;3527;4429;5332;6366;7399;8582;9766;11120;12474;14024;15575;17350;19126;21158;23191;25518>,8,<153;337;520;730;940;1181;1421;1697;1972;2287;2603;2964;3325;3738;4151;4625;5098;5641;6183;6803>,9,<78;173;267;374;481;604;727;867;1007;1168;1329;1515;1700;1911;2123;2364;2606;2883;3160;3478>,10,<78;173;267;374;481;604;727;867;1007;1168;1329;1515;1700;1911;2123;2364;2606;2883;3160;3478>,33
29,4092,{y=721;x=388},,{y=690;x=610;flip=4},560,,1,<574;1262;1951;2739;3527;4429;5332;6366;7399;8582;9766;11120;12474;14024;15575;17350;19126;21158;23191;25518>,8,<153;337;520;730;940;1181;1421;1697;1972;2287;2603;2964;3325;3738;4151;4625;5098;5641;6183;6803>,9,<78;173;267;374;481;604;727;867;1007;1168;1329;1515;1700;1911;2123;2364;2606;2883;3160;3478>,10,<78;173;267;374;481;604;727;867;1007;1168;1329;1515;1700;1911;2123;2364;2606;2883;3160;3478>,36
30,4093,{y=436;x=481},2,{y=405;x=625;flip=4},220,,1,<675;1485;2295;3222;4149;5211;6273;7489;8705;10097;11489;13082;14675;16499;18323;20412;22501;24892;27283;30021>,7,<153;337;520;730;940;1181;1421;1697;1972;2287;2603;2964;3325;3738;4151;4625;5098;5641;6183;6803>,8,<180;396;612;859;1106;1389;1672;1996;2320;2691;3062;3487;3912;4398;4884;5441;5998;6636;7274;8004>,13,<16;25;33;42;50;59;67;76;84;93;101;110;118;127;135;144;152;161;169;178>,37
31,4094,{y=748;x=1455},3,{y=719;x=1224;flip=3},505,,7,<207;455;704;988;1272;1597;1923;2295;2668;3095;3521;4010;4499;5058;5617;6257;6898;7631;8365;9205>,9,<58;128;197;276;355;446;537;641;745;864;983;1119;1256;1413;1569;1748;1926;2131;2336;2570>,8,<180;396;612;859;1106;1389;1672;1996;2320;2691;3062;3487;3912;4398;4884;5441;5998;6636;7274;8004>,10,<68;150;232;325;418;525;632;754;876;1016;1156;1317;1478;1662;1846;2056;2266;2507;2748;3024>,38
32,4095,{y=532;x=1435},4,{y=500;x=1274;flip=3},400,,13,<16;25;33;42;50;59;67;76;84;93;101;110;118;127;135;144;152;161;169;178>,7,<180;396;612;859;1106;1389;1672;1996;2320;2691;3062;3487;3912;4398;4884;5441;5998;6636;7274;8004>,9,<68;150;232;325;418;525;632;754;876;1016;1156;1317;1478;1662;1846;2056;2266;2507;2748;3024>,8,<180;396;612;859;1106;1389;1672;1996;2320;2691;3062;3487;3912;4398;4884;5441;5998;6636;7274;8004>,39
33,4096,{y=338;x=1353},5,{y=363;x=1200;flip=1},300,,1,<776;1708;2639;3705;4771;5993;7214;8612;10011;11612;13212;15044;16876;18974;21071;23474;25876;28626;31375;34524>,13,<16;25;33;42;50;59;67;76;84;93;101;110;118;127;135;144;152;161;169;178>,7,<180;396;612;859;1106;1389;1672;1996;2320;2691;3062;3487;3912;4398;4884;5441;5998;6636;7274;8004>,9,<68;150;232;325;418;525;632;754;876;1016;1156;1317;1478;1662;1846;2056;2266;2507;2748;3024>,40
34,5101,{y=780;x=380},,{y=750;x=450;flip=4},300,,1,<574;1262;1951;2739;3527;4429;5332;6366;7399;8582;9766;11120;12474;14024;15575;17350;19126;21158;23191;25518>,8,<153;337;520;730;940;1181;1421;1697;1972;2287;2603;2964;3325;3738;4151;4625;5098;5641;6183;6803>,9,<78;173;267;374;481;604;727;867;1007;1168;1329;1515;1700;1911;2123;2364;2606;2883;3160;3478>,10,<78;173;267;374;481;604;727;867;1007;1168;1329;1515;1700;1911;2123;2364;2606;2883;3160;3478>,41
35,5102,{y=400;x=400},2,{y=370;x=550;flip=4},220,,1,<675;1485;2295;3222;4149;5211;6273;7489;8705;10097;11489;13082;14675;16499;18323;20412;22501;24892;27283;30021>,7,<153;337;520;730;940;1181;1421;1697;1972;2287;2603;2964;3325;3738;4151;4625;5098;5641;6183;6803>,8,<180;396;612;859;1106;1389;1672;1996;2320;2691;3062;3487;3912;4398;4884;5441;5998;6636;7274;8004>,13,<16;25;33;42;50;59;67;76;84;93;101;110;118;127;135;144;152;161;169;178>,42
36,5103,{y=790;x=1370},3,{y=760;x=1200;flip=3},400,,7,<207;455;704;988;1272;1597;1923;2295;2668;3095;3521;4010;4499;5058;5617;6257;6898;7631;8365;9205>,9,<58;128;197;276;355;446;537;641;745;864;983;1119;1256;1413;1569;1748;1926;2131;2336;2570>,8,<180;396;612;859;1106;1389;1672;1996;2320;2691;3062;3487;3912;4398;4884;5441;5998;6636;7274;8004>,10,<68;150;232;325;418;525;632;754;876;1016;1156;1317;1478;1662;1846;2056;2266;2507;2748;3024>,43
37,5104,{y=580;x=1480},4,{y=550;x=1400;flip=3},300,,13,<16;25;33;42;50;59;67;76;84;93;101;110;118;127;135;144;152;161;169;178>,7,<180;396;612;859;1106;1389;1672;1996;2320;2691;3062;3487;3912;4398;4884;5441;5998;6636;7274;8004>,9,<68;150;232;325;418;525;632;754;876;1016;1156;1317;1478;1662;1846;2056;2266;2507;2748;3024>,8,<180;396;612;859;1106;1389;1672;1996;2320;2691;3062;3487;3912;4398;4884;5441;5998;6636;7274;8004>,44
38,5105,{y=350;x=1400},5,{y=375;x=1250;flip=1},300,,1,<776;1708;2639;3705;4771;5993;7214;8612;10011;11612;13212;15044;16876;18974;21071;23474;25876;28626;31375;34524>,13,<16;25;33;42;50;59;67;76;84;93;101;110;118;127;135;144;152;161;169;178>,7,<180;396;612;859;1106;1389;1672;1996;2320;2691;3062;3487;3912;4398;4884;5441;5998;6636;7274;8004>,9,<68;150;232;325;418;525;632;754;876;1016;1156;1317;1478;1662;1846;2056;2266;2507;2748;3024>,45
39,5201,{y=750;x=420},,{y=720;x=650;flip=4},560,,1,<776;1708;2639;3705;4771;5993;7214;8612;10011;11612;13212;15044;16876;18974;21071;23474;25876;28626;31375;34524>,8,<180;396;612;859;1106;1389;1672;1996;2320;2691;3062;3487;3912;4398;4884;5441;5998;6636;7274;8004>,10,<78;173;267;374;481;604;727;867;1007;1168;1329;1515;1700;1911;2123;2364;2606;2883;3160;3478>,13,<19;29;39;49;59;69;79;89;99;109;119;129;139;149;159;169;179;189;199;209>,46
40,5202,{y=480;x=380},2,{y=455;x=525;flip=4},350,,1,<776;1708;2639;3705;4771;5993;7214;8612;10011;11612;13212;15044;16876;18974;21071;23474;25876;28626;31375;34524>,8,<180;396;612;859;1106;1389;1672;1996;2320;2691;3062;3487;3912;4398;4884;5441;5998;6636;7274;8004>,7,<180;396;612;859;1106;1389;1672;1996;2320;2691;3062;3487;3912;4398;4884;5441;5998;6636;7274;8004>,9,<68;150;232;325;418;525;632;754;876;1016;1156;1317;1478;1662;1846;2056;2266;2507;2748;3024>,47
41,5203,{y=768;x=1455},3,{y=739;x=1224;flip=3},505,,1,<675;1485;2295;3222;4149;5211;6273;7489;8705;10097;11489;13082;14675;16499;18323;20412;22501;24892;27283;30021>,13,<19;29;39;49;59;69;79;89;99;109;119;129;139;149;159;169;179;189;199;209>,8,<207;455;704;988;1272;1597;1923;2295;2668;3095;3521;4010;4499;5058;5617;6257;6898;7631;8365;9205>,10,<58;128;197;276;355;446;537;641;745;864;983;1119;1256;1413;1569;1748;1926;2131;2336;2570>,48
42,5204,{y=582;x=1435},4,{y=550;x=1274;flip=3},400,,13,<16;25;33;42;50;59;67;76;84;93;101;110;118;127;135;144;152;161;169;178>,7,<207;455;704;988;1272;1597;1923;2295;2668;3095;3521;4010;4499;5058;5617;6257;6898;7631;8365;9205>,9,<58;128;197;276;355;446;537;641;745;864;983;1119;1256;1413;1569;1748;1926;2131;2336;2570>,8,<207;455;704;988;1272;1597;1923;2295;2668;3095;3521;4010;4499;5058;5617;6257;6898;7631;8365;9205>,49
43,5205,{y=370;x=1440},5,{y=390;x=1309;flip=1},300,,1,<574;1262;1951;2739;3527;4429;5332;6366;7399;8582;9766;11120;12474;14024;15575;17350;19126;21158;23191;25518>,8,<153;337;520;730;940;1181;1421;1697;1972;2287;2603;2964;3325;3738;4151;4625;5098;5641;6183;6803>,9,<78;173;267;374;481;604;727;867;1007;1168;1329;1515;1700;1911;2123;2364;2606;2883;3160;3478>,10,<78;173;267;374;481;604;727;867;1007;1168;1329;1515;1700;1911;2123;2364;2606;2883;3160;3478>,50
44,5301,{y=780;x=388},,{y=750;x=550;flip=4},250,,1,<574;1262;1951;2739;3527;4429;5332;6366;7399;8582;9766;11120;12474;14024;15575;17350;19126;21158;23191;25518>,8,<153;337;520;730;940;1181;1421;1697;1972;2287;2603;2964;3325;3738;4151;4625;5098;5641;6183;6803>,9,<78;173;267;374;481;604;727;867;1007;1168;1329;1515;1700;1911;2123;2364;2606;2883;3160;3478>,10,<78;173;267;374;481;604;727;867;1007;1168;1329;1515;1700;1911;2123;2364;2606;2883;3160;3478>,51
45,5302,{y=436;x=400},2,{y=405;x=550;flip=4},300,,1,<675;1485;2295;3222;4149;5211;6273;7489;8705;10097;11489;13082;14675;16499;18323;20412;22501;24892;27283;30021>,7,<153;337;520;730;940;1181;1421;1697;1972;2287;2603;2964;3325;3738;4151;4625;5098;5641;6183;6803>,8,<180;396;612;859;1106;1389;1672;1996;2320;2691;3062;3487;3912;4398;4884;5441;5998;6636;7274;8004>,13,<16;25;33;42;50;59;67;76;84;93;101;110;118;127;135;144;152;161;169;178>,52
46,5303,{y=748;x=1455},3,{y=719;x=1224;flip=3},505,,7,<207;455;704;988;1272;1597;1923;2295;2668;3095;3521;4010;4499;5058;5617;6257;6898;7631;8365;9205>,9,<58;128;197;276;355;446;537;641;745;864;983;1119;1256;1413;1569;1748;1926;2131;2336;2570>,8,<180;396;612;859;1106;1389;1672;1996;2320;2691;3062;3487;3912;4398;4884;5441;5998;6636;7274;8004>,10,<68;150;232;325;418;525;632;754;876;1016;1156;1317;1478;1662;1846;2056;2266;2507;2748;3024>,53
47,5304,{y=532;x=1435},4,{y=500;x=1300;flip=3},300,,13,<16;25;33;42;50;59;67;76;84;93;101;110;118;127;135;144;152;161;169;178>,7,<180;396;612;859;1106;1389;1672;1996;2320;2691;3062;3487;3912;4398;4884;5441;5998;6636;7274;8004>,9,<68;150;232;325;418;525;632;754;876;1016;1156;1317;1478;1662;1846;2056;2266;2507;2748;3024>,8,<180;396;612;859;1106;1389;1672;1996;2320;2691;3062;3487;3912;4398;4884;5441;5998;6636;7274;8004>,54
48,5305,{y=338;x=1400},5,{y=363;x=1309;flip=1},300,,1,<776;1708;2639;3705;4771;5993;7214;8612;10011;11612;13212;15044;16876;18974;21071;23474;25876;28626;31375;34524>,13,<16;25;33;42;50;59;67;76;84;93;101;110;118;127;135;144;152;161;169;178>,7,<180;396;612;859;1106;1389;1672;1996;2320;2691;3062;3487;3912;4398;4884;5441;5998;6636;7274;8004>,9,<68;150;232;325;418;525;632;754;876;1016;1156;1317;1478;1662;1846;2056;2266;2507;2748;3024>,55
49,5401,{y=800;x=370},,{y=780;x=650;flip=4},500,,1,<1148;2524;3902;5478;7054;8858;10664;12732;14798;17164;19532;22240;24948;28048;31150;34700;38252;42316;46382;51036>,8,<306;674;1040;1460;1880;2362;2842;3394;3944;4574;5206;5928;6650;7476;8302;9250;10196;11282;12366;13606>,9,<156;346;534;748;962;1208;1454;1734;2014;2336;2658;3030;3400;3822;4246;4728;5212;5766;6320;6956>,10,<156;346;534;748;962;1208;1454;1734;2014;2336;2658;3030;3400;3822;4246;4728;5212;5766;6320;6956>,56
50,5402,{y=630;x=450},2,{y=610;x=700;flip=4},400,,1,<1350;2970;4590;6444;8298;10422;12546;14978;17410;20194;22978;26164;29350;32998;36646;40824;45002;49784;54566;60042>,7,<306;674;1040;1460;1880;2362;2842;3394;3944;4574;5206;5928;6650;7476;8302;9250;10196;11282;12366;13606>,8,<360;792;1224;1718;2212;2778;3344;3992;4640;5382;6124;6974;7824;8796;9768;10882;11996;13272;14548;16008>,13,<32;50;66;84;100;118;134;152;168;186;202;220;236;254;270;288;304;322;338;356>,57
51,5403,{y=470;x=370},3,{y=440;x=650;flip=4},500,,7,<414;910;1408;1976;2544;3194;3846;4590;5336;6190;7042;8020;8998;10116;11234;12514;13796;15262;16730;18410>,9,<116;256;394;552;710;892;1074;1282;1490;1728;1966;2238;2512;2826;3138;3496;3852;4262;4672;5140>,8,<360;792;1224;1718;2212;2778;3344;3992;4640;5382;6124;6974;7824;8796;9768;10882;11996;13272;14548;16008>,10,<136;300;464;650;836;1050;1264;1508;1752;2032;2312;2634;2956;3324;3692;4112;4532;5014;5496;6048>,58
52,5404,{y=300;x=450},4,{y=280;x=700;flip=4},300,,13,<32;50;66;84;100;118;134;152;168;186;202;220;236;254;270;288;304;322;338;356>,7,<360;792;1224;1718;2212;2778;3344;3992;4640;5382;6124;6974;7824;8796;9768;10882;11996;13272;14548;16008>,9,<136;300;464;650;836;1050;1264;1508;1752;2032;2312;2634;2956;3324;3692;4112;4532;5014;5496;6048>,8,<360;792;1224;1718;2212;2778;3344;3992;4640;5382;6124;6974;7824;8796;9768;10882;11996;13272;14548;16008>,59
53,5405,{y=800;x=1500},5,{y=780;x=1200;flip=3},600,,1,<1552;3416;5278;7410;9542;11986;14428;17224;20022;23224;26424;30088;33752;37948;42142;46948;51752;57252;62750;69048>,13,<32;50;66;84;100;118;134;152;168;186;202;220;236;254;270;288;304;322;338;356>,7,<360;792;1224;1718;2212;2778;3344;3992;4640;5382;6124;6974;7824;8796;9768;10882;11996;13272;14548;16008>,9,<136;300;464;650;836;1050;1264;1508;1752;2032;2312;2634;2956;3324;3692;4112;4532;5014;5496;6048>,60
54,5406,{y=630;x=1420},6,{y=610;x=1100;flip=3},600,,13,<32;50;66;84;100;118;134;152;168;186;202;220;236;254;270;288;304;322;338;356>,7,<414;910;1408;1976;2544;3194;3846;4590;5336;6190;7042;8020;8998;10116;11234;12514;13796;15262;16730;18410>,9,<116;256;394;552;710;892;1074;1282;1490;1728;1966;2238;2512;2826;3138;3496;3852;4262;4672;5140>,8,<414;910;1408;1976;2544;3194;3846;4590;5336;6190;7042;8020;8998;10116;11234;12514;13796;15262;16730;18410>,61
55,5407,{y=460;x=1470},7,{y=440;x=1100;flip=3},800,,7,<414;910;1408;1976;2544;3194;3846;4590;5336;6190;7042;8020;8998;10116;11234;12514;13796;15262;16730;18410>,9,<116;256;394;552;710;892;1074;1282;1490;1728;1966;2238;2512;2826;3138;3496;3852;4262;4672;5140>,8,<360;792;1224;1718;2212;2778;3344;3992;4640;5382;6124;6974;7824;8796;9768;10882;11996;13272;14548;16008>,10,<136;300;464;650;836;1050;1264;1508;1752;2032;2312;2634;2956;3324;3692;4112;4532;5014;5496;6048>,62
56,5408,{y=300;x=1350},8,{y=280;x=1050;flip=3},600,,1,<1350;2970;4590;6444;8298;10422;12546;14978;17410;20194;22978;26164;29350;32998;36646;40824;45002;49784;54566;60042>,13,<38;58;78;98;118;138;158;178;198;218;238;258;278;298;318;338;358;378;398;418>,8,<414;910;1408;1976;2544;3194;3846;4590;5336;6190;7042;8020;8998;10116;11234;12514;13796;15262;16730;18410>,10,<116;256;394;552;710;892;1074;1282;1490;1728;1966;2238;2512;2826;3138;3496;3852;4262;4672;5140>,63
