VariableName,zawakeID,awakeSeqID,level,costItemMap,exp,attrAddType,natureType,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3,attrType4,attrNum4,attrType5,attrNum5,extraScene,extraAttrs,skillID,viceHeldItem,activeReq
101201,1,2,1,{59001=5;50001=5;gold=150000},60,,,1,919,7,183,8,183,9,128,10,128,,,,,
101202,1,2,2,{59001=5;50001=5;gold=180000},60,,,1,928,7,184,8,184,9,129,10,129,,,,,
101203,1,2,3,{59001=6;50001=6;gold=210000},60,,,1,937,7,186,8,186,9,130,10,130,,,,,
101204,1,2,4,{59001=6;50001=6;gold=240000},60,,,1,946,7,188,8,188,9,131,10,131,<0>,{7=3%;8=3%},,,
101205,1,2,5,{59001=7;50001=7;gold=270000},60,,,1,955,7,190,8,190,9,133,10,133,,,,,
101206,1,2,6,{59001=7;50001=7;gold=300000},60,,,1,964,7,192,8,192,9,134,10,134,,,,,
101207,1,2,7,{50001=8;gold=330000;501=1;59001=8},60,,,1,974,7,194,8,194,9,135,10,135,,,,,
101208,1,2,8,{50001=8;gold=360000;501=1;59001=8},60,,,1,983,7,195,8,195,9,137,10,137,,,79001,,{effort=7;zawakeStage=108;equipAwakeSum=2;equipStarSum=6}
101301,1,3,1,{59001=6;50001=6;gold=230000},70,,,1,1002,7,199,8,199,9,139,10,139,,,,,
101302,1,3,2,{59001=6;50001=6;gold=270000},70,,,1,1012,7,201,8,201,9,141,10,141,,,,,
101303,1,3,3,{59001=7;50001=7;gold=320000},70,,,1,1022,7,203,8,203,9,142,10,142,,,,,
101304,1,3,4,{59001=7;50001=7;gold=360000},70,,,1,1032,7,205,8,205,9,143,10,143,<2;12>,{25=500;24=500},,,
101305,1,3,5,{59001=8;50001=8;gold=410000},70,,,1,1042,7,207,8,207,9,145,10,145,,,,,
101306,1,3,6,{50001=8;gold=450000;501=1;59001=8},70,,,1,1052,7,209,8,209,9,146,10,146,,,,,
101307,1,3,7,{50001=9;gold=500000;501=1;59001=9},70,,,1,1062,7,211,8,211,9,148,10,148,,,,,
101308,1,3,8,{220=1;50001=9;gold=540000;59001=9;501=1},70,,,1,1072,7,213,8,213,9,149,10,149,,,79002,,{star=9;goodFeel=150;advance=14;zawakeStage=208}
101401,1,4,1,{59001=8;50001=8;gold=350000},80,,,1,1086,7,216,8,216,9,151,10,151,,,,,
101402,1,4,2,{59001=8;50001=8;gold=410000},80,,,1,1096,7,218,8,218,9,152,10,152,,,,,
101403,1,4,3,{59001=9;50001=9;gold=480000},80,,,1,1107,7,220,8,220,9,154,10,154,,,,,
101404,1,4,4,{59001=9;50001=9;gold=540000},80,,,1,1118,7,222,8,222,9,155,10,155,<0>,{14=300;16=300},,,
101405,1,4,5,{59001=10;50001=10;gold=620000},80,,,1,1129,7,224,8,224,9,157,10,157,,,,,
101406,1,4,6,{50001=10;gold=680000;501=1;59001=10},80,,,1,1140,7,227,8,227,9,158,10,158,<0>,{91=300},,,
101407,1,4,7,{50001=11;gold=750000;501=1;59001=11},80,,,1,1151,7,229,8,229,9,160,10,160,,,,,
101408,1,4,8,{50001=11;230=1;gold=810000;59001=11;501=1},80,,,1,1161,7,231,8,231,9,161,10,161,,,79004,,{effort=9;zawakeStage=308;nvalueSum=140;equipStarSum=8}
101501,1,5,1,{59001=9;50001=9;gold=530000},100,,,1,1169,7,232,8,232,9,162,10,162,,,,,
101502,1,5,2,{59001=9;50001=9;gold=620000},100,,,1,1181,7,235,8,235,9,164,10,164,,,,,
101503,1,5,3,{59001=10;50001=10;gold=720000},100,,,1,1192,7,237,8,237,9,166,10,166,,,,,
101504,1,5,4,{59001=10;50001=10;gold=810000},100,,,1,1204,7,239,8,239,9,167,10,167,<6;10>,{14=500;16=500},,,
101505,1,5,5,{502=1;50001=11;gold=930000;59001=11;501=1},100,,,1,1216,7,242,8,242,9,169,10,169,,,,,
101506,1,5,6,{502=1;50001=11;gold=1020000;59001=11;501=1},100,,,1,1227,7,244,8,244,9,171,10,171,,,,,
101507,1,5,7,{502=1;50001=12;gold=1130000;59001=12;501=1},100,,,1,1239,7,246,8,246,9,172,10,172,,,,,
101508,1,5,8,{502=1;200=1;gold=1220000;50001=12;59001=12;501=1},100,,,1,1251,7,249,8,249,9,174,10,174,<0>,{22=300;23=300},,,
101601,1,6,1,{59001=10;50001=10;gold=800000},125,,,1,1253,7,249,8,249,9,174,10,174,,,,,
101602,1,6,2,{59001=10;50001=10;gold=930000},125,,,1,1265,7,251,8,251,9,176,10,176,,,,,
101603,1,6,3,{502=1;50001=11;gold=1080000;59001=11;501=1},125,,,1,1278,7,254,8,254,9,177,10,177,,,,,
101604,1,6,4,{502=1;50001=11;gold=1220000;59001=11;501=1},125,,,1,1290,7,256,8,256,9,179,10,179,<13>,{22=800;23=800},,,
101605,1,6,5,{502=1;50001=12;gold=1400000;59001=12;501=1},125,,,1,1303,7,259,8,259,9,181,10,181,,,,,
101606,1,6,6,{502=1;50001=12;gold=1530000;59001=12;501=1},125,,,1,1315,7,261,8,261,9,183,10,183,<0>,{13=3%},,,
101607,1,6,7,{502=2;200=1;gold=1700000;50001=13;59001=13;501=2},125,,,1,1328,7,264,8,264,9,184,10,184,,,,,
101608,1,6,8,{502=2;50001=13;gold=1830000;59001=13;2152=1;501=2},125,,,1,1340,7,266,8,266,9,186,10,186,,,79003,,{effort=11;zawakeStage=508;equipAwakeSum=4;equipStarSum=10}
101701,1,7,1,{59001=20;gold=1200000},110,,,1,1336,7,266,8,266,9,186,10,186,,,,,
101702,1,7,2,{59001=20;gold=1400000},110,,,1,1349,7,268,8,268,9,187,10,187,,,,,
101703,1,7,3,{59001=22;gold=1620000},110,,,1,1363,7,271,8,271,9,189,10,189,,,,,
101704,1,7,4,{59001=22;gold=1830000},110,,,1,1376,7,274,8,274,9,191,10,191,<0>,{25=300;24=300},,,
101705,1,7,5,{502=1;gold=2100000;59001=23;501=1},110,,,1,1389,7,276,8,276,9,193,10,193,,,,,
101706,1,7,6,{502=1;gold=2300000;59001=23;501=1},110,,,1,1403,7,279,8,279,9,195,10,195,,,,,
101707,1,7,7,{502=1;gold=2550000;59001=25;501=1},110,,,1,1416,7,282,8,282,9,197,10,197,,,,,
101708,1,7,8,{502=1;gold=2750000;210=1;59001=25;501=1},110,,,1,1430,7,284,8,284,9,199,10,199,<0>,{22=500;23=500},,,
101801,1,8,1,{59001=21;gold=1800000},135,,,1,1420,7,282,8,282,9,197,10,197,,,,,
101802,1,8,2,{59001=21;gold=2100000},135,,,1,1434,7,285,8,285,9,199,10,199,,,,,
101803,1,8,3,{502=1;gold=2430000;59001=23;501=1},135,,,1,1448,7,288,8,288,9,201,10,201,,,,,
101804,1,8,4,{502=1;gold=2750000;59001=23;501=1},135,,,1,1462,7,291,8,291,9,203,10,203,<0>,{97=300;96=300},,,
101805,1,8,5,{502=1;gold=3150000;59001=24;501=1},135,,,1,1476,7,293,8,293,9,205,10,205,,,,,
101806,1,8,6,{502=1;gold=3450000;59001=24;501=1},135,,,1,1490,7,296,8,296,9,207,10,207,,,,,
101807,1,8,7,{502=2;220=1;gold=3830000;501=2;59001=26},135,,,1,1505,7,299,8,299,9,209,10,209,,,,,
101808,1,8,8,{502=2;59001=26;gold=4130000;501=2;2152=1;19=60},135,,,1,1519,7,302,8,302,9,211,10,211,<0>,{1=8%;7=8%;8=8%;9=8%;10=8%;13=8%},,,{effort=11;zawakeStage=708;nvalueSum=160;equipStarSum=12}
102101,2,1,1,{59002=6;50001=8;gold=300000},75,,,1,974,7,194,8,194,9,135,10,135,,,,,
102102,2,1,2,{59002=6;50001=8;gold=360000},75,,,1,984,7,196,8,196,9,136,10,136,,,,,
102103,2,1,3,{59002=7;50001=10;gold=420000},75,,,1,993,7,198,8,198,9,138,10,138,,,,,
102104,2,1,4,{59002=7;50001=10;gold=480000},75,,,1,1003,7,200,8,200,9,139,10,139,<0>,{1=3%},,,
102105,2,1,5,{59002=8;50001=12;gold=540000},75,,,1,1013,7,202,8,202,9,140,10,140,,,,,
102106,2,1,6,{59002=8;50001=12;gold=600000},75,,,1,1023,7,204,8,204,9,142,10,142,,,,,
102107,2,1,7,{50001=14;gold=660000;501=1;59002=9},75,,,1,1032,7,206,8,206,9,143,10,143,,,,,
102108,2,1,8,{50001=14;gold=720000;501=1;59002=9},75,,,1,1042,7,208,8,208,9,144,10,144,<0>,{25=300;24=300},,,
102201,2,2,1,{59002=8;50001=12;gold=460000},90,,,1,1071,7,213,8,213,9,149,10,149,,,,,
102202,2,2,2,{59002=8;50001=12;gold=540000},90,,,1,1082,7,216,8,216,9,150,10,150,,,,,
102203,2,2,3,{59002=9;50001=14;gold=640000},90,,,1,1093,7,218,8,218,9,151,10,151,,,,,
102204,2,2,4,{59002=9;50001=14;gold=720000},90,,,1,1104,7,220,8,220,9,153,10,153,<0>,{7=3%;8=3%},,,
102205,2,2,5,{50001=16;gold=820000;501=1;59002=10},90,,,1,1114,7,222,8,222,9,154,10,154,,,,,
102206,2,2,6,{50001=16;gold=900000;501=1;59002=10},90,,,1,1125,7,224,8,224,9,156,10,156,,,,,
102207,2,2,7,{50001=18;gold=1000000;501=1;59002=11},90,,,1,1136,7,226,8,226,9,157,10,157,,,,,
102208,2,2,8,{50001=18;gold=1080000;501=1;59002=11},90,,,1,1146,7,228,8,228,9,159,10,159,,,79001,,{effort=7;zawakeStage=108;equipAwakeSum=2;equipStarSum=6}
102301,2,3,1,{59002=9;50001=14;gold=700000},105,,,1,1169,7,233,8,233,9,162,10,162,,,,,
102302,2,3,2,{59002=9;50001=14;gold=820000},105,,,1,1180,7,235,8,235,9,164,10,164,,,,,
102303,2,3,3,{50001=16;gold=960000;501=1;59002=10},105,,,1,1192,7,237,8,237,9,165,10,165,,,,,
102304,2,3,4,{50001=16;gold=1080000;501=1;59002=10},105,,,1,1204,7,240,8,240,9,167,10,167,<2;12>,{25=500;24=500},,,
102305,2,3,5,{50001=18;gold=1240000;501=1;59002=11},105,,,1,1216,7,242,8,242,9,168,10,168,,,,,
102306,2,3,6,{50001=18;gold=1360000;501=1;59002=11},105,,,1,1227,7,244,8,244,9,170,10,170,,,,,
102307,2,3,7,{50001=20;gold=1500000;501=1;59002=12},105,,,1,1239,7,247,8,247,9,172,10,172,,,,,
102308,2,3,8,{220=1;50001=20;gold=1620000;501=1;59002=12},105,,,1,1251,7,249,8,249,9,173,10,173,,,79002,,{star=9;goodFeel=160;advance=15;zawakeStage=208}
102401,2,4,1,{59002=11;50001=18;gold=1060000},120,,,1,1266,7,252,8,252,9,176,10,176,,,,,
102402,2,4,2,{59002=11;50001=18;gold=1240000},120,,,1,1279,7,255,8,255,9,177,10,177,,,,,
102403,2,4,3,{50001=20;gold=1440000;501=1;59002=12},120,,,1,1292,7,257,8,257,9,179,10,179,,,,,
102404,2,4,4,{50001=20;gold=1620000;501=1;59002=12},120,,,1,1304,7,260,8,260,9,181,10,181,<0>,{14=300;16=300},,,
102405,2,4,5,{50001=22;gold=1860000;501=2;59002=13},120,,,1,1317,7,262,8,262,9,183,10,183,,,,,
102406,2,4,6,{50001=22;gold=2040000;501=2;59002=13},120,,,1,1330,7,265,8,265,9,184,10,184,<0>,{91=300},,,
102407,2,4,7,{50001=24;230=1;501=2;gold=2260000;59002=14},120,,,1,1342,7,267,8,267,9,186,10,186,,,,,
102408,2,4,8,{50001=24;gold=2440000;2152=1;501=2;59002=14},120,,,1,1355,7,270,8,270,9,188,10,188,,,79004,,{effort=9;zawakeStage=308;nvalueSum=140;equipStarSum=9}
102501,2,5,1,{502=2;50001=20;gold=1600000;59002=12},150,,,1,1364,7,272,8,272,9,189,10,189,,,,,
102502,2,5,2,{502=2;50001=20;gold=1860000;59002=12},150,,,1,1377,7,274,8,274,9,191,10,191,,,,,
102503,2,5,3,{502=2;50001=22;gold=2160000;501=1;59002=13},150,,,1,1391,7,277,8,277,9,193,10,193,,,,,
102504,2,5,4,{502=2;50001=22;gold=2440000;501=2;59002=13},150,,,1,1405,7,280,8,280,9,195,10,195,<6;10>,{14=500;16=500},,,
102505,2,5,5,{502=2;50001=24;gold=2800000;501=2;59002=14},150,,,1,1418,7,282,8,282,9,197,10,197,,,,,
102506,2,5,6,{502=3;50001=24;gold=3060000;501=2;59002=14},150,,,1,1432,7,285,8,285,9,198,10,198,,,,,
102507,2,5,7,{502=3;50001=26;gold=3400000;501=2;59002=15},150,,,1,1445,7,288,8,288,9,200,10,200,,,,,
102508,2,5,8,{200=1;gold=3660000;210=1;50001=26;59002=15},150,,,1,1459,7,291,8,291,9,202,10,202,<0>,{22=300;23=300},,,
102601,2,6,1,{502=2;50001=22;gold=2400000;59002=13},188,,,1,1461,7,291,8,291,9,203,10,203,,,,,
102602,2,6,2,{502=2;50001=22;gold=2800000;59002=13},188,,,1,1476,7,294,8,294,9,205,10,205,,,,,
102603,2,6,3,{502=3;50001=24;gold=3240000;501=2;59002=14},188,,,1,1490,7,297,8,297,9,207,10,207,,,,,
102604,2,6,4,{502=3;50001=24;gold=3660000;501=2;59002=14},188,,,1,1505,7,300,8,300,9,209,10,209,<13>,{22=800;23=800},,,
102605,2,6,5,{502=3;50001=26;gold=4200000;501=3;59002=15},188,,,1,1519,7,303,8,303,9,211,10,211,,,,,
102606,2,6,6,{502=3;50001=26;gold=4600000;501=3;59002=15},188,,,1,1534,7,306,8,306,9,213,10,213,<0>,{13=3%},,,
102607,2,6,7,{502=4;50001=28;gold=5100000;2152=1;501=3;59002=16},188,,,1,1549,7,308,8,308,9,215,10,215,,,,,
102608,2,6,8,{502=4;50001=28;gold=5500000;2152=1;501=3;59002=16},188,,,1,1563,7,311,8,311,9,217,10,217,,,79003,,{effort=11;zawakeStage=508;equipAwakeSum=4;equipStarSum=12}
102701,2,7,1,{502=2;59002=29;gold=3600000},165,,,1,1558,7,310,8,310,9,216,10,216,,,,,
102702,2,7,2,{502=2;59002=29;gold=4200000},165,,,1,1574,7,314,8,314,9,218,10,218,,,,,
102703,2,7,3,{502=2;gold=4860000;501=1;59002=32},165,,,1,1590,7,317,8,317,9,220,10,220,,,,,
102704,2,7,4,{502=2;gold=5500000;501=2;59002=32},165,,,1,1605,7,320,8,320,9,222,10,222,<0>,{25=300;24=300},,,
102705,2,7,5,{502=2;gold=6300000;501=2;59002=34},165,,,1,1621,7,323,8,323,9,225,10,225,,,,,
102706,2,7,6,{502=3;gold=6900000;501=2;59002=34},165,,,1,1636,7,326,8,326,9,227,10,227,,,,,
102707,2,7,7,{502=3;gold=7660000;501=2;59002=37},165,,,1,1652,7,329,8,329,9,229,10,229,,,,,
102708,2,7,8,{220=1;gold=8260000;230=1;59002=37},165,,,1,1667,7,332,8,332,9,231,10,231,<0>,{22=500;23=500},,,
102801,2,8,1,{502=2;59002=32;gold=5400000},203,,,1,1656,7,330,8,330,9,230,10,230,,,,,
102802,2,8,2,{502=2;59002=32;gold=6300000},203,,,1,1672,7,333,8,333,9,232,10,232,,,,,
102803,2,8,3,{502=3;gold=7300000;501=2;59002=34},203,,,1,1689,7,336,8,336,9,234,10,234,,,,,
102804,2,8,4,{502=3;gold=8260000;501=2;59002=34},203,,,1,1705,7,340,8,340,9,236,10,236,<0>,{97=300;96=300},,,
102805,2,8,5,{502=3;gold=9460000;501=3;59002=37},203,,,1,1722,7,343,8,343,9,239,10,239,,,,,
102806,2,8,6,{502=3;gold=10360000;501=3;59002=37},203,,,1,1739,7,346,8,346,9,241,10,241,,,,,
102807,2,8,7,{502=4;gold=11500000;2152=1;501=3;59002=40},203,,,1,1755,7,350,8,350,9,243,10,243,,,,,
102808,2,8,8,{502=4;19=100;501=3;2152=1;gold=12400000;59002=40},203,,,1,1772,7,353,8,353,9,246,10,246,<0>,{1=8%;7=8%;8=8%;9=8%;10=8%;13=8%},,,{effort=11;zawakeStage=708;nvalueSum=160;equipStarSum=15}
111101,11,1,1,{59001=3;50011=3;gold=100000},50,,,1,835,7,166,8,166,9,116,10,116,,,,,
111102,11,1,2,{59001=3;50011=3;gold=120000},50,,,1,843,7,168,8,168,9,117,10,117,,,,,
111103,11,1,3,{59001=4;50011=4;gold=140000},50,,,1,852,7,169,8,169,9,118,10,118,,,,,
111104,11,1,4,{59001=4;50011=4;gold=160000},50,,,1,860,7,171,8,171,9,119,10,119,<0>,{1=3%},,,
111105,11,1,5,{59001=5;50011=5;gold=180000},50,,,1,868,7,173,8,173,9,121,10,121,,,,,
111106,11,1,6,{59001=5;50011=5;gold=200000},50,,,1,877,7,174,8,174,9,122,10,122,,,,,
111107,11,1,7,{59001=6;50011=6;gold=220000},50,,,1,885,7,176,8,176,9,123,10,123,,,,,
111108,11,1,8,{gold=240000;59001=6;501=1;50011=6},50,,,1,893,7,178,8,178,9,124,10,124,<0>,{25=300;24=300},,,
111201,11,2,1,{59001=5;50011=5;gold=150000},60,,,1,919,7,183,8,183,9,128,10,128,,,,,
111202,11,2,2,{59001=5;50011=5;gold=180000},60,,,1,928,7,184,8,184,9,129,10,129,,,,,
111203,11,2,3,{59001=6;50011=6;gold=210000},60,,,1,937,7,186,8,186,9,130,10,130,,,,,
111204,11,2,4,{59001=6;50011=6;gold=240000},60,,,1,946,7,188,8,188,9,131,10,131,<0>,{7=3%;8=3%},,,
111205,11,2,5,{59001=7;50011=7;gold=270000},60,,,1,955,7,190,8,190,9,133,10,133,,,,,
111206,11,2,6,{59001=7;50011=7;gold=300000},60,,,1,964,7,192,8,192,9,134,10,134,,,,,
111207,11,2,7,{gold=330000;59001=8;501=1;50011=8},60,,,1,974,7,194,8,194,9,135,10,135,,,,,
111208,11,2,8,{gold=360000;59001=8;501=1;50011=8},60,,,1,983,7,195,8,195,9,137,10,137,,,79001,,{effort=7;zawakeStage=108;equipAwakeSum=2;equipStarSum=6}
111301,11,3,1,{59001=6;50011=6;gold=230000},70,,,1,1002,7,199,8,199,9,139,10,139,,,,,
111302,11,3,2,{59001=6;50011=6;gold=270000},70,,,1,1012,7,201,8,201,9,141,10,141,,,,,
111303,11,3,3,{59001=7;50011=7;gold=320000},70,,,1,1022,7,203,8,203,9,142,10,142,,,,,
111304,11,3,4,{59001=7;50011=7;gold=360000},70,,,1,1032,7,205,8,205,9,143,10,143,<2;12>,{25=500;24=500},,,
111305,11,3,5,{59001=8;50011=8;gold=410000},70,,,1,1042,7,207,8,207,9,145,10,145,,,,,
111306,11,3,6,{gold=450000;59001=8;501=1;50011=8},70,,,1,1052,7,209,8,209,9,146,10,146,,,,,
111307,11,3,7,{gold=500000;59001=9;501=1;50011=9},70,,,1,1062,7,211,8,211,9,148,10,148,,,,,
111308,11,3,8,{223=1;gold=540000;501=1;59001=9;50011=9},70,,,1,1072,7,213,8,213,9,149,10,149,,,79002,,{star=9;goodFeel=150;advance=14;zawakeStage=208}
111401,11,4,1,{59001=8;50011=8;gold=350000},80,,,1,1086,7,216,8,216,9,151,10,151,,,,,
111402,11,4,2,{59001=8;50011=8;gold=410000},80,,,1,1096,7,218,8,218,9,152,10,152,,,,,
111403,11,4,3,{59001=9;50011=9;gold=480000},80,,,1,1107,7,220,8,220,9,154,10,154,,,,,
111404,11,4,4,{59001=9;50011=9;gold=540000},80,,,1,1118,7,222,8,222,9,155,10,155,<0>,{14=300;16=300},,,
111405,11,4,5,{59001=10;50011=10;gold=620000},80,,,1,1129,7,224,8,224,9,157,10,157,,,,,
111406,11,4,6,{gold=680000;59001=10;501=1;50011=10},80,,,1,1140,7,227,8,227,9,158,10,158,<0>,{91=300},,,
111407,11,4,7,{gold=750000;59001=11;501=1;50011=11},80,,,1,1151,7,229,8,229,9,160,10,160,,,,,
111408,11,4,8,{501=1;gold=810000;233=1;59001=11;50011=11},80,,,1,1161,7,231,8,231,9,161,10,161,,,79004,,{effort=9;zawakeStage=308;nvalueSum=140;equipStarSum=8}
111501,11,5,1,{59001=9;50011=9;gold=530000},100,,,1,1169,7,232,8,232,9,162,10,162,,,,,
111502,11,5,2,{59001=9;50011=9;gold=620000},100,,,1,1181,7,235,8,235,9,164,10,164,,,,,
111503,11,5,3,{59001=10;50011=10;gold=720000},100,,,1,1192,7,237,8,237,9,166,10,166,,,,,
111504,11,5,4,{59001=10;50011=10;gold=810000},100,,,1,1204,7,239,8,239,9,167,10,167,<6;10>,{14=500;16=500},,,
111505,11,5,5,{502=1;gold=930000;501=1;59001=11;50011=11},100,,,1,1216,7,242,8,242,9,169,10,169,,,,,
111506,11,5,6,{502=1;gold=1020000;501=1;59001=11;50011=11},100,,,1,1227,7,244,8,244,9,171,10,171,,,,,
111507,11,5,7,{502=1;gold=1130000;501=1;59001=12;50011=12},100,,,1,1239,7,246,8,246,9,172,10,172,,,,,
111508,11,5,8,{203=1;502=1;gold=1220000;501=1;59001=12;50011=12},100,,,1,1251,7,249,8,249,9,174,10,174,<0>,{22=300;23=300},,,
111601,11,6,1,{59001=10;50011=10;gold=800000},125,,,1,1253,7,249,8,249,9,174,10,174,,,,,
111602,11,6,2,{59001=10;50011=10;gold=930000},125,,,1,1265,7,251,8,251,9,176,10,176,,,,,
111603,11,6,3,{502=1;gold=1080000;501=1;59001=11;50011=11},125,,,1,1278,7,254,8,254,9,177,10,177,,,,,
111604,11,6,4,{502=1;gold=1220000;501=1;59001=11;50011=11},125,,,1,1290,7,256,8,256,9,179,10,179,<13>,{22=800;23=800},,,
111605,11,6,5,{502=1;gold=1400000;501=1;59001=12;50011=12},125,,,1,1303,7,259,8,259,9,181,10,181,,,,,
111606,11,6,6,{502=1;gold=1530000;501=1;59001=12;50011=12},125,,,1,1315,7,261,8,261,9,183,10,183,<0>,{13=3%},,,
111607,11,6,7,{203=1;502=2;gold=1700000;501=2;59001=13;50011=13},125,,,1,1328,7,264,8,264,9,184,10,184,,,,,
111608,11,6,8,{502=2;59001=13;gold=1830000;501=2;2152=1;50011=13},125,,,1,1340,7,266,8,266,9,186,10,186,,,79003,,{effort=11;zawakeStage=508;equipAwakeSum=4;equipStarSum=10}
111701,11,7,1,{59001=20;gold=1200000},110,,,1,1336,7,266,8,266,9,186,10,186,,,,,
111702,11,7,2,{59001=20;gold=1400000},110,,,1,1349,7,268,8,268,9,187,10,187,,,,,
111703,11,7,3,{59001=22;gold=1620000},110,,,1,1363,7,271,8,271,9,189,10,189,,,,,
111704,11,7,4,{59001=22;gold=1830000},110,,,1,1376,7,274,8,274,9,191,10,191,<0>,{25=300;24=300},,,
111705,11,7,5,{502=1;gold=2100000;59001=23;501=1},110,,,1,1389,7,276,8,276,9,193,10,193,,,,,
111706,11,7,6,{502=1;gold=2300000;59001=23;501=1},110,,,1,1403,7,279,8,279,9,195,10,195,,,,,
111707,11,7,7,{502=1;gold=2550000;59001=25;501=1},110,,,1,1416,7,282,8,282,9,197,10,197,,,,,
111708,11,7,8,{502=1;gold=2750000;59001=25;501=1;213=1},110,,,1,1430,7,284,8,284,9,199,10,199,<0>,{22=500;23=500},,,
111801,11,8,1,{59001=21;gold=1800000},135,,,1,1420,7,282,8,282,9,197,10,197,,,,,
111802,11,8,2,{59001=21;gold=2100000},135,,,1,1434,7,285,8,285,9,199,10,199,,,,,
111803,11,8,3,{502=1;gold=2430000;59001=23;501=1},135,,,1,1448,7,288,8,288,9,201,10,201,,,,,
111804,11,8,4,{502=1;gold=2750000;59001=23;501=1},135,,,1,1462,7,291,8,291,9,203,10,203,<0>,{97=300;96=300},,,
111805,11,8,5,{502=1;gold=3150000;59001=24;501=1},135,,,1,1476,7,293,8,293,9,205,10,205,,,,,
111806,11,8,6,{502=1;gold=3450000;59001=24;501=1},135,,,1,1490,7,296,8,296,9,207,10,207,,,,,
111807,11,8,7,{502=2;223=1;gold=3830000;59001=26;501=2},135,,,1,1505,7,299,8,299,9,209,10,209,,,,,
111808,11,8,8,{502=2;59001=26;gold=4130000;501=2;2152=1;19=60},135,,,1,1519,7,302,8,302,9,211,10,211,<0>,{1=8%;7=8%;8=8%;9=8%;10=8%;13=8%},,,{effort=11;zawakeStage=708;nvalueSum=160;equipStarSum=12}
112101,12,1,1,{gold=300000;50011=8;59002=6},75,,,1,974,7,194,8,194,9,135,10,135,,,,,
112102,12,1,2,{gold=360000;50011=8;59002=6},75,,,1,984,7,196,8,196,9,136,10,136,,,,,
112103,12,1,3,{gold=420000;50011=10;59002=7},75,,,1,993,7,198,8,198,9,138,10,138,,,,,
112104,12,1,4,{gold=480000;50011=10;59002=7},75,,,1,1003,7,200,8,200,9,139,10,139,<0>,{1=3%},,,
112105,12,1,5,{gold=540000;50011=12;59002=8},75,,,1,1013,7,202,8,202,9,140,10,140,,,,,
112106,12,1,6,{gold=600000;50011=12;59002=8},75,,,1,1023,7,204,8,204,9,142,10,142,,,,,
112107,12,1,7,{gold=660000;501=1;50011=14;59002=9},75,,,1,1032,7,206,8,206,9,143,10,143,,,,,
112108,12,1,8,{gold=720000;501=1;50011=14;59002=9},75,,,1,1042,7,208,8,208,9,144,10,144,<0>,{25=300;24=300},,,
112201,12,2,1,{gold=460000;50011=12;59002=8},90,,,1,1071,7,213,8,213,9,149,10,149,,,,,
112202,12,2,2,{gold=540000;50011=12;59002=8},90,,,1,1082,7,216,8,216,9,150,10,150,,,,,
112203,12,2,3,{gold=640000;50011=14;59002=9},90,,,1,1093,7,218,8,218,9,151,10,151,,,,,
112204,12,2,4,{gold=720000;50011=14;59002=9},90,,,1,1104,7,220,8,220,9,153,10,153,<0>,{7=3%;8=3%},,,
