VariableName,zawakeID,_beizhu,awakeSeqID,pos,scale,awakeDes1_cn,awakeDes1_tw,awakeDes1,awakeDes1_vn,awakeDes1_en,awakeDes1_th,awakeDes1_in,awakeDes1_ph,awakeDes1_ma,isOpen,unlockType1,unlockLimit1,unlockType2,unlockLimit2
10203,2,,3,,,,,Minor Skill Enhanced!  ,Tăng cường kỹ năng nhỏ!,Minor Skill Enhanced!  ,เสริมพลังทักษะย่อย!  ,Skill Minor Ditingkatkan!  ,Pinahusay ang Maliit na Kakayahan!  ,Kemahiran Kecil Ditingkatkan!  ,,,{star=9;goodFeel=160;advance=15;zawakeStage=208},,
10204,2,,4,,,,,Active Skill Enhanced!  ,Tăng cường kỹ năng chủ động!,Active Skill Enhanced!  ,เสริมพลังทักษะใช้งาน!  ,Skill Aktif Ditingkatkan!  ,Pinahusay ang Aktibong Kakayahan!  ,Kemahiran Aktif Ditingkatkan!  ,,,{effort=9;zawakeStage=308;nvalueSum=140;equipStarSum=9},,
10205,2,,5,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติถูกเพิ่มพลัง  ,Atribut Ditingkatkan  ,Nadagdagang Katangian  ,Atribut Ditingkatkan  ,,,{star=10;goodFeel=220;advance=16;zawakeStage=408},,
10206,2,,6,,,,,Ultimate Skill Enhanced!  ,Tăng cường kỹ năng chiêu cuối!,Ultimate Skill Enhanced!  ,เสริมพลังท่าไม้ตาย!  ,Skill Ultimate Ditingkatkan!  ,Pinahusay ang Ultimate na Kakayahan!  ,Kemahiran Muktamad Ditingkatkan!  ,,,{effort=11;equipStarSum=12;equipAwakeSum=4;zawakeStage=508},,
10207,2,,7,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติถูกเพิ่มพลัง  ,Atribut Ditingkatkan  ,Nadagdagang Katangian  ,Atribut Ditingkatkan  ,,,{star=11;goodFeel=300;advance=17;zawakeStage=608},,
10208,2,,8,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติถูกเพิ่มพลัง  ,Atribut Ditingkatkan  ,Nadagdagang Katangian  ,Atribut Ditingkatkan  ,,,{effort=13;zawakeStage=708;nvalueSum=140;equipStarSum=15},,
11101,11,,1,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติถูกเพิ่มพลัง  ,Atribut Ditingkatkan  ,Nadagdagang Katangian  ,Atribut Ditingkatkan  ,1,,{star=8;advance=13;goodFeel=100},,
11102,11,,2,,,,,Basic Attack Skill Enhanced!  ,Tăng cường kỹ năng tấn công cơ bản!,Basic Attack Skill Enhanced!  ,เสริมพลังทักษะโจมตีพื้นฐาน!  ,Skill Serangan Dasar Ditingkatkan!  ,Pinahusay ang Pangunahing Kakayahan sa Atake!  ,Kemahiran Serangan Asas Ditingkatkan!  ,1,,{effort=7;equipStarSum=6;equipAwakeSum=2;zawakeStage=108},,
11103,11,,3,,,,,Minor Skill Enhanced!  ,Tăng cường kỹ năng nhỏ!,Minor Skill Enhanced!  ,เสริมพลังทักษะย่อย!  ,Skill Minor Ditingkatkan!  ,Pinahusay ang Maliit na Kakayahan!  ,Kemahiran Kecil Ditingkatkan!  ,1,,{star=9;goodFeel=150;advance=14;zawakeStage=208},,
11104,11,,4,,,,,Active Skill Enhanced!  ,Tăng cường kỹ năng chủ động!,Active Skill Enhanced!  ,เสริมพลังทักษะใช้งาน!  ,Skill Aktif Ditingkatkan!  ,Pinahusay ang Aktibong Kakayahan!  ,Kemahiran Aktif Ditingkatkan!  ,1,,{effort=9;zawakeStage=308;nvalueSum=140;equipStarSum=8},,
11105,11,,5,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติถูกเพิ่มพลัง  ,Atribut Ditingkatkan  ,Nadagdagang Katangian  ,Atribut Ditingkatkan  ,,,{star=10;goodFeel=200;advance=15;zawakeStage=408},,
11106,11,,6,,,,,Ultimate Skill Enhanced!  ,Tăng cường kỹ năng chiêu cuối!,Ultimate Skill Enhanced!  ,เสริมพลังท่าไม้ตาย!  ,Skill Ultimate Ditingkatkan!  ,Pinahusay ang Ultimate na Kakayahan!  ,Kemahiran Muktamad Ditingkatkan!  ,,,{effort=11;equipStarSum=10;equipAwakeSum=4;zawakeStage=508},,
11107,11,,7,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติถูกเพิ่มพลัง  ,Atribut Ditingkatkan  ,Nadagdagang Katangian  ,Atribut Ditingkatkan  ,,,{star=11;goodFeel=250;advance=16;zawakeStage=608},,
11108,11,,8,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติถูกเพิ่มพลัง  ,Atribut Ditingkatkan  ,Nadagdagang Katangian  ,Atribut Ditingkatkan  ,,,{effort=13;zawakeStage=708;nvalueSum=140;equipStarSum=12},,
11201,12,,1,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติถูกเพิ่มพลัง  ,Atribut Ditingkatkan  ,Nadagdagang Katangian  ,Atribut Ditingkatkan  ,,,{star=8;advance=13;goodFeel=100},,
11202,12,,2,,,,,Basic Attack Skill Enhanced!  ,Tăng cường kỹ năng tấn công cơ bản!,Basic Attack Skill Enhanced!  ,เสริมพลังทักษะโจมตีพื้นฐาน!  ,Skill Serangan Dasar Ditingkatkan!  ,Pinahusay ang Pangunahing Kakayahan sa Atake!  ,Kemahiran Serangan Asas Ditingkatkan!  ,,,{effort=7;equipStarSum=6;equipAwakeSum=2;zawakeStage=108},,
11203,12,,3,,,,,Minor Skill Enhanced!  ,Tăng cường kỹ năng nhỏ!,Minor Skill Enhanced!  ,เสริมพลังทักษะย่อย!  ,Skill Minor Ditingkatkan!  ,Pinahusay ang Maliit na Kakayahan!  ,Kemahiran Kecil Ditingkatkan!  ,,,{star=9;goodFeel=160;advance=15;zawakeStage=208},,
11204,12,,4,,,,,Active Skill Enhanced!  ,Tăng cường kỹ năng chủ động!,Active Skill Enhanced!  ,เสริมพลังทักษะใช้งาน!  ,Skill Aktif Ditingkatkan!  ,Pinahusay ang Aktibong Kakayahan!  ,Kemahiran Aktif Ditingkatkan!  ,,,{effort=9;zawakeStage=308;nvalueSum=140;equipStarSum=9},,
11205,12,,5,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติถูกเพิ่มพลัง  ,Atribut Ditingkatkan  ,Nadagdagang Katangian  ,Atribut Ditingkatkan  ,,,{star=10;goodFeel=220;advance=16;zawakeStage=408},,
11206,12,,6,,,,,Ultimate Skill Enhanced!  ,Tăng cường kỹ năng chiêu cuối!,Ultimate Skill Enhanced!  ,เสริมพลังท่าไม้ตาย!  ,Skill Ultimate Ditingkatkan!  ,Pinahusay ang Ultimate na Kakayahan!  ,Kemahiran Muktamad Ditingkatkan!  ,,,{effort=11;equipStarSum=12;equipAwakeSum=4;zawakeStage=508},,
11207,12,,7,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติถูกเพิ่มพลัง  ,Atribut Ditingkatkan  ,Nadagdagang Katangian  ,Atribut Ditingkatkan  ,,,{star=11;goodFeel=300;advance=17;zawakeStage=608},,
11208,12,,8,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติถูกเพิ่มพลัง  ,Atribut Ditingkatkan  ,Nadagdagang Katangian  ,Atribut Ditingkatkan  ,,,{effort=13;zawakeStage=708;nvalueSum=140;equipStarSum=15},,
11301,13,,1,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติถูกเพิ่มพลัง  ,Atribut Ditingkatkan  ,Nadagdagang Katangian  ,Atribut Ditingkatkan  ,,,{star=8;advance=13;goodFeel=100},,
11302,13,,2,,,,,Basic Attack Skill Enhanced!,Tăng cường kỹ năng tấn công cơ bản!,Basic Attack Skill Enhanced!,เสริมพลังทักษะโจมตีพื้นฐาน!,Skill Serangan Dasar Ditingkatkan!,Pinahusay ang Pangunahing Kakayahan sa Atake!,Kemahiran Serangan Asas Ditingkatkan!,,,{effort=7;equipStarSum=6;equipAwakeSum=2;zawakeStage=108},,
11303,13,,3,,,,,Minor Skill Enhanced!  ,Tăng cường kỹ năng nhỏ!,Minor Skill Enhanced!  ,เสริมพลังทักษะย่อย!  ,Skill Minor Ditingkatkan!  ,Pinahusay ang Maliit na Kakayahan!  ,Kemahiran Kecil Ditingkatkan!  ,,,{star=9;goodFeel=160;advance=15;zawakeStage=208},,
11304,13,,4,,,,,Active Skill Enhanced!  ,Tăng cường kỹ năng chủ động!,Active Skill Enhanced!  ,เสริมพลังทักษะใช้งาน!  ,Skill Aktif Ditingkatkan!  ,Pinahusay ang Aktibong Kakayahan!  ,Kemahiran Aktif Ditingkatkan!  ,,,{effort=9;zawakeStage=308;nvalueSum=140;equipStarSum=9},,
11305,13,,5,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติถูกเพิ่มพลัง  ,Atribut Ditingkatkan  ,Nadagdagang Katangian  ,Atribut Ditingkatkan  ,,,{star=10;goodFeel=220;advance=16;zawakeStage=408},,
11306,13,,6,,,,,Ultimate Skill Enhanced!  ,Tăng cường kỹ năng chiêu cuối!,Ultimate Skill Enhanced!  ,เสริมพลังท่าไม้ตาย!  ,Skill Ultimate Ditingkatkan!  ,Pinahusay ang Ultimate na Kakayahan!  ,Kemahiran Muktamad Ditingkatkan!  ,,,{effort=11;equipStarSum=12;equipAwakeSum=4;zawakeStage=508},,
11307,13,,7,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติถูกเพิ่มพลัง  ,Atribut Ditingkatkan  ,Nadagdagang Katangian  ,Atribut Ditingkatkan  ,,,{star=11;goodFeel=300;advance=17;zawakeStage=608},,
11308,13,,8,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติถูกเพิ่มพลัง  ,Atribut Ditingkatkan  ,Nadagdagang Katangian  ,Atribut Ditingkatkan  ,,,{effort=13;zawakeStage=708;nvalueSum=140;equipStarSum=15},,
12101,21,,1,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติถูกเพิ่มพลัง  ,Atribut Ditingkatkan  ,Nadagdagang Katangian  ,Atribut Ditingkatkan  ,1,,{star=8;advance=13;goodFeel=100},,
12102,21,,2,,,,,Basic Attack Skill Enhanced!  ,Tăng cường kỹ năng tấn công cơ bản!,Basic Attack Skill Enhanced!  ,เสริมพลังทักษะโจมตีพื้นฐาน!  ,Skill Serangan Dasar Ditingkatkan!  ,Pinahusay ang Pangunahing Kakayahan sa Atake!  ,Kemahiran Serangan Asas Ditingkatkan!  ,1,,{effort=7;equipStarSum=6;equipAwakeSum=2;zawakeStage=108},,
12103,21,,3,,,,,Minor Skill Enhanced!  ,Tăng cường kỹ năng nhỏ!,Minor Skill Enhanced!  ,เสริมพลังทักษะย่อย!  ,Skill Minor Ditingkatkan!  ,Pinahusay ang Maliit na Kakayahan!  ,Kemahiran Kecil Ditingkatkan!  ,1,,{star=9;goodFeel=150;advance=14;zawakeStage=208},,
12104,21,,4,,,,,Active Skill Enhanced!  ,Tăng cường kỹ năng chủ động!,Active Skill Enhanced!  ,เสริมพลังทักษะใช้งาน!  ,Skill Aktif Ditingkatkan!  ,Pinahusay ang Aktibong Kakayahan!  ,Kemahiran Aktif Ditingkatkan!  ,1,,{effort=9;zawakeStage=308;nvalueSum=140;equipStarSum=8},,
12105,21,,5,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติถูกเพิ่มพลัง  ,Atribut Ditingkatkan  ,Nadagdagang Katangian  ,Atribut Ditingkatkan  ,,,{star=10;goodFeel=200;advance=15;zawakeStage=408},,
12106,21,,6,,,,,Ultimate Skill Enhanced!  ,Tăng cường kỹ năng chiêu cuối!,Ultimate Skill Enhanced!  ,เสริมพลังท่าไม้ตาย!  ,Skill Ultimate Ditingkatkan!  ,Pinahusay ang Ultimate na Kakayahan!  ,Kemahiran Muktamad Ditingkatkan!  ,,,{effort=11;equipStarSum=10;equipAwakeSum=4;zawakeStage=508},,
12107,21,,7,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติถูกเพิ่มพลัง  ,Atribut Ditingkatkan  ,Nadagdagang Katangian  ,Atribut Ditingkatkan  ,,,{star=11;goodFeel=250;advance=16;zawakeStage=608},,
12108,21,,8,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติถูกเพิ่มพลัง  ,Atribut Ditingkatkan  ,Nadagdagang Katangian  ,Atribut Ditingkatkan  ,,,{effort=13;zawakeStage=708;nvalueSum=140;equipStarSum=12},,
12201,22,,1,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติถูกเพิ่มพลัง  ,Atribut Ditingkatkan  ,Nadagdagang Katangian  ,Atribut Ditingkatkan  ,,,{star=8;advance=13;goodFeel=100},,
12202,22,,2,,,,,Basic Attack Skill Enhanced!  ,Tăng cường kỹ năng tấn công cơ bản!,Basic Attack Skill Enhanced!  ,เสริมพลังทักษะโจมตีพื้นฐาน!  ,Skill Serangan Dasar Ditingkatkan!  ,Pinahusay ang Pangunahing Kakayahan sa Atake!  ,Kemahiran Serangan Asas Ditingkatkan!  ,,,{effort=7;equipStarSum=6;equipAwakeSum=2;zawakeStage=108},,
12203,22,,3,,,,,Minor Skill Enhanced!  ,Tăng cường kỹ năng nhỏ!,Minor Skill Enhanced!  ,เสริมพลังทักษะย่อย!  ,Skill Minor Ditingkatkan!  ,Pinahusay ang Maliit na Kakayahan!  ,Kemahiran Kecil Ditingkatkan!  ,,,{star=9;goodFeel=160;advance=15;zawakeStage=208},,
12204,22,,4,,,,,Active Skill Enhanced!  ,Tăng cường kỹ năng chủ động!,Active Skill Enhanced!  ,เสริมพลังทักษะใช้งาน!  ,Skill Aktif Ditingkatkan!  ,Pinahusay ang Aktibong Kakayahan!  ,Kemahiran Aktif Ditingkatkan!  ,,,{effort=9;zawakeStage=308;nvalueSum=140;equipStarSum=9},,
12205,22,,5,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติถูกเพิ่มพลัง  ,Atribut Ditingkatkan  ,Nadagdagang Katangian  ,Atribut Ditingkatkan  ,,,{star=10;goodFeel=220;advance=16;zawakeStage=408},,
12206,22,,6,,,,,Ultimate Skill Enhanced!  ,Tăng cường kỹ năng chiêu cuối!,Ultimate Skill Enhanced!  ,เสริมพลังท่าไม้ตาย!  ,Skill Ultimate Ditingkatkan!  ,Pinahusay ang Ultimate na Kakayahan!  ,Kemahiran Muktamad Ditingkatkan!  ,,,{effort=11;equipStarSum=12;equipAwakeSum=4;zawakeStage=508},,
12207,22,,7,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติถูกเพิ่มพลัง  ,Atribut Ditingkatkan  ,Nadagdagang Katangian  ,Atribut Ditingkatkan  ,,,{star=11;goodFeel=300;advance=17;zawakeStage=608},,
12208,22,,8,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติถูกเพิ่มพลัง  ,Atribut Ditingkatkan  ,Nadagdagang Katangian  ,Atribut Ditingkatkan  ,,,{effort=13;zawakeStage=708;nvalueSum=140;equipStarSum=15},,
13101,31,,1,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติถูกเพิ่มพลัง  ,Atribut Ditingkatkan  ,Nadagdagang Katangian  ,Atribut Ditingkatkan  ,,,{star=8;advance=13;goodFeel=100},,
13102,31,,2,,,,,Basic Attack Skill Enhanced!  ,Tăng cường kỹ năng tấn công cơ bản!,Basic Attack Skill Enhanced!  ,เสริมพลังทักษะโจมตีพื้นฐาน!  ,Skill Serangan Dasar Ditingkatkan!  ,Pinahusay ang Pangunahing Kakayahan sa Atake!  ,Kemahiran Serangan Asas Ditingkatkan!  ,,,{effort=7;equipStarSum=6;equipAwakeSum=2;zawakeStage=108},,
13103,31,,3,,,,,Minor Skill Enhanced!  ,Tăng cường kỹ năng nhỏ!,Minor Skill Enhanced!  ,เสริมพลังทักษะย่อย!  ,Skill Minor Ditingkatkan!  ,Pinahusay ang Maliit na Kakayahan!  ,Kemahiran Kecil Ditingkatkan!  ,,,{star=9;goodFeel=150;advance=14;zawakeStage=208},,
13104,31,,4,,,,,Active Skill Enhanced!  ,Tăng cường kỹ năng chủ động!,Active Skill Enhanced!  ,เสริมพลังทักษะใช้งาน!  ,Skill Aktif Ditingkatkan!  ,Pinahusay ang Aktibong Kakayahan!  ,Kemahiran Aktif Ditingkatkan!  ,,,{effort=9;zawakeStage=308;nvalueSum=140;equipStarSum=8},,
13105,31,,5,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติถูกเพิ่มพลัง  ,Atribut Ditingkatkan  ,Nadagdagang Katangian  ,Atribut Ditingkatkan  ,,,{star=10;goodFeel=200;advance=15;zawakeStage=408},,
13106,31,,6,,,,,Ultimate Skill Enhanced!  ,Tăng cường kỹ năng chiêu cuối!,Ultimate Skill Enhanced!  ,เสริมพลังท่าไม้ตาย!  ,Skill Ultimate Ditingkatkan!  ,Pinahusay ang Ultimate na Kakayahan!  ,Kemahiran Muktamad Ditingkatkan!  ,,,{effort=11;equipStarSum=10;equipAwakeSum=4;zawakeStage=508},,
13107,31,,7,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติถูกเพิ่มพลัง  ,Atribut Ditingkatkan  ,Nadagdagang Katangian  ,Atribut Ditingkatkan  ,,,{star=11;goodFeel=250;advance=16;zawakeStage=608},,
13108,31,,8,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติถูกเพิ่มพลัง  ,Atribut Ditingkatkan  ,Nadagdagang Katangian  ,Atribut Ditingkatkan  ,,,{effort=13;zawakeStage=708;nvalueSum=140;equipStarSum=12},,
14101,41,,1,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติถูกเพิ่มพลัง  ,Atribut Ditingkatkan  ,Nadagdagang Katangian  ,Atribut Ditingkatkan  ,,,{star=8;advance=13;goodFeel=100},,
14102,41,,2,,,,,Basic Attack Skill Enhanced!  ,Tăng cường kỹ năng tấn công cơ bản!,Basic Attack Skill Enhanced!  ,เสริมพลังทักษะโจมตีพื้นฐาน!  ,Skill Serangan Dasar Ditingkatkan!  ,Pinahusay ang Pangunahing Kakayahan sa Atake!  ,Kemahiran Serangan Asas Ditingkatkan!  ,,,{effort=7;equipStarSum=6;equipAwakeSum=2;zawakeStage=108},,
14103,41,,3,,,,,Minor Skill Enhanced!  ,Tăng cường kỹ năng nhỏ!,Minor Skill Enhanced!  ,เสริมพลังทักษะย่อย!  ,Skill Minor Ditingkatkan!  ,Pinahusay ang Maliit na Kakayahan!  ,Kemahiran Kecil Ditingkatkan!  ,,,{star=9;goodFeel=150;advance=14;zawakeStage=208},,
14104,41,,4,,,,,Active Skill Enhanced!  ,Tăng cường kỹ năng chủ động!,Active Skill Enhanced!  ,เสริมพลังทักษะใช้งาน!  ,Skill Aktif Ditingkatkan!  ,Pinahusay ang Aktibong Kakayahan!  ,Kemahiran Aktif Ditingkatkan!  ,,,{effort=9;zawakeStage=308;nvalueSum=140;equipStarSum=8},,
14105,41,,5,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติถูกเพิ่มพลัง  ,Atribut Ditingkatkan  ,Nadagdagang Katangian  ,Atribut Ditingkatkan  ,,,{star=10;goodFeel=200;advance=15;zawakeStage=408},,
14106,41,,6,,,,,Ultimate Skill Enhanced!,Tăng cường kỹ năng chiêu cuối!,Ultimate Skill Enhanced!,เสริมพลังท่าไม้ตาย!,Skill Ultimate Ditingkatkan!,Pinahusay ang Ultimate na Kakayahan!,Kemahiran Muktamad Ditingkatkan!,,,{effort=11;equipStarSum=10;equipAwakeSum=4;zawakeStage=508},,
14107,41,,7,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติถูกเพิ่มพลัง  ,Atribut Ditingkatkan  ,Nadagdagang Katangian  ,Atribut Ditingkatkan  ,,,{star=11;goodFeel=250;advance=16;zawakeStage=608},,
14108,41,,8,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติถูกเพิ่มพลัง  ,Atribut Ditingkatkan  ,Nadagdagang Katangian  ,Atribut Ditingkatkan  ,,,{effort=13;zawakeStage=708;nvalueSum=140;equipStarSum=12},,
14201,42,,1,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติถูกเพิ่มพลัง  ,Atribut Ditingkatkan  ,Nadagdagang Katangian  ,Atribut Ditingkatkan  ,,,{star=8;advance=13;goodFeel=100},,
14202,42,,2,,,,,Basic Attack Skill Enhanced!  ,Tăng cường kỹ năng tấn công cơ bản!,Basic Attack Skill Enhanced!  ,เสริมพลังทักษะโจมตีพื้นฐาน!  ,Skill Serangan Dasar Ditingkatkan!  ,Pinahusay ang Pangunahing Kakayahan sa Atake!  ,Kemahiran Serangan Asas Ditingkatkan!  ,,,{effort=7;equipStarSum=6;equipAwakeSum=2;zawakeStage=108},,
14203,42,,3,,,,,Minor Skill Enhanced!  ,Tăng cường kỹ năng nhỏ!,Minor Skill Enhanced!  ,เสริมพลังทักษะย่อย!  ,Skill Minor Ditingkatkan!  ,Pinahusay ang Maliit na Kakayahan!  ,Kemahiran Kecil Ditingkatkan!  ,,,{star=9;goodFeel=150;advance=14;zawakeStage=208},,
14204,42,,4,,,,,Active Skill Enhanced!  ,Tăng cường kỹ năng chủ động!,Active Skill Enhanced!  ,เสริมพลังทักษะใช้งาน!  ,Skill Aktif Ditingkatkan!  ,Pinahusay ang Aktibong Kakayahan!  ,Kemahiran Aktif Ditingkatkan!  ,,,{effort=9;zawakeStage=308;nvalueSum=140;equipStarSum=8},,
14205,42,,5,,,,,Attribute Enhanced  ,Thuộc tính được tăng cường,Attribute Enhanced  ,คุณสมบัติถูกเพิ่มพลัง  ,Atribut Ditingkatkan  ,Nadagdagang Katangian  ,Atribut Ditingkatkan  ,,,{star=10;goodFeel=200;advance=15;zawakeStage=408},,
14206,42,,6,,,,,Ultimate Skill Enhanced!  ,Tăng cường kỹ năng chiêu cuối!,Ultimate Skill Enhanced!  ,เสริมพลังท่าไม้ตาย!  ,Skill Ultimate Ditingkatkan!  ,Pinahusay ang Ultimate na Kakayahan!  ,Kemahiran Muktamad Ditingkatkan!  ,,,{effort=11;equipStarSum=10;equipAwakeSum=4;zawakeStage=508},,
