VariableName,name,name_vn,name_en,name_th,name_in,name_ph,name_ma,quality,type,stackMax,effBtn,pageTag,languages,cardID,icon,desc,desc_en,desc_vn,desc_th,desc_in,desc_ma,desc_ph,desc1,desc1_en,desc1_vn,desc1_th,produceGate1,produceGate2,produceGate3,produceGate4,produceGate5,produceGate6,produceGate7,produceDesc,produceDesc_tw,produceDesc_en,produceDesc_kr,effect,sortType,sortValue
52231,Vegeta-Fate Fragment,Mảnh Định Mệnh-Vegeta,Vegeta-Fate Fragment,เบจิต้า-เศษโชคชะตา,Vegeta-Fragmen Takdir,Vegeta-Piraso ng Kapalaran,Vegeta-Fragmen Takdir,,,,,,,,config/portrait/jinglingtouxiang/img_2233.png,Used to enhance Vegeta Fate Core,Used to enhance Vegeta Fate Core,Dùng để tăng trưởng mệnh cách của Vegeta,ใช้ในการพัฒนาแก่นชะตาของเบจิต้า,Digunakan untuk meningkatkan takdir Vegeta,Digunakan untuk meningkatkan nasib Vegeta,Ginagamit upang pahusayin ang kapalaran ni Vegeta,Used to enhance Vegeta Fate Development,Used to enhance Vegeta Fate Development,,ใช้สำหรับพัฒนาชะตาของเบจิต้า,zawakeFragCurrency,,,,,,,,,,,,,
52351,Master Roshi-Jackie Chan-Fate Fragment,Mảnh Định Mệnh-Quy Lão Tiên Sinh-Thành Long,Master Roshi-Jackie Chan-Fate Fragment,ผู้เฒ่าเต่า-เฉินหลง-เศษโชคชะตา,Master Roshi-Jackie Chan-Fragmen Takdir,Master Roshi-Jackie Chan-Piraso,Master Roshi-Jackie Chan-Fragmen,,,,,,,,config/portrait/jinglingtouxiang/img_2351.png,Used to enhance Master Roshi (Jackie Chan) Fate Core,Used to enhance Master Roshi (Jackie Chan) Fate Core,Dùng để tăng trưởng mệnh cách của Quy Lão Tiên Sinh (Thành Long),ใช้ในการพัฒนาแก่นชะตาของมาสเตอร์โรชิ (เฉินหลง),Digunakan untuk meningkatkan takdir Master Roshi (Jackie Chan),Digunakan untuk meningkatkan nasib Master Roshi (Jackie Chan),Ginagamit upang pahusayin ang kapalaran ni Master Roshi (Jackie Chan),Used to enhance Master Roshi (Jackie Chan) Fate Development,Used to enhance Master Roshi (Jackie Chan) Fate Development,,ใช้สำหรับพัฒนาชะตาของผู้เฒ่าเต่า (เฉินหลง),zawakeFragCurrency,,,,,,,,,,,,,
52361,Bankai-Kenpachi-Fate Fragment,Mảnh Định Mệnh-Bankai Kenpachi,Bankai-Kenpachi-Fate Fragment,บังไค-เคมปาจิ-เศษโชคชะตา,Bankai-Kenpachi-Fragmen Takdir,Bankai-Kenpachi-Piraso ng Kapalaran,Bankai-Kenpachi-Fragmen Takdir,,,,,,,,config/portrait/jinglingtouxiang/img_2361.png,Used to enhance Kenpachi (Bankai) Fate Core,Used to enhance Kenpachi (Bankai) Fate Core,Dùng để tăng trưởng mệnh cách của Kiếm Bát (Bankai),ใช้ในการพัฒนาแก่นชะตาของเคนปาจิ (บังไค),Digunakan untuk meningkatkan takdir Kenpachi (Bankai),Digunakan untuk meningkatkan nasib Kenpachi (Bankai),Ginagamit upang pahusayin ang kapalaran ni Kenpachi (Bankai),Used to enhance Kenpachi (Bankai) Fate Development,Used to enhance Kenpachi (Bankai) Fate Development,,ใช้สำหรับพัฒนาชะตาของเคมปาจิ (บังไค),zawakeFragCurrency,,,,,,,,,,,,,
52381,Albedo-Fate Fragment,Mảnh Định Mệnh-Albedo,Albedo-Fate Fragment,อัลเบโด-เศษโชคชะตา,Albedo-Fragmen Takdir,Albedo-Piraso ng Kapalaran,Albedo-Fragmen Takdir,,,,,,,,config/portrait/jinglingtouxiang/img_2381.png,Used to enhance Albedo Fate Core,Used to enhance Albedo Fate Core,Dùng để tăng trưởng mệnh cách của Albedo,ใช้ในการพัฒนาแก่นชะตาของอัลเบโด,Digunakan untuk meningkatkan takdir Albedo,Digunakan untuk meningkatkan nasib Albedo,Ginagamit upang pahusayin ang kapalaran ni Albedo,Used to enhance Albedo Fate Development,Used to enhance Albedo Fate Development,,ใช้สำหรับพัฒนาชะตาของอัลเบโด้,zawakeFragCurrency,,,,,,,,,,,,,
52391,Daki-Fate Fragment,Mảnh Định Mệnh-Daki,Daki-Fate Fragment,ดากิ-เศษโชคชะตา,Daki-Fragmen Takdir,Daki-Piraso ng Kapalaran,Daki-Fragmen Takdir,,,,,,,,config/portrait/jinglingtouxiang/img_2391.png,Used to enhance Daki Fate Core,Used to enhance Daki Fate Core,Dùng để tăng trưởng mệnh cách của Daki,ใช้ในการพัฒนาแก่นชะตาของดากิ,Digunakan untuk meningkatkan takdir Daki,Digunakan untuk meningkatkan nasib Daki,Ginagamit upang pahusayin ang kapalaran ni Daki,Used to enhance Daki Fate Development,Used to enhance Daki Fate Development,,ใช้สำหรับพัฒนาชะตาของดากิ,zawakeFragCurrency,,,,,,,,,,,,,
52401,Usagi Tsukino-Fate Fragment,Mảnh Định Mệnh-Usagi Tsukino,Usagi Tsukino-Fate Fragment,อุซางิ-เศษโชคชะตา,Usagi-Fragmen Takdir,Usagi-Piraso ng Kapalaran,Usagi-Fragmen Takdir,,,,,,,,config/portrait/jinglingtouxiang/img_2401.png,Used to enhance Usagi Tsukino Fate Core,Used to enhance Usagi Tsukino Fate Core,Dùng để tăng trưởng mệnh cách của Usagi Tsukino,ใช้ในการพัฒนาแก่นชะตาของอุซางิ ซึกิโนะ,Digunakan untuk meningkatkan takdir Usagi Tsukino,Digunakan untuk meningkatkan nasib Usagi Tsukino,Ginagamit upang pahusayin ang kapalaran ni Usagi Tsukino,Used to enhance Usagi Tsukino Fate Development,Used to enhance Usagi Tsukino Fate Development,,ใช้สำหรับพัฒนาชะตาของอุซางิ ซึกิโนะ,zawakeFragCurrency,,,,,,,,,,,,,
52431,Boa Hancock-Fate Fragment,Mảnh Định Mệnh-Nữ Hoàng Hải Tặc,Boa Hancock-Fate Fragment,โบอา-เศษโชคชะตา,Boa Hancock-Fragmen Takdir,Boa Hancock-Piraso ng Kapalaran,Boa Hancock-Fragmen Takdir,,,,,,,,config/portrait/jinglingtouxiang/img_2431.png,Used to enhance Pirate Empress Fate Core,Used to enhance Pirate Empress Fate Core,Dùng để tăng trưởng mệnh cách của Nữ Hoàng Hải Tặc,ใช้ในการพัฒนาแก่นชะตาของจักรพรรดินีโจรสลัด,Digunakan untuk meningkatkan takdir Ratu Bajak Laut,Digunakan untuk meningkatkan nasib Ratu Lanun,Ginagamit upang pahusayin ang kapalaran ni Empress,Used to enhance Empress Fate Development,Used to enhance Empress Fate Development,,ใช้สำหรับพัฒนาชะตาของจักรพรรดินี,zawakeFragCurrency,,,,,,,,,,,,,
52461,Madara-Fate Fragment,Mảnh Định Mệnh-Madara,Madara-Fate Fragment,อควา-เศษโชคชะตา,Madara-Fragmen Takdir,Madara-Piraso ng Kapalaran,Madara-Fragmen Takdir,7,,,,,,,config/portrait/jinglingtouxiang/img_2461.png,Used to enhance Madara Fate Core,Used to enhance Madara Fate Core,Dùng để tăng trưởng mệnh cách của Madara,ใช้ในการพัฒนาแก่นชะตาของอควา,Digunakan untuk meningkatkan takdir Madara,Digunakan untuk meningkatkan nasib Madara,Ginagamit upang pahusayin ang kapalaran ni Madara,Used to enhance Madara Fate Development,,,,zawakeFragCurrency,,,,,,,,,,,,,
53141,Marisa Kirisame-Fate Fragment,Mảnh Định Mệnh-Kirisame Marisa,Marisa Kirisame-Fate Fragment,มาริสะ-เศษโชคชะตา,Marisa-Fragmen Takdir,Marisa-Piraso ng Kapalaran,Marisa-Fragmen Takdir,,,,,,,,config/portrait/jinglingtouxiang/img_3143.png,Used to enhance Marisa Kirisame Fate Core,Used to enhance Marisa Kirisame Fate Core,Dùng để tăng trưởng mệnh cách của Marisa Kirisame,ใช้ในการพัฒนาแก่นชะตาของมาริสะ คิริซาเมะ,Digunakan untuk meningkatkan takdir Marisa Kirisame,Digunakan untuk meningkatkan nasib Marisa Kirisame,Ginagamit upang pahusayin ang kapalaran ni Marisa Kirisame,Used to enhance Marisa Kirisame Fate Development,Used to enhance Marisa Kirisame Fate Development,,ใช้สำหรับพัฒนาชะตาของมาริสะ คิริซาเมะ,zawakeFragCurrency,,,,,,,,,,,,,
53172,Goku Ultra Instinct-Fate Fragment,Mảnh Định Mệnh-Goku Ultra Instinct,Goku Ultra Instinct-Fate Fragment,อควา-เศษโชคชะตา,Goku Ultra Instinct-Fragmen Takdir,Goku Ultra Instinct-Piraso ng Kapalaran,Goku Ultra Instinct-Fragmen Takdir,6,,,,,,,config/portrait/jinglingtouxiang/img_3172.png,Một mảnh đặc biệt không thể tổng hợp thành Anh hùng,,,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
53211,Jiraiya-Fate Fragment,Mảnh Định Mệnh-Jiraiya,Jiraiya-Fate Fragment,จิไรยะ-เศษโชคชะตา,Jiraiya-Fragmen Takdir,Jiraiya-Piraso ng Kapalaran,Jiraiya-Fragmen Takdir,,,,,,,,config/portrait/jinglingtouxiang/img_3211.png,Used to enhance Jiraiya Fate Core,Used to enhance Jiraiya Fate Core,Dùng để tăng trưởng mệnh cách của Jiraiya,ใช้ในการพัฒนาแก่นชะตาของจิไรยะ,Digunakan untuk meningkatkan takdir Jiraiya,Digunakan untuk meningkatkan nasib Jiraiya,Ginagamit upang pahusayin ang kapalaran ni Jiraiya,Used to enhance Jiraiya Fate Development,Used to enhance Jiraiya Fate Development,,ใช้สำหรับพัฒนาชะตาของจิไรยะ,zawakeFragCurrency,,,,,,,,,,,,,
53221,Uchiha Itachi-Fate Fragment,Mảnh Định Mệnh-Uchiha Itachi,Uchiha Itachi-Fate Fragment,อิทาจิ-เศษโชคชะตา,Itachi-Fragmen Takdir,Itachi-Piraso ng Kapalaran,Itachi-Fragmen Takdir,,,,,,,,config/portrait/jinglingtouxiang/img_3221.png,Used to enhance Uchiha Itachi Fate Core,Used to enhance Uchiha Itachi Fate Core,Dùng để tăng trưởng mệnh cách của Uchiha Itachi,ใช้ในการพัฒนาแก่นชะตาของอุจิวะ อิทาจิ,Digunakan untuk meningkatkan takdir Uchiha Itachi,Digunakan untuk meningkatkan nasib Uchiha Itachi,Ginagamit upang pahusayin ang kapalaran ni Uchiha Itachi,Used to enhance Uchiha Itachi Fate Development,Used to enhance Uchiha Itachi Fate Development,,ใช้สำหรับพัฒนาชะตาของอุจิวะ อิทาจิ,zawakeFragCurrency,,,,,,,,,,,,,
53351,Tsunade-Fate Fragment,Mảnh Định Mệnh-Tsunade,Tsunade-Fate Fragment,ซึนาเดะ-เศษโชคชะตา,Tsunade-Fragmen Takdir,Tsunade-Piraso ng Kapalaran,Tsunade-Fragmen Takdir,,,,,,,,config/portrait/jinglingtouxiang/img_3353.png,Used to enhance Tsunade Fate Core,Used to enhance Tsunade Fate Core,Dùng để tăng trưởng mệnh cách của Tsunade,ใช้ในการพัฒนาแก่นชะตาของสึนาเดะ,Digunakan untuk meningkatkan takdir Tsunade,Digunakan untuk meningkatkan nasib Tsunade,Ginagamit upang pahusayin ang kapalaran ni Tsunade,Used to enhance Tsunade Fate Development,Used to enhance Tsunade Fate Development,,ใช้สำหรับพัฒนาชะตาของสึนาเดะ,zawakeFragCurrency,,,,,,,,,,,,,
53601,Reimu Hakurei-Fate Fragment,Mảnh Định Mệnh-Hakurei Reimu,Reimu Hakurei-Fate Fragment,เรย์มุ-เศษโชคชะตา,Reimu-Fragmen Takdir,Reimu-Piraso ng Kapalaran,Reimu-Fragmen Takdir,7,,,,,,,config/portrait/jinglingtouxiang/img_3601.png,Used to enhance Reimu Hakurei Fate Core,Used to enhance Reimu Hakurei Fate Core,Dùng để tăng trưởng mệnh cách của Reimu Hakurei,ใช้ในการพัฒนาแก่นชะตาของเรย์มุ ฮาคุเรย์,Digunakan untuk meningkatkan takdir Reimu Hakurei,Digunakan untuk meningkatkan nasib Reimu Hakurei,Ginagamit upang pahusayin ang kapalaran ni Reimu Hakurei,Used to enhance Reimu Hakurei Fate Development,Used to enhance Reimu Hakurei Fate Development,,ใช้สำหรับพัฒนาชะตาของเรย์มุ ฮาคุเรย์,zawakeFragCurrency,,,,,,,,,,,,,
54023,Eternal Hero King-Fate Fragment,Mảnh Định Mệnh-Anh Hùng Vĩnh Cửu,Eternal Hero King-Fate Fragment,ราชาวีรบุรุษนิรันดร์-เศษโชคชะตา,Raja Pahlawan Abadi-Fragmen,Walang Hanggang Hari-Piraso,Raja Wira Abadi-Fragmen,6,,,,,,,config/portrait/jinglingtouxiang/img_4023.png,Used to enhance Eternal Hero King Fate Core,Used to enhance Eternal Hero King Fate Core,Dùng để tăng trưởng mệnh cách của Vua Anh Hùng Vĩnh Cửu,ใช้ในการพัฒนาแก่นชะตาของราชาวีรชนอมตะ,Digunakan untuk meningkatkan takdir Raja Pahlawan Abadi,Digunakan untuk meningkatkan nasib Raja Wira Abadi,Ginagamit upang pahusayin ang kapalaran ni Eternal Hero King,Used to enhance Eternal Hero King Fate Development,Used to enhance Eternal Hero King Fate Development,,ใช้สำหรับพัฒนาชะตาของราชาวีรชนชั่วนิรันดร์,zawakeFragCurrency,,,,,,,,,,,,,
54024,Aizen-Fate Fragment,Mảnh Định Mệnh-Aizen,Aizen-Fate Fragment,ไอเซ็น-เศษโชคชะตา,Aizen-Fragmen Takdir,Aizen-Piraso ng Kapalaran,Aizen-Fragmen Takdir,7,,,,,,,config/portrait/jinglingtouxiang/img_4024.png,Used to enhance Aizen Fate Core,Used to enhance Aizen Fate Core,Dùng để tăng trưởng mệnh cách của Aizen,ใช้ในการพัฒนาแก่นชะตาของไอเซ็น,Digunakan untuk meningkatkan takdir Aizen,Digunakan untuk meningkatkan nasib Aizen,Ginagamit upang pahusayin ang kapalaran ni Aizen,Used to enhance Aizen Fate Development,Used to enhance Aizen Fate Development,,ใช้สำหรับพัฒนาชะตาของไอเซ็น,zawakeFragCurrency,,,,,,,,,,,,,
54161,Minato Namikaze-Fate Fragment,Mảnh Định Mệnh-Minato Namikaze,Minato Namikaze-Fate Fragment,มินาโตะ-เศษโชคชะตา,Minato-Fragmen Takdir,Minato-Piraso ng Kapalaran,Minato-Fragmen Takdir,7,,,,,,,config/portrait/jinglingtouxiang/img_4161.png,Used to enhance Minato Namikaze Fate Core,Used to enhance Minato Namikaze Fate Core,Dùng để tăng trưởng mệnh cách của Minato Namikaze,ใช้ในการพัฒนาแก่นชะตาของมินาโตะ นามิคาเซะ,Digunakan untuk meningkatkan takdir Minato Namikaze,Digunakan untuk meningkatkan nasib Minato Namikaze,Ginagamit upang pahusayin ang kapalaran ni Minato Namikaze,Used to enhance Minato Namikaze Fate Development,Used to enhance Minato Namikaze Fate Development,,ใช้สำหรับพัฒนาชะตาของมินาโตะ นามิคาเสะ,zawakeFragCurrency,,,,,,,,,,,,,
57011,Arale-Fate Fragment,Mảnh Định Mệnh-Arale,Arale-Fate Fragment,อาราเล่-เศษโชคชะตา,Arale-Fragmen Takdir,Arale-Piraso ng Kapalaran,Arale-Fragmen Takdir,7,,,,,,,config/portrait/jinglingtouxiang/img_7011.png,Used to enhance Arale Fate Core,Used to enhance Arale Fate Core,Dùng để tăng trưởng mệnh cách của Arale,ใช้ในการพัฒนาแก่นชะตาของอาราเล่,Digunakan untuk meningkatkan takdir Arale,Digunakan untuk meningkatkan nasib Arale,Ginagamit upang pahusayin ang kapalaran ni Arale,Used to enhance Arale Fate Development,Used to enhance Arale Fate Development,,ใช้สำหรับพัฒนาชะตาของอาราเล่,zawakeFragCurrency,,,,,,,,,,,,,
57051,Mitsuri Kanroji-Fate Fragment,Mảnh Định Mệnh-Kanroji Mitsuri,Mitsuri Kanroji-Fate Fragment,มิสึริ-เศษโชคชะตา,Mitsuri-Fragmen Takdir,Mitsuri-Piraso ng Kapalaran,Mitsuri-Fragmen Takdir,7,,,,,,,config/portrait/jinglingtouxiang/img_7051.png,Used to enhance Mitsuri Kanroji Fate Core,Used to enhance Mitsuri Kanroji Fate Core,Dùng để tăng trưởng mệnh cách của Mitsuri Kanroji,ใช้ในการพัฒนาแก่นชะตาของมิตสึริ คันโรจิ,Digunakan untuk meningkatkan takdir Mitsuri Kanroji,Digunakan untuk meningkatkan nasib Mitsuri Kanroji,Ginagamit upang pahusayin ang kapalaran ni Mitsuri Kanroji,Used to enhance Mitsuri Kanroji Fate Development,Used to enhance Mitsuri Kanroji Fate Development,,ใช้สำหรับพัฒนาชะตาของมิทสึริ คันโรจิ,zawakeFragCurrency,,,,,,,,,,,,,
58004,Tsuyuri Kanao-Fate Fragment,Mảnh Định Mệnh-Tsuyuri Kanao,Tsuyuri Kanao-Fate Fragment,อควา-เศษโชคชะตา,Tsuyuri Kanao-Fragmen Takdir,Tsuyuri Kanao-Piraso ng Kapalaran,Tsuyuri Kanao-Fragmen Takdir,6,,,,,,,config/portrait/jinglingtouxiang/Tsuyuri_Kanao.png,Used to enhance Tsuyuri Kanao Fate Core,Used to enhance Tsuyuri Kanao Fate Core,Dùng để tăng trưởng mệnh cách của Tsuyuri Kanao,ใช้ในการพัฒนาแก่นชะตาของอควา,Digunakan untuk meningkatkan takdir Tsuyuri Kanao,Digunakan untuk meningkatkan nasib Tsuyuri Kanao,Ginagamit upang pahusayin ang kapalaran ni Tsuyuri Kanao,Used to enhance Tsuyuri Kanao Fate Development,,,,zawakeFragExclusive,,,,,,,,,,,,,
58005,Kyojuro Rengoku-Fate Fragment,Mảnh Định Mệnh-Kyojuro Rengoku,Kyojuro Rengoku-Fate Fragment,อควา-เศษโชคชะตา,Kyojuro Rengoku-Fragmen Takdir,Kyojuro Rengoku-Piraso ng Kapalaran,Kyojuro Rengoku-Fragmen Takdir,6,,,,,,,config/portrait/jinglingtouxiang/img_8005.png,Used to enhance Kyojuro Rengoku Fate Core,Used to enhance Kyojuro Rengoku Fate Core,Dùng để tăng trưởng mệnh cách của Kyojuro Rengoku,ใช้ในการพัฒนาแก่นชะตาของอควา,Digunakan untuk meningkatkan takdir Kyojuro Rengoku,Digunakan untuk meningkatkan nasib Kyojuro Rengoku,Ginagamit upang pahusayin ang kapalaran ni Kyojuro Rengoku,Used to enhance Kyojuro Rengoku Fate Development,,,,zawakeFragExclusive,,,,,,,,,,,,,
58008,Tamayo-Fate Fragment,Mảnh Định Mệnh-Tamayo,Tamayo-Fate Fragment,อควา-เศษโชคชะตา,Tamayo-Fragmen Takdir,Tamayo-Piraso ng Kapalaran,Tamayo-Fragmen Takdir,6,,,,,,,config/portrait/jinglingtouxiang/img_8008.png,Used to enhance Tamayo Fate Core,Used to enhance Tamayo Fate Core,Dùng để tăng trưởng mệnh cách của Tamayo,ใช้ในการพัฒนาแก่นชะตาของอควา,Digunakan untuk meningkatkan takdir Tamayo,Digunakan untuk meningkatkan nasib Tamayo,Ginagamit upang pahusayin ang kapalaran ni Tamayo,Used to enhance Tamayo Fate Development,,,,zawakeFragExclusive,,,,,,,,,,,,,
