VariableName,_beizhu,type,needFrags,needSpecialFrags,costItemFrag,needCards,needSpecialCards,costItemCard,cardConvertNum,roriFrags,roriCards
52961,,2,,<<22961;1>>,,,<2961;9003>,{gold=1600000},80,,
52991,,2,,<<22991;1>>,,,<2991;9003>,{gold=1600000},80,,
53001,,2,,<<23001;1>>,,,<3001;9003>,{gold=1600000},80,,
53011,,2,,<<23011;1>>,,,<3011;9003>,{gold=1600000},80,,
53021,,2,,<<23021;1>>,,,<3021;9003>,{gold=1600000},80,,
53141,,2,,<<23143;1>>,,,<3143;9003>,{gold=1600000},80,,
53151,,2,,<<23151;1>>,,,<3151;9003>,{gold=1600000},80,,
53161,,2,,<<23161;1>>,,,<3161;9003>,{gold=1600000},80,,
53171,,2,,<<23171;1>>,,,<3171;9003>,{gold=1600000},80,,
53172,,2,,<<53172;1>;<23171;1>;<521;1>>,,,<3171;9003>,{gold=1600000},80,,
53181,,2,,<<23181;1>>,,,<3181;9003>,{gold=1600000},80,,
53191,,2,,<<23191;1>;<502;1>>,,,<3191;9003>,{gold=1600000},80,,
53201,,2,,<<23201;1>;<502;1>>,,,<3201;9003>,{gold=1600000},80,,
53211,,2,,<<23211;1>;<521;1>>,,,<3211;9003>,{gold=1600000},80,,
53221,,2,,<<23221;1>;<521;1>>,,,<3221;9003>,{gold=1600000},80,,
53231,,2,,<<23231;1>;<502;1>>,,,<3231;9003>,{gold=1600000},80,,
53241,,2,,<<23241;1>>,,,<3241;9003>,{gold=1600000},80,,
53251,,2,,<<23251;1>>,,,<3251;9003>,{gold=1600000},80,,
53261,,2,,<<23261;1>>,,,<3261;9003>,{gold=1600000},80,,
53271,,2,,<<23271;1>;<521;1>>,,,<3271;9003>,{gold=1600000},80,,
53281,,2,,<<23281;1>>,,,<3281;9003>,{gold=1600000},80,,
53291,,2,,<<23291;1>>,,,<3291;9003>,{gold=1600000},80,,
53301,,2,,<<23301;1>>,,,<3301;9003>,{gold=1600000},80,,
53341,,2,,<<23341;1>>,,,<3341;9003>,{gold=1600000},80,,
53351,,2,,<<23353;1>;<521;1>>,,,<3353;9003>,{gold=1600000},80,,
53411,,2,,<<23411;1>>,,,<3411;9003>,{gold=1600000},80,,
53431,,2,,<<23431;1>>,,,<3431;9003>,{gold=1600000},80,,
53471,,2,,<<23471;1>>,,,<3471;9003>,{gold=1600000},80,,
53501,,2,,<<23501;1>>,,,<3501;9003>,{gold=1600000},80,,
53511,,2,,<<23511;1>>,,,<3511;9003>,{gold=1600000},80,,
53541,,2,,<<23541;1>>,,,<3541;9003>,{gold=1600000},80,,
53561,,2,,<<23561;1>>,,,<3561>,{gold=1600000},80,,
53591,,2,,<<23591;1>>,,,<3591;9003>,{gold=1600000},80,,
53601,,2,,<<23601;1>;<499;1>>,,,<3601>,{gold=1600000},120,,
53611,,2,,<<23611;1>>,,,<3611;9003>,{gold=1600000},80,,
53621,,2,,<<23621;1>;<521;1>>,,,<3621;9003>,{gold=1600000},80,,
53631,,2,,<<23631;1>>,,,<3631;9003>,{gold=1600000},80,,
53641,,2,,<<23641;1>>,,,<3641;9003>,{gold=1600000},80,,
53651,,2,,<<23651;1>;<521;1>>,,,<3651;9003>,{gold=1600000},80,,
53661,,2,,<<23661;1>>,,,<3661;9003>,{gold=1600000},80,,
53671,,2,,<<23671;1>;<502;1>>,,,<3671;9003>,{gold=1600000},80,,
53681,,2,,<<23681;1>;<502;1>>,,,<3681;9003>,{gold=1600000},80,,
53771,,2,,<<23771;1>>,,,<3771;9003>,{gold=1600000},80,,
53841,,2,,<<23841;1>>,,,<3841;9003>,{gold=1600000},80,,
53961,,2,,<<23961;1>;<502;1>>,,,<3961;9003>,{gold=1600000},80,,
54023,,2,,<<24023;1>;<521;1>>,,,<2493;9003>,{gold=1600000},80,,
54024,,2,,<<24024;1>;<499;1>>,,,<4024>,{gold=1600000},120,,
54031,,2,,<<24031;1>;<502;1>>,,,<4031;9003>,{gold=1600000},80,,
54041,,2,,<<24041;1>;<502;1>>,,,<4041;9003>,{gold=1600000},80,,
54051,,2,,<<24051;1>;<502;1>>,,,<4051;9003>,{gold=1600000},80,,
54061,,2,,<<24061;1>;<502;1>>,,,<4061;9003>,{gold=1600000},80,,
54071,,2,,<<24071;1>;<502;1>>,,,<4071;9003>,{gold=1600000},80,,
54081,,2,,<<24081;1>;<502;1>>,,,<4081;9003>,{gold=1600000},80,,
54101,,2,,<<24101;1>;<521;1>>,,,<4101;9003>,{gold=1600000},80,,
54111,,2,,<<24111;1>;<521;1>>,,,<4111;9003>,{gold=1600000},80,,
54121,,2,,<<24121;1>;<521;1>>,,,<4121;9003>,{gold=1600000},80,,
54131,,2,,<<24131;1>>,,,<4131;9003>,{gold=1600000},80,,
54141,,2,,<<24141;1>;<502;1>>,,,<4141;9003>,{gold=1600000},80,,
54151,,2,,<<24151;1>;<502;1>>,,,<4151;9003>,{gold=1600000},80,,
54161,,2,,<<24161;1>;<499;1>>,,,<4161>,{gold=1600000},120,,
54171,,2,,<<24171;1>>,,,<4171;9003>,{gold=1600000},80,,
54591,,2,,<<24591;1>;<521;1>>,,,<4591;9003>,{gold=1600000},80,,
54601,,2,,<<24601;1>;<521;1>>,,,<4601;9003>,{gold=1600000},80,,
54631,,2,,<<24631;1>;<521;1>>,,,<4631;9003>,{gold=1600000},80,,
57001,,2,,<<27001;1>>,,,<7001;9003>,{gold=1600000},80,,
57011,,2,,<<27011;1>;<499;1>>,,,<7011>,{gold=1600000},120,,
57021,,2,,<<27021;1>;<521;1>>,,,<7021;9003>,{gold=1600000},80,,
57031,,2,,<<27031;1>;<521;1>>,,,<7031;9003>,{gold=1600000},80,,
57041,,2,,<<27041;1>;<521;1>>,,,<7041;9003>,{gold=1600000},80,,
57051,,2,,<<27051;1>;<499;1>>,,,<7051>,{gold=1600000},120,,
57061,,2,,<<27061;1>;<521;1>>,,,<7061;9003>,{gold=1600000},80,,
57071,,2,,<<27071;1>;<521;1>>,,,<7071;9003>,{gold=1600000},80,,
58004,,2,,<<58004;1>;<28041;1>;<521;1>>,,,<8004;9003>,{gold=1600000},80,,
58005,,2,,<<58005;1>;<29004;1>;<521;1>>,,,<8005;9003>,{gold=1600000},80,,
58008,,2,,<<58008;1>;<29008;1>;<521;1>>,,,<8008;9003>,{gold=1600000},80,,
58009,,2,,<<58009;1>;<29011;1>;<521;1>>,,,<8009;9003>,{gold=1600000},80,,
58011,,2,,<<58011;1>;<29012;1>;<521;1>>,,,<8010;9003>,{gold=1600000},80,,
58102,,2,,<<58102;1>;<29013;1>;<521;1>>,,,<8101;9003>,{gold=1600000},80,,
58901,,2,,<<27801;1>;<499;1>>,,,<8901>,{gold=1600000},120,,
58902,,2,,<<27802;1>;<499;1>>,,,<8902>,{gold=1600000},120,,
58903,,2,,<<27803;1>;<521;1>>,,,<8903;9003>,{gold=1600000},80,,
59001,,1,<<4;-1;1>>,<<29001;1>>,{gold=10000},<<2;-1>>,<9001>,{gold=300000},80,,
59002,,1,<<5;-1;1>>,<<29002;1>>,{gold=15000},<<3;-1>>,<9002>,{gold=750000},80,,
59003,,1,<<6;-1;1>>,<<29003;1>>,,<<4;-1>>,<9003>,{gold=1600000},80,<27011>,<7011>
59041,,2,,<<29072;1>>,,,<9041;9003>,{gold=750000},120,,
59051,,2,,<<29073;1>>,,,<9051;9003>,{gold=750000},120,,
59061,,2,,<<29074;1>>,,,<9061;9003>,{gold=750000},120,,
59071,,2,,<<29075;1>>,,,<9071;9003>,{gold=750000},120,,
59081,,2,,<<29076;1>>,,,<9081;9003>,{gold=750000},120,,
59091,,2,,<<29077;1>>,,,<9091;9003>,{gold=750000},120,,
59101,,2,,<<29078;1>>,,,<9101;9003>,{gold=750000},120,,
59111,,2,,<<29079;1>>,,,<9111;9003>,{gold=750000},120,,
59121,,2,,<<21301;1>>,,,<9121;9003>,{gold=750000},120,,
59131,,2,,<<29081;1>>,,,<9131;9003>,{gold=750000},120,,
59141,,2,,<<29082;1>>,,,<9141;9003>,{gold=750000},120,,
59151,,2,,<<29083;1>>,,,<9151;9003>,{gold=750000},120,,
59161,,2,,<<29084;1>>,,,<9161;9003>,{gold=750000},120,,
59171,,2,,<<29085;1>>,,,<9171;9003>,{gold=750000},120,,
59181,,2,,<<29086;1>>,,,<9181;9003>,{gold=750000},120,,
59191,,2,,<<29087;1>>,,,<9191;9003>,{gold=750000},120,,
59201,,2,,<<29088;1>>,,,<9201;9003>,{gold=750000},120,,
59211,,2,,<<29089;1>>,,,<9211;9003>,{gold=750000},120,,
59221,,2,,<<29090;1>>,,,<9221;9003>,{gold=750000},120,,
59231,,2,,<<29091;1>>,,,<9231;9003>,{gold=750000},120,,
59241,,2,,<<29092;1>>,,,<9241;9003>,{gold=750000},120,,
58200,,2,,<<27811;1>>,,,<8200;9002>,{gold=1600000},120,,
58201,,2,,<<27812;1>>,,,<8201;9003>,{gold=1600000},120,,
58202,,2,,<<27813;1>>,,,<8202;9003>,{gold=1600000},120,,
58203,,2,,<<27814;1>>,,,<8203;9003>,{gold=1600000},120,,
