VariableName,vipDouble,months,month1,month2,month3,month4,month5,month6,month7,month8,month9,month10,month11,month12
17,,,{rmb=200},{rmb=200},{rmb=200},{rmb=200},{rmb=200},{rmb=200},{rmb=200},{rmb=200},{rmb=200},{rmb=200},{rmb=200},{rmb=200}
18,9,,{519=10},{519=10},{519=10},{519=10},{519=10},{519=10},{519=10},{519=10},{519=10},{519=10},{519=10},{519=10}
19,,,{521=5},{521=5},{521=5},{521=5},{521=5},{521=5},{521=5},{521=5},{521=5},{521=5},{521=5},{521=5}
20,10,<1;2;3;4;5;6;7;8;9;10;11;12>,{6109=5},{6109=5},{6109=5},{6109=5},{6109=5},{6109=5},{6109=5},{6109=5},{6109=5},{6109=5},{6109=5},{6109=5}
21,10,,{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000}
22,,,{rmb=200},{rmb=200},{rmb=200},{rmb=200},{rmb=200},{rmb=200},{rmb=200},{rmb=200},{rmb=200},{rmb=200},{rmb=200},{rmb=200}
23,11,,{519=10},{519=10},{519=10},{519=10},{519=10},{519=10},{519=10},{519=10},{519=10},{519=10},{519=10},{519=10}
24,,,{521=5},{521=5},{521=5},{521=5},{521=5},{521=5},{521=5},{521=5},{521=5},{521=5},{521=5},{521=5}
25,12,<1;2;3;4;5;6;7;8;9;10;11;12>,{6109=5},{6109=5},{6109=5},{6109=5},{6109=5},{6109=5},{6109=5},{6109=5},{6109=5},{6109=5},{6109=5},{6109=5}
26,13,,{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000}
27,,,{rmb=200},{rmb=200},{rmb=200},{rmb=200},{rmb=200},{rmb=200},{rmb=200},{rmb=200},{rmb=200},{rmb=200},{rmb=200},{rmb=200}
28,14,,{519=10},{519=10},{519=10},{519=10},{519=10},{519=10},{519=10},{519=10},{519=10},{519=10},{519=10},{519=10}
29,,,{521=5},{521=5},{521=5},{521=5},{521=5},{521=5},{521=5},{521=5},{521=5},{521=5},{521=5},{521=5}
30,15,<1;2;3;4;5;6;7;8;9;10;11;12>,{6109=5},{6109=5},{6109=5},{6109=5},{6109=5},{6109=5},{6109=5},{6109=5},{6109=5},{6109=5},{6109=5},{6109=5}
31,15,,{6109=10},{6109=10},{6109=10},{6109=10},{6109=10},{6109=10},{6109=10},{6109=10},{6109=10},{6109=10},{6109=10},{6109=10}
101,,,{19=10;gold=1000000},{19=10;gold=1000000},{19=10;gold=1000000},{19=10;gold=1000000},{19=10;gold=1000000},{19=10;gold=1000000},{19=10;gold=1000000},{19=10;gold=1000000},{19=10;gold=1000000},{19=10;gold=1000000},{19=10;gold=1000000},{19=10;gold=1000000}
102,,,{521=20;501=5},{521=20;501=5},{521=20;501=5},{521=20;501=5},{521=20;501=5},{521=20;501=5},{521=20;501=5},{521=20;501=5},{521=20;501=5},{521=20;501=5},{521=20;501=5},{521=20;501=5}
103,,,{8888=1;rmb=1000},{8888=1;rmb=1000},{8888=1;rmb=1000},{8888=1;rmb=1000},{8888=1;rmb=1000},{8888=1;rmb=1000},{8888=1;rmb=1000},{8888=1;rmb=1000},{8888=1;rmb=1000},{8888=1;rmb=1000},{8888=1;rmb=1000},{8888=1;rmb=1000}
1000,,,{card=721},{card=721},{card=721},{card=163},{card=163},{card=163},{card=771},{card=163},{card=731},{card=1961},{card=721},{card=2381}
