VariableName,gateID,_beizhu,itemMap,count,probability,itemCount
35,10508,,{11=32;510=32;12=8;5000=12;511=16},5,50,
36,10509,,{11=32;510=32;12=8;5000=12;511=16},5,50,
37,10510,,{11=32;510=32;12=8;5000=12;511=16},5,50,
38,10601,,{11=32;510=32;12=8;5000=12;511=16},5,50,
39,10602,,{11=32;510=32;12=8;5000=12;511=16},5,50,
40,10603,,{11=32;510=32;12=8;5000=12;511=16},5,50,
41,10604,,{11=32;510=32;12=8;5000=12;511=16},5,50,
42,10605,,{11=32;510=32;12=8;5000=12;511=16},5,50,
43,10606,,{11=32;510=32;12=8;5000=12;511=16},5,50,
44,10607,,{11=32;510=32;12=8;5000=12;511=16},5,50,
45,10608,,{11=32;510=32;12=8;5000=12;511=16},5,50,
46,10609,,{11=32;510=32;12=8;5000=12;511=16},5,50,
47,10610,,{11=32;510=32;12=8;5000=12;511=16},5,50,
48,10701,,{11=30.1887;13=1.8868;510=30.1887;12=7.5472;512=3.7736;511=15.0943;5000=11.3208},5,53,
49,10702,,{11=30.1887;13=1.8868;510=30.1887;12=7.5472;512=3.7736;511=15.0943;5000=11.3208},5,53,
50,10703,,{11=30.1887;13=1.8868;510=30.1887;12=7.5472;512=3.7736;511=15.0943;5000=11.3208},5,53,
51,10704,,{11=30.1887;13=1.8868;510=30.1887;12=7.5472;512=3.7736;511=15.0943;5000=11.3208},5,53,
52,10705,,{11=30.1887;13=1.8868;510=30.1887;12=7.5472;512=3.7736;511=15.0943;5000=11.3208},5,53,
53,10706,,{11=30.1887;13=1.8868;510=30.1887;12=7.5472;512=3.7736;511=15.0943;5000=11.3208},5,53,
54,10707,,{11=30.1887;13=1.8868;510=30.1887;12=7.5472;512=3.7736;511=15.0943;5000=11.3208},5,53,
55,10708,,{11=30.1887;13=1.8868;510=30.1887;12=7.5472;512=3.7736;511=15.0943;5000=11.3208},5,53,
56,10709,,{11=30.1887;13=1.8868;510=30.1887;12=7.5472;512=3.7736;511=15.0943;5000=11.3208},5,53,
57,10710,,{11=30.1887;13=1.8868;510=30.1887;12=7.5472;512=3.7736;511=15.0943;5000=11.3208},5,53,
58,10801,,{11=30.1887;13=1.8868;510=30.1887;12=7.5472;512=3.7736;511=15.0943;5000=11.3208},5,53,
59,10802,,{11=30.1887;13=1.8868;510=30.1887;12=7.5472;512=3.7736;511=15.0943;5000=11.3208},5,53,
60,10803,,{11=30.1887;13=1.8868;510=30.1887;12=7.5472;512=3.7736;511=15.0943;5000=11.3208},5,53,
61,10804,,{11=30.1887;13=1.8868;510=30.1887;12=7.5472;512=3.7736;511=15.0943;5000=11.3208},5,53,
62,10805,,{11=30.1887;13=1.8868;510=30.1887;12=7.5472;512=3.7736;511=15.0943;5000=11.3208},5,53,
63,10806,,{11=30.1887;13=1.8868;510=30.1887;12=7.5472;512=3.7736;511=15.0943;5000=11.3208},5,53,
64,10807,,{11=30.1887;13=1.8868;510=30.1887;12=7.5472;512=3.7736;511=15.0943;5000=11.3208},5,53,
65,10808,,{11=30.1887;13=1.8868;510=30.1887;12=7.5472;512=3.7736;511=15.0943;5000=11.3208},5,53,
66,10809,,{11=30.1887;13=1.8868;510=30.1887;12=7.5472;512=3.7736;511=15.0943;5000=11.3208},5,53,
67,10810,,{11=30.1887;13=1.8868;510=30.1887;12=7.5472;512=3.7736;511=15.0943;5000=11.3208},5,53,
68,10901,,{11=30.1887;13=1.8868;510=30.1887;12=7.5472;512=3.7736;511=15.0943;5000=11.3208},5,53,
69,10902,,{11=30.1887;13=1.8868;510=30.1887;12=7.5472;512=3.7736;511=15.0943;5000=11.3208},5,53,
70,10903,,{11=30.1887;13=1.8868;510=30.1887;12=7.5472;512=3.7736;511=15.0943;5000=11.3208},5,53,
71,10904,,{11=30.1887;13=1.8868;510=30.1887;12=7.5472;512=3.7736;511=15.0943;5000=11.3208},5,53,
72,10905,,{11=30.1887;13=1.8868;510=30.1887;12=7.5472;512=3.7736;511=15.0943;5000=11.3208},5,53,
73,10906,,{11=30.1887;13=1.8868;510=30.1887;12=7.5472;512=3.7736;511=15.0943;5000=11.3208},5,53,
74,10907,,{11=30.1887;13=1.8868;510=30.1887;12=7.5472;512=3.7736;511=15.0943;5000=11.3208},5,53,
75,10908,,{11=30.1887;13=1.8868;510=30.1887;12=7.5472;512=3.7736;511=15.0943;5000=11.3208},5,53,
76,10909,,{11=30.1887;13=1.8868;510=30.1887;12=7.5472;512=3.7736;511=15.0943;5000=11.3208},5,53,
77,10910,,{11=30.1887;13=1.8868;510=30.1887;12=7.5472;512=3.7736;511=15.0943;5000=11.3208},5,53,
78,11001,,{11=30.1887;13=1.8868;510=30.1887;12=7.5472;512=3.7736;511=15.0943;5000=11.3208},5,53,
79,11002,,{11=30.1887;13=1.8868;510=30.1887;12=7.5472;512=3.7736;511=15.0943;5000=11.3208},5,53,
80,11003,,{11=30.1887;13=1.8868;510=30.1887;12=7.5472;512=3.7736;511=15.0943;5000=11.3208},5,53,
81,11004,,{11=30.1887;13=1.8868;510=30.1887;12=7.5472;512=3.7736;511=15.0943;5000=11.3208},5,53,
82,11005,,{11=30.1887;13=1.8868;510=30.1887;12=7.5472;512=3.7736;511=15.0943;5000=11.3208},5,53,
83,11006,,{11=30.1887;13=1.8868;510=30.1887;12=7.5472;512=3.7736;511=15.0943;5000=11.3208},5,53,
84,11007,,{11=30.1887;13=1.8868;510=30.1887;12=7.5472;512=3.7736;511=15.0943;5000=11.3208},5,53,
85,11008,,{11=30.1887;13=1.8868;510=30.1887;12=7.5472;512=3.7736;511=15.0943;5000=11.3208},5,53,
86,11009,,{11=30.1887;13=1.8868;510=30.1887;12=7.5472;512=3.7736;511=15.0943;5000=11.3208},5,53,
87,11010,,{11=30.1887;13=1.8868;510=30.1887;12=7.5472;512=3.7736;511=15.0943;5000=11.3208},5,53,
88,11101,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
89,11102,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
90,11103,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
91,11104,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
92,11105,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
93,11106,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
94,11107,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
95,11108,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
96,11109,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
97,11110,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
98,11201,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
99,11202,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
100,11203,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
101,11204,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
102,11205,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
103,11206,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
104,11207,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
105,11208,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
106,11209,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
107,11210,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
108,11301,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
109,11302,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
110,11303,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
111,11304,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
112,11305,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
113,11306,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
114,11307,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
115,11308,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
116,11309,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
117,11310,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
118,11401,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
119,11402,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
120,11403,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
121,11404,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
122,11405,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
123,11406,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
124,11407,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
125,11408,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
126,11409,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
127,11410,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
128,11501,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
129,11502,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
130,11503,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
131,11504,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
132,11505,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
133,11506,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
134,11507,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
135,11508,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
136,11509,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
137,11510,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
138,11601,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
139,11602,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
140,11603,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
141,11604,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
142,11605,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
143,11606,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
144,11607,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
145,11608,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
146,11609,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
147,11610,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
148,11701,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
149,11702,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
150,11703,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
151,11704,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
152,11705,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
153,11706,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
154,11707,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
155,11708,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
156,11709,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
157,11710,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
158,11801,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
159,11802,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
160,11803,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
161,11804,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
162,11805,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
163,11806,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
164,11807,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
165,11808,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
166,11809,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
167,11810,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
168,11901,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
169,11902,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
170,11903,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
171,11904,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
172,11905,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
173,11906,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
174,11907,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
175,11908,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
176,11909,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
177,11910,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
178,12001,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
179,12002,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
180,12003,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
181,12004,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
182,12005,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
183,12006,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
184,12007,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
185,12008,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
186,12009,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
187,12010,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
188,12101,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
189,12102,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
190,12103,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
191,12104,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
192,12105,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
193,12106,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
194,12107,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
195,12108,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
196,12109,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
197,12110,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
198,12201,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
199,12202,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
200,12203,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
201,12204,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
202,12205,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
203,12206,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
204,12207,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
205,12208,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
206,12209,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
207,12210,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
208,12301,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
209,12302,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
210,12303,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
211,12304,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
212,12305,,{13=1.8587;14=0.7435;5000=11.1524;513=0.7435;510=29.7398;511=14.8699;11=29.7398;12=7.4349;512=3.7175},5,53.8,
