VariableName,_beizhu1,easyEffectFunc,overlayType,overlayLimit
1032,,damageReduce,,
1033,,physicalDamageAdd,,
1034,,physicalDamageSub,,
1035,,specialDamageAdd,,
1036,,specialDamageSub,,
1037,,normalDamageAdd,,
1038,,fireDamageAdd,,
1039,,waterDamageAdd,,
1040,,grassDamageAdd,,
1041,,electricityDamageAdd,,
1042,,iceDamageAdd,,
1043,,combatDamageAdd,,
1044,,poisonDamageAdd,,
1045,,groundDamageAdd,,
1046,,flyDamageAdd,,
1047,,superDamageAdd,,
1048,,wormDamageAdd,,
1049,,rockDamageAdd,,
1050,,ghostDamageAdd,,
1051,,dragonDamageAdd,,
1052,,evilDamageAdd,,
1053,,steelDamageAdd,,
1054,,fairyDamageAdd,,
1055,,normalDamageSub,,
1056,,fireDamageSub,,
1057,,waterDamageSub,,
1058,,grassDamageSub,,
1059,,electricityDamageSub,,
1060,,iceDamageSub,,
1061,,combatDamageSub,,
1062,,poisonDamageSub,,
1063,,groundDamageSub,,
1064,,flyDamageSub,,
1065,,superDamageSub,,
1066,,wormDamageSub,,
1067,,rockDamageSub,,
1068,,ghostDamageSub,,
1069,,dragonDamageSub,,
1070,,evilDamageSub,,
1071,,steelDamageSub,,
1072,,fairyDamageSub,,
1073,,normalCure,,
1074,,fireCure,,
1075,,waterCure,,
1076,,grassCure,,
1077,,electricityCure,,
1078,,iceCure,,
1079,,combatCure,,
1080,,poisonCure,,
1081,,groundCure,,
1082,,flyCure,,
1083,,superCure,,
1084,,wormCure,,
1085,,rockCure,,
1086,,ghostCure,,
1087,,dragonCure,,
1088,,evilCure,,
1089,,steelCure,,
1090,,fairyCure,,
1091,,normalDamageDeepen,,
1092,,fireDamageDeepen,,
1093,,waterDamageDeepen,,
1094,,grassDamageDeepen,,
1095,,electricityDamageDeepen,,
1096,,iceDamageDeepen,,
1097,,combatDamageDeepen,,
1098,,poisonDamageDeepen,,
1099,,groundDamageDeepen,,
1100,,flyDamageDeepen,,
1101,,superDamageDeepen,,
1102,,wormDamageDeepen,,
1103,,rockDamageDeepen,,
1104,,ghostDamageDeepen,,
1105,,dragonDamageDeepen,,
1106,,evilDamageDeepen,,
1107,,steelDamageDeepen,,
1108,,fairyDamageDeepen,,
1109,,normalDamageReduce,,
1110,,fireDamageReduce,,
1111,,waterDamageReduce,,
1112,,grassDamageReduce,,
1113,,electricityDamageReduce,,
1114,,iceDamageReduce,,
1115,,combatDamageReduce,,
1116,,poisonDamageReduce,,
1117,,groundDamageReduce,,
1118,,flyDamageReduce,,
1119,,superDamageReduce,,
1120,,wormDamageReduce,,
1121,,rockDamageReduce,,
1122,,ghostDamageReduce,,
1123,,dragonDamageReduce,,
1124,,evilDamageReduce,,
1125,,steelDamageReduce,,
1126,,fairyDamageReduce,,
1127,,pvpDamageAdd,,
1128,,pvpDamageSub,,
1129,,strikeDamageSub,,
1130,,healAdd,,
1131,,beHealAdd,,
1132,,damageRateAdd,,
1133,,damageHit,,
1134,,damageDodge,,
1135,,ignoreDamageSub,,
1136,,ignoreStrikeResistance,,
1137,,finalSkillAddRate,,
1138,,finalDamageAdd,,
1139,,finalDamageSub,,
1140,,finalDamageDeepen,,
1141,,finalDamageReduce,,
1142,,mpBeAttackRecover,,
1143,,trueDamageAdd,,
1144,,trueDamageSub,,
1145,,natureResistance,,
