VariableName,sceneName_cn,sceneName_tw,sceneName,sceneName_vn,sceneName_th,sceneName_in,sceneName_en,sceneName_ma,sceneName_ph,_beizhu,languages,monsters,boss,icon,gateType,sceneType,roundLimit,backMusic,backGround,bg_boss,bg_boss_pos,openLevel,desc,sceneCount,showLevel,sceneLevel,skillLevel,sceneLevelCorrect,demonCorrect,demonCorrectSelf,limitType,limitArg,firstAward,firstAwardShow,saodangAward,saodangAwardShow,lowestFightingPoint,gateDesc,gateDesc_tw,gateDesc_ma,gateDesc_ph,gateDesc_th,gateDesc_in,gateDesc_en,gateDesc_vn,gateDesc_kr
100009,,,Level 9,Cấp 9,Level 9,Level 9,Level 9,Level 9,Level 9,,,<{level=24;unitId=220593;advance=2};{level=24;unitId=220402;advance=2};{level=24;unitId=220013;advance=2};{level=24;unitId=220493;advance=2};{level=24;unitId=220013;advance=2}>,<{level=24;unitId=251009;advance=3}>,config/portrait/jinglingtouxiang2/img_603.png,,22,,,battle/scene/bg_grass.jpg,,,,,,24,84,84,,,,5,<<27;0;5%>;<26;0;5%>>,{gold=25000;451=30;452=20},<<gold;25000;1>;<451;30;1>;<452;20;1>>,{libs=<110;111>;451=2;gold=2100},<<gold;2100;0>;<451;1;1>;<452;1;1>>,,,,,,,,,,
100010,,,Level 10,Cấp 10,Level 10,Level 10,Level 10,Level 10,Level 10,,,<{level=25;unitId=220692;advance=2};{level=25;unitId=220493;advance=2};{level=25;unitId=220044;advance=2};{level=25;unitId=220552;advance=2};{level=25;unitId=220044;advance=2}>,<{level=25;unitId=251010;advance=3}>,config/portrait/jinglingtouxiang2/img_611.png,,22,,,battle/scene/bg_night.jpg,,,,,,25,87,87,,,,5,<<1;1;20%>;<13;0;20%>>,{501=1;451=30;gold=25000},<<gold;25000;1>;<451;30;1>;<501;1;1>>,{gold=2100;452=2;libs=<110;111;112>},<<gold;2100;0>;<451;1;1>;<452;1;1>>,,,,All monsters have increased attack; units in the aura seem to contain a certain power,All monsters have increased attack; units in the aura seem to contain a certain power,All monsters have increased attack; units in the aura seem to contain a certain power,All monsters have increased attack; units in the aura seem to contain a certain power,All monsters have increased attack; units in the aura seem to contain a certain power,"Toàn bộ quái vật tăng cường tấn công, đơn vị trong hào quang dường như chứa đựng một khả năng nào đó",
100011,,,Level 11,Cấp 11,Level 11,Level 11,Level 11,Level 11,Level 11,,,<{level=26;unitId=220793;advance=2};{level=26;unitId=220552;advance=2};{level=26;unitId=220053;advance=2};{level=26;unitId=220593;advance=2};{level=26;unitId=220053;advance=2}>,<{level=26;unitId=251011;advance=3}>,config/portrait/jinglingtouxiang2/img_631.png,,22,,,battle/scene/bg_sd.jpg,,,,,,26,90,90,,,,3,<<9;1;2%>;<10;1;2%>>,{gold=30000;451=30;452=20},<<gold;30000;1>;<451;30;1>;<452;20;1>>,{libs=<110;111>;451=2;gold=2200},<<gold;2200;0>;<451;1;1>;<452;1;1>>,,,,,,,,,,
100012,,,Level 12,Cấp 12,Level 12,Level 12,Level 12,Level 12,Level 12,,,<{level=27;unitId=221221;advance=2};{level=27;unitId=220593;advance=2};{level=27;unitId=220082;advance=2};{level=27;unitId=220692;advance=2};{level=27;unitId=220082;advance=2}>,<{level=27;unitId=251012;advance=3}>,config/portrait/jinglingtouxiang2/img_641.png,,22,,,battle/scene/bg_tower.jpg,,,,,,27,93,93,,,,4,<<9;0;2%>;<10;0;2%>;<17;0;2%>>,{502=1;451=30;gold=30000},<<gold;30000;1>;<451;30;1>;<502;1;1>>,{libs=<110;111>;451=2;gold=2200},<<gold;2200;0>;<451;1;1>;<452;1;1>>,,,,,,,,,,
100013,,,Level 13,Cấp 13,Level 13,Level 13,Level 13,Level 13,Level 13,,,<{level=28;unitId=221903;advance=2};{level=28;unitId=220692;advance=2};{level=28;unitId=220273;advance=2};{level=28;unitId=220793;advance=2};{level=28;unitId=220273;advance=2}>,<{level=28;unitId=251013;advance=3}>,config/portrait/jinglingtouxiang2/img_701.png,,22,,,battle/scene/bg_grass.jpg,,,,,,28,96,96,,,,5,<<9;0;5%>;<10;0;5%>>,{rmb=100;451=30;gold=30000},<<gold;30000;1>;<451;30;1>;<rmb;100;1>>,{libs=<110;111>;451=2;gold=2200},<<gold;2200;0>;<451;1;1>;<452;1;1>>,,,,,,,,,,
100014,,,Level 14,Cấp 14,Level 14,Level 14,Level 14,Level 14,Level 14,,,<{level=29;unitId=221931;advance=2};{level=29;unitId=220793;advance=2};{level=29;unitId=220402;advance=2};{level=29;unitId=220013;advance=2};{level=29;unitId=220402;advance=2}>,<{level=29;unitId=251014;advance=3}>,config/portrait/jinglingtouxiang2/img_712.png,,22,,,battle/scene/bg_night.jpg,,,,,,29,99,99,,,,5,<<9;0;5%>;<10;0;5%>;<22;0;5%>>,{gold=30000;451=30;452=20},<<gold;30000;1>;<451;30;1>;<452;20;1>>,{libs=<110;111>;451=2;gold=2200},<<gold;2200;0>;<451;1;1>;<452;1;1>>,,,,,,,,,,
100015,,,Level 15,Cấp 15,Level 15,Level 15,Level 15,Level 15,Level 15,,,<{level=30;unitId=222013;advance=2};{level=30;unitId=221221;advance=2};{level=30;unitId=220493;advance=2};{level=30;unitId=220044;advance=2};{level=30;unitId=220493;advance=2}>,<{level=30;unitId=251015;advance=3}>,config/portrait/jinglingtouxiang2/img_721.png,,22,,,battle/scene/bg_sd.jpg,,,,,,30,102,102,,,,5,<<9;1;10%>;<10;0;10%>;<13;0;10%>>,{gold=30000;451=30;519=1},<<gold;30000;1>;<451;30;1>;<519;1;1>>,{gold=2200;452=1;libs=<110;111;112>},<<gold;2200;0>;<451;1;1>;<452;1;1>>,,,,Monsters' attacks have a chance to reduce speed.,Monsters' attacks have a chance to reduce speed.,Monsters' attacks have a chance to reduce speed.,Monsters' attacks have a chance to reduce speed.,Monsters' attacks have a chance to reduce speed.,Quái vật tấn công có xác suất giảm tốc độ nhất định,
100016,,,Level 16,Cấp 16,Level 16,Level 16,Level 16,Level 16,Level 16,,,<{level=31;unitId=222073;advance=2};{level=31;unitId=221903;advance=2};{level=31;unitId=220552;advance=2};{level=31;unitId=220053;advance=2};{level=31;unitId=220552;advance=2}>,<{level=31;unitId=251016;advance=3}>,config/portrait/jinglingtouxiang2/img_731.png,,22,,,battle/scene/bg_tower.jpg,,,,,,31,105,105,,,,3,<<13;1;2%>>,{gold=35000;451=30;452=20},<<gold;35000;1>;<451;30;1>;<452;20;1>>,{libs=<110;111>;451=2;gold=2300},<<gold;2300;0>;<451;1;1>;<452;1;1>>,,,,,,,,,,
100017,,,Level 17,Cấp 17,Level 17,Level 17,Level 17,Level 17,Level 17,,,<{level=32;unitId=222593;advance=2};{level=32;unitId=221931;advance=2};{level=32;unitId=220593;advance=2};{level=32;unitId=220082;advance=2};{level=32;unitId=220593;advance=2}>,<{level=32;unitId=251017;advance=3}>,config/portrait/jinglingtouxiang2/img_741.png,,22,,,battle/scene/bg_grass.jpg,,,,,,32,108,108,,,,4,<<13;0;2%>;<24;0;2%>>,{502=1;451=30;gold=35000},<<gold;35000;1>;<451;30;1>;<502;1;1>>,{libs=<110;111>;451=2;gold=2300},<<gold;2300;0>;<451;1;1>;<452;1;1>>,,,,,,,,,,
100018,,,Level 18,Cấp 18,Level 18,Level 18,Level 18,Level 18,Level 18,,,<{level=33;unitId=222612;advance=2};{level=33;unitId=222013;advance=2};{level=33;unitId=220692;advance=2};{level=33;unitId=220273;advance=2};{level=33;unitId=220692;advance=2}>,<{level=33;unitId=251018;advance=3}>,config/portrait/jinglingtouxiang2/img_771.png,,22,,,battle/scene/bg_night.jpg,,,,,,33,111,111,,,,5,<<9;0;5%>;<10;0;5%>>,{rmb=100;451=30;gold=35000},<<gold;35000;1>;<451;30;1>;<rmb;100;1>>,{libs=<110;111>;451=2;gold=2300},<<gold;2300;0>;<451;1;1>;<452;1;1>>,,,,,,,,,,
100019,,,Level 19,Cấp 19,Level 19,Level 19,Level 19,Level 19,Level 19,,,<{level=34;unitId=222633;advance=2};{level=34;unitId=222073;advance=2};{level=34;unitId=220793;advance=2};{level=34;unitId=220402;advance=2};{level=34;unitId=220793;advance=2}>,<{level=34;unitId=251019;advance=3}>,config/portrait/jinglingtouxiang2/img_863.png,,22,,,battle/scene/bg_sd.jpg,,,,,,34,114,114,,,,5,<<9;0;5%>;<10;0;5%>;<22;0;5%>>,{gold=35000;451=30;452=20},<<gold;35000;1>;<451;30;1>;<452;20;1>>,{libs=<110;111>;451=2;gold=2300},<<gold;2300;0>;<451;1;1>;<452;1;1>>,,,,,,,,,,
100020,,,Level 20,Cấp 20,Level 20,Level 20,Level 20,Level 20,Level 20,,,<{level=35;unitId=222683;advance=2};{level=35;unitId=222593;advance=2};{level=35;unitId=221221;advance=2};{level=35;unitId=220493;advance=2};{level=35;unitId=220013;advance=2}>,<{level=35;unitId=251020;advance=3}>,config/portrait/jinglingtouxiang2/img_883.png,,22,,,battle/scene/bg_tower.jpg,,,,,,35,117,117,,,,5,<<9;1;20%>;<10;0;20%>;<13;0;20%>>,{502=3;451=30;gold=35000},<<gold;35000;1>;<451;30;1>;<502;3;1>>,{gold=2300;452=2;libs=<110;111;112>},<<gold;2300;0>;<451;1;1>;<452;1;1>>,,,,All monsters' control rate is increased; the shield on monsters can dispel control,All monsters' control rate is increased; the shield on monsters can dispel control,All monsters' control rate is increased; the shield on monsters can dispel control,All monsters' control rate is increased; the shield on monsters can dispel control,All monsters' control rate is increased; the shield on monsters can dispel control,"Tỷ lệ kiểm soát của toàn bộ quái vật tăng lên, lá chắn trên người quái vật có tác dụng giải trừ kiểm soát",
100021,,,Level 21,Cấp 21,Level 21,Level 21,Level 21,Level 21,Level 21,,,<{level=36;unitId=222843;advance=2};{level=36;unitId=222612;advance=2};{level=36;unitId=221903;advance=2};{level=36;unitId=220552;advance=2};{level=36;unitId=220044;advance=2}>,<{level=36;unitId=251021;advance=3}>,config/portrait/jinglingtouxiang2/img_972.png,,22,,,battle/scene/bg_grass.jpg,,,,,,36,121,121,,,,3,<<1;1;2%>>,{gold=40000;451=30;452=20},<<gold;40000;1>;<451;30;1>;<452;20;1>>,{libs=<110;111>;451=2;gold=2400},<<gold;2400;0>;<451;1;1>;<452;1;1>>,,,,,,,,,,
100022,,,Level 22,Cấp 22,Level 22,Level 22,Level 22,Level 22,Level 22,,,<{level=37;unitId=222963;advance=2};{level=37;unitId=222633;advance=2};{level=37;unitId=221931;advance=2};{level=37;unitId=220593;advance=2};{level=37;unitId=220053;advance=2}>,<{level=37;unitId=251022;advance=3}>,config/portrait/jinglingtouxiang2/img_1071.png,,22,,,battle/scene/bg_night.jpg,,,,,,37,125,125,,,,4,<<1;0;2%>;<28;0;2%>>,{502=1;451=30;gold=40000},<<gold;40000;1>;<451;30;1>;<502;1;1>>,{libs=<110;111>;451=2;gold=2400},<<gold;2400;0>;<451;1;1>;<452;1;1>>,,,,,,,,,,
100023,,,Level 23,Cấp 23,Level 23,Level 23,Level 23,Level 23,Level 23,,,<{level=38;unitId=223283;advance=2};{level=38;unitId=222683;advance=2};{level=38;unitId=222013;advance=2};{level=38;unitId=220692;advance=2};{level=38;unitId=220082;advance=2}>,<{level=38;unitId=251023;advance=3}>,config/portrait/jinglingtouxiang2/img_1032.png,,22,,,battle/scene/bg_sd.jpg,,,,,,38,129,129,,,,5,<<7;0;5%>;<8;0;5%>>,{rmb=100;451=30;gold=40000},<<gold;40000;1>;<451;30;1>;<rmb;100;1>>,{libs=<110;111>;451=2;gold=2400},<<gold;2400;0>;<451;1;1>;<452;1;1>>,,,,,,,,,,
100024,,,Level 24,Cấp 24,Level 24,Level 24,Level 24,Level 24,Level 24,,,<{level=39;unitId=223293;advance=2};{level=39;unitId=222843;advance=2};{level=39;unitId=222073;advance=2};{level=39;unitId=220793;advance=2};{level=39;unitId=220273;advance=2}>,<{level=39;unitId=251024;advance=3}>,config/portrait/jinglingtouxiang2/img_1082.png,,22,,,battle/scene/bg_tower.jpg,,,,,,39,133,133,,,,5,<<1;0;5%>;<22;0;5%>>,{gold=40000;451=30;452=20},<<gold;40000;1>;<451;30;1>;<452;20;1>>,{libs=<110;111>;451=2;gold=2400},<<gold;2400;0>;<451;1;1>;<452;1;1>>,,,,,,,,,,
100025,,,Level 25,Cấp 25,Level 25,Level 25,Level 25,Level 25,Level 25,,,<{level=40;unitId=223342;advance=2};{level=40;unitId=222963;advance=2};{level=40;unitId=222593;advance=2};{level=40;unitId=221221;advance=2};{level=40;unitId=220402;advance=2}>,<{level=40;unitId=251025;advance=3}>,config/portrait/jinglingtouxiang2/img_1231.png,,22,,,battle/scene/bg_grass.jpg,,,,,,40,137,137,,,,5,<<1;1;10%>;<7;0;10%>;<8;0;10%>>,{gold=40000;451=30;519=1},<<gold;40000;1>;<451;30;1>;<519;1;1>>,{gold=2400;452=1;libs=<110;111;112>},<<gold;2400;0>;<451;1;1>;<452;1;1>>,,,,Monsters recover rage before attacking; killing aura units greatly limits rage recovery,Monsters recover rage before attacking; killing aura units greatly limits rage recovery,Monsters recover rage before attacking; killing aura units greatly limits rage recovery,Monsters recover rage before attacking; killing aura units greatly limits rage recovery,Monsters recover rage before attacking; killing aura units greatly limits rage recovery,"Quái vật hồi phục tức giận trước khi tấn công, tiêu diệt đơn vị trong hào quang sẽ hạn chế lớn việc hồi phục tức giận",
100026,,,Level 26,Cấp 26,Level 26,Level 26,Level 26,Level 26,Level 26,,,<{level=41;unitId=223432;advance=3};{level=41;unitId=223283;advance=3};{level=41;unitId=222612;advance=3};{level=41;unitId=221903;advance=3};{level=41;unitId=220493;advance=3}>,<{level=41;unitId=251026;advance=4}>,config/portrait/jinglingtouxiang2/img_1241.png,,22,,,battle/scene/bg_night.jpg,,,,,,41,141,141,,,,3,<<7;1;2%>;<8;1;2%>>,{gold=45000;451=30;452=20},<<gold;45000;1>;<451;30;1>;<452;20;1>>,{libs=<110;111>;451=2;gold=2500},<<gold;2500;0>;<451;1;1>;<452;1;1>>,,,,,,,,,,
100027,,,Level 27,Cấp 27,Level 27,Level 27,Level 27,Level 27,Level 27,,,<{level=42;unitId=223472;advance=3};{level=42;unitId=223293;advance=3};{level=42;unitId=222633;advance=3};{level=42;unitId=221931;advance=3};{level=42;unitId=220552;advance=3}>,<{level=42;unitId=251027;advance=4}>,config/portrait/jinglingtouxiang2/img_1253.png,,22,,,battle/scene/bg_sd.jpg,,,,,,42,145,145,,,,4,<<7;0;2%>;<8;0;2%>;<14;0;2%>>,{502=1;451=30;gold=45000},<<gold;45000;1>;<451;30;1>;<502;1;1>>,{libs=<110;111>;451=2;gold=2500},<<gold;2500;0>;<451;1;1>;<452;1;1>>,,,,,,,,,,
100028,,,Level 28,Cấp 28,Level 28,Level 28,Level 28,Level 28,Level 28,,,<{level=43;unitId=223511;advance=3};{level=43;unitId=223342;advance=3};{level=43;unitId=222683;advance=3};{level=43;unitId=222013;advance=3};{level=43;unitId=220593;advance=3}>,<{level=43;unitId=251028;advance=4}>,config/portrait/jinglingtouxiang2/img_1293.png,,22,,,battle/scene/bg_tower.jpg,,,,,,43,149,149,,,,5,<<7;0;5%>;<8;0;5%>>,{rmb=100;451=30;gold=45000},<<gold;45000;1>;<451;30;1>;<rmb;100;1>>,{libs=<110;111>;451=2;gold=2500},<<gold;2500;0>;<451;1;1>;<452;1;1>>,,,,,,,,,,
100029,,,Level 29,Cấp 29,Level 29,Level 29,Level 29,Level 29,Level 29,,,<{level=44;unitId=223543;advance=3};{level=44;unitId=223432;advance=3};{level=44;unitId=222843;advance=3};{level=44;unitId=222073;advance=3};{level=44;unitId=220692;advance=3}>,<{level=44;unitId=251029;advance=4}>,config/portrait/jinglingtouxiang2/img_1303.png,,22,,,battle/scene/bg_grass.jpg,,,,,,44,153,153,,,,5,<<1;0;5%>;<22;0;5%>>,{gold=45000;451=30;452=20},<<gold;45000;1>;<451;30;1>;<452;20;1>>,{libs=<110;111>;451=2;gold=2500},<<gold;2500;0>;<451;1;1>;<452;1;1>>,,,,,,,,,,
100030,,,Level 30,Cấp 30,Level 30,Level 30,Level 30,Level 30,Level 30,,,<{level=45;unitId=223683;advance=3};{level=45;unitId=223472;advance=3};{level=45;unitId=222963;advance=3};{level=45;unitId=222593;advance=3};{level=45;unitId=220793;advance=3}>,<{level=45;unitId=251030;advance=4}>,config/portrait/jinglingtouxiang2/img_1313.png,,22,,,battle/scene/bg_night.jpg,,,,,,45,157,157,,,,5,<<1;1;20%>;<7;0;20%>;<8;0;20%>>,{501=1;451=30;gold=45000},<<gold;45000;1>;<451;30;1>;<501;1;1>>,{gold=2500;452=2;libs=<110;111;112>},<<gold;2500;0>;<451;1;1>;<452;1;1>>,12872,,,The aura will disappear after several rounds; killing will apply Vulnerable to all heroes.,The aura will disappear after several rounds; killing will apply Vulnerable to all heroes.,The aura will disappear after several rounds; killing will apply Vulnerable to all heroes.,The aura will disappear after several rounds; killing will apply Vulnerable to all heroes.,The aura will disappear after several rounds; killing will apply Vulnerable to all heroes.,"Hào quang sẽ biến mất sau một số vòng đấu, tiêu diệt sẽ thêm hiệu ứng dễ bị tổn thương cho toàn bộ anh hùng",
100031,,,Level 31,Cấp 31,Level 31,Level 31,Level 31,Level 31,Level 31,,,<{level=46;unitId=223772;advance=3};{level=46;unitId=223511;advance=3};{level=46;unitId=223283;advance=3};{level=46;unitId=222612;advance=3};{level=46;unitId=221221;advance=3}>,<{level=46;unitId=251031;advance=4}>,config/portrait/jinglingtouxiang2/img_1393.png,,22,,,battle/scene/bg_sd.jpg,,,,,,46,161,161,,,,3,<<9;1;2%>;<10;1;2%>>,{gold=50000;451=30;452=20},<<gold;50000;1>;<451;30;1>;<452;20;1>>,{libs=<110;111>;451=2;gold=2600},<<gold;2600;0>;<451;1;1>;<452;1;1>>,12872,,,,,,,,,
100032,,,Level 32,Cấp 32,Level 32,Level 32,Level 32,Level 32,Level 32,,,<{level=47;unitId=220013;advance=3};{level=47;unitId=223543;advance=3};{level=47;unitId=223293;advance=3};{level=47;unitId=222633;advance=3};{level=47;unitId=221903;advance=3}>,<{level=47;unitId=251032;advance=4}>,config/portrait/jinglingtouxiang2/img_1381.png,,22,,,battle/scene/bg_tower.jpg,,,,,,47,165,165,,,,4,<<9;0;2%>;<10;0;2%>;<17;0;2%>>,{502=1;451=30;gold=50000},<<gold;50000;1>;<451;30;1>;<502;1;1>>,{libs=<110;111>;451=2;gold=2600},<<gold;2600;0>;<451;1;1>;<452;1;1>>,12872,,,,,,,,,
100033,,,Level 33,Cấp 33,Level 33,Level 33,Level 33,Level 33,Level 33,,,<{level=48;unitId=220044;advance=3};{level=48;unitId=223683;advance=3};{level=48;unitId=223342;advance=3};{level=48;unitId=222683;advance=3};{level=48;unitId=221931;advance=3}>,<{level=48;unitId=251033;advance=4}>,config/portrait/jinglingtouxiang2/img_1423.png,,22,,,battle/scene/bg_grass.jpg,,,,,,48,169,169,,,,5,<<9;0;5%>;<10;0;5%>>,{rmb=100;451=30;gold=50000},<<gold;50000;1>;<451;30;1>;<rmb;100;1>>,{libs=<110;111>;451=2;gold=2600},<<gold;2600;0>;<451;1;1>;<452;1;1>>,12872,,,,,,,,,
100034,,,Level 34,Cấp 34,Level 34,Level 34,Level 34,Level 34,Level 34,,,<{level=49;unitId=220053;advance=3};{level=49;unitId=223772;advance=3};{level=49;unitId=223432;advance=3};{level=49;unitId=222843;advance=3};{level=49;unitId=222013;advance=3}>,<{level=49;unitId=251034;advance=4}>,config/portrait/jinglingtouxiang2/img_1503.png,,22,,,battle/scene/bg_night.jpg,,,,,,49,173,173,,,,5,<<9;0;5%>;<10;0;5%>;<24;0;5%>>,{gold=50000;451=30;452=20},<<gold;50000;1>;<451;30;1>;<452;20;1>>,{libs=<110;111>;451=2;gold=2600},<<gold;2600;0>;<451;1;1>;<452;1;1>>,12872,,,,,,,,,
