VariableName,_vipLevel,icon,icon2,gift,gift_vn,gift_en,giftLevelLimit,monthGift,monthGift_vn,oldPrice,newPrice,upSum,dispatchTaskQualityUpd,dispatchTaskCount,megaItemMaxTimes,megaCommonItemMaxTimes,randomTowerPointRate,rmbDrawGemCountLimit,goldDrawGemCountLimit,rmbDrawChipCountLimit,itemDrawChipCountLimit,goldDrawCardCountLimit,drawItemCountLimit,crossArenaFreePWTimes,crossArenaBuyPWMaxTimes,freePWTimes,buyStaminaTimes,buyPWTimes,PWcoldTime,PWpointActive,buyHeroGateTimes,lianJinTimes,lianJinGift,lianJinUpstart,cardbgBuyNum,saodangCountOpen,chatTimes,roleChatTimes,chatTimes_kr,roleChatTimes_kr,chatTimes_en,roleChatTimes_en,chatTimes_tw,roleChatTimes_tw,bossTimeBuyLimit,skillPointRecoverTime,buySkillPointTimes,endlessTowerResetTimes,mysteryRefresh,shopRefreshLimit,fragShopRefreshLimit,explorerShopRefreshLimit,fishingShopRefreshLimit,hammer2048,freeTimes2048,buyTimes2048,freeTimesEatGreenBlock,buyTimesEatGreenBlock,freeTimesGoDown100,buyTimesGoDown100,arenaPassCD,huodongRedPacketSend,huodongRedPacketRob,gymTalentPointBuyTimes,gymBattleBuyTimes,fragExchangeTimes,heldItemExchangeTimes,crossMineRobBuyLimit,crossMineRevengeBuyLimit,huodongCrossRedPacketSend,huodongCrossRedPacketRob
9,,ICON/vip8.png,ICON/vip2_8.png,{30315=1;gold=5000000;215=1;233=1;902=80;23152=100},{30315=1;gold=5000000;215=1;233=1;902=80;23152=100},{30315=1;gold=5000000;215=1;233=1;902=80;23152=100},,,,16880,1680,15000,{1=0;2=0.2;3=0.4;4=0.3;5=0.1},,20,20,1.1,100,30,100,30,100,50,5,100,5,11,100,60,1,3,45,{5={gold=30000};50={gold=300000};30={gold=200000};15={gold=100000}},{1=88;2=7;3=4;5=1;10=0},55,50,1400,1400,,,1400,1400,,,2,60,25,,1,20,5,20,,3,,3,4,3,4,3,0,,,,,{5=30},{4=3},12,12,,
10,,ICON/vip9.png,ICON/vip2_9.png,{502=100;gold=8000000;14=100;card={id=2493};902=100;2006=1},{502=100;gold=8000000;14=100;card={id=2493};902=100;2006=1},{502=100;gold=8000000;14=100;card={id=2493};902=100;2006=1},,,,22800,2280,25000,{1=0;2=0.2;3=0.4;4=0.3;5=0.1},,20,20,1.1,100,30,100,30,100,55,5,100,5,12,100,60,1,3,50,{5={gold=30000};50={gold=300000};30={gold=200000};15={gold=100000}},{1=88;2=7;3=4;5=1;10=0},60,50,1600,1600,,,1600,1600,,,2,5,30,,1,20,5,20,,3,,3,4,3,4,3,0,,,,,{5=30},{4=3},14,14,,
11,,ICON/vip10.png,ICON/vip2_10.png,{502=150;6050=1;gold=10000000;22493=160;902=150;6059=2},{502=150;6050=1;gold=10000000;22493=160;902=150;6059=2},{502=150;6050=1;gold=10000000;22493=160;902=150;6059=2},,,,26800,2680,50000,{1=0;2=0.15;3=0.3;4=0.35;5=0.2},,20,20,1.1,100,30,100,30,100,60,5,100,5,12,100,60,1,4,60,{5={gold=30000};50={gold=300000};30={gold=200000};15={gold=100000}},{1=83;2=9;3=5;5=3;10=1},65,50,1800,1800,,,1800,1800,,,2,5,35,2,1,20,5,20,,3,,3,4,3,4,3,0,,,,,{5=40},{4=4;5=1},16,16,,
12,,ICON/vip11.png,ICON/vip2_11.png,{502=200;gold=12000000;22493=240;2216=1;902=200;9061=100},{502=200;gold=12000000;22493=240;2216=1;902=200;9061=100},{502=200;gold=12000000;22493=240;2216=1;902=200;9061=100},,,,33800,3380,75000,{1=0;2=0.1;3=0.3;4=0.4;5=0.2},5,20,20,1.1,100,30,100,30,100,65,5,100,5,13,100,60,1,4,70,{5={gold=30000};50={gold=300000};30={gold=200000};15={gold=100000}},{1=83;2=9;3=5;5=3;10=1},70,50,2000,2000,,,2000,2000,,,2,5,40,2,2,20,5,20,,3,,3,4,3,4,3,0,,,,,{5=40},{4=4;5=1},18,18,,
13,,ICON/vip12.png,ICON/vip2_12.png,{16=100;card={id=7051};gold=15000000;501=50;2069=1;902=300},{16=100;card={id=7051};gold=15000000;501=50;2069=1;902=300},{16=100;card={id=7051};gold=15000000;501=50;2069=1;902=300},,,,48800,4880,100000,{1=0;2=0.1;3=0.25;4=0.4;5=0.25},5,20,20,1.15,100,30,100,30,100,70,5,100,5,13,100,60,1,4,80,{5={gold=30000};50={gold=300000};30={gold=200000};15={gold=100000}},{1=83;2=9;3=5;5=3;10=1},80,50,2200,2200,,,2200,2200,,,2,5,50,2,2,20,5,20,,3,,3,4,3,4,3,0,,,,,{5=40},{4=4;5=1},21,21,,
14,,ICON/vip13.png,ICON/vip2_13.png,{27051=160;gold=20000000;201=1;19=50;9061=200;221=1},{27051=160;gold=20000000;201=1;19=50;9061=200;221=1},{27051=160;gold=20000000;201=1;19=50;9061=200;221=1},,,,68800,6880,150000,{1=0;2=0.05;3=0.3;4=0.4;5=0.25},5,20,20,1.15,100,30,100,30,100,80,5,100,5,14,100,10,1,5,100,{5={gold=30000};50={gold=300000};30={gold=200000};15={gold=100000}},{1=78;2=10;3=6;5=5;10=1},90,50,2400,2400,,,2400,2400,,,2,5,60,2,2,20,5,20,,3,,3,4,3,4,3,0,,,,,{5=50},{4=5;5=2},24,24,,
15,,ICON/vip14.png,ICON/vip2_14.png,{27051=240;231=1;6101=1;211=1;gold=25000000;9061=300},{27051=240;231=1;6101=1;211=1;gold=25000000;9061=300},{27051=240;231=1;6101=1;211=1;gold=25000000;9061=300},,,,108800,10880,250000,{1=0;2=0.05;3=0.3;4=0.4;5=0.25},5,20,20,1.3,100,30,100,30,100,90,5,100,5,14,100,10,1,5,120,{5={gold=30000};50={gold=300000};30={gold=200000};15={gold=100000}},{1=78;2=10;3=6;5=5;10=1},100,50,2600,2600,,,2600,2600,,,2,5,80,2,3,20,5,20,,3,,3,4,3,4,3,0,,,,,{5=50},{4=5;5=2},27,27,,
16,,ICON/vip15.png,ICON/vip2_15.png,{19=100;30401=1;gold=30000000;8888=1;521=240;902=300},{19=100;30401=1;gold=30000000;8888=1;521=240;902=300},{19=100;30401=1;gold=30000000;8888=1;521=240;902=300},,,,208800,20880,350000,{1=0;2=0;3=0.3;4=0.4;5=0.3},5,20,20,1.3,100,30,100,30,100,100,5,100,5,15,100,10,1,5,150,{5={gold=30000};50={gold=300000};30={gold=200000};15={gold=100000}},{1=78;2=10;3=6;5=5;10=1},110,50,2800,2800,,,2800,2800,,,2,5,100,2,4,20,5,20,,3,,3,4,3,4,3,0,,,,,{5=50},{4=5;5=2},30,30,,
17,,ICON/vip16.png,ICON/vip2_16.png,{6102=1;6106=1;gold=40000000;521=320;501=100;902=300;9061=300},{6102=1;6106=1;gold=40000000;521=320;501=100;902=300;9061=300},{6102=1;6106=1;gold=40000000;521=320;501=100;902=300;9061=300},,,,308800,18880,500000,{1=0;2=0;3=0.3;4=0.4;5=0.3},5,20,20,1.3,100,30,100,30,100,110,5,100,5,15,100,10,1,5,180,{5={gold=30000};50={gold=300000};30={gold=200000};15={gold=100000}},{1=78;2=10;3=6;5=5;10=1},120,50,3000,3000,,,3000,3000,,,2,5,100,2,4,20,5,20,,3,,3,4,3,4,3,0,,,,,{5=60},{4=7;5=3},35,35,,
18,,ICON/vip17.png,ICON/vip2_17.png,{6107=1;2103=300;gold=50000000;521=500;2153=5;902=500;9061=500},{6107=1;2103=300;gold=50000000;521=500;2153=5;902=500;9061=500},{6107=1;2103=300;gold=50000000;521=500;2153=5;902=500;9061=500},,,,408800,20880,1000000,{1=0;2=0;3=0.3;4=0.4;5=0.3},5,20,20,1.3,100,30,100,30,100,120,5,100,5,15,100,10,1,5,210,{5={gold=30000};50={gold=300000};30={gold=200000};15={gold=100000}},{1=78;2=10;3=6;5=5;10=1},130,50,3200,3200,,,3200,3200,,,2,5,100,2,4,20,5,20,,3,,3,4,3,4,3,0,,,,,{5=60},{4=7;5=3},35,35,,
19,,ICON/vip18.png,ICON/vip2_18.png,{card={id=4024};529=100000;604=500;gold=100000000;521=1000;2153=10;121=500},{card={id=4024};529=100000;604=500;gold=100000000;521=1000;2153=10;121=500},{card={id=4024};529=100000;604=500;gold=100000000;521=1000;2153=10;121=500},,,,508800,26880,1500000,{1=0;2=0;3=0.3;4=0.4;5=0.3},5,20,20,1.3,100,30,100,30,100,130,5,100,5,15,100,10,1,5,240,{5={gold=30000};50={gold=300000};30={gold=200000};15={gold=100000}},{1=78;2=10;3=6;5=5;10=1},150,50,3400,3400,,,3400,3400,,,2,5,100,2,4,20,5,20,,3,,3,4,3,4,3,0,,,,,{5=70},{4=7;5=3},35,35,,
20,,ICON/vip19.png,ICON/vip2_19.png,{24024=160;30437=1;124=500;gold=200000000;537=500;521=1200;2153=20},{24024=160;30437=1;124=500;gold=200000000;537=500;521=1200;2153=20},{24024=160;30437=1;124=500;gold=200000000;537=500;521=1200;2153=20},,,,708800,38880,2000000,{1=0;2=0;3=0.3;4=0.4;5=0.3},5,20,20,1.35,100,30,100,30,100,140,5,100,5,16,100,3,1,5,270,{5={gold=30000};50={gold=300000};30={gold=200000};15={gold=100000}},{1=78;2=10;3=6;5=5;10=1},160,50,9999,9999,,,9999,9999,,,2,5,100,2,4,20,5,20,,3,,3,4,3,4,3,0,,,,,{5=80},{4=10;5=4},35,35,,
21,,ICON/vip20.png,ICON/vip2_20.png,{24024=240;31101=1;605=1000;gold=300000000;521=1500;2153=30;6059=50},{24024=240;31101=1;605=1000;gold=300000000;521=1500;2153=30;6059=50},{24024=240;31101=1;605=1000;gold=300000000;521=1500;2153=30;6059=50},,,,808800,45880,2500000,{1=0;2=0;3=0.3;4=0.4;5=0.3},5,20,20,1.4,100,30,100,30,100,150,5,100,5,17,100,3,1,5,300,{5={gold=30000};50={gold=300000};30={gold=200000};15={gold=100000}},{1=78;2=10;3=6;5=5;10=1},170,50,9999,9999,,,9999,9999,,,2,5,100,2,4,20,5,20,,3,,3,4,3,4,3,0,,,,,{5=90},{4=10;5=4},35,35,,
