VariableName,drawType,_comment,drawTriggerType,drawTriggerTimes,weightStart,weightEnd,effectLimit,startCount,probInit,probStep,probLimit,probMiniTimes,probEffectInterval,lotteryType1,lotteryWeight1,lotteryType2,lotteryWeight2,lotteryType3,lotteryWeight3,lotteryType4,lotteryWeight4,lotteryType5,lotteryWeight5,lotteryType6,lotteryWeight6,lotteryType7,lotteryWeight7,lotteryType8,lotteryWeight8,lotteryType9,lotteryWeight9,lotteryType10,lotteryWeight10
402,rmb10,,1,6,0.05,0.45,1,6,,,,,,{8015=1;8012=2;8017=2;8011=5},100,{8015=1;8012=3;8017=2;8011=4},100,{8015=1;8012=3;8017=1;8011=5},100,,,,,,,,,,,,,,
403,rmb10,,1,1,0.3,0.4,1,1,,,,,,{8015=1;8012=2;8017=2;8011=5},100,{8015=1;8012=3;8017=2;8011=4},100,{8015=1;8012=3;8017=1;8011=5},100,,,,,,,,,,,,,,
404,rmb10,,1,1,0.05,0.45,,1,,,,,,{8014=1;8012=2;8017=2;8011=5},100,{8014=1;8012=3;8017=2;8011=4},100,{8014=1;8012=3;8017=1;8011=5},100,{8014=1;8011=4;8013=1;8017=2;8012=2},50,{8014=1;8011=4;8013=1;8017=1;8012=3},50,{8014=1;8011=3;8013=1;8017=2;8012=3},50,,,,,,,,
405,rmb10,,3,1,,,1,,,,,,,{8014=1;8012=2;8017=2;8011=5},100,{8014=1;8012=3;8017=2;8011=4},100,{8014=1;8012=3;8017=1;8011=5},100,,,,,,,,,,,,,,
406,rmb10,,0,2,,,,,,,,,,{8013=1;8012=2;8017=2;8011=5},100,{8013=1;8012=1;8017=2;8011=6},50,{8013=1;8012=3;8017=1;8011=5},50,{8013=1;8012=4;8017=1;8011=4},50,{8013=2;8012=2;8017=2;8011=4},100,{8013=2;8012=1;8017=2;8011=5},50,{8013=2;8012=3;8017=1;8011=4},50,{8013=2;8012=2;8017=1;8011=5},50,,,,
1001,limit_up_gem_rmb1_101015,,0,1,,,,,,,,,,{8011=1},57,{8012=1},22,{8013=1},8,{8017=1},13,,,,,,,,,,,,
1002,limit_up_gem_rmb10_101015,,0,1,,,,,,,,,,{8013=1;8012=2;8017=2;8011=5},100,{8013=1;8012=1;8017=2;8011=6},50,{8013=1;8012=3;8017=1;8011=5},50,{8013=1;8012=4;8017=1;8011=4},50,{8013=2;8012=2;8017=2;8011=4},100,{8013=2;8012=1;8017=2;8011=5},50,{8013=2;8012=3;8017=1;8011=4},50,{8013=2;8012=2;8017=1;8011=5},50,,,,
10301,limit_up_gem_rmb1_17001,,1,60,0.0045,0.0102,,60,,,,,,{8105=1},100,,,,,,,,,,,,,,,,,,
10302,limit_up_gem_rmb1_17001,,1,40,0.02,0.08,1,40,,,,,,{8104=1},100,,,,,,,,,,,,,,,,,,
10303,limit_up_gem_rmb1_17001,,1,20,0.015,0.025,,20,,,,,,{8104=1},100,,,,,,,,,,,,,,,,,,
10304,limit_up_gem_rmb1_17001,,1,10,0.06,0.14,1,10,,,,,,{8104=1},100,,,,,,,,,,,,,,,,,,
10305,limit_up_gem_rmb1_17001,,3,1,,,1,,,,,,,{8103=1},100,,,,,,,,,,,,,,,,,,
10306,limit_up_gem_rmb1_17001,,0,2,,,,,,,,,,{8101=1},57,{8102=1},22,{8103=1},8,{8017=1},13,,,,,,,,,,,,
10401,limit_up_gem_rmb10_17001,,1,11,0.054,0.113,,10,,,,,,{8102=2;8105=1;8017=2;8101=5},100,{8102=3;8105=1;8017=2;8101=4},100,{8102=3;8105=1;8017=1;8101=5},100,{8103=1;8102=2;8105=1;8017=2;8101=4},50,{8103=1;8102=3;8105=1;8017=1;8101=4},50,{8103=1;8102=3;8105=1;8017=2;8101=3},50,,,,,,,,
10402,limit_up_gem_rmb10_17001,,1,6,0.05,0.45,1,6,,,,,,{8102=2;8105=1;8017=2;8101=5},100,{8102=3;8105=1;8017=2;8101=4},100,{8102=3;8105=1;8017=1;8101=5},100,,,,,,,,,,,,,,
10403,limit_up_gem_rmb10_17001,,1,1,0.3,0.4,1,1,,,,,,{8102=2;8105=1;8017=2;8101=5},100,{8102=3;8105=1;8017=2;8101=4},100,{8102=3;8105=1;8017=1;8101=5},100,,,,,,,,,,,,,,
10404,limit_up_gem_rmb10_17001,,1,1,0.05,0.45,,1,,,,,,{8102=2;8104=1;8017=2;8101=5},100,{8102=3;8104=1;8017=2;8101=4},100,{8102=3;8104=1;8017=1;8101=5},100,{8103=1;8102=2;8104=1;8017=2;8101=4},50,{8103=1;8102=3;8104=1;8017=1;8101=4},50,{8103=1;8102=3;8104=1;8017=2;8101=3},50,,,,,,,,
10405,limit_up_gem_rmb10_17001,,3,1,,,1,,,,,,,{8102=2;8104=1;8017=2;8101=5},100,{8102=3;8104=1;8017=2;8101=4},100,{8102=3;8104=1;8017=1;8101=5},100,,,,,,,,,,,,,,
10406,limit_up_gem_rmb10_17001,,0,2,,,,,,,,,,{8102=2;8101=5;8017=2;8103=1},100,{8102=1;8101=6;8017=2;8103=1},50,{8102=3;8101=5;8017=1;8103=1},50,{8102=4;8101=4;8017=1;8103=1},50,{8102=2;8101=4;8017=2;8103=2},100,{8102=1;8101=5;8017=2;8103=2},50,{8102=3;8101=4;8017=1;8103=2},50,{8102=2;8101=5;8017=1;8103=2},50,,,,
10501,limit_up_gem_rmb1_1922,,1,60,0.0045,0.0102,,60,,,,,,{8205=1},100,,,,,,,,,,,,,,,,,,
10502,limit_up_gem_rmb1_1922,,1,40,0.02,0.08,1,40,,,,,,{8204=1},100,,,,,,,,,,,,,,,,,,
10503,limit_up_gem_rmb1_1922,,1,20,0.015,0.025,,20,,,,,,{8204=1},100,,,,,,,,,,,,,,,,,,
10504,limit_up_gem_rmb1_1922,,1,10,0.06,0.14,1,10,,,,,,{8204=1},100,,,,,,,,,,,,,,,,,,
10505,limit_up_gem_rmb1_1922,,3,1,,,1,,,,,,,{8203=1},100,,,,,,,,,,,,,,,,,,
10506,limit_up_gem_rmb1_1922,,0,2,,,,,,,,,,{8201=1},57,{8202=1},22,{8203=1},8,{8017=1},13,,,,,,,,,,,,
10601,limit_up_gem_rmb10_1922,,1,11,0.054,0.113,,10,,,,,,{8201=5;8205=1;8017=2;8202=2},100,{8201=4;8205=1;8017=2;8202=3},100,{8201=5;8205=1;8017=1;8202=3},100,{8203=1;8205=1;8201=4;8017=2;8202=2},50,{8203=1;8205=1;8201=4;8017=1;8202=3},50,{8203=1;8205=1;8201=3;8017=2;8202=3},50,,,,,,,,
10602,limit_up_gem_rmb10_1922,,1,6,0.05,0.45,1,6,,,,,,{8201=5;8205=1;8017=2;8202=2},100,{8201=4;8205=1;8017=2;8202=3},100,{8201=5;8205=1;8017=1;8202=3},100,,,,,,,,,,,,,,
10603,limit_up_gem_rmb10_1922,,1,1,0.3,0.4,1,1,,,,,,{8201=5;8205=1;8017=2;8202=2},100,{8201=4;8205=1;8017=2;8202=3},100,{8201=5;8205=1;8017=1;8202=3},100,,,,,,,,,,,,,,
10604,limit_up_gem_rmb10_1922,,1,1,0.05,0.45,,1,,,,,,{8201=5;8204=1;8017=2;8202=2},100,{8201=4;8204=1;8017=2;8202=3},100,{8201=5;8204=1;8017=1;8202=3},100,{8203=1;8204=1;8201=4;8017=2;8202=2},50,{8203=1;8204=1;8201=4;8017=1;8202=3},50,{8203=1;8204=1;8201=3;8017=2;8202=3},50,,,,,,,,
10605,limit_up_gem_rmb10_1922,,3,1,,,1,,,,,,,{8201=5;8204=1;8017=2;8202=2},100,{8201=4;8204=1;8017=2;8202=3},100,{8201=5;8204=1;8017=1;8202=3},100,,,,,,,,,,,,,,
10606,limit_up_gem_rmb10_1922,,0,2,,,,,,,,,,{8201=5;8202=2;8017=2;8203=1},100,{8201=6;8202=1;8017=2;8203=1},50,{8201=5;8202=3;8017=1;8203=1},50,{8201=4;8202=4;8017=1;8203=1},50,{8201=4;8202=2;8017=2;8203=2},100,{8201=5;8202=1;8017=2;8203=2},50,{8201=4;8202=3;8017=1;8203=2},50,{8201=5;8202=2;8017=1;8203=2},50,,,,
10701,limit_up_gem_rmb1_2012,,1,60,0.0045,0.0102,,60,,,,,,{8305=1},100,,,,,,,,,,,,,,,,,,
10702,limit_up_gem_rmb1_2012,,1,40,0.02,0.08,1,40,,,,,,{8304=1},100,,,,,,,,,,,,,,,,,,
10703,limit_up_gem_rmb1_2012,,1,20,0.015,0.025,,20,,,,,,{8304=1},100,,,,,,,,,,,,,,,,,,
10704,limit_up_gem_rmb1_2012,,1,10,0.06,0.14,1,10,,,,,,{8304=1},100,,,,,,,,,,,,,,,,,,
10705,limit_up_gem_rmb1_2012,,3,1,,,1,,,,,,,{8303=1},100,,,,,,,,,,,,,,,,,,
10706,limit_up_gem_rmb1_2012,,0,2,,,,,,,,,,{8301=1},57,{8302=1},22,{8303=1},8,{8017=1},13,,,,,,,,,,,,
10801,limit_up_gem_rmb10_2012,,1,11,0.054,0.113,,10,,,,,,{8301=5;8302=2;8017=2;8305=1},100,{8301=4;8302=3;8017=2;8305=1},100,{8301=5;8302=3;8017=1;8305=1},100,{8303=1;8302=2;8301=4;8017=2;8305=1},50,{8303=1;8302=3;8301=4;8017=1;8305=1},50,{8303=1;8302=3;8301=3;8017=2;8305=1},50,,,,,,,,
10802,limit_up_gem_rmb10_2012,,1,6,0.05,0.45,1,6,,,,,,{8301=5;8302=2;8017=2;8305=1},100,{8301=4;8302=3;8017=2;8305=1},100,{8301=5;8302=3;8017=1;8305=1},100,,,,,,,,,,,,,,
10803,limit_up_gem_rmb10_2012,,1,1,0.3,0.4,1,1,,,,,,{8301=5;8302=2;8017=2;8305=1},100,{8301=4;8302=3;8017=2;8305=1},100,{8301=5;8302=3;8017=1;8305=1},100,,,,,,,,,,,,,,
10804,limit_up_gem_rmb10_2012,,1,1,0.05,0.45,,1,,,,,,{8301=5;8302=2;8017=2;8304=1},100,{8301=4;8302=3;8017=2;8304=1},100,{8301=5;8302=3;8017=1;8304=1},100,{8303=1;8302=2;8301=4;8017=2;8304=1},50,{8303=1;8302=3;8301=4;8017=1;8304=1},50,{8303=1;8302=3;8301=3;8017=2;8304=1},50,,,,,,,,
10805,limit_up_gem_rmb10_2012,,3,1,,,1,,,,,,,{8301=5;8302=2;8017=2;8304=1},100,{8301=4;8302=3;8017=2;8304=1},100,{8301=5;8302=3;8017=1;8304=1},100,,,,,,,,,,,,,,
10806,limit_up_gem_rmb10_2012,,0,2,,,,,,,,,,{8301=5;8302=2;8017=2;8303=1},100,{8301=6;8302=1;8017=2;8303=1},50,{8301=5;8302=3;8017=1;8303=1},50,{8301=4;8302=4;8017=1;8303=1},50,{8301=4;8302=2;8017=2;8303=2},100,{8301=5;8302=1;8017=2;8303=2},50,{8301=4;8302=3;8017=1;8303=2},50,{8301=5;8302=2;8017=1;8303=2},50,,,,
10901,limit_up_gem_rmb1_2112,,1,60,0.0045,0.0102,,60,,,,,,{8105=1},100,,,,,,,,,,,,,,,,,,
10902,limit_up_gem_rmb1_2112,,1,40,0.02,0.08,1,40,,,,,,{8104=1},100,,,,,,,,,,,,,,,,,,
10903,limit_up_gem_rmb1_2112,,1,20,0.015,0.025,,20,,,,,,{8104=1},100,,,,,,,,,,,,,,,,,,
10904,limit_up_gem_rmb1_2112,,1,10,0.06,0.14,1,10,,,,,,{8104=1},100,,,,,,,,,,,,,,,,,,
10905,limit_up_gem_rmb1_2112,,3,1,,,1,,,,,,,{8103=1},100,,,,,,,,,,,,,,,,,,
10906,limit_up_gem_rmb1_2112,,0,2,,,,,,,,,,{8101=1},57,{8102=1},22,{8103=1},8,{8017=1},13,,,,,,,,,,,,
11001,limit_up_gem_rmb10_2112,,1,11,0.054,0.113,,10,,,,,,{8102=2;8105=1;8017=2;8101=5},100,{8102=3;8105=1;8017=2;8101=4},100,{8102=3;8105=1;8017=1;8101=5},100,{8103=1;8102=2;8105=1;8017=2;8101=4},50,{8103=1;8102=3;8105=1;8017=1;8101=4},50,{8103=1;8102=3;8105=1;8017=2;8101=3},50,,,,,,,,
11002,limit_up_gem_rmb10_2112,,1,6,0.05,0.45,1,6,,,,,,{8102=2;8105=1;8017=2;8101=5},100,{8102=3;8105=1;8017=2;8101=4},100,{8102=3;8105=1;8017=1;8101=5},100,,,,,,,,,,,,,,
11003,limit_up_gem_rmb10_2112,,1,1,0.3,0.4,1,1,,,,,,{8102=2;8105=1;8017=2;8101=5},100,{8102=3;8105=1;8017=2;8101=4},100,{8102=3;8105=1;8017=1;8101=5},100,,,,,,,,,,,,,,
11004,limit_up_gem_rmb10_2112,,1,1,0.05,0.45,,1,,,,,,{8102=2;8104=1;8017=2;8101=5},100,{8102=3;8104=1;8017=2;8101=4},100,{8102=3;8104=1;8017=1;8101=5},100,{8103=1;8102=2;8104=1;8017=2;8101=4},50,{8103=1;8102=3;8104=1;8017=1;8101=4},50,{8103=1;8102=3;8104=1;8017=2;8101=3},50,,,,,,,,
11005,limit_up_gem_rmb10_2112,,3,1,,,1,,,,,,,{8102=2;8104=1;8017=2;8101=5},100,{8102=3;8104=1;8017=2;8101=4},100,{8102=3;8104=1;8017=1;8101=5},100,,,,,,,,,,,,,,
11006,limit_up_gem_rmb10_2112,,0,2,,,,,,,,,,{8102=2;8101=5;8017=2;8103=1},100,{8102=1;8101=6;8017=2;8103=1},50,{8102=3;8101=5;8017=1;8103=1},50,{8102=4;8101=4;8017=1;8103=1},50,{8102=2;8101=4;8017=2;8103=2},100,{8102=1;8101=5;8017=2;8103=2},50,{8102=3;8101=4;8017=1;8103=2},50,{8102=2;8101=5;8017=1;8103=2},50,,,,
11101,limit_up_gem_rmb1_2222,,1,60,0.0045,0.0102,,60,,,,,,{8205=1},100,,,,,,,,,,,,,,,,,,
11102,limit_up_gem_rmb1_2222,,1,40,0.02,0.08,1,40,,,,,,{8204=1},100,,,,,,,,,,,,,,,,,,
11103,limit_up_gem_rmb1_2222,,1,20,0.015,0.025,,20,,,,,,{8204=1},100,,,,,,,,,,,,,,,,,,
11104,limit_up_gem_rmb1_2222,,1,10,0.06,0.14,1,10,,,,,,{8204=1},100,,,,,,,,,,,,,,,,,,
11105,limit_up_gem_rmb1_2222,,3,1,,,1,,,,,,,{8203=1},100,,,,,,,,,,,,,,,,,,
11106,limit_up_gem_rmb1_2222,,0,2,,,,,,,,,,{8201=1},57,{8202=1},22,{8203=1},8,{8017=1},13,,,,,,,,,,,,
11201,limit_up_gem_rmb10_2222,,1,11,0.054,0.113,,10,,,,,,{8201=5;8205=1;8017=2;8202=2},100,{8201=4;8205=1;8017=2;8202=3},100,{8201=5;8205=1;8017=1;8202=3},100,{8203=1;8205=1;8201=4;8017=2;8202=2},50,{8203=1;8205=1;8201=4;8017=1;8202=3},50,{8203=1;8205=1;8201=3;8017=2;8202=3},50,,,,,,,,
11202,limit_up_gem_rmb10_2222,,1,6,0.05,0.45,1,6,,,,,,{8201=5;8205=1;8017=2;8202=2},100,{8201=4;8205=1;8017=2;8202=3},100,{8201=5;8205=1;8017=1;8202=3},100,,,,,,,,,,,,,,
11203,limit_up_gem_rmb10_2222,,1,1,0.3,0.4,1,1,,,,,,{8201=5;8205=1;8017=2;8202=2},100,{8201=4;8205=1;8017=2;8202=3},100,{8201=5;8205=1;8017=1;8202=3},100,,,,,,,,,,,,,,
11204,limit_up_gem_rmb10_2222,,1,1,0.05,0.45,,1,,,,,,{8201=5;8204=1;8017=2;8202=2},100,{8201=4;8204=1;8017=2;8202=3},100,{8201=5;8204=1;8017=1;8202=3},100,{8203=1;8204=1;8201=4;8017=2;8202=2},50,{8203=1;8204=1;8201=4;8017=1;8202=3},50,{8203=1;8204=1;8201=3;8017=2;8202=3},50,,,,,,,,
11205,limit_up_gem_rmb10_2222,,3,1,,,1,,,,,,,{8201=5;8204=1;8017=2;8202=2},100,{8201=4;8204=1;8017=2;8202=3},100,{8201=5;8204=1;8017=1;8202=3},100,,,,,,,,,,,,,,
11206,limit_up_gem_rmb10_2222,,0,2,,,,,,,,,,{8201=5;8202=2;8017=2;8203=1},100,{8201=6;8202=1;8017=2;8203=1},50,{8201=5;8202=3;8017=1;8203=1},50,{8201=4;8202=4;8017=1;8203=1},50,{8201=4;8202=2;8017=2;8203=2},100,{8201=5;8202=1;8017=2;8203=2},50,{8201=4;8202=3;8017=1;8203=2},50,{8201=5;8202=2;8017=1;8203=2},50,,,,
11301,limit_up_gem_rmb1_2292,,1,60,0.0045,0.0102,,60,,,,,,{8305=1},100,,,,,,,,,,,,,,,,,,
11302,limit_up_gem_rmb1_2292,,1,40,0.02,0.08,1,40,,,,,,{8304=1},100,,,,,,,,,,,,,,,,,,
11303,limit_up_gem_rmb1_2292,,1,20,0.015,0.025,,20,,,,,,{8304=1},100,,,,,,,,,,,,,,,,,,
11304,limit_up_gem_rmb1_2292,,1,10,0.06,0.14,1,10,,,,,,{8304=1},100,,,,,,,,,,,,,,,,,,
11305,limit_up_gem_rmb1_2292,,3,1,,,1,,,,,,,{8303=1},100,,,,,,,,,,,,,,,,,,
11306,limit_up_gem_rmb1_2292,,0,2,,,,,,,,,,{8301=1},57,{8302=1},22,{8303=1},8,{8017=1},13,,,,,,,,,,,,
11401,limit_up_gem_rmb10_2292,,1,11,0.054,0.113,,10,,,,,,{8301=5;8302=2;8017=2;8305=1},100,{8301=4;8302=3;8017=2;8305=1},100,{8301=5;8302=3;8017=1;8305=1},100,{8303=1;8302=2;8301=4;8017=2;8305=1},50,{8303=1;8302=3;8301=4;8017=1;8305=1},50,{8303=1;8302=3;8301=3;8017=2;8305=1},50,,,,,,,,
11402,limit_up_gem_rmb10_2292,,1,6,0.05,0.45,1,6,,,,,,{8301=5;8302=2;8017=2;8305=1},100,{8301=4;8302=3;8017=2;8305=1},100,{8301=5;8302=3;8017=1;8305=1},100,,,,,,,,,,,,,,
11403,limit_up_gem_rmb10_2292,,1,1,0.3,0.4,1,1,,,,,,{8301=5;8302=2;8017=2;8305=1},100,{8301=4;8302=3;8017=2;8305=1},100,{8301=5;8302=3;8017=1;8305=1},100,,,,,,,,,,,,,,
11404,limit_up_gem_rmb10_2292,,1,1,0.05,0.45,,1,,,,,,{8301=5;8302=2;8017=2;8304=1},100,{8301=4;8302=3;8017=2;8304=1},100,{8301=5;8302=3;8017=1;8304=1},100,{8303=1;8302=2;8301=4;8017=2;8304=1},50,{8303=1;8302=3;8301=4;8017=1;8304=1},50,{8303=1;8302=3;8301=3;8017=2;8304=1},50,,,,,,,,
11405,limit_up_gem_rmb10_2292,,3,1,,,1,,,,,,,{8301=5;8302=2;8017=2;8304=1},100,{8301=4;8302=3;8017=2;8304=1},100,{8301=5;8302=3;8017=1;8304=1},100,,,,,,,,,,,,,,
11406,limit_up_gem_rmb10_2292,,0,2,,,,,,,,,,{8301=5;8302=2;8017=2;8303=1},100,{8301=6;8302=1;8017=2;8303=1},50,{8301=5;8302=3;8017=1;8303=1},50,{8301=4;8302=4;8017=1;8303=1},50,{8301=4;8302=2;8017=2;8303=2},100,{8301=5;8302=1;8017=2;8303=2},50,{8301=4;8302=3;8017=1;8303=2},50,{8301=5;8302=2;8017=1;8303=2},50,,,,
11501,limit_up_gem_rmb1_2372,,1,60,0.0045,0.0102,,60,,,,,,{8105=1},100,,,,,,,,,,,,,,,,,,
11502,limit_up_gem_rmb1_2372,,1,40,0.02,0.08,1,40,,,,,,{8104=1},100,,,,,,,,,,,,,,,,,,
11503,limit_up_gem_rmb1_2372,,1,20,0.015,0.025,,20,,,,,,{8104=1},100,,,,,,,,,,,,,,,,,,
11504,limit_up_gem_rmb1_2372,,1,10,0.06,0.14,1,10,,,,,,{8104=1},100,,,,,,,,,,,,,,,,,,
11505,limit_up_gem_rmb1_2372,,3,1,,,1,,,,,,,{8103=1},100,,,,,,,,,,,,,,,,,,
11506,limit_up_gem_rmb1_2372,,0,2,,,,,,,,,,{8101=1},57,{8102=1},22,{8103=1},8,{8017=1},13,,,,,,,,,,,,
11601,limit_up_gem_rmb10_2372,,1,11,0.054,0.113,,10,,,,,,{8102=2;8105=1;8017=2;8101=5},100,{8102=3;8105=1;8017=2;8101=4},100,{8102=3;8105=1;8017=1;8101=5},100,{8103=1;8102=2;8105=1;8017=2;8101=4},50,{8103=1;8102=3;8105=1;8017=1;8101=4},50,{8103=1;8102=3;8105=1;8017=2;8101=3},50,,,,,,,,
11602,limit_up_gem_rmb10_2372,,1,6,0.05,0.45,1,6,,,,,,{8102=2;8105=1;8017=2;8101=5},100,{8102=3;8105=1;8017=2;8101=4},100,{8102=3;8105=1;8017=1;8101=5},100,,,,,,,,,,,,,,
11603,limit_up_gem_rmb10_2372,,1,1,0.3,0.4,1,1,,,,,,{8102=2;8105=1;8017=2;8101=5},100,{8102=3;8105=1;8017=2;8101=4},100,{8102=3;8105=1;8017=1;8101=5},100,,,,,,,,,,,,,,
11604,limit_up_gem_rmb10_2372,,1,1,0.05,0.45,,1,,,,,,{8102=2;8104=1;8017=2;8101=5},100,{8102=3;8104=1;8017=2;8101=4},100,{8102=3;8104=1;8017=1;8101=5},100,{8103=1;8102=2;8104=1;8017=2;8101=4},50,{8103=1;8102=3;8104=1;8017=1;8101=4},50,{8103=1;8102=3;8104=1;8017=2;8101=3},50,,,,,,,,
11605,limit_up_gem_rmb10_2372,,3,1,,,1,,,,,,,{8102=2;8104=1;8017=2;8101=5},100,{8102=3;8104=1;8017=2;8101=4},100,{8102=3;8104=1;8017=1;8101=5},100,,,,,,,,,,,,,,
11606,limit_up_gem_rmb10_2372,,0,2,,,,,,,,,,{8102=2;8101=5;8017=2;8103=1},100,{8102=1;8101=6;8017=2;8103=1},50,{8102=3;8101=5;8017=1;8103=1},50,{8102=4;8101=4;8017=1;8103=1},50,{8102=2;8101=4;8017=2;8103=2},100,{8102=1;8101=5;8017=2;8103=2},50,{8102=3;8101=4;8017=1;8103=2},50,{8102=2;8101=5;8017=1;8103=2},50,,,,
11701,limit_up_gem_rmb1_2472,,1,60,0.0045,0.0102,,60,,,,,,{8205=1},100,,,,,,,,,,,,,,,,,,
11702,limit_up_gem_rmb1_2472,,1,40,0.02,0.08,1,40,,,,,,{8204=1},100,,,,,,,,,,,,,,,,,,
11703,limit_up_gem_rmb1_2472,,1,20,0.015,0.025,,20,,,,,,{8204=1},100,,,,,,,,,,,,,,,,,,
11704,limit_up_gem_rmb1_2472,,1,10,0.06,0.14,1,10,,,,,,{8204=1},100,,,,,,,,,,,,,,,,,,
11705,limit_up_gem_rmb1_2472,,3,1,,,1,,,,,,,{8203=1},100,,,,,,,,,,,,,,,,,,
11706,limit_up_gem_rmb1_2472,,0,2,,,,,,,,,,{8201=1},57,{8202=1},22,{8203=1},8,{8017=1},13,,,,,,,,,,,,
11801,limit_up_gem_rmb10_2472,,1,11,0.054,0.113,,10,,,,,,{8201=5;8205=1;8017=2;8202=2},100,{8201=4;8205=1;8017=2;8202=3},100,{8201=5;8205=1;8017=1;8202=3},100,{8203=1;8205=1;8201=4;8017=2;8202=2},50,{8203=1;8205=1;8201=4;8017=1;8202=3},50,{8203=1;8205=1;8201=3;8017=2;8202=3},50,,,,,,,,
11802,limit_up_gem_rmb10_2472,,1,6,0.05,0.45,1,6,,,,,,{8201=5;8205=1;8017=2;8202=2},100,{8201=4;8205=1;8017=2;8202=3},100,{8201=5;8205=1;8017=1;8202=3},100,,,,,,,,,,,,,,
11803,limit_up_gem_rmb10_2472,,1,1,0.3,0.4,1,1,,,,,,{8201=5;8205=1;8017=2;8202=2},100,{8201=4;8205=1;8017=2;8202=3},100,{8201=5;8205=1;8017=1;8202=3},100,,,,,,,,,,,,,,
11804,limit_up_gem_rmb10_2472,,1,1,0.05,0.45,,1,,,,,,{8201=5;8204=1;8017=2;8202=2},100,{8201=4;8204=1;8017=2;8202=3},100,{8201=5;8204=1;8017=1;8202=3},100,{8203=1;8204=1;8201=4;8017=2;8202=2},50,{8203=1;8204=1;8201=4;8017=1;8202=3},50,{8203=1;8204=1;8201=3;8017=2;8202=3},50,,,,,,,,
11805,limit_up_gem_rmb10_2472,,3,1,,,1,,,,,,,{8201=5;8204=1;8017=2;8202=2},100,{8201=4;8204=1;8017=2;8202=3},100,{8201=5;8204=1;8017=1;8202=3},100,,,,,,,,,,,,,,
11806,limit_up_gem_rmb10_2472,,0,2,,,,,,,,,,{8201=5;8202=2;8017=2;8203=1},100,{8201=6;8202=1;8017=2;8203=1},50,{8201=5;8202=3;8017=1;8203=1},50,{8201=4;8202=4;8017=1;8203=1},50,{8201=4;8202=2;8017=2;8203=2},100,{8201=5;8202=1;8017=2;8203=2},50,{8201=4;8202=3;8017=1;8203=2},50,{8201=5;8202=2;8017=1;8203=2},50,,,,
11901,limit_up_gem_rmb1_2572,,1,60,0.0045,0.0102,,60,,,,,,{8305=1},100,,,,,,,,,,,,,,,,,,
