VariableName,_beizhu,cardID,canDevelop,canDevelop2,heightAndWeight,isOpen,languages,attrType1,attrValue1,attrType2,attrValue2
Defaults,"""""",0,FALSE,FALSE,<0;0>,TRUE,<cn;in;tw;en;vn;th;kr;ma;ph>,,"""""",,""""""
ID,备注,卡牌id,图鉴默认激活开关,图鉴前置形态自动激活开关,身高体重,当前版本是否开放,语言区域,属性加成类型1,属性加成数值1,属性加成类型2,属性加成数值2
1032,,1032,,,<1;1>,,,7,0.60%,,
1071,,1071,,,<1;1>,,,8,0.60%,,
1082,,1082,,,<1;1>,,,9,0.60%,,
1173,,1173,,,<1;1>,,,7,1.00%,,
1221,,1221,,,<1;1>,,,8,0.30%,,
1231,,1231,,,<1;1>,,,9,1.00%,,
1241,,1241,,,<1;1>,,,10,1.00%,,
1253,,1253,,,<1;1>,,,9,0.60%,,
1293,,1293,,,<1;1>,,,10,0.60%,,
1303,,1303,,,<1;1>,,,10,0.60%,,
1313,,1313,,,<1;1>,,,13,1.00%,,
1381,,1381,,,<1;1>,,,13,0.60%,,
1393,,1393,,,<1;1>,,,8,1.00%,,
1396,,1396,,,<1;1>,,,8,2.00%,,
1423,,1423,,,<1;1>,,,7,1.00%,,
1503,,1503,,,<1;1>,,,1,1.00%,,
1612,,1612,,,<1;1>,,,13,0.60%,,
1772,,1772,,,<1;1>,,,7,0.60%,,
1813,,1813,,,<1;1>,,,8,0.60%,,
1841,,1841,,,<1;1>,,,9,0.60%,,
1893,,1893,,,<1;1>,,,9,1.00%,,
1903,,1903,,,<1;1>,,,9,0.30%,,
1911,,1911,,,<1;1>,,,8,0.60%,,
1931,,1931,,,<1;1>,,,10,0.30%,,
1941,,1941,,,<1;1>,,,10,1.00%,,
1951,,1951,,,<1;1>,,,13,1.00%,,
1961,,1961,,,<1;1>,,,1,1.00%,,
1981,,1981,,,<1;1>,,,1,1.00%,,
1991,,1991,,,<1;1>,,,8,3.00%,,
2013,,2013,,,<1;1>,,,1,0.60%,,
2023,,2023,,,<1;1>,,,1,0.60%,,
2033,,2033,,,<1;1>,,,7,0.60%,,
2073,,2073,,,<1;1>,,,7,0.60%,,
2233,,2233,,,<1;1>,,,7,1.00%,,
2242,,2242,,,<1;1>,,,10,0.60%,,
2351,,2351,,,<1;1>,,,1,1.00%,,
2361,,2361,,,<1;1>,,,13,1.00%,,
2381,,2381,,,<1;1>,,,7,1.00%,,
2391,,2391,,,<1;1>,,,1,1.00%,,
2401,,2401,,,<1;1>,,,1,1.00%,,
2431,,2431,,,<1;1>,,,8,1.00%,,
2461,,2461,,,<1;1>,,,8,1.00%,,
2493,,2493,,,<1;1>,,,8,1.00%,,
2593,,2593,,,<1;1>,,,8,0.60%,,
2612,,2612,,,<1;1>,,,9,0.60%,,
2633,,2633,,,<1;1>,,,10,0.30%,,
2683,,2683,,,<1;1>,,,13,0.20%,,
2723,,2723,,,<1;1>,,,13,0.60%,,
2843,,2843,,,<1;1>,,,7,0.20%,,
2963,,2963,,,<1;1>,,,1,0.60%,,
3003,,3003,,,<1;1>,,,7,0.60%,,
3021,,3021,,,<1;1>,,,9,1.00%,,
3143,,3143,,,<1;1>,,,10,1.00%,,
3152,,3152,,,<1;1>,,,8,0.60%,,
3161,,3161,,,<1;1>,,,9,0.60%,,
3171,,3171,,,<1;1>,,,10,1.00%,,
3172,,3172,,,<1;1>,,,10,2.00%,,
3181,,3181,,,<1;1>,,,13,0.60%,,
3211,,3211,,,<1;1>,,,8,1.00%,,
3221,,3221,,,<1;1>,,,7,1.00%,,
3251,,3251,,,<1;1>,,,1,0.60%,,
3283,,3283,,,<1;1>,,,13,0.30%,,
3293,,3293,,,<1;1>,,,7,0.30%,,
3303,,3303,,,<1;1>,,,13,1.00%,,
3342,,3342,,,<1;1>,,,8,0.30%,,
3353,,3353,,,<1;1>,,,1,1.00%,,
3432,,3432,,,<1;1>,,,8,0.20%,,
3472,,3472,,,<1;1>,,,9,0.30%,,
3511,,3511,,,<1;1>,,,10,0.30%,,
3543,,3543,,,<1;1>,,,10,0.30%,,
3592,,3592,,,<1;1>,,,7,0.60%,,
3601,,3601,,,<1;1>,,,1,3.00%,,
3663,,3663,,,<1;1>,,,8,0.60%,,
3673,,3673,,,<1;1>,,,7,1.00%,,
3683,,3683,,,<1;1>,,,1,0.30%,,
3772,,3772,,,<1;1>,,,9,0.20%,,
4023,,4023,,,<1;1>,,,7,2.00%,,
4024,,4024,,,<1;1>,,,8,3.00%,,
4121,,4121,,,<1;1>,,,7,3.00%,,
4161,,4161,,,<1;1>,,,7,3.00%,,
7001,,7001,,,<1;1>,,,8,1.00%,,
7011,,7011,,,<1;1>,,,13,3.00%,,
7051,,7051,,,<1;1>,,,8,3.00%,,
8001,,8001,,,<1;1>,,,8,0.60%,,
8002,,8002,,,<1;1>,,,13,3.00%,,
8003,,8003,,,<1;1>,,,13,3.00%,,
8004,,8004,,,<1;1>,,,13,1.00%,,
8005,,8005,,,<1;1>,,,13,2.00%,,
8006,,8006,,,<1;1>,,,9,1.00%,,
8007,,8007,,,<1;1>,,,7,3.00%,,
8008,,8008,,,<1;1>,,,8,3.00%,,
8009,,8009,,,<1;1>,,,7,1.00%,,
8010,,8010,,,<1;1>,,,8,3.00%,,
8011,,8011,,,<1;1>,,,8,3.00%,,
8012,,8012,,,<1;1>,,,8,3.00%,,
8013,,8013,,,<1;1>,,,13,3.00%,,
8101,,8101,,,<1;1>,,,7,2.00%,,
8102,,8102,,,<1;1>,,,7,3.00%,,
8103,,8103,,,<1;1>,,,8,3.00%,,
8104,,8104,,,<1;1>,,,8,3.00%,,
8105,,8105,,,<1;1>,,,8,3.00%,,
8106,,8106,,,<1;1>,,,8,3.00%,,
8107,,8107,,,<1;1>,,,7,1.00%,,
8200,,8200,,,<1;1>,,,13,2.00%,,
8201,,8201,,,<1;1>,,,10,0.03,,
8202,,8202,,,<1;1>,,,10,3%,,
8203,,8203,,,<1;1>,,,8,2.00%,,
8901,,8901,,,<1;1>,,,1,0.70%,,
8902,,8902,,,<1;1>,,,9,0.60%,,
8903,,8903,,,<1;1>,,,9,0.60%,,
9001,,9001,,,<1;1>,,,1,1.00%,,
9002,,9002,,,<1;1>,,,1,1.00%,,
9003,,9003,,,<1;1>,,,1,1.00%,,
