VariableName,type,desc,desc_cn,desc_vn,desc_en,desc_th,desc_in,desc_ph,desc_ma,icon,title_cn,title,title_vn,title_en,title_th,title_in,title_ph,title_ma,targetType,targetArg,targetArg2,targetDisplay,levelReq,vipReq,vipReq_tw,vipReq_en,vipReq_kr,languages,sortWeight,group,rankInGroup,point,awardArgs,goToPanel
Defaults,0,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",1,,,"""""",1,0,0,0,0,<cn;tw;en;vn;th;kr;in;ma;ph>,0,0,0,0,{},
任务ID,任务类型,任务描述,任务描述,desc_vn,desc_en,desc_th,desc_in,desc_ph,desc_ma,任务图标,任务标题,任务标题,title_vn,title_en,title_th,title_in,title_ph,title_ma,任务目标类型,任务目标参数,任务目标参数2,任务目标显示参数,等级限制,vip限制,vip限制,vip限制,vip限制,语言区域,顺序,任务组,任务组排序,活跃度点数,奖励物品表,前往类型枚举:5位数关卡ID-关卡10000为主线不限关10100为主线第一章20000为困难不限关  gainWay获得途径   shop商店activity活动界面roleLogo头像界面figure个人形象界面gainGold点金界面recharge充值界面gainStamina购买体力friend好友界面cardBag背包界面strengthen还有培养界面handbook图鉴界面任意英文-数字表示其页签
1021,,Commander has reached level 22,,Chỉ huy đã đạt cấp độ 22,Commander has reached level 22,ผู้บัญชาการถึงเลเวล 22 แล้ว,Komandan telah mencapai level 22,Umabot na sa antas 22 ang Commander,Komander telah mencapai tahap 22,city/task/icon_actionup.png,,Growth Rewards,Thưởng Tăng Trưởng,Growth Rewards,รางวัลการเติบโต,Hadiah Pertumbuhan,Gantimpala sa Paglago,Ganjaran Pertumbuhan,,22,,22,,,,,,,1,1000,22,,{rmb=20;gold=5000},10000
1022,,Commander has reached level 23,,Chỉ huy đã đạt cấp độ 23,Commander has reached level 23,ผู้บัญชาการถึงเลเวล 23 แล้ว,Komandan telah mencapai level 23,Umabot na sa antas 23 ang Commander,Komander telah mencapai tahap 23,city/task/icon_actionup.png,,Growth Rewards,Thưởng Tăng Trưởng,Growth Rewards,รางวัลการเติบโต,Hadiah Pertumbuhan,Gantimpala sa Paglago,Ganjaran Pertumbuhan,,23,,23,,,,,,,2,1000,23,,{rmb=20;gold=5000},10000
1023,,Commander has reached level 24,,Chỉ huy đã đạt cấp độ 24,Commander has reached level 24,ผู้บัญชาการถึงเลเวล 24 แล้ว,Komandan telah mencapai level 24,Umabot na sa antas 24 ang Commander,Komander telah mencapai tahap 24,city/task/icon_actionup.png,,Growth Rewards,Thưởng Tăng Trưởng,Growth Rewards,รางวัลการเติบโต,Hadiah Pertumbuhan,Gantimpala sa Paglago,Ganjaran Pertumbuhan,,24,,24,,,,,,,3,1000,24,,{rmb=20;gold=5000},10000
1024,,Commander has reached level 25,,Chỉ huy đã đạt cấp độ 25,Commander has reached level 25,ผู้บัญชาการถึงเลเวล 25 แล้ว,Komandan telah mencapai level 25,Umabot na sa antas 25 ang Commander,Komander telah mencapai tahap 25,city/task/icon_actionup.png,,Growth Rewards,Thưởng Tăng Trưởng,Growth Rewards,รางวัลการเติบโต,Hadiah Pertumbuhan,Gantimpala sa Paglago,Ganjaran Pertumbuhan,,25,,25,,,,,,,4,1000,25,,{rmb=20;gold=5000},10000
1025,,Commander has reached level 26,,Chỉ huy đã đạt cấp độ 26,Commander has reached level 26,ผู้บัญชาการถึงเลเวล 26 แล้ว,Komandan telah mencapai level 26,Umabot na sa antas 26 ang Commander,Komander telah mencapai tahap 26,city/task/icon_actionup.png,,Growth Rewards,Thưởng Tăng Trưởng,Growth Rewards,รางวัลการเติบโต,Hadiah Pertumbuhan,Gantimpala sa Paglago,Ganjaran Pertumbuhan,,26,,26,,,,,,,4,1000,26,,{rmb=20;gold=5000},10000
1026,,Commander has reached level 27,,Chỉ huy đã đạt cấp độ 27,Commander has reached level 27,ผู้บัญชาการถึงเลเวล 27 แล้ว,Komandan telah mencapai level 27,Umabot na sa antas 27 ang Commander,Komander telah mencapai tahap 27,city/task/icon_actionup.png,,Growth Rewards,Thưởng Tăng Trưởng,Growth Rewards,รางวัลการเติบโต,Hadiah Pertumbuhan,Gantimpala sa Paglago,Ganjaran Pertumbuhan,,27,,27,,,,,,,2,1000,27,,{rmb=20;gold=5000},10000
1027,,Commander has reached level 28,,Chỉ huy đã đạt cấp độ 28,Commander has reached level 28,ผู้บัญชาการถึงเลเวล 28 แล้ว,Komandan telah mencapai level 28,Umabot na sa antas 28 ang Commander,Komander telah mencapai tahap 28,city/task/icon_actionup.png,,Growth Rewards,Thưởng Tăng Trưởng,Growth Rewards,รางวัลการเติบโต,Hadiah Pertumbuhan,Gantimpala sa Paglago,Ganjaran Pertumbuhan,,28,,28,,,,,,,1,1000,28,,{rmb=20;gold=5000},10000
1028,,Commander has reached level 29,,Chỉ huy đã đạt cấp độ 29,Commander has reached level 29,ผู้บัญชาการถึงเลเวล 29 แล้ว,Komandan telah mencapai level 29,Umabot na sa antas 29 ang Commander,Komander telah mencapai tahap 29,city/task/icon_actionup.png,,Growth Rewards,Thưởng Tăng Trưởng,Growth Rewards,รางวัลการเติบโต,Hadiah Pertumbuhan,Gantimpala sa Paglago,Ganjaran Pertumbuhan,,29,,29,,,,,,,4,1000,29,,{rmb=20;gold=5000},10000
1029,,Commander has reached level 30,,Chỉ huy đã đạt cấp độ 30,Commander has reached level 30,ผู้บัญชาการถึงเลเวล 30 แล้ว,Komandan telah mencapai level 30,Umabot na sa antas 30 ang Commander,Komander telah mencapai tahap 30,city/task/icon_actionup.png,,Growth Rewards,Thưởng Tăng Trưởng,Growth Rewards,รางวัลการเติบโต,Hadiah Pertumbuhan,Gantimpala sa Paglago,Ganjaran Pertumbuhan,,30,,30,,,,,,,4,1000,30,,{rmb=20;gold=5000},10000
1030,,Commander has reached level 31,,Chỉ huy đã đạt cấp độ 31,Commander has reached level 31,ผู้บัญชาการถึงเลเวล 31 แล้ว,Komandan telah mencapai level 31,Umabot na sa antas 31 ang Commander,Komander telah mencapai tahap 31,city/task/icon_actionup.png,,Growth Rewards,Thưởng Tăng Trưởng,Growth Rewards,รางวัลการเติบโต,Hadiah Pertumbuhan,Gantimpala sa Paglago,Ganjaran Pertumbuhan,,31,,31,,,,,,,3,1000,31,,{rmb=20;gold=5000},10000
1031,,Commander has reached level 32,,Chỉ huy đã đạt cấp độ 32,Commander has reached level 32,ผู้บัญชาการถึงเลเวล 32 แล้ว,Komandan telah mencapai level 32,Umabot na sa antas 32 ang Commander,Komander telah mencapai tahap 32,city/task/icon_actionup.png,,Growth Rewards,Thưởng Tăng Trưởng,Growth Rewards,รางวัลการเติบโต,Hadiah Pertumbuhan,Gantimpala sa Paglago,Ganjaran Pertumbuhan,,32,,32,,,,,,,3,1000,32,,{rmb=20;gold=5000},10000
1032,,Commander has reached level 33,,Chỉ huy đã đạt cấp độ 33,Commander has reached level 33,ผู้บัญชาการถึงเลเวล 33 แล้ว,Komandan telah mencapai level 33,Umabot na sa antas 33 ang Commander,Komander telah mencapai tahap 33,city/task/icon_actionup.png,,Growth Rewards,Thưởng Tăng Trưởng,Growth Rewards,รางวัลการเติบโต,Hadiah Pertumbuhan,Gantimpala sa Paglago,Ganjaran Pertumbuhan,,33,,33,,,,,,,3,1000,33,,{rmb=20;gold=5000},10000
1033,,Commander has reached level 34,,Chỉ huy đã đạt cấp độ 34,Commander has reached level 34,ผู้บัญชาการถึงเลเวล 34 แล้ว,Komandan telah mencapai level 34,Umabot na sa antas 34 ang Commander,Komander telah mencapai tahap 34,city/task/icon_actionup.png,,Growth Rewards,Thưởng Tăng Trưởng,Growth Rewards,รางวัลการเติบโต,Hadiah Pertumbuhan,Gantimpala sa Paglago,Ganjaran Pertumbuhan,,34,,34,,,,,,,1,1000,34,,{rmb=20;gold=5000},10000
1034,,Commander has reached level 35,,Chỉ huy đã đạt cấp độ 35,Commander has reached level 35,ผู้บัญชาการถึงเลเวล 35 แล้ว,Komandan telah mencapai level 35,Umabot na sa antas 35 ang Commander,Komander telah mencapai tahap 35,city/task/icon_actionup.png,,Growth Rewards,Thưởng Tăng Trưởng,Growth Rewards,รางวัลการเติบโต,Hadiah Pertumbuhan,Gantimpala sa Paglago,Ganjaran Pertumbuhan,,35,,35,,,,,,,1,1000,35,,{rmb=20;gold=5000},10000
1035,,Commander has reached level 36,,Chỉ huy đã đạt cấp độ 36,Commander has reached level 36,ผู้บัญชาการถึงเลเวล 36 แล้ว,Komandan telah mencapai level 36,Umabot na sa antas 36 ang Commander,Komander telah mencapai tahap 36,city/task/icon_actionup.png,,Growth Rewards,Thưởng Tăng Trưởng,Growth Rewards,รางวัลการเติบโต,Hadiah Pertumbuhan,Gantimpala sa Paglago,Ganjaran Pertumbuhan,,36,,36,,,,,,,2,1000,36,,{rmb=20;gold=5000},10000
1036,,Commander has reached level 37,,Chỉ huy đã đạt cấp độ 37,Commander has reached level 37,ผู้บัญชาการถึงเลเวล 37 แล้ว,Komandan telah mencapai level 37,Umabot na sa antas 37 ang Commander,Komander telah mencapai tahap 37,city/task/icon_actionup.png,,Growth Rewards,Thưởng Tăng Trưởng,Growth Rewards,รางวัลการเติบโต,Hadiah Pertumbuhan,Gantimpala sa Paglago,Ganjaran Pertumbuhan,,37,,37,,,,,,,3,1000,37,,{rmb=20;gold=5000},10000
1037,,Commander has reached level 38,,Chỉ huy đã đạt cấp độ 38,Commander has reached level 38,ผู้บัญชาการถึงเลเวล 38 แล้ว,Komandan telah mencapai level 38,Umabot na sa antas 38 ang Commander,Komander telah mencapai tahap 38,city/task/icon_actionup.png,,Growth Rewards,Thưởng Tăng Trưởng,Growth Rewards,รางวัลการเติบโต,Hadiah Pertumbuhan,Gantimpala sa Paglago,Ganjaran Pertumbuhan,,38,,38,,,,,,,3,1000,38,,{rmb=20;gold=5000},10000
1038,,Commander has reached level 39,,Chỉ huy đã đạt cấp độ 39,Commander has reached level 39,ผู้บัญชาการถึงเลเวล 39 แล้ว,Komandan telah mencapai level 39,Umabot na sa antas 39 ang Commander,Komander telah mencapai tahap 39,city/task/icon_actionup.png,,Growth Rewards,Thưởng Tăng Trưởng,Growth Rewards,รางวัลการเติบโต,Hadiah Pertumbuhan,Gantimpala sa Paglago,Ganjaran Pertumbuhan,,39,,39,,,,,,,4,1000,39,,{rmb=20;gold=5000},10000
1039,,Commander has reached level 40,,Chỉ huy đã đạt cấp độ 40,Commander has reached level 40,ผู้บัญชาการถึงเลเวล 40 แล้ว,Komandan telah mencapai level 40,Umabot na sa antas 40 ang Commander,Komander telah mencapai tahap 40,city/task/icon_actionup.png,,Growth Rewards,Thưởng Tăng Trưởng,Growth Rewards,รางวัลการเติบโต,Hadiah Pertumbuhan,Gantimpala sa Paglago,Ganjaran Pertumbuhan,,40,,40,,,,,,,5,1000,40,,{rmb=25;gold=7500},10000
1040,,Commander has reached level 41,,Chỉ huy đã đạt cấp độ 41,Commander has reached level 41,ผู้บัญชาการถึงเลเวล 41 แล้ว,Komandan telah mencapai level 41,Umabot na sa antas 41 ang Commander,Komander telah mencapai tahap 41,city/task/icon_actionup.png,,Growth Rewards,Thưởng Tăng Trưởng,Growth Rewards,รางวัลการเติบโต,Hadiah Pertumbuhan,Gantimpala sa Paglago,Ganjaran Pertumbuhan,,41,,41,,,,,,,5,1000,41,,{rmb=25;gold=7500},10000
1041,,Commander has reached level 42,,Chỉ huy đã đạt cấp độ 42,Commander has reached level 42,ผู้บัญชาการถึงเลเวล 42 แล้ว,Komandan telah mencapai level 42,Umabot na sa antas 42 ang Commander,Komander telah mencapai tahap 42,city/task/icon_actionup.png,,Growth Rewards,Thưởng Tăng Trưởng,Growth Rewards,รางวัลการเติบโต,Hadiah Pertumbuhan,Gantimpala sa Paglago,Ganjaran Pertumbuhan,,42,,42,,,,,,,6,1000,42,,{rmb=25;gold=7500},10000
1042,,Commander has reached level 43,,Chỉ huy đã đạt cấp độ 43,Commander has reached level 43,ผู้บัญชาการถึงเลเวล 43 แล้ว,Komandan telah mencapai level 43,Umabot na sa antas 43 ang Commander,Komander telah mencapai tahap 43,city/task/icon_actionup.png,,Growth Rewards,Thưởng Tăng Trưởng,Growth Rewards,รางวัลการเติบโต,Hadiah Pertumbuhan,Gantimpala sa Paglago,Ganjaran Pertumbuhan,,43,,43,,,,,,,7,1000,43,,{rmb=25;gold=7500},10000
1043,,Commander has reached level 44,,Chỉ huy đã đạt cấp độ 44,Commander has reached level 44,ผู้บัญชาการถึงเลเวล 44 แล้ว,Komandan telah mencapai level 44,Umabot na sa antas 44 ang Commander,Komander telah mencapai tahap 44,city/task/icon_actionup.png,,Growth Rewards,Thưởng Tăng Trưởng,Growth Rewards,รางวัลการเติบโต,Hadiah Pertumbuhan,Gantimpala sa Paglago,Ganjaran Pertumbuhan,,44,,44,,,,,,,8,1000,44,,{rmb=25;gold=7500},10000
1044,,Commander has reached level 45,,Chỉ huy đã đạt cấp độ 45,Commander has reached level 45,ผู้บัญชาการถึงเลเวล 45 แล้ว,Komandan telah mencapai level 45,Umabot na sa antas 45 ang Commander,Komander telah mencapai tahap 45,city/task/icon_actionup.png,,Growth Rewards,Thưởng Tăng Trưởng,Growth Rewards,รางวัลการเติบโต,Hadiah Pertumbuhan,Gantimpala sa Paglago,Ganjaran Pertumbuhan,,45,,45,,,,,,,9,1000,45,,{rmb=25;gold=7500},10000
1045,,Commander has reached level 46,,Chỉ huy đã đạt cấp độ 46,Commander has reached level 46,ผู้บัญชาการถึงเลเวล 46 แล้ว,Komandan telah mencapai level 46,Umabot na sa antas 46 ang Commander,Komander telah mencapai tahap 46,city/task/icon_actionup.png,,Growth Rewards,Thưởng Tăng Trưởng,Growth Rewards,รางวัลการเติบโต,Hadiah Pertumbuhan,Gantimpala sa Paglago,Ganjaran Pertumbuhan,,46,,46,,,,,,,10,1000,46,,{rmb=25;gold=7500},10000
1046,,Commander has reached level 47,,Chỉ huy đã đạt cấp độ 47,Commander has reached level 47,ผู้บัญชาการถึงเลเวล 47 แล้ว,Komandan telah mencapai level 47,Umabot na sa antas 47 ang Commander,Komander telah mencapai tahap 47,city/task/icon_actionup.png,,Growth Rewards,Thưởng Tăng Trưởng,Growth Rewards,รางวัลการเติบโต,Hadiah Pertumbuhan,Gantimpala sa Paglago,Ganjaran Pertumbuhan,,47,,47,,,,,,,11,1000,47,,{rmb=25;gold=7500},10000
1047,,Commander has reached level 48,,Chỉ huy đã đạt cấp độ 48,Commander has reached level 48,ผู้บัญชาการถึงเลเวล 48 แล้ว,Komandan telah mencapai level 48,Umabot na sa antas 48 ang Commander,Komander telah mencapai tahap 48,city/task/icon_actionup.png,,Growth Rewards,Thưởng Tăng Trưởng,Growth Rewards,รางวัลการเติบโต,Hadiah Pertumbuhan,Gantimpala sa Paglago,Ganjaran Pertumbuhan,,48,,48,,,,,,,12,1000,48,,{rmb=25;gold=7500},10000
1048,,Commander has reached level 49,,Chỉ huy đã đạt cấp độ 49,Commander has reached level 49,ผู้บัญชาการถึงเลเวล 49 แล้ว,Komandan telah mencapai level 49,Umabot na sa antas 49 ang Commander,Komander telah mencapai tahap 49,city/task/icon_actionup.png,,Growth Rewards,Thưởng Tăng Trưởng,Growth Rewards,รางวัลการเติบโต,Hadiah Pertumbuhan,Gantimpala sa Paglago,Ganjaran Pertumbuhan,,49,,49,,,,,,,13,1000,49,,{rmb=25;gold=7500},10000
1049,,Commander has reached level 50,,Chỉ huy đã đạt cấp độ 50,Commander has reached level 50,ผู้บัญชาการถึงเลเวล 50 แล้ว,Komandan telah mencapai level 50,Umabot na sa antas 50 ang Commander,Komander telah mencapai tahap 50,city/task/icon_actionup.png,,Growth Rewards,Thưởng Tăng Trưởng,Growth Rewards,รางวัลการเติบโต,Hadiah Pertumbuhan,Gantimpala sa Paglago,Ganjaran Pertumbuhan,,50,,50,,,,,,,2,1000,50,,{rmb=25;gold=7500},10000
