VariableName,drawType,_comment,drawTriggerType,drawTriggerTimes,weightStart,weightEnd,effectLimit,startCount,probInit,probStep,probLimit,probMiniTimes,probEffectInterval,lotteryType1,lotteryWeight1,lotteryType2,lotteryWeight2,lotteryType3,lotteryWeight3,lotteryType4,lotteryWeight4,lotteryType5,lotteryWeight5,lotteryType6,lotteryWeight6,lotteryType7,lotteryWeight7,lotteryType8,lotteryWeight8,lotteryType9,lotteryWeight9,lotteryType10,lotteryWeight10
24,rmb10,,0,2,,,,,,,,,,{201=1;205=3;206=6},150,{201=1;205=4;206=5},100,{201=1;205=5;206=4},50,{201=2;205=3;206=5},30,{201=2;205=4;206=4},20,{201=2;205=5;206=3},10,{201=3;205=2;206=5},,{201=3;205=3;206=4},,{201=3;205=4;206=3},,,
25,rmb10,,,4,,,1,5,0.1,0.05,0.4,2,99999,{200=1;205=3;206=6},1,,,,,,,,,,,,,,,,,,
26,rmb10,,,4,,,99999,13,0.1,0.05,0.4,3,9,{200=1;205=3;206=6},1,,,,,,,,,,,,,,,,,,
51,limit_up_rmb1_81,,0,2,,,,,,,,,,{205=1},50,{206=1},50,,,,,,,,,,,,,,,,
52,limit_up_rmb1_81,,4,1,,,,,,,,,,{204=1},100,,,,,,,,,,,,,,,,,,
53,limit_up_rmb1_81,,,5,,,1,5,0.17,0.06,0.5,6,999999,{1204=1},100,,,,,,,,,,,,,,,,,,
54,limit_up_rmb1_81,,,6,,,10,10,0.05,0.015,0.5,15,15,{1204=1},100,,,,,,,,,,,,,,,,,,
55,limit_up_rmb1_81,,,160,,,,160,0.05,0.015,0.5,15,15,{1204=1},100,,,,,,,,,,,,,,,,,,
61,limit_up_rmb10_81,,4,1,,,,,,,,,,{205=3;206=6;1204=1},100,{205=4;206=5;1204=1},100,,,,,,,,,,,,,,,,
62,limit_up_rmb10_81,,0,2,,,20,,,,,,,{205=3;206=6;1204=1},150,{205=4;206=5;1204=1},100,{205=5;206=4;1204=1},50,{205=3;206=5;1204=2},30,{205=4;206=4;1204=2},20,{205=5;206=3;1204=2},10,{205=2;206=5;1204=3},,{205=3;206=4;1204=3},,{205=4;206=3;1204=3},,,
63,limit_up_rmb10_81,,0,22,,,,,,,,,,{205=3;206=6;1205=1},150,{205=4;206=5;1205=1},100,{205=5;206=4;1205=1},50,{205=3;206=5;1205=2},30,{205=4;206=4;1205=2},20,{205=5;206=3;1205=2},10,{205=2;206=5;1205=3},,{205=3;206=4;1205=3},,{205=4;206=3;1205=3},,,
101,limit_up_rmb1_111,,0,2,,,,,,,,,,{205=1},50,{206=1},50,,,,,,,,,,,,,,,,
102,limit_up_rmb1_111,,4,1,,,,,,,,,,{204=1},100,,,,,,,,,,,,,,,,,,
103,limit_up_rmb1_111,,,5,,,1,5,0.17,0.06,0.5,6,999999,{1206=1},100,,,,,,,,,,,,,,,,,,
104,limit_up_rmb1_111,,,6,,,10,10,0.05,0.015,0.5,15,15,{1206=1},100,,,,,,,,,,,,,,,,,,
105,limit_up_rmb1_111,,,160,,,,160,0.05,0.015,0.5,15,15,{1206=1},100,,,,,,,,,,,,,,,,,,
111,limit_up_rmb10_111,,4,1,,,,,,,,,,{205=3;206=6;1206=1},100,{205=4;206=5;1206=1},100,,,,,,,,,,,,,,,,
112,limit_up_rmb10_111,,0,2,,,20,,,,,,,{205=3;206=6;1206=1},150,{205=4;206=5;1206=1},100,{205=5;206=4;1206=1},50,{205=3;206=5;1206=2},30,{205=4;206=4;1206=2},20,{205=5;206=3;1206=2},10,{205=2;206=5;1206=3},,{205=3;206=4;1206=3},,{205=4;206=3;1206=3},,,
113,limit_up_rmb10_111,,0,22,,,,,,,,,,{205=3;206=6;1207=1},150,{205=4;206=5;1207=1},100,{205=5;206=4;1207=1},50,{205=3;206=5;1207=2},30,{205=4;206=4;1207=2},20,{205=5;206=3;1207=2},10,{205=2;206=5;1207=3},,{205=3;206=4;1207=3},,{205=4;206=3;1207=3},,,
121,limit_up_rmb1_116,,0,2,,,,,,,,,,{205=1},50,{206=1},50,,,,,,,,,,,,,,,,
122,limit_up_rmb1_116,,4,1,,,,,,,,,,{204=1},100,,,,,,,,,,,,,,,,,,
123,limit_up_rmb1_116,,,5,,,1,5,0.17,0.06,0.5,6,999999,{1208=1},100,,,,,,,,,,,,,,,,,,
124,limit_up_rmb1_116,,,6,,,10,10,0.05,0.015,0.5,15,15,{1208=1},100,,,,,,,,,,,,,,,,,,
125,limit_up_rmb1_116,,,160,,,,160,0.05,0.015,0.5,15,15,{1208=1},100,,,,,,,,,,,,,,,,,,
131,limit_up_rmb10_116,,4,1,,,,,,,,,,{205=3;1208=1;206=6},100,{205=4;1208=1;206=5},100,,,,,,,,,,,,,,,,
132,limit_up_rmb10_116,,0,2,,,20,,,,,,,{205=3;1208=1;206=6},150,{205=4;1208=1;206=5},100,{205=5;1208=1;206=4},50,{205=3;1208=2;206=5},30,{205=4;1208=2;206=4},20,{205=5;1208=2;206=3},10,{205=2;1208=3;206=5},,{205=3;1208=3;206=4},,{205=4;1208=3;206=3},,,
133,limit_up_rmb10_116,,0,22,,,,,,,,,,{205=3;1209=1;206=6},150,{205=4;1209=1;206=5},100,{205=5;1209=1;206=4},50,{205=3;1209=2;206=5},30,{205=4;1209=2;206=4},20,{205=5;1209=2;206=3},10,{205=2;1209=3;206=5},,{205=3;1209=3;206=4},,{205=4;1209=3;206=3},,,
141,limit_up_rmb1_121,,0,2,,,,,,,,,,{205=1},50,{206=1},50,,,,,,,,,,,,,,,,
142,limit_up_rmb1_121,,4,1,,,,,,,,,,{204=1},100,,,,,,,,,,,,,,,,,,
143,limit_up_rmb1_121,,,5,,,1,5,0.17,0.06,0.5,6,999999,{1210=1},100,,,,,,,,,,,,,,,,,,
144,limit_up_rmb1_121,,,6,,,10,10,0.05,0.015,0.5,15,15,{1210=1},100,,,,,,,,,,,,,,,,,,
145,limit_up_rmb1_121,,,160,,,,160,0.05,0.015,0.5,15,15,{1210=1},100,,,,,,,,,,,,,,,,,,
151,limit_up_rmb10_121,,4,1,,,,,,,,,,{205=3;1210=1;206=6},100,{205=4;1210=1;206=5},100,,,,,,,,,,,,,,,,
152,limit_up_rmb10_121,,0,2,,,20,,,,,,,{205=3;1210=1;206=6},150,{205=4;1210=1;206=5},100,{205=5;1210=1;206=4},50,{205=3;1210=2;206=5},30,{205=4;1210=2;206=4},20,{205=5;1210=2;206=3},10,{205=2;1210=3;206=5},,{205=3;1210=3;206=4},,{205=4;1210=3;206=3},,,
153,limit_up_rmb10_121,,0,22,,,,,,,,,,{205=3;1211=1;206=6},150,{205=4;1211=1;206=5},100,{205=5;1211=1;206=4},50,{205=3;1211=2;206=5},30,{205=4;1211=2;206=4},20,{205=5;1211=2;206=3},10,{205=2;1211=3;206=5},,{205=3;1211=3;206=4},,{205=4;1211=3;206=3},,,
170,limit_rmb1_100012,,0,1,,,,,,,,,,{201=1},,{1105=1},200,{1107=1},625,{1111=1},150,,,,,,,,,,,,
171,limit_rmb1_100012,,,1,,,,3,0.15,0.05,0.4,5,10,{201=1},1,,,,,,,,,,,,,,,,,,
172,limit_rmb1_100012,,,80,,,1,73,0.1,0.05,0.4,9,99999,{1113=1},1,,,,,,,,,,,,,,,,,,
173,limit_rmb1_100012,,,155,,,999,144,0.1,0.05,0.4,9,71,{1113=1},1,,,,,,,,,,,,,,,,,,
180,limit_rmb1_100022,,0,1,,,,,,,,,,{201=1},,{1105=1},200,{1107=1},625,{1151=1},150,,,,,,,,,,,,
181,limit_rmb1_100022,,,1,,,,3,0.15,0.05,0.4,5,10,{201=1},1,,,,,,,,,,,,,,,,,,
182,limit_rmb1_100022,,,80,,,1,73,0.1,0.05,0.4,9,99999,{1150=1},1,,,,,,,,,,,,,,,,,,
183,limit_rmb1_100022,,,155,,,999,144,0.1,0.05,0.4,9,71,{1150=1},1,,,,,,,,,,,,,,,,,,
201,limit_box_rmb1_100032,,0,1,,,,,,,,,,{3002=1},100,,,,,,,,,,,,,,,,,,
202,limit_box_rmb1_100032,,3,10,,,,,,,,,,{3001=1},100,,,,,,,,,,,,,,,,,,
203,limit_box_rmb10_100032,,0,1,,,,,,,,,,{3001=1;3003=5;3002=4},100,,,,,,,,,,,,,,,,,,
300,limit_up_rmb1_100037,,0,1,,,,,,,,,,{30=1},5,{31=1},95,,,,,,,,,,,,,,,,
301,limit_up_rmb10_100037,,0,1,,,,,,,,,,{30=1;31=9},100,,,,,,,,,,,,,,,,,,
310,limit_up_rmb1_100038,,0,1,,,,,,,,,,{32=1},5,{33=1},95,,,,,,,,,,,,,,,,
311,limit_up_rmb10_100038,,0,1,,,,,,,,,,{33=9;32=1},100,,,,,,,,,,,,,,,,,,
320,limit_up_rmb1_100039,,0,1,,,,,,,,,,{34=1},5,{35=1},95,,,,,,,,,,,,,,,,
321,limit_up_rmb10_100039,,0,1,,,,,,,,,,{35=9;34=1},100,,,,,,,,,,,,,,,,,,
1001,limit_box_rmb1_1031,,4,1,,,,,,,,,,{205=1},50,,,,,,,,,,,,,,,,,,
1002,limit_box_rmb1_1031,,,2,,,,2,0.05,0.02,0.3,15,15,{201=1},100,,,,,,,,,,,,,,,,,,
1003,limit_box_rmb1_1031,,0,2,,,,,,,,,,{201=1},,{205=1},250,{1101=1},200,{1103=1},400,{1111=1},100,{1112=1},100,,,,,,,,
1012,limit_box_rmb10_1031,,0,1,,,,,,,,,,{1111=1;1112=1;201=1;1101=2;205=2;1103=3},150,{1111=1;1112=1;201=1;1101=2;205=2;1103=3},100,{1111=1;1112=1;201=1;1101=2;205=2;1103=3},50,{1111=1;1112=1;201=2;1101=2;205=1;1103=3},30,{1111=1;1112=1;201=2;1101=2;205=1;1103=3},20,{1111=1;1112=1;201=2;1101=2;205=1;1103=3},10,,,,,,,,
1021,limit_box_rmb1_1112,,3,10,,,,,,,,,,{150=1},100,,,,,,,,,,,,,,,,,,
1022,limit_box_rmb1_1112,,0,1,,,,,,,,,,{152=1},45,{153=1},15,{154=1},15,{160=1},15,{161=1},5,,,,,,,,,,
1031,limit_box_rmb10_1112,,1,10,0.04,0.09,,19,,,,,,{162=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=2;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1032,limit_box_rmb10_1112,,1,10,0.08,0.15,1,11,,,,,,{162=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=2;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1033,limit_box_rmb10_1112,,1,10,0.2,0.3,1,5,,,,,,{162=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=2;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1034,limit_box_rmb10_1112,,1,10,0.06,0.12,,6,,,,,,{151=1;154=2;150=1;1101=1;153=1;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=2;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1035,limit_box_rmb10_1112,,1,10,0.2,0.3,1,2,,,,,,{151=1;154=2;150=1;1101=1;153=1;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=2;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1036,limit_box_rmb10_1112,,0,1,,,,,,,,,,{150=1;154=2;1101=1;153=2;160=1;152=3},100,{161=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{150=1;154=3;1101=1;153=1;160=1;152=3},100,{150=1;154=2;1101=1;153=1;160=1;152=4},100,{150=1;154=1;1101=1;153=2;160=1;152=4},100,{161=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,{161=1;154=2;1101=1;153=1;150=1;152=4},100,{150=1;154=3;1101=1;153=1;160=1;152=3},,,,,
1041,limit_box_rmb1_1212,,3,10,,,,,,,,,,{150=1},100,,,,,,,,,,,,,,,,,,
1042,limit_box_rmb1_1212,,0,1,,,,,,,,,,{152=1},45,{153=1},15,{154=1},15,{160=1},15,{161=1},5,,,,,,,,,,
1051,limit_box_rmb10_1212,,1,10,0.04,0.09,,19,,,,,,{162=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=2;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1052,limit_box_rmb10_1212,,1,10,0.08,0.15,1,11,,,,,,{162=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=2;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1053,limit_box_rmb10_1212,,1,10,0.2,0.3,1,5,,,,,,{162=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=2;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1054,limit_box_rmb10_1212,,1,10,0.06,0.12,,6,,,,,,{151=1;154=2;150=1;1101=1;153=1;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=2;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1055,limit_box_rmb10_1212,,1,10,0.2,0.3,1,2,,,,,,{151=1;154=2;150=1;1101=1;153=1;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=2;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1056,limit_box_rmb10_1212,,0,1,,,,,,,,,,{150=1;154=2;1101=1;153=2;160=1;152=3},100,{161=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{150=1;154=3;1101=1;153=1;160=1;152=3},100,{150=1;154=2;1101=1;153=1;160=1;152=4},100,{150=1;154=1;1101=1;153=2;160=1;152=4},100,{161=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,{161=1;154=2;1101=1;153=1;150=1;152=4},100,{150=1;154=3;1101=1;153=1;160=1;152=3},,,,,
1061,limit_box_rmb1_1291,,3,10,,,,,,,,,,{150=1},100,,,,,,,,,,,,,,,,,,
1062,limit_box_rmb1_1291,,0,1,,,,,,,,,,{152=1},45,{153=1},15,{154=1},15,{160=1},15,{161=1},5,,,,,,,,,,
1071,limit_box_rmb10_1291,,1,10,0.04,0.09,,19,,,,,,{162=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=2;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1072,limit_box_rmb10_1291,,1,10,0.08,0.15,1,11,,,,,,{162=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=2;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1073,limit_box_rmb10_1291,,1,10,0.2,0.3,1,5,,,,,,{162=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=2;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1074,limit_box_rmb10_1291,,1,10,0.06,0.12,,6,,,,,,{151=1;154=2;150=1;1101=1;153=1;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=2;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1075,limit_box_rmb10_1291,,1,10,0.2,0.3,1,2,,,,,,{151=1;154=2;150=1;1101=1;153=1;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=2;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1076,limit_box_rmb10_1291,,0,1,,,,,,,,,,{150=1;154=2;1101=1;153=2;160=1;152=3},100,{161=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{150=1;154=3;1101=1;153=1;160=1;152=3},100,{150=1;154=2;1101=1;153=1;160=1;152=4},100,{150=1;154=1;1101=1;153=2;160=1;152=4},100,{161=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,{161=1;154=2;1101=1;153=1;150=1;152=4},100,{150=1;154=3;1101=1;153=1;160=1;152=3},,,,,
1081,limit_box_rmb1_1381,,3,10,,,,,,,,,,{150=1},100,,,,,,,,,,,,,,,,,,
1082,limit_box_rmb1_1381,,0,1,,,,,,,,,,{152=1},45,{153=1},15,{154=1},15,{160=1},15,{161=1},5,,,,,,,,,,
1091,limit_box_rmb10_1381,,1,10,0.04,0.09,,19,,,,,,{162=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=2;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1092,limit_box_rmb10_1381,,1,10,0.08,0.15,1,11,,,,,,{162=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=2;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1093,limit_box_rmb10_1381,,1,10,0.2,0.3,1,5,,,,,,{162=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=2;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1094,limit_box_rmb10_1381,,1,10,0.06,0.12,,6,,,,,,{151=1;154=2;150=1;1101=1;153=1;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=2;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1095,limit_box_rmb10_1381,,1,10,0.2,0.3,1,2,,,,,,{151=1;154=2;150=1;1101=1;153=1;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=2;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1096,limit_box_rmb10_1381,,0,1,,,,,,,,,,{150=1;154=2;1101=1;153=2;160=1;152=3},100,{161=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{150=1;154=3;1101=1;153=1;160=1;152=3},100,{150=1;154=2;1101=1;153=1;160=1;152=4},100,{150=1;154=1;1101=1;153=2;160=1;152=4},100,{161=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,{161=1;154=2;1101=1;153=1;150=1;152=4},100,{150=1;154=3;1101=1;153=1;160=1;152=3},,,,,
1101,limit_box_rmb1_1512,,3,10,,,,,,,,,,{150=1},100,,,,,,,,,,,,,,,,,,
1102,limit_box_rmb1_1512,,0,1,,,,,,,,,,{152=1},45,{153=1},15,{154=1},15,{160=1},15,{161=1},5,,,,,,,,,,
1111,limit_box_rmb10_1512,,1,10,0.04,0.09,,19,,,,,,{162=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=2;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1112,limit_box_rmb10_1512,,1,10,0.08,0.15,1,11,,,,,,{162=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=2;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1113,limit_box_rmb10_1512,,1,10,0.2,0.3,1,5,,,,,,{162=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=2;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1114,limit_box_rmb10_1512,,1,10,0.06,0.12,,6,,,,,,{151=1;154=2;150=1;1101=1;153=1;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=2;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1115,limit_box_rmb10_1512,,1,10,0.2,0.3,1,2,,,,,,{151=1;154=2;150=1;1101=1;153=1;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=2;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1116,limit_box_rmb10_1512,,0,1,,,,,,,,,,{150=1;154=2;1101=1;153=2;160=1;152=3},100,{161=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{150=1;154=3;1101=1;153=1;160=1;152=3},100,{150=1;154=2;1101=1;153=1;160=1;152=4},100,{150=1;154=1;1101=1;153=2;160=1;152=4},100,{161=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,{161=1;154=2;1101=1;153=1;150=1;152=4},100,{150=1;154=3;1101=1;153=1;160=1;152=3},,,,,
1121,limit_box_rmb1_1642,,3,10,,,,,,,,,,{150=1},100,,,,,,,,,,,,,,,,,,
1122,limit_box_rmb1_1642,,0,1,,,,,,,,,,{152=1},45,{153=1},15,{154=1},15,{160=1},15,{161=1},5,,,,,,,,,,
1131,limit_box_rmb10_1642,,1,10,0.04,0.09,,19,,,,,,{162=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=2;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1132,limit_box_rmb10_1642,,1,10,0.08,0.15,1,11,,,,,,{162=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=2;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1133,limit_box_rmb10_1642,,1,10,0.2,0.3,1,5,,,,,,{162=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=2;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1134,limit_box_rmb10_1642,,1,10,0.06,0.12,,6,,,,,,{151=1;154=2;150=1;1101=1;153=1;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=2;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1135,limit_box_rmb10_1642,,1,10,0.2,0.3,1,2,,,,,,{151=1;154=2;150=1;1101=1;153=1;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=2;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1136,limit_box_rmb10_1642,,0,1,,,,,,,,,,{150=1;154=2;1101=1;153=2;160=1;152=3},100,{161=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{150=1;154=3;1101=1;153=1;160=1;152=3},100,{150=1;154=2;1101=1;153=1;160=1;152=4},100,{150=1;154=1;1101=1;153=2;160=1;152=4},100,{161=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,{161=1;154=2;1101=1;153=1;150=1;152=4},100,{150=1;154=3;1101=1;153=1;160=1;152=3},,,,,
1141,limit_box_rmb1_1772,,3,10,,,,,,,,,,{150=1},100,,,,,,,,,,,,,,,,,,
1142,limit_box_rmb1_1772,,0,1,,,,,,,,,,{152=1},45,{153=1},15,{154=1},15,{160=1},15,{161=1},5,,,,,,,,,,
1151,limit_box_rmb10_1772,,1,10,0.04,0.09,,19,,,,,,{162=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=2;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1152,limit_box_rmb10_1772,,1,10,0.08,0.15,1,11,,,,,,{162=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=2;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1153,limit_box_rmb10_1772,,1,10,0.2,0.3,1,5,,,,,,{162=1;150=1;154=2;1101=1;153=1;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=2;160=1;152=3},100,{162=1;150=1;154=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
1154,limit_box_rmb10_1772,,1,10,0.06,0.12,,6,,,,,,{151=1;154=2;150=1;1101=1;153=1;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=2;160=1;152=3},100,{151=1;154=1;150=1;1101=1;153=1;160=1;152=4},100,,,,,,,,,,,,,,
