VariableName,name,name_ma,name_en,name_in,name_th,name_ph,name_vn,icon,languages,unlockDesc,unlockDesc_ma,unlockDesc_en,unlockDesc_vn,unlockDesc_th,unlockDesc_in,unlockDesc_ph
216,Lich King Avatar Frame,Bingkai Avatar Raja Lich,Lich King Avatar Frame,Bingkai Avatar Raja Lich,กรอบอวาตาร์ราชาลิช,Frame ng Avatar ng Lich King,Khung avatar Lich Vương,txk/icon_tx_3.json,,,,,,,,
217,Tsunade Avatar Frame,Bingkai Avatar Tsunade,Tsunade Avatar Frame,Bingkai Avatar Tsunade,กรอบอวาตาร์สึนาเดะ,Frame ng Avatar ni Tsunade,Khung avatar Tsunade,txk/icon_tx_1.json,,,,,,,,
218,Icarus Avatar Frame,Bingkai Avatar Icarus,Icarus Avatar Frame,Bingkai Avatar Icarus,กรอบอวาตาร์อิคารัส,Frame ng Avatar ni Icarus,Khung avatar Icarus,config/portrait/frame/icon_yikaluosi.png,,,,,,,,
219,Angewomon Avatar Frame,Bingkai Avatar Angewomon,Angewomon Avatar Frame,Bingkai Avatar Angewomon,กรอบอวาตาร์แองเจวูมอน,Frame ng Avatar ni Angewomon,Khung avatar Angewomon,config/portrait/frame/icon_tiannvshou.png,,,,,,,,
220,Angemon Avatar Frame,Bingkai Avatar Angemon,Angemon Avatar Frame,Bingkai Avatar Angemon,กรอบอวาตาร์แองเจมอน,Frame ng Avatar ni Angemon,Khung avatar Angemon,config/portrait/frame/icon_tianshishou.png,,,,,,,,
221,Kakarot Avatar Frame,Bingkai Avatar Kakarot,Kakarot Avatar Frame,Bingkai Avatar Kakarot,กรอบอวาตาร์คาคาร็อต,Frame ng Avatar ni Kakarot,Khung avatar Kakarot,config/portrait/frame/icon_kakaluote.png,,,,,,,,
222,Beerus Avatar Frame,Bingkai Avatar Beerus,Beerus Avatar Frame,Bingkai Avatar Beerus,กรอบอวาตาร์เบรุส,Frame ng Avatar ni Beerus,Khung ảnh Beerus,txk/icon_tx_4.json,,,,,,,,
223,Tiga Lightning Avatar Frame,Bingkai Avatar Tiga Kilat,Tiga Lightning Avatar Frame,Bingkai Avatar Tiga Petir,กรอบอวาตาร์ทีกะสายฟ้า,Frame ng Avatar ng Kidlat Tiga,Khung avatar Tiga Tia Chớp,config/portrait/frame/icon_shandiandijia.png,,,,,,,,
224,Kamui Kakashi Avatar Frame,Bingkai Avatar Kamui Kakashi,Kamui Kakashi Avatar Frame,Bingkai Avatar Kamui Kakashi,กรอบอวาตาร์คามุย คาคาชิ,Frame ng Avatar ni Kamui Kakashi,Khung avatar Kamui Kakashi,txk/icon_tx_12.json,,,,,,,,
225,Akame ga Kill! Avatar Frame,Bingkai Avatar Akame ga Kill!,Akame ga Kill! Avatar Frame,Bingkai Avatar Akame ga Kill!,กรอบอวาตาร์อาคาเมะกะคิล,Frame ng Avatar ng Akame ga Kill!,Khung avatar Akame ga Kill!,txk/icon_tx_13.json,,,,,,,,
227,Asuna Avatar Frame,Bingkai Avatar Asuna,Asuna Avatar Frame,Bingkai Avatar Asuna,กรอบอวาตาร์อาสึนะ,Frame ng Avatar ni Asuna,Khung avatar Asuna,txk/icon_tx_7.json,,,,,,,,
228,Time Angel Avatar Frame,Bingkai Avatar Malaikat Masa,Time Angel Avatar Frame,Bingkai Avatar Malaikat Waktu,กรอบอวาตาร์เทพธิดาแห่งกาลเวลา,Frame ng Avatar ng Anghel ng Panahon,Khung avatar Thiên Thần Thời Gian,txk/icon_tx_15.json,,,,,,,,
229,Demon Flame Avatar Frame,Bingkai Avatar Api Iblis,Demon Flame Avatar Frame,Bingkai Avatar Api Iblis,กรอบอวาตาร์เปลวไฟปีศาจ,Frame ng Avatar ng Apoy ng Demonyo,Khung avatar Ngọn lửa Ác quỷ,txk/icon_tx_14.json,,,,,,,,
230,Shadowless Avatar Frame,Bingkai Avatar Tanpa Bayang,Shadowless Avatar Frame,Bingkai Avatar Tanpa Bayangan,กรอบอวาตาร์ไร้เงา,Frame ng Avatar na Walang Anino,Khung ảnh Phi Ảnh,txk/icon_tx_1173.json,,,,,,,,
231,Aqua Avatar Frame,Bingkai Avatar Aqua,Aqua Avatar Frame,Bingkai Avatar Aqua,กรอบอวาตาร์อควา,Frame ng Avatar ni Aqua,Khung avatar Aqua,txk/icon_tx_231.json,,,,,,,,
232,Master Roshi Avatar Frame,Bingkai Avatar Master Roshi,Master Roshi Avatar Frame,Bingkai Avatar Master Roshi,กรอบอวาตาร์อาจารย์เต่า,Frame ng Avatar ni Master Roshi,Khung ảnh Quy Lão Tiên Sinh,txk/icon_tx_2351.json,,,,,,,,
233,Albedo Avatar Frame,Bingkai Avatar Albedo,Albedo Avatar Frame,Bingkai Avatar Albedo,กรอบอวาตาร์อัลเบโด,Frame ng Avatar ni Albedo,Khung avatar Albedo,txk/icon_tx_2381.json,,,,,,,,
234,Empress Avatar Frame,Bingkai Avatar Maharani,Empress Avatar Frame,Bingkai Avatar Kaisar Wanita,กรอบอวาตาร์จักรพรรดินี,Frame ng Avatar ng Emperatris,Khung avatar Nữ Đế,config/portrait/frame/icon_nvdi.png,,,,,,,,
235,Jiraiya Avatar Frame,Bingkai Avatar Jiraiya,Jiraiya Avatar Frame,Bingkai Avatar Jiraiya,กรอบอวาตาร์จิไรยะ,Frame ng Avatar ni Jiraiya,Khung avatar Jiraiya,config/portrait/frame/img_3211.png,,,,,,,,
236,Daki Avatar Frame,Bingkai Avatar Daki,Daki Avatar Frame,Bingkai Avatar Daki,กรอบอวาตาร์ดากิ,Frame ng Avatar ni Daki,Khung avatar Daki,config/portrait/frame/img_2391.png,,,,,,,,
237,Hero King Avatar Frame,Bingkai Avatar Raja Pahlawan,Hero King Avatar Frame,Bingkai Avatar Raja Pahlawan,กรอบอวาตาร์ราชาวีรบุรุษ,Frame ng Avatar ng Hari ng mga Bayani,Khung ảnh Anh Hùng Vương,txk/tx_jejms.json,,,,,,,,
238,Itachi Avatar Frame,Bingkai Avatar Itachi,Itachi Avatar Frame,Bingkai Avatar Itachi,กรอบอวาตาร์อิทาจิ,Frame ng Avatar ni Itachi,Khung avatar Itachi,config/portrait/frame/img_3221.png,,,,,,,,
239,Kenpachi Avatar Frame,Bingkai Avatar Kenpachi,Kenpachi Avatar Frame,Bingkai Avatar Kenpachi,กรอบอวาตาร์เค็มปาจิ,Frame ng Avatar ni Kenpachi,Khung Avatar Kenpachi,config/portrait/frame/img_2361.png,,,,,,,,
301,New Year Frame,Bingkai Avatar Tahun Baru,New Year Frame,Bingkai Avatar Tahun Baru,กรอบอวาตาร์ตรุษจีน,Frame ng Avatar ng Bagong Taon,Khung ảnh Tết,config/portrait/frame/icon_longnian.png,,,,,,,,
400,Pass Card S1,Kad Lulus S1,Pass Card S1,Kartu Pass S1,บัตรผ่าน S1,Pass Card S1,Thẻ Thông Hành S1,config/portrait/frame/icon_s1.png,,,,,,,,
401,Pass Card S2,Kad Lulus S2,Pass Card S2,Kartu Pass S2,บัตรผ่าน S2,Pass Card S2,Thẻ Thông Hành S2,config/portrait/frame/icon_s2.png,,,,,,,,
402,Pass Card S3,Kad Lulus S3,Pass Card S3,Kartu Pass S3,บัตรผ่าน S3,Pass Card S3,Thẻ Thông Hành S3,config/portrait/frame/icon_s3.png,,,,,,,,
403,Pass Card S4,Kad Lulus S4,Pass Card S4,Kartu Pass S4,บัตรผ่าน S4,Pass Card S4,Thẻ Thông Hành S4,config/portrait/frame/icon_s4.png,,,,,,,,
404,Pass Card S5,Kad Lulus S5,Pass Card S5,Kartu Pass S5,บัตรผ่าน S5,Pass Card S5,Thẻ Thông Hành S5,config/portrait/frame/icon_s5.png,,,,,,,,
405,Pass Card S6,Kad Lulus S6,Pass Card S6,Kartu Pass S6,บัตรผ่าน S6,Pass Card S6,Thẻ Thông Hành S6,config/portrait/frame/icon_s6.png,,,,,,,,
406,Pass Card S7,Kad Lulus S7,Pass Card S7,Kartu Pass S7,บัตรผ่าน S7,Pass Card S7,Thẻ Thông Hành S7,config/portrait/frame/icon_s7.png,,,,,,,,
407,Pass Card S8,Kad Lulus S8,Pass Card S8,Kartu Pass S8,บัตรผ่าน S8,Pass Card S8,Thẻ Thông Hành S8,config/portrait/frame/icon_s8.png,,,,,,,,
408,Pass Card S9,Kad Lulus S9,Pass Card S9,Kartu Pass S9,บัตรผ่าน S9,Pass Card S9,Thẻ Thông Hành S9,config/portrait/frame/icon_s9.png,,,,,,,,
409,Pass Card S10,Kad Lulus S10,Pass Card S10,Kartu Pass S10,บัตรผ่าน S10,Pass Card S10,Thẻ Thông Hành S10,config/portrait/frame/icon_s10.png,,,,,,,,
410,Pass Card S11,Kad Lulus S11,Pass Card S11,Kartu Pass S11,บัตรผ่าน S11,Pass Card S11,Thẻ Thông Hành S11,config/portrait/frame/icon_s11.png,,,,,,,,
411,Pass Card S12,Kad Lulus S12,Pass Card S12,Kartu Pass S12,บัตรผ่าน S12,Pass Card S12,Thẻ Thông Hành S12,config/portrait/frame/icon_s12.png,,,,,,,,
412,Pass Card S13,Kad Lulus S13,Pass Card S13,Kartu Pass S13,บัตรผ่าน S13,Pass Card S13,Thẻ Thông Hành S13,config/portrait/frame/icon_s13.png,,,,,,,,
413,Pass Card S14,Kad Lulus S14,Pass Card S14,Kartu Pass S14,บัตรผ่าน S14,Pass Card S14,Thẻ Thông Hành S14,config/portrait/frame/icon_s14.png,,,,,,,,
414,Pass Card S15,Kad Lulus S15,Pass Card S15,Kartu Pass S15,บัตรผ่าน S15,Pass Card S15,Thẻ Thông Hành S15,config/portrait/frame/icon_s15.png,,,,,,,,
500,New Avatar-1,Avatar Baharu-1,New Avatar-1,Avatar Baru-1,อวาตาร์ใหม่-1,Bagong Avatar-1,Avatar mới-1,config/portrait/frame/icon_new1.png,,,,,,,,
501,New Avatar-2,Avatar Baharu-2,New Avatar-2,Avatar Baru-2,อวาตาร์ใหม่-2,Bagong Avatar-2,Avatar mới-2,config/portrait/frame/icon_new2.png,,,,,,,,
502,New Avatar-3,Avatar Baharu-3,New Avatar-3,Avatar Baru-3,อวาตาร์ใหม่-3,Bagong Avatar-3,Avatar mới-3,config/portrait/frame/icon_new3.png,,,,,,,,
503,New Avatar-4,Avatar Baharu-4,New Avatar-4,Avatar Baru-4,อวาตาร์ใหม่-4,Bagong Avatar-4,Avatar mới-4,config/portrait/frame/icon_new4.png,,,,,,,,
504,New Avatar-5,Avatar Baharu-5,New Avatar-5,Avatar Baru-5,อวาตาร์ใหม่-5,Bagong Avatar-5,Avatar mới-5,config/portrait/frame/icon_new5.png,,,,,,,,
505,New Avatar-6,Avatar Baharu-6,New Avatar-6,Avatar Baru-6,อวาตาร์ใหม่-6,Bagong Avatar-6,Avatar mới-6,config/portrait/frame/icon_new6.png,,,,,,,,
506,New Avatar-7,Avatar Baharu-7,New Avatar-7,Avatar Baru-7,อวาตาร์ใหม่-7,Bagong Avatar-7,Avatar mới-7,config/portrait/frame/icon_new7.png,,,,,,,,
507,New Avatar-8,Avatar Baharu-8,New Avatar-8,Avatar Baru-8,อวาตาร์ใหม่-8,Bagong Avatar-8,Avatar mới-8,config/portrait/frame/icon_new8.png,,,,,,,,
508,New Avatar-9,Avatar Baharu-9,New Avatar-9,Avatar Baru-9,อวาตาร์ใหม่-9,Bagong Avatar-9,Avatar mới-9,config/portrait/frame/icon_new9.png,,,,,,,,
509,New Avatar-10,Avatar Baharu-10,New Avatar-10,Avatar Baru-10,อวาตาร์ใหม่-10,Bagong Avatar-10,Avatar mới-10,config/portrait/frame/icon_new10.png,,,,,,,,
510,New Avatar-11,Avatar Baharu-11,New Avatar-11,Avatar Baru-11,อวาตาร์ใหม่-11,Bagong Avatar-11,Avatar mới-11,config/portrait/frame/icon_new11.png,,,,,,,,
511,New Avatar-12,Avatar Baharu-12,New Avatar-12,Avatar Baru-12,อวาตาร์ใหม่-12,Bagong Avatar-12,Avatar mới-12,config/portrait/frame/icon_new12.png,,,,,,,,
512,New Avatar-13,Avatar Baharu-13,New Avatar-13,Avatar Baru-13,อวาตาร์ใหม่-13,Bagong Avatar-13,Avatar mới-13,config/portrait/frame/icon_new13.png,,,,,,,,
513,New Avatar-14,Avatar Baharu-14,New Avatar-14,Avatar Baru-14,อวาตาร์ใหม่-14,Bagong Avatar-14,Avatar mới-14,config/portrait/frame/icon_new14.png,,,,,,,,
514,New Avatar-15,Avatar Baharu-15,New Avatar-15,Avatar Baru-15,อวาตาร์ใหม่-15,Bagong Avatar-15,Avatar mới-15,config/portrait/frame/icon_new15.png,,,,,,,,
515,New Avatar-16,Avatar Baharu-16,New Avatar-16,Avatar Baru-16,อวาตาร์ใหม่-16,Bagong Avatar-16,Avatar mới-16,config/portrait/frame/icon_new16.png,,,,,,,,
516,New Avatar-17,Avatar Baharu-17,New Avatar-17,Avatar Baru-17,อวาตาร์ใหม่-17,Bagong Avatar-17,Avatar mới-17,config/portrait/frame/icon_new17.png,,,,,,,,
517,New Avatar-18,Avatar Baharu-18,New Avatar-18,Avatar Baru-18,อวาตาร์ใหม่-18,Bagong Avatar-18,Avatar mới-18,config/portrait/frame/icon_new18.png,,,,,,,,
518,New Avatar-19,Avatar Baharu-19,New Avatar-19,Avatar Baru-19,อวาตาร์ใหม่-19,Bagong Avatar-19,Avatar mới-19,config/portrait/frame/icon_new19.png,,,,,,,,
519,New Avatar-20,Avatar Baharu-20,New Avatar-20,Avatar Baru-20,อวาตาร์ใหม่-20,Bagong Avatar-20,Avatar mới-20,config/portrait/frame/icon_new20.png,,,,,,,,
520,New Avatar-21,Avatar Baharu-21,New Avatar-21,Avatar Baru-21,อวาตาร์ใหม่-21,Bagong Avatar-21,Avatar mới-21,config/portrait/frame/icon_new21.png,,,,,,,,
521,New Avatar-22,Avatar Baharu-22,New Avatar-22,Avatar Baru-22,อวาตาร์ใหม่-22,Bagong Avatar-22,Avatar mới-22,config/portrait/frame/icon_new22.png,,,,,,,,
522,New Avatar-23,Avatar Baharu-23,New Avatar-23,Avatar Baru-23,อวาตาร์ใหม่-23,Bagong Avatar-23,Avatar mới-23,config/portrait/frame/icon_new23.png,,,,,,,,
523,New Avatar-24,Avatar Baharu-24,New Avatar-24,Avatar Baru-24,อวาตาร์ใหม่-24,Bagong Avatar-24,Avatar mới-24,config/portrait/frame/icon_new24.png,,,,,,,,
524,New Avatar-25,Avatar Baharu-25,New Avatar-25,Avatar Baru-25,อวาตาร์ใหม่-25,Bagong Avatar-25,Avatar mới-25,config/portrait/frame/icon_new25.png,,,,,,,,
525,New Avatar-26,Avatar Baharu-26,New Avatar-26,Avatar Baru-26,อวาตาร์ใหม่-26,Bagong Avatar-26,Avatar mới-26,config/portrait/frame/icon_new26.png,,,,,,,,
526,New Avatar-27,Avatar Baharu-27,New Avatar-27,Avatar Baru-27,อวาตาร์ใหม่-27,Bagong Avatar-27,Avatar mới-27,config/portrait/frame/icon_new27.png,,,,,,,,
527,New Avatar-28,Avatar Baharu-28,New Avatar-28,Avatar Baru-28,อวาตาร์ใหม่-28,Bagong Avatar-28,Avatar mới-28,config/portrait/frame/icon_new28.png,,,,,,,,
528,New Avatar-29,Avatar Baharu-29,New Avatar-29,Avatar Baru-29,อวาตาร์ใหม่-29,Bagong Avatar-29,Avatar mới-29,config/portrait/frame/icon_new29.png,,,,,,,,
529,New Avatar-30,Avatar Baharu-30,New Avatar-30,Avatar Baru-30,อวาตาร์ใหม่-30,Bagong Avatar-30,Avatar mới-30,config/portrait/frame/icon_new30.png,,,,,,,,
530,New Avatar-31,Avatar Baharu-31,New Avatar-31,Avatar Baru-31,อวาตาร์ใหม่-31,Bagong Avatar-31,Avatar mới-31,config/portrait/frame/icon_new31.png,,,,,,,,
531,New Avatar-32,Avatar Baharu-32,New Avatar-32,Avatar Baru-32,อวาตาร์ใหม่-32,Bagong Avatar-32,Avatar mới-32,config/portrait/frame/icon_new32.png,,,,,,,,
532,New Avatar-33,Avatar Baharu-33,New Avatar-33,Avatar Baru-33,อวาตาร์ใหม่-33,Bagong Avatar-33,Avatar mới-33,config/portrait/frame/icon_new33.png,,,,,,,,
533,New Avatar-34,Avatar Baharu-34,New Avatar-34,Avatar Baru-34,อวาตาร์ใหม่-34,Bagong Avatar-34,Avatar mới-34,config/portrait/frame/icon_new34.png,,,,,,,,
534,New Avatar-35,Avatar Baharu-35,New Avatar-35,Avatar Baru-35,อวาตาร์ใหม่-35,Bagong Avatar-35,Avatar mới-35,config/portrait/frame/icon_new35.png,,,,,,,,
535,New Avatar-36,Avatar Baharu-36,New Avatar-36,Avatar Baru-36,อวาตาร์ใหม่-36,Bagong Avatar-36,Avatar mới-36,config/portrait/frame/icon_new36.png,,,,,,,,
536,New Avatar-37,Avatar Baharu-37,New Avatar-37,Avatar Baru-37,อวาตาร์ใหม่-37,Bagong Avatar-37,Avatar mới-37,config/portrait/frame/icon_new37.png,,,,,,,,
537,New Avatar-38,Avatar Baharu-38,New Avatar-38,Avatar Baru-38,อวาตาร์ใหม่-38,Bagong Avatar-38,Avatar mới-38,config/portrait/frame/icon_new38.png,,,,,,,,
538,New Avatar-39,Avatar Baharu-39,New Avatar-39,Avatar Baru-39,อวาตาร์ใหม่-39,Bagong Avatar-39,Avatar mới-39,config/portrait/frame/icon_new39.png,,,,,,,,
539,New Avatar-40,Avatar Baharu-40,New Avatar-40,Avatar Baru-40,อวาตาร์ใหม่-40,Bagong Avatar-40,Avatar mới-40,config/portrait/frame/icon_new40.png,,,,,,,,
540,New Avatar-41,Avatar Baharu-41,New Avatar-41,Avatar Baru-41,อวาตาร์ใหม่-41,Bagong Avatar-41,Avatar mới-41,config/portrait/frame/icon_new41.png,,,,,,,,
541,New Avatar-42,Avatar Baharu-42,New Avatar-42,Avatar Baru-42,อวาตาร์ใหม่-42,Bagong Avatar-42,Avatar mới-42,config/portrait/frame/icon_new42.png,,,,,,,,
542,New Avatar-43,Avatar Baharu-43,New Avatar-43,Avatar Baru-43,อวาตาร์ใหม่-43,Bagong Avatar-43,Avatar mới-43,config/portrait/frame/icon_new43.png,,,,,,,,
543,New Avatar-44,Avatar Baharu-44,New Avatar-44,Avatar Baru-44,อวาตาร์ใหม่-44,Bagong Avatar-44,Avatar mới-44,config/portrait/frame/icon_new44.png,,,,,,,,
544,New Avatar-45,Avatar Baharu-45,New Avatar-45,Avatar Baru-45,อวาตาร์ใหม่-45,Bagong Avatar-45,Avatar mới-45,config/portrait/frame/icon_new45.png,,,,,,,,
545,New Avatar-46,Avatar Baharu-46,New Avatar-46,Avatar Baru-46,อวาตาร์ใหม่-46,Bagong Avatar-46,Avatar mới-46,config/portrait/frame/icon_new46.png,,,,,,,,
546,New Avatar-47,Avatar Baharu-47,New Avatar-47,Avatar Baru-47,อวาตาร์ใหม่-47,Bagong Avatar-47,Avatar mới-47,config/portrait/frame/icon_new47.png,,,,,,,,
547,New Avatar-48,Avatar Baharu-48,New Avatar-48,Avatar Baru-48,อวาตาร์ใหม่-48,Bagong Avatar-48,Avatar mới-48,config/portrait/frame/icon_new48.png,,,,,,,,
548,New Avatar-49,Avatar Baharu-49,New Avatar-49,Avatar Baru-49,อวาตาร์ใหม่-49,Bagong Avatar-49,Avatar mới-49,config/portrait/frame/icon_new49.png,,,,,,,,
549,New Avatar-50,Avatar Baharu-50,New Avatar-50,Avatar Baru-50,อวาตาร์ใหม่-50,Bagong Avatar-50,Avatar mới-50,config/portrait/frame/icon_new50.png,,,,,,,,
550,New Avatar-51,Avatar Baharu-51,New Avatar-51,Avatar Baru-51,อวาตาร์ใหม่-51,Bagong Avatar-51,Avatar mới-51,config/portrait/frame/icon_new51.png,,,,,,,,
551,New Avatar-52,Avatar Baharu-52,New Avatar-52,Avatar Baru-52,อวาตาร์ใหม่-52,Bagong Avatar-52,Avatar mới-52,config/portrait/frame/icon_new52.png,,,,,,,,
552,New Avatar-53,Avatar Baharu-53,New Avatar-53,Avatar Baru-53,อวาตาร์ใหม่-53,Bagong Avatar-53,Avatar mới-53,config/portrait/frame/icon_new53.png,,,,,,,,
553,New Avatar-54,Avatar Baharu-54,New Avatar-54,Avatar Baru-54,อวาตาร์ใหม่-54,Bagong Avatar-54,Avatar mới-54,config/portrait/frame/icon_new54.png,,,,,,,,
554,New Avatar-55,Avatar Baharu-55,New Avatar-55,Avatar Baru-55,อวาตาร์ใหม่-55,Bagong Avatar-55,Avatar mới-55,config/portrait/frame/icon_new55.png,,,,,,,,
555,New Avatar-56,Avatar Baharu-56,New Avatar-56,Avatar Baru-56,อวาตาร์ใหม่-56,Bagong Avatar-56,Avatar mới-56,config/portrait/frame/icon_new56.png,,,,,,,,
