VariableName,name,name_vn,name_en,name_th,name_in,name_ph,name_ma,_desc,_mark1,_mark2,easyEffectFunc,_effect,_easy,skillTimePos,group,groupPower,ignoreControlVal,immuneBuff,dispelBuff,dispelType,overlayType,overlayLimit,skin,isShow,iconResPath,isIconFrame,effectResPath,effectAniName,effectAniChoose,effectResDelay,effectPos,effectAssignLayer,effectOffsetPos,effectShowOnAttack,onceEffectResPath,onceEffectAniName,onceEffectDelay,onceEffectPos,onceEffectAssignLayer,onceEffectOffsetPos,onceEffectWait,linkEffect,effectOnEnd,holderActionType,textResPath,deepCorrect,triggerPriority,specialVal,specialTarget,ignoreHolder,ignoreCaster,triggerBehaviors,limitTimes,lifeRoundType,lifeTimeEnd,buffshader,waveInherit,craftTriggerLimit,gateLimit,noDelWhenFakeDeath,showExplorer,explorerID,showHeldItem,heldItemID,buffActionEffect,stageArgs,extraOverlayLimit
1223,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,,,,addHP,,,2,1401,,,,,,1,1,,,battle/buff_icon/logo_cxzl.png,,buff/zhiliao/zhiliao.skel,<chixuzhiliao_loop>,,,2,,,,,zhiliao_lv,,,,,,,,,,,,,,,,<{nodeId=0;triggerPoint=5}>,,,,,,,,,,,,,,,
1224,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,,,,,,,2,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<{effectFuncs=<castBuff>;funcArgs=<<{caster=2;value=self:specialDamage()*(0.15+(fromSkillLevel*0.0015-0.0015));lifeRound=1;holder=1;cfgId=1222}>>;nodeId=1;triggerPoint=10}>,,,,,,,,,,,,,,,
1225,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,,,,cure,,,,1013,102,,,,,1,1,,,battle/buff_icon/logo_zll_up.png,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_zlltg.png,,,,,,,,,,,,,,,,,,,,,,
1311,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,,,,stun,,,2,21,,,,,,1,1,,,battle/buff_icon/logo_xy.png,,buff/xuanyun/xuanyun.skel,<xuanyun_loop>,,,1,,{y=-320;x=0},,,,,,,,,,,,battle/txt/txt_xy.png,,,,,,,,,,,,,,,,,,,,,,
1312,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,,,,,,,2,,,,,,,1,1,,FALSE,battle/buff_icon/logo_cxzl.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,<{effectFuncs=<castBuff>;funcArgs=<<{caster=2;value=self:specialDamage()*(0.15+(fromSkillLevel*0.001-0.001));lifeRound=3;holder=3;cfgId=1313}>>;nodeId=1;triggerPoint=5}>,,,,,,,,,,,,,,,
1313,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,,,,addHP,,,2,1401,,,,,,2,3,,,battle/buff_icon/logo_jszz.png,,buff/zhiliao/zhiliao.skel,<chixuzhiliao_loop>,,,2,,,,,zhiliao_lv,,,,,,,,,battle/txt/txt_jszz.png,,,,,,,<{nodeId=0;triggerPoint=5}>,,,,,,,,,,,,,,,
1314,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,,,,addHP,,,2,1401,,,,,,2,3,,,battle/buff_icon/logo_jszz.png,,buff/zhiliao/zhiliao.skel,<chixuzhiliao_loop>,,,2,,,,,zhiliao_lv,,,,,,,,,battle/txt/txt_jszz.png,,,,,,,<{nodeId=0;triggerPoint=5}>,,,,,,,,,,,,,,,
1315,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,<{effectFuncs=<castBuff;castBuff>;funcArgs=<<{caster=2;value=self:specialDamage()*(0.3+(fromSkillLevel*0.002-0.002));lifeRound=3;holder=3;cfgId=1313}>;<{cfgId=1313;caster=2;value=self:specialDamage()*(0.3+(fromSkillLevel*0.002-0.002));lifeRound=3;holder=2;prob=self:flagZ4() and 1 or 0}>>;nodeId=1;triggerPoint=5}>,,,,,,,,,,,,,,,
1316,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,,,,addHP,,,2,,,,,,,1,1,,,,1,,,,,,,,,buff/zhiliao/zhiliao.skel,zhiliao_lv,,,,,,,,,battle/txt/txt_hf.png,,,,,,,,,,,,,,,,,,,,,,
1321,Mega Venusaur,Mega Venusaur,Mega Venusaur,Mega Venusaur,Mega Venusaur,Mega Venusaur,Mega Venusaur,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"<{effectFuncs=<castBuff>;funcArgs=<<{caster=2;value=min(target:hp()*0.05,self:specialDamage()*3);lifeRound=3;holder=1;cfgId=1322}>>;nodeId=1;triggerPoint=1}>",,,,,,,,,,,,,,,
1322,Mega Venusaur,Mega Venusaur,Mega Venusaur,Mega Venusaur,Mega Venusaur,Mega Venusaur,Mega Venusaur,,,,buffDamage,,,2,1501,,,,,,2,5,,,battle/buff_icon/logo_zd.png,,buff/zhongdu/zhongdu.skel,<zhongdu_loop>,,,,,,,,,,,,,,,,,battle/txt/txt_zd.png,,,<{damageType=2;processId=15}>,,,,<{nodeId=0;triggerPoint=5};{effectFuncs=<castBuff>;funcArgs=<<{cfgId=1323;caster=2;value=0;lifeRound=1;holder=1;prob=0.2}>>;nodeId=1;triggerPoint=5}>,,,,,,,,,,,,,,,
1323,Mega Venusaur,Mega Venusaur,Mega Venusaur,Mega Venusaur,Mega Venusaur,Mega Venusaur,Mega Venusaur,,,,stun,,,,21,,,,,,1,1,,,battle/buff_icon/logo_xy.png,,buff/xuanyun/xuanyun.skel,<xuanyun_loop>,,,1,,{y=-320;x=0},,,,,,,,,,,,battle/txt/txt_xy.png,,,,,,,,,,,,,,,,,,,,,,
1324,Mega Venusaur,Mega Venusaur,Mega Venusaur,Mega Venusaur,Mega Venusaur,Mega Venusaur,Mega Venusaur,,,,,,,2,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"<{effectFuncs=<castBuff>;funcArgs=<<{cfgId=1321;caster=2;value=min(target:hp()*0.05,self:specialDamage()*3);lifeRound=1;holder=7;prob=0.6}>>;nodeId=1;triggerPoint=10}>",,,,,,,,,,,,,,,
1325,,,,,,,,,,,healAdd,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1326,Mega Venusaur,Mega Venusaur,Mega Venusaur,Mega Venusaur,Mega Venusaur,Mega Venusaur,Mega Venusaur,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,<{effectFuncs=<castBuff>;funcArgs=<<{caster=2;value=self:specialDamage()*(20+(skillLv(46) or 0)*0.2-0.2)*0.01;lifeRound=1;holder=1;cfgId=1316}>>;nodeId=1;triggerPoint=10}>,,,,,,,,,,,,,,,
2011,Hồi máu liên tục,Hồi máu liên tục,Continuous healing,การฟื้นฟูอย่างต่อเนื่อง,Penyembuhan berkelanjutan,Patuloy na pagpapagaling,Penyembuhan berterusan,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,Tăng phòng thủ vật lý,Tăng phòng thủ vật lý,Increase physical defense,เพิ่มการป้องกันทางกายภาพ,Meningkatkan pertahanan fisik,Pagtaas ng pisikal na depensa,Meningkatkan pertahanan fizikal,,,,addHP,,,2,1401,,,,,,1,1,,,battle/buff_icon/logo_cxzl.png,,buff/zhiliao/zhiliao.skel,<chixuzhiliao_loop>,,,2,,,,effect/zhiliaoxiaoguo.skel,zhiliao_lv,,,,,,,,,battle/txt/txt_hf.png,,,,,,,<{nodeId=0;triggerPoint=5}>,,,,,,,,,,,,,,,
2013,Tăng kháng phép,Tăng kháng phép,Increase magic resistance,เพิ่มความต้านทานเวทมนตร์,Meningkatkan resistansi sihir,Pagtaas ng resistensya sa mahika,Meningkatkan ketahanan sihir,,,,defence,,,,,,,,,,1,1,,,battle/buff_icon/logo_wf_up.png,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_wftg.png,,,,,,,,,,,,,,,,,,,,,,
