VariableName,markID,level,addType,addScene,natureType,desc_cn,desc_tw,desc,desc_vn,desc_ma,desc_en,desc_in,desc_th,desc_ph,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3,attrType4,attrNum4,attrType5,attrNum5,attrType6,attrNum6
1001,13,20,1,,,,,All basic attributes %s,Tất cả các thuộc tính cơ bản %s,Semua atribut asas %s,All basic attributes %s,Semua atribut dasar %s,คุณสมบัติพื้นฐานทั้งหมด %s,Lahat ng pangunahing katangian %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
1002,13,40,1,,,,,%s,%s,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
1003,13,60,1,,,,,%s,%s,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
1004,13,80,1,,,,,All basic attributes %s,Tất cả các thuộc tính cơ bản %s,Semua atribut asas %s,All basic attributes %s,Semua atribut dasar %s,คุณสมบัติพื้นฐานทั้งหมด %s,Lahat ng pangunahing katangian %s,7,0.50%,8,0.50%,1,0.50%,9,0.50%,10,0.50%,13,0.50%
1005,13,100,1,,,,,%s,%s,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
1006,13,150,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,1,0.50%,,,,,,,,,,
1007,13,200,1,,,,,%s,%s,%s,%s,%s,%s,%s,17,300,19,300,,,,,,,,
1008,13,250,1,,,,,%s,%s,%s,%s,%s,%s,%s,9,3%,10,3%,,,,,,,,
1009,13,300,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,9,0.50%,10,0.50%,,,,,,,,
1010,13,350,1,,,,,%s,%s,%s,%s,%s,%s,%s,11,300,12,300,,,,,,,,
1011,13,400,1,,,,,%s,%s,%s,%s,%s,%s,%s,22,300,23,300,,,,,,,,
1012,13,450,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,1,0.50%,,,,,,,,,,
1013,13,500,1,,,,,%s,%s,%s,%s,%s,%s,%s,24,500,,,,,,,,,,
2001,21,20,1,,,,,All basic attributes %s,Tất cả các thuộc tính cơ bản %s,Semua atribut asas %s,All basic attributes %s,Semua atribut dasar %s,คุณสมบัติพื้นฐานทั้งหมด %s,Lahat ng pangunahing katangian %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
2002,21,40,1,,,,,%s,%s,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
2003,21,60,1,,,,,%s,%s,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
2004,21,80,1,,,,,All basic attributes %s,Tất cả các thuộc tính cơ bản %s,Semua atribut asas %s,All basic attributes %s,Semua atribut dasar %s,คุณสมบัติพื้นฐานทั้งหมด %s,Lahat ng pangunahing katangian %s,7,0.50%,8,0.50%,1,0.50%,9,0.50%,10,0.50%,13,0.50%
2005,21,100,1,,,,,%s,%s,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
2006,21,150,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,7,0.50%,8,0.50%,,,,,,,,
2007,21,200,1,,,,,%s,%s,%s,%s,%s,%s,%s,17,300,19,300,,,,,,,,
2008,21,250,1,,,,,%s,%s,%s,%s,%s,%s,%s,9,3%,10,3%,,,,,,,,
2009,21,300,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,1,0.50%,,,,,,,,,,
2010,21,350,1,,,,,%s,%s,%s,%s,%s,%s,%s,11,300,12,300,,,,,,,,
2011,21,400,1,,,,,%s,%s,%s,%s,%s,%s,%s,22,300,23,300,,,,,,,,
2012,21,450,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,1,0.50%,,,,,,,,,,
2013,21,500,1,,,,,%s,%s,%s,%s,%s,%s,%s,24,500,,,,,,,,,,
3001,31,20,1,,,,,All basic attributes %s,Tất cả các thuộc tính cơ bản %s,Semua atribut asas %s,All basic attributes %s,Semua atribut dasar %s,คุณสมบัติพื้นฐานทั้งหมด %s,Lahat ng pangunahing katangian %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
3002,31,40,1,,,,,%s,%s,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
3003,31,60,1,,,,,%s,%s,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
3004,31,80,1,,,,,All basic attributes %s,Tất cả các thuộc tính cơ bản %s,Semua atribut asas %s,All basic attributes %s,Semua atribut dasar %s,คุณสมบัติพื้นฐานทั้งหมด %s,Lahat ng pangunahing katangian %s,7,0.40%,8,0.40%,1,0.40%,9,0.40%,10,0.40%,13,0.40%
3005,31,100,1,,,,,%s,%s,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
3006,31,150,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,1,0.40%,,,,,,,,,,
3007,31,200,1,,,,,%s,%s,%s,%s,%s,%s,%s,17,300,19,300,,,,,,,,
3008,31,250,1,,,,,%s,%s,%s,%s,%s,%s,%s,9,3%,10,3%,,,,,,,,
3009,31,300,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,9,0.40%,10,0.40%,,,,,,,,
3010,31,350,1,,,,,%s,%s,%s,%s,%s,%s,%s,11,300,12,300,,,,,,,,
3011,31,400,1,,,,,%s,%s,%s,%s,%s,%s,%s,22,300,23,300,,,,,,,,
3012,31,450,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,9,0.40%,10,0.40%,,,,,,,,
3013,31,500,1,,,,,%s,%s,%s,%s,%s,%s,%s,24,500,,,,,,,,,,
4001,44,20,1,,,,,All basic attributes %s,Tất cả các thuộc tính cơ bản %s,Semua atribut asas %s,All basic attributes %s,Semua atribut dasar %s,คุณสมบัติพื้นฐานทั้งหมด %s,Lahat ng pangunahing katangian %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
4002,44,40,1,,,,,%s,%s,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
4003,44,60,1,,,,,%s,%s,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
4004,44,80,1,,,,,All basic attributes %s,Tất cả các thuộc tính cơ bản %s,Semua atribut asas %s,All basic attributes %s,Semua atribut dasar %s,คุณสมบัติพื้นฐานทั้งหมด %s,Lahat ng pangunahing katangian %s,7,0.40%,8,0.40%,1,0.40%,9,0.40%,10,0.40%,13,0.40%
4005,44,100,1,,,,,%s,%s,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
4006,44,150,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,7,0.40%,8,0.40%,,,,,,,,
4007,44,200,1,,,,,%s,%s,%s,%s,%s,%s,%s,17,300,19,300,,,,,,,,
4008,44,250,1,,,,,%s,%s,%s,%s,%s,%s,%s,9,3%,10,3%,,,,,,,,
4009,44,300,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,1,0.40%,,,,,,,,,,
4010,44,350,1,,,,,%s,%s,%s,%s,%s,%s,%s,11,300,12,300,,,,,,,,
4011,44,400,1,,,,,%s,%s,%s,%s,%s,%s,%s,22,300,23,300,,,,,,,,
4012,44,450,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,9,0.40%,10,0.40%,,,,,,,,
4013,44,500,1,,,,,%s,%s,%s,%s,%s,%s,%s,24,500,,,,,,,,,,
5001,53,20,1,,,,,All basic attributes %s,Tất cả các thuộc tính cơ bản %s,Semua atribut asas %s,All basic attributes %s,Semua atribut dasar %s,คุณสมบัติพื้นฐานทั้งหมด %s,Lahat ng pangunahing katangian %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
5002,53,40,1,,,,,%s,%s,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
5003,53,60,1,,,,,%s,%s,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
5004,53,80,1,,,,,All basic attributes %s,Tất cả các thuộc tính cơ bản %s,Semua atribut asas %s,All basic attributes %s,Semua atribut dasar %s,คุณสมบัติพื้นฐานทั้งหมด %s,Lahat ng pangunahing katangian %s,7,0.50%,8,0.50%,1,0.50%,9,0.50%,10,0.50%,13,0.50%
5005,53,100,1,,,,,%s,%s,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
5006,53,150,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,1,0.50%,,,,,,,,,,
5007,53,200,1,,,,,%s,%s,%s,%s,%s,%s,%s,17,300,19,300,,,,,,,,
5008,53,250,1,,,,,%s,%s,%s,%s,%s,%s,%s,9,3%,10,3%,,,,,,,,
5009,53,300,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,9,0.50%,10,0.50%,,,,,,,,
5010,53,350,1,,,,,%s,%s,%s,%s,%s,%s,%s,11,300,12,300,,,,,,,,
5011,53,400,1,,,,,%s,%s,%s,%s,%s,%s,%s,22,300,23,300,,,,,,,,
5012,53,450,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,7,0.50%,8,0.50%,,,,,,,,
5013,53,500,1,,,,,%s,%s,%s,%s,%s,%s,%s,24,500,,,,,,,,,,
6001,61,20,1,,,,,All basic attributes %s,Tất cả các thuộc tính cơ bản %s,Semua atribut asas %s,All basic attributes %s,Semua atribut dasar %s,คุณสมบัติพื้นฐานทั้งหมด %s,Lahat ng pangunahing katangian %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
6002,61,40,1,,,,,%s,%s,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
6003,61,60,1,,,,,%s,%s,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
6004,61,80,1,,,,,All basic attributes %s,Tất cả các thuộc tính cơ bản %s,Semua atribut asas %s,All basic attributes %s,Semua atribut dasar %s,คุณสมบัติพื้นฐานทั้งหมด %s,Lahat ng pangunahing katangian %s,7,0.40%,8,0.40%,1,0.40%,9,0.40%,10,0.40%,13,0.40%
6005,61,100,1,,,,,%s,%s,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
6006,61,150,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,7,0.40%,8,0.40%,,,,,,,,
6007,61,200,1,,,,,%s,%s,%s,%s,%s,%s,%s,17,300,19,300,,,,,,,,
6008,61,250,1,,,,,%s,%s,%s,%s,%s,%s,%s,9,3%,10,3%,,,,,,,,
6009,61,300,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,1,0.40%,,,,,,,,,,
6010,61,350,1,,,,,%s,%s,%s,%s,%s,%s,%s,11,300,12,300,,,,,,,,
6011,61,400,1,,,,,%s,%s,%s,%s,%s,%s,%s,22,300,23,300,,,,,,,,
6012,61,450,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,1,0.40%,,,,,,,,,,
6013,61,500,1,,,,,%s,%s,%s,%s,%s,%s,%s,24,500,,,,,,,,,,
7001,71,20,1,,,,,All basic attributes %s,Tất cả các thuộc tính cơ bản %s,Semua atribut asas %s,All basic attributes %s,Semua atribut dasar %s,คุณสมบัติพื้นฐานทั้งหมด %s,Lahat ng pangunahing katangian %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
7002,71,40,1,,,,,%s,%s,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
7003,71,60,1,,,,,%s,%s,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
7004,71,80,1,,,,,All basic attributes %s,Tất cả các thuộc tính cơ bản %s,Semua atribut asas %s,All basic attributes %s,Semua atribut dasar %s,คุณสมบัติพื้นฐานทั้งหมด %s,Lahat ng pangunahing katangian %s,7,0.40%,8,0.40%,1,0.40%,9,0.40%,10,0.40%,13,0.40%
7005,71,100,1,,,,,%s,%s,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
7006,71,150,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,1,0.40%,,,,,,,,,,
7007,71,200,1,,,,,%s,%s,%s,%s,%s,%s,%s,17,300,19,300,,,,,,,,
7008,71,250,1,,,,,%s,%s,%s,%s,%s,%s,%s,9,3%,10,3%,,,,,,,,
7009,71,300,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,9,0.40%,10,0.40%,,,,,,,,
7010,71,350,1,,,,,%s,%s,%s,%s,%s,%s,%s,11,300,12,300,,,,,,,,
7011,71,400,1,,,,,%s,%s,%s,%s,%s,%s,%s,22,300,23,300,,,,,,,,
7012,71,450,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,9,0.40%,10,0.40%,,,,,,,,
7013,71,500,1,,,,,%s,%s,%s,%s,%s,%s,%s,24,500,,,,,,,,,,
8001,82,20,1,,,,,All basic attributes %s,Tất cả các thuộc tính cơ bản %s,Semua atribut asas %s,All basic attributes %s,Semua atribut dasar %s,คุณสมบัติพื้นฐานทั้งหมด %s,Lahat ng pangunahing katangian %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
8002,82,40,1,,,,,%s,%s,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
8003,82,60,1,,,,,%s,%s,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
8004,82,80,1,,,,,All basic attributes %s,Tất cả các thuộc tính cơ bản %s,Semua atribut asas %s,All basic attributes %s,Semua atribut dasar %s,คุณสมบัติพื้นฐานทั้งหมด %s,Lahat ng pangunahing katangian %s,7,0.40%,8,0.40%,1,0.40%,9,0.40%,10,0.40%,13,0.40%
8005,82,100,1,,,,,%s,%s,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
8006,82,150,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,9,0.40%,10,0.40%,,,,,,,,
8007,82,200,1,,,,,%s,%s,%s,%s,%s,%s,%s,17,300,19,300,,,,,,,,
8008,82,250,1,,,,,%s,%s,%s,%s,%s,%s,%s,9,3%,10,3%,,,,,,,,
8009,82,300,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,7,0.40%,8,0.40%,,,,,,,,
8010,82,350,1,,,,,%s,%s,%s,%s,%s,%s,%s,11,300,12,300,,,,,,,,
8011,82,400,1,,,,,%s,%s,%s,%s,%s,%s,%s,22,300,23,300,,,,,,,,
8012,82,450,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,1,0.40%,,,,,,,,,,
8013,82,500,1,,,,,%s,%s,%s,%s,%s,%s,%s,24,500,,,,,,,,,,
9001,91,20,1,,,,,All basic attributes %s,Tất cả các thuộc tính cơ bản %s,Semua atribut asas %s,All basic attributes %s,Semua atribut dasar %s,คุณสมบัติพื้นฐานทั้งหมด %s,Lahat ng pangunahing katangian %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
9002,91,40,1,,,,,%s,%s,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
9003,91,60,1,,,,,%s,%s,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
9004,91,80,1,,,,,All basic attributes %s,Tất cả các thuộc tính cơ bản %s,Semua atribut asas %s,All basic attributes %s,Semua atribut dasar %s,คุณสมบัติพื้นฐานทั้งหมด %s,Lahat ng pangunahing katangian %s,7,0.50%,8,0.50%,1,0.50%,9,0.50%,10,0.50%,13,0.50%
9005,91,100,1,,,,,%s,%s,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
9006,91,150,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,9,0.50%,10,0.50%,,,,,,,,
9007,91,200,1,,,,,%s,%s,%s,%s,%s,%s,%s,17,300,19,300,,,,,,,,
9008,91,250,1,,,,,%s,%s,%s,%s,%s,%s,%s,9,3%,10,3%,,,,,,,,
9009,91,300,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,7,0.50%,8,0.50%,,,,,,,,
9010,91,350,1,,,,,%s,%s,%s,%s,%s,%s,%s,11,300,12,300,,,,,,,,
9011,91,400,1,,,,,%s,%s,%s,%s,%s,%s,%s,22,300,23,300,,,,,,,,
9012,91,450,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,1,0.50%,,,,,,,,,,
9013,91,500,1,,,,,%s,%s,%s,%s,%s,%s,%s,24,500,,,,,,,,,,
10001,101,20,1,,,,,All basic attributes %s,Tất cả các thuộc tính cơ bản %s,Semua atribut asas %s,All basic attributes %s,Semua atribut dasar %s,คุณสมบัติพื้นฐานทั้งหมด %s,Lahat ng pangunahing katangian %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
10002,101,40,1,,,,,%s,%s,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
10003,101,60,1,,,,,%s,%s,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
10004,101,80,1,,,,,All basic attributes %s,Tất cả các thuộc tính cơ bản %s,Semua atribut asas %s,All basic attributes %s,Semua atribut dasar %s,คุณสมบัติพื้นฐานทั้งหมด %s,Lahat ng pangunahing katangian %s,7,0.40%,8,0.40%,1,0.40%,9,0.40%,10,0.40%,13,0.40%
10005,101,100,1,,,,,%s,%s,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
10006,101,150,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,9,0.40%,10,0.40%,,,,,,,,
10007,101,200,1,,,,,%s,%s,%s,%s,%s,%s,%s,17,300,19,300,,,,,,,,
10008,101,250,1,,,,,%s,%s,%s,%s,%s,%s,%s,9,3%,10,3%,,,,,,,,
10009,101,300,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,7,0.40%,8,0.40%,,,,,,,,
10010,101,350,1,,,,,%s,%s,%s,%s,%s,%s,%s,11,300,12,300,,,,,,,,
10011,101,400,1,,,,,%s,%s,%s,%s,%s,%s,%s,22,300,23,300,,,,,,,,
10012,101,450,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,7,0.40%,8,0.40%,,,,,,,,
10013,101,500,1,,,,,%s,%s,%s,%s,%s,%s,%s,24,500,,,,,,,,,,
11001,111,20,1,,,,,All basic attributes %s,Tất cả các thuộc tính cơ bản %s,Semua atribut asas %s,All basic attributes %s,Semua atribut dasar %s,คุณสมบัติพื้นฐานทั้งหมด %s,Lahat ng pangunahing katangian %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
11002,111,40,1,,,,,%s,%s,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
11003,111,60,1,,,,,%s,%s,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
11004,111,80,1,,,,,All basic attributes %s,Tất cả các thuộc tính cơ bản %s,Semua atribut asas %s,All basic attributes %s,Semua atribut dasar %s,คุณสมบัติพื้นฐานทั้งหมด %s,Lahat ng pangunahing katangian %s,7,0.40%,8,0.40%,1,0.40%,9,0.40%,10,0.40%,13,0.40%
11005,111,100,1,,,,,%s,%s,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
11006,111,150,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,9,0.40%,10,0.40%,,,,,,,,
11007,111,200,1,,,,,%s,%s,%s,%s,%s,%s,%s,17,300,19,300,,,,,,,,
11008,111,250,1,,,,,%s,%s,%s,%s,%s,%s,%s,9,3%,10,3%,,,,,,,,
11009,111,300,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,7,0.40%,8,0.40%,,,,,,,,
11010,111,350,1,,,,,%s,%s,%s,%s,%s,%s,%s,11,300,12,300,,,,,,,,
11011,111,400,1,,,,,%s,%s,%s,%s,%s,%s,%s,22,300,23,300,,,,,,,,
11012,111,450,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,9,0.40%,10,0.40%,,,,,,,,
11013,111,500,1,,,,,%s,%s,%s,%s,%s,%s,%s,24,500,,,,,,,,,,
12001,121,20,1,,,,,All basic attributes %s,Tất cả các thuộc tính cơ bản %s,Semua atribut asas %s,All basic attributes %s,Semua atribut dasar %s,คุณสมบัติพื้นฐานทั้งหมด %s,Lahat ng pangunahing katangian %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
12002,121,40,1,,,,,%s,%s,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
12003,121,60,1,,,,,%s,%s,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
12004,121,80,1,,,,,All basic attributes %s,Tất cả các thuộc tính cơ bản %s,Semua atribut asas %s,All basic attributes %s,Semua atribut dasar %s,คุณสมบัติพื้นฐานทั้งหมด %s,Lahat ng pangunahing katangian %s,7,0.40%,8,0.40%,1,0.40%,9,0.40%,10,0.40%,13,0.40%
12005,121,100,1,,,,,%s,%s,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
12006,121,150,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,7,0.40%,8,0.40%,,,,,,,,
12007,121,200,1,,,,,%s,%s,%s,%s,%s,%s,%s,17,300,19,300,,,,,,,,
12008,121,250,1,,,,,%s,%s,%s,%s,%s,%s,%s,9,3%,10,3%,,,,,,,,
12009,121,300,3,,,,,All heroes %s,Tất cả anh hùng %s,Semua wira %s,All heroes %s,Semua pahlawan %s,ฮีโร่ทั้งหมด %s,Lahat ng mga bayani %s,1,0.40%,,,,,,,,,,
12010,121,350,1,,,,,%s,%s,%s,%s,%s,%s,%s,11,300,12,300,,,,,,,,
12011,121,400,1,,,,,%s,%s,%s,%s,%s,%s,%s,22,300,23,300,,,,,,,,
