VariableName,_beizhu,attrType,advance,randomRange1,cost1,randomRange2,cost2
58,,9,4,<<<-2;5>;100>>,{451=6},<<<1;8>;100>>,{452=3}
59,,9,5,<<<-2;5>;100>>,{451=6},<<<0;8>;100>>,{452=3}
60,,9,6,<<<-2;5>;100>>,{451=6},<<<0;8>;100>>,{452=3}
61,,9,7,<<<-5;5>;100>>,{451=6},<<<0;8>;100>>,{452=3}
62,,9,8,<<<-5;5>;100>>,{451=6},<<<0;8>;100>>,{452=3}
63,,9,9,<<<-5;4>;100>>,{451=6},<<<0;8>;100>>,{452=3}
64,,9,10,<<<-5;4>;100>>,{451=6},<<<0;8>;100>>,{452=3}
65,,9,11,<<<-5;3>;100>>,{451=6},<<<0;8>;100>>,{452=3}
66,,9,12,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
67,,9,13,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
68,,9,14,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
69,,9,15,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
70,,9,16,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
71,,9,17,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
72,,9,18,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
73,,8,,<<<-2;13>;100>>,{451=6},<<<3;19>;100>>,{452=3}
74,,8,2,<<<-2;13>;100>>,{451=6},<<<3;19>;100>>,{452=3}
75,,8,3,<<<-4;13>;100>>,{451=6},<<<2;19>;100>>,{452=3}
76,,8,4,<<<-4;13>;100>>,{451=6},<<<2;19>;100>>,{452=3}
77,,8,5,<<<-7;13>;100>>,{451=6},<<<0;19>;100>>,{452=3}
78,,8,6,<<<-7;13>;100>>,{451=6},<<<0;19>;100>>,{452=3}
79,,8,7,<<<-13;13>;100>>,{451=6},<<<0;19>;100>>,{452=3}
80,,8,8,<<<-13;13>;100>>,{451=6},<<<0;19>;100>>,{452=3}
81,,8,9,<<<-13;10>;100>>,{451=6},<<<0;19>;100>>,{452=3}
82,,8,10,<<<-13;10>;100>>,{451=6},<<<0;19>;100>>,{452=3}
83,,8,11,<<<-13;8>;100>>,{451=6},<<<0;19>;100>>,{452=3}
84,,8,12,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
85,,8,13,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
86,,8,14,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
87,,8,15,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
88,,8,16,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
89,,8,17,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
90,,8,18,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
91,,10,,<<<-1;5>;100>>,{451=6},<<<1;8>;100>>,{452=3}
92,,10,2,<<<-1;5>;100>>,{451=6},<<<1;8>;100>>,{452=3}
93,,10,3,<<<-2;5>;100>>,{451=6},<<<1;8>;100>>,{452=3}
94,,10,4,<<<-2;5>;100>>,{451=6},<<<1;8>;100>>,{452=3}
95,,10,5,<<<-2;5>;100>>,{451=6},<<<0;8>;100>>,{452=3}
96,,10,6,<<<-2;5>;100>>,{451=6},<<<0;8>;100>>,{452=3}
97,,10,7,<<<-5;5>;100>>,{451=6},<<<0;8>;100>>,{452=3}
98,,10,8,<<<-5;5>;100>>,{451=6},<<<0;8>;100>>,{452=3}
99,,10,9,<<<-5;4>;100>>,{451=6},<<<0;8>;100>>,{452=3}
100,,10,10,<<<-5;4>;100>>,{451=6},<<<0;8>;100>>,{452=3}
101,,10,11,<<<-5;3>;100>>,{451=6},<<<0;8>;100>>,{452=3}
102,,10,12,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
103,,10,13,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
104,,10,14,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
105,,10,15,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
106,,10,16,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
107,,10,17,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
108,,10,18,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
