VariableName,name_vn,name_th,name,name_en,name_ph,name_in,name_ma,name_tw,languages,drawlanguages,cardMarkID,cardType,atkType,develop,branch,branchType,megaIndex,canDevelop,developType,_zawakeID,zawakeID,zawakeFragID,maleRate,gender,chaRnd,chaRecom,nValueRnd,specValue,fightingWeight,starTypeID,advanceTypeID,feelType,feelItems,advanceMax,advanceLevelReq,levelExpID,unitID,levelMax,skinSkillMap,innateSkillID,skillList,starSkillSeqID,starSkillMaxLevel,equipsList,fragID,fragNumType,star,effect,starEffectIndex,abilitySeqID,effortSeqID,gemPosSeqID,gemQualitySeqID,fetterList,townSkill,energy,energyCorrection,introduction_cn,introduction_th,introduction,introduction_vn,introduction_in,introduction_en,introduction_ph,introduction_ma,location_th,location_cn,location,location_vn,location_in,location_en,location_ph,location_ma,megaIndexID
771,Madoka,Madoka,Madoka,Madoka,Madoka,Madoka,Madoka,,,,771,,<8>,,,,,,,,,50771,,2,,<6;7;18;19>,2,<100;100;100;100;100;100;600>,,4,21,4,<606;607;608;604;605>,,,4,771,,,7713,<7711;7712;7713;7716;61101;61102>,771,,<11014;11114;11214;11314>,20771,4,4,{drawcard=hong_effect_loop},771,3,4,4,4,<7711;7712;7713;7714>,,,,,เด็กผู้หญิงตัวเล็ก น่ารัก อ่อนโยน และคิดถึงเพื่อนเสมอ ด้วยศักยภาพของเธอ เธอกลายเป็นสาวเวทมนตร์  ,"A petite, cute, gentle girl who always thinks of her friends. Thanks to her potential, she became a magical girl.  ","Một cô gái nhỏ nhắn, dễ thương, dịu dàng và luôn nghĩ cho bạn bè. Nhờ tiềm năng của mình, cô trở thành một cô gái phép thuật.","Gadis kecil yang mungil, imut, lembut, dan selalu memikirkan teman-temannya. Berkat potensinya, dia menjadi gadis sihir.  ","A petite, cute, gentle girl who always thinks of her friends. Thanks to her potential, she became a magical girl.  ","Isang maliit, cute, maamo at laging iniisip ang kanyang mga kaibigan. Dahil sa kanyang potensyal, naging isang magical girl siya.  ","Seorang gadis kecil, comel, lemah lembut dan sentiasa memikirkan rakan-rakannya. Terima kasih kepada potensinya, dia menjadi gadis ajaib.  ",สาวเวทมนต์: ควบคุมทั้งหมด,,Magical Girl: Full control,Thiếu nữ phép thuật: Khống chế toàn bộ,Gadis Sihir: Kontrol penuh,Magical Girl: Full control,Magical Girl: Kumpletong kontrol,Gadis Sihir: Kawalan penuh,
793,Men in black,Men in black,Men in black,Men in black,Men in black,Men in black,Men in black,,,,793,,<8>,,,,,,,,,50791,,1,,<6;7;18;19>,,<78;100;84;78;109;85;534>,,2,11,2,<621;622;623;602;603>,,,2,793,,,7933,<7931;7932;7933;7936;61101;61102>,793,,<11022;11122;11222;11322>,20793,2,2,,791,16,2,2,2,<7911;7912;7913>,,,,,ผู้เดินทางข้ามเวลาที่ล้มเหลว กลายเป็นซอมบี้พร้อมพลังที่ลดลง ผู้เดินทางข้ามเวลาถือเป็นมนุษย์ต่างดาวและถูกจับ!  ,"Failed time traveler, turned into a zombie with weakened power. Time travelers are considered aliens and have been captured!  ","Xuyên thời không thất bại, hóa thành thây ma, sức mạnh giảm sút. Người xuyên không cũng được tính là người ngoài hành tinh, các người đã bị bắt!","Pengembara waktu yang gagal, berubah menjadi zombie dengan kekuatan yang melemah. Pengembara waktu dianggap alien dan telah ditangkap!  ","Failed time traveler, turned into a zombie with weakened power. Time travelers are considered aliens and have been captured!  ","Nabigong manlalakbay sa oras, naging zombie na may humina na lakas. Ang mga manlalakbay sa oras ay itinuturing na mga alien at nahuli na!  ","Pengembara masa yang gagal, bertukar menjadi zombi dengan kuasa yang lemah. Pengembara masa dianggap sebagai makhluk asing dan telah ditangkap!  ",ความเสียหายขึ้นอยู่กับโชค,,Damage based on luck,Sát thương dựa vào may mắn,Kerusakan berdasarkan keberuntungan,Damage based on luck,Pinsala batay sa swerte,Kerusakan berdasarkan nasib,
863,Athena,Athena,Athena,Athena,Athena,Athena,Athena,,,,863,,<8>,,,,,,,,,50861,,2,,<24;23;14;16>,,<85;80;50;95;120;115;545>,,3,11,3,<606;607;608;602;603>,,,3,863,,,8633,<8631;8632;8633;8636;61101;61102>,863,,<11013;11113;11213;11313>,20863,3,3,{drawcard=huang_effect_loop},861,,3,3,3,<8611;8612;8613;8614>,,,,,อวตารของเทพธิดาแห่งการต่อสู้ Athena ปรากฏทุกหลายร้อยปี มีพลังหลักในการอวยพรและให้โชค  ,"The incarnation of the Battle Goddess Athena appears every few hundred years, mainly blessing and granting fortune.  ","Hóa thân của Nữ Thần Chiến Đấu Athena xuất hiện mỗi vài trăm năm, với năng lực chủ yếu là ban phước và chúc lành.","Inkarnasi Dewi Perang Athena muncul setiap beberapa ratus tahun, dengan kemampuan utama memberkati dan memberikan keberuntungan.  ","The incarnation of the Battle Goddess Athena appears every few hundred years, mainly blessing and granting fortune.  ","Ang inkarnasyon ng Diyosa ng Labanan Athena ay lumilitaw tuwing ilang daang taon, pangunahing nagbibigay ng biyaya at suwerte.  ","Penjelmaan Dewi Perang Athena muncul setiap beberapa ratus tahun, kebanyakannya memberi berkat dan nasib baik.  ",การสนับสนุนขึ้นอยู่กับโชค,,Support based on luck,Hỗ trợ dựa vào may mắn,Dukungan berdasarkan keberuntungan,Support based on luck,Suporta batay sa swerte,Sokongan berdasarkan nasib,
883,Killua Zoldyck,Killua Zoldyck,Killua Zoldyck,Killua Zoldyck,Killua Zoldyck,Killua Zoldyck,Killua Zoldyck,,,,883,,<8>,,,,,,,,,50881,,1,,<22;24;18;20>,,<80;55;95;85;125;110;550>,,3,11,3,<612;613;614;602;603>,,,3,883,,,8833,<8831;8832;8833;8836;61151;61152>,883,,<11053;11153;11253;11353>,20883,3,3,{drawcard=huang_effect_loop},881,4,3,3,3,<8811;8812;8813>,,,,,ฝึกฝนตั้งแต่อายุ 3 ขวบเพื่อเป็นนักฆ่าไร้อารมณ์  ,Trained from age 3 to become an emotionless assassin.  ,Được huấn luyện từ năm 3 tuổi để trở thành sát thủ không cảm xúc.,Dilatih sejak usia 3 tahun untuk menjadi pembunuh tanpa emosi.  ,Trained from age 3 to become an emotionless assassin.  ,Sinanay mula sa edad na 3 upang maging isang walang emosyon na assassin.  ,Dilatih sejak umur 3 tahun untuk menjadi pembunuh tanpa emosi.  ,การสนับสนุนเพิ่มระบบไฟฟ้า,,Support to enhance electric system,Hỗ trợ tăng cường hệ điện,Dukungan untuk meningkatkan sistem listrik,Support to enhance electric system,Suporta upang mapalakas ang sistema ng kuryente,Sokongan untuk meningkatkan sistem elektrik,
972,Kurumi Tokisaki,Kurumi Tokisaki,Kurumi Tokisaki,Kurumi Tokisaki,Kurumi Tokisaki,Kurumi Tokisaki,Kurumi Tokisaki,,,,972,,<8>,1,,,,,,,,50972,,2,,<6;7;18;19>,,<60;105;60;60;105;105;495>,,3,11,3,<606;607;608;602;603>,,,3,972,,,9723,<9721;9722;9723;9726;61101;61102>,972,,<11013;11113;11213;11313>,20972,3,3,{drawcard=huang_effect_loop},971,3,3,3,3,<9711;9712;9713;9714>,,,,,เทพธิดาเดียวที่ Shido ไม่สามารถปิดผนึกพลังได้ตั้งแต่ครั้งแรกที่พบ เป็นสิ่งมีชีวิตพิเศษที่สามารถปรากฏตัวจากโลกใกล้เคียงได้ตามใจ  ,"The only spirit that Shido could not seal on first encounter, a special being who can appear freely from a neighboring world.  ","Tinh linh duy nhất mà Shido không thể phong ấn sức mạnh ngay từ lần đầu gặp, là một tồn tại đặc biệt có thể tự ý xuất hiện từ thế giới lân cận.","Roh satu-satunya yang Shido tidak bisa segel saat pertama kali bertemu, makhluk khusus yang bisa muncul bebas dari dunia tetangga.  ","The only spirit that Shido could not seal on first encounter, a special being who can appear freely from a neighboring world.  ","Ang nag-iisang espiritu na hindi kayang iselyo ni Shido noong unang pagkikita, isang espesyal na nilalang na malayang lumilitaw mula sa kalapit na mundo.  ","Satu-satunya roh yang Shido tidak dapat segel semasa pertemuan pertama, makhluk istimewa yang boleh muncul dengan bebas dari dunia jiran.  ",การรบกวนเวลา: ควบคุมทั้งหมด,,Time disruption: Full control,Gây rối thời gian: Khống chế toàn bộ,Gangguan waktu: Kontrol penuh,Time disruption: Full control,Pagkagulo ng oras: Kumpletong kontrol,Gangguan masa: Kawalan penuh,973
973,Kurumi Angel of Time,Kurumi Angel of Time,Kurumi Angel of Time,Kurumi Angel of Time,Kurumi Angel of Time,Kurumi Angel of Time,Kurumi Angel of Time,,,,972,,<8>,2,,,9720,,,,,50972,,2,,<6;7;18;19>,,<80;150;80;80;150;150;690>,,3,11,3,<606;607;608;602;603>,,,3,973,,{104=<9741;9742;9743;9746;61101;61102>},9733,<9731;9732;9733;9736;61101;61102>,972,,<11013;11113;11213;11313>,20972,3,3,{drawcard=huang_effect_loop},971,3,3,3,3,<9731;9732;9733;9734>,,,,,เทพแห่งกาลเวลา – Zafkiel เทพผู้ควบคุมพลังแห่งเวลา สามารถย้อนเวลาและเปลี่ยนอนาคตได้!  ,"Time Angel – Zafkiel, the angel controlling time power, can rewind and change the future!  ","Thiên Sứ Thời Gian – Zafkiel, thiên sứ điều khiển sức mạnh thời gian, có thể quay ngược và thay đổi tương lai!","Malaikat Waktu – Zafkiel, malaikat yang mengendalikan kekuatan waktu, dapat memutar balik dan mengubah masa depan!  ","Time Angel – Zafkiel, the angel controlling time power, can rewind and change the future!  ","Ang Angel ng Oras – Zafkiel, ang anghel na kumokontrol sa kapangyarihan ng oras, kayang ibalik ang oras at baguhin ang hinaharap!  ","Malaikat Masa – Zafkiel, malaikat yang mengawal kuasa masa, boleh memutarkan balik dan mengubah masa depan!  ",การควบคุมเวลา: ควบคุมทั้งหมด,,Time control: Full control,Kiểm soát thời gian: Khống chế toàn bộ,Kontrol waktu: Kontrol penuh,Time control: Full control,Kontrol ng oras: Kumpletong kontrol,Kawalan masa: Kawalan penuh,972
1032,Amakusa Shirou Tokisada,Amakusa Shirou Tokisada,Amakusa Shirou Tokisada,Amakusa Shirou Tokisada,Amakusa Shirou Tokisada,Amakusa Shirou Tokisada,Amakusa Shirou Tokisada,,,,1032,,<7>,,,,,,,,,51031,,1,,<15;16;11;12>,,<75;95;95;125;45;75;510>,,3,11,3,<621;622;623;602;603>,,,3,1032,,,10323,<10321;10322;10323;10326;61151;61152>,1032,,<11023;11123;11223;11323>,21032,3,3,{drawcard=huang_effect_loop},1031,2,3,3,3,<10311;10312;10313;10314>,,,,,ชายผู้หลงทางระหว่างถูกผิด ดีชั่ว อาวุธของ Shirou คืออัญมณี GADAMER  ,"A man lost between right and wrong, good and evil. Shirou's weapon is the GADAMER jewel.  ","Một người đàn ông lạc lối giữa đúng và sai, thiện và ác. Vũ khí của Shirou là viên ngọc GADAMER.","Seorang pria yang tersesat antara benar dan salah, baik dan jahat. Senjata Shirou adalah permata GADAMER.  ","A man lost between right and wrong, good and evil. Shirou's weapon is the GADAMER jewel.  ","Isang lalaking naligaw sa pagitan ng tama at mali, mabuti at masama. Ang sandata ni Shirou ay ang hiyas na GADAMER.  ","Seorang lelaki yang tersesat antara benar dan salah, baik dan jahat. Senjata Shirou adalah permata GADAMER.  ",สร้างความรบกวนเชิงลบ,,Cause negative disruption,Gây rối tiêu cực,Menimbulkan gangguan negatif,Cause negative disruption,Magdulot ng negatibong gulo,Menimbulkan gangguan negatif,
1071,Takasugi Shinsuke,Takasugi Shinsuke,Takasugi Shinsuke,Takasugi Shinsuke,Takasugi Shinsuke,Takasugi Shinsuke,Takasugi Shinsuke,,,,1071,,<7>,,,,,,,,,51071,,1,,<24;25;11;12>,,<80;85;125;75;40;95;500>,,3,11,3,<609;610;611;602;603>,,,3,1071,,,10713,<10711;10712;10713;10716;61101;61102>,1071,,<11003;11103;11203;11303>,21071,3,3,{drawcard=huang_effect_loop},1071,,3,3,3,<10711;10712;10713;10714>,,,,,ผู้รุนแรงสุดโต่งที่สาบานจะทำลายโลกเน่าเปื่อยนี้ ถูกเรียกว่าคนอันตรายที่สุดในหมู่นักสู้  ,An extremist militant vowed to destroy this rotten world. Known as the most dangerous person among fighters.  ,"Một phần tử vũ trang cực đoan, thề sẽ phá hủy thế giới thối nát này. Được gọi là người nguy hiểm nhất trong giới võ sĩ.",Militan ekstremis yang bersumpah akan menghancurkan dunia yang membusuk ini. Dikenal sebagai orang paling berbahaya di antara para petarung.  ,An extremist militant vowed to destroy this rotten world. Known as the most dangerous person among fighters.  ,Isang ekstremistang militanteng nangangakong wasakin ang bulok na mundong ito. Kilala bilang pinaka-mapanganib na tao sa mga mandirigma.  ,Militan ekstremis yang berikrar untuk memusnahkan dunia yang rosak ini. Dikenali sebagai orang paling berbahaya dalam kalangan pejuang.  ,ความเสียหายขึ้นอยู่กับโชค: โจมตีหลายครั้ง,,Damage based on luck: Multiple attacks,Sát thương dựa vào may mắn: Tấn công nhiều lần,Kerusakan berdasarkan keberuntungan: Beberapa serangan,Damage based on luck: Multiple attacks,Pinsala batay sa swerte: Maramihang atake,Kerusakan berdasarkan nasib: Serangan berulang,
1082,Maka Albarn,Maka Albarn,Maka Albarn,Maka Albarn,Maka Albarn,Maka Albarn,Maka Albarn,,,,1082,,<7>,,,,,,,,,51081,,2,,<8;9;13;12>,,<70;125;120;65;45;85;510>,,3,11,3,<606;607;608;602;603>,,,3,1082,,,10823,<10821;10822;10823;10826;61101;61102>,1082,,<11013;11113;11213;11313>,21082,3,3,{drawcard=huang_effect_loop},1081,,3,3,3,<10811;10812;10813>,,,,,"เมื่อโกรธเธอจะใช้ท่าไม้ตาย ""ตัดมือปีศาจ"" ใช้มุมหนังสือทุบศีรษะผู้อื่นอย่างแรง  ","When angry, she uses the ultimate move ""Cut the Devil's Hand,"" hitting others strongly with a book's corner.  ","Khi nổi giận, cô ấy sẽ sử dụng tuyệt chiêu ""Chặt Tay Ma Gia"", dùng góc sách đập mạnh vào đầu người khác.","Saat marah, dia menggunakan jurus pamungkas ""Potong Tangan Setan,"" memukul orang lain dengan sudut buku dengan keras.  ","When angry, she uses the ultimate move ""Cut the Devil's Hand,"" hitting others strongly with a book's corner.  ","Kapag nagalit, ginagamit niya ang ultimong galaw na ""Putulin ang Kamay ng Diyablo,"" gamit ang sulok ng libro upang hampasin nang malakas ang iba.  ","Apabila marah, dia menggunakan serangan utama ""Potong Tangan Syaitan,"" memukul orang lain dengan kuat menggunakan sudut buku.  ",ความเสียหายรุนแรง: เพิ่มความเสียหายเมื่อแช่แข็ง,,Violent damage: Increase damage when frozen,Sát thương bạo lực: Tăng sát thương khi đóng băng,Kerusakan kekerasan: Meningkatkan kerusakan saat beku,Violent damage: Increase damage when frozen,Matinding pinsala: Dagdagan ang pinsala kapag nagyelo,Kerusakan kekerasan: Meningkatkan kerusakan ketika dibekukan,
1173,Hiei,Hiei,Hiei,Hiei,Hiei,Hiei,Hiei,,,,1173,,<7>,,,,,,,,,51173,,1,,<7;8;9;12>,2,<95;140;155;120;60;80;650>,,4,21,4,<612;613;614;604;605>,,,4,1173,,,11733,<11731;11732;11733;11736;61101;61102>,1173,,<11054;11154;11254;11354>,21173,4,4,{drawcard=hong_effect_loop},1171,,4,4,4,<11731;11732;11733;11734>,,,,,ตัวละครต้นแบบของอาการ chuunibyou ภายนอกเย็นชาและเฉยเมย แต่ภายในเต็มไปด้วยใจร้อน รักอ่อนโยนและมีน้ำใจ แบบคนเย็นนอกแต่ร้อนใน  ,"The original character of the chuunibyou syndrome, cold and indifferent outside but passionate, gentle, and kind-hearted inside, typical for the ""cold outside, warm inside"" type.  ","Nhân vật tổ tiên của hội chứng chuunibyou, dưới vẻ ngoài lạnh lùng và vô tình là một trái tim nhiệt huyết, dịu dàng và nhân hậu, điển hình cho kiểu người ngoài lạnh trong nóng.","Karakter asli dari sindrom chuunibyou, dingin dan acuh di luar tetapi penuh semangat, lembut, dan baik hati di dalam, tipe orang yang dingin di luar tapi hangat di dalam.  ","The original character of the chuunibyou syndrome, cold and indifferent outside but passionate, gentle, and kind-hearted inside, typical for the ""cold outside, warm inside"" type.  ","Orihinal na karakter ng chuunibyou syndrome, malamig at walang pakialam sa labas ngunit masigasig, maamo, at mabait sa loob, tipikal ng taong malamig sa labas ngunit mainit sa loob.  ","Watak asal sindrom chuunibyou, dingin dan tidak peduli di luar tetapi bersemangat, lemah lembut dan baik hati di dalam, tipikal orang yang sejuk di luar tapi hangat di dalam.  ",ระบบศิลปะการต่อสู้: การคลั่งไคล้กระหายเลือด,,Core Martial Arts: Frenzy blood thirst,Cốt lõi võ đấu: Cuồng bạo khát máu,Sistem Seni Bela Diri: Frenzy haus darah,Core Martial Arts: Frenzy blood thirst,Sistema ng Martial Arts: Frenzy ng gutom sa dugo,Sistem Seni Beladiri: Frenzy dahaga darah,
1221,Thor,Thor,Thor,Thor,Thor,Thor,Thor,,,,1221,,<8>,,,,,,,,,51221,,1,,<6;7;18;19>,2,<90;115;85;75;115;100;580>,,3,11,3,<621;622;623;602;603>,,,3,1221,,,12213,<12211;12212;12213;12216;61101;61102>,1221,,<11023;11123;11223;11323>,21221,3,3,{drawcard=huang_effect_loop},1221,2,3,3,3,<12211;12212;12213;12214>,,,,,ผู้เดินทางข้ามเวลาที่ล้มเหลว กลายเป็นซอมบี้พร้อมพลังลดลง อย่าหยอกล้อ ฉันคือเทพสายฟ้า!  ,"Failed time traveler, turned into a zombie with weakened power. Don't mess, I am the Thunder God!  ","Xuyên thời không thất bại, hóa thành thây ma, sức mạnh giảm sút. Đừng đùa, ta mới là Lôi Thần!","Pengembara waktu yang gagal, berubah menjadi zombie dengan kekuatan melemah. Jangan main-main, aku adalah Dewa Petir!  ","Failed time traveler, turned into a zombie with weakened power. Don't mess, I am the Thunder God!  ","Nabigong manlalakbay sa oras, naging zombie na may humina na lakas. Huwag magpanggap, ako ang Diyos ng Kulog!  ","Pengembara masa yang gagal, bertukar menjadi zombi dengan kuasa yang lemah. Jangan main-main, aku adalah Tuhan Guruh!  ",การจำลองฟ้าผ่า,,Thunder incarnation,Bản thể sấm sét,Inkarnasi petir,Thunder incarnation,Incarnation ng kidlat,Inkarnasi petir,
1231,Kurosaki Ichigo,Kurosaki Ichigo,Kurosaki Ichigo,Kurosaki Ichigo,Kurosaki Ichigo,Kurosaki Ichigo,Kurosaki Ichigo,,,,1231,,<7>,,,,,,,,,51231,,1,,<7;8;9;12>,2,<115;100;115;85;110;95;620>,,4,21,4,<609;610;611;604;605>,,,4,1231,,,12313,<12311;12312;12313;12316;61151;61152>,1231,,<11004;11104;11204;11304>,21231,4,4,{drawcard=hong_effect_loop},1231,2,4,4,4,<12311;12312;12313;12314>,,,,,"ทายาทของการผสมผสานระหว่างมนุษย์และเทพเจ้าแห่งความตาย มีพลังของเทพเจ้าแห่งความตาย, Quincy, Hollow และ Fullbring พร้อมกัน  ","Descendant of the union between humans and grim reapers, possessing the power of death gods, Quincy, Hollow, and Fullbring simultaneously.  ","Hậu duệ của sự kết hợp giữa con người và thần chết, trong cơ thể đồng thời sở hữu sức mạnh của thần chết, Quincy, Hollow và Fullbring.","Keturunan gabungan antara manusia dan dewa kematian, memiliki kekuatan dewa kematian, Quincy, Hollow, dan Fullbring sekaligus.  ","Descendant of the union between humans and grim reapers, possessing the power of death gods, Quincy, Hollow, and Fullbring simultaneously.  ","Lahi ng pinaghalong tao at grim reaper, taglay ang kapangyarihan ng mga diyos ng kamatayan, Quincy, Hollow, at Fullbring nang sabay-sabay.  ","Keturunan gabungan manusia dan malaikat maut, memiliki kuasa dewa maut, Quincy, Hollow, dan Fullbring serentak.  ",แนวหน้าระบบไฟ & ระเบิดด้วยความโกรธ,,Frontline Fire system & explode with wrath,Hàng trước hệ lửa & bùng nổ nộ khí,Barisan depan sistem api & ledakan amarah,Frontline Fire system & explode with wrath,Frontline Apoy system & sumabog ng galit,Barisan depan sistem api & letupan amarah,1981
1241,Hatsune Miku,Hatsune Miku,Hatsune Miku,Hatsune Miku,Hatsune Miku,Hatsune Miku,Hatsune Miku,,,,1241,,<8>,,,,,,,,,51241,,2,,<24;23;14;16>,2,<100;85;75;135;90;135;620>,,4,21,4,<606;607;608;604;605>,,,4,1241,,,12413,<12411;12412;12413;12416;61151;61152>,1241,,<11014;11114;11214;11314>,21241,4,4,{drawcard=hong_effect_loop},1241,4,4,4,4,<12411;12412;12413;12414>,,,,,ตั้งแต่เดบิวต์ถึงจุดสูงสุด ไอดอลเสมือนอันดับหนึ่งของโลก – เจ้าหญิงอันดับหนึ่ง!,"Since debut, reached the pinnacle, the world's number one virtual idol – First Princess!","Từ khi ra mắt đã đạt đỉnh cao, là thần tượng ảo đệ nhất thế giới – Công Chúa Đệ Nhất!","Sejak debut mencapai puncak, idola virtual nomor satu dunia – Putri Pertama!","Since debut, reached the pinnacle, the world's number one virtual idol – First Princess!","Mula nang mag-debut ay umabot sa tuktok, ang pinakamataas na virtual idol sa mundo – Unang Prinsesa!","Sejak debut mencapai puncak, idola maya nombor satu dunia – Puteri Pertama!",ระบบซุปเปอร์ & การสนับสนุนสูงสุด,,Super Core & maximum support,Cốt lõi siêu cấp & hỗ trợ tối đa,Sistem Super & dukungan maksimum,Super Core & maximum support,Super System & maximum support,Sistem Super & sokongan maksimum,
1253,Heracles,Heracles,Heracles,Heracles,Heracles,Heracles,Heracles,,,,1253,,<7>,,,,,,,,,51251,,1,,<11;12;15;16>,2,<100;61;134;110;95;100;600>,,3,11,3,<618;619;620;602;603>,,,3,1253,,,12533,<12531;12532;12533;12536;61151;61152>,1253,,<11033;11133;11233;11333>,21253,3,3,{drawcard=huang_effect_loop},1251,2,3,3,3,<12511;12512;12513;12514>,,,,,จิตวิญญาณนักรบบ้าคลั่ง เชี่ยวชาญด้านการทำลายล้างด้วยรูปร่างแห่งความบ้า ตัวตนที่แท้จริงคือเฮอร์คิวลิส วีรบุรุษยิ่งใหญ่ลูกชายของเทพซูสในตำนานกรีก  ,"The soul of a mad warrior, specialized in destruction with a form of madness. His true identity is Heracles, the great hero son of Zeus in Greek mythology.  ","Linh hồn chiến binh điên cuồng, chuyên phá hủy với hình thức hóa điên. Thân phận thực sự là Heracles, đại anh hùng con trai thần Zeus trong thần thoại Hy Lạp.","Jiwa pejuang gila, ahli dalam kehancuran dengan wujud kegilaan. Identitas aslinya adalah Heracles, pahlawan besar putra Zeus dalam mitologi Yunani.  ","The soul of a mad warrior, specialized in destruction with a form of madness. His true identity is Heracles, the great hero son of Zeus in Greek mythology.  ","Kaluluwa ng baliw na mandirigma, dalubhasa sa pagkawasak sa anyo ng pagkabaliw. Ang tunay na pagkakakilanlan niya ay si Heracles, ang dakilang bayani na anak ni Zeus sa mitolohiyang Griyego.  ","Jiwa seorang pahlawan gila, pakar dalam kemusnahan dengan bentuk kegilaan. Identitinya yang sebenar ialah Heracles, wira hebat anak Zeus dalam mitologi Yunani.  ",ความเสียหายระเบิด: ตอบโต้การยืนหยัดสุดท้าย,,Explosive damage: Counterattack last stand,Sát thương bùng nổ: Phản sát tuyệt địa,Kerusakan ledakan: Serangan balasan terakhir,Explosive damage: Counterattack last stand,Explosive damage: Counterattack last stand,Kerusakan letupan: Serangan balas kedudukan terakhir,
1293,Shihouin Yoruichi,Shihouin Yoruichi,Shihouin Yoruichi,Shihouin Yoruichi,Shihouin Yoruichi,Shihouin Yoruichi,Shihouin Yoruichi,,,,1293,,<8>,,,,,,,,,51291,,2,,<6;7;18;19>,,<70;120;85;65;105;85;530>,,3,11,3,<606;607;608;602;603>,,,3,1293,,,12933,<12931;12932;12933;12936;61101;61102>,1293,,<11013;11113;11213;11313>,21293,3,3,{drawcard=huang_effect_loop},1291,,3,3,3,<12911;12912;12913>,,,,,"หัวหน้าครอบครัวลำดับที่ 22 ของตระกูลชนชั้นสูงอันดับสี่ในโซลโซไซตี้ – ตระกูลชิฮอยอิน เชี่ยวชาญการต่อสู้ระยะประชิดและชุนโป มีชื่อเรียกว่า ""เทพแห่งความเร็ว"" โยรุอิจิ  ","The 22nd head of the noble fourth-largest family in Soul Society – the Shihouin clan, specialized in close combat and Shunpo, known as ""God Speed"" Yoruichi.  ","Gia chủ đời thứ 22 của gia tộc quý tộc lớn thứ tư ở Soul Society – gia tộc Shihouin, sở trường về cận chiến và Shunpo, được gọi là ""Thần Tốc"" Yoruichi.","Kepala keluarga ke-22 dari keluarga bangsawan terbesar keempat di Soul Society – klan Shihouin, ahli pertarungan jarak dekat dan Shunpo, dikenal sebagai ""Kecepatan Dewa"" Yoruichi.  ","The 22nd head of the noble fourth-largest family in Soul Society – the Shihouin clan, specialized in close combat and Shunpo, known as ""God Speed"" Yoruichi.  ","Ang ika-22 pinuno ng maharlikang ika-apat na pinakamalaking pamilya sa Soul Society – ang angkan ng Shihouin, eksperto sa malapitang labanan at Shunpo, kilala bilang ""Diyos ng Bilis"" na si Yoruichi.  ","Ketua keluarga ke-22 daripada keluarga bangsawan keempat terbesar di Soul Society – klan Shihouin, pakar dalam pertempuran jarak dekat dan Shunpo, dikenali sebagai ""Kelajuan Tuhan"" Yoruichi.  ",นักฆ่าล่องหน: กำจัดแนวหลัง,,Invisible assassin: Take down the backline,Sát thủ tàng hình: Hạ gục hàng sau,Pembunuh tersembunyi: Menjatuhkan barisan belakang,Invisible assassin: Take down the backline,Invisible assassin: Patumbahin ang backline,Pembunuh tersembunyi: Menjatuhkan barisan belakang,
1303,Akuma,Akuma,Akuma,Akuma,Akuma,Akuma,Akuma,,,,1303,,<7>,,,,,,,,,51301,,1,,<10;11;13;9>,,<80;80;120;70;110;70;530>,,3,11,3,<618;619;620;602;603>,,,3,1303,,,13033,<13031;13032;13033;13036;61101;61102>,1303,,<11033;11133;11233;11333>,21303,3,3,{drawcard=huang_effect_loop},1301,,3,3,3,<13011;13012;13013;13014>,,,,,"ขนานนามว่า ""หมัดปลอมสุดขีด"" หมัดสังหารปีศาจ ในสายตาของโกกิ มีเพียงนักรบที่แข็งแกร่งที่สุดในโลกเท่านั้นที่คู่ควรจะสู้กับเขา  ","Nicknamed ""Extreme Fake Fist,"" a demon-slaying punch; in Gouki's eyes, only the strongest warriors in the world deserve to face him.  ","Được mệnh danh là ""Cực Giả Quyền"", nắm đấm diệt quỷ thần, trong mắt Gouki chỉ có những chiến binh mạnh nhất thế giới mới xứng đáng đối đầu với hắn.","Dijuluki ""Tinju Palsu Ekstrem,"" pukulan pembunuh iblis; di mata Gouki, hanya pejuang terkuat di dunia yang pantas melawannya.  ","Nicknamed ""Extreme Fake Fist,"" a demon-slaying punch; in Gouki's eyes, only the strongest warriors in the world deserve to face him.  ","Tinaguriang ""Extreme Fake Fist,"" suntok na pumapatay ng demonyo; sa mata ni Gouki, tanging ang pinakamalalakas na mandirigma sa mundo ang karapat-dapat makipaglaban sa kanya.  ","Dijuluki ""Tinju Palsu Melampau,"" tumbukan pembunuh iblis; di mata Gouki, hanya pejuang terkuat di dunia layak menentangnya.  ",ความเสียหายรุนแรง: ความเสียหายเป้าหมายเดียวที่ทรงพลัง,,Violent damage: Powerful single-target damage,Sát thương bạo lực: Sát thương đơn thể mạnh mẽ,Kerusakan kekerasan: Kerusakan sasaran tunggal yang kuat,Violent damage: Powerful single-target damage,Matinding pinsala: Malakas na single-target damage,Kerusakan kekerasan: Kerusakan sasaran tunggal yang kuat,
