VariableName,eventID,_name,delay,sound,damageSeg,hpSeg,segInterval,shaker,music,zOrder ,move,show,effectType,effectRes,effectArgs,otherEventIDs,follow,onlyTargetShow,jumpFlag,control,confuseIt,zOrder
1331,1331,,,,<0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125>,,<0;100;100;100;100;166.6;166.6;166.6>,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,,,,,,,,,,
1411,1411,,,,<1>,,<0>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
1421,1421,,,,<0.1;0.1;0.2;0.2;0.2;0.2>,,<0;166.6;166.6;166.6;166.6;233.3>,,,,,,,,,,,,,{lifeBar={show=True}},,
1431,1431,,,,<0.1;0.1;0.2;0.2;0.2;0.2>,,<0;233.3;233.3;233.3;233.3;233.3>,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,,,,,,,,,,
1432,1432,,,,,,,,,,<{absY=400;x=-150;delay=6000;t=0}>,<{scale=1.3;lastTime=6333.3;hide=True;delay=0}>,,,,<90;6192;6193;6194>,,,,,,<{zorder=0;lastTime=3000;delay=6500}>
1433,1433,,,,,,,,,,,,1,koudai_beijing/senlin.skel,{scale=0.66;screenPos=0;offsetY=-400;addTolayer=-1;aniLoop=False;aniName=penhuolongmegax_skill2;offsetX=0;lastTime=8266.67;zorder=99},,,,,,,
1434,1434,,,,,,,,,,,,1,koudai_beijing/huangtu.skel,{scale=0.66;screenPos=0;offsetY=-400;addTolayer=-1;aniLoop=False;aniName=penhuolongmegax_skill2;offsetX=0;lastTime=8266.67;zorder=59},,,,,,,
1435,1435,,,,,,,,,,,,1,koudai_beijing/tiankong.skel,{scale=0.66;screenPos=0;offsetY=-400;addTolayer=-1;aniLoop=False;aniName=penhuolongmegax_skill2;offsetX=0;lastTime=8266.67;zorder=19},,,,,,,
1511,1511,,,,<1>,,<0>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
1521,1521,,,,<0.2;0.3;0.5>,,<0;500;760>,,,,<{t=80;x=0;delay=80;y=350};{t=150;x=0;delay=160;y=530};{t=190;x=0;delay=310;y=300};{t=160;x=-800;delay=500;y=1200};{t=0;x=0;delay=800;y=1200};{t=220;x=0;delay=1000;y=0}>,,,,,,,,,{lifeBar={show=True}},,
1531,1531,,,,<0.1;0.1;0.2;0.2;0.2;0.2>,,<0;233.3;233.3;233.3;233.3;233.3>,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,,,,,,,,,,
1532,1532,,,,,,,,,,,<{scale=1;lastTime=9666.6;hide=True;delay=0}>,,,,<90;6292;6293;6294>,,,,,,
1533,1533,,,,,,,,,,,,1,koudai_beijing/shanlin.skel,{screenPos=0;offsetY=150;addTolayer=1;aniLoop=False;aniName=penhuolongmegay_skill2;offsetX=0;lastTime=9666.6;zorder=50},,,,,,,
1534,1534,,,,,,,,,,,,1,koudai_beijing/tiankong_x.skel,{screenPos=0;offsetY=-280;addTolayer=1;aniLoop=False;aniName=penhuolongmegay_skill2_qian;offsetX=-170;lastTime=9666.6;zorder=99},,,,,,,
1535,1535,,,,,,,,,,,,1,koudai_beijing/tiankong_x.skel,{screenPos=0;offsetY=-280;addTolayer=-1;aniLoop=False;aniName=penhuolongmegay_skill2_hou;offsetX=-170;lastTime=9666.6;zorder=1},,,,,,,
2111,2111,,,,<0.3;0.3;0.4>,,<0;166.6;200>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
2121,2121,,,,<1>,,<0>,,,,,,,,,,,,,{lifeBar={show=True}},,
2131,2131,,,,<0.2;0.2;0.2;0.2;0.2>,,<0;200;200;200;200>,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,,,,,,,,,,
2132,2132,,,,,,,,,,,<{hide=True;lastTime=1000;delay=0}>,,,,<90;7092>,,,,,,
2133,2133,,,,,,,,,,,,1,koudai_beijing/sudu_bj.skel,{scale=1;screenPos=0;offsetY=0;addTolayer=-1;aniLoop=False;zorder=-1;offsetX=0;delay=0;aniName=jienigui_skill2;lastTime=3000},,,,,,,
2211,2211,,,,<1>,,<0>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
2221,2221,,,,<1>,,<0>,,,,,,,,,,,,,{lifeBar={show=True}},,
2231,2231,,,,<0.1;0.1;0.2;0.2;0.2;0.2>,,<0;200;200;200;200;233.3>,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,,,,,,,,,,
2232,2232,,,,,,,,,,<{t=0;absX=1900;delay=5000}>,<{hide=True;lastTime=5500;delay=0}>,,,,<90;8092;8093>,,,,,,
2233,2233,,,,,,,,,,,,1,koudai_beijing/sudu_bj.skel,{scale=1;screenPos=0;offsetY=0;addTolayer=-1;aniLoop=False;zorder=-50;offsetX=0;delay=0;aniName=kamigui_skill2;lastTime=6266.6},,,,,,,
2234,2234,,,,,,,,,,,,1,koudai_beijing/sudu_bj_guang.skel,{scale=1;screenPos=0;offsetY=0;addTolayer=-1;aniLoop=False;zorder=-1;offsetX=0;delay=0;aniName=kamigui_skill2;lastTime=6266.6},,,,,,,
2311,2311,,,,<1>,,<0>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
2321,2321,,,,<0.5;0.5>,,<0;633.3>,,,,,,,,,,,,,{lifeBar={show=True}},,
2331,2331,,,,<0.25;0.25;0.25;0.25>,,<0;100;100;100>,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,,,,,,,,,,
2332,2332,,,,,,,,,,,,,,,<90;9092;9093>,,,,,,
2333,2333,,,,,,,,,,,,1,koudai_beijing/tiankong.skel,{scale=0.75;screenPos=0;offsetY=-200;addTolayer=-1;aniLoop=False;zorder=99;offsetX=-100;delay=0;aniName=shuijiangui_skill2;lastTime=9000},,,,,,,
2334,2334,,,,,,,,,,,,1,koudai_beijing/huangtu.skel,{scale=0.8;screenPos=0;offsetY=-180;addTolayer=-1;aniLoop=False;zorder=99;offsetX=-330;delay=0;aniName=shuijiangui_skill2;lastTime=9000},,,,,,,
2411,2411,,,,<0.3;0.3;0.4>,,<0;233.3;1200>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
2421,2421,,,,<0.5;0.5>,,<0;1700>,,,,,,,,,,,,,{lifeBar={show=True}},,
2431,2431,,,,<0.1;0.1;0.2;0.2;0.2;0.2>,,<0;4600;366.6;466.6;400;533.3>,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,,,,,,,,,,
2432,2432,,,,,,,,,,<{t=0;scale=1;delay=0;teamClose=1.4}>,<{scale=1;lastTime=1332;hide=True;delay=0};{scale=1;lastTime=3596.4;hide=True;delay=2664}>,,,,<90;9192;9193>,,,,,,
2433,2433,,,,,,,,,,,,1,koudai_beijing/sudu_bj_guang.skel,{scale=0.7;screenPos=0;offsetY=-200;addTolayer=-1;aniLoop=False;zorder=99;offsetX=-100;delay=0;aniName=shuijianguimega_skill2;lastTime=8666.66},,,,,,,
2434,2434,,,,,,,,,,,,1,koudai_beijing/shandi.skel,{scale=0.66;screenPos=0;offsetY=80;addTolayer=-1;aniLoop=False;zorder=-1;offsetX=0;delay=0;aniName=shuijianguimega_skill2;lastTime=8666.66},,,,,,,
3111,3111,,,,<1>,,<0>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
3121,3121,,,,<0.3;0.3;0.4>,,<0;300;300>,,,,,,,,,,,,,{lifeBar={show=True}},,
3131,3131,,,,<0.1;0.1;0.2;0.2;0.2;0.2>,,<0;333.3;333.3;333.3;333.3;333.3>,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,,,,,,,,,,
3132,3132,,,,,,,,,,,,1,koudai_lvmaochong/sixian.skel,{scale=0.66;screenPos=0;offsetY=-150;addTolayer=-1;aniLoop=False;zorder=99;offsetX=-180;delay=0;aniName=lvmaochong_skill2;lastTime=4666.6},,,,,,,
3311,3311,,,,<1>,,<0>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
3321,3321,,,,<0.3;0.3;0.4>,,<0;100;200>,,,,,,,,,,,,,{lifeBar={show=True}},,
3331,3331,,,,<0.25;0.25;0.25;0.25>,,<0;500;800;800>,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,,,,,,,,,,
4311,4311,,,,<0.3;0.3;0.4>,,<0;166.6;166.6>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
4321,4321,,,,<1>,,<0>,,,,,,,,,,,,,{lifeBar={show=True}},,
4331,4331,,,,<0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125>,,<0;100;66.6;66.6;100;66.6;66.6;766.6>,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,,,,,,,,,,
4411,4411,,,,<1>,,<0>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
4421,4421,,,,<0.3;0.3;0.4>,,<0;200;200>,,,,,,,,,,,,,{lifeBar={show=True}},,
4431,4431,,,,<0.2;0.2;0.2;0.2;0.2>,,<0;150;150;180;180>,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,,,,,,,,,,
5111,5111,,,,<1>,,<0>,{endT=150;beginT=0;count=1;disy=25;disx=15;interval=100},,,,,,,,,,,,{lifeBar={show=True}},,
5121,5121,,,,<0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125>,,<0;160;160;160;160;160;160;160>,{endT=100;beginT=0;count=9;disy=5;disx=5;interval=160},,,,,,,,,,,,{lifeBar={show=True}},,
5131,5131,,,,<0.095;0.105;0.12;0.14;0.16;0.18;0.2>,,<0;633.33;233.33;366.67;266.67;333.33;266.67>,{isRepeat=True;endT=150;beginT=0;count=1;disy=20;disx=20;interval=0},,,,,,,,,,,,,,
5132,5132,,,,,,,{endT=1700;beginT=1500;count=1;disy=30;disx=20;interval=0},,,,,,,,,,,,,,
5211,5211,,,,<1>,,<0>,{endT=150;beginT=0;count=1;disy=25;disx=15;interval=100},,,,,,,,,,,,{lifeBar={show=True}},,
5221,5221,,,,<0.2;0.2;0.2;0.2;0.2>,,<0;266.67;166.67;200;200>,{endT=100;beginT=0;count=5;disy=5;disx=5;interval=200},,,,,,,,,,,,{lifeBar={show=True}},,
5231,5231,,,,<1>,,<0>,{endT=200;beginT=0;count=2;disy=30;disx=20;interval=100},,,,,,,,,,,,,,
5232,5232,,,,,,,,,,<{t=1300;scale=1;delay=1500;y=600;x=2300};{t=0;scale=1;delay=3100;y=2160;x=0};{t=0;scale=1;delay=3300;y=0;x=0}>,<{hide=True;lastTime=1000;delay=3000}>,,,,,,,,,,
5311,5311,,,,<1>,,<0>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
5321,5321,,,,<0.3;0.3;0.4>,,<0;100;100>,,,,,,,,,,,,,{lifeBar={show=True}},,
5331,5331,,,,<0.2;0.2;0.2;0.2;0.2>,,<0;150;150;180;180>,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,,,,,,,,,,
6111,6111,,,,<1>,,<0>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
6121,6121,,,,<0.5;0.5>,,<0;633.33>,,,,,,,,,,,,,{lifeBar={show=True}},,
6131,6131,,,,<1>,,<0>,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,,,,,,,,,,
6211,6211,,,,<0.1;0.1;0.2;0.2;0.2;0.2>,,<0;466.67;133.33;166.67;166.67;166.67>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
6221,6221,,,,<0.5;0.3;0.2>,,<0;500;400>,,,,,,,,,,,,,{lifeBar={show=True}},,
6231,6231,,,,<0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1>,,<0;466.67;233.33;166.67;166.67;133.3;166.67;266.6;333.3;200>,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,,,,,,,,,,
7111,7111,,,,<1>,,<0>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
7121,7121,,,,<0.2;0.2;0.3;0.3>,,<0;200;200;733.3>,,,,,,,,,,,,,{lifeBar={show=True}},,
7131,7131,,,,<0.1;0.1;0.2;0.2;0.2;0.2>,,<0;333.3;333.3;266.6;266.6;233.3>,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,,,,,,,,,,
7211,7211,,,,<1>,,<0>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
7221,7221,,,,<1>,,<0>,,,,,,,,,,,,,{lifeBar={show=True}},,
7231,7231,,,,<0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1>,,<0;180;400;80;80;80;80;80;80;80>,{isRepeat=True;endT=100;beginT=0;count=1;disy=50;disx=50;interval=0},,,,,,,,,,,,,,
8111,8111,,,,<1>,,<0>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
8121,8121,,,,<0.2;0.2;0.2;0.2;0.2>,,<0;166.67;166.67;166.67;166.67>,,,,,,,,,,,,,{lifeBar={show=True}},,
8131,8131,,,,<0.5;0.5>,,<0;1233.3>,{endT=887;beginT=17;count=2;disy=15;disx=15;interval=100},,,,,,,,,,,,,,
8132,8132,,,,,,,,,,,<{hide=True;lastTime=1533.3;delay=966.6}>,,,,,,,,,,
8211,8211,,,,<1>,,<0>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
8221,8221,,,,<0.2;0.2;0.2;0.2;0.2>,,<0;100;100;100;100>,,,,,,,,,,,,,{lifeBar={show=True}},,
8231,8231,,,,<0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125>,,<0;200;200;200;200;200;200;200>,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,,,,,,,,,,
9111,9111,,,,<0.3;0.3;0.4>,,<0;200;166.6>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
9121,9121,,,,<0.25;0.25;0.25;0.25>,,<0;200;233.3;200>,,,,,,,,,,,,,{lifeBar={show=True}},,
9131,9131,,,,<0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1>,,<0;200;200;200;200;200;566.6;200;200;233.3>,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,,,,,,,,,,
9211,9211,,,,<0.3;0.3;0.4>,,<0;133.33;133.33>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
9221,9221,,,,<0.3;0.3;0.4>,,<0;133.33;133.33>,,,,,,,,,,,,,{lifeBar={show=True}},,
9231,9231,,,,<0.075;0.075;0.075;0.075;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05>,,<0;5;5;5;1666.67;133.33;100;133.33;133.33;166.67;133.33;2300;100;100;100;100;100;100>,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,,,,,,,,,,
9232,9232,,,,,,,,,,<{absY=600;scale=2.5;delay=0;teamClose=3;t=0;absX=2700};{absY=600;scale=2.5;delay=4660;teamClose=3;t=270;absX=1200};{absY=1500;scale=1.5;delay=4980;absX=200;t=340};{absY=650;scale=0.4;delay=5380;teamClose=1.3;t=0;absX=400};{absY=750;scale=0.4;delay=5410;teamClose=1.3;t=400;absX=400};{absY=850;scale=0.4;delay=5810;teamClose=1.3;t=500;absX=400};{absY=1300;scale=1.3;delay=6350;teamClose=2;t=0;absX=700};{absY=1000;scale=0.8;delay=6380;teamClose=2;t=900;absX=600};{absY=500;scale=3;delay=7460;teamClose=2;t=150;absX=2700};{absY=200;scale=1;delay=9500;absX=2000;t=0};{absY=200;scale=4.3;delay=9500;teamClose=3;t=10;absX=2700};{absY=350;scale=1.3;delay=9610;teamClose=2;t=320;absX=1650}>,<{hide=True;lastTime=4653;delay=0};{hide=True;lastTime=2046;delay=7590}>,,,,<90;25092>,,,,,,
9233,9233,,,,,,,,,,,,1,koudai_beijing/moren_bj.skel,{scale=0.78;screenPos=0;offsetY=-420;addTolayer=-1;aniLoop=False;aniName=pikaqiu_skill2;offsetX=-400;delay=0;zorder=1;lastTime=10766.6},,,,,,,
9311,9311,,,,<0.3;0.3;0.4>,,<0;133.3;133.3>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
9321,9321,,,,<0.5;0.5>,,<0;133.3>,,,,,,,,,,,,,{lifeBar={show=True}},,
9331,9331,,,,<0.25;0.25;0.25;0.25>,,<0;166.6;233.3;300>,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,,,,,,,,,,
9332,9332,,,,,,,,,,<{absY=600;x=-150;delay=0;t=0}>,<{hide=True;lastTime=3700;delay=0}>,,,,<90;26092>,,,,,,
9333,9333,,,,,,,,,,,,1,koudai_beijing/moren_bj.skel,{screenPos=0;offsetY=-500;addTolayer=-1;aniLoop=False;zorder=1;offsetX=-500;delay=0;aniName=leiqiu_skill2;lastTime=4933.3},,,,,,,
