VariableName,typeID,star,attrTarget,attrNatureType,attrNum,effectDesc_cn,effectDesc_tw,effectDesc,effectDesc_my,effectDesc_in,effectDesc_th,effectDesc_en,effectDesc_ph
5018,51,18,,,{1=20%;30=2000},,,,,,,,
5019,51,19,,,{7=20%;8=20%},,,,,,,,
5020,51,20,,,{10=30%;9=30%},,,,,,,,
5021,51,21,,,{28=1500;12=2000},,,,,,,,
5022,51,22,,,{14=1000;25=2000},,,,,,,,
5023,51,23,,,{17=2000;19=2000},,,,,,,,
5024,51,24,,,{15=2000;21=3000},,,,,,,,
6002,61,2,,,{7=80;8=80},,,,,,,,
6003,61,3,,,{24=200},,,,,,,,
6004,61,4,,,{7=5%;8=5%},,,,,,,,
6005,61,5,,,{1=5%},,,,,,,,
6006,61,6,,,{7=5%;8=5%},,,,,,,,
6007,61,7,,,{15=450},,,\nMở khóa kỹ năng bị động tăng sát thương PVP,\nBuka kunci kemahiran pasif untuk meningkatkan kerosakan PVP,\nBuka skill pasif untuk meningkatkan damage PVP,\nปลดล็อกสกิลพาสซีฟเพื่อเพิ่มความเสียหายในการต่อสู้ PVP,\nUnlock passive skill to increase PVP damage,\nI-unlock ang passive skill na nagpapataas ng PVP damage
6008,61,8,,,{1=10%},,,,,,,,
6009,61,9,,,{7=10%;8=10%},,,,,,,,
6010,61,10,,,{15=900},,,\nMở khóa kỹ năng bị động giảm sát thương PVP,\nBuka kunci kemahiran pasif untuk mengurangkan kerosakan PVP,\nBuka skill pasif untuk mengurangi damage PVP,\nปลดล็อกสกิลพาสซีฟเพื่อลดความเสียหายในการต่อสู้ PVP,\nUnlock passive skill to reduce PVP damage,\nI-unlock ang passive skill na nagpapababa ng PVP damage
6011,61,11,,,{22=1000},,,,,,,,
6012,61,12,,,{23=1000},,,,,,,,
6013,61,13,,,{10=20%;9=20%},,,,,,,,
6014,61,14,,,{28=10%;12=15%},,,,,,,,
6015,61,15,,,{14=1500;25=1000},,,,,,,,
6016,61,16,,,{17=1500;19=1000},,,,,,,,
6017,61,17,,,{14=1000;21=1500},,,,,,,,
6018,61,18,,,{1=20%;30=2000},,,,,,,,
6019,61,19,,,{7=20%;8=20%},,,,,,,,
6020,61,20,,,{10=30%;9=30%},,,,,,,,
6021,61,21,,,{28=1500;12=2000},,,,,,,,
6022,61,22,,,{14=1000;25=2000},,,,,,,,
6023,61,23,,,{17=2000;19=2000},,,,,,,,
6024,61,24,,,{15=2000;21=3000},,,,,,,,
7002,71,2,,,{7=80;8=80},,,,,,,,
7003,71,3,,,{24=200},,,,,,,,
7004,71,4,,,{7=5%;8=5%},,,,,,,,
7005,71,5,,,{1=5%},,,,,,,,
7006,71,6,,,{7=5%;8=5%},,,,,,,,
7007,71,7,,,{5=300},,,\nMở khóa kỹ năng bị động tăng sát thương PVP,\nBuka kunci kemahiran pasif untuk meningkatkan kerosakan PVP,\nBuka skill pasif untuk meningkatkan damage PVP,\nปลดล็อกสกิลพาสซีฟเพื่อเพิ่มความเสียหายในการต่อสู้ PVP,\nUnlock passive skill to increase PVP damage,\nI-unlock ang passive skill na nagpapataas ng PVP damage
7008,71,8,,,{1=10%},,,,,,,,
7009,71,9,,,{7=10%;8=10%},,,,,,,,
7010,71,10,,,{5=600},,,\nMở khóa kỹ năng bị động giảm sát thương PVP,\nBuka kunci kemahiran pasif untuk mengurangkan kerosakan PVP,\nBuka skill pasif untuk mengurangi damage PVP,\nปลดล็อกสกิลพาสซีฟเพื่อลดความเสียหายในการต่อสู้ PVP,\nUnlock passive skill to reduce PVP damage,\nI-unlock ang passive skill na nagpapababa ng PVP damage
7011,71,11,,,{22=1000},,,,,,,,
7012,71,12,,,{23=1000},,,,,,,,
7013,71,13,,,{10=20%;9=20%},,,,,,,,
7014,71,14,,,{28=10%;12=15%},,,,,,,,
7015,71,15,,,{14=1500;25=1000},,,,,,,,
7016,71,16,,,{17=1500;19=1000},,,,,,,,
7017,71,17,,,{14=1000;21=1500},,,,,,,,
7018,71,18,,,{1=20%;30=2000},,,,,,,,
7019,71,19,,,{7=20%;8=20%},,,,,,,,
7020,71,20,,,{10=30%;9=30%},,,,,,,,
7021,71,21,,,{28=1500;12=2000},,,,,,,,
7022,71,22,,,{14=1000;25=2000},,,,,,,,
7023,71,23,,,{17=2000;19=2000},,,,,,,,
7024,71,24,,,{15=2000;21=3000},,,,,,,,
8002,81,2,,,{7=80;8=80},,,,,,,,
8003,81,3,,,{24=200},,,,,,,,
8004,81,4,,,{7=5%;8=5%},,,,,,,,
8005,81,5,,,{1=5%},,,,,,,,
8006,81,6,,,{7=5%;8=5%},,,,,,,,
8007,81,7,,,{11=300},,,\nMở khóa kỹ năng bị động tăng sát thương PVP,\nBuka kunci kemahiran pasif untuk meningkatkan kerosakan PVP,\nBuka skill pasif untuk meningkatkan damage PVP,\nปลดล็อกสกิลพาสซีฟเพื่อเพิ่มความเสียหายในการต่อสู้ PVP,\nUnlock passive skill to increase PVP damage,\nI-unlock ang passive skill na nagpapataas ng PVP damage
8008,81,8,,,{1=10%},,,,,,,,
8009,81,9,,,{7=10%;8=10%},,,,,,,,
8010,81,10,,,{11=600},,,\nMở khóa kỹ năng bị động giảm sát thương PVP,\nBuka kunci kemahiran pasif untuk mengurangkan kerosakan PVP,\nBuka skill pasif untuk mengurangi damage PVP,\nปลดล็อกสกิลพาสซีฟเพื่อลดความเสียหายในการต่อสู้ PVP,\nUnlock passive skill to reduce PVP damage,\nI-unlock ang passive skill na nagpapababa ng PVP damage
8011,81,11,,,{22=1000},,,,,,,,
8012,81,12,,,{23=1000},,,,,,,,
8013,81,13,,,{10=20%;9=20%},,,,,,,,
8014,81,14,,,{28=10%;12=15%},,,,,,,,
8015,81,15,,,{14=1500;25=1000},,,,,,,,
8016,81,16,,,{17=1500;19=1000},,,,,,,,
8017,81,17,,,{14=1000;21=1500},,,,,,,,
8018,81,18,,,{1=20%;30=2000},,,,,,,,
8019,81,19,,,{7=20%;8=20%},,,,,,,,
8020,81,20,,,{10=30%;9=30%},,,,,,,,
8021,81,21,,,{28=1500;12=2000},,,,,,,,
8022,81,22,,,{14=1000;25=2000},,,,,,,,
8023,81,23,,,{17=2000;19=2000},,,,,,,,
8024,81,24,,,{15=2000;21=3000},,,,,,,,
9002,91,2,,,{7=80;8=80},,,,,,,,
9003,91,3,,,{24=200},,,,,,,,
9004,91,4,,,{7=5%;8=5%},,,,,,,,
9005,91,5,,,{1=5%},,,,,,,,
9006,91,6,,,{10=5%;9=5%},,,,,,,,
9007,91,7,,,{90=300},,,\nMở khóa kỹ năng bị động tăng sát thương PVP,\nBuka kunci kemahiran pasif untuk meningkatkan kerosakan PVP,\nBuka skill pasif untuk meningkatkan damage PVP,\nปลดล็อกสกิลพาสซีฟเพื่อเพิ่มความเสียหายในการต่อสู้ PVP,\nUnlock passive skill to increase PVP damage,\nI-unlock ang passive skill na nagpapataas ng PVP damage
9008,91,8,,,{1=10%},,,,,,,,
9009,91,9,,,{7=10%;8=10%},,,,,,,,
9010,91,10,,,{90=600},,,\nMở khóa kỹ năng bị động giảm sát thương PVP,\nBuka kunci kemahiran pasif untuk mengurangkan kerosakan PVP,\nBuka skill pasif untuk mengurangi damage PVP,\nปลดล็อกสกิลพาสซีฟเพื่อลดความเสียหายในการต่อสู้ PVP,\nUnlock passive skill to reduce PVP damage,\nI-unlock ang passive skill na nagpapababa ng PVP damage
9011,91,11,,,{22=1000},,,,,,,,
9012,91,12,,,{23=1000},,,,,,,,
9013,91,13,,,{10=20%;9=20%},,,,,,,,
9014,91,14,,,{28=10%;12=15%},,,,,,,,
9015,91,15,,,{14=1500;25=1000},,,,,,,,
9016,91,16,,,{17=1500;19=1000},,,,,,,,
9017,91,17,,,{14=1000;21=1500},,,,,,,,
9018,91,18,,,{1=20%;30=2000},,,,,,,,
9019,91,19,,,{7=20%;8=20%},,,,,,,,
9020,91,20,,,{10=30%;9=30%},,,,,,,,
9021,91,21,,,{28=1500;12=2000},,,,,,,,
9022,91,22,,,{14=1000;25=2000},,,,,,,,
9023,91,23,,,{17=2000;19=2000},,,,,,,,
9024,91,24,,,{15=2000;21=3000},,,,,,,,
10002,101,2,,,{10=80;9=80},,,,,,,,
10003,101,3,,,{25=200},,,,,,,,
10004,101,4,,,{10=5%;9=5%},,,,,,,,
10005,101,5,,,{1=5%},,,,,,,,
10006,101,6,,,{10=5%;9=5%},,,,,,,,
10007,101,7,,,{25=300},,,\nMở khóa kỹ năng bị động giảm sát thương PVP,Buka kunci kemahiran pasif untuk mengurangkan kerosakan PVP,Buka skill pasif untuk mengurangi damage PVP,ปลดล็อกสกิลพาสซีฟเพื่อลดความเสียหายในการต่อสู้ PVP,Unlock passive skill to reduce PVP damage,I-unlock ang passive skill na nagpapababa ng PVP damage
10008,101,8,,,{1=10%},,,,,,,,
10009,101,9,,,{10=10%;9=10%},,,,,,,,
10010,101,10,,,{25=600},,,\nMở khóa kỹ năng bị động tăng sát thương PVP,Buka kunci kemahiran pasif untuk meningkatkan kerosakan PVP,Buka skill pasif untuk meningkatkan damage PVP,ปลดล็อกสกิลพาสซีฟเพื่อเพิ่มความเสียหายในการต่อสู้ PVP,Unlock passive skill to increase PVP damage,I-unlock ang passive skill na nagpapataas ng PVP damage
10011,101,11,,,{22=1000},,,,,,,,
10012,101,12,,,{23=1000},,,,,,,,
10013,101,13,,,{10=20%;9=20%},,,,,,,,
10014,101,14,,,{28=10%;12=15%},,,,,,,,
10015,101,15,,,{14=1500;25=1000},,,,,,,,
10016,101,16,,,{17=1500;19=1000},,,,,,,,
10017,101,17,,,{14=1000;21=1500},,,,,,,,
10018,101,18,,,{1=20%;30=2000},,,,,,,,
10019,101,19,,,{7=20%;8=20%},,,,,,,,
10020,101,20,,,{10=30%;9=30%},,,,,,,,
10021,101,21,,,{28=1500;12=2000},,,,,,,,
10022,101,22,,,{14=1000;25=2000},,,,,,,,
10023,101,23,,,{17=2000;19=2000},,,,,,,,
10024,101,24,,,{15=2000;21=3000},,,,,,,,
11002,111,2,,,{1=300},,,,,,,,
11003,111,3,,,{25=200},,,,,,,,
11004,111,4,,,{10=5%;9=5%},,,,,,,,
11005,111,5,,,{1=5%},,,,,,,,
11006,111,6,,,{7=5%;8=5%},,,,,,,,
11007,111,7,,,{27=300},,,\nMở khóa kỹ năng bị động giảm sát thương PVP,Buka kunci kemahiran pasif untuk mengurangkan kerosakan PVP,Buka skill pasif untuk mengurangi damage PVP,ปลดล็อกสกิลพาสซีฟเพื่อลดความเสียหายในการต่อสู้ PVP,Unlock passive skill to reduce PVP damage,I-unlock ang passive skill na nagpapababa ng PVP damage
11008,111,8,,,{1=10%},,,,,,,,
11009,111,9,,,{10=10%;9=10%},,,,,,,,
11010,111,10,,,{27=600},,,\nMở khóa kỹ năng bị động tăng sát thương PVP,Buka kunci kemahiran pasif untuk meningkatkan kerosakan PVP,Buka skill pasif untuk meningkatkan damage PVP,ปลดล็อกสกิลพาสซีฟเพื่อเพิ่มความเสียหายในการต่อสู้ PVP,Unlock passive skill to increase PVP damage,I-unlock ang passive skill na nagpapataas ng PVP damage
11011,111,11,,,{22=1000},,,,,,,,
11012,111,12,,,{23=1000},,,,,,,,
11013,111,13,,,{10=20%;9=20%},,,,,,,,
11014,111,14,,,{28=10%;12=15%},,,,,,,,
11015,111,15,,,{14=1500;25=1000},,,,,,,,
11016,111,16,,,{17=1500;19=1000},,,,,,,,
11017,111,17,,,{14=1000;21=1500},,,,,,,,
11018,111,18,,,{1=20%;30=2000},,,,,,,,
11019,111,19,,,{7=20%;8=20%},,,,,,,,
11020,111,20,,,{10=30%;9=30%},,,,,,,,
11021,111,21,,,{28=1500;12=2000},,,,,,,,
11022,111,22,,,{14=1000;25=2000},,,,,,,,
11023,111,23,,,{17=2000;19=2000},,,,,,,,
11024,111,24,,,{15=2000;21=3000},,,,,,,,
12002,121,2,,,{7=80;8=80},,,,,,,,
12003,121,3,,,{24=200},,,,,,,,
12004,121,4,,,{7=5%;8=5%},,,,,,,,
12005,121,5,,,{1=5%},,,,,,,,
12006,121,6,,,{7=5%;8=5%},,,,,,,,
12007,121,7,,,{11=300},,,\nMở khóa kỹ năng bị động tăng sát thương PVP,Buka kunci kemahiran pasif untuk meningkatkan kerosakan PVP,Buka skill pasif untuk meningkatkan damage PVP,ปลดล็อกสกิลพาสซีฟเพื่อเพิ่มความเสียหายในการต่อสู้ PVP,Unlock passive skill to increase PVP damage,I-unlock ang passive skill na nagpapataas ng PVP damage
12008,121,8,,,{1=10%},,,,,,,,
12009,121,9,,,{7=10%;8=10%},,,,,,,,
12010,121,10,,,{11=600},,,\nMở khóa kỹ năng bị động giảm sát thương PVP,Buka kunci kemahiran pasif untuk mengurangkan kerosakan PVP,Buka skill pasif untuk mengurangi damage PVP,ปลดล็อกสกิลพาสซีฟเพื่อลดความเสียหายในการต่อสู้ PVP,Unlock passive skill to reduce PVP damage,I-unlock ang passive skill na nagpapababa ng PVP damage
12011,121,11,,,{22=1000},,,,,,,,
12012,121,12,,,{23=1000},,,,,,,,
12013,121,13,,,{10=20%;9=20%},,,,,,,,
12014,121,14,,,{28=10%;12=15%},,,,,,,,
12015,121,15,,,{14=1500;25=1000},,,,,,,,
12016,121,16,,,{17=1500;19=1000},,,,,,,,
12017,121,17,,,{14=1000;21=1500},,,,,,,,
12018,121,18,,,{1=20%;30=2000},,,,,,,,
12019,121,19,,,{7=20%;8=20%},,,,,,,,
12020,121,20,,,{10=30%;9=30%},,,,,,,,
12021,121,21,,,{28=1500;12=2000},,,,,,,,
12022,121,22,,,{14=1000;25=2000},,,,,,,,
12023,121,23,,,{17=2000;19=2000},,,,,,,,
12024,121,24,,,{15=2000;21=3000},,,,,,,,
13002,131,2,,,{1=300},,,,,,,,
13003,131,3,,,{25=200},,,,,,,,
13004,131,4,,,{10=5%;9=5%},,,,,,,,
13005,131,5,,,{1=5%},,,,,,,,
13006,131,6,,,{7=5%;8=5%},,,,,,,,
13007,131,7,,,{25=300},,,\nMở khóa kỹ năng bị động giảm sát thương PVP,Buka kunci kemahiran pasif untuk mengurangkan kerosakan PVP,Buka skill pasif untuk mengurangi damage PVP,ปลดล็อกสกิลพาสซีฟเพื่อลดความเสียหายในการต่อสู้ PVP,Unlock passive skill to reduce PVP damage,I-unlock ang passive skill na nagpapababa ng PVP damage
13008,131,8,,,{1=10%},,,,,,,,
13009,131,9,,,{10=10%;9=10%},,,,,,,,
13010,131,10,,,{25=600},,,\nMở khóa kỹ năng bị động tăng sát thương PVP,Buka kunci kemahiran pasif untuk meningkatkan kerosakan PVP,Buka skill pasif untuk meningkatkan damage PVP,ปลดล็อกสกิลพาสซีฟเพื่อเพิ่มความเสียหายในการต่อสู้ PVP,Unlock passive skill to increase PVP damage,I-unlock ang passive skill na nagpapataas ng PVP damage
13011,131,11,,,{22=1000},,,,,,,,
13012,131,12,,,{23=1000},,,,,,,,
13013,131,13,,,{10=20%;9=20%},,,,,,,,
13014,131,14,,,{28=10%;12=15%},,,,,,,,
13015,131,15,,,{14=1500;25=1000},,,,,,,,
13016,131,16,,,{17=1500;19=1000},,,,,,,,
13017,131,17,,,{14=1000;21=1500},,,,,,,,
13018,131,18,,,{1=20%;30=2000},,,,,,,,
13019,131,19,,,{7=20%;8=20%},,,,,,,,
13020,131,20,,,{10=30%;9=30%},,,,,,,,
13021,131,21,,,{28=1500;12=2000},,,,,,,,
13022,131,22,,,{14=1000;25=2000},,,,,,,,
13023,131,23,,,{17=2000;19=2000},,,,,,,,
13024,131,24,,,{15=2000;21=3000},,,,,,,,
15002,151,2,,,{7=80;8=80},,,,,,,,
15003,151,3,,,{24=200},,,,,,,,
15004,151,4,,,{7=5%;8=5%},,,,,,,,
15005,151,5,,,{1=5%},,,,,,,,
15006,151,6,,,{10=5%;9=5%},,,,,,,,
