2411,Force Leader  ,Lãnh Đạo Thế Lực,Pemimpin Kekuatan  ,Pemimpin Kekuatan  ,Pinuno ng Puwersa  ,Force Leader  ,ผู้นำอำนาจ  ,,,,,,<3353;3251;3543>,,,{7=15%;8=15%}
2412,Second Generation Superhuman  ,Siêu Nhân Thế Hệ Thứ Hai,Adiwira Generasi Kedua  ,Pahlawan Generasi Kedua  ,Superhero ng Ikalawang Henerasyon  ,Second Generation Superhuman  ,ซูเปอร์แมนรุ่นที่สอง  ,,,,,,<3021;3663;1841;2233>,,,{1=15%}
2413,Hot-Blooded Teen  ,Thiếu Niên Nhiệt Huyết,Remaja Bersemangat  ,Remaja Bersemangat  ,Kabataang Masigla  ,Hot-Blooded Teen  ,วัยรุ่นเลือดร้อน  ,,,,,,<631;3543;741>,,,{7=15%;8=15%}
2414,Unlimited Potential  ,Tiềm Năng Vô Hạn,Potensi Tanpa Had  ,Potensi Tak Terbatas  ,Walang Hanggang Potensyal  ,Unlimited Potential  ,ศักยภาพไร้ขีดจำกัด  ,,,,,,<1423;1231;593;3152>,,,{14=500}
2611,Special Function  ,Chức Năng Đặc Biệt,Fungsi Khas  ,Fungsi Khusus  ,Tanging Kakayahan  ,Special Function  ,ฟังก์ชันพิเศษ  ,,,,,,<3181;1381;741;603>,,,{7=20%;8=20%}
2612,Ultimate Control  ,Kiểm Soát Tối Thượng,Kawalan Mutlak  ,Kontrol Tertinggi  ,Ganap na Kontrol  ,Ultimate Control  ,การควบคุมสูงสุด  ,,,,,,<3021;2401;721;972>,,,{1=20%}
2613,Superpower Authority  ,Quyền Lực Siêu Năng,Kuasa Luar Biasa  ,Kekuatan Super  ,Kapangyarihang Supernatural  ,Superpower Authority  ,พลังเหนือธรรมชาติ  ,,,,,,<3143;1393;771;721>,,,{7=20%;8=20%}
2614,Demonic Will  ,Ý Chí Ma Thần,Semangat Dewa Iblis  ,Tekad Dewa Iblis  ,Diwa ng Diyablo  ,Demonic Will  ,จิตวิญญาณแห่งมาร  ,,,,,,<3673;2493;3251;1813>,,,{22=1000}
2711,Martial Force  ,Thế Lực Đấu Võ,Kekuatan Pertarungan  ,Kekuatan Seni Bela Diri  ,Puwersang Mandirigma  ,Martial Force  ,พลังแห่งการต่อสู้  ,,,,,,<1303;692;1903>,,,{7=12%;8=12%}
2712,Power Strength  ,Sức Mạnh Của Quyền,Kekuatan Tumbukan  ,Kekuatan Tinju  ,Lakas ng Kamao  ,Power Strength  ,พลังของหมัด  ,,,,,,<1303;1423;2233>,,,{1=12%}
2713,Skill Control  ,Kiểm Soát Kỹ Năng,Kawalan Kemahiran  ,Kontrol Keterampilan  ,Kontrol sa Kasanayan  ,Skill Control  ,ควบคุมทักษะ  ,,,,,,<731;631;2723>,,,{7=12%;8=12%}
3311,Hope of the Ninja World  ,Hy Vọng Thế Giới Ninja,Harapan Dunia Ninja  ,Harapan Dunia Ninja  ,Pag-asa ng Mundo ng Ninja  ,Hope of the Ninja World  ,ความหวังของโลกนินจา  ,,,,,,<3353;2242>,,,{7=15%;8=15%}
3312,Defeat the Lightning  ,Đánh Bại Sấm Sét,Mengalahkan Kilat  ,Mengalahkan Petir  ,Talunin ang Kidlat  ,Defeat the Lightning  ,พิชิตสายฟ้า  ,,,,,,<593;883;1221>,,,{1=15%}
3313,Battle Enthusiast  ,Người Đam Mê Chiến Đấu,Pencinta Pertarungan  ,Pecinta Pertarungan  ,Mahilig Lumaban  ,Battle Enthusiast  ,ผู้ที่หลงใหลการต่อสู้  ,,,,,,<1423;3171;2023>,,,{7=15%;8=15%}
3314,Skill Peak  ,Đỉnh Cao Kỹ Năng,Kemahiran Tertinggi  ,Puncak Keterampilan  ,Rurok ng Kasanayan  ,Skill Peak  ,ทักษะสูงสุด  ,,,,,,<1313;3152;1911>,,,{23=500}
3331,Hope of the Ninja World  ,Hy Vọng Thế Giới Ninja,Harapan Dunia Ninja  ,Harapan Dunia Ninja  ,Pag-asa ng Mundo ng Ninja  ,Hope of the Ninja World  ,ความหวังของโลกนินจา  ,,,,,,<3353;2242>,,,{7=20%;8=20%}
3332,Defeat the Lightning  ,Đánh Bại Sấm Sét,Mengalahkan Kilat  ,Mengalahkan Petir  ,Talunin ang Kidlat  ,Defeat the Lightning  ,พิชิตสายฟ้า  ,,,,,,<593;883;1221>,,,{1=20%}
3333,Battle Enthusiast  ,Người Đam Mê Chiến Đấu,Pencinta Pertarungan  ,Pecinta Pertarungan  ,Mahilig Lumaban  ,Battle Enthusiast  ,ผู้ที่หลงใหลการต่อสู้  ,,,,,,<1423;3171;2023>,,,{7=20%;8=20%}
3334,Skill Peak  ,Đỉnh Cao Kỹ Năng,Kemahiran Tertinggi  ,Puncak Keterampilan  ,Rurok ng Kasanayan  ,Skill Peak  ,ทักษะสูงสุด  ,,,,,,<1313;3152;1911>,,,{22=1000}
3911,Supernatural Sensation  ,Cảm Ứng Siêu Phàm,Deria Luar Biasa  ,Indra Supernatural  ,Pakiramdam na Hindi Pangkaraniwan  ,Supernatural Sensation  ,สัมผัสเหนือธรรมชาติ  ,,,,,,<1503;572;3663;1841>,,,{7=20%;8=20%}
3912,God’s Responsibility  ,Trách Nhiệm Của Thần,Tanggungjawab Dewa  ,Tanggung Jawab Dewa  ,Tungkulin ng Diyos  ,God’s Responsibility  ,ความรับผิดชอบของเทพ  ,,,,,,<1893;771;263;863>,,,{1=20%}
3913,Vengeful Power  ,Quyền Lực Oán Hận,Kuasa Kebencian  ,Kekuatan Kebencian  ,Kapangyarihan ng Poot  ,Vengeful Power  ,พลังแห่งความแค้น  ,,,,,,<3021;1393;1813;163>,,,{7=20%;8=20%}
3914,Demon God Body  ,Thân Thể Ma Thần,Tubuh Dewa Iblis  ,Tubuh Dewa Iblis  ,Katawan ng Diyablo  ,Demon God Body  ,ร่างมาร  ,,,,,,<1231;263;2023;1253>,,,{22=1000}
4011,Soulmate  ,Bạn Thân Của Linh Hồn,Sahabat Jiwa  ,Sahabat Jiwa  ,Matalik na Kaibigan ng Kaluluwa  ,Soulmate  ,เพื่อนสนิทของวิญญาณ  ,,,,,,<552;3543;493>,,,{7=12%;8=12%}
4012,Humor Group  ,Nhóm Hài Hước,Kumpulan Lucu  ,Kelompok Lucu  ,Nakakatawang Grupo  ,Humor Group  ,กลุ่มตลก  ,,,,,,<2593;793;2843>,,,{1=12%}
4013,Oath Companion  ,Bạn Đồng Hành Thề Nguyền,Teman Bersumpah  ,Rekan Sumpah  ,Kasamang Panata  ,Oath Companion  ,เพื่อนร่วมคำสาบาน  ,,,,,,<3683;2633;13>,,,{7=12%;8=12%}
4911,Rock Solid  ,Vững Như Đá,Kukuh Seperti Batu  ,Kokoh Seperti Batu  ,Tulad ng Bato  ,Rock Solid  ,มั่นคงดั่งหิน  ,,,,,,<1503;863;1903>,,,{7=12%;8=12%}
4912,Tonnage Pressure  ,Áp Lực Tonnage,Tekanan Tonnage  ,Tekanan Berat  ,Presyur na Matindi  ,Tonnage Pressure  ,แรงกดดันตันเนจ  ,,,,,,<3772;2593;1253>,,,{1=12%}
4913,Journey Companion  ,Bạn Đồng Hành Cùng Đi,Teman Sepengembaraan  ,Rekan Perjalanan  ,Kasamang Paglalakbay  ,Journey Companion  ,เพื่อนร่วมเดินทาง  ,,,,,,<3432;2073;2033>,,,{7=12%;8=12%}
5011,The Teacher’s Compassionate Soul  ,Tâm Hồn Nhân Ái Của Người Thầy,Hati Penyayang Guru  ,Hati Penuh Kasih Seorang Guru  ,Pusong Mapagkalinga ng Guro  ,The Teacher’s Compassionate Soul  ,จิตใจเมตตาของครู  ,,,,,,<3353;1241;1772;641>,,,{7=15%;8=15%}
5012,Magical Girl  ,Cô Gái Phép Thuật,Gadis Sihir  ,Gadis Sihir  ,Batang Babaeng May Mahika  ,Magical Girl  ,สาวพ่อมด  ,,,,,,<2401;1393;771>,,,{1=15%}
5013,Magic Control  ,Kiểm Soát Ma Lực,Kawalan Ajaib  ,Kontrol Kekuatan Magis  ,Kontrol sa Kapangyarihang Mahika  ,Magic Control  ,ควบคุมพลังเวท  ,,,,,,<3143;1381;593;603>,,,{7=15%;8=15%}
5014,Infinite Blessings  ,Phúc Lành Vô Hạn,Berkat Tanpa Had  ,Berkat Tanpa Batas  ,Walang Hanggang Biyaya  ,Infinite Blessings  ,พรอันไม่มีที่สิ้นสุด  ,,,,,,<1241;3161;1772>,,,{23=500}
5511,Magical Friends  ,Bạn Bè Phép Thuật,Rakan Sihir  ,Teman Ajaib  ,Kaibigang Mahikero  ,Magical Friends  ,เพื่อนนักเวท  ,,,,,,<771;3283;731>,,,{7=12%;8=12%}
5512,Magic Control  ,Kiểm Soát Ma Lực,Kawalan Ajaib  ,Kontrol Kekuatan Magis  ,Kontrol sa Kapangyarihang Mahika  ,Magic Control  ,ควบคุมพลังเวท  ,,,,,,<1221;503;2843>,,,{1=12%}
5513,IQ Specialist  ,Chuyên Gia IQ,Pakar IQ  ,Ahli IQ  ,Eksperto sa IQ  ,IQ Specialist  ,ผู้เชี่ยวชาญ IQ  ,,,,,,<333;731;3472>,,,{7=12%;8=12%}
5711,Sword Mastery  ,Đỉnh Cao Kiếm,Puncak Pedang  ,Puncak Pedang  ,Tuktok ng Espada  ,Sword Mastery  ,สุดยอดดาบ  ,,,,,,<3303;701;1841;611>,,,{7=20%;8=20%}
5712,Combat Expert  ,Chuyên Gia Chiến Đấu,Pakar Pertempuran  ,Ahli Pertarungan  ,Eksperto sa Labanan  ,Combat Expert  ,ผู้เชี่ยวชาญการต่อสู้  ,,,,,,<1893;2233;3171;611>,,,{1=20%}
5713,Assassin Alliance  ,Liên Minh Sát Thủ,Perikatan Pembunuh  ,Aliansi Pembunuh  ,Samahan ng mga Mamamaslang  ,Assassin Alliance  ,พันธมิตรมือสังหาร  ,,,,,,<1381;1841;1293>,,,{7=20%;8=20%}
5714,Girl Group  ,Nhóm Cô Gái,Kumpulan Gadis  ,Kelompok Gadis  ,Grupo ng mga Babae  ,Girl Group  ,กลุ่มสาวๆ  ,,,,,,<1393;721;3152;503>,,,{14=1000}
5741,Sword Mastery  ,Đỉnh Cao Kiếm,Puncak Pedang  ,Puncak Pedang  ,Tuktok ng Espada  ,Sword Mastery  ,สุดยอดดาบ  ,,,,,,<3303;701;1841;611>,,,{7=25%;8=25%}
5742,Combat Expert  ,Chuyên Gia Chiến Đấu,Pakar Pertempuran  ,Ahli Pertarungan  ,Eksperto sa Labanan  ,Combat Expert  ,ผู้เชี่ยวชาญการต่อสู้  ,,,,,,<1893;2233;3171;611>,,,{1=25%}
5743,Assassin Alliance  ,Liên Minh Sát Thủ,Perikatan Pembunuh  ,Aliansi Pembunuh  ,Samahan ng mga Mamamaslang  ,Assassin Alliance  ,พันธมิตรมือสังหาร  ,,,,,,<1381;1841;1293>,,,{7=25%;8=25%}
5744,Girl Group  ,Nhóm Cô Gái,Kumpulan Gadis  ,Kelompok Gadis  ,Grupo ng mga Babae  ,Girl Group  ,กลุ่มสาวๆ  ,,,,,,<1393;721;3152;503>,,,{14=1000}
5911,School Girl  ,Cô Gái Học Đường,Gadis Sekolah  ,Gadis Sekolah  ,Estudyanteng Babae  ,School Girl  ,สาวมัธยม  ,,,,,,<771;1393;503>,,,{7=15%;8=15%}
5912,Defeat the Lightning  ,Đánh Bại Sấm Sét,Mengalahkan Kilat  ,Mengalahkan Petir  ,Talunin ang Kidlat  ,Defeat the Lightning  ,พิชิตสายฟ้า  ,,,,,,<1221;333;593;883>,,,{1=15%}
5913,Battle Enthusiast  ,Người Đam Mê Chiến Đấu,Pencinta Pertarungan  ,Pecinta Pertarungan  ,Mahilig Lumaban  ,Battle Enthusiast  ,ผู้ที่หลงใหลการต่อสู้  ,,,,,,<1423;3171;2023>,,,{7=15%;8=15%}
5914,Magic Control  ,Kiểm Soát Ma Lực,Kawalan Ajaib  ,Kontrol Kekuatan Magis  ,Kontrol sa Kapangyarihang Mahika  ,Magic Control  ,ควบคุมพลังเวท  ,,,,,,<3143;1381;503;603>,,,{14=500}
6011,Fire Control  ,Kiểm Soát Lửa,Kawalan Api  ,Kontrol Api  ,Kontrol sa Apoy  ,Fire Control  ,ควบคุมไฟ  ,,,,,,<3143;1393;1303;3152>,,,{7=15%;8=15%}
6012,Magic School  ,Học Phái Phép Thuật,Aliran Sihir  ,Aliran Sihir  ,Paaralang Mahika  ,Magic School  ,สายเวทมนตร์  ,,,,,,<721;3143;1813;1381>,,,{1=15%}
6013,Exploration Team  ,Đội Khám Phá,Pasukan Penjelajah  ,Tim Penjelajah  ,Koponan ng Eksplorasyon  ,Exploration Team  ,ทีมสำรวจ  ,,,,,,<1503;1231;3003;2023>,,,{7=15%;8=15%}
6014,Magic Control  ,Kiểm Soát Ma Lực,Kawalan Ajaib  ,Kontrol Kekuatan Magis  ,Kontrol ng Mahikang Lakas  ,Magic Control  ,ควบคุมพลังเวท  ,,,,,,<3143;1381;503;593>,,,{14=500}
6111,Soaring and Earth  ,Bay Lượn Và Đất,Terbang & Bumi  ,Terbang dan Tanah  ,Paglipad at Lupa  ,Soaring and Earth  ,บินและพื้นดิน  ,,,,,,<7001;701;3592;741>,,,{7=15%;8=15%}
6112,Unmatched Fast Sword  ,Kiếm Nhanh Vô Song,Pedang Pantas Tiada Tanding  ,Pedang Cepat Tak Tertandingi  ,Mabilis na Espadang Walang Kapantay  ,Unmatched Fast Sword  ,ดาบเร็วไร้เทียมทาน  ,,,,,,<3303;572;1841;1071>,,,{1=15%}
6113,Combat Expert  ,Chuyên Gia Chiến Đấu,Pakar Pertempuran  ,Ahli Pertarungan  ,Eksperto sa Labanan  ,Combat Expert  ,ผู้เชี่ยวชาญการต่อสู้  ,,,,,,<1893;2233;3171;2023>,,,{7=15%;8=15%}
6114,Ordinary Human Body  ,Thân Thể Người Thường,Tubuh Biasa  ,Tubuh Manusia Biasa  ,Katawang Karaniwang Tao  ,Ordinary Human Body  ,ร่างกายมนุษย์ธรรมดา  ,,,,,,<3303;2242;701;1911>,,,{14=500}
6311,Power of Water  ,Sức Mạnh Dòng Nước,Kekuatan Air  ,Kekuatan Air  ,Lakas ng Tubig  ,Power of Water  ,พลังแห่งสายน้ำ  ,,,,,,<2401;641;3543>,,,{7=15%;8=15%}
6312,Sword Control  ,Kiểm Soát Kiếm,Kawalan Pedang  ,Kontrol Pedang  ,Kontrol ng Espada  ,Sword Control  ,ควบคุมดาบ  ,,,,,,<3303;572;1841;611>,,,{1=15%}
6313,Gentle Soul  ,Tâm Hồn Dịu Dàng,Jiwa Lembut  ,Jiwa Lembut  ,Kaluluwang Banayad  ,Gentle Soul  ,จิตใจอ่อนโยน  ,,,,,,<1941;1951;3161;3003>,,,{7=15%;8=15%}
6314,Unlimited Potential  ,Tiềm Năng Vô Hạn,Potensi Tanpa Had  ,Potensi Tak Terbatas  ,Walang Hanggang Potensyal  ,Unlimited Potential  ,ศักยภาพไร้ขีดจำกัด  ,,,,,,<1423;1231;593;741>,,,{14=500}
6411,Power of Water  ,Sức Mạnh Dòng Nước,Kekuatan Air  ,Kekuatan Air  ,Lakas ng Tubig  ,Power of Water  ,พลังแห่งสายน้ำ  ,,,,,,<2401;631;3543>,,,{7=15%;8=15%}
6412,Exotic Bloodline  ,Dòng Máu Dị Tộc,Darah Asing  ,Darah Ras Asing  ,Dugong Banyagang Lahi  ,Exotic Bloodline  ,สายเลือดต่างเผ่า  ,,,,,,<1841;163;2073>,,,{1=15%}
6413,Girl Group  ,Nhóm Cô Gái,Kumpulan Gadis  ,Kelompok Gadis  ,Grupo ng mga Babae  ,Girl Group  ,กลุ่มสาวๆ  ,,,,,,<1393;721;3152;503>,,,{7=15%;8=15%}
6414,Infinite Blessings  ,Phúc Lành Vô Hạn,Berkat Tanpa Had  ,Berkat Tanpa Batas  ,Walang Hanggang Biyaya  ,Infinite Blessings  ,พรอันไม่มีที่สิ้นสุด  ,,,,,,<1241;3161;1772>,,,{23=500}
6911,Violence Group  ,Nhóm Bạo Lực,Kumpulan Ganas  ,Kelompok Brutal  ,Grupo ng Bayolente  ,Violence Group  ,กลุ่มรุนแรง  ,,,,,,<2013;2963;1911>,,,{7=10%;8=10%}
6912,Group Friendship  ,Tình Bạn Tập Thể,Persahabatan Kolektif  ,Persahabatan Kolektif  ,Kolektibong Pagkakaibigan  ,Group Friendship  ,มิตรภาพกลุ่ม  ,,,,,,<3543;3432;402>,,,{1=10%}
6913,Brave Acceptance  ,Dũng Cảm Đảm Nhận,Keberanian Menghadapi  ,Berani Menghadapi  ,Matapang na Harapin  ,Brave Acceptance  ,กล้ารับผิดชอบ  ,,,,,,<493;2073;3511>,,,{7=10%;8=10%}
7011,Soaring and Earth  ,Bay Lượn Và Đất,Terbang & Bumi  ,Terbang dan Tanah  ,Paglipad at Lupa  ,Soaring and Earth  ,บินและพื้นดิน  ,,,,,,<7001;611;3592;741>,,,{7=20%;8=20%}
7012,Unmatched Fast Sword  ,Kiếm Nhanh Vô Song,Pedang Pantas Tiada Tanding  ,Pedang Cepat Tak Tertandingi  ,Mabilis na Espadang Walang Kapantay  ,Unmatched Fast Sword  ,ดาบเร็วไร้เทียมทาน  ,,,,,,<3303;572;1841;1071>,,,{1=20%}
7013,Combat Expert  ,Chuyên Gia Chiến Đấu,Pakar Pertempuran  ,Ahli Pertarungan  ,Eksperto sa Labanan  ,Combat Expert  ,ผู้เชี่ยวชาญการต่อสู้  ,,,,,,<1893;2233;3171;2023>,,,{7=20%;8=20%}
7014,Ordinary Human Body  ,Thân Thể Người Thường,Tubuh Biasa  ,Tubuh Manusia Biasa  ,Katawang Karaniwang Tao  ,Ordinary Human Body  ,ร่างกายมนุษย์ธรรมดา  ,,,,,,<3303;2242;611;1911>,,,{14=1000}
7111,Tech Innovation  ,Sáng Tạo Công Nghệ,Inovasi Teknologi  ,Kreasi Teknologi  ,Makabagong Teknolohiya  ,Tech Innovation  ,นวัตกรรมเทคโนโลยี  ,,,,,,<3181;3592;3683>,,,{7=15%;8=15%}
7112,Sword Control  ,Kiểm Soát Kiếm,Kawalan Pedang  ,Kontrol Pedang  ,Kontrol ng Espada  ,Sword Control  ,ควบคุมดาบ  ,,,,,,<3303;572;1841;611>,,,{1=15%}
7113,Dual Blade Unity  ,Song Kiếm Hợp Bích,Gabungan Pedang Berkembar  ,Dua Pedang Bersatu  ,Pinagsanib na Espada  ,Dual Blade Unity  ,ดาบคู่ประสานใจ  ,,,,,,<701;611;1381>,,,{7=15%;8=15%}
7114,Unmatched Queen  ,Nữ Hoàng Vô Song,Ratu Tiada Tanding  ,Ratu Tak Tertandingi  ,Walang Kapantay na Reyna  ,Unmatched Queen  ,ราชินีไร้เทียมทาน  ,,,,,,<3353;3161;1772;863>,,,{23=500}
7211,Frozen Thousand Miles  ,Băng Đóng Ngàn Dặm,Bekuan Seribu Batu  ,Es Membeku Ribuan Mil  ,Yelong Nagyeyelo ng Libong Milya  ,Frozen Thousand Miles  ,น้ำแข็งปกคลุมพันลี้  ,,,,,,<3021;1082>,,,{7=20%;8=20%}
7212,Legendary Magic  ,Huyền Thoại Phép Thuật,Legenda Ajaib  ,Legenda Sihir  ,Alamat ng Mahika  ,Legendary Magic  ,ตำนานเวทมนตร์  ,,,,,,<2401;263;1813;593>,,,{1=20%}
7213,Witching Moment  ,Thời Khắc Phù Thủy,Saat Penyihir  ,Momen Penyihir  ,Sandali ng Mangkukulam  ,Witching Moment  ,ช่วงเวลาแม่มด  ,,,,,,<3143;771;503>,,,{7=20%;8=20%}
7214,Girl Group  ,Nhóm Cô Gái,Kumpulan Gadis  ,Kelompok Gadis  ,Grupo ng mga Babae  ,Girl Group  ,กลุ่มสาวๆ  ,,,,,,<1393;2401;3152;641>,,,{22=1000}
7311,Legendary Mage  ,Huyền Thoại Pháp Sư,Legenda Ahli Sihir  ,Legenda Penyihir  ,Alamat ng Salamangkero  ,Legendary Mage  ,ตำนานจอมเวท  ,,,,,,<1381;3283;603>,,,{7=15%;8=15%}
7312,Defeat the Lightning  ,Đánh Bại Sấm Sét,Mengalahkan Kilat,Mengalahkan Petir  ,Talunin ang Kidlat  ,Defeat the Lightning  ,พิชิตสายฟ้า  ,,,,,,<333;883;1221>,,,{1=15%}
7313,Ordinary Human Body  ,Thân Thể Người Thường,Tubuh Biasa  ,Tubuh Manusia Biasa  ,Katawang Karaniwang Tao  ,Ordinary Human Body  ,ร่างกายมนุษย์ธรรมดา  ,,,,,,<3303;2242;1911>,,,{7=15%;8=15%}
7314,Superpower Companion  ,Bạn Đồng Hành Siêu Năng,Teman Kuasa Super  ,Rekan Supernatural  ,Kasamang May Kakayahang Supernatural  ,Superpower Companion  ,เพื่อนร่วมทางพลังพิเศษ  ,,,,,,<2493;1893;721;503>,,,{23=500}
7411,Holy Fire Control  ,Kiểm Soát Thánh Hỏa,Kawalan Api Suci  ,Kontrol Api Suci  ,Kontrol ng Banal na Apoy  ,Holy Fire Control  ,ควบคุมไฟศักดิ์สิทธิ์  ,,,,,,<1393;242;603>,,,{7=15%;8=15%}
7412,Power of Fire  ,Sức Mạnh Lửa,Kekuatan Api  ,Kekuatan Api  ,Lakas ng Apoy  ,Power of Fire  ,พลังแห่งไฟ  ,,,,,,<3152;1303;1612>,,,{1=15%}
7413,Immortal Body  ,Thân Thể Bất Tử,Tubuh Abadi  ,Tubuh Abadi  ,Katawang Walang Kamatayan  ,Immortal Body  ,ร่างอมตะ  ,,,,,,<263;3021;3673;393>,,,{7=15%;8=15%}
7414,Unlimited Potential  ,Tiềm Năng Vô Hạn,Potensi Tanpa Had  ,Potensi Tak Terbatas  ,Walang Hanggang Potensyal  ,Unlimited Potential  ,ศักยภาพไร้ขีดจำกัด  ,,,,,,<1423;1231;593;631>,,,{14=500}
7611,Wind-Fast Sword  ,Kiếm Nhanh Như Gió,Pedang Sepantas Angin  ,Pedang Cepat Seperti Angin  ,Espada Kasingbilis ng Hangin  ,Wind-Fast Sword  ,ดาบไวดั่งลม  ,,,,,,<701;1841;611;1071>,,,{7=20%;8=20%}
7612,Battle Instinct  ,Bản Năng Chiến Đấu,Naluri Bertarung  ,Naluri Bertarung  ,Likas na Instinct sa Laban  ,Battle Instinct  ,สัญชาตญาณนักสู้  ,,,,,,<1313;572;3003;741>,,,{1=20%}
7613,Beloved Idol  ,Thần Tượng Được Yêu Thích,Idola Disayangi  ,Idola Favorit  ,Paboritong Idolo  ,Beloved Idol  ,ไอดอลขวัญใจ  ,,,,,,<2493;7001;641;593>,,,{7=20%;8=20%}
7614,Demonic Seed  ,Hạt Giống Ma Thần,Benih Dewa Iblis  ,Benih Dewa Iblis  ,Binhi ng Diyos ng Demonyo  ,Demonic Seed  ,เมล็ดพันธุ์จอมมาร  ,,,,,,<3673;1893;3251;3161>,,,{14=1000}
7711,Master of Magic  ,Thành Thạo Phép Thuật,Penguasaan Sihir  ,Ahli Sihir  ,Bihasa sa Mahika  ,Master of Magic  ,เชี่ยวชาญเวทมนตร์  ,,,,,,<263;3021;3181;1813>,,,{7=20%;8=20%}
7712,Magical Girl  ,Cô Gái Phép Thuật,Gadis Sihir  ,Gadis Penyihir  ,Batang Babaeng May Mahika  ,Magical Girl  ,สาวพ่อมด  ,,,,,,<2401;1393;503>,,,{1=20%}
7713,Magic Control  ,Kiểm Soát Ma Lực,Kawalan Ajaib  ,Kontrol Kekuatan Magis  ,Kontrol ng Mahikang Lakas  ,Magic Control  ,ควบคุมพลังเวท  ,,,,,,<3143;1381;593;603>,,,{7=20%;8=20%}
