VariableName,_beizhu,weight,type,group,res,position,position_tw,position_en,position_vn,position_kr,zOrder,touchSize,scale,action,randLib,unfreezeAward,shape_shifter,baibianRandLib,chattext1,chattext1_tw,chattext1_en,chattext1_vn,chattext1_kr,chattext2,chattext2_tw,chattext2_en,chattext2_vn,chattext2_kr,chattext3,chattext3_tw,chattext3_en,chattext3_vn,chattext3_kr,offPos,overture,activityIds,activityPosition,activityScale,active
9,,,4,41,zhuchangjing/zjm_mmx.skel,,,,,,13,,,,130,,,131,,,,,,,,,,,,,,,,{y=40;x=-140},,,,,
10,,,4,41,zhuchangjing/zjm_pqlz.skel,,,,,,13,,,,130,,,131,,,,,,,,,,,,,,,,{y=0;x=80},TRUE,<100105>,{y=372;x=3617},4,
11,,,5,51,zhuchangjing/zjm_dds.skel,,,,,,12,,,,130,,,131,,,,,,,,,,,,,,,,,,,,,
12,,,6,61,zhuchangjing/zjm_scg.skel,,,,,,12,,,,130,,,131,,,,,,,,,,,,,,,,{y=50;x=-130},,,,,
13,,,6,61,zhuchangjing/zjm_trq.skel,,,,,,13,,,,130,,,131,,,,,,,,,,,,,,,,{y=-100;x=-100},,,,,
14,,,6,61,zhuchangjing/zjm_xbb.skel,,,,,,13,,,,130,,,131,,,,,,,,,,,,,,,,{y=0;x=-100},,,,,
15,,,7,71,zhuchangjing/bitixiong.skel,,,,,,15,{width=80;height=100},,,130,,,131,,,,,,,,,,,,,,,,{y=60;x=-90},,<2485>,{y=230;x=2266},,FALSE
16,,,8,81,zhuchangjing/bojiaman.skel,,,,,,13,{width=90;height=100},,,130,{libs=<136>},,131,,,,,,,,,,,,,,,,{y=80;x=80},TRUE,,,,FALSE
17,,,9,91,zhuchangjing/chuanzhuoxiong.skel,,,,,,,{width=160;height=150},,,130,,,131,,,,,,,,,,,,,,,,{y=80;x=240},TRUE,,,,FALSE
18,,,10,101,zhuchangjing/daidaishou.skel,,,,,,11,{width=70;height=80},2.4,,130,{libs=<136>},,131,,,,,,,,,,,,,,,,{y=40;x=130},TRUE,,,,FALSE
19,,,8,81,zhuchangjing/haibaoqiu.skel,,,,,,14,{width=70;height=70},,,130,{libs=<136>},,131,,,,,,,,,,,,,,,,{y=40;x=126},TRUE,,,,FALSE
20,,,8,81,zhuchangjing/kabishou2.skel,,,,,,13,{width=80;height=120},,,130,{libs=<136>},,131,,,,,,,,,,,,,,,,{y=30;x=170},TRUE,,,,FALSE
21,,,10,101,zhuchangjing/kedaya.skel,,,,,,12,{width=70;height=80},2.4,,130,{libs=<136>},,131,,,,,,,,,,,,,,,,{y=60;x=-74},,,,,FALSE
22,,,7,71,zhuchangjing/minibing.skel,,,,,,13,{width=60;height=60},,,130,,,131,,,,,,,,,,,,,,,,{y=44;x=-82},,<2485>,{y=481;x=2303},,FALSE
23,,,7,71,zhuchangjing/moqiangrenou.skel,,,,,,14,{width=100;height=170},,,130,,,131,,,,,,,,,,,,,,,,{y=144;x=56},TRUE,<2485>,{y=233;x=2670},,FALSE
24,,,7,71,zhuchangjing/suannaixian.skel,,,,,,13,{width=100;height=130},,,130,,,131,,,,,,,,,,,,,,,,{y=120;x=-90},,<2485>,{y=243;x=2435},,FALSE
25,,,11,111,zhuchangjing/pikaqiu.skel,,,,,,13,{width=80;height=120},,,130,,,131,,,,,,,,,,,,,,,,{y=-20;x=-154},,,,,FALSE
26,,,11,111,zhuchangjing/miaomiao.skel,,,,,,13,{width=80;height=120},,,130,,,131,,,,,,,,,,,,,,,,{y=-40;x=-74},,,,,FALSE
27,,,12,121,zhuchangjingpokmon/wsjzh.skel,,,,,,,{width=200;height=200},,,130,,FALSE,,,,,,,,,,,,,,,,,,,,,,
1000,,,1000,10001,zhuchangjing/zjm_mnq1.skel,,,,,,2,{width=120;height=80},,FALSE,132,,,,,,,,,,,,,,,,,,,,,<2320>,{y=551;x=463},,
1001,,,1000,10002,zhuchangjing/zjm_mnq2.skel,,,,,,2,{width=120;height=120},,FALSE,132,,,,,,,,,,,,,,,,,,,,,,,,
1002,,0,1000,10003,zhuchangjing/zjm_mnq3.skel,,,,,,2,{width=120;height=120},,FALSE,132,,,,,,,,,,,,,,,,,,,,,,,,
1003,,,1000,10004,zhuchangjing/zjm_mnq3.skel,,,,,,2,{width=100;height=200},,FALSE,132,,,,,,,,,,,,,,,,,,,,,,,,
