VariableName,_name,_preBehaviour,preBehaviour,damageHit,nature,damageAdd,damageDeepen,dmgDelta,natureDelta,gateDelta,reduce,strikeBlock,extraAdd,fatal,behead,damageByHpRate,finalSkillAdd,ultimateAdd,skillPower,buffAdd,randFix,limit,calcInternalDamageFinish,ignoreRoundDamage,stealth,leave,immuneAllDamage,immuneDamage,immunePhysicalDamage,immuneSpecialDamage,keepHpUnChanged,groupShield,delayDamage,damageAllocate,damageLink,protection,shield,freeze,finalRate,lockHp,rebound,suckblood,result
141,,,"{reduce=<setValue(list(""defenceIgnore""),list(ifElse(more(attacker:star(),7) and target:hasBuffGroup(1500,1510,1520),attacker:defenceIgnore()*10000+2000,attacker:defenceIgnore()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,,,"{reduce=<setValue(list(""specialDefenceIgnore""),list(ifElse( target:hasBuffGroup(1500,1510,1520),attacker:specialDefenceIgnore()*10000+2000+(attacker:skillLv(156) or 0)*10-10,attacker:specialDefenceIgnore()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jump,,,,,,,,,,,
301,,,,,,,,,,,,,,,,,,,,,,,,,,,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,,,,
1003,,,,,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,,,multiply,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,
1005,,,,,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,,,,,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jump,,,,
2003,,,,,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,
3001,,,,,multiply,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3002,,,,,multiply,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3003,,,,,multiply,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3004,,,,,multiply,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3005,,,,,multiply,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3006,,,,,multiply,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3007,,,,,multiply,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3008,,,,,multiply,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3009,,,,,multiply,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3010,,,,,multiply,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3011,,,,,multiply,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3012,,,,,multiply,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3013,,,,,multiply,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3014,,,,,multiply,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3015,,,,,multiply,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3016,,,,,multiply,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3017,,,,,multiply,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3018,,,,,multiply,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5411,,,,,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,out,,,,,,,,,,,,,,,,,,,,
5412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7611,,,"{damageAdd=<setValue(list(""ignoreDamageSub""),list(ifElse(more(attacker:star(),7) and more(attacker:speed(),target:speed()),attacker:ignoreDamageSub()*10000+1000,attacker:ignoreDamageSub()*10000)))>;reduce=<setValue(list(""specialDefenceIgnore""),list(ifElse(more(attacker:star(),7) and more(attacker:speed(),target:speed()),attacker:specialDefenceIgnore()*10000+2000,attacker:specialDefenceIgnore()*10000 )))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
7612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8011,,,"{buffAdd=<setValue(list(""damageRateAdd""),list(ifElse(target:hasBuffGroup(1301,1311,1321),attacker:damageRateAdd()+0.3,attacker:damageRateAdd())))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
8012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000,,,,,multiply,,,,,,,,multiply|0.05,,,,,,,multiply,,,out,,,,,,,,,,,,,,,,,,,,
10001,,,"{reduce=<setValue(list(""specialDefenceIgnore""),list(ifElse(more(attacker:speed(),target:speed()),attacker:specialDefenceIgnore()*10000+3500,attacker:specialDefenceIgnore()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
10002,,,"{shield=<setValue(list(""shieldHp""),list(ifElse( more(attacker:star() , 10),0,target:shieldHp() )))>}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13011,,,"{reduce=<setValue(list(""specialDefenceIgnore""),list(ifElse(more(attacker:star(),7) and target:hasBuffGroup(1500,1510,1520),attacker:specialDefenceIgnore()*10000+2000,attacker:specialDefenceIgnore()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
13012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13041,,,"{reduce=<setValue(list(""specialDefenceIgnore""),list(ifElse(more(attacker:star(),7) and target:hasBuffGroup(1500,1510,1520),attacker:specialDefenceIgnore()*10000+2000,attacker:specialDefenceIgnore()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
13042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13043,,,"{strike=setValue(list(""strikeDamage""),list((target:hasBuffGroup(c.zhuoshao_oc()) and attacker:strikeDamage()*10000+8000 or attacker:strikeDamage()*10000)));reduce=<setValue(list(""specialDefenceIgnore""),list(ifElse(more(attacker:star(),7) and target:hasBuffGroup(c.zhuoshao_oc()),attacker:specialDefenceIgnore()*10000+2000,attacker:specialDefenceIgnore()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
13044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13961,,,,multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,,,,,,,,,,,,,,,,,,,,,
13962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19414,,,,multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,jump,jump,
19415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jump,jump,
19611,,,,multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
19612,,,"{calcInternalDamageFinish=<setValue(list(""calFinalDamage""),list(calFinalDamage*(moreE(attacker:sumBuffOverlayByGroup(1961132),6) and 0.8*0.8*0.8*0.8*0.8 or (moreE(attacker:sumBuffOverlayByGroup(1961132),5) and 0.8*0.8*0.8*0.8 or (moreE(attacker:sumBuffOverlayByGroup(1961132),4) and 0.8*0.8*0.8 or (moreE(attacker:sumBuffOverlayByGroup(1961132),3) and 0.8*0.8 or (moreE(attacker:sumBuffOverlayByGroup(1961132),2) and 0.8 or (moreE(attacker:sumBuffOverlayByGroup(1961132),1) and 1 or 1))))))))>}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19621,,,"{buffAdd=<setValue(list(""damageRateAdd""),list((arg.natureFlag==""strong"" and attacker:damageRateAdd()+(0.6) or attacker:damageRateAdd() )))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
19622,,,"{calcInternalDamageFinish=<setValue(list(""calFinalDamage""),list(calFinalDamage*(moreE(attacker:sumBuffOverlayByGroup(1961132),6) and 1*1*1*1*1 or (moreE(attacker:sumBuffOverlayByGroup(1961132),5) and 1*1*1*1 or (moreE(attacker:sumBuffOverlayByGroup(1961132),4) and 1*1*1 or (moreE(attacker:sumBuffOverlayByGroup(1961132),3) and 1*1 or (moreE(attacker:sumBuffOverlayByGroup(1961132),2) and 1 or (moreE(attacker:sumBuffOverlayByGroup(1961132),1) and 1 or 1))))))))>}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19623,,,,,multiply,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,jump,,,,,
19631,,,,,multiply,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,out,,,,,,,,,,,,,,,,,,,,
19632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19641,,,,,multiply,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,out,,,,,,,,,,,,,,,,,,,,
19642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19811,,,,multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
19812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jump,,,,,,,,,,,,,
19911,,,,,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,,,multiply,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,
22411,,,"{buffAdd=<setValue(list(""damageRateAdd""),list((arg.natureFlag==""strong"" and attacker:damageRateAdd()+(0.2+(attacker:skillLv(22416,22426) or 0)*0.0015-0.0015) or attacker:damageRateAdd() )))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
22412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22421,,,"{buffAdd=<setValue(list(""damageRateAdd""),list((arg.natureFlag==""strong"" and attacker:damageRateAdd()+(0.2+(attacker:skillLv(22416,22426) or 0)*0.0015-0.0015) or attacker:damageRateAdd() )))>;strike=<setValue(list(""strike""),list((arg.natureFlag==""strong"" and attacker:strike()*10000+2000 or attacker:strike()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
22422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23511,,,"{reduce=<setValue(list(""specialDefenceIgnore""),list(ifElse(more(target:specialDefence(),target:defence()),attacker:specialDefenceIgnore()*10000+300+attacker:level()*3-3,attacker:specialDefenceIgnore()*10000 )))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
23512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23611,,,"{buffAdd=<setValue(list(""damageRateAdd""),list(ifElse(more(attacker:specialDefence(),target:specialDefence()),attacker:damageRateAdd()+(moreThan(div((attacker:specialDefence()-target:specialDefence()),attacker:specialDefence(),attacker:specialDefence()/1000)*1,0.03) and 0.03 or div((attacker:specialDefence()-target:specialDefence()),attacker:specialDefence(),attacker:specialDefence()/1000)*1),attacker:damageRateAdd())))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
23612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24421,,,"{damageAdd=<setValue(list(""damageSub""),list(ifElse(more(target:damageSub(),attacker:damageAdd()),target:damageSub()*10000-1000,target:damageSub()*10000)))>;reduce=<setValue(list(""specialDefenceIgnore""),list(attacker:specialDefenceIgnore()*10000+1000))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
24422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24811,,,"{buffAdd=<setValue(list(""damageRateAdd""),list(ifElse(target:hasBuffGroup(11),attacker:damageRateAdd()+0.3+(attacker:skillLv(24816,24826,24836) or 0)*0.002-0.002+ifElse(moreEqualThan(attacker:star(), 8),0.2,0),attacker:damageRateAdd())))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
24812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29911,,,"{strike=<setValue(list(""strike""),list(ifElse(more(attacker:star(),11) and target:hasBuff(2991127),attacker:strike()*10000+2000,attacker:strike()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
29912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30111,,,"{strike=<setValue(list(""strike"",""strikeDamage""),list(ifElse(more(attacker:speed(),target:speed()),attacker:strike()*10000+(self:flagZ3() and 5000 or 3000),attacker:strike()*10000),ifElse(more(attacker:speed(),target:speed()),attacker:strikeDamage()*10000+3000,attacker:strikeDamage()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
30112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31411,,,,multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
