VariableName,drawType,startCount,weightEnd,lotteryWeight5,drawTriggerType,lotteryType3,effectLimit,probLimit,lotteryWeight10,lotteryType10,lotteryWeight9,lotteryType9,lotteryType1,lotteryWeight8,lotteryType5,weightStart,lotteryType7,lotteryWeight4,lotteryWeight2,probInit,lotteryType8,lotteryWeight7,lotteryWeight6,lotteryType6,probStep,lotteryType4,lotteryWeight3,lotteryType2,probMiniTimes,lotteryWeight1,probEffectInterval,drawTriggerTimes
116,recharge_wheel_2070,,,,0,,,,,,,,{10023=1},,,,,,1,,,,,,,,,{10023=1},,100,,1
117,recharge_wheel_2107,,,,0,,,,,,,,{10022=1},,,,,,1,,,,,,,,,{10022=1},,100,,1
118,recharge_wheel_2130,,,,0,,,,,,,,{10023=1},,,,,,1,,,,,,,,,{10023=1},,100,,1
119,recharge_wheel_2217,,,,0,,,,,,,,{10022=1},,,,,,1,,,,,,,,,{10022=1},,100,,1
120,recharge_wheel_2240,,,,0,,,,,,,,{10023=1},,,,,,1,,,,,,,,,{10023=1},,100,,1
121,recharge_wheel_2287,,,,0,,,,,,,,{10022=1},,,,,,1,,,,,,,,,{10022=1},,100,,1
122,recharge_wheel_2330,,,,0,,,,,,,,{10023=1},,,,,,1,,,,,,,,,{10023=1},,100,,1
123,recharge_wheel_2367,,,,0,,,,,,,,{10022=1},,,,,,1,,,,,,,,,{10022=1},,100,,1
124,recharge_wheel_2410,,,,0,,,,,,,,{10023=1},,,,,,1,,,,,,,,,{10023=1},,100,,1
125,recharge_wheel_2467,,,,0,,,,,,,,{10022=1},,,,,,1,,,,,,,,,{10022=1},,100,,1
126,recharge_wheel_2500,,,,0,,,,,,,,{10023=1},,,,,,1,,,,,,,,,{10023=1},,100,,1
127,recharge_wheel_2567,,,,0,,,,,,,,{10022=1},,,,,,1,,,,,,,,,{10022=1},,100,,1
128,recharge_wheel_2600,,,,0,,,,,,,,{10023=1},,,,,,1,,,,,,,,,{10023=1},,100,,1
129,recharge_wheel_2667,,,,0,,,,,,,,{10022=1},,,,,,1,,,,,,,,,{10022=1},,100,,1
130,recharge_wheel_2690,,,,0,,,,,,,,{10023=1},,,,,,1,,,,,,,,,{10023=1},,100,,1
131,recharge_wheel_2737,,,,0,,,,,,,,{10022=1},,,,,,1,,,,,,,,,{10022=1},,100,,1
132,recharge_wheel_2790,,,,0,,,,,,,,{10023=1},,,,,,1,,,,,,,,,{10023=1},,100,,1
133,recharge_wheel_2847,,,,0,,,,,,,,{10022=1},,,,,,1,,,,,,,,,{10022=1},,100,,1
134,recharge_wheel_2870,,,,0,,,,,,,,{10023=1},,,,,,1,,,,,,,,,{10023=1},,100,,1
135,recharge_wheel_2937,,,,0,,,,,,,,{10022=1},,,,,,1,,,,,,,,,{10022=1},,100,,1
136,recharge_wheel_2960,,,,0,,,,,,,,{10023=1},,,,,,1,,,,,,,,,{10023=1},,100,,1
137,recharge_wheel_3017,,,,0,,,,,,,,{10022=1},,,,,,1,,,,,,,,,{10022=1},,100,,1
138,recharge_wheel_3060,,,,0,,,,,,,,{10023=1},,,,,,1,,,,,,,,,{10023=1},,100,,1
139,recharge_wheel_3107,,,,0,,,,,,,,{10022=1},,,,,,1,,,,,,,,,{10022=1},,100,,1
140,recharge_wheel_3140,,,,0,,,,,,,,{10023=1},,,,,,1,,,,,,,,,{10023=1},,100,,1
141,recharge_wheel_3187,,,,0,,,,,,,,{10022=1},,,,,,1,,,,,,,,,{10022=1},,100,,1
142,recharge_wheel_3260,,,,0,,,,,,,,{10023=1},,,,,,1,,,,,,,,,{10023=1},,100,,1
143,recharge_wheel_20041,,,,0,,,,,,,,{10022=1},,,,,,1,,,,,,,,,{10022=1},,100,,1
201,liveness_wheel1_13001,,,,0,,,,,,,,{20011=1},,,,,,10,,,,,,,,,{20012=1},,100,,1
202,liveness_wheel5_13001,,,,0,,,,,,,,{20011=5},,,,,,1,,,,,,,,,{20011=4;20012=1},,100,,1
301,liveness_wheel1_20076,,,,0,,,,,,,,{10021=1},,,,,,100,,,,,,,,,{10021=1},,100,,1
302,liveness_wheel5_20076,,,,0,,,,,,,,{10021=5},,,,,,100,,,,,,,,,{10021=5},,100,,1
311,liveness_wheel1_60002,,,,0,,,,,,,,{10021=1},,,,,,100,,,,,,,,,{10021=1},,100,,1
312,liveness_wheel5_60002,,,,0,,,,,,,,{10021=5},,,,,,100,,,,,,,,,{10021=5},,100,,1
321,liveness_wheel1_2052,,,,0,,,,,,,,{10021=1},,,,,,100,,,,,,,,,{10021=1},,100,,1
322,liveness_wheel5_2052,,,,0,,,,,,,,{10021=5},,,,,,100,,,,,,,,,{10021=5},,100,,1
331,liveness_wheel1_2520,,,,0,,,,,,,,{10021=1},,,,,,100,,,,,,,,,{10021=1},,100,,1
332,liveness_wheel5_2520,,,,0,,,,,,,,{10021=5},,,,,,100,,,,,,,,,{10021=5},,100,,1
341,liveness_wheel1_3270,,,,0,,,,,,,,{10021=1},,,,,,100,,,,,,,,,{10021=1},,100,,1
342,liveness_wheel5_3270,,,,0,,,,,,,,{10021=5},,,,,,100,,,,,,,,,{10021=5},,100,,1
343,liveness_wheel1_202309052,,,,0,,,,,,,,{10021=1},,,,,,100,,,,,,,,,{10021=1},,100,,1
344,liveness_wheel5_202309052,,,,0,,,,,,,,{10021=5},,,,,,100,,,,,,,,,{10021=5},,100,,1
345,recharge_wheel_202309049,,,,0,,,,,,,,{10022=1},,,,,,1,,,,,,,,,{10022=1},,100,,1
346,liveness_wheel1_202311008,,,,0,,,,,,,,{10021=1},,,,,,100,,,,,,,,,{10021=1},,100,,1
347,liveness_wheel5_202311008,,,,0,,,,,,,,{10021=5},,,,,,100,,,,,,,,,{10021=5},,100,,1
348,recharge_wheel_202310035,,,,0,,,,,,,,{10022=1},,,,,,1,,,,,,,,,{10022=1},,100,,1
349,recharge_wheel_202310059,,,,0,,,,,,,,{10022=1},,,,,,1,,,,,,,,,{10022=1},,100,,1
350,recharge_wheel_202311029,,,,0,,,,,,,,{10022=1},,,,,,1,,,,,,,,,{10022=1},,100,,1
351,liveness_wheel1_202312008,,,,0,,,,,,,,{10021=1},,,,,,100,,,,,,,,,{10021=1},,100,,1
352,liveness_wheel5_202312008,,,,0,,,,,,,,{10021=5},,,,,,100,,,,,,,,,{10021=5},,100,,1
353,recharge_wheel_202312041,,,,0,,,,,,,,{10022=1},,,,,,1,,,,,,,,,{10022=1},,100,,1
354,recharge_wheel_202401024,,,,0,,,,,,,,{10022=1},,,,,,1,,,,,,,,,{10022=1},,100,,1
355,liveness_wheel1_202401032,,,,0,,,,,,,,{10021=1},,,,,,100,,,,,,,,,{10021=1},,100,,1
356,liveness_wheel5_202401032,,,,0,,,,,,,,{10021=5},,,,,,100,,,,,,,,,{10021=5},,100,,1
357,liveness_wheel1_202401062,,,,0,,,,,,,,{10021=1},,,,,,100,,,,,,,,,{10021=1},,100,,1
358,liveness_wheel5_202401062,,,,0,,,,,,,,{10021=5},,,,,,100,,,,,,,,,{10021=5},,100,,1
359,liveness_wheel1_202402008,,,,0,,,,,,,,{10021=1},,,,,,100,,,,,,,,,{10021=1},,100,,1
360,liveness_wheel5_202402008,,,,0,,,,,,,,{10021=5},,,,,,100,,,,,,,,,{10021=5},,100,,1
361,recharge_wheel_202402014,,,,0,,,,,,,,{10022=1},,,,,,1,,,,,,,,,{10022=1},,100,,1
362,liveness_wheel1_202402061,,,,0,,,,,,,,{10021=1},,,,,,100,,,,,,,,,{10021=1},,100,,1
363,liveness_wheel5_202402061,,,,0,,,,,,,,{10021=5},,,,,,100,,,,,,,,,{10021=5},,100,,1
364,recharge_wheel_202402062,,,,0,,,,,,,,{10022=1},,,,,,1,,,,,,,,,{10022=1},,100,,1
365,liveness_wheel1_202403008,,,,0,,,,,,,,{10021=1},,,,,,100,,,,,,,,,{10021=1},,100,,1
366,liveness_wheel5_202403008,,,,0,,,,,,,,{10021=5},,,,,,100,,,,,,,,,{10021=5},,100,,1
367,recharge_wheel_202403011,,,,0,,,,,,,,{10022=1},,,,,,1,,,,,,,,,{10022=1},,100,,1
368,recharge_wheel_202403058,,,,0,,,,,,,,{10022=1},,,,,,1,,,,,,,,,{10022=1},,100,,1
369,recharge_wheel_202403083,,,,0,,,,,,,,{10022=1},,,,,,1,,,,,,,,,{10022=1},,100,,1
370,liveness_wheel1_202404076,,,,0,,,,,,,,{10021=1},,,,,,100,,,,,,,,,{10021=1},,100,,1
371,liveness_wheel5_202404076,,,,0,,,,,,,,{10021=5},,,,,,100,,,,,,,,,{10021=5},,100,,1
372,recharge_wheel_202404078,,,,0,,,,,,,,{10022=1},,,,,,1,,,,,,,,,{10022=1},,100,,1
373,liveness_wheel1_202404127,,,,0,,,,,,,,{10021=1},,,,,,100,,,,,,,,,{10021=1},,100,,1
374,liveness_wheel5_202404127,,,,0,,,,,,,,{10021=5},,,,,,100,,,,,,,,,{10021=5},,100,,1
375,recharge_wheel_202404129,,,,0,,,,,,,,{10022=1},,,,,,1,,,,,,,,,{10022=1},,100,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,liveness_wheel1_80214,,,,0,,,,,,,,{10021=1},,,,,,100,,,,,,,,,{10021=1},,100,,1
401,liveness_wheel5_80214,,,,0,,,,,,,,{10021=5},,,,,,100,,,,,,,,,{10021=5},,100,,1
402,recharge_wheel_80213,,,,0,,,,,,,,{10022=1},,,,,,1,,,,,,,,,{10022=1},,100,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,liveness_wheel1_80222,,,,0,,,,,,,,{10021=1},,,,,,100,,,,,,,,,{10021=1},,100,,1
404,liveness_wheel5_80222,,,,0,,,,,,,,{10021=5},,,,,,100,,,,,,,,,{10021=5},,100,,1
405,recharge_wheel_80221,,,,0,,,,,,,,{10022=1},,,,,,1,,,,,,,,,{10022=1},,100,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,liveness_wheel1_80252,,,,0,,,,,,,,{10021=1},,,,,,100,,,,,,,,,{10021=1},,100,,1
407,liveness_wheel5_80252,,,,0,,,,,,,,{10021=5},,,,,,100,,,,,,,,,{10021=5},,100,,1
408,recharge_wheel_80251,,,,0,,,,,,,,{10022=1},,,,,,1,,,,,,,,,{10022=1},,100,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,liveness_wheel1_80262,,,,0,,,,,,,,{10021=1},,,,,,100,,,,,,,,,{10021=1},,100,,1
410,liveness_wheel5_80262,,,,0,,,,,,,,{10021=5},,,,,,100,,,,,,,,,{10021=5},,100,,1
411,recharge_wheel_80261,,,,0,,,,,,,,{10022=1},,,,,,1,,,,,,,,,{10022=1},,100,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,liveness_wheel1_80285,,,,0,,,,,,,,{10021=1},,,,,,100,,,,,,,,,{10021=1},,100,,1
413,liveness_wheel5_80285,,,,0,,,,,,,,{10021=5},,,,,,100,,,,,,,,,{10021=5},,100,,1
414,recharge_wheel_80284,,,,0,,,,,,,,{10022=1},,,,,,1,,,,,,,,,{10022=1},,100,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,liveness_wheel1_80294,,,,0,,,,,,,,{10021=1},,,,,,100,,,,,,,,,{10021=1},,100,,1
416,liveness_wheel5_80294,,,,0,,,,,,,,{10021=5},,,,,,100,,,,,,,,,{10021=5},,100,,1
417,recharge_wheel_80293,,,,0,,,,,,,,{10022=1},,,,,,1,,,,,,,,,{10022=1},,100,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,liveness_wheel1_80308,,,,0,,,,,,,,{10021=1},,,,,,100,,,,,,,,,{10021=1},,100,,1
419,liveness_wheel5_80308,,,,0,,,,,,,,{10021=5},,,,,,100,,,,,,,,,{10021=5},,100,,1
420,recharge_wheel_80307,,,,0,,,,,,,,{10022=1},,,,,,1,,,,,,,,,{10022=1},,100,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,liveness_wheel1_80323,,,,0,,,,,,,,{10021=1},,,,,,100,,,,,,,,,{10021=1},,100,,1
422,liveness_wheel5_80323,,,,0,,,,,,,,{10021=5},,,,,,100,,,,,,,,,{10021=5},,100,,1
423,recharge_wheel_80322,,,,0,,,,,,,,{10022=1},,,,,,1,,,,,,,,,{10022=1},,100,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,liveness_wheel1_80328,,,,0,,,,,,,,{10021=1},,,,,,100,,,,,,,,,{10021=1},,100,,1
425,liveness_wheel5_80328,,,,0,,,,,,,,{10021=5},,,,,,100,,,,,,,,,{10021=5},,100,,1
426,recharge_wheel_80327,,,,0,,,,,,,,{10022=1},,,,,,1,,,,,,,,,{10022=1},,100,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,liveness_wheel1_80340,,,,0,,,,,,,,{10021=1},,,,,,100,,,,,,,,,{10021=1},,100,,1
428,liveness_wheel5_80340,,,,0,,,,,,,,{10021=5},,,,,,100,,,,,,,,,{10021=5},,100,,1
429,recharge_wheel_80339,,,,0,,,,,,,,{10022=1},,,,,,1,,,,,,,,,{10022=1},,100,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,liveness_wheel1_80355,,,,0,,,,,,,,{40021=1},,,,,,100,,,,,,,,,{40021=1},,100,,1
431,liveness_wheel5_80355,,,,0,,,,,,,,{40021=5},,,,,,100,,,,,,,,,{40021=5},,100,,1
432,recharge_wheel_80354,,,,0,,,,,,,,{40022=1},,,,,,1,,,,,,,,,{40022=1},,100,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,liveness_wheel1_80360,,,,0,,,,,,,,{50021=1},,,,,,100,,,,,,,,,{50021=1},,100,,1
434,liveness_wheel5_80360,,,,0,,,,,,,,{50021=5},,,,,,100,,,,,,,,,{50021=5},,100,,1
435,recharge_wheel_80361,,,,0,,,,,,,,{50022=1},,,,,,1,,,,,,,,,{50022=1},,100,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,liveness_wheel1_80402,,,,0,,,,,,,,{50021=1},,,,,,100,,,,,,,,,{50021=1},,100,,1
437,liveness_wheel5_80402,,,,0,,,,,,,,{50021=5},,,,,,100,,,,,,,,,{50021=5},,100,,1
438,recharge_wheel_80403,,,,0,,,,,,,,{50022=1},,,,,,1,,,,,,,,,{50022=1},,100,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,liveness_wheel1_80434,,,,0,,,,,,,,{50021=1},,,,,,100,,,,,,,,,{50021=1},,100,,1
440,liveness_wheel5_80434,,,,0,,,,,,,,{50021=5},,,,,,100,,,,,,,,,{50021=5},,100,,1
441,recharge_wheel_80433,,,,0,,,,,,,,{10022=1},,,,,,1,,,,,,,,,{10022=1},,100,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,liveness_wheel1_80471,,,,0,,,,,,,,{50021=1},,,,,,100,,,,,,,,,{50021=1},,100,,1
443,liveness_wheel5_80471,,,,0,,,,,,,,{50021=5},,,,,,100,,,,,,,,,{50021=5},,100,,1
444,recharge_wheel_80470,,,,0,,,,,,,,{10022=1},,,,,,1,,,,,,,,,{10022=1},,100,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,liveness_wheel1_80495,,,,0,,,,,,,,{50021=1},,,,,,100,,,,,,,,,{50021=1},,100,,1
446,liveness_wheel5_80495,,,,0,,,,,,,,{50021=5},,,,,,100,,,,,,,,,{50021=5},,100,,1
447,recharge_wheel_80494,,,,0,,,,,,,,{10022=1},,,,,,1,,,,,,,,,{10022=1},,100,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,liveness_wheel1_80515,,,,0,,,,,,,,{50021=1},,,,,,100,,,,,,,,,{50021=1},,100,,1
449,liveness_wheel5_80515,,,,0,,,,,,,,{50021=5},,,,,,100,,,,,,,,,{50021=5},,100,,1
450,recharge_wheel_80514,,,,0,,,,,,,,{10022=1},,,,,,1,,,,,,,,,{10022=1},,100,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,liveness_wheel1_80550,,,,0,,,,,,,,{50021=1},,,,,,100,,,,,,,,,{50021=1},,100,,1
452,liveness_wheel5_80550,,,,0,,,,,,,,{50021=5},,,,,,100,,,,,,,,,{50021=5},,100,,1
453,recharge_wheel_80549,,,,0,,,,,,,,{10022=1},,,,,,1,,,,,,,,,{10022=1},,100,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,liveness_wheel1_80591,,,,0,,,,,,,,{50021=1},,,,,,100,,,,,,,,,{50021=1},,100,,1
455,liveness_wheel5_80591,,,,0,,,,,,,,{50021=5},,,,,,100,,,,,,,,,{50021=5},,100,,1
456,recharge_wheel_80590,,,,0,,,,,,,,{10022=1},,,,,,1,,,,,,,,,{10022=1},,100,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,liveness_wheel1_80758,,,,0,,,,,,,,{50021=1},,,,,,100,,,,,,,,,{50021=1},,100,,1
458,liveness_wheel5_80758,,,,0,,,,,,,,{50021=5},,,,,,100,,,,,,,,,{50021=5},,100,,1
459,recharge_wheel_80757,,,,0,,,,,,,,{10022=1},,,,,,1,,,,,,,,,{10022=1},,100,,1
