VariableName,name,giftType,award,numMax,type,typeMax,endDate,languages,validRoleCreatedDateRange
10007,Code đoán hình 2,0,{gold=999999;rmb=1999;502=20;521=10;451=200;452=200;5000=500;2103=20},1,10007,1,20250908,<en>,
10008,TINHTOAN3,0,{gold=999999;rmb=1999;502=20;521=10;851=200;500=2;16=20;902=30},1,10008,1,20250912,<en>,
10009,DoanhManh3,0,{gold=999999;rmb=1999;502=20;521=10;603=20;501=10;500=2;451=200},1,10009,1,20250916,<en>,
10010,TINHTOAN4,0,{gold=999999;rmb=1999;502=20;521=10;851=200;500=2;16=20;902=30},1,10010,1,20250920,<en>,
10011,DOANTUONG4,0,{gold=999999;rmb=1999;501=10;521=10;451=200;452=200;5000=500;2103=20},1,10011,1,20250926,<en>,
10012,DOANHINH3,0,{gold=999999;rmb=1999;502=20;521=10;451=200;452=200;5000=500;2103=20},1,10012,1,20251001,<en>,
10013,,1,{604=5},,10013,,20991230,,
10014,,1,{9054=1},,10014,,20991230,,
10015,,1,{519=10},,10015,,20991230,,
10016,,1,{19=5},,10016,,20991230,,
10017,,1,{501=1},,10017,,20991230,,
10018,,1,{rmb=500},,10018,,20991230,,
10019,,1,{502=10},,10019,,20991230,,
10020,,1,{5000=100},,10020,,20991230,,
10021,,1,{8888=1},,10021,,20991230,,
10022,,1,{526=10},,10022,,20991230,,
10023,,1,{850=100},,10023,,20991230,,
10024,,1,{2102=50},,10024,,20991230,,
10025,,1,{4000=20},,10025,,20991230,,
10026,,1,{521=5},,10026,,20991230,,
10027,,1,{604=5},,10027,,20991230,,
10028,,1,{9054=1},,10028,,20991230,,
10029,,1,,,10029,,20991230,,
10030,,1,,,10030,,20991230,,
10031,,1,{519=10},,10031,,20991230,,
10032,,1,{19=5},,10032,,20991230,,
10033,,1,{501=1},,10033,,20991230,,
10034,,1,{rmb=500},,10034,,20991230,,
10035,,1,{502=10},,10035,,20991230,,
10036,,1,{5000=100},,10036,,20991230,,
10037,,1,{8888=1},,10037,,20991230,,
10038,,1,{526=10},,10038,,20991230,,
10039,,1,{850=100},,10039,,20991230,,
10040,,1,{2102=50},,10040,,20991230,,
10041,,1,{4000=20},,10041,,20991230,,
10042,,1,{521=5},,10042,,20991230,,
10043,,1,{604=5},,10043,,20991230,,
10044,,1,{9054=1},,10044,,20991230,,
90000,vip666,1,{519=10;rmb=200;gold=200000;500=1},,99999,10,20251231,,
90001,vip888,1,{519=10;rmb=200;gold=200000;500=1},,99999,10,20251231,,
90002,quà 4,1,{gold=200000;521=10;rmb=200;500=1},,99999,10,20231102,,
90003,quà 5,1,{gold=200000;521=10;rmb=200;500=1},,99999,10,20240229,,
90004,quà 6,1,{8888=1},,99999,10,20240229,,
90005,quà 7,1,{gold=200000;521=10;rmb=200;500=1},,99999,10,20240430,,
90006,quà 8,1,{519=10;rmb=200;gold=200000;500=1},,99999,10,20240430,,
90007,quà 9,1,{519=10;rmb=200;gold=200000;500=1},,99999,10,20240530,,
90008,quà 10,1,{519=10;rmb=500;gold=200000;500=1},,99999,10,20240630,,
90009,quà 11,1,{gold=200000;rmb=500;500=1;526=10},,99999,10,20240630,,
90010,quà 12,1,{536=10;521=5;rmb=500},,99999,10,20240630,,
90011,quà 13,1,{536=10;521=5;rmb=500},,99999,90011,20240630,,
90012,quà 14,1,{536=10;521=5;rmb=500},,99999,90011,20240930,,
90013,quà 15,1,{536=10;521=5;rmb=500},,99999,90011,20240930,,
90014,quà 16,1,{536=10;521=10;rmb=500},,99999,90011,20241030,,
90015,quà 17,1,{521=10;rmb=500;9062=1},,99999,90011,20241130,,
90016,quà 18,1,{521=10;rmb=500;9062=1},,99999,90011,20241230,,
90017,sdkl,1,{rmb=500;536=10;521=10;500=1},,99999,90011,20250130,,
90018,yd2025,1,{rmb=500;536=10;521=10;500=1},,99999,90011,20250130,,
90019,sndj,1,{rmb=500;536=10;521=10;500=1},,99999,90019,20250228,,
90020,TT1,1,{5000=50;stamina=20;12=20;rmb=200},,90020,,20991230,,
90021,TT2,1,{930=10;gold=100000;519=5;12=20},,90021,,20991230,,
90022,TT3,1,{5000=50;stamina=20;519=5;rmb=200},,90022,,20991230,,
90023,TT4,1,{5000=50;29001=10;519=5;rmb=200},,90023,,20991230,,
90024,TT5,1,{5000=50;29001=10;stamina=20;rmb=200},,90024,,20991230,,
90025,TT6,1,{5000=50;29001=10;12=20;rmb=200},,90025,,20991230,,
90026,TT7,1,{515=1;gold=100000;519=5;rmb=200},,90026,,20991230,,
90027,TT8,1,{930=10;515=1;gold=100000;rmb=200},,90027,,20991230,,
90028,TT9,1,{515=1;5000=50;12=20;rmb=200},,90028,,20991230,,
90029,TT10,1,{515=1;12=20;gold=100000;rmb=200},,90029,,20991230,,
90030,EV1,,{519=5;12=20;gold=200000;rmb=555},,90030,,20991230,,
90031,EV2,,{29002=10;gold=200000;rmb=555;503=5},,90031,,20991230,,
90032,EV3,,{29002=10;gold=200000;520=5;rmb=555},,90032,,20991230,,
90033,EV4,,{930=30;12=20;gold=200000;rmb=555},,90033,,20991230,,
90034,EV5,,{gold=200000;12=20;5000=100;rmb=555},,90034,,20991230,,
90035,EV6,,{29002=10;gold=200000;519=5;rmb=666},,90035,,20991230,,
90036,EV7,,{29002=10;gold=200000;930=30;rmb=666},,90036,,20991230,,
90037,EV8,,{29002=10;gold=200000;rmb=666;503=5},,90037,,20991230,,
90038,EV9,,{502=10;gold=200000;519=10;rmb=999},,90038,,20991230,,
90039,EV10,,{502=10;gold=200000;rmb=999;503=10},,90039,,20991230,,
90040,T5V1,,{30306=1rmb=2222;519=20;gold=500000},,90040,,20991230,,
90041,T5V2,,{30317=1;gold=500000;519=10;rmb=2222},,90041,,20991230,,
90042,T5V3,,{29002=10;519=10;502=10;rmb=2222},,90042,,20991230,,
90043,Fanpage1,,{519=2;12=10;gold=200000;rmb=200},,90043,,20991230,,
90044,Fanpage2,,{12=10;520=2;gold=200000;rmb=200},,90044,,20991230,,
90045,Fanpage3,,{930=10;gold=200000;12=10;rmb=200},,90045,,20991230,,
90046,Fanpage4,,{gold=200000;12=10;rmb=200;503=2},,90046,,20991230,,
90047,Fanpage5,,{gold=200000;12=10;5000=20;rmb=200},,90047,,20991230,,
90048,Fanpage6,,{12=10;stamina=20;gold=200000;rmb=200},,90048,,20991230,,
90049,Fanpage7,,{12=10;29001=10;gold=200000;rmb=200},,90049,,20991230,,
90050,Fanpage8,,{12=10;29001=10;gold=200000;rmb=200},,90050,,20991230,,
90051,Fanpage9,,{12=10;29001=10;gold=200000;rmb=200},,90051,,20991230,,
90052,Fanpage10,,{12=10;29001=10;gold=200000;rmb=200},,90052,,20991230,,
90053,ads1,1,{515=1;card={id=641};gold=100000;rmb=200},,90053,,20991230,,
90054,ads2,1,{515=1;card={id=3251};gold=100000;rmb=200},,90054,,20991230,,
90055,ads3,1,{515=1;card={id=631};gold=100000;rmb=200},,90055,,20991230,,
90056,ads4,1,{515=1;card={id=1381};gold=100000;rmb=200},,90056,,20991230,,
