VariableName,scene_id,_name,round,monsters,bossMark,showInfo,posAdjust,bossLifeCount,rebornSeq,hpC,speedC,damageC,specialDamageC,defenceC,specialDefenceC,bkCsv,storys,winStories,failStories,storyNames,storyNames_vn,storyNames_tw,storyNames_en,weatherTypeId
17,10201,,2,<52073;0;53683;0;71241;0>,<0;0;0;0;1;0>,TRUE,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_2_1.csv,,,,,,,,
19,10202,,1,<0;0;50793;50053;0;50692>,,,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_2_2.csv,,,,,,,,
20,10202,,2,<60641;50013;63663;0;70972;0>,<0;0;0;0;1;0>,TRUE,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_2_2.csv,,,,,,,,
22,10203,,1,<52843;0;53472;50692;0;53342>,,,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_2_3.csv,,,,,,,,
23,10203,,2,<61293;0;61071;0;70603;0>,<0;0;0;0;1;0>,TRUE,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_2_3.csv,,,,,,,,
25,10204,,1,<50402;53293;0;52612;0;52843>,,,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_2_4.csv,,,,,,,,
26,10204,,2,<52633;61221;52612;0;70632;0>,<0;0;0;0;1;0>,TRUE,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_2_4.csv,,,,,,,,
28,10205,,1,<53472;0;53342;50552;0;53772>,,,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_2_5.csv,,,,,,,,
29,10205,,2,<53293;0;50793;0;72023;0>,<0;0;0;0;1;0>,TRUE,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_2_5.csv,,,,,,,,
31,10206,,1,<0;0;50273;50793;0;53432>,,,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_2_6.csv,,,,,,,,
32,10206,,2,<0;0;0;0;81313;0>,<0;0;0;0;1;0>,TRUE,,,,2.4,,2.4,2.4,2.4,2.4,stage/fb/putongfuben/naruto_fb_2_6.csv,,,,,,,,
34,10301,,1,<53293;0;50493;50082;0;52013>,,,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_3_1.csv,,,,,,,,
35,10301,,2,<0;0;0;50793;70731;50552>,<0;0;0;0;1;0>,TRUE,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_3_1.csv,,,,,,,,
37,10302,,1,<0;50273;0;50552;0;52073>,,,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_3_2.csv,,,,,,,,
38,10302,,2,<52683;63543;52633;0;71612;0>,<0;0;0;0;1;0>,TRUE,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_3_2.csv,,,,,,,,
40,10303,,1,<53472;0;52073;53683;0;53511>,,,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_3_3.csv,,,,,,,,
41,10303,,2,<52963;0;53432;61293;71893;60712>,<0;0;0;0;1;0>,TRUE,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_3_3.csv,,,,,,,,
43,10304,,1,<0;50692;53342;50273;50053;52013>,,,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_3_4.csv,,,,,,,,
44,10304,,2,<0;50692;0;0;70721;0>,<0;0;0;0;1;0>,TRUE,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_3_4.csv,,,,,,,,
46,10305,,1,<50493;0;53283;52683;0;52013>,,,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_3_5.csv,,,,,,,,
47,10305,,2,<60641;0;60603;53283;71082;53283>,<0;0;0;0;1;0>,TRUE,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_3_5.csv,,,,,,,,
49,10306,,1,<50692;0;0;52593;52633;53283>,,,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_3_6.csv,,,,,,,,
50,10306,,2,<50044;61394;52843;0;71893;0>,<0;0;0;0;1;0>,TRUE,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_3_6.csv,,,,,,,,
52,10307,,1,<52612;0;50013;53283;0;50552>,,,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_3_7.csv,,,,,,,,
53,10307,,2,<53342;0;52013;61903;71293;61293>,<0;0;0;0;1;0>,TRUE,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_3_7.csv,,,,,,,,
55,10308,,1,<0;52633;0;50552;0;50692>,,,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_3_8.csv,,,,,,,,
56,10308,,2,<0;0;0;0;81313;0>,<0;0;0;0;1;0>,TRUE,,,,2.4,,2.4,2.4,2.4,2.4,stage/fb/putongfuben/naruto_fb_3_8.csv,,,,,,,,
58,10401,,1,<53293;0;50402;50692;0;50273>,,,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_4_1.csv,,,,,,,,
59,10401,,2,<53283;0;60333;0;73152;0>,<0;0;0;0;1;0>,TRUE,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_4_1.csv,,,,,,,,
61,10402,,1,<0;53683;0;50082;53342;52683>,,,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_4_2.csv,,,,,,,,
62,10402,,2,<53293;0;52073;0;72401;0>,<0;0;0;0;1;0>,TRUE,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_4_2.csv,,,,,,,,
64,10403,,1,<50044;0;50552;52593;0;52633>,,,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_4_3.csv,,,,,,,,
65,10403,,2,<53342;0;50493;0;70771;0>,<0;0;0;0;1;0>,TRUE,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_4_3.csv,,,,,,,,
67,10404,,1,<0;52633;0;50013;53432;53772>,,,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_4_4.csv,,,,,,,,
68,10404,,2,<0;53511;0;0;70641;0>,<0;0;0;0;1;0>,TRUE,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_4_4.csv,,,,,,,,
70,10405,,1,<53772;53772;53772;0;0;0>,,,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_4_5.csv,,,,,,,,
71,10405,,2,<61253;0;61032;0;73003;0>,<0;0;0;0;1;0>,TRUE,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_4_5.csv,,,,,,,,
73,10406,,1,<0;50552;0;53472;50273;50082>,,,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_4_6.csv,,,,,,,,
74,10406,,2,<53472;60242;52013;0;70503;0>,<0;0;0;0;1;0>,TRUE,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_4_6.csv,,,,,,,,
76,10407,,1,<52593;0;52843;53342;0;53772>,,,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_4_7.csv,,,,,,,,
77,10407,,2,<50053;0;52683;0;71772;0>,<0;0;0;0;1;0>,TRUE,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_4_7.csv,,,,,,,,
79,10408,,1,<0;50053;0;53342;0;50552>,,,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_4_8.csv,,,,,,,,
80,10408,,2,<0;0;0;0;80701;0>,<0;0;0;0;1;0>,TRUE,,,,2.4,,2.4,2.4,2.4,2.4,stage/fb/putongfuben/naruto_fb_4_8.csv,,,,,,,,
82,10501,,1,<0;53342;0;50044;0;53283>,,,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_5_1.csv,,,,,,,,
83,10501,,2,<53283;53342;50082;0;0;0>,,,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_5_1.csv,,,,,,,,
84,10501,,3,<61293;0;61082;0;73543;0>,<0;0;0;0;1;0>,TRUE,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_5_1.csv,,,,,,,,
85,10502,,1,<0;52612;53342;50082;50793;52612>,,,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_5_2.csv,,,,,,,,
86,10502,,2,<52073;53683;52593;53772;0;52633>,,,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_5_2.csv,,,,,,,,
87,10502,,3,<63152;0;62723;0;72723;0>,<0;0;0;0;1;0>,TRUE,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_5_2.csv,,,,,,,,
88,10503,,1,<50692;50793;53772;50793;0;52683>,,,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_5_3.csv,,,,,,,,
89,10503,,2,<50493;0;52593;53511;0;50793>,,,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_5_3.csv,,,,,,,,
90,10503,,3,<63543;0;63181;0;71082;0>,<0;0;0;0;1;0>,TRUE,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_5_3.csv,,,,,,,,
91,10504,,1,<53342;50552;0;50053;50053;50493>,,,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_5_4.csv,,,,,,,,
92,10504,,2,<0;52963;0;52612;53432;53511>,,,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_5_4.csv,,,,,,,,
93,10504,,3,<52013;60603;53472;0;73143;0>,<0;0;0;0;1;0>,TRUE,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_5_4.csv,,,,,,,,
94,10505,,1,<50552;50493;52963;52593;0;53511>,,,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_5_5.csv,,,,,,,,
95,10505,,2,<0;50273;0;53511;50044;53511>,,,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_5_5.csv,,,,,,,,
96,10505,,3,<0;0;0;63663;70863;60333>,<0;0;0;0;1;0>,TRUE,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_5_5.csv,,,,,,,,
97,10506,,1,<0;60593;53432;52843;53472;52013>,,,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_5_6.csv,,,,,,,,
98,10506,,2,<52593;0;53683;52633;0;50013>,,,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_5_6.csv,,,,,,,,
99,10506,,3,<60242;0;63003;0;71941;0>,<0;0;0;0;1;0>,TRUE,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_5_6.csv,,,,,,,,
100,10507,,1,<52593;50552;50013;50692;0;53683>,,,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_5_7.csv,,,,,,,,
101,10507,,2,<50552;50013;50402;52593;50273;50402>,,,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_5_7.csv,,,,,,,,
102,10507,,3,<60883;0;60632;0;71903;0>,<0;0;0;0;1;0>,TRUE,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_5_7.csv,,,,,,,,
103,10508,,1,<52612;52633;0;50013;50013;50013>,,,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_5_8.csv,,,,,,,,
104,10508,,2,<50402;52963;53511;53283;0;50402>,,,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_5_8.csv,,,,,,,,
105,10508,,3,<52963;0;53283;62023;72023;61394>,<0;0;0;0;1;0>,TRUE,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_5_8.csv,,,,,,,,
106,10509,,1,<50692;52683;50053;52073;0;52612>,,,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_5_9.csv,,,,,,,,
107,10509,,2,<53342;53293;52612;52612;50692;53772>,,,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_5_9.csv,,,,,,,,
108,10509,,3,<63181;0;63161;0;71253;0>,<0;0;0;0;1;0>,TRUE,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_5_9.csv,,,,,,,,
109,10510,,1,<0;53293;52013;53293;50552;52013>,,,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_5_10.csv,,,,,,,,
110,10510,,2,<0;50044;0;53683;0;53432>,,,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_5_10.csv,,,,,,,,
111,10510,,3,<0;0;0;0;81393;0>,<0;0;0;0;1;0>,TRUE,,,,2.4,,2.4,2.4,2.4,2.4,stage/fb/putongfuben/naruto_fb_5_10.csv,,,,,,,,
112,10601,,1,<53432;60632;50273;50082;0;50402>,,,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_6_1.csv,,,,,,,,
113,10601,,2,<53511;52963;53283;50402;52843;52633>,,,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_6_1.csv,,,,,,,,
114,10601,,3,<61813;61032;61071;0;70712;0>,<0;0;0;0;1;0>,TRUE,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_6_1.csv,,,,,,,,
115,10602,,1,<50793;50053;0;50793;70611;50273>,,,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_6_2.csv,,,,,,,,
116,10602,,2,<53511;52593;53472;50692;52612;50053>,,,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_6_2.csv,,,,,,,,
117,10602,,3,<53432;62023;53283;0;73303;0>,<0;0;0;0;1;0>,TRUE,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_6_2.csv,,,,,,,,
118,10603,,1,<50692;50793;53472;53432;0;50493>,,,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_6_3.csv,,,,,,,,
119,10603,,2,<0;60603;0;50493;50273;50013>,,,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_6_3.csv,,,,,,,,
120,10603,,3,<0;0;0;0;72242;0>,<0;0;0;0;1;0>,TRUE,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_6_3.csv,,,,,,,,
121,10604,,1,<0;60611;50273;52593;52593;50493>,,,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_6_4.csv,,,,,,,,
122,10604,,2,<50493;53472;52073;50692;52013;53432>,,,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_6_4.csv,,,,,,,,
123,10604,,3,<61841;0;61303;0;71071;0>,<0;0;0;0;1;0>,TRUE,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_6_4.csv,,,,,,,,
124,10605,,1,<53432;52633;53432;52963;0;53683>,,,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_6_5.csv,,,,,,,,
125,10605,,2,<52843;50013;53432;52612;50273;52843>,,,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_6_5.csv,,,,,,,,
126,10605,,3,<61841;61931;61772;0;70712;0>,<0;0;0;0;1;0>,TRUE,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_6_5.csv,,,,,,,,
127,10606,,1,<52593;53683;0;52593;50273;52593>,,,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_6_6.csv,,,,,,,,
128,10606,,2,<52593;52013;50013;52683;50552;52683>,,,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_6_6.csv,,,,,,,,
129,10606,,3,<0;61221;0;0;83143;0>,<0;0;0;0;1;0>,TRUE,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_6_6.csv,,,,,,,,
130,10607,,1,<50044;52612;50044;52013;0;50692>,,,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_6_7.csv,,,,,,,,
131,10607,,2,<50044;53293;50793;0;52683;0>,,,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_6_7.csv,,,,,,,,
132,10607,,3,<60603;0;60242;0;73152;0>,<0;0;0;0;1;0>,TRUE,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_6_7.csv,,,,,,,,
133,10608,,1,<0;50402;50692;52013;52612;52963>,,,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_6_8.csv,,,,,,,,
134,10608,,2,<52612;53683;50493;53683;0;52013>,,,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_6_8.csv,,,,,,,,
135,10608,,3,<63251;0;63152;61841;70741;61394>,<0;0;0;0;1;0>,TRUE,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_6_8.csv,,,,,,,,
136,10609,,1,<50273;50692;50273;53472;0;53472>,,,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_6_9.csv,,,,,,,,
137,10609,,2,<53432;50552;50044;50552;53342;53472>,,,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_6_9.csv,,,,,,,,
138,10609,,3,<61303;60972;61221;0;71303;0>,<0;0;0;0;1;0>,TRUE,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_6_9.csv,,,,,,,,
139,10610,,1,<50273;52593;0;53683;50082;52073>,,,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_6_10.csv,,,,,,,,
140,10610,,2,<53683;50493;53772;52612;50402;50044>,,,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_6_10.csv,,,,,,,,
141,10610,,3,<0;0;0;0;81231;0>,<0;0;0;0;1;0>,TRUE,,,,2.4,,2.4,2.4,2.4,2.4,stage/fb/putongfuben/naruto_fb_6_10.csv,,,,,,,,
142,10701,,1,<53283;50692;52843;53511;0;53472>,,,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_7_1.csv,,,,,,,,
143,10701,,2,<53683;52612;53511;52612;50402;50273>,,,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_7_1.csv,,,,,,,,
144,10701,,3,<60163;0;62723;60163;70603;63003>,<0;0;0;0;1;0>,TRUE,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_7_1.csv,,,,,,,,
145,10702,,1,<0;50402;53772;52843;70632;50273>,,,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_7_2.csv,,,,,,,,
146,10702,,2,<50493;52843;53342;50552;53472;50044>,,,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_7_2.csv,,,,,,,,
147,10702,,3,<63251;0;60163;60712;70572;60333>,<0;0;0;0;1;0>,TRUE,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_7_2.csv,,,,,,,,
148,10703,,1,<50402;52963;52013;52073;0;52683>,,,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_7_3.csv,,,,,,,,
149,10703,,2,<50493;50402;53342;52843;50044;53283>,,,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_7_3.csv,,,,,,,,
150,10703,,3,<60593;63543;63543;0;70721;0>,<0;0;0;0;1;0>,TRUE,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_7_3.csv,,,,,,,,
151,10704,,1,<53472;52593;0;52683;52633;52013>,,,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_7_4.csv,,,,,,,,
152,10704,,2,<50692;53432;53511;53293;52683;53293>,,,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_7_4.csv,,,,,,,,
153,10704,,3,<53293;0;53472;61813;70242;63152>,<0;0;0;0;1;0>,TRUE,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_7_4.csv,,,,,,,,
154,10705,,1,<53511;60641;52612;53432;0;50493>,,,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_7_5.csv,,,,,,,,
155,10705,,2,<52593;50082;52612;53293;52013;50044>,,,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_7_5.csv,,,,,,,,
156,10705,,3,<63663;0;60883;63663;71253;61903>,<0;0;0;0;1;0>,TRUE,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_7_5.csv,,,,,,,,
157,10706,,1,<0;53293;50793;50493;52633;50552>,,,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_7_6.csv,,,,,,,,
158,10706,,2,<53511;53511;50053;50013;70572;52612>,,,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_7_6.csv,,,,,,,,
159,10706,,3,<61841;0;61221;0;80771;0>,<0;0;0;0;1;0>,TRUE,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_7_6.csv,,,,,,,,
160,10707,,1,<53511;53283;50402;52843;0;53283>,,,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_7_7.csv,,,,,,,,
161,10707,,2,<52683;52593;50793;53472;50044;52633>,,,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_7_7.csv,,,,,,,,
162,10707,,3,<60503;0;81393;0;73303;0>,<0;0;0;0;1;0>,TRUE,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_7_7.csv,,,,,,,,
163,10708,,1,<52633;50082;0;52073;50402;50273>,,,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_7_8.csv,,,,,,,,
164,10708,,2,<53293;0;52843;52593;50493;50402>,,,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_7_8.csv,,,,,,,,
165,10708,,3,<0;61394;0;0;80701;0>,<0;0;0;0;1;0>,TRUE,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_7_8.csv,,,,,,,,
166,10709,,1,<52963;52683;50044;53472;0;50552>,,,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_7_9.csv,,,,,,,,
167,10709,,2,<50053;50044;50793;53511;70242;53342>,,,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_7_9.csv,,,,,,,,
168,10709,,3,<62033;0;61612;0;70632;0>,<0;0;0;0;1;0>,TRUE,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_7_9.csv,,,,,,,,
169,10710,,1,<0;50044;52612;52073;50082;52073>,,,,,,1.6,,1.6,1.6,1.6,1.6,stage/fb/putongfuben/naruto_fb_7_10.csv,,,,,,,,
170,10710,,2,<53683;53342;52593;53283;0;52963>,,,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_7_10.csv,,,,,,,,
171,10710,,3,<0;0;0;0;80771;0>,<0;0;0;0;1;0>,TRUE,,,,2.4,,2.4,2.4,2.4,2.4,stage/fb/putongfuben/naruto_fb_7_10.csv,,,,,,,,
172,10801,,1,<53472;0;52593;50552;0;52683>,,,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_8_1.csv,,,,,,,,
