VariableName,name_cn,languages,drawlanguages,name_tw,name,name_vn,name_en,name_th,name_in,name_ph,name_ma,icon,desc_cn,desc_vn,desc_en,desc_th,desc_in,desc_ph,desc_ma,desc,desc1_cn,desc1_tw,desc1,desc1_vn,desc1_th,desc1_en,desc1_ma,desc1_ph,desc1_in,quality,type,donateType,universalFragID,decomposeGain,combID,combCount,stackMax,effBtn,pageTag,sellPrice,autoComb,produceGate1,produceGate2,produceGate3,produceGate4,produceGate5,produceGate6,produceGate7,produceDesc,produceDesc_tw,produceDesc_en,produceDesc_kr,isFinal,rebirthRMB,effect,sortType,sortValue
20333,,,,,Hatake Kakashi Fragment,Mảnh Hatake Kakashi,Hatake Kakashi Fragment,Hatake Kakashi ชิ้นส่วน,Fragmen Hatake Kakashi,Piraso ni Hatake Kakashi,Fragmen Hatake Kakashi,config/portrait/jinglingtouxiang/img_333.png,,Thu thập đủ %d mảnh có thể hợp thành #C0xE77421#Hatake Kakashi#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Hatake Kakashi#C0x55504D#,รวบรวมเศษ %d ชิ้นเพื่อสร้าง #C0xE77421#Hatake Kakashi#C0x55504D#,Kumpulkan %d fragmen untuk membentuk #C0xE77421#Hatake Kakashi#C0x55504D#,Kolektahin ang %d piraso para buuin si #C0xE77421#Hatake Kakashi#C0x55504D#,Kumpul %d serpihan untuk gabung menjadi #C0xE77421#Hatake Kakashi#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Hatake Kakashi#C0x55504D#,,,,,,,,,,5,,,502,{coin5=10},333,50,,,,,,,,,,,,,,,,,,,{drawcard=huang_effect_loop},,
20334,,,,,Kamui Kakashi Fragment,Mảnh Kamui Kakashi,Kamui Kakashi Fragment,Kamui Kakashi ชิ้นส่วน,Fragmen Kamui Kakashi,Piraso ni Kamui Kakashi,Fragmen Kamui Kakashi,config/portrait/jinglingtouxiang/img_334.png,,Thu thập đủ %d mảnh có thể hợp thành #C0xE77421#Kamui Kakashi#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Kamui Kakashi#C0x55504D#,รวบรวมเศษ %d ชิ้นเพื่อสร้าง #C0xE77421#Kamui Kakashi#C0x55504D#,Kumpulkan %d fragmen untuk membentuk #C0xE77421#Kamui Kakashi#C0x55504D#,Kolektahin ang %d piraso para buuin si #C0xE77421#Kamui Kakashi#C0x55504D#,Kumpul %d serpihan untuk gabung menjadi #C0xE77421#Kamui Kakashi#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Kamui Kakashi#C0x55504D#,,,,,,,,,,5,,,502,{coin5=10},333,50,,,,,,,,,,,,,,,,,,,{drawcard=huang_effect_loop},,
20393,,,,,Hades Fragment,Mảnh Hades,Hades Fragment,Hades ชิ้นส่วน,Fragmen Hades,Piraso ni Hades,Fragmen Hades,config/portrait/jinglingtouxiang/img_393.png,,Thu thập đủ %d mảnh có thể hợp thành #C0xE77421#Hades#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Mario#C0x55504D#,รวบรวมเศษ %d ชิ้นเพื่อสร้าง #C0xE77421#Mario#C0x55504D#,Kumpulkan %d fragmen untuk membentuk #C0xE77421#Mario#C0x55504D#,Kolektahin ang %d piraso para buuin si #C0xE77421#Mario#C0x55504D#,Kumpul %d serpihan untuk gabung menjadi #C0xE77421#Mario#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Mario#C0x55504D#,,,,,,,,,,6,,0,521,{coin5=30},393,80,,,,,,,,,,,,,,,,,,,{drawcard=hong_effect_loop},,
20402,,,,,Chaien Fragment,Mảnh Chaien,Chaien Fragment,Chaien ชิ้นส่วน,Fragmen Chaien,Piraso ni Chaien,Fragmen Chaien,config/portrait/jinglingtouxiang/img_402.png,,Thu thập đủ %d mảnh có thể hợp thành #C0xE77421#Chaien#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Gru#C0x55504D#,รวบรวมเศษ %d ชิ้นเพื่อสร้าง #C0xE77421#Gru#C0x55504D#,Kumpulkan %d fragmen untuk membentuk #C0xE77421#Gru#C0x55504D#,Kolektahin ang %d piraso para buuin si #C0xE77421#Gru#C0x55504D#,Kumpul %d serpihan untuk gabung menjadi #C0xE77421#Gru#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Gru#C0x55504D#,,,,,,,,,,,,,502,,402,30,,,,,,drawCard-gold,,,,,,,,,,,,,,,
20493,,,,,Predator Fragment,Mảnh Predator,Predator Fragment,Predator ชิ้นส่วน,Fragmen Predator,Piraso ng Predator,Fragmen Predator,config/portrait/jinglingtouxiang/img_493.png,,Thu thập đủ %d mảnh có thể hợp thành #C0xE77421#Predator#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Batman#C0x55504D#,รวบรวมเศษ %d ชิ้นเพื่อสร้าง #C0xE77421#Batman#C0x55504D#,Kumpulkan %d fragmen untuk membentuk #C0xE77421#Batman#C0x55504D#,Kolektahin ang %d piraso para buuin si #C0xE77421#Batman#C0x55504D#,Kumpul %d serpihan untuk gabung menjadi #C0xE77421#Batman#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Batman#C0x55504D#,,,,,,,,,,,,,502,,493,30,,,,,,drawCard-gold,,,,,,,,,,,,,,,
20503,,,,,Illyasviel Fragment,Mảnh Illyasviel,Illyasviel Fragment,Illyasviel ชิ้นส่วน,Fragmen Illyasviel,Piraso ni Illyasviel,Fragmen Illyasviel,config/portrait/jinglingtouxiang/img_503.png,,Thu thập đủ %d mảnh có thể hợp thành #C0xE77421#Illyasviel#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Zombie#C0x55504D#,รวบรวมเศษ %d ชิ้นเพื่อสร้าง #C0xE77421#Zombie#C0x55504D#,Kumpulkan %d fragmen untuk membentuk #C0xE77421#Zombie#C0x55504D#,Kolektahin ang %d piraso para buuin ang #C0xE77421#Zombie#C0x55504D#,Kumpul %d serpihan untuk gabung menjadi #C0xE77421#Zombie#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Zombie#C0x55504D#,,,,,,,,,,5,,,502,{coin5=10},503,50,,,,,,,,,,,,,,,,,,,{drawcard=huang_effect_loop},,
20552,,,,,Harry Potter Fragment,Mảnh Harry Potter,Harry Potter Fragment,Harry Potter ชิ้นส่วน,Fragmen Harry Potter,Piraso ni Harry Potter,Fragmen Harry Potter,config/portrait/jinglingtouxiang/img_552.png,,Thu thập đủ %d mảnh có thể hợp thành #C0xE77421#Harry Potter#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Kagura#C0x55504D#,รวบรวมเศษ %d ชิ้นเพื่อสร้าง #C0xE77421#Kagura#C0x55504D#,Kumpulkan %d fragmen untuk membentuk #C0xE77421#Kagura#C0x55504D#,Kolektahin ang %d piraso para buuin si #C0xE77421#Kagura#C0x55504D#,Kumpul %d serpihan untuk gabung menjadi #C0xE77421#Kagura#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Kagura#C0x55504D#,,,,,,,,,,,,,502,,552,30,,,,,,drawCard-gold,,,,,,,,,,,,,,,
20572,,,,,Akame Fragment,Mảnh Akame,Akame Fragment,Akame ชิ้นส่วน,Fragmen Akame,Piraso ni Akame,Fragmen Akame,config/portrait/jinglingtouxiang/img_572.png,,Thu thập đủ %d mảnh có thể hợp thành #C0xE77421#Akame#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Sawada Tsunayoshi#C0x55504D#,รวบรวมเศษ %d ชิ้นเพื่อสร้าง #C0xE77421#Sawada Tsunayoshi#C0x55504D#,Kumpulkan %d fragmen untuk membentuk #C0xE77421#Sawada Tsunayoshi#C0x55504D#,Kolektahin ang %d piraso para buuin si #C0xE77421#Sawada Tsunayoshi#C0x55504D#,Kumpul %d serpihan untuk gabung menjadi #C0xE77421#Sawada Tsunayoshi#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Sawada Tsunayoshi#C0x55504D#,,,,,,,,,,6,,0,521,{coin5=30},572,80,,,,,,,,,,,,,,,,,,,{drawcard=hong_effect_loop},,
20593,,,,,Gandalf Fragment,Mảnh Gandalf,Gandalf Fragment,Gandalf ชิ้นส่วน,Fragmen Gandalf,Piraso ni Gandalf,Fragmen Gandalf,config/portrait/jinglingtouxiang/img_593.png,,Thu thập đủ %d mảnh có thể hợp thành #C0xE77421#Gandalf#C0x55504D#.,Collect %d fragments to synthesize #C0xE77421#Orochi#C0x55504D#,รวบรวมเศษ %d ชิ้นเพื่อสร้าง #C0xE77421#Orochi#C0x55504D#,Kumpulkan %d fragmen untuk membentuk #C0xE77421#Orochi#C0x55504D#,Kolektahin ang %d piraso para buuin si #C0xE77421#Orochi#C0x55504D#,Kumpul %d serpihan untuk gabung menjadi #C0xE77421#Orochi#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Orochi#C0x55504D#,,,,,,,,,,5,,,502,{coin5=10},593,50,,,,,,,,,,,,,,,,,,,{drawcard=huang_effect_loop},,
20603,,,,,Lina Inverse Fragment,Mảnh Lina Inverse,Lina Inverse Fragment,Lina Inverse ชิ้นส่วน,Fragmen Lina Inverse,Piraso ni Lina Inverse,Fragmen Lina Inverse,config/portrait/jinglingtouxiang/img_603.png,,Thu thập đủ %d mảnh có thể hợp thành #C0xE77421#Lina Inverse#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Ken#C0x55504D#,รวบรวมเศษ %d ชิ้นเพื่อสร้าง #C0xE77421#Ken#C0x55504D#,Kumpulkan %d fragmen untuk membentuk #C0xE77421#Ken#C0x55504D#,Kolektahin ang %d piraso para buuin si #C0xE77421#Ken#C0x55504D#,Kumpul %d serpihan untuk gabung menjadi #C0xE77421#Ken#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Ken#C0x55504D#,,,,,,,,,,5,,,502,{coin5=10},603,50,,,,,,,,,,,,,,,,,,,{drawcard=huang_effect_loop},,
20611,,,,,Mikasa Ackerman Fragment,Mảnh Mikasa Ackerman,Mikasa Ackerman Fragment,Mikasa Ackerman ชิ้นส่วน,Fragmen Mikasa Ackerman,Piraso ni Mikasa Ackerman,Fragmen Mikasa Ackerman,config/portrait/jinglingtouxiang/img_611.png,,Thu thập đủ %d mảnh có thể hợp thành #C0xE77421#Mikasa Ackerman#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Hatake Kakashi#C0x55504D#,รวบรวมเศษ %d ชิ้นเพื่อสร้าง #C0xE77421#Hatake Kakashi#C0x55504D#,Kumpulkan %d fragmen untuk membentuk #C0xE77421#Hatake Kakashi#C0x55504D#,Kolektahin ang %d piraso para buuin si #C0xE77421#Hatake Kakashi#C0x55504D#,Kumpul %d serpihan untuk gabung menjadi #C0xE77421#Hatake Kakashi#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Hatake Kakashi#C0x55504D#,,,,,,,,,,5,,,502,{coin5=10},611,50,,,,,,,,,,,,,,,,,,,{drawcard=huang_effect_loop},,
20631,,,,,Kamado Tanjiro Fragment,Mảnh Kamado Tanjiro,Kamado Tanjiro Fragment,Kamado Tanjiro ชิ้นส่วน,Fragmen Kamado Tanjiro,Piraso ni Kamado Tanjiro,Fragmen Kamado Tanjiro,config/portrait/jinglingtouxiang/img_631.png,,Thu thập đủ %d mảnh có thể hợp thành #C0xE77421#Kamado Tanjiro#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Kamui Kakashi#C0x55504D#,รวบรวมเศษ %d ชิ้นเพื่อสร้าง #C0xE77421#Kamui Kakashi#C0x55504D#,Kumpulkan %d fragmen untuk membentuk #C0xE77421#Kamui Kakashi#C0x55504D#,Kolektahin ang %d piraso para buuin si #C0xE77421#Kamui Kakashi#C0x55504D#,Kumpul %d serpihan untuk gabung menjadi #C0xE77421#Kamui Kakashi#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Kamui Kakashi#C0x55504D#,,,,,,,,,,5,,,502,{coin5=10},631,50,,,,,,,,,,,,,,,,,,,{drawcard=huang_effect_loop},,
20641,,,,,Rem Fragment,Mảnh Rem,Rem Fragment,Rem ชิ้นส่วน,Fragmen Rem,Piraso ni Rem,Fragmen Rem,config/portrait/jinglingtouxiang/img_641.png,,Thu thập đủ %d mảnh có thể hợp thành #C0xE77421#Rem#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Rem#C0x55504D#,รวบรวมเศษ %d ชิ้นเพื่อสร้าง #C0xE77421#Rem#C0x55504D#,Kumpulkan %d fragmen untuk membentuk #C0xE77421#Rem#C0x55504D#,Kolektahin ang %d piraso para buuin si #C0xE77421#Rem#C0x55504D#,Kumpul %d serpihan untuk gabung menjadi #C0xE77421#Rem#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Rem#C0x55504D#,,,,,,,,,,5,,,502,{coin5=10},641,50,,,,,,,,,,,,,,,,,,,{drawcard=huang_effect_loop},,
20692,,,,,Gangster Fragment,Mảnh Gangster,Gangster Fragment,Gangster ชิ้นส่วน,Fragmen Gangster,Piraso ng Gangster,Fragmen Gangster,config/portrait/jinglingtouxiang/img_692.png,,Thu thập đủ %d mảnh có thể hợp thành #C0xE77421#Gangster#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Gangster#C0x55504D#,รวบรวมเศษ %d ชิ้นเพื่อสร้าง #C0xE77421#Gangster#C0x55504D#,Kumpulkan %d fragmen untuk membentuk #C0xE77421#Gangster#C0x55504D#,Kolektahin ang %d piraso para buuin ang #C0xE77421#Gangster#C0x55504D#,Kumpul %d serpihan untuk gabung menjadi #C0xE77421#Gangster#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Gangster#C0x55504D#,,,,,,,,,,3,,,502,{coin5=2},692,20,,,,,,drawCard-gold,,,,,,,,,,,,,,,
20701,,,,,Levi Ackerman Fragment,Mảnh Levi Ackerman,Levi Ackerman Fragment,Levi Ackerman ชิ้นส่วน,Fragmen Levi Ackerman,Piraso ni Levi Ackerman,Fragmen Levi Ackerman,config/portrait/jinglingtouxiang/img_701.png,,Thu thập đủ %d mảnh có thể hợp thành #C0xE77421#Levi Ackerman#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Levi Ackerman#C0x55504D#,รวบรวมเศษ %d ชิ้นเพื่อสร้าง #C0xE77421#Levi Ackerman#C0x55504D#,Kumpulkan %d fragmen untuk membentuk #C0xE77421#Levi Ackerman#C0x55504D#,Kolektahin ang %d piraso para buuin si #C0xE77421#Levi Ackerman#C0x55504D#,Kumpul %d serpihan untuk gabung menjadi #C0xE77421#Levi Ackerman#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Levi Ackerman#C0x55504D#,,,,,,,,,,6,,0,521,{coin5=30},701,80,,,,,,,,,,,,,,,,,,,{drawcard=hong_effect_loop},,
20712,,,,,2B Fragment,Mảnh 2B,2B Fragment,2B ชิ้นส่วน,Fragmen 2B,Piraso ni 2B,Fragmen 2B,config/portrait/jinglingtouxiang/img_712.png,,Thu thập đủ %d mảnh có thể hợp thành #C0xE77421#2B#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#2B#C0x55504D#,รวบรวมเศษ %d ชิ้นเพื่อสร้าง #C0xE77421#2B#C0x55504D#,Kumpulkan %d fragmen untuk membentuk #C0xE77421#2B#C0x55504D#,Kolektahin ang %d piraso para buuin si #C0xE77421#2B#C0x55504D#,Kumpul %d serpihan untuk gabung menjadi #C0xE77421#2B#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#2B#C0x55504D#,,,,,,,,,,5,,,502,{coin5=10},712,50,,,,,,,,,,,,,,,,,,,{drawcard=huang_effect_loop},,
20721,,,,,Rin Tohsaka Fragment,Mảnh Rin Tohsaka,Rin Tohsaka Fragment,Rin Tohsaka ชิ้นส่วน,Fragmen Rin Tohsaka,Piraso ni Rin Tohsaka,Fragmen Rin Tohsaka,config/portrait/jinglingtouxiang/img_721.png,,Thu thập đủ %d mảnh có thể hợp thành #C0xE77421#Rin Tohsaka#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Rin Tohsaka#C0x55504D#,รวบรวมเศษ %d ชิ้นเพื่อสร้าง #C0xE77421#Rin Tohsaka#C0x55504D#,Kumpulkan %d fragmen untuk membentuk #C0xE77421#Rin Tohsaka#C0x55504D#,Kolektahin ang %d piraso para buuin si #C0xE77421#Rin Tohsaka#C0x55504D#,Kumpul %d serpihan untuk gabung menjadi #C0xE77421#Rin Tohsaka#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Rin Tohsaka#C0x55504D#,,,,,,,,,,6,,0,521,{coin5=30},721,80,,,,,,,,,,,,,,,,,,,{drawcard=hong_effect_loop},,
