VariableName,name_cn,name_tw,name,name_vn,name_ma,name_en,name_th,name_in,name_ph,desc_cn,desc_tw,desc,desc_vn,desc_ma,desc_en,desc_th,desc_in,desc_ph,type,feature,taskType,taskParam,taskDesc_cn,taskDesc_tw,taskDesc,taskDesc_vn,taskDesc_ma,taskDesc_en,taskDesc_th,taskDesc_in,taskDesc_ph,res,icon,award,items,goto
10,,,Guild,Công hội,Persatuan,Guild,สมาคม,Guild,Guild,,,"Join a guild, find like-minded friends  ","Tham gia hội, tìm kiếm những người bạn cùng chí hướng.","Sertai guild, cari rakan sefikiran  ","Join a guild, find like-minded friends  ",เข้าร่วมกิลด์ ค้นหาเพื่อนร่วมอุดมการณ์  ,"Gabung guild, cari teman satu visi  ","Sumali sa guild, humanap ng mga kaparehong layunin  ",2,union,55,10,,,Donate to the guild 10 times  ,Quyên góp cho công hội 10 lần,Derma kepada guild sebanyak 10 kali  ,Donate to the guild 10 times  ,บริจาคให้กับกิลด์ 10 ครั้ง  ,Donasi ke guild sebanyak 10 kali  ,Mag-donate sa guild ng 10 beses  ,config/grow_guide/union.jpg,city/levelup/grow_guide_10.png,{rmb=20;gold=10000},<coin3>,union
11,,,Martial Arts Tournament,Đại hội Võ thuật,Kejohanan Seni Mempertahankan Diri,Martial Arts Tournament,การประชุมศิลปะการต่อสู้,Turnamen Bela Diri,Torneo ng Martial Arts,,,"Battle in the sky, challenge the strongest  ","Chiến đấu trên bầu trời, cạnh tranh và thách thức kẻ mạnh nhất","Bertempur di langit, cabar yang terkuat  ","Battle in the sky, challenge the strongest  ",ต่อสู้กลางอากาศ แข่งขันกับผู้แข็งแกร่งที่สุด  ,"Bertarung di langit, tantang yang terkuat  ","Labanan sa kalangitan, hamunin ang pinakamalakas  ",,craft,,,,,,,,,,,,config/grow_guide/sydh.jpg,city/levelup/grow_guide_11.png,{rmb=20;gold=10000},<coin6>,craft
12,,,Martial Arts Tournament,Đại hội võ thuật,Kejohanan Seni Mempertahankan Diri,Martial Arts Tournament,การประชุมศิลปะการต่อสู้,Turnamen Bela Diri,Torneo ng Martial Arts,,,"Battle in the sky, challenge the strongest  ","Chiến đấu trên bầu trời, cạnh tranh và thách thức kẻ mạnh nhất","Bertempur di langit, cabar yang terkuat  ","Battle in the sky, challenge the strongest  ",ต่อสู้กลางอากาศ แข่งขันกับผู้แข็งแกร่งที่สุด  ,"Bertarung di langit, tantang yang terkuat  ","Labanan sa kalangitan, hamunin ang pinakamalakas  ",2,craft,102,5,,,Manually register to join the martial arts tournament 5 times  ,Đăng ký thủ công tham gia 5 lần đại hội võ thuật.,Daftar secara manual untuk menyertai kejohanan 5 kali  ,Manually register to join the martial arts tournament 5 times  ,ลงทะเบียนเข้าร่วมงานประลอง 5 ครั้ง  ,Daftar manual ke turnamen bela diri 5 kali  ,Manwal na magparehistro sa paligsahan ng 5 beses  ,config/grow_guide/sydh.jpg,city/levelup/grow_guide_12.png,{rmb=20;gold=10000},<coin6>,craft
13,,,Talent enhancement,Nâng cao thiên phú,Peningkatan bakat,Talent enhancement,การเพิ่มพรสวรรค์,Peningkatan bakat,Pagpapalakas ng talento,,,"Full team boost, become stronger  ","Toàn thể cường hóa, trở nên mạnh mẽ hơn.","Tingkatkan seluruh pasukan, jadi lebih kuat  ","Full team boost, become stronger  ",เสริมพลังทั้งทีม แข็งแกร่งยิ่งขึ้น  ,"Tingkatkan seluruh tim, jadi lebih kuat  ","Buong pagpapalakas, maging mas malakas  ",,talent,,,,,,,,,,,,config/grow_guide/talent.jpg,city/levelup/grow_guide_13.png,{rmb=20;gold=10000},<talent_point>,talent
14,,,Enhanced talent,Thiên phú cường hóa,Pengukuhan bakat,Enhanced talent,การเสริมพลังพรสวรรค์,Penguatan bakat,Pinahusay na talento,,,"Full team boost, become stronger  ","Toàn thể cường hóa, trở nên mạnh hơn","Tingkatkan seluruh pasukan, jadi lebih kuat  ","Full team boost, become stronger  ",เสริมพลังทั้งทีม แข็งแกร่งขึ้น  ,"Tingkatkan seluruh tim, jadi lebih kuat  ","Buong pagpapalakas, maging mas malakas  ",2,talent,99,50,,,Accumulate 50 talent points used  ,Tích lũy sử dụng 50 điểm tài năng,Guna 50 mata bakat secara terkumpul  ,Accumulate 50 talent points used  ,สะสมการใช้แต้มพรสวรรค์ 50 แต้ม  ,Gunakan 50 poin bakat secara akumulatif,Gamitin ang 50 puntos ng talento  ,config/grow_guide/talent.jpg,city/levelup/grow_guide_14.png,{rmb=20;gold=10000},<talent_point>,talent
15,,,Daily mission,Nhiệm vụ hàng ngày,Misi harian,Daily mission,ภารกิจประจำวัน,Misi harian,Araw-araw na misyon,,,"Without small steps, can't go a thousand miles  ","Không tích lũy từng bước nhỏ, không thể đi ngàn dặm.","Tanpa langkah kecil, takkan sampai jauh  ","Without small steps, can't go a thousand miles  ",ไม่สะสมทีละก้าว จะไม่ไปได้พันลี้  ,"Tanpa langkah kecil, tak bisa tempuh ribuan mil  ","Kung walang maliit na hakbang, hindi makararating ng malayo  ",,dailyTask,,,,,,,,,,  ,,config/grow_guide/task.jpg,city/levelup/grow_guide_15.png,{rmb=20;gold=10000},<role_exp;453;19>,task
16,,,Daily mission,Nhiệm vụ hàng ngày,Misi harian,Daily mission,ภารกิจประจำวัน,Misi harian,Araw-araw na misyon,,,"Without small steps, can't go a thousand miles  ","Không tích lũy từng bước nhỏ, không thể đi ngàn dặm.","Tanpa langkah kecil, takkan sampai jauh  ","Without small steps, can't go a thousand miles  ",ไม่สะสมทีละก้าว จะไม่ไปได้พันลี้  ,"Tanpa langkah kecil, tak bisa tempuh ribuan mil  ","Kung walang maliit na hakbang, hindi makararating ng malayo  ",2,dailyTask,70,20,,,Complete 20 daily missions  ,Hoàn thành 20 nhiệm vụ hàng ngày.,Selesaikan 20 misi harian  ,Complete 20 daily missions  ,ทำภารกิจประจำวันให้ครบ 20 ครั้ง  ,Selesaikan 20 misi harian  ,Kumpletuhin ang 20 pang-araw-araw na misyon  ,config/grow_guide/task.jpg,city/levelup/grow_guide_16.png,{rmb=20;gold=10000},<role_exp;453;19>,task
17,,,Nightmare level,Cấp độ ác mộng,Tahap mimpi ngeri,Nightmare level,ระดับฝันร้าย,Tingkat mimpi buruk,Antas ng bangungot,,,"Not afraid of nightmares, embrace challenge  ","Không sợ ác mộng, đón nhận thử thách.","Tidak takut mimpi ngeri, terima cabaran  ","Not afraid of nightmares, embrace challenge  ",ไม่กลัวฝันร้าย เผชิญความท้าทาย  ,"Tak takut mimpi buruk, hadapi tantangan  ","Hindi takot sa bangungot, harapin ang hamon  ",,nightmareGate,,,,,,,,,,,,config/grow_guide/nightmare.jpg,city/levelup/grow_guide_17.png,{rmb=20;gold=10000},,30000
18,,,Nightmare level,Cấp độ ác mộng,Tahap mimpi ngeri,Nightmare level,ระดับฝันร้าย,Tingkat mimpi buruk,Antas ng bangungot,,,"Not afraid of nightmares, embrace challenge  ","Không sợ ác mộng, đón nhận thử thách.","Tidak takut mimpi ngeri, terima cabaran  ","Not afraid of nightmares, embrace challenge  ",ไม่กลัวฝันร้าย เผชิญความท้าทาย  ,"Tak takut mimpi buruk, hadapi tantangan  ","Hindi takot sa bangungot, harapin ang hamon  ",2,nightmareGate,31,5,,,Complete nightmare dungeon 5 times  ,Hoàn thành 5 lần phó bản ác mộng.,Selesaikan dungeon mimpi ngeri sebanyak 5 kali  ,Complete nightmare dungeon 5 times  ,ผ่านดันเจี้ยนฝันร้าย 5 ครั้ง  ,Selesaikan dungeon mimpi buruk 5 kali  ,Tapusin ang 5 beses na nightmare dungeon  ,config/grow_guide/nightmare.jpg,city/levelup/grow_guide_18.png,{rmb=20;gold=10000},,30000
19,,,Hero Encyclopedia,Bách khoa toàn thư anh hùng,Ensiklopedia Wira,Hero Encyclopedia,สารานุกรมฮีโร่,Ensiklopedia Pahlawan,Hero Encyclopedia,,,"Collect heroes, unlock abilities  ","Thu thập anh hùng, mở khóa khả năng","Kumpul wira, buka keupayaan  ","Collect heroes, unlock abilities  ",รวบรวมฮีโร่ ปลดล็อกความสามารถ  ,"Kumpulkan pahlawan, buka kemampuan  ","Kolektahin ang mga bayani, i-unlock ang mga kakayahan  ",,handbook,,,,,,,,,,,,config/grow_guide/handbook.jpg,city/levelup/grow_guide_19.png,{rmb=20;gold=10000},,handbook
21,,,Dimensional Tower,Tháp cao chiều không gian,Menara Dimensi,Dimensional Tower,หอคอยมิติ,Menara Dimensi,Toreng Dimensyonal,,,Loading...  ,Loading...,Sedang dimuatkan...  ,Loading...  ,กำลังโหลด...  ,Memuat...  ,Naglo-load...  ,,randomTower,,,,,,,,,,,,config/grow_guide/randomtower.jpg,city/levelup/grow_guide_21.png,{rmb=20;gold=10000},<coin2;4000>,randomTower
22,,,Dimensional Tower,Tháp Cao Chiều,Menara Dimensi,Dimensional Tower,หอคอยมิติ,Menara Dimensi,Toreng Dimensyonal,,,"Random challenges, extremely fun  ","Thử thách ngẫu nhiên, thú vị vô cùng","Cabaran rawak, sangat menyeronokkan  ","Random challenges, extremely fun  ",ท้าทายสุ่ม สนุกไม่รู้จบ  ,"Tantangan acak, sangat seru  ","Random na hamon, sobrang saya  ",2,randomTower,100,20,,,Win 20 battles in the Dimensional Tower  ,Chiến thắng 20 lần trong trận chiến Tháp Cao Chiều.,Menang 20 kali dalam Pertempuran Menara Dimensi Tinggi  ,Win 20 battles in the Dimensional Tower  ,ชนะการต่อสู้ในหอคอยมิติสูง 20 ครั้ง  ,Menang 20 kali di Pertempuran Menara Dimensi Tinggi  ,Manalo ng 20 beses sa Labanan sa Menara Dimensyon,config/grow_guide/randomtower.jpg,city/levelup/grow_guide_22.png,{rmb=20;gold=10000},<coin2>,randomTower
25,,,Assign mission,Phái cử nhiệm vụ,Hantar misi,Assign mission,ส่งภารกิจ,Tugas penugasan,Pagtatalaga ng misyon,,,"Dispatch heroes, gain rich rewards  ","Phái anh hùng, nhận phần thưởng phong phú.","Hantar wira, dapatkan ganjaran lumayan  ","Dispatch heroes, gain rich rewards  ",ส่งฮีโร่ รับรางวัลมากมาย  ,"Kirim pahlawan, dapatkan hadiah melimpah  ","Magpadala ng bayani, makakuha ng maraming gantimpala  ",,dispatchTask,,,,,,,,,,, ,config/grow_guide/dispatch.jpg,city/levelup/grow_guide_25.png,{rmb=20;gold=10000},<2101;2102;2103;5000>,dispatchTask
26,,,Assign mission,Phái cử nhiệm vụ,Hantar misi,Assign mission,ส่งภารกิจ,Tugas penugasan,Pagtatalaga ng misyon,,,"Dispatch heroes, gain rich rewards  ","Phái anh hùng, nhận phần thưởng phong phú","Hantar wira, dapatkan ganjaran lumayan  ","Dispatch heroes, gain rich rewards  ",ส่งฮีโร่ รับรางวัลมากมาย  ,"Kirim pahlawan, dapatkan hadiah melimpah  ","Magpadala ng bayani, makakuha ng maraming gantimpala  ",2,dispatchTask,101,5,,,Perform 5 dispatch missions  ,Thực hiện 5 nhiệm vụ điều động.,Laksanakan 5 tugasan penghantaran  ,Perform 5 dispatch missions  ,ดำเนินภารกิจส่งตัว 5 ครั้ง  ,Laksanakan 5 misi pengiriman  ,Gawin ang 5 deployment na misyon  ,config/grow_guide/dispatch.jpg,city/levelup/grow_guide_26.png,{rmb=20;gold=10000},<2101;2102;2103;5000>,dispatchTask
27,,,Summoning Beast,Thông Linh Thú,Binatang Pemanggil,Summoning Beast,สัตว์อัญเชิญ,Binatang Pemanggil,Hayop ng Pagtawag,,,,,,,,,,,explorer,,,,,,,,,,,,config/grow_guide/explorer.jpg,city/levelup/grow_guide_27.png,{rmb=20;gold=10000},<coin4>,explorer
28,,,Spirit Beast,Linh thú,Roh binatang,Spirit Beast,สัตว์วิญญาณ,Binatang Roh,Espiritung Hayop,,,,,,,,,,2,explorer,84,5,,,Enhance spirit beast 5 times  ,Cường hóa linh thú 5 lần,Tingkatkan kuasa roh binatang sebanyak 5 kali  ,Enhance spirit beast 5 times  ,เสริมพลังสัตว์อัญเชิญ 5 ครั้ง  ,Tingkatkan kekuatan hewan roh 5 kali  ,Palakasin ang espiritung hayop 5 beses  ,config/grow_guide/explorer.jpg,city/levelup/grow_guide_28.png,{rmb=20;gold=10000},<coin4>,explorer
29,,,Illusion challenge,Thử thách ảo ảnh,Cabaran ilusi,Illusion challenge,ท้าทายภาพลวงตา,Tantangan ilusi,Hamon ng ilusyon,,,"Challenge divine beast, get fragments  ","Thách thức thần thú, nhận mảnh ghép","Cabar binatang dewa, dapatkan serpihan  ","Challenge divine beast, get fragments  ",ท้าทายสัตว์เทพ รับชิ้นส่วน  ,"Tantang binatang ilahi, dapatkan pecahan  ","Hamunin ang hayop na diyos, kumuha ng piraso  ",,cloneBattle,,,,,,,,,,,,config/grow_guide/clone.jpg,city/levelup/grow_guide_29.png,{rmb=20;gold=10000},,cloneBattle
30,,,Illusion challenge,Thử thách ảo ảnh,Cabaran ilusi,Illusion challenge,ท้าทายภาพลวงตา,Tantangan ilusi,Hamon ng ilusyon,,,"Challenge divine beast, collect shards  ","Thách thức thần thú, thu thập mảnh vỡ.","Cabar binatang dewa, kumpul pecahan  ","Challenge divine beast, collect shards  ",ท้าทายสัตว์เทพ สะสมเศษชิ้นส่วน  ,"Tantang binatang ilahi, kumpulkan fragmen  ","Hamunin ang hayop na diyos, kolektahin ang mga fragment  ",2,cloneBattle,66,3,,,Win 3 Illusion Challenge battles  ,Chiến thắng 3 trận chiến Thử thách Huyễn Tượng,Menang 3 kali dalam Cabaran Ilusi  ,Win 3 Illusion Challenge battles  ,ชนะการต่อสู้ในท้าทายมายา 3 ครั้ง  ,Menang 3 kali dalam Tantangan Ilusi  ,Manalo ng 3 laban sa Pagsubok ng Ilusyon  ,config/grow_guide/clone.jpg,city/levelup/grow_guide_30.png,{rmb=20;gold=10000},,cloneBattle
31,,,Battle inscription,Chiến văn,Ukiran perang,Battle inscription,คำสลักสงคราม,Inskripsi pertempuran,Inskripsyon ng labanan,,,"Embed secret runes, gain powerful resonance effects  ","Khảm bí văn, nhận được hiệu ứng cộng hưởng mạnh mẽ.","Tanamkan rune rahsia, peroleh kesan resonans yang kuat  ","Embed secret runes, gain powerful resonance effects  ",ฝังอักษรลับ รับเอฟเฟกต์共鸣อันทรงพลัง  ,"Tanamkan rune rahasia, dapatkan efek resonansi yang kuat  ","Ipasok ang lihim na rune, makuha ang malakas na epekto ng resonance  ",,gem,,,,,,,,,,,,config/grow_guide/gem.png,city/levelup/grow_guide_31.png,{rmb=20;gold=10000},<529>,gemTitle
32,,,Extract battle inscription,Chiến văn trừu xuất,Ekstrak ukiran perang,Extract battle inscription,สกัดคำสลักสงคราม,Ekstrak inskripsi pertempuran,Extract inskripsyon ng labanan,,,"Embed secret runes, gain powerful resonance effects  ","Khảm bí văn, nhận được hiệu ứng cộng hưởng mạnh mẽ.","Tanamkan rune rahsia, peroleh kesan resonans yang kuat  ","Embed secret runes, gain powerful resonance effects  ",ฝังอักษรลับ รับเอฟเฟกต์共鸣อันทรงพลัง  ,"Tanamkan rune rahasia, dapatkan efek resonansi yang kuat  ","Ipasok ang lihim na rune, makuha ang malakas na epekto ng resonance  ",2,gem,105,20,,,Accumulate 20 secret rune summons  ,Tích lũy rút bí văn 20 lần,Kumpul 20 kali cabutan simbol rahsia  ,Accumulate 20 secret rune summons  ,สะสมการดึงบิสูตร 20 ครั้ง  ,Akumulasi 20 kali undian simbol rahasia  ,I-summon ang 20 beses ng lihim na simbolo  ,config/grow_guide/gemdraw.png,city/levelup/grow_guide_32.png,{rmb=20;gold=10000},<529>,gemDraw
