VariableName,typeID,star,gold,costCardNum,universalCards,costItems,hpGrow,speedGrow,damageGrow,defenceGrow,specialDamageGrow,specialDefenceGrow,hpC,speedC,damageC,defenceC,specialDamageC,specialDefenceC,mp1C,initMp1C,hpRecoverC,mp1RecoverC,mp2RecoverC,defenceIgnoreC,specialDefenceIgnore,strikeLevelC,strikeDamageC,strikeResistanceC,blockLevelC,breakBlockLevelC,blockPowerC,dodgeC,hitC,damageAddC,damageSubC,damageDeepenC,damageReduceC,suckBloodC,reboundC,mainSkillAddC,mainSkillSubC,curePowerC,natureRestraintC
218,2,18,3520000,8,<9001>,,337.7316,6.75,60.075,24.075,60.075,24.075,10919.921,261.9,2330.91,934.11,2330.91,934.11,,,,,,,,,,,,,,,,,,,,,,,,,
219,2,19,3840000,9,<9001>,,360.2472,7.2,64.08,25.68,64.08,25.68,11670.431,279.9,2491.11,998.31,2491.11,998.31,,,,,,,,,,,,,,,,,,,,,,,,,
220,2,20,4160000,9,<9001>,,382.7628,7.65,68.085,27.285,68.085,27.285,12420.941,297.9,2651.31,1062.51,2651.31,1062.51,,,,,,,,,,,,,,,,,,,,,,,,,
221,2,21,4480000,10,<9001>,,405.2784,8.1,72.09,28.89,72.09,28.89,13171.451,315.9,2811.51,1126.71,2811.51,1126.71,,,,,,,,,,,,,,,,,,,,,,,,,
222,2,22,4800000,10,<9001>,,427.794,8.55,76.095,30.495,76.095,30.495,13921.961,333.9,2971.71,1190.91,2971.71,1190.91,,,,,,,,,,,,,,,,,,,,,,,,,
223,2,23,5120000,10,<9001>,,450.3096,9,80.1,32.1,80.1,32.1,14672.471,351.9,3131.91,1255.11,3131.91,1255.11,,,,,,,,,,,,,,,,,,,,,,,,,
224,2,24,0,,,,472.8252,9.45,84.105,33.705,84.105,33.705,15422.981,369.9,3292.11,1319.31,3292.11,1319.31,,,,,,,,,,,,,,,,,,,,,,,,,
301,3,,10000,,,,,,,,,,45.031,1.08,9.612,3.852,9.612,3.852,,,,,,,,,,,,,,,,,,,,,,,,,
302,3,2,50000,,,,9.9072,0.198,1.762,0.706,1.762,0.706,360.245,8.64,76.896,30.816,76.896,30.816,,,,,,,,,,,,,,,,,,,,,,,,,
303,3,3,200000,1,<9002>,,19.8132,0.396,3.524,1.412,3.524,1.412,675.459,16.2,144.18,57.78,144.18,57.78,,,,,,,,,,,,,,,,,,,,,,,,,
304,3,4,300000,1,<9002>,,34.674,0.693,6.168,2.472,6.168,2.472,1260.857,30.24,269.136,107.856,269.136,107.856,,,,,,,,,,,,,,,,,,,,,,,,,
305,3,5,400000,2,<9002>,,52.0104,1.04,9.252,3.708,9.252,3.708,1846.255,44.28,394.092,157.932,394.092,157.932,,,,,,,,,,,,,,,,,,,,,,,,,
306,3,6,500000,2,<9002>,,74.3004,1.485,13.217,5.297,13.217,5.297,2521.714,60.48,538.272,215.712,538.272,215.712,,,,,,,,,,,,,,,,,,,,,,,,,
307,3,7,600000,2,<9002>,,99.0672,1.98,17.622,7.062,17.622,7.062,3197.173,76.68,682.452,273.492,682.452,273.492,,,,,,,,,,,,,,,,,,,,,,,,,
308,3,8,800000,3,<9002>,,123.834,2.475,22.028,8.828,22.028,8.828,4097.785,98.28,874.692,350.532,874.692,350.532,,,,,,,,,,,,,,,,,,,,,,,,,
309,3,9,1000000,3,<9002>,,148.6008,2.97,26.433,10.593,26.433,10.593,4998.397,119.88,1066.932,427.572,1066.932,427.572,,,,,,,,,,,,,,,,,,,,,,,,,
310,3,10,1200000,3,<9002>,,173.3676,3.465,30.839,12.359,30.839,12.359,5899.009,141.48,1259.172,504.612,1259.172,504.612,,,,,,,,,,,,,,,,,,,,,,,,,
311,3,11,1600000,4,<9002>,,198.1344,3.96,35.244,14.124,35.244,14.124,6799.621,163.08,1451.412,581.652,1451.412,581.652,,,,,,,,,,,,,,,,,,,,,,,,,
312,3,12,2000000,4,<9002>,,222.9012,4.455,39.65,15.89,39.65,15.89,7700.233,184.68,1643.652,658.692,1643.652,658.692,,,,,,,,,,,,,,,,,,,,,,,,,
313,3,13,2400000,5,<9002>,,247.668,4.95,44.0555,17.6555,44.0555,17.6555,8600.845,206.28,1835.892,735.732,1835.892,735.732,,,,,,,,,,,,,,,,,,,,,,,,,
314,3,14,2800000,5,<9002>,,272.4348,5.445,48.4611,19.4211,48.4611,19.4211,9501.457,227.88,2028.132,812.772,2028.132,812.772,,,,,,,,,,,,,,,,,,,,,,,,,
315,3,15,3200000,6,<9002>,,297.2016,5.94,52.8667,21.1867,52.8667,21.1867,10402.069,249.48,2220.372,889.812,2220.372,889.812,,,,,,,,,,,,,,,,,,,,,,,,,
316,3,16,3600000,6,<9002>,,321.9684,6.435,57.2723,22.9523,57.2723,22.9523,11302.681,271.08,2412.612,966.852,2412.612,966.852,,,,,,,,,,,,,,,,,,,,,,,,,
317,3,17,4000000,7,<9002>,,346.7352,6.93,61.6779,24.7179,61.6779,24.7179,12203.293,292.68,2604.852,1043.892,2604.852,1043.892,,,,,,,,,,,,,,,,,,,,,,,,,
318,3,18,4400000,7,<9002>,,371.502,7.425,66.0835,26.4835,66.0835,26.4835,13103.905,314.28,2797.092,1120.932,2797.092,1120.932,,,,,,,,,,,,,,,,,,,,,,,,,
319,3,19,4800000,8,<9002>,,396.2688,7.92,70.4891,28.2491,70.4891,28.2491,14004.517,335.88,2989.332,1197.972,2989.332,1197.972,,,,,,,,,,,,,,,,,,,,,,,,,
320,3,20,5200000,8,<9002>,,421.0356,8.415,74.8947,30.0147,74.8947,30.0147,14905.129,357.48,3181.572,1275.012,3181.572,1275.012,,,,,,,,,,,,,,,,,,,,,,,,,
321,3,21,5600000,9,<9002>,,445.8024,8.91,79.3003,31.7803,79.3003,31.7803,15805.741,379.08,3373.812,1352.052,3373.812,1352.052,,,,,,,,,,,,,,,,,,,,,,,,,
322,3,22,6000000,9,<9002>,,470.5692,9.405,83.7059,33.5459,83.7059,33.5459,16706.353,400.68,3566.052,1429.092,3566.052,1429.092,,,,,,,,,,,,,,,,,,,,,,,,,
323,3,23,6400000,10,<9002>,,495.336,9.9,88.1115,35.3115,88.1115,35.3115,17606.965,422.28,3758.292,1506.132,3758.292,1506.132,,,,,,,,,,,,,,,,,,,,,,,,,
324,3,24,0,,,,520.1028,10.395,92.5171,37.0771,92.5171,37.0771,18507.577,443.88,3950.532,1583.172,3950.532,1583.172,,,,,,,,,,,,,,,,,,,,,,,,,
401,4,,15000,,,,,,,,,,67.546,1.62,14.418,5.778,14.418,5.778,,,,,,,,,,,,,,,,,,,,,,,,,
402,4,2,75000,,,,12.6084,0.252,2.243,0.899,2.243,0.899,540.367,12.96,115.344,46.224,115.344,46.224,,,,,,,,,,,,,,,,,,,,,,,,,
403,4,3,300000,,<9003>,,25.2168,0.504,4.486,1.798,4.486,1.798,1013.189,24.3,216.27,86.67,216.27,86.67,,,,,,,,,,,,,,,,,,,,,,,,,
404,4,4,450000,1,<9003>,,44.13,0.882,7.85,3.146,7.85,3.146,1891.285,45.36,403.704,161.784,403.704,161.784,,,,,,,,,,,,,,,,,,,,,,,,,
405,4,5,600000,1,<9003>,,66.1944,1.323,11.775,4.719,11.775,4.719,2769.382,66.42,591.138,236.898,591.138,236.898,,,,,,,,,,,,,,,,,,,,,,,,,
406,4,6,750000,2,<9003>,,94.5648,1.89,16.821,6.741,16.821,6.741,3782.57,90.72,807.408,323.568,807.408,323.568,,,,,,,,,,,,,,,,,,,,,,,,,
407,4,7,900000,2,<9003>,,126.0852,2.52,22.428,8.988,22.428,8.988,4795.759,115.02,1023.678,410.238,1023.678,410.238,,,,,,,,,,,,,,,,,,,,,,,,,
408,4,8,1200000,2,<9003>,,157.6068,3.15,28.035,11.235,28.035,11.235,6146.677,147.42,1312.038,525.798,1312.038,525.798,,,,,,,,,,,,,,,,,,,,,,,,,
409,4,9,1500000,3,<9003>,,189.1284,3.78,33.642,13.482,33.642,13.482,7497.595,179.82,1600.398,641.358,1600.398,641.358,,,,,,,,,,,,,,,,,,,,,,,,,
410,4,10,1800000,3,<9003>,,220.65,4.41,39.249,15.729,39.249,15.729,8848.513,212.22,1888.758,756.918,1888.758,756.918,,,,,,,,,,,,,,,,,,,,,,,,,
411,4,11,2100000,3,<9003>,,252.1716,5.04,44.856,17.976,44.856,17.976,10199.431,244.62,2177.118,872.478,2177.118,872.478,,,,,,,,,,,,,,,,,,,,,,,,,
412,4,12,2400000,4,<9003>,,283.6932,5.67,50.463,20.223,50.463,20.223,11550.349,277.02,2465.478,988.038,2465.478,988.038,,,,,,,,,,,,,,,,,,,,,,,,,
413,4,13,2700000,4,<9003>,,315.2148,6.3,56.07,22.47,56.07,22.47,12901.267,309.42,2753.838,1103.598,2753.838,1103.598,,,,,,,,,,,,,,,,,,,,,,,,,
414,4,14,3000000,5,<9003>,,346.7364,6.93,61.677,24.717,61.677,24.717,14252.185,341.82,3042.198,1219.158,3042.198,1219.158,,,,,,,,,,,,,,,,,,,,,,,,,
415,4,15,3300000,5,<9003>,,378.258,7.56,67.284,26.964,67.284,26.964,15603.103,374.22,3330.558,1334.718,3330.558,1334.718,,,,,,,,,,,,,,,,,,,,,,,,,
416,4,16,3600000,5,<9003>,,409.7796,8.19,72.891,29.211,72.891,29.211,16954.021,406.62,3618.918,1450.278,3618.918,1450.278,,,,,,,,,,,,,,,,,,,,,,,,,
417,4,17,3900000,6,<9003>,,441.3012,8.82,78.498,31.458,78.498,31.458,18304.939,439.02,3907.278,1565.838,3907.278,1565.838,,,,,,,,,,,,,,,,,,,,,,,,,
418,4,18,4200000,6,<9003>,,472.8228,9.45,84.105,33.705,84.105,33.705,19655.857,471.42,4195.638,1681.398,4195.638,1681.398,,,,,,,,,,,,,,,,,,,,,,,,,
419,4,19,4500000,7,<9003>,,504.3444,10.08,89.712,35.952,89.712,35.952,21006.775,503.82,4483.998,1796.958,4483.998,1796.958,,,,,,,,,,,,,,,,,,,,,,,,,
420,4,20,4800000,7,<9003>,,535.866,10.71,95.319,38.199,95.319,38.199,22357.693,536.22,4772.358,1912.518,4772.358,1912.518,,,,,,,,,,,,,,,,,,,,,,,,,
421,4,21,5100000,8,<9003>,,567.3876,11.34,100.926,40.446,100.926,40.446,23708.611,568.62,5060.718,2028.078,5060.718,2028.078,,,,,,,,,,,,,,,,,,,,,,,,,
422,4,22,5400000,8,<9003>,,598.9092,11.97,106.533,42.693,106.533,42.693,25059.529,601.02,5349.078,2143.638,5349.078,2143.638,,,,,,,,,,,,,,,,,,,,,,,,,
423,4,23,5700000,8,<9003>,,630.4308,12.6,112.14,44.94,112.14,44.94,26410.447,633.42,5637.438,2259.198,5637.438,2259.198,,,,,,,,,,,,,,,,,,,,,,,,,
424,4,24,0,,<9003>,,661.9524,13.23,117.747,47.187,117.747,47.187,27761.365,665.82,5925.798,2374.758,5925.798,2374.758,,,,,,,,,,,,,,,,,,,,,,,,,
501,5,,20000,,,,,,,,,,93.814,2.25,20.025,8.025,20.025,8.025,,,,,,,,,,,,,,,,,,,,,,,,,
502,5,2,,,,,15.3108,0.306,2.723,1.091,2.723,1.091,750.51,18,160.2,64.2,160.2,64.2,,,,,,,,,,,,,,,,,,,,,,,,,
503,5,3,400000,,,,30.6204,0.612,5.447,2.183,5.447,2.183,1407.206,33.75,300.375,120.375,300.375,120.375,,,,,,,,,,,,,,,,,,,,,,,,,
504,5,4,600000,1,,,53.586,1.071,9.532,3.82,9.532,3.82,2626.785,63,560.7,224.7,560.7,224.7,,,,,,,,,,,,,,,,,,,,,,,,,
505,5,5,800000,1,,,80.3796,1.607,14.298,5.73,14.298,5.73,3846.364,92.25,821.025,329.025,821.025,329.025,,,,,,,,,,,,,,,,,,,,,,,,,
506,5,6,1000000,2,,,114.828,2.295,20.426,8.186,20.426,8.186,5253.57,126,1121.4,449.4,1121.4,449.4,,,,,,,,,,,,,,,,,,,,,,,,,
507,5,7,1200000,2,,,153.1044,3.06,27.234,10.914,27.234,10.914,6660.776,159.75,1421.775,569.775,1421.775,569.775,,,,,,,,,,,,,,,,,,,,,,,,,
508,5,8,1600000,2,,,191.3796,3.825,34.043,13.643,34.043,13.643,8537.051,204.75,1822.275,730.275,1822.275,730.275,,,,,,,,,,,,,,,,,,,,,,,,,
509,5,9,2000000,3,,,229.656,4.59,40.851,16.371,40.851,16.371,10413.326,249.75,2222.775,890.775,2222.775,890.775,,,,,,,,,,,,,,,,,,,,,,,,,
510,5,10,2400000,3,,,267.9324,5.355,47.66,19.1,47.66,19.1,12289.601,294.75,2623.275,1051.275,2623.275,1051.275,,,,,,,,,,,,,,,,,,,,,,,,,
511,5,11,2800000,3,,,306.2076,6.12,54.468,21.828,54.468,21.828,14165.876,339.75,3023.775,1211.775,3023.775,1211.775,,,,,,,,,,,,,,,,,,,,,,,,,
512,5,12,3200000,4,,,344.484,6.885,61.277,24.557,61.277,24.557,16042.151,384.75,3424.275,1372.275,3424.275,1372.275,,,,,,,,,,,,,,,,,,,,,,,,,
513,5,13,3600000,4,,,382.7596,7.65,68.08533333,27.28533333,68.08533333,27.28533333,17918.426,429.75,3824.775,1532.775,3824.775,1532.775,,,,,,,,,,,,,,,,,,,,,,,,,
514,5,14,4000000,4,,,421.0354,8.415,74.89383333,30.01383333,74.89383333,30.01383333,19794.701,474.75,4225.275,1693.275,4225.275,1693.275,,,,,,,,,,,,,,,,,,,,,,,,,
515,5,15,4400000,5,,,459.3112,9.18,81.70233333,32.74233333,81.70233333,32.74233333,21670.976,519.75,4625.775,1853.775,4625.775,1853.775,,,,,,,,,,,,,,,,,,,,,,,,,
516,5,16,4800000,5,,,497.587,9.945,88.51083333,35.47083333,88.51083333,35.47083333,23547.251,564.75,5026.275,2014.275,5026.275,2014.275,,,,,,,,,,,,,,,,,,,,,,,,,
517,5,17,5200000,6,,,535.8628,10.71,95.31933333,38.19933333,95.31933333,38.19933333,25423.526,609.75,5426.775,2174.775,5426.775,2174.775,,,,,,,,,,,,,,,,,,,,,,,,,
518,5,18,5600000,6,,,574.1386,11.475,102.1278333,40.92783333,102.1278333,40.92783333,27299.801,654.75,5827.275,2335.275,5827.275,2335.275,,,,,,,,,,,,,,,,,,,,,,,,,
519,5,19,6000000,7,,,612.4144,12.24,108.9363333,43.65633333,108.9363333,43.65633333,29176.076,699.75,6227.775,2495.775,6227.775,2495.775,,,,,,,,,,,,,,,,,,,,,,,,,
520,5,20,6400000,7,,,650.6902,13.005,115.7448333,46.38483333,115.7448333,46.38483333,31052.351,744.75,6628.275,2656.275,6628.275,2656.275,,,,,,,,,,,,,,,,,,,,,,,,,
521,5,21,6800000,8,,,688.966,13.77,122.5533333,49.11333333,122.5533333,49.11333333,32928.626,789.75,7028.775,2816.775,7028.775,2816.775,,,,,,,,,,,,,,,,,,,,,,,,,
522,5,22,7200000,8,,,727.2418,14.535,129.3618333,51.84183333,129.3618333,51.84183333,34804.901,834.75,7429.275,2977.275,7429.275,2977.275,,,,,,,,,,,,,,,,,,,,,,,,,
523,5,23,7600000,8,,,765.5176,15.3,136.1703333,54.57033333,136.1703333,54.57033333,36681.176,879.75,7829.775,3137.775,7829.775,3137.775,,,,,,,,,,,,,,,,,,,,,,,,,
524,5,24,0,,,,803.7934,16.065,142.9788333,57.29883333,142.9788333,57.29883333,38557.451,924.75,8230.275,3298.275,8230.275,3298.275,,,,,,,,,,,,,,,,,,,,,,,,,
601,6,,0,,,,,,,,,,53.8,1.2,10.68,4.28,10.68,4.28,,,,,,,,,,,,,,,,,,,,,,,,,
602,6,2,0,,,,,,,,,,53.8,1.2,10.68,4.28,10.68,4.28,,,,,,,,,,,,,,,,,,,,,,,,,
1201,12,,8000,,,,,,,,,,45.031,1.08,9.612,3.852,9.612,3.852,,,,,,,,,,,,,,,,,,,,,,,,,
1202,12,2,40000,1,<9001>,,9.9072,0.198,1.762,0.706,1.762,0.706,360.245,8.64,76.896,30.816,76.896,30.816,,,,,,,,,,,,,,,,,,,,,,,,,
1203,12,3,160000,1,<9001>,,19.8132,0.396,3.524,1.412,3.524,1.412,675.459,16.2,144.18,57.78,144.18,57.78,,,,,,,,,,,,,,,,,,,,,,,,,
1204,12,4,240000,2,<9001>,,34.674,0.693,6.168,2.472,6.168,2.472,1260.857,30.24,269.136,107.856,269.136,107.856,,,,,,,,,,,,,,,,,,,,,,,,,
1205,12,5,320000,2,<9001>,,52.0104,1.04,9.252,3.708,9.252,3.708,1846.255,44.28,394.092,157.932,394.092,157.932,,,,,,,,,,,,,,,,,,,,,,,,,
1206,12,6,400000,3,<9001>,,74.3004,1.485,13.217,5.297,13.217,5.297,2521.714,60.48,538.272,215.712,538.272,215.712,,,,,,,,,,,,,,,,,,,,,,,,,
1207,12,7,480000,3,<9001>,,99.0672,1.98,17.622,7.062,17.622,7.062,3197.173,76.68,682.452,273.492,682.452,273.492,,,,,,,,,,,,,,,,,,,,,,,,,
1208,12,8,640000,4,<9001>,,123.834,2.475,22.028,8.828,22.028,8.828,4097.785,98.28,874.692,350.532,874.692,350.532,,,,,,,,,,,,,,,,,,,,,,,,,
1209,12,9,800000,4,<9001>,,148.6008,2.97,26.433,10.593,26.433,10.593,4998.397,119.88,1066.932,427.572,1066.932,427.572,,,,,,,,,,,,,,,,,,,,,,,,,
1210,12,10,960000,4,<9001>,,173.3676,3.465,30.839,12.359,30.839,12.359,5899.009,141.48,1259.172,504.612,1259.172,504.612,,,,,,,,,,,,,,,,,,,,,,,,,
1211,12,11,1120000,5,<9001>,,198.1344,3.96,35.244,14.124,35.244,14.124,6799.621,163.08,1451.412,581.652,1451.412,581.652,,,,,,,,,,,,,,,,,,,,,,,,,
1212,12,12,1280000,5,<9001>,,222.9012,4.455,39.65,15.89,39.65,15.89,7700.233,184.68,1643.652,658.692,1643.652,658.692,,,,,,,,,,,,,,,,,,,,,,,,,
1213,12,13,1440000,6,<9001>,,247.668,4.95,44.05533333,17.65533333,44.05533333,17.65533333,8600.845,206.28,1835.892,735.732,1835.892,735.732,,,,,,,,,,,,,,,,,,,,,,,,,
1214,12,14,1600000,6,<9001>,,272.4348,5.445,48.46083333,19.42083333,48.46083333,19.42083333,9501.457,227.88,2028.132,812.772,2028.132,812.772,,,,,,,,,,,,,,,,,,,,,,,,,
1215,12,15,1760000,7,<9001>,,297.2016,5.94,52.86633333,21.18633333,52.86633333,21.18633333,10402.069,249.48,2220.372,889.812,2220.372,889.812,,,,,,,,,,,,,,,,,,,,,,,,,
1216,12,16,1920000,7,<9001>,,321.9684,6.435,57.27183333,22.95183333,57.27183333,22.95183333,11302.681,271.08,2412.612,966.852,2412.612,966.852,,,,,,,,,,,,,,,,,,,,,,,,,
1217,12,17,2080000,8,<9001>,,346.7352,6.93,61.67733333,24.71733333,61.67733333,24.71733333,12203.293,292.68,2604.852,1043.892,2604.852,1043.892,,,,,,,,,,,,,,,,,,,,,,,,,
