VariableName,_beizhu,index,seatExtraFix,wave,hp,damage,specialDamage,defence,specialDefence,speed,hpself,damageself,specialDamageself,defenceself,specialDefenceself,speedself
Defaults,,,{},,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>,<1;1>
VariableName,备注,索引,站位修正,波次,怪物血量修正,怪物攻击修正,怪物攻击修正,怪物防御修正,怪物防御修正,怪物速度修正,己方血量修正,己方攻击修正,己方攻击修正,己方防御修正,己方防御修正,己方攻击修正
47,,80004,,11,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
48,,80004,,12,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
49,,80005,,1,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
50,,80005,,2,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
51,,80005,,3,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
52,,80005,,4,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
53,,80005,,5,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
54,,80005,,6,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
55,,80005,,7,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
56,,80005,,8,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
57,,80005,,9,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
58,,80005,,10,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
59,,80005,,11,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
60,,80005,,12,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
61,,80006,,1,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
62,,80006,,2,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
63,,80006,,3,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
64,,80006,,4,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
65,,80006,,5,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
66,,80006,,6,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
67,,80006,,7,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
68,,80006,,8,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
69,,80006,,9,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
70,,80006,,10,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
71,,80006,,11,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
72,,80006,,12,<1.6;1.36>,<0.63;0.7>,<0.63;0.7>,<0.84;0.72>,<0.84;0.72>,<0.88;0.88>,,,,,,
73,,80011,{11=1.1},1,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
74,,80011,{11=1.1},2,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
75,,80011,{11=1.1},3,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
76,,80011,{11=1.1},4,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
77,,80011,{11=1.1},5,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
78,,80011,{11=1.1},6,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
79,,80011,{11=1.1},7,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
80,,80011,{11=1.1},8,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
81,,80011,{11=1.1},9,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
82,,80011,{11=1.1},10,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
83,,80011,{11=1.1},11,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
84,,80011,{11=1.1},12,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
85,,80012,{11=1.1},1,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
86,,80012,{11=1.1},2,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
87,,80012,{11=1.1},3,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
88,,80012,{11=1.1},4,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
89,,80012,{11=1.1},5,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
90,,80012,{11=1.1},6,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
91,,80012,{11=1.1},7,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
92,,80012,{11=1.1},8,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
93,,80012,{11=1.1},9,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
94,,80012,{11=1.1},10,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
95,,80012,{11=1.1},11,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
96,,80012,{11=1.1},12,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
97,,80013,,1,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
98,,80013,,2,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
99,,80013,,3,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
100,,80013,,4,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
101,,80013,,5,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
102,,80013,,6,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
103,,80013,,7,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
104,,80013,,8,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
105,,80013,,9,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
106,,80013,,10,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
107,,80013,,11,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
108,,80013,,12,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
109,,80014,,1,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
110,,80014,,2,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
111,,80014,,3,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
112,,80014,,4,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
113,,80014,,5,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
114,,80014,,6,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
115,,80014,,7,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
116,,80014,,8,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
117,,80014,,9,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
118,,80014,,10,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
119,,80014,,11,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
120,,80014,,12,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
121,,80015,,1,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
122,,80015,,2,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
123,,80015,,3,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
124,,80015,,4,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
125,,80015,,5,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
126,,80015,,6,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
127,,80015,,7,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
128,,80015,,8,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
129,,80015,,9,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
130,,80015,,10,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
131,,80015,,11,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
132,,80015,,12,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
133,,80016,,1,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
134,,80016,,2,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
135,,80016,,3,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
136,,80016,,4,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
137,,80016,,5,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
138,,80016,,6,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
139,,80016,,7,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
140,,80016,,8,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
141,,80016,,9,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
142,,80016,,10,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
143,,80016,,11,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
144,,80016,,12,<1.92;1.63>,<0.76;0.84>,<0.76;0.84>,<1.01;0.86>,<1.01;0.86>,<0.9;0.9>,,,,,,
145,,80021,{11=1},1,<2.3;1.96>,<0.91;1.01>,<0.91;1.01>,<1.21;1.04>,<1.21;1.04>,<0.92;0.92>,,,,,,
146,,80021,{11=1},2,<2.3;1.96>,<0.91;1.01>,<0.91;1.01>,<1.21;1.04>,<1.21;1.04>,<0.92;0.92>,,,,,,
147,,80021,{11=1},3,<2.3;1.96>,<0.91;1.01>,<0.91;1.01>,<1.21;1.04>,<1.21;1.04>,<0.92;0.92>,,,,,,
148,,80021,{11=1},4,<2.3;1.96>,<0.91;1.01>,<0.91;1.01>,<1.21;1.04>,<1.21;1.04>,<0.92;0.92>,,,,,,
149,,80021,{11=1},5,<2.3;1.96>,<0.91;1.01>,<0.91;1.01>,<1.21;1.04>,<1.21;1.04>,<0.92;0.92>,,,,,,
150,,80021,{11=1},6,<2.3;1.96>,<0.91;1.01>,<0.91;1.01>,<1.21;1.04>,<1.21;1.04>,<0.92;0.92>,,,,,,
151,,80021,{11=1},7,<2.3;1.96>,<0.91;1.01>,<0.91;1.01>,<1.21;1.04>,<1.21;1.04>,<0.92;0.92>,,,,,,
152,,80021,{11=1},8,<2.3;1.96>,<0.91;1.01>,<0.91;1.01>,<1.21;1.04>,<1.21;1.04>,<0.92;0.92>,,,,,,
153,,80021,{11=1},9,<2.3;1.96>,<0.91;1.01>,<0.91;1.01>,<1.21;1.04>,<1.21;1.04>,<0.92;0.92>,,,,,,
154,,80021,{11=1},10,<2.3;1.96>,<0.91;1.01>,<0.91;1.01>,<1.21;1.04>,<1.21;1.04>,<0.92;0.92>,,,,,,
155,,80021,{11=1},11,<2.3;1.96>,<0.91;1.01>,<0.91;1.01>,<1.21;1.04>,<1.21;1.04>,<0.92;0.92>,,,,,,
156,,80021,{11=1},12,<2.3;1.96>,<0.91;1.01>,<0.91;1.01>,<1.21;1.04>,<1.21;1.04>,<0.92;0.92>,,,,,,
157,,80022,{11=1.1},1,<2.3;1.96>,<0.91;1.01>,<0.91;1.01>,<1.21;1.04>,<1.21;1.04>,<0.92;0.92>,,,,,,
158,,80022,{11=1.1},2,<2.3;1.96>,<0.91;1.01>,<0.91;1.01>,<1.21;1.04>,<1.21;1.04>,<0.92;0.92>,,,,,,
159,,80022,{11=1.1},3,<2.3;1.96>,<0.91;1.01>,<0.91;1.01>,<1.21;1.04>,<1.21;1.04>,<0.92;0.92>,,,,,,
160,,80022,{11=1.1},4,<2.3;1.96>,<0.91;1.01>,<0.91;1.01>,<1.21;1.04>,<1.21;1.04>,<0.92;0.92>,,,,,,
161,,80022,{11=1.1},5,<2.3;1.96>,<0.91;1.01>,<0.91;1.01>,<1.21;1.04>,<1.21;1.04>,<0.92;0.92>,,,,,,
162,,80022,{11=1.1},6,<2.3;1.96>,<0.91;1.01>,<0.91;1.01>,<1.21;1.04>,<1.21;1.04>,<0.92;0.92>,,,,,,
163,,80022,{11=1.1},7,<2.3;1.96>,<0.91;1.01>,<0.91;1.01>,<1.21;1.04>,<1.21;1.04>,<0.92;0.92>,,,,,,
164,,80022,{11=1.1},8,<2.3;1.96>,<0.91;1.01>,<0.91;1.01>,<1.21;1.04>,<1.21;1.04>,<0.92;0.92>,,,,,,
165,,80022,{11=1.1},9,<2.3;1.96>,<0.91;1.01>,<0.91;1.01>,<1.21;1.04>,<1.21;1.04>,<0.92;0.92>,,,,,,
166,,80022,{11=1.1},10,<2.3;1.96>,<0.91;1.01>,<0.91;1.01>,<1.21;1.04>,<1.21;1.04>,<0.92;0.92>,,,,,,
167,,80022,{11=1.1},11,<2.3;1.96>,<0.91;1.01>,<0.91;1.01>,<1.21;1.04>,<1.21;1.04>,<0.92;0.92>,,,,,,
168,,80022,{11=1.1},12,<2.3;1.96>,<0.91;1.01>,<0.91;1.01>,<1.21;1.04>,<1.21;1.04>,<0.92;0.92>,,,,,,
169,,80023,,1,<2.3;1.96>,<0.91;1.01>,<0.91;1.01>,<1.21;1.04>,<1.21;1.04>,<0.92;0.92>,,,,,,
170,,80023,,2,<2.3;1.96>,<0.91;1.01>,<0.91;1.01>,<1.21;1.04>,<1.21;1.04>,<0.92;0.92>,,,,,,
171,,80023,,3,<2.3;1.96>,<0.91;1.01>,<0.91;1.01>,<1.21;1.04>,<1.21;1.04>,<0.92;0.92>,,,,,,
172,,80023,,4,<2.3;1.96>,<0.91;1.01>,<0.91;1.01>,<1.21;1.04>,<1.21;1.04>,<0.92;0.92>,,,,,,
