VariableName,markID,_beizhu1,_beizhu2,_beizhu3,_beizhu4,star,attrType1,attrValue1,attrType2,attrValue2
150,263,,,,,6,13,0.80%,,
151,263,,,,,7,13,1.44%,,
152,263,,,,,8,13,2.08%,,
153,263,,,,,9,13,2.72%,,
154,263,,,,,10,13,3.68%,,
155,263,,,,,11,13,4.64%,,
156,263,,,,,12,13,5.60%,,
157,263,,,,,13,13,6.11%,,
158,263,,,,,14,13,6.62%,,
159,263,,,,,15,13,7.13%,,
160,263,,,,,16,13,7.64%,,
161,263,,,,,17,13,8.15%,,
162,263,,,,,18,13,8.65%,,
163,263,,,,,19,13,9.16%,,
164,263,,,,,20,13,9.67%,,
165,263,,,,,21,13,10.18%,,
166,263,,,,,22,13,10.69%,,
167,263,,,,,23,13,11.20%,,
168,263,,,,,24,13,11.71%,,
169,273,,,,,1,10,0.00%,,
170,273,,,,,2,10,0.08%,,
171,273,,,,,3,10,0.16%,,
172,273,,,,,4,10,0.24%,,
173,273,,,,,5,10,0.40%,,
174,273,,,,,6,10,0.56%,,
175,273,,,,,7,10,0.80%,,
176,273,,,,,8,10,1.04%,,
177,273,,,,,9,10,1.36%,,
178,273,,,,,10,10,1.68%,,
179,273,,,,,11,10,2.00%,,
180,273,,,,,12,10,2.40%,,
181,273,,,,,13,10,2.62%,,
182,273,,,,,14,10,2.84%,,
183,273,,,,,15,10,3.05%,,
184,273,,,,,16,10,3.27%,,
185,273,,,,,17,10,3.49%,,
186,273,,,,,18,10,3.71%,,
187,273,,,,,19,10,3.93%,,
188,273,,,,,20,10,4.15%,,
189,273,,,,,21,10,4.36%,,
190,273,,,,,22,10,4.58%,,
191,273,,,,,23,10,4.80%,,
192,273,,,,,24,10,5.02%,,
193,333,,,,,1,8,0.00%,,
194,333,,,,,2,8,0.00%,,
195,333,,,,,3,8,0.10%,,
196,333,,,,,4,8,0.25%,,
197,333,,,,,5,8,0.40%,,
198,333,,,,,6,8,0.70%,,
199,333,,,,,7,8,1.00%,,
200,333,,,,,8,8,1.30%,,
201,333,,,,,9,8,1.75%,,
202,333,,,,,10,8,2.20%,,
203,333,,,,,11,8,2.65%,,
204,333,,,,,12,8,3.25%,,
205,333,,,,,13,8,3.55%,,
206,333,,,,,14,8,3.84%,,
207,333,,,,,15,8,4.14%,,
208,333,,,,,16,8,4.43%,,
209,333,,,,,17,8,4.73%,,
210,333,,,,,18,8,5.02%,,
211,333,,,,,19,8,5.32%,,
212,333,,,,,20,8,5.61%,,
213,333,,,,,21,8,5.91%,,
214,333,,,,,22,8,6.20%,,
215,333,,,,,23,8,6.50%,,
216,333,,,,,24,8,6.80%,,
217,393,,,,,1,8,0.00%,,
218,393,,,,,2,8,0.00%,,
219,393,,,,,3,8,0.00%,,
220,393,,,,,4,8,0.16%,,
221,393,,,,,5,8,0.48%,,
222,393,,,,,6,8,0.80%,,
223,393,,,,,7,8,1.44%,,
224,393,,,,,8,8,2.08%,,
225,393,,,,,9,8,2.72%,,
226,393,,,,,10,8,3.68%,,
227,393,,,,,11,8,4.64%,,
228,393,,,,,12,8,5.60%,,
229,393,,,,,13,8,6.11%,,
230,393,,,,,14,8,6.62%,,
231,393,,,,,15,8,7.13%,,
232,393,,,,,16,8,7.64%,,
233,393,,,,,17,8,8.15%,,
234,393,,,,,18,8,8.65%,,
235,393,,,,,19,8,9.16%,,
236,393,,,,,20,8,9.67%,,
237,393,,,,,21,8,10.18%,,
238,393,,,,,22,8,10.69%,,
239,393,,,,,23,8,11.20%,,
240,393,,,,,24,8,11.71%,,
241,402,,,,,1,8,0.00%,,
242,402,,,,,2,8,0.08%,,
243,402,,,,,3,8,0.16%,,
244,402,,,,,4,8,0.24%,,
245,402,,,,,5,8,0.40%,,
246,402,,,,,6,8,0.56%,,
247,402,,,,,7,8,0.80%,,
248,402,,,,,8,8,1.04%,,
249,402,,,,,9,8,1.36%,,
250,402,,,,,10,8,1.68%,,
251,402,,,,,11,8,2.00%,,
252,402,,,,,12,8,2.40%,,
253,402,,,,,13,8,2.62%,,
254,402,,,,,14,8,2.84%,,
255,402,,,,,15,8,3.05%,,
256,402,,,,,16,8,3.27%,,
257,402,,,,,17,8,3.49%,,
258,402,,,,,18,8,3.71%,,
259,402,,,,,19,8,3.93%,,
260,402,,,,,20,8,4.15%,,
261,402,,,,,21,8,4.36%,,
262,402,,,,,22,8,4.58%,,
263,402,,,,,23,8,4.80%,,
264,402,,,,,24,8,5.02%,,
265,493,,,,,1,7,0.00%,,
266,493,,,,,2,7,0.08%,,
267,493,,,,,3,7,0.16%,,
268,493,,,,,4,7,0.24%,,
269,493,,,,,5,7,0.40%,,
270,493,,,,,6,7,0.56%,,
271,493,,,,,7,7,0.80%,,
272,493,,,,,8,7,1.04%,,
273,493,,,,,9,7,1.36%,,
274,493,,,,,10,7,1.68%,,
275,493,,,,,11,7,2.00%,,
276,493,,,,,12,7,2.40%,,
277,493,,,,,13,7,2.62%,,
278,493,,,,,14,7,2.84%,,
279,493,,,,,15,7,3.05%,,
280,493,,,,,16,7,3.27%,,
281,493,,,,,17,7,3.49%,,
282,493,,,,,18,7,3.71%,,
283,493,,,,,19,7,3.93%,,
284,493,,,,,20,7,4.15%,,
285,493,,,,,21,7,4.36%,,
286,493,,,,,22,7,4.58%,,
287,493,,,,,23,7,4.80%,,
288,493,,,,,24,7,5.02%,,
289,503,,,,,1,1,0.00%,,
290,503,,,,,2,1,0.00%,,
291,503,,,,,3,1,0.07%,,
292,503,,,,,4,1,0.18%,,
293,503,,,,,5,1,0.28%,,
294,503,,,,,6,1,0.49%,,
295,503,,,,,7,1,0.70%,,
296,503,,,,,8,1,0.91%,,
297,503,,,,,9,1,1.23%,,
298,503,,,,,10,1,1.54%,,
299,503,,,,,11,1,1.86%,,
300,503,,,,,12,1,2.28%,,
301,503,,,,,13,1,2.49%,,
302,503,,,,,14,1,2.69%,,
303,503,,,,,15,1,2.90%,,
304,503,,,,,16,1,3.11%,,
305,503,,,,,17,1,3.32%,,
306,503,,,,,18,1,3.52%,,
307,503,,,,,19,1,3.73%,,
308,503,,,,,20,1,3.94%,,
309,503,,,,,21,1,4.15%,,
310,503,,,,,22,1,4.35%,,
311,503,,,,,23,1,4.56%,,
312,503,,,,,24,1,4.77%,,
313,552,,,,,1,7,0.00%,,
314,552,,,,,2,7,0.08%,,
315,552,,,,,3,7,0.16%,,
316,552,,,,,4,7,0.24%,,
317,552,,,,,5,7,0.40%,,
318,552,,,,,6,7,0.56%,,
319,552,,,,,7,7,0.80%,,
320,552,,,,,8,7,1.04%,,
321,552,,,,,9,7,1.36%,,
322,552,,,,,10,7,1.68%,,
323,552,,,,,11,7,2.00%,,
324,552,,,,,12,7,2.40%,,
325,552,,,,,13,7,2.62%,,
326,552,,,,,14,7,2.84%,,
327,552,,,,,15,7,3.05%,,
328,552,,,,,16,7,3.27%,,
329,552,,,,,17,7,3.49%,,
330,552,,,,,18,7,3.71%,,
331,552,,,,,19,7,3.93%,,
332,552,,,,,20,7,4.15%,,
333,552,,,,,21,7,4.36%,,
334,552,,,,,22,7,4.58%,,
335,552,,,,,23,7,4.80%,,
336,552,,,,,24,7,5.02%,,
337,572,,,,,1,7,0.00%,,
338,572,,,,,2,7,0.00%,,
339,572,,,,,3,7,0.00%,,
340,572,,,,,4,7,0.16%,,
341,572,,,,,5,7,0.48%,,
342,572,,,,,6,7,0.80%,,
343,572,,,,,7,7,1.44%,,
344,572,,,,,8,7,2.08%,,
345,572,,,,,9,7,2.72%,,
346,572,,,,,10,7,3.68%,,
347,572,,,,,11,7,4.64%,,
348,572,,,,,12,7,5.60%,,
349,572,,,,,13,7,6.11%,,
350,572,,,,,14,7,6.62%,,
351,572,,,,,15,7,7.13%,,
352,572,,,,,16,7,7.64%,,
353,572,,,,,17,7,8.15%,,
354,572,,,,,18,7,8.65%,,
355,572,,,,,19,7,9.16%,,
356,572,,,,,20,7,9.67%,,
357,572,,,,,21,7,10.18%,,
358,572,,,,,22,7,10.69%,,
359,572,,,,,23,7,11.20%,,
360,572,,,,,24,7,11.71%,,
361,593,,,,,1,9,0.00%,,
362,593,,,,,2,9,0.00%,,
363,593,,,,,3,9,0.10%,,
364,593,,,,,4,9,0.25%,,
365,593,,,,,5,9,0.40%,,
366,593,,,,,6,9,0.70%,,
367,593,,,,,7,9,1.00%,,
368,593,,,,,8,9,1.30%,,
369,593,,,,,9,9,1.75%,,
370,593,,,,,10,9,2.20%,,
371,593,,,,,11,9,2.65%,,
372,593,,,,,12,9,3.25%,,
373,593,,,,,13,9,3.55%,,
374,593,,,,,14,9,3.84%,,
375,593,,,,,15,9,4.14%,,
376,593,,,,,16,9,4.43%,,
377,593,,,,,17,9,4.73%,,
378,593,,,,,18,9,5.02%,,
379,593,,,,,19,9,5.32%,,
380,593,,,,,20,9,5.61%,,
381,593,,,,,21,9,5.91%,,
382,593,,,,,22,9,6.20%,,
383,593,,,,,23,9,6.50%,,
384,593,,,,,24,9,6.80%,,
385,603,,,,,1,7,0.00%,,
386,603,,,,,2,7,0.00%,,
387,603,,,,,3,7,0.10%,,
388,603,,,,,4,7,0.25%,,
389,603,,,,,5,7,0.40%,,
390,603,,,,,6,7,0.70%,,
391,603,,,,,7,7,1.00%,,
392,603,,,,,8,7,1.30%,,
393,603,,,,,9,7,1.75%,,
394,603,,,,,10,7,2.20%,,
395,603,,,,,11,7,2.65%,,
396,603,,,,,12,7,3.25%,,
397,603,,,,,13,7,3.55%,,
398,603,,,,,14,7,3.84%,,
399,603,,,,,15,7,4.14%,,
400,603,,,,,16,7,4.43%,,
401,603,,,,,17,7,4.73%,,
402,603,,,,,18,7,5.02%,,
403,603,,,,,19,7,5.32%,,
404,603,,,,,20,7,5.61%,,
405,603,,,,,21,7,5.91%,,
406,603,,,,,22,7,6.20%,,
407,603,,,,,23,7,6.50%,,
408,603,,,,,24,7,6.80%,,
409,611,,,,,1,8,0.00%,,
410,611,,,,,2,8,0.00%,,
411,611,,,,,3,8,0.10%,,
412,611,,,,,4,8,0.25%,,
413,611,,,,,5,8,0.40%,,
414,611,,,,,6,8,0.70%,,
415,611,,,,,7,8,1.00%,,
416,611,,,,,8,8,1.30%,,
417,611,,,,,9,8,1.75%,,
418,611,,,,,10,8,2.20%,,
419,611,,,,,11,8,2.65%,,
420,611,,,,,12,8,3.25%,,
421,611,,,,,13,8,3.55%,,
422,611,,,,,14,8,3.84%,,
423,611,,,,,15,8,4.14%,,
424,611,,,,,16,8,4.43%,,
425,611,,,,,17,8,4.73%,,
426,611,,,,,18,8,5.02%,,
427,611,,,,,19,8,5.32%,,
428,611,,,,,20,8,5.61%,,
429,611,,,,,21,8,5.91%,,
430,611,,,,,22,8,6.20%,,
431,611,,,,,23,8,6.50%,,
432,611,,,,,24,8,6.80%,,
433,631,,,,,1,9,0.00%,,
434,631,,,,,2,9,0.00%,,
435,631,,,,,3,9,0.10%,,
436,631,,,,,4,9,0.25%,,
437,631,,,,,5,9,0.40%,,
438,631,,,,,6,9,0.70%,,
439,631,,,,,7,9,1.00%,,
440,631,,,,,8,9,1.30%,,
441,631,,,,,9,9,1.75%,,
442,631,,,,,10,9,2.20%,,
443,631,,,,,11,9,2.65%,,
444,631,,,,,12,9,3.25%,,
445,631,,,,,13,9,3.55%,,
446,631,,,,,14,9,3.84%,,
447,631,,,,,15,9,4.14%,,
448,631,,,,,16,9,4.43%,,
449,631,,,,,17,9,4.73%,,
450,631,,,,,18,9,5.02%,,
451,631,,,,,19,9,5.32%,,
452,631,,,,,20,9,5.61%,,
453,631,,,,,21,9,5.91%,,
454,631,,,,,22,9,6.20%,,
455,631,,,,,23,9,6.50%,,
456,631,,,,,24,9,6.80%,,
457,641,,,,,1,9,0.00%,,
458,641,,,,,2,9,0.00%,,
459,641,,,,,3,9,0.10%,,
460,641,,,,,4,9,0.25%,,
461,641,,,,,5,9,0.40%,,
462,641,,,,,6,9,0.70%,,
463,641,,,,,7,9,1.00%,,
464,641,,,,,8,9,1.30%,,
465,641,,,,,9,9,1.75%,,
466,641,,,,,10,9,2.20%,,
467,641,,,,,11,9,2.65%,,
468,641,,,,,12,9,3.25%,,
469,641,,,,,13,9,3.55%,,
470,641,,,,,14,9,3.84%,,
471,641,,,,,15,9,4.14%,,
472,641,,,,,16,9,4.43%,,
473,641,,,,,17,9,4.73%,,
474,641,,,,,18,9,5.02%,,
475,641,,,,,19,9,5.32%,,
476,641,,,,,20,9,5.61%,,
477,641,,,,,21,9,5.91%,,
478,641,,,,,22,9,6.20%,,
479,641,,,,,23,9,6.50%,,
480,641,,,,,24,9,6.80%,,
481,692,,,,,1,7,0.00%,,
482,692,,,,,2,7,0.04%,,
483,692,,,,,3,7,0.06%,,
484,692,,,,,4,7,0.08%,,
485,692,,,,,5,7,0.12%,,
486,692,,,,,6,7,0.18%,,
487,692,,,,,7,7,0.24%,,
488,692,,,,,8,7,0.32%,,
489,692,,,,,9,7,0.40%,,
490,692,,,,,10,7,0.50%,,
491,692,,,,,11,7,0.60%,,
492,692,,,,,12,7,0.72%,,
493,692,,,,,13,7,0.79%,,
494,692,,,,,14,7,0.85%,,
495,692,,,,,15,7,0.92%,,
496,692,,,,,16,7,0.98%,,
497,692,,,,,17,7,1.05%,,
498,692,,,,,18,7,1.11%,,
499,692,,,,,19,7,1.18%,,
500,692,,,,,20,7,1.24%,,
501,692,,,,,21,7,1.31%,,
502,692,,,,,22,7,1.37%,,
503,692,,,,,23,7,1.44%,,
504,692,,,,,24,7,1.51%,,
505,701,,,,,1,10,0.00%,,
506,701,,,,,2,10,0.00%,,
507,701,,,,,3,10,0.00%,,
508,701,,,,,4,10,0.16%,,
509,701,,,,,5,10,0.48%,,
510,701,,,,,6,10,0.80%,,
511,701,,,,,7,10,1.44%,,
512,701,,,,,8,10,2.08%,,
513,701,,,,,9,10,2.72%,,
514,701,,,,,10,10,3.68%,,
515,701,,,,,11,10,4.64%,,
516,701,,,,,12,10,5.60%,,
517,701,,,,,13,10,6.11%,,
518,701,,,,,14,10,6.62%,,
519,701,,,,,15,10,7.13%,,
520,701,,,,,16,10,7.64%,,
521,701,,,,,17,10,8.15%,,
522,701,,,,,18,10,8.65%,,
523,701,,,,,19,10,9.16%,,
524,701,,,,,20,10,9.67%,,
525,701,,,,,21,10,10.18%,,
526,701,,,,,22,10,10.69%,,
527,701,,,,,23,10,11.20%,,
528,701,,,,,24,10,11.71%,,
529,712,,,,,1,7,0.00%,,
530,712,,,,,2,7,0.00%,,
531,712,,,,,3,7,0.10%,,
532,712,,,,,4,7,0.25%,,
533,712,,,,,5,7,0.40%,,
534,712,,,,,6,7,0.70%,,
535,712,,,,,7,7,1.00%,,
536,712,,,,,8,7,1.30%,,
537,712,,,,,9,7,1.75%,,
538,712,,,,,10,7,2.20%,,
539,712,,,,,11,7,2.65%,,
540,712,,,,,12,7,3.25%,,
541,712,,,,,13,7,3.55%,,
542,712,,,,,14,7,3.84%,,
543,712,,,,,15,7,4.14%,,
544,712,,,,,16,7,4.43%,,
545,712,,,,,17,7,4.73%,,
546,712,,,,,18,7,5.02%,,
547,712,,,,,19,7,5.32%,,
548,712,,,,,20,7,5.61%,,
549,712,,,,,21,7,5.91%,,
550,712,,,,,22,7,6.20%,,
551,712,,,,,23,7,6.50%,,
552,712,,,,,24,7,6.80%,,
553,721,,,,,1,10,0.00%,,
554,721,,,,,2,10,0.00%,,
555,721,,,,,3,10,0.00%,,
556,721,,,,,4,10,0.16%,,
557,721,,,,,5,10,0.48%,,
558,721,,,,,6,10,0.80%,,
559,721,,,,,7,10,1.44%,,
560,721,,,,,8,10,2.08%,,
561,721,,,,,9,10,2.72%,,
562,721,,,,,10,10,3.68%,,
563,721,,,,,11,10,4.64%,,
564,721,,,,,12,10,5.60%,,
565,721,,,,,13,10,6.11%,,
566,721,,,,,14,10,6.62%,,
567,721,,,,,15,10,7.13%,,
568,721,,,,,16,10,7.64%,,
569,721,,,,,17,10,8.15%,,
570,721,,,,,18,10,8.65%,,
571,721,,,,,19,10,9.16%,,
572,721,,,,,20,10,9.67%,,
573,721,,,,,21,10,10.18%,,
574,721,,,,,22,10,10.69%,,
575,721,,,,,23,10,11.20%,,
576,721,,,,,24,10,11.71%,,
577,731,,,,,1,10,0.00%,,
578,731,,,,,2,10,0.00%,,
579,731,,,,,3,10,0.10%,,
580,731,,,,,4,10,0.25%,,
581,731,,,,,5,10,0.40%,,
582,731,,,,,6,10,0.70%,,
583,731,,,,,7,10,1.00%,,
584,731,,,,,8,10,1.30%,,
585,731,,,,,9,10,1.75%,,
586,731,,,,,10,10,2.20%,,
587,731,,,,,11,10,2.65%,,
588,731,,,,,12,10,3.25%,,
589,731,,,,,13,10,3.55%,,
590,731,,,,,14,10,3.84%,,
591,731,,,,,15,10,4.14%,,
592,731,,,,,16,10,4.43%,,
593,731,,,,,17,10,4.73%,,
594,731,,,,,18,10,5.02%,,
595,731,,,,,19,10,5.32%,,
596,731,,,,,20,10,5.61%,,
597,731,,,,,21,10,5.91%,,
598,731,,,,,22,10,6.20%,,
599,731,,,,,23,10,6.50%,,
600,731,,,,,24,10,6.80%,,
601,741,,,,,1,7,0.00%,,
602,741,,,,,2,7,0.00%,,
603,741,,,,,3,7,0.10%,,
604,741,,,,,4,7,0.25%,,
605,741,,,,,5,7,0.40%,,
606,741,,,,,6,7,0.70%,,
607,741,,,,,7,7,1.00%,,
608,741,,,,,8,7,1.30%,,
609,741,,,,,9,7,1.75%,,
610,741,,,,,10,7,2.20%,,
611,741,,,,,11,7,2.65%,,
612,741,,,,,12,7,3.25%,,
613,741,,,,,13,7,3.55%,,
614,741,,,,,14,7,3.84%,,
615,741,,,,,15,7,4.14%,,
616,741,,,,,16,7,4.43%,,
617,741,,,,,17,7,4.73%,,
618,741,,,,,18,7,5.02%,,
619,741,,,,,19,7,5.32%,,
620,741,,,,,20,7,5.61%,,
621,741,,,,,21,7,5.91%,,
622,741,,,,,22,7,6.20%,,
623,741,,,,,23,7,6.50%,,
624,741,,,,,24,7,6.80%,,
625,771,,,,,1,10,0.00%,,
626,771,,,,,2,10,0.00%,,
627,771,,,,,3,10,0.00%,,
628,771,,,,,4,10,0.16%,,
629,771,,,,,5,10,0.48%,,
630,771,,,,,6,10,0.80%,,
631,771,,,,,7,10,1.44%,,
632,771,,,,,8,10,2.08%,,
633,771,,,,,9,10,2.72%,,
634,771,,,,,10,10,3.68%,,
635,771,,,,,11,10,4.64%,,
636,771,,,,,12,10,5.60%,,
637,771,,,,,13,10,6.11%,,
638,771,,,,,14,10,6.62%,,
639,771,,,,,15,10,7.13%,,
640,771,,,,,16,10,7.64%,,
641,771,,,,,17,10,8.15%,,
642,771,,,,,18,10,8.65%,,
643,771,,,,,19,10,9.16%,,
644,771,,,,,20,10,9.67%,,
645,771,,,,,21,10,10.18%,,
646,771,,,,,22,10,10.69%,,
647,771,,,,,23,10,11.20%,,
648,771,,,,,24,10,11.71%,,
649,793,,,,,1,8,0.00%,,
650,793,,,,,2,8,0.08%,,
651,793,,,,,3,8,0.16%,,
652,793,,,,,4,8,0.24%,,
653,793,,,,,5,8,0.40%,,
654,793,,,,,6,8,0.56%,,
655,793,,,,,7,8,0.80%,,
656,793,,,,,8,8,1.04%,,
657,793,,,,,9,8,1.36%,,
658,793,,,,,10,8,1.68%,,
659,793,,,,,11,8,2.00%,,
660,793,,,,,12,8,2.40%,,
661,793,,,,,13,8,2.62%,,
662,793,,,,,14,8,2.84%,,
663,793,,,,,15,8,3.05%,,
664,793,,,,,16,8,3.27%,,
665,793,,,,,17,8,3.49%,,
666,793,,,,,18,8,3.71%,,
667,793,,,,,19,8,3.93%,,
668,793,,,,,20,8,4.15%,,
669,793,,,,,21,8,4.36%,,
670,793,,,,,22,8,4.58%,,
671,793,,,,,23,8,4.80%,,
672,793,,,,,24,8,5.02%,,
673,863,,,,,1,7,0.00%,,
674,863,,,,,2,7,0.00%,,
675,863,,,,,3,7,0.10%,,
676,863,,,,,4,7,0.25%,,
677,863,,,,,5,7,0.40%,,
678,863,,,,,6,7,0.70%,,
679,863,,,,,7,7,1.00%,,
680,863,,,,,8,7,1.30%,,
681,863,,,,,9,7,1.75%,,
682,863,,,,,10,7,2.20%,,
683,863,,,,,11,7,2.65%,,
684,863,,,,,12,7,3.25%,,
685,863,,,,,13,7,3.55%,,
686,863,,,,,14,7,3.84%,,
687,863,,,,,15,7,4.14%,,
688,863,,,,,16,7,4.43%,,
689,863,,,,,17,7,4.73%,,
690,863,,,,,18,7,5.02%,,
691,863,,,,,19,7,5.32%,,
692,863,,,,,20,7,5.61%,,
693,863,,,,,21,7,5.91%,,
694,863,,,,,22,7,6.20%,,
695,863,,,,,23,7,6.50%,,
696,863,,,,,24,7,6.80%,,
697,883,,,,,1,9,0.00%,,
698,883,,,,,2,9,0.00%,,
699,883,,,,,3,9,0.10%,,
700,883,,,,,4,9,0.25%,,
701,883,,,,,5,9,0.40%,,
702,883,,,,,6,9,0.70%,,
703,883,,,,,7,9,1.00%,,
704,883,,,,,8,9,1.30%,,
705,883,,,,,9,9,1.75%,,
706,883,,,,,10,9,2.20%,,
707,883,,,,,11,9,2.65%,,
708,883,,,,,12,9,3.25%,,
709,883,,,,,13,9,3.55%,,
710,883,,,,,14,9,3.84%,,
711,883,,,,,15,9,4.14%,,
712,883,,,,,16,9,4.43%,,
713,883,,,,,17,9,4.73%,,
714,883,,,,,18,9,5.02%,,
715,883,,,,,19,9,5.32%,,
716,883,,,,,20,9,5.61%,,
717,883,,,,,21,9,5.91%,,
718,883,,,,,22,9,6.20%,,
719,883,,,,,23,9,6.50%,,
720,883,,,,,24,9,6.80%,,
721,972,,,,,1,9,0.00%,,
722,972,,,,,2,9,0.00%,,
723,972,,,,,3,9,0.10%,,
724,972,,,,,4,9,0.25%,,
725,972,,,,,5,9,0.40%,,
