VariableName,_beizhu,itemWeightMap,itemCount,costMap,vipStart,vipWeight,beginDate,endDate,position,levelRange,discountDesc_cn,discountDesc_tw,discountDesc,discountDesc_vn,discountDesc_th,discountDesc_in,limitType,limitTimes,showUnable
1531,,{5037=100;5038=100;5039=100},60,{rmb=900},,100,,,6,<100;119>,,,,,,,,,
1532,,{5037=100;5038=100;5039=100},100,{rmb=1500},,100,,,6,<100;119>,,,,,,,,,
1533,,{5037=100;5038=100;5039=100},30,{rmb=450},,100,,,6,<100;119>,,,,,,,,,
1534,,{5042=100;5041=100;5040=100},60,{rmb=960},,100,,,6,<105;124>,,,,,,,,,
1535,,{5042=100;5041=100;5040=100},100,{rmb=1600},,100,,,6,<105;124>,,,,,,,,,
1536,,{5042=100;5041=100;5040=100},30,{rmb=480},,100,,,6,<105;124>,,,,,,,,,
1537,,{5045=100;5044=100;5043=100},60,{rmb=1020},,100,,,6,<110;129>,,,,,,,,,
1538,,{5045=100;5044=100;5043=100},100,{rmb=1700},,100,,,6,<110;129>,,,,,,,,,
1539,,{5045=100;5044=100;5043=100},30,{rmb=510},,100,,,6,<110;129>,,,,,,,,,
1540,,{5047=100;5046=100;5048=100},60,{rmb=1080},,100,,,6,<115;134>,,,,,,,,,
1541,,{5047=100;5046=100;5048=100},100,{rmb=1800},,100,,,6,<115;134>,,,,,,,,,
1542,,{5047=100;5046=100;5048=100},30,{rmb=540},,100,,,6,<115;134>,,,,,,,,,
1543,,{5050=100;5051=100;5049=100},60,{rmb=1140},,100,,,6,<120;139>,,,,,,,,,
1544,,{5050=100;5051=100;5049=100},100,{rmb=1900},,100,,,6,<120;139>,,,,,,,,,
1545,,{5050=100;5051=100;5049=100},30,{rmb=570},,100,,,6,<120;139>,,,,,,,,,
1701,,{5001=100;5003=100;5002=100},30,{rmb=150},,150,,,7,<1;27>,,,,,,,,,
1702,,{5001=100;5003=100;5002=100},30,{rmb=150},,150,,,7,<1;27>,,,,,,,,,
1703,,{5004=100;5006=100;5005=100},30,{rmb=150},,150,,,7,<1;39>,,,,,,,,,
1704,,{5004=100;5006=100;5005=100},30,{rmb=150},,150,,,7,<1;39>,,,,,,,,,
1705,,{5008=100;5009=100;5007=100},30,{rmb=150},,150,,,7,<1;49>,,,,,,,,,
1706,,{5008=100;5009=100;5007=100},30,{rmb=150},,150,,,7,<1;49>,,,,,,,,,
1707,,{5011=100;5012=100;5010=100},30,{rmb=180},,150,,,7,<28;59>,,,,,,,,,
1708,,{5011=100;5012=100;5010=100},30,{rmb=180},,150,,,7,<28;59>,,,,,,,,,
1709,,{5014=100;5015=100;5013=100},30,{rmb=210},,150,,,7,<40;69>,,,,,,,,,
1710,,{5014=100;5015=100;5013=100},60,{rmb=420},,150,,,7,<40;69>,,,,,,,,,
1711,,{5016=100;5017=100;5018=100},30,{rmb=240},,150,,,7,<50;79>,,,,,,,,,
1712,,{5016=100;5017=100;5018=100},60,{rmb=480},,150,,,7,<50;79>,,,,,,,,,
1713,,{5020=100;5019=100;5021=100},30,{rmb=270},,100,,,7,<60;84>,,,,,,,,,
1714,,{5020=100;5019=100;5021=100},60,{rmb=540},,100,,,7,<60;84>,,,,,,,,,
1715,,{5020=100;5019=100;5021=100},100,{rmb=900},,100,,,7,<60;84>,,,,,,,,,
1716,,{5022=100;5024=100;5023=100},30,{rmb=300},,100,,,7,<70;99>,,,,,,,,,
1717,,{5022=100;5024=100;5023=100},60,{rmb=600},,100,,,7,<70;99>,,,,,,,,,
1718,,{5022=100;5024=100;5023=100},100,{rmb=1000},,100,,,7,<70;99>,,,,,,,,,
1719,,{5025=100;5027=100;5026=100},30,{rmb=330},,100,,,7,<80;99>,,,,,,,,,
1720,,{5025=100;5027=100;5026=100},60,{rmb=660},,100,,,7,<80;99>,,,,,,,,,
1721,,{5025=100;5027=100;5026=100},100,{rmb=1100},,100,,,7,<80;99>,,,,,,,,,
1722,,{5029=100;5028=100;5030=100},30,{rmb=360},,100,,,7,<85;104>,,,,,,,,,
1723,,{5029=100;5028=100;5030=100},60,{rmb=720},,100,,,7,<85;104>,,,,,,,,,
1724,,{5029=100;5028=100;5030=100},100,{rmb=1200},,100,,,7,<85;104>,,,,,,,,,
1725,,{5032=100;5033=100;5031=100},30,{rmb=390},,100,,,7,<90;109>,,,,,,,,,
1726,,{5032=100;5033=100;5031=100},60,{rmb=780},,100,,,7,<90;109>,,,,,,,,,
1727,,{5032=100;5033=100;5031=100},100,{rmb=1300},,100,,,7,<90;109>,,,,,,,,,
1728,,{5036=100;5034=100;5035=100},30,{rmb=420},,100,,,7,<95;114>,,,,,,,,,
1729,,{5036=100;5034=100;5035=100},60,{rmb=840},,100,,,7,<95;114>,,,,,,,,,
1730,,{5036=100;5034=100;5035=100},100,{rmb=1400},,100,,,7,<95;114>,,,,,,,,,
1731,,{5037=100;5038=100;5039=100},30,{rmb=450},,100,,,7,<100;119>,,,,,,,,,
1732,,{5037=100;5038=100;5039=100},60,{rmb=900},,100,,,7,<100;119>,,,,,,,,,
1733,,{5037=100;5038=100;5039=100},100,{rmb=1500},,100,,,7,<100;119>,,,,,,,,,
1734,,{5042=100;5041=100;5040=100},30,{rmb=480},,100,,,7,<105;124>,,,,,,,,,
1735,,{5042=100;5041=100;5040=100},60,{rmb=960},,100,,,7,<105;124>,,,,,,,,,
1736,,{5042=100;5041=100;5040=100},100,{rmb=1600},,100,,,7,<105;124>,,,,,,,,,
1737,,{5045=100;5044=100;5043=100},30,{rmb=510},,100,,,7,<110;129>,,,,,,,,,
1738,,{5045=100;5044=100;5043=100},60,{rmb=1020},,100,,,7,<110;129>,,,,,,,,,
1739,,{5045=100;5044=100;5043=100},100,{rmb=1700},,100,,,7,<110;129>,,,,,,,,,
1740,,{5047=100;5046=100;5048=100},30,{rmb=540},,100,,,7,<115;134>,,,,,,,,,
1741,,{5047=100;5046=100;5048=100},60,{rmb=1080},,100,,,7,<115;134>,,,,,,,,,
1742,,{5047=100;5046=100;5048=100},100,{rmb=1800},,100,,,7,<115;134>,,,,,,,,,
1743,,{5050=100;5051=100;5049=100},30,{rmb=570},,100,,,7,<120;139>,,,,,,,,,
1744,,{5050=100;5051=100;5049=100},60,{rmb=1140},,100,,,7,<120;139>,,,,,,,,,
1745,,{5050=100;5051=100;5049=100},100,{rmb=1900},,100,,,7,<120;139>,,,,,,,,,
1801,,{850=10},100,{rmb=100},,100,,,8,,,,,,,,,,
1802,,{851=10},30,{rmb=100},,100,,,8,,,,,,,,,,
1901,,{5001=100;5003=100;5002=100},30,{rmb=150},,150,,,12,<1;27>,,,,,,,,,
1902,,{5001=100;5003=100;5002=100},30,{rmb=150},,150,,,12,<1;27>,,,,,,,,,
1903,,{5004=100;5006=100;5005=100},30,{rmb=150},,150,,,12,<1;39>,,,,,,,,,
1904,,{5004=100;5006=100;5005=100},30,{rmb=150},,150,,,12,<1;39>,,,,,,,,,
1905,,{5008=100;5009=100;5007=100},30,{rmb=150},,150,,,12,<1;49>,,,,,,,,,
1906,,{5008=100;5009=100;5007=100},30,{rmb=150},,150,,,12,<1;49>,,,,,,,,,
1907,,{5011=100;5012=100;5010=100},30,{rmb=180},,150,,,12,<28;59>,,,,,,,,,
1908,,{5011=100;5012=100;5010=100},30,{rmb=180},,150,,,12,<28;59>,,,,,,,,,
1909,,{5014=100;5015=100;5013=100},30,{rmb=210},,150,,,12,<40;69>,,,,,,,,,
1910,,{5014=100;5015=100;5013=100},60,{rmb=420},,150,,,12,<40;69>,,,,,,,,,
1911,,{5016=100;5017=100;5018=100},30,{rmb=240},,150,,,12,<50;79>,,,,,,,,,
1912,,{5016=100;5017=100;5018=100},60,{rmb=480},,150,,,12,<50;79>,,,,,,,,,
1913,,{5020=100;5019=100;5021=100},30,{rmb=270},,100,,,12,<60;84>,,,,,,,,,
1914,,{5020=100;5019=100;5021=100},60,{rmb=540},,100,,,12,<60;84>,,,,,,,,,
1915,,{5020=100;5019=100;5021=100},100,{rmb=900},,100,,,12,<60;84>,,,,,,,,,
1916,,{5022=100;5024=100;5023=100},30,{rmb=300},,100,,,12,<70;99>,,,,,,,,,
1917,,{5022=100;5024=100;5023=100},60,{rmb=600},,100,,,12,<70;99>,,,,,,,,,
1918,,{5022=100;5024=100;5023=100},100,{rmb=1000},,100,,,12,<70;99>,,,,,,,,,
1919,,{5025=100;5027=100;5026=100},30,{rmb=330},,100,,,12,<80;99>,,,,,,,,,
1920,,{5025=100;5027=100;5026=100},60,{rmb=660},,100,,,12,<80;99>,,,,,,,,,
1921,,{5025=100;5027=100;5026=100},100,{rmb=1100},,100,,,12,<80;99>,,,,,,,,,
1922,,{5029=100;5028=100;5030=100},30,{rmb=360},,100,,,12,<85;104>,,,,,,,,,
1923,,{5029=100;5028=100;5030=100},60,{rmb=720},,100,,,12,<85;104>,,,,,,,,,
1924,,{5029=100;5028=100;5030=100},100,{rmb=1200},,100,,,12,<85;104>,,,,,,,,,
1925,,{5032=100;5033=100;5031=100},30,{rmb=390},,100,,,12,<90;109>,,,,,,,,,
1926,,{5032=100;5033=100;5031=100},60,{rmb=780},,100,,,12,<90;109>,,,,,,,,,
1927,,{5032=100;5033=100;5031=100},100,{rmb=1300},,100,,,12,<90;109>,,,,,,,,,
1928,,{5036=100;5034=100;5035=100},30,{rmb=420},,100,,,12,<95;114>,,,,,,,,,
1929,,{5036=100;5034=100;5035=100},60,{rmb=840},,100,,,12,<95;114>,,,,,,,,,
1930,,{5036=100;5034=100;5035=100},100,{rmb=1400},,100,,,12,<95;114>,,,,,,,,,
1931,,{5037=100;5038=100;5039=100},30,{rmb=450},,100,,,12,<100;119>,,,,,,,,,
1932,,{5037=100;5038=100;5039=100},60,{rmb=900},,100,,,12,<100;119>,,,,,,,,,
1933,,{5037=100;5038=100;5039=100},100,{rmb=1500},,100,,,12,<100;119>,,,,,,,,,
1934,,{5042=100;5041=100;5040=100},30,{rmb=480},,100,,,12,<105;124>,,,,,,,,,
1935,,{5042=100;5041=100;5040=100},60,{rmb=960},,100,,,12,<105;124>,,,,,,,,,
1936,,{5042=100;5041=100;5040=100},100,{rmb=1600},,100,,,12,<105;124>,,,,,,,,,
1937,,{5045=100;5044=100;5043=100},30,{rmb=510},,100,,,12,<110;129>,,,,,,,,,
1938,,{5045=100;5044=100;5043=100},60,{rmb=1020},,100,,,12,<110;129>,,,,,,,,,
1939,,{5045=100;5044=100;5043=100},100,{rmb=1700},,100,,,12,<110;129>,,,,,,,,,
1940,,{5047=100;5046=100;5048=100},30,{rmb=540},,100,,,12,<115;134>,,,,,,,,,
1941,,{5047=100;5046=100;5048=100},60,{rmb=1080},,100,,,12,<115;134>,,,,,,,,,
1942,,{5047=100;5046=100;5048=100},100,{rmb=1800},,100,,,12,<115;134>,,,,,,,,,
1943,,{5050=100;5051=100;5049=100},30,{rmb=570},,100,,,12,<120;139>,,,,,,,,,
1944,,{5050=100;5051=100;5049=100},60,{rmb=1140},,100,,,12,<120;139>,,,,,,,,,
1945,,{5050=100;5051=100;5049=100},100,{rmb=1900},,100,,,12,<120;139>,,,,,,,,,
2001,,{850=10},100,{rmb=100},,100,,,9,,,,,,,,,,
2002,,{851=10},30,{rmb=100},,100,,,9,,,,,,,,,,
2101,,{5001=100;5003=100;5002=100},30,{rmb=150},,150,,,13,<1;27>,,,,,,,,,
2102,,{5001=100;5003=100;5002=100},30,{rmb=150},,150,,,13,<1;27>,,,,,,,,,
2103,,{5004=100;5006=100;5005=100},30,{rmb=150},,150,,,13,<1;39>,,,,,,,,,
2104,,{5004=100;5006=100;5005=100},30,{rmb=150},,150,,,13,<1;39>,,,,,,,,,
2105,,{5008=100;5009=100;5007=100},30,{rmb=150},,150,,,13,<1;49>,,,,,,,,,
2106,,{5008=100;5009=100;5007=100},30,{rmb=150},,150,,,13,<1;49>,,,,,,,,,
2107,,{5011=100;5012=100;5010=100},30,{rmb=180},,150,,,13,<28;59>,,,,,,,,,
2108,,{5011=100;5012=100;5010=100},30,{rmb=180},,150,,,13,<28;59>,,,,,,,,,
2109,,{5014=100;5015=100;5013=100},30,{rmb=210},,150,,,13,<40;69>,,,,,,,,,
2110,,{5014=100;5015=100;5013=100},60,{rmb=420},,150,,,13,<40;69>,,,,,,,,,
2111,,{5016=100;5017=100;5018=100},30,{rmb=240},,150,,,13,<50;79>,,,,,,,,,
2112,,{5016=100;5017=100;5018=100},60,{rmb=480},,150,,,13,<50;79>,,,,,,,,,
2113,,{5020=100;5019=100;5021=100},30,{rmb=270},,100,,,13,<60;84>,,,,,,,,,
2114,,{5020=100;5019=100;5021=100},60,{rmb=540},,100,,,13,<60;84>,,,,,,,,,
2115,,{5020=100;5019=100;5021=100},100,{rmb=900},,100,,,13,<60;84>,,,,,,,,,
2116,,{5022=100;5024=100;5023=100},30,{rmb=300},,100,,,13,<70;99>,,,,,,,,,
2117,,{5022=100;5024=100;5023=100},60,{rmb=600},,100,,,13,<70;99>,,,,,,,,,
2118,,{5022=100;5024=100;5023=100},100,{rmb=1000},,100,,,13,<70;99>,,,,,,,,,
2119,,{5025=100;5027=100;5026=100},30,{rmb=330},,100,,,13,<80;99>,,,,,,,,,
2120,,{5025=100;5027=100;5026=100},60,{rmb=660},,100,,,13,<80;99>,,,,,,,,,
2121,,{5025=100;5027=100;5026=100},100,{rmb=1100},,100,,,13,<80;99>,,,,,,,,,
2122,,{5029=100;5028=100;5030=100},30,{rmb=360},,100,,,13,<85;104>,,,,,,,,,
2123,,{5029=100;5028=100;5030=100},60,{rmb=720},,100,,,13,<85;104>,,,,,,,,,
2124,,{5029=100;5028=100;5030=100},100,{rmb=1200},,100,,,13,<85;104>,,,,,,,,,
2125,,{5032=100;5033=100;5031=100},30,{rmb=390},,100,,,13,<90;109>,,,,,,,,,
2126,,{5032=100;5033=100;5031=100},60,{rmb=780},,100,,,13,<90;109>,,,,,,,,,
2127,,{5032=100;5033=100;5031=100},100,{rmb=1300},,100,,,13,<90;109>,,,,,,,,,
2128,,{5036=100;5034=100;5035=100},30,{rmb=420},,100,,,13,<95;114>,,,,,,,,,
2129,,{5036=100;5034=100;5035=100},60,{rmb=840},,100,,,13,<95;114>,,,,,,,,,
2130,,{5036=100;5034=100;5035=100},100,{rmb=1400},,100,,,13,<95;114>,,,,,,,,,
2131,,{5037=100;5038=100;5039=100},30,{rmb=450},,100,,,13,<100;119>,,,,,,,,,
2132,,{5037=100;5038=100;5039=100},60,{rmb=900},,100,,,13,<100;119>,,,,,,,,,
2133,,{5037=100;5038=100;5039=100},100,{rmb=1500},,100,,,13,<100;119>,,,,,,,,,
2134,,{5042=100;5041=100;5040=100},30,{rmb=480},,100,,,13,<105;124>,,,,,,,,,
2135,,{5042=100;5041=100;5040=100},60,{rmb=960},,100,,,13,<105;124>,,,,,,,,,
2136,,{5042=100;5041=100;5040=100},100,{rmb=1600},,100,,,13,<105;124>,,,,,,,,,
2137,,{5045=100;5044=100;5043=100},30,{rmb=510},,100,,,13,<110;129>,,,,,,,,,
2138,,{5045=100;5044=100;5043=100},60,{rmb=1020},,100,,,13,<110;129>,,,,,,,,,
2139,,{5045=100;5044=100;5043=100},100,{rmb=1700},,100,,,13,<110;129>,,,,,,,,,
2140,,{5047=100;5046=100;5048=100},30,{rmb=540},,100,,,13,<115;134>,,,,,,,,,
2141,,{5047=100;5046=100;5048=100},60,{rmb=1080},,100,,,13,<115;134>,,,,,,,,,
2142,,{5047=100;5046=100;5048=100},100,{rmb=1800},,100,,,13,<115;134>,,,,,,,,,
2143,,{5050=100;5051=100;5049=100},30,{rmb=570},,100,,,13,<120;139>,,,,,,,,,
2144,,{5050=100;5051=100;5049=100},60,{rmb=1140},,100,,,13,<120;139>,,,,,,,,,
2145,,{5050=100;5051=100;5049=100},100,{rmb=1900},,100,,,13,<120;139>,,,,,,,,,
2201,,{601=100},30,{rmb=300},,0,,,10,,,,,,,,,,
2202,,{602=100},30,{rmb=600},,600,,,10,,,,,,,,,,
2203,,{604=100},30,{rmb=1200},,300,,,10,,,,,,,,,,
2301,,{5001=100;5003=100;5002=100},30,{rmb=150},,150,,,14,<1;27>,,,,,,,,,
2302,,{5001=100;5003=100;5002=100},30,{rmb=150},,150,,,14,<1;27>,,,,,,,,,
2303,,{5004=100;5006=100;5005=100},30,{rmb=150},,150,,,14,<1;39>,,,,,,,,,
2304,,{5004=100;5006=100;5005=100},30,{rmb=150},,150,,,14,<1;39>,,,,,,,,,
2305,,{5008=100;5009=100;5007=100},30,{rmb=150},,150,,,14,<1;49>,,,,,,,,,
2306,,{5008=100;5009=100;5007=100},30,{rmb=150},,150,,,14,<1;49>,,,,,,,,,
2307,,{5011=100;5012=100;5010=100},30,{rmb=180},,150,,,14,<28;59>,,,,,,,,,
2308,,{5011=100;5012=100;5010=100},30,{rmb=180},,150,,,14,<28;59>,,,,,,,,,
2309,,{5014=100;5015=100;5013=100},30,{rmb=210},,150,,,14,<40;69>,,,,,,,,,
2310,,{5014=100;5015=100;5013=100},60,{rmb=420},,150,,,14,<40;69>,,,,,,,,,
2311,,{5016=100;5017=100;5018=100},30,{rmb=240},,150,,,14,<50;79>,,,,,,,,,
2312,,{5016=100;5017=100;5018=100},60,{rmb=480},,150,,,14,<50;79>,,,,,,,,,
2313,,{5020=100;5019=100;5021=100},30,{rmb=270},,100,,,14,<60;84>,,,,,,,,,
2314,,{5020=100;5019=100;5021=100},60,{rmb=540},,100,,,14,<60;84>,,,,,,,,,
2315,,{5020=100;5019=100;5021=100},100,{rmb=900},,100,,,14,<60;84>,,,,,,,,,
2316,,{5022=100;5024=100;5023=100},30,{rmb=300},,100,,,14,<70;99>,,,,,,,,,
2317,,{5022=100;5024=100;5023=100},60,{rmb=600},,100,,,14,<70;99>,,,,,,,,,
2318,,{5022=100;5024=100;5023=100},100,{rmb=1000},,100,,,14,<70;99>,,,,,,,,,
2319,,{5025=100;5027=100;5026=100},30,{rmb=330},,100,,,14,<80;99>,,,,,,,,,
2320,,{5025=100;5027=100;5026=100},60,{rmb=660},,100,,,14,<80;99>,,,,,,,,,
2321,,{5025=100;5027=100;5026=100},100,{rmb=1100},,100,,,14,<80;99>,,,,,,,,,
2322,,{5029=100;5028=100;5030=100},30,{rmb=360},,100,,,14,<85;104>,,,,,,,,,
2323,,{5029=100;5028=100;5030=100},60,{rmb=720},,100,,,14,<85;104>,,,,,,,,,
2324,,{5029=100;5028=100;5030=100},100,{rmb=1200},,100,,,14,<85;104>,,,,,,,,,
2325,,{5032=100;5033=100;5031=100},30,{rmb=390},,100,,,14,<90;109>,,,,,,,,,
2326,,{5032=100;5033=100;5031=100},60,{rmb=780},,100,,,14,<90;109>,,,,,,,,,
2327,,{5032=100;5033=100;5031=100},100,{rmb=1300},,100,,,14,<90;109>,,,,,,,,,
2328,,{5036=100;5034=100;5035=100},30,{rmb=420},,100,,,14,<95;114>,,,,,,,,,
2329,,{5036=100;5034=100;5035=100},60,{rmb=840},,100,,,14,<95;114>,,,,,,,,,
2330,,{5036=100;5034=100;5035=100},100,{rmb=1400},,100,,,14,<95;114>,,,,,,,,,
2331,,{5037=100;5038=100;5039=100},30,{rmb=450},,100,,,14,<100;119>,,,,,,,,,
2332,,{5037=100;5038=100;5039=100},60,{rmb=900},,100,,,14,<100;119>,,,,,,,,,
2333,,{5037=100;5038=100;5039=100},100,{rmb=1500},,100,,,14,<100;119>,,,,,,,,,
2334,,{5042=100;5041=100;5040=100},30,{rmb=480},,100,,,14,<105;124>,,,,,,,,,
2335,,{5042=100;5041=100;5040=100},60,{rmb=960},,100,,,14,<105;124>,,,,,,,,,
2336,,{5042=100;5041=100;5040=100},100,{rmb=1600},,100,,,14,<105;124>,,,,,,,,,
2337,,{5045=100;5044=100;5043=100},30,{rmb=510},,100,,,14,<110;129>,,,,,,,,,
2338,,{5045=100;5044=100;5043=100},60,{rmb=1020},,100,,,14,<110;129>,,,,,,,,,
2339,,{5045=100;5044=100;5043=100},100,{rmb=1700},,100,,,14,<110;129>,,,,,,,,,
2340,,{5047=100;5046=100;5048=100},30,{rmb=540},,100,,,14,<115;134>,,,,,,,,,
2341,,{5047=100;5046=100;5048=100},60,{rmb=1080},,100,,,14,<115;134>,,,,,,,,,
2342,,{5047=100;5046=100;5048=100},100,{rmb=1800},,100,,,14,<115;134>,,,,,,,,,
2343,,{5050=100;5051=100;5049=100},30,{rmb=570},,100,,,14,<120;139>,,,,,,,,,
2344,,{5050=100;5051=100;5049=100},60,{rmb=1140},,100,,,14,<120;139>,,,,,,,,,
2345,,{5050=100;5051=100;5049=100},100,{rmb=1900},,100,,,14,<120;139>,,,,,,,,,
2401,,{601=100},30,{rmb=300},,0,,,11,,,,,,,,,,
2402,,{602=100},30,{rmb=600},,600,,,11,,,,,,,,,,
2403,,{604=100},30,{rmb=1200},,300,,,11,,,,,,,,,,
2501,,{5001=100;5003=100;5002=100},30,{rmb=150},,150,,,15,<1;27>,,,,,,,,,
2502,,{5001=100;5003=100;5002=100},30,{rmb=150},,150,,,15,<1;27>,,,,,,,,,
2503,,{5004=100;5006=100;5005=100},30,{rmb=150},,150,,,15,<1;39>,,,,,,,,,
2504,,{5004=100;5006=100;5005=100},30,{rmb=150},,150,,,15,<1;39>,,,,,,,,,
2505,,{5008=100;5009=100;5007=100},30,{rmb=150},,150,,,15,<1;49>,,,,,,,,,
2506,,{5008=100;5009=100;5007=100},30,{rmb=150},,150,,,15,<1;49>,,,,,,,,,
2507,,{5011=100;5012=100;5010=100},30,{rmb=180},,150,,,15,<28;59>,,,,,,,,,
