VariableName,name,name_tw,name_en,name_vn,name_kr,_备注,feature,desc,desc_vn,showLevel,startLevel,startLevel_kr,startLevel_vn,startLevel_cn,startGate,startVip,languages,servers
113,,,Gợi ý rút chiến văn,,,,gemDrawTips,,,66,66,,,,,,,
115,,,Anh hùng thường trú tăng tỷ lệ rơi trong gacha.,,,,SPlusDrawCard,,,6,6,,,,,,,
116,,,Cửa hàng trang bị phi phàm,,,,heldShop,,,30,30,,,,,,,
200,,,Hình ảnh cá nhân,,,,roleFigure,Khóa; máy chủ không giới hạn,,,1,,,,,,,
201,,,Chức danh,,,,title,Khóa,,,1,,,,,,,
202,,,Anh hùng bị khóa,,,,cardUnlock,Ẩn hiển thị; máy chủ không giới hạn,,1,1,,,,,,,
203,,,Trang sức,,,,equip,Khóa,,1,5,,,,10202,,,
204,,,Nâng sao trang sức,,,,equipStarAdd,Loading...,,22,26,,,,,,,
205,,,Phụ kiện giác ngộ,,,,equipAwak,Khóa,,22,26,,,,,,,
206,,,Trang bị siêu phàm,,,,heldItem,Ẩn hiện,,1,11,,,,,,,
207,,,Tẩy luyện,,,,cardNValueRecast,Ẩn Hiện,,6,6,,,,,,,
208,,,Thiện cảm anh hùng,,,,cardLike,Ẩn hiện,,,25,,,,,,,
209,,,Anh Hùng Kế Thừa,,,,cardSwap,Ẩn hiển thị,,,15,,,,,,,
210,,,Tiềm năng,,,,cardEffort,Ẩn hiện,,15,24,,,,,,,
211,,,Tiềm năng mười lần bồi dưỡng,,,,effort10,Ẩn hiển thị; máy chủ không giới hạn,,24,24,,,,,,,
212,,,Anh Hùng Tái Sinh,,,,cardReborn,Ẩn Hiện,,,23,,,,,,,
213,,,Nâng cấp một chạm,,,,onekeyLevelup,Ẩn hiển thị; máy chủ không giới hạn,,28,28,,,,,,,
214,,,Tiềm năng anh hùng,,,,cardAbility,Ẩn hiện,,40,45,,,,,,,
215,,,Nâng cấp nhanh chóng,,,,fastUpgrade,Ẩn hiện,,35,35,,,,,,,
216,,,Tăng cường nhanh chóng,,,,fastStrengthen,Ẩn hiển thị,,40,40,,,,,,,
217,,,Đề xuất đội hình,,,,battleRecommend,Ẩn hiện,,20,20,,,,,,,
218,,,Hiệu ứng kỹ năng xếp hạng,,,,starEffect,Ẩn hiện,,1,1,,,,,,,
219,,,Giới hạn bồi dưỡng,,,,extremityProperty,,,1,1,,,,,,,
220,,,Chiến văn,,,,gem,,,60,66,,,,,,,
221,,,Chiến văn một chạm cường hóa,,,,gemOnekeyStrengthen,,,75,75,,,,,,,
222,,,Linh hồn thức tỉnh,,,,mega,Khóa lại,,65,70,,,,,,,
223,,,Chuyển đổi nhánh anh hùng,,,,cardSwitchBranch,,,10,10,,,,,,,
224,,,Khắc đồ trang sức,,,,equipSignet,,,70,75,,,,,,,
225,,,Tiềm năng sao của trang sức,,,,equipAbility,,,75,75,,,,,,,
226,,,Tiềm năng tùy chỉnh,,,,customEffort,,,75,75,,,,,,,
227,,,Tăng cường thiên phú bằng một phím bấm,,,,potentialOneKey,,,65,65,,,,,,,
228,,,Thức tỉnh tiềm năng trang sức,,,,equipAwakeAbility,,,80,80,,,,,,,
229,,,Một chạm khắc chữ,,,,oneKeySignet,Khóa lại,,75,78,,,,,,,
300,,,Gói quà trực tuyến,,,,onlineGift,Ẩn Hiện,,6,6,,,,,,,
301,,,Bách khoa toàn thư,,,,handbook,Khóa; máy chủ không giới hạn,,,10,,,,,,,
302,,,Nhiệm vụ hàng ngày,,,,dailyTask,Khóa; máy chủ không giới hạn,,,12,,,,,,,
303,,,Giấy phép phiêu lưu,,,,trainer,Khóa,,,12,,,,,,,
304,,,Đấu trường,,,,arena,Khóa,,,15,,,,,,,
305,,,Hoạt động hàng ngày,,,,activityGate,Khóa lại,,,18,,,,,,,
306,,,Bảng xếp hạng,,,,rank,Khóa,,,18,,,,,,,
307,,,Hồng bao công hội,,,,unionRedpacket,Khóa; máy chủ không giới hạn,,,20,,,,,,,
308,,,Công hội,,,,union,Khóa lại,,,20,,,,,,,
309,,,Con đường trưởng thành,,,,endlessTower,Ẩn hiện,,,24,,,,,,,
310,,,Tu hành,,,,talent,Ẩn hiển thị; máy chủ không giới hạn,,,27,,,,,,,
311,,,Phái cử nhiệm vụ,,,,dispatchTask,Ẩn Hiện,,,30,,,,,,,
312,,,Thông linh thú,,,,explorer,,,,33,,,,,,,
313,,,Kinh nghiệm dư thừa đổi thưởng,,,,overflowExpExchange,Ẩn hiển thị,,,99,,,,,,,
314,,,VIP 18,,,,vipLevel18,Ẩn hiện,,,1,,,,,,,
315,,,Đại hội Võ thuật,,,,craft,Khóa lại,,,30,,,,,,,
316,,,Chia sẻ thẻ bài,,,,cardShare,Ẩn Hiện,,,10,,,,,,,
317,,,Chia sẻ báo cáo chiến đấu,,,,battleShare,Ẩn hiện,,,30,,,,,,,
318,,,Tháp Cao Chiều Kích,,,,randomTower,Khóa,,,33,,,,,,,
319,,,Thử thách ảo giác,,,,cloneBattle,Khóa lại,,,32,,,,,,,
320,,,Bắt cóc có thời hạn,,,,limitCapture,Khóa,,33,36,,,,,,,
321,,,Hệ thống thành tựu,,,,achievement,Khóa lại,,45,50,,,,,,,
322,,,Bản đồ bắt giữ,,,,gateCapture,Ẩn hiện,,,50,,,,,,<cn>,
323,,,Đại hội võ đạo liên server,,,,crossCraft,Khóa lại,,,45,,,,,,,
324,,,Công hội chiến,,,,unionFight,Khóa lại,,,35,,,,,,,
325,,,Trò chuyện thế giới,,,,worldChat,Khóa lại,,,20,,,,,,,
326,,,Nhắn tin riêng,,,,roleChat,Khóa lại,,,24,,,,,,,
327,,,EtherDirect thông tầng,,,,randomTowerJump,Khóa,,70,70,,,,,,,
328,,,Thư hội nhóm,,,,unionMail,Khóa,,,25,,,,,,,
329,,,Sổ tay công cụ,,,,propHandbook,Ẩn Hiển thị,,,10,,,,,,,
330,,,Đè bẹp đấu trường 5 lần,,,,pvpPass,Ẩn hiển thị,,65,65,,,,,,,
331,,,Thử thách phụ bản công hội 3 lần,,,,uinonGateThreeTimes,Ẩn hiển thị,,60,60,,,,,,,
332,,,Đấu trường liên server,,,,crossArena,Khóa,,,40,,,,,,,
333,,,Đấu trường liên server chiến 5 lần,,,,crossArenaPass,Ẩn hiện,,99999,65,,,,,,,
334,,,Sổ tay chiến đấu,,,,battleManuals,Ẩn hiện,,1,15,,,,,,,
335,,,Chuyển đổi hiển thị VIP,,,,vipDisplaySwitch,,,,199,,,,,7,,
336,,,Khách quý VIP,,,,vipDistinguished,,,,1,,,,,,,
337,,,Câu cá,,,,fishing,,,,65,,,,,,,
338,,,Đánh bắt cá,,,,catch,Ẩn hiện,,,75,,,,,,,
339,,,Câu cá tự động,,,,autoFish,Không thể nhấp,,,68,,,,,,,
340,,,Cuộc thi câu cá tự động câu cá,,,,gameAutoFish,Không thể nhấp,,,80,,,,,,,
342,,,Cuộc thi câu cá bắt được,,,,gameCatch,Ẩn hiển thị,,,85,,,,,,,
343,,,Bình luận anh hùng,,,,cardComment,Ẩn Hiện,,35,35,,,,,,,
344,,,Anh hùng phát biểu ý kiến,,,,cardPostComment,Ẩn Hiện,,99999,99999,,,,,,,
345,,,Đẳng cấp thế giới,,,,worldLevel,,,50,50,,,,,,,
346,,,Thế lực tranh bá,,,,gym,,,,68,,,,,,,
347,,,Ngự Hồn,,,,badge,,,65,68,,,,,,,
348,,,Thách thức ảo tưởng chức năng đá người,,,,cloneBattleKick,Khóa lại không mở ra,,99999,1,,,,,,,
349,,,Thiết lập lại tài năng đơn lẻ,,,,singleTalentReset,,,60,65,,,,,,,
350,,,Đội hình mặc định,,,,readyTeam,,,35,40,,,,,,,
351,,,Thời trang,,,,skin,,,30,30,,,,,,,
352,,,Tháp Thử Luyện Liên Server,,,,crossMine,Khóa lại,,,55,,,,,,,
354,,,Trợ lý hàng ngày,,,,dailyAssistant,Ẩn Hiện,,80,80,,,,,,,
355,,,Nhanh chóng kích hoạt Ngự Hồn,,,,badgeOneKey,Khóa lại; máy chủ cũng bị hạn chế,,72,75,,,,,,,
356,,,Cảnh báo chống gian lận,,,,preventFraud,Ẩn hiện,,,1,,,,,,,
357,,,Mệnh cách,,,,zawake,,,78,85,,,,,,,
358,,,Anh Hùng Viễn Chinh,,,,hunting,,,70,80,,,,,,<cn>,
359,,,Lộ trình nâng cao,,,,specialHunting,,,70,83,,,,,,<cn>,
360,,,Bí kíp,,,,chip,Ẩn hiện,,75,80,,,,,,,
361,,,Cửa hàng mảnh vỡ đề xuất đầy sao,,,,fragShopMaxStar,Ẩn hiện,,6,6,,,,,,,
362,,,Kế hoạch bí mật,,,,chipPlan,Ẩn hiện,,80,85,,,,,,,
363,,,Bí kíp so sánh phương án,,,,chipPlanCompare,Ẩn hiện,,80,85,,,,,,,{dev=<1;999999>}
364,,,Trang sức nhanh chóng thăng sao,,,,starPotentialFast,Ẩn hiện,,80,80,,,,,,,
365,,,Phụ kiện thức tỉnh nhanh chóng,,,,awakePotentialFast,Ẩn Hiển thị,,80,80,,,,,,,
366,,,Bí kíp tẩy luyện,,,,chipAdvance,Ẩn Hiện,,80,85,,,,,,,
367,,,Bí kíp tẩy luyện tái thiết lập,,,,chipAdvanceReset,Ẩn hiện,,80,85,,,,,,,{dev=<1;999999>}
368,,,Mẹo rút trích bí kíp,,,,ChipDrawTips,Hướng dẫn gợi ý,,75,75,,,,,,,
369,,,Chế độ giới hạn vàng,,,,goldLimitMode,,,99,99,,,,,,,
370,,,Kinh nghiệm chế độ cực hạn,,,,expLimitMode,,,99,99,,,,,,,
371,,,Phân giải giao diện lựa chọn anh hùng đầy sao,,,,decompositionMaxStar,,,23,23,,,,,,,
372,,,Anh Hùng Viễn Chinh Thường Thắng Dễ Dàng,,,,huntingPass,,,99999,85,,,,,,,
373,,,Anh Hùng Viễn Chinh Tiến Giai Nghiền Áp,,,,specialHuntingPass,,,99999,90,,,,,,,
374,,,Thách thức anh hùng thông thường,,,,normalBraveChallenge,,,85,85,,,,,,,
375,,,Nhà cửa,,,,town,,,70,199,,,,,,,{dev=<4;5>}
376,,,Nâng cấp công trình nhà cửa hoàn thành ngay lập tức,,,,buildingFinishAtOnce,,,,,,,,,,,{dev=<1;999999>}
377,,,Thông tin email,,,,mailInfo,,,,1,,,,,,,
378,,,Cuộc chiến phòng ốc,,,,crossunionfight,,,999,999,,,,,,,
379,,,Thế lực càn quét,,,,gymPass,,,50,50,,,,,,,{dev=<1;999999>}
380,,,Giải vô địch thế giới,,,,crossSupremacy,Khóa,,,55,,,,,,,
381,,,Thay đổi vĩnh viễn cấp sao thẻ bài,,,,cardStarSwap,,,50,50,,,,,,,
382,,,Thay đổi tạm thời cấp sao thẻ bài,,,,cardStarTemporarySwap,,,50,50,,,,,,,
