VariableName,_beizhu,_comment,stage,specialName,startSceen,startLevel,startGate,extendCondition,order,service,award,awardChoose,showAward,gotoScene,gotoStep,outDelay,showType,force,useRoleFigure,unitId,offPos,headRes,headPos,roleName_cn,roleName_tw,roleName,roleName_vn,roleName_kr,talkContent,talkContent_vn,talkContent_ma,talkContent_en,talkContent_ph,talkContent_th,talkContent_in,bgRes,__tagName,tagName,jumpToNode,animate,animateAngle,animatePos,battleEnter,anyPosCancel,lightSize,chooseDesc1,choose1,chooseDesc2,choose2
25,,,4,,,,,,,,,,,,,,2,,<401>,,,,,,,,,,"Too talkative! This is what I’ve been doing already, do you really need to say that?","Lắm lời! Cái này vốn dĩ là việc tôi đang làm, còn cần anh/chị/bạn nói à?","Banyak cakap! Ini memang kerja aku sekarang, perlu ke kau nak cakap lagi?  ","Too talkative! This is what I’ve been doing already, do you really need to say that?","Madaldal ka! Ginagawa ko na nga ito, kailangan mo pa bang sabihin?",พูดมาก! นี่มันงานของฉันอยู่แล้ว ต้องให้คุณพูดด้วยเหรอ?,"Bawel! Ini memang tugasku, apa masih perlu kamu bilang?",,,,,,,,,,,,,,
26,,,4,,,,,,,,,,,,,,2,2,<888>,,{y=100;x=0},,,,,,,,"Hmm, this chosen one seems far more spirited than expected...","Ừm, người được chọn lần này thật sự là có tinh thần chiến đấu hăng hái ngoài dự kiến nhỉ...","Hmm, orang terpilih kali ini benar-benar bersemangat juang luar jangkaan ya...  ","Hmm, this chosen one seems far more spirited than expected...","Hmm, ang napili ngayon ay mas palaban kaysa sa inaasahan...",อืม ผู้ถูกเลือกคนนี้ไฟแรงเกินความคาดหมายจริง ๆ...,"Hmm, yang terpilih kali ini benar-benar punya semangat juang di luar dugaan...",,,,,,,,,,,,,,
111,,,11,,city.view,,,,,,,,,,,,2,2,,,{y=100;x=0},login/new_character/xiaozhushou1.png,,,,,,,"Don’t be mad, look, we’re back in the Ninja World already. But... your teammates seem to have gone ahead of you.","Đừng giận nữa mà, thấy không, chúng ta không phải đã trở lại Nhẫn giới rồi sao, nhưng mà... đồng đội của ngươi hình như đã đi trước một bước rồi thì phải.","Jangan marah lagi, nampak tak, kita dah pun kembali ke Dunia Ninja, tapi… rakan sepasukanmu nampaknya telah mendahuluimu.  ","Don’t be mad, look, we’re back in the Ninja World already. But... your teammates seem to have gone ahead of you.","Huwag ka nang magalit, ayan o, nakabalik na tayo sa Mundo ng Ninja, pero... mukhang nauna na ang mga kasama mo.",อย่าโกรธเลยนะ เห็นไหม เรากลับมาโลกนินจาแล้ว แต่...ดูเหมือนว่าเพื่อนร่วมทีมของคุณจะล่วงหน้าไปก่อนแล้ว,"Jangan marah dong, lihat kan, kita sudah kembali ke Dunia Ninja. Tapi... sepertinya teman-temanmu sudah mendahuluimu.",,,,,,,,,,,,,,
112,,,11,,,,,,,,,,,,,,2,2,,,{y=100;x=0},login/new_character/xiaozhushou1.png,,,,,,,"Right now, the multiverse is in chaos, everything has changed, and your current strength alone is not enough.","Hiện tại đa vũ trụ hỗn loạn, mọi thứ đã khác, chỉ dựa vào sức mạnh hiện tại của ngươi là hoàn toàn không đủ.","Kini, multiverse dalam kekacauan, semuanya sudah berubah, kekuatanmu sekarang semata-mata tidak mencukupi.  ","Right now, the multiverse is in chaos, everything has changed, and your current strength alone is not enough.","Ngayon, magulo ang multiverse, nagbago na ang lahat, at hindi sapat ang lakas mo ngayon.",ตอนนี้พหุจักรวาลปั่นป่วน ทุกอย่างเปลี่ยนไปแล้ว พลังของคุณในตอนนี้ยังไม่พอ,"Saat ini multiverse sedang kacau, semuanya telah berubah, kekuatanmu sekarang belum cukup.",,,,,,,,,,,,,,
113,,,11,,,,,,,,,,,,,,,,,,{y=250;x=450},login/new_character/xiaozhushou.png,{y=400;x=-100},,,,,,"To save everything, we need greater power and more allies. So, click here to begin your journey of redemption.","Để cứu vãn tất cả, chúng ta cần sức mạnh lớn hơn và nhiều đồng đội hơn. Vậy thì, hãy nhấp vào đây để bắt đầu hành trình cứu chuộc của bạn.","Untuk menyelamatkan segalanya, kita perlukan kuasa yang lebih hebat dan lebih ramai rakan seperjuangan. Jadi, klik di sini untuk mulakan perjalanan penebusanmu.  ","To save everything, we need greater power and more allies. So, click here to begin your journey of redemption.","Upang mailigtas ang lahat, kailangan natin ng mas malakas na kapangyarihan at mas maraming kakampi. Kaya, i-click ito upang simulan ang iyong paglalakbay ng pagtubos.",เพื่อกอบกู้ทุกสิ่ง เราต้องการพลังที่แข็งแกร่งยิ่งขึ้น และเพื่อนร่วมทีมที่มากขึ้น งั้นคลิกที่นี่เพื่อเริ่มต้นการเดินทางของคุณ,"Untuk menyelamatkan semuanya, kita butuh kekuatan lebih besar dan lebih banyak teman. Jadi, klik di sini untuk memulai perjalanan penyelamatanmu.",,,<rightBottomPanel;btnPve>,,effect/shouyindao.skel,150,,,,,,,,
114,,,11,,,,,,,,,,,,,1,,2,,,{y=300;x=0},login/new_character/xiaozhushou.png,{y=300;x=0},,,,,,Click here to choose the stage you want to enter,Nhấn vào đây để chọn màn chơi bạn muốn vào,Klik di sini untuk memilih peringkat yang ingin anda masuk  ,Click here to choose the stage you want to enter,I-click dito upang piliin ang antas na gusto mong pasukin,คลิกที่นี่เพื่อเลือกด่านที่คุณต้องการเข้าสู่,Klik di sini untuk memilih level yang ingin kamu masuki,,,<pageView;page1;gate1>,,effect/shouyindao.skel,,,,,,,,,
115,,,11,,,,,,,,,,,,,0.1,,,,,{y=0;x=100},login/new_character/xiaozhushou.png,{y=300;x=0},,,,,,Click here to start preparing for the battle,Nhấn vào đây để chúng ta bắt đầu chuẩn bị cho trận chiến,Klik di sini untuk kita mula membuat persediaan untuk pertempuran  ,Click here to start preparing for the battle,I-click dito upang simulan nating ihanda ang laban,คลิกที่นี่เพื่อเริ่มเตรียมพร้อมสำหรับการต่อสู้,Klik di sini untuk kita mulai mempersiapkan pertempuran,,,<rightDown;btnChallenge>,,effect/shouyindao.skel,,,{1=0},,,,,,
116,,,11,,,,,,,3,,,,,,,,,,,{y=150;x=0},login/new_character/xiaozhushou.png,,,,,,,"Select the heroes below to add them to your formation. After setting up the lineup, click here to start the battle.","Chọn các anh hùng bên dưới để đưa vào đội hình, sau khi bố trí đội hình xong, hãy nhấp vào đây để bắt đầu trận chiến.","Pilih wira di bawah untuk dimasukkan ke dalam formasi pasukan, selepas selesai susunan, sila klik di sini untuk memulakan pertempuran.  ","Select the heroes below to add them to your formation. After setting up the lineup, click here to start the battle.","Piliin ang mga bayani sa ibaba upang idagdag sa iyong koponan, pagkatapos ng pag-aayos ng koponan, i-click dito upang simulan ang labanan",เลือกฮีโร่ด้านล่างเพื่อจัดเข้าทีม หลังจากจัดทีมเสร็จแล้ว คลิกที่นี่เพื่อเริ่มการต่อสู้,"Pilih pahlawan di bawah untuk dimasukkan ke formasi tim, setelah selesai menyusun tim, klik di sini untuk memulai pertempuran",,,<btnChallenge>,,effect/shouyindao.skel,,,{1=92},,,,,,
120,,,12,,battle.battle_end.win,2,,finish(11) and not finish(13),,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,12,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,<back>,,,,,,,,,,,
122,,,12,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,<backBtn>,,effect/shouyindao.skel,,,,,,,,,
131,,,13,,,,,,,,,,,1,,,2,2,,,{y=100;x=0},login/new_character/xiaozhushou1.png,,,,,,,"Although the heroes turned into zombies have significantly weakened, you can still try to recruit them to your side. In these chaotic times, don't overlook any source of power!","Tuy các anh hùng bị zombie hóa đã suy giảm sức mạnh đáng kể, nhưng vẫn có thể thử chiêu mộ họ về dưới trướng đấy nhé. Trong thời loạn lạc này, không nên bỏ lỡ bất kỳ sức mạnh nào đâu.","Walaupun para wira yang telah dijangkiti zombi telah kehilangan banyak kekuatan, anda masih boleh cuba merekrut mereka ke dalam pasukan anda. Dalam zaman huru-hara ini, jangan lepaskan sebarang kekuatan!","Although the heroes turned into zombies have significantly weakened, you can still try to recruit them to your side. In these chaotic times, don't overlook any source of power!","Kahit na humina na nang husto ang mga bayani na naging zombie, maaari mo pa rin silang subukang i-recruit sa iyong panig. Sa panahon ng kaguluhan, huwag palampasin ang kahit anong lakas!",แม้ว่าฮีโร่ที่กลายเป็นซอมบี้จะอ่อนแอลงมาก แต่คุณยังสามารถลองรับพวกเขาเข้าร่วมทีมได้นะ ในช่วงเวลาวุ่นวายแบบนี้ อย่ามองข้ามพลังใด ๆ เด็ดขาด!,"Meskipun para pahlawan yang menjadi zombie telah kehilangan banyak kekuatannya, kamu masih bisa mencoba merekrut mereka ke dalam timmu. Di masa kekacauan ini, jangan lewatkan kekuatan sekecil apa pun!",,,,,,,,,,,,,,
132,,,13,,,,,,,,,,,1,,,2,2,,,{y=100;x=0},login/new_character/xiaozhushou1.png,,,,,,,Try your luck in summoning a new hero!,Đi thử vận may triệu hồi anh hùng mới thôi!,Mari cuba nasib anda untuk memanggil wira baru!,Try your luck in summoning a new hero!,Subukan natin ang swerte sa pag-summon ng bagong bayani!,ลองเสี่ยงโชคเพื่ออัญเชิญฮีโร่ใหม่กันเถอะ!,Ayo coba keberuntunganmu memanggil pahlawan baru!,,,,,,,,,,,,,,
133,,,13,,,,,,,,,,,,,0.1,,2,,,{y=300;x=-200},login/new_character/xiaozhushou.png,{y=300;x=-200},,,,,,Click here to enter the draw interface.,Bấm vào đây để vào giao diện rút thăm.,Klik di sini untuk masuk ke antara muka cabutan.,Click here to enter the draw interface.,Pindutin ito para pumasok sa interface ng draw.,คลิกที่นี่เพื่อเข้าสู่หน้าจอสุ่ม,Klik di sini untuk masuk ke antarmuka undian.,,,<centerBottomPanel;actionList;drawCard>,,effect/shouyindao.skel,270,,,,,,,,
134,,,13,,,,,,,1,,,,,,0.1,,2,,,{y=300;x=-200},login/new_character/xiaozhushou.png,{y=300;x=-200},,,,,,Click here to start the free card draw!,Nhấn vào đây để bắt đầu rút thẻ miễn phí!,Klik di sini untuk mula cabutan kad percuma!,Click here to start the free card draw!,Pindutin ito para simulan ang libreng card draw!,คลิกที่นี่เพื่อเริ่มการสุ่มการ์ดฟรี!,Klik di sini untuk mulai menarik kartu gratis!,,,<btnDrawOne>,,effect/shouyindao.skel,270,,,,,,,,
135,,,13,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,13,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<baseNode;btnOk>,,effect/shouyindao.skel,270,,,,,,,,
138,,,13,,city.view,,,,,,,,,,,,2,2,,,{y=100;x=0},login/new_character/xiaozhushou1.png,,,,,,,"Congratulations, you've obtained a new hero! Add him to your formation now!","Chúc mừng bạn đã nhận được tướng mới, hãy thêm anh ta vào đội hình nhé!","Tahniah, anda telah mendapat wira baru, sila tambahkannya ke dalam formasi anda!","Congratulations, you've obtained a new hero! Add him to your formation now!","Congrats! Nakuha mo ang bagong bayani, idagdag mo na siya sa iyong team!",ขอแสดงความยินดี คุณได้รับฮีโร่ใหม่แล้ว อย่าลืมใส่เขาในทีมด้วยนะ!,"Selamat, kamu mendapatkan pahlawan baru! Tambahkan dia ke dalam formasi timmu sekarang!",,,,,,,,,,,,,,
139,,,13,,,,,,,,,,,1,,0.1,,2,,,{y=100;x=0},login/new_character/xiaozhushou.png,{y=100;x=0},,,,,,#C0xE77421#Click#C0x5B545B#here to return to the main interface,#C0xE77421#Nhấn vào#C0x5B545B#đây để quay lại giao diện chính,#C0xE77421#Klik pada#C0x5B545B#sini untuk kembali ke antara muka utama,#C0xE77421#Click#C0x5B545B#here to return to the main interface,#C0xE77421#Pindutin ang#C0x5B545B#dito para bumalik sa pangunahing interface,#C0xE77421#คลิกที่#C0x5B545B#นี่เพื่อกลับสู่หน้าหลัก,#C0xE77421#Klik#C0x5B545B#di sini untuk kembali ke antarmuka utama,,,<rightTopClosePanel;back>,,effect/shouyindao.skel,,,,,,,,,
141,,,14,,,,,,,,,,,1,,,2,2,,,{y=100;x=0},login/new_character/xiaozhushou1.png,,,,,,,Add the new hero to your lineup.,Hãy thêm tướng mới vào đội hình.,Sila tambah wira baru ke dalam formasi anda.,Add the new hero to your lineup.,Idagdag ang bagong bayani sa iyong lineup.,เพิ่มฮีโร่ใหม่เข้าไปในทีมของคุณ,Tambahkan pahlawan baru ke dalam formasi timmu.,,,,,,,,,,,,,,
142,,,14,,,,,,,,,,,,,,2,2,,,{y=100;x=0},login/new_character/xiaozhushou1.png,,,,,,,You can also quickly adjust your formation via the formation entrance in the main city.,Bạn cũng có thể nhanh chóng điều chỉnh đội hình thông qua lối vào đội hình trên thành chính.,Anda juga boleh menyesuaikan formasi dengan cepat melalui pintu masuk formasi di bandar utama.,You can also quickly adjust your formation via the formation entrance in the main city.,Maaari ka ring mabilis na ayusin ang lineup gamit ang shortcut sa pangunahing lungsod.,คุณยังสามารถจัดทีมได้อย่างรวดเร็วผ่านทางเข้าจัดทีมที่เมืองหลัก,Kamu juga bisa mengatur formasi dengan cepat melalui pintu masuk formasi di kota utama.,,,,,,,,,,,,,,
143,,,14,,,,,,,,,,,,,0.1,,2,,,{y=300;x=-200},login/new_character/xiaozhushou.png,{y=300;x=-200},,,,,,Click here to enter formation setup,Bấm vào đây để vào bố trận,Klik di sini untuk masuk ke susunan pasukan,Click here to enter formation setup,Pindutin dito para pumasok sa pag-aayos ng formation,คลิกที่นี่เพื่อเข้าสู่การจัดทีม,Klik di sini untuk masuk ke pengaturan formasi,,,<centerBottomPanel;actionList;team>,,effect/shouyindao.skel,270,,,,,,,,
144,,,14,,,,,,,,,,,,,0.1,,2,,,{y=100;x=0},login/new_character/xiaozhushou.png,{y=100;x=0},,,,,,#C0xE77421#Click#C0x5B545B#here for quick formation,#C0xE77421#Nhấn vào#C0x5B545B#đây để bày trận nhanh,#C0xE77421#Klik pada#C0x5B545B#sini untuk susun formasi dengan cepat,#C0xE77421#Click#C0x5B545B#here for quick formation,#C0xE77421#Pindutin ang#C0x5B545B#dito para sa mabilisang formation,#C0xE77421#คลิกที่#C0x5B545B#นี่เพื่อจัดทีมอย่างรวดเร็ว,#C0xE77421#Klik#C0x5B545B#di sini untuk formasi cepat,,,<rightDown;btnOneKeySet>,,effect/shouyindao.skel,,,,,,,,,
145,,,14,,,,,,,1,,,,,,0.1,,2,,,{y=100;x=0},login/new_character/xiaozhushou.png,{y=100;x=0},,,,,,#C0xE77421#Click#C0x5B545B#here to return to the main interface,#C0xE77421#Nhấn vào#C0x5B545B#đây để quay lại giao diện chính,#C0xE77421#Klik pada#C0x5B545B#sini untuk kembali ke antara muka utama,#C0xE77421#Click#C0x5B545B#here to return to the main interface,#C0xE77421#Pindutin ang#C0x5B545B#dito para bumalik sa pangunahing interface,#C0xE77421#คลิกที่#C0x5B545B#นี่เพื่อกลับสู่หน้าหลัก,#C0xE77421#Klik#C0x5B545B#di sini untuk kembali ke antarmuka utama,,,<rightTopClosePanel;back>,,effect/shouyindao.skel,,,,,,,,,
151,,,15,,,,,,,,,,,,,,2,2,,,{y=100;x=0},login/new_character/xiaozhushou1.png,,,,,,,"Next, let’s continue our journey","Tiếp theo, chúng ta hãy tiếp tục lên đường","Seterusnya, mari kita teruskan pengembaraan","Next, let’s continue our journey","Ngayon, magpatuloy tayo sa paglalakbay",ต่อไป เรามาเดินทางกันต่อเลย,"Selanjutnya, mari kita lanjutkan perjalanan",,,,,,,,,,,,,,
152,,,15,,,,,,,,,,,,,,,,,,{y=250;x=450},login/new_character/xiaozhushou.png,{y=400;x=-100},,,,,,Click here to enter the stage,Bấm vào đây để vào màn chơi,Klik di sini untuk masuk ke peringkat,Click here to enter the stage,Pindutin dito para pumasok sa stage,คลิกที่นี่เพื่อเข้าสู่ด่าน,Klik di sini untuk masuk ke level,,,<rightBottomPanel;btnPve>,,effect/shouyindao.skel,150,,,,,,,,
153,,,15,,,,,,,,,,,,,2,,2,,,{y=300;x=0},login/new_character/xiaozhushou.png,{y=300;x=0},,,,,,Click here to select the stage you want to enter,Nhấn vào đây để chọn màn chơi bạn muốn vào,Klik di sini untuk memilih peringkat yang anda mahu masuk,Click here to select the stage you want to enter,Pindutin dito para pumili ng stage na gusto mong pasukin,คลิกที่นี่เพื่อเลือกด่านที่คุณต้องการเข้า,Klik di sini untuk memilih level yang ingin kamu masuki,,,<pageView;page1;gate2>,,effect/shouyindao.skel,,,,,,,,,
154,,,15,,,,,,,,,,,,,0.1,,,,,{y=0;x=100},login/new_character/xiaozhushou.png,{y=300;x=0},,,,,,Click here to start preparing for battle,Nhấn vào đây để chúng ta bắt đầu chuẩn bị cho trận chiến,Klik di sini untuk mula bersedia bagi pertempuran,Click here to start preparing for battle,Pindutin dito para simulan ang paghahanda sa laban,คลิกที่นี่เพื่อเริ่มเตรียมพร้อมสำหรับการต่อสู้,Klik di sini untuk mulai persiapan pertempuran,,,<rightDown;btnChallenge>,,effect/shouyindao.skel,,,,,,,,,
155,,,15,,,,,,,3,,,,,,,,,,,{y=150;x=0},login/new_character/xiaozhushou.png,,,,,,,"Your formation is ready, so click here to start the battle","Đội hình của bạn đã sẵn sàng, vậy thì nhấp vào đây để bắt đầu trận chiến.","Formasi anda sudah bersedia, jadi klik di sini untuk mulakan pertempuran","Your formation is ready, so click here to start the battle","Handa na ang iyong team, pindutin dito para simulan ang laban",ทีมของคุณพร้อมแล้ว คลิกที่นี่เพื่อเริ่มการต่อสู้,"Formasi kamu sudah siap, klik di sini untuk memulai pertempuran",,,<btnChallenge>,,effect/shouyindao.skel,,,,,,,,,
160,,,16,,battle.battle_end.win,3,,finish(15) and not finish(17),,1,{21071=50},,,,161,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,,,17,,battle.battle_end.win,,,,,,,,,1,,,2,2,,,{y=100;x=0},login/new_character/xiaozhushou1.png,,,,,,,"Congratulations, you have received hero shards. You can also get new heroes by combining shards, so hurry and try it now!  ","Chúc mừng bạn đã nhận được mảnh tướng, bạn cũng có thể nhận được tướng mới thông qua ghép mảnh, hãy nhanh tay thử ngay thôi!","Tahniah, anda telah mendapat kepingan wira. Anda juga boleh mendapatkan wira baru melalui gabungan kepingan, cepat cuba sekarang!  ","Congratulations, you have received hero shards. You can also get new heroes by combining shards, so hurry and try it now!  ","Congrats! Nakakuha ka ng hero shards. Pwede ka ring makakuha ng bagong bayani sa pamamagitan ng pagsama ng shards, subukan mo na!  ",ขอแสดงความยินดี คุณได้รับเศษชิ้นส่วนฮีโร่ คุณยังสามารถได้รับฮีโร่ใหม่จากการรวมชิ้นส่วน รีบลองเลย!  ,"Selamat, kamu telah menerima pecahan pahlawan. Kamu juga bisa mendapatkan pahlawan baru dengan menggabungkan pecahan, ayo coba sekarang!  ",,,,,,,,,,,,,,
