VariableName,name,name_ma,name_en,name_th,name_ph,name_in,name_vn,icon,headIcon,treeID,attrDesc,attrDesc_ma,attrDesc_en,attrDesc_th,attrDesc_ph,attrDesc_in,attrDesc_vn,attrAddDesc1,attrAddDesc1_ma,attrAddDesc1_en,attrAddDesc1_th,attrAddDesc1_ph,attrAddDesc1_in,attrAddDesc1_vn,attrAddDesc2_cn,attrAddDesc2_en,attrAddDesc2,attrAddDesc2_vn,attrAddDesc2_th,attrAddDesc2_in,attrAddDesc2_ph,attrAddDesc2_ma,levelUp,preTalentID,preTalentLevel,roleLevel,costID,addType1,natureType1,damageRelation1,attrType1,attrNum1,addType2,natureType2,damageRelation2,attrType2,attrNum2
201,Advanced Cultivation,Latihan Lanjutan,Advanced Cultivation,ฝึกขั้นสูง,Advanced na Pagsasanay,Pelatihan Lanjutan,Tu luyện nâng cao,city/develop/talent/icon_wf.png,,2,Increase base armor percentage for all heroes,Tambah peratusan perisai asas untuk semua hero,Increase base armor percentage for all heroes,เพิ่มเปอร์เซ็นต์เกราะพื้นฐานให้กับฮีโร่ทั้งหมด,Dagdag porsyento ng batayang armor para sa lahat ng bayani,Meningkatkan persentase armor dasar untuk semua hero,Tăng phần trăm giáp cơ bản của tất cả tướng.,Increase physical defense,Tambah pertahanan fizikal,Increase physical defense,เพิ่มพลังป้องกันกายภาพ,Dagdag physical defense,Tambah pertahanan fisik,Tăng phòng vật lý,,,,,,,,,,200,7,45,2,3,,,9,0.50%,,,,,
202,Advanced Cultivation,Latihan Lanjutan,Advanced Cultivation,ฝึกขั้นสูง,Advanced na Pagsasanay,Pelatihan Lanjutan,Tu luyện nâng cao,city/develop/talent/icon_tf.png,,2,Increase base magic resistance percentage for all heroes,Tambah peratusan ketahanan sihir asas untuk semua hero,Increase base magic resistance percentage for all heroes,เพิ่มเปอร์เซ็นต์ต้านเวทพื้นฐานให้กับฮีโร่ทั้งหมด,Dagdag porsyento ng batayang resistensya sa magic para sa lahat ng bayani,Meningkatkan persentase resistensi sihir dasar untuk semua hero,Tăng phần trăm kháng phép cơ bản của tất cả tướng,Increase magic defense,Tambah pertahanan sihir,Increase magic defense,เพิ่มพลังป้องกันเวทมนตร์,Dagdag magic defense,Tambah pertahanan sihir,Tăng phòng thủ phép,,,,,,,,,,201,7,45,3,3,,,10,0.50%,,,,,
203,Advanced Cultivation,Latihan Lanjutan,Advanced Cultivation,ฝึกขั้นสูง,Advanced na Pagsasanay,Pelatihan Lanjutan,Tu luyện nâng cao,city/develop/talent/icon_bjkx.png,,2,Increase base critical resistance percentage for all heroes,Tambah peratusan ketahanan critical asas untuk semua hero,Increase base critical resistance percentage for all heroes,เพิ่มเปอร์เซ็นต์ต้านคริติคอลพื้นฐานให้กับฮีโร่ทั้งหมด,Dagdag porsyento ng batayang resistensya sa critical para sa lahat ng bayani,Meningkatkan persentase resistensi critical dasar untuk semua hero,Tăng phần trăm kháng bạo kích cơ bản của tất cả các tướng.,Increase critical resistance,Tambah ketahanan critical,Increase critical resistance,เพิ่มต้านทานคริติคอล,Dagdag critical resistance,Tambah resistensi critical,Tăng kháng bạo kích,,,,,,,,,,202,7,45,4,3,,,16,50,,,,,
204,Advanced Cultivation,Latihan Lanjutan,Advanced Cultivation,ฝึกขั้นสูง,Advanced na Pagsasanay,Pelatihan Lanjutan,Tu luyện nâng cao,city/develop/talent/icon_wg.png,,2,Increase base physical attack percentage for all heroes,Tambah peratusan serangan fizikal asas untuk semua hero,Increase base physical attack percentage for all heroes,เพิ่มเปอร์เซ็นต์พลังโจมตีทางกายภาพพื้นฐานให้กับฮีโร่ทั้งหมด,Dagdag porsyento ng batayang pisikal na atake para sa lahat ng bayani,Meningkatkan persentase serangan fisik dasar untuk semua hero,Tăng phần trăm vật công cơ bản của tất cả tướng.,Increase physical attack,Tambah serangan fizikal,Increase physical attack,เพิ่มพลังโจมตีกายภาพ,Dagdag physical attack,Tambah serangan fisik,Tăng vật công,,,,,,,,,,200,7,45,2,3,,,7,0.50%,,,,,
205,Advanced Cultivation,Latihan Lanjutan,Advanced Cultivation,ฝึกขั้นสูง,Advanced na Pagsasanay,Pelatihan Lanjutan,Tu luyện nâng cao,city/develop/talent/icon_tg.png,,2,Increase base magic attack percentage for all heroes,Tambah peratusan serangan sihir asas untuk semua hero,Increase base magic attack percentage for all heroes,เพิ่มเปอร์เซ็นต์พลังโจมตีเวทพื้นฐานให้กับฮีโร่ทั้งหมด,Dagdag porsyento ng batayang magic na atake para sa lahat ng bayani,Meningkatkan persentase serangan sihir dasar untuk semua hero,Tăng phần trăm công phép cơ bản của tất cả tướng.,Increase magic attack,Tambah serangan sihir,Increase magic attack,เพิ่มพลังโจมตีเวท,Dagdag magic attack,Tambah serangan sihir,Tăng tấn công phép,,,,,,,,,,204,7,45,3,3,,,8,0.50%,,,,,
206,Advanced Cultivation,Latihan Lanjutan,Advanced Cultivation,ฝึกขั้นสูง,Advanced na Pagsasanay,Pelatihan Lanjutan,Tu luyện nâng cao,city/develop/talent/icon_bj.png,,2,Increase base critical hit rate percentage for all heroes,Tambah peratusan critical hit asas untuk semua hero,Increase base critical hit rate percentage for all heroes,เพิ่มเปอร์เซ็นต์คริติคอลพื้นฐานให้กับฮีโร่ทั้งหมด,Dagdag porsyento ng batayang critical hit para sa lahat ng bayani,Meningkatkan persentase critical hit dasar untuk semua hero,Tăng phần trăm chí mạng cơ bản của tất cả tướng.,Increase critical rate,Tambah kadar critical,Increase critical rate,เพิ่มอัตราคริติคอล,Dagdag critical rate,Tambah peluang critical,Tăng tỉ lệ chí mạng,,,,,,,,,,205,7,45,4,3,,,14,50,,,,,
207,Advanced Cultivation,Latihan Lanjutan,Advanced Cultivation,ฝึกขั้นสูง,Advanced na Pagsasanay,Pelatihan Lanjutan,Tu luyện nâng cao,city/develop/talent/icon_shjm.png,,2,Increase base damage reduction percentage for all heroes,Tambah peratusan pengurangan kerosakan asas untuk semua hero,Increase base damage reduction percentage for all heroes,เพิ่มเปอร์เซ็นต์ลดความเสียหายพื้นฐานให้กับฮีโร่ทั้งหมด,Dagdag porsyento ng batayang bawas pinsala para sa lahat ng bayani,Meningkatkan persentase pengurangan damage dasar untuk semua hero,Tăng phần trăm giảm sát thương cơ bản của tất cả tướng.,Reduce increased damage,Kurangkan peningkatan kerosakan,Reduce increased damage,ลดความเสียหายที่เพิ่มขึ้น,Bawas dagdag damage,Kurangi peningkatan damage,Giảm sát thương tăng lên,,,,,,,,,,200,7,45,2,3,,,23,50,,,,,
208,Advanced Cultivation,Latihan Lanjutan,Advanced Cultivation,ฝึกขั้นสูง,Advanced na Pagsasanay,Pelatihan Lanjutan,Tu luyện nâng cao,city/develop/talent/icon_shjc.png,,2,Increase base extra damage percentage for all heroes,Tambah peratusan kerosakan tambahan asas untuk semua hero,Increase base extra damage percentage for all heroes,เพิ่มเปอร์เซ็นต์ความเสียหายเสริมพื้นฐานให้กับฮีโร่ทั้งหมด,Dagdag porsyento ng batayang dagdag pinsala para sa lahat ng bayani,Meningkatkan persentase damage tambahan dasar untuk semua hero,Tăng phần trăm cộng thêm sát thương cơ bản của tất cả tướng.,Increase additional damage,Tambah kerosakan tambahan,Increase additional damage,เพิ่มความเสียหายเพิ่มเติม,Dagdag karagdagang damage,Tambah damage tambahan,Tăng thêm sát thương.,,,,,,,,,,207,7,45,3,3,,,22,50,,,,,
209,Advanced Cultivation,Latihan Lanjutan,Advanced Cultivation,ฝึกขั้นสูง,Advanced na Pagsasanay,Pelatihan Lanjutan,Tu luyện nâng cao,city/develop/talent/icon_sd.png,,2,Increase base speed percentage for all heroes,Tambah peratusan kelajuan asas untuk semua hero,Increase base speed percentage for all heroes,เพิ่มเปอร์เซ็นต์ความเร็วพื้นฐานให้กับฮีโร่ทั้งหมด,Dagdag porsyento ng batayang bilis para sa lahat ng bayani,Meningkatkan persentase kecepatan dasar untuk semua hero,Tăng phần trăm tốc độ cơ bản của tất cả tướng.,Increase speed,Tambah kelajuan,Increase speed,เพิ่มความเร็ว,Dagdag bilis,Tambah kecepatan,Tăng tốc độ,,,,,,,,,,208,7,45,4,3,,,13,0.50%,,,,,
300,Elemental Cultivation,Latihan Elemen,Elemental Cultivation,ฝึกธาตุ,Pagsasanay ng Elemento,Pelatihan Elemen,Tu luyện nguyên tố,city/develop/talent/icon_smz.png,city/develop/talent/txt_yb.png,3,Increase HP for all Light heroes,Tambah HP untuk semua hero elemen Cahaya,Increase HP for all Light heroes,เพิ่มพลังชีวิตให้ฮีโร่ธาตุแสงทั้งหมด,Dagdag HP para sa lahat ng bayani ng elemento Liwanag,Meningkatkan HP untuk semua hero elemen Cahaya,Tăng sinh mệnh cho tất cả các tướng hệ Thánh Quang.,Increase vitality,Tambah vitaliti,Increase vitality,เพิ่มพลังชีวิต,Dagdag vitality,Tambah vitalitas,Tăng sinh lực,,,,,,,,,,,,65,5,4,1,,1,0.50%,,,,,
301,Elemental Cultivation,Latihan Elemen,Elemental Cultivation,ฝึกธาตุ,Pagsasanay ng Elemento,Pelatihan Elemen,Tu luyện nguyên tố,city/develop/talent/icon_ysg.png,city/develop/talent/txt_yb.png,3,Enhance all Light skill damage effects for heroes,Tingkatkan semua kesan damage kemahiran elemen Cahaya,Enhance all Light skill damage effects for heroes,เสริมเอฟเฟกต์ความเสียหายจากสกิลธาตุแสงทั้งหมดของฮีโร่,Pinalakas ang lahat ng epekto ng damage ng skill ng elemento Liwanag,Meningkatkan semua efek damage skill elemen Cahaya,Tăng cường tất cả các hiệu ứng sát thương kỹ năng hệ Thánh Quang của tướng.,Increase Light skill damage effects,Tingkatkan kesan kerosakan skill elemen Cahaya,Increase Light skill damage effects,เสริมเอฟเฟกต์ความเสียหายสกิลธาตุแสง,Pinalakas ang epekto ng damage ng Light skills,Tingkatkan efek damage skill elemen Cahaya,Tăng thêm hiệu ứng sát thương kỹ năng hệ Thánh Quang,,,,,,,,,,300,7,65,6,3,,,36,100,,,,,
302,Elemental Cultivation,Latihan Elemen,Elemental Cultivation,ฝึกธาตุ,Pagsasanay ng Elemento,Pelatihan Elemen,Tu luyện nguyên tố,city/develop/talent/icon_shjm.png,city/develop/talent/txt_yb.png,3,Increase damage reduction from Light skills for all heroes,Tambah pengurangan kerosakan dari kemahiran elemen Cahaya untuk semua hero,Increase damage reduction from Light skills for all heroes,เพิ่มลดความเสียหายจากสกิลธาตุแสงของฮีโร่ทั้งหมด,Dagdag bawas pinsala mula sa skill ng elemento Liwanag para sa lahat ng bayani,Meningkatkan pengurangan damage dari skill elemen Cahaya untuk semua hero,Tăng khả năng giảm sát thương kỹ năng hệ Thánh Quang của tất cả anh hùng.,Reduce increased damage from Light skills,Kurangkan peningkatan kerosakan dari skill elemen Cahaya,Reduce increased damage from Light skills,ลดความเสียหายที่เพิ่มขึ้นจากสกิลธาตุแสง,Bawas dagdag damage mula sa Light skills,Kurangi peningkatan damage dari skill elemen Cahaya,Giảm sát thương từ kỹ năng hệ Thánh Quang tăng lên.,,,,,,,,,,301,7,65,7,3,,,54,100,,,,,
303,Elemental Cultivation,Latihan Elemen,Elemental Cultivation,ฝึกธาตุ,Pagsasanay ng Elemento,Pelatihan Elemen,Tu luyện nguyên tố,city/develop/talent/icon_smz.png,city/develop/talent/txt_hx.png,3,Increase HP for all Fire heroes,Tambah HP untuk semua hero elemen Api,Increase HP for all Fire heroes,เพิ่มพลังชีวิตให้ฮีโร่ธาตุไฟทั้งหมด,Dagdag HP para sa lahat ng bayani ng elemento Apoy,Meningkatkan HP untuk semua hero elemen Api,Tăng máu cho tất cả các tướng hệ Hỏa,Increase vitality,Tambah vitaliti,Increase vitality,เพิ่มพลังชีวิต,Dagdag vitality,Tambah vitalitas,Tăng sinh lực,,,,,,,,,,,,65,5,4,2,,1,0.50%,,,,,
304,Elemental Cultivation,Latihan Elemen,Elemental Cultivation,ฝึกธาตุ,Pagsasanay ng Elemento,Pelatihan Elemen,Tu luyện nguyên tố,city/develop/talent/icon_ysg.png,city/develop/talent/txt_hx.png,3,Enhance all Fire skill damage effects for heroes,Tingkatkan semua kesan damage kemahiran elemen Api,Enhance all Fire skill damage effects for heroes,เสริมเอฟเฟกต์ความเสียหายจากสกิลธาตุไฟทั้งหมดของฮีโร่,Pinalakas ang lahat ng epekto ng damage ng skill ng elemento Apoy,Meningkatkan semua efek damage skill elemen Api,Tăng cường tất cả các hiệu ứng sát thương kỹ năng hệ Lửa của tướng.,Increase Fire skill damage effects,Tingkatkan kesan kerosakan skill elemen Api,Increase Fire skill damage effects,เสริมเอฟเฟกต์เพิ่มความเสียหายสกิลธาตุไฟ,Pinalakas ang epekto ng damage ng Fire skills,Tingkatkan efek damage skill elemen Api,Tăng thêm hiệu ứng tăng sát thương kỹ năng hệ Lửa,,,,,,,,,,303,7,65,6,3,,,37,100,,,,,
305,Elemental Cultivation,Latihan Elemen,Elemental Cultivation,ฝึกธาตุ,Pagsasanay ng Elemento,Pelatihan Elemen,Tu luyện nguyên tố,city/develop/talent/icon_shjm.png,city/develop/talent/txt_hx.png,3,Increase damage reduction from Fire skills for all heroes,Tambah pengurangan kerosakan dari kemahiran elemen Api untuk semua hero,Increase damage reduction from Fire skills for all heroes,เพิ่มลดความเสียหายจากธาตุไฟของฮีโร่ทั้งหมด,Dagdag bawas pinsala mula sa skill ng elemento Apoy para sa lahat ng bayani,Meningkatkan pengurangan damage dari skill elemen Api untuk semua hero,Tăng khả năng giảm sát thương hệ Hỏa của tất cả các tướng.,Reduce increased damage from Fire skills,Kurangkan peningkatan kerosakan dari skill elemen Api,Reduce increased damage from Fire skills,ลดความเสียหายที่เพิ่มขึ้นจากสกิลธาตุไฟ,Bawas dagdag damage mula sa Fire skills,Kurangi peningkatan damage dari skill elemen Api,Giảm sát thương từ kỹ năng hệ Lửa tăng lên.,,,,,,,,,,304,7,65,7,3,,,55,100,,,,,
306,Elemental Cultivation,Latihan Elemen,Elemental Cultivation,ฝึกธาตุ,Pagsasanay ng Elemento,Pelatihan Elemen,Tu luyện nguyên tố,city/develop/talent/icon_smz.png,city/develop/talent/txt_sx.png,3,Increase HP for all Water heroes,Tambah HP untuk semua hero elemen Air,Increase HP for all Water heroes,เพิ่มพลังชีวิตให้ฮีโร่ธาตุน้ำทั้งหมด,Dagdag HP para sa lahat ng bayani ng elemento Tubig,Meningkatkan HP untuk semua hero elemen Air,Tăng Máu cho tất cả các tướng hệ Huyền Thủy.,Increase vitality,Tambah vitaliti,Increase vitality,เพิ่มพลังชีวิต,Dagdag vitality,Tambah vitalitas,Tăng sinh lực,,,,,,,,,,,,65,5,4,3,,1,0.50%,,,,,
307,Elemental Cultivation,Latihan Elemen,Elemental Cultivation,ฝึกธาตุ,Pagsasanay ng Elemento,Pelatihan Elemen,Tu luyện nguyên tố,city/develop/talent/icon_ysg.png,city/develop/talent/txt_sx.png,3,Enhance all Water skill damage buffs for heroes,Tingkatkan semua buff damage kemahiran elemen Air,Enhance all Water skill damage buffs for heroes,เสริมบัฟความเสียหายจากสกิลธาตุน้ำทั้งหมดของฮีโร่,Pinalakas ang lahat ng buff ng damage ng skill ng elemento Tubig,Meningkatkan semua buff damage skill elemen Air,Tăng cường tất cả buff sát thương kỹ năng hệ Huyền Thủy của tướng.,Increase Water skill damage buffs,Tingkatkan buff kerosakan skill elemen Air Misteri,Increase Water skill damage buffs,เพิ่มบัฟความเสียหายสกิลธาตุน้ำลึกลับ,Pinalakas ang buff ng damage ng Mysterious Water skills,Tingkatkan buff damage skill elemen Air Misterius,Tăng thêm buff sát thương kỹ năng hệ Huyền Thủy.,,,,,,,,,,306,7,65,6,3,,,38,100,,,,,
308,Elemental Cultivation,Latihan Elemen,Elemental Cultivation,ฝึกธาตุ,Pagsasanay ng Elemento,Pelatihan Elemen,Tu luyện nguyên tố,city/develop/talent/icon_shjm.png,city/develop/talent/txt_sx.png,3,Increase damage reduction from Water skills for all heroes,Tambah pengurangan kerosakan dari kemahiran elemen Air untuk semua hero,Increase damage reduction from Water skills for all heroes,เพิ่มลดความเสียหายจากสกิลธาตุน้ำของฮีโร่ทั้งหมด,Dagdag bawas pinsala mula sa skill ng elemento Tubig para sa lahat ng bayani,Meningkatkan pengurangan damage dari skill elemen Air untuk semua hero,Tăng khả năng giảm sát thương kỹ năng hệ Huyền Thủy của tất cả các tướng.,Reduce increased damage from Water skills,Kurangkan peningkatan kerosakan dari skill elemen Air Misteri,Reduce increased damage from Water skills,ลดความเสียหายที่เพิ่มขึ้นจากสกิลธาตุน้ำลึกลับ,Bawas dagdag damage mula sa Mysterious Water skills,Kurangi peningkatan damage dari skill elemen Air Misterius,Giảm sát thương kỹ năng hệ Huyền Thủy tăng lên.,,,,,,,,,,307,7,65,7,3,,,56,100,,,,,
309,Elemental Cultivation,Latihan Elemen,Elemental Cultivation,ฝึกธาตุ,Pagsasanay ng Elemento,Pelatihan Elemen,Tu luyện nguyên tố,city/develop/talent/icon_smz.png,city/develop/talent/txt_cx.png,3,Increase HP for all Wind heroes,Tambah HP untuk semua hero elemen Angin,Increase HP for all Wind heroes,เพิ่มพลังชีวิตให้ฮีโร่ธาตุลมทั้งหมด,Dagdag HP para sa lahat ng bayani ng elemento Hangin,Meningkatkan HP untuk semua hero elemen Angin,Tăng máu cho tất cả tướng hệ Tật Phong,Increase vitality,Tambah vitaliti,Increase vitality,เพิ่มพลังชีวิต,Dagdag vitality,Tambah vitalitas,Tăng sinh lực,,,,,,,,,,,,65,5,4,4,,1,0.50%,,,,,
310,Elemental Cultivation,Latihan Elemen,Elemental Cultivation,ฝึกธาตุ,Pagsasanay ng Elemento,Pelatihan Elemen,Tu luyện nguyên tố,city/develop/talent/icon_ysg.png,city/develop/talent/txt_cx.png,3,Enhance all Wind skill damage buffs for heroes,Tingkatkan semua buff damage skill elemen Angin untuk hero,Enhance all Wind skill damage buffs for heroes,เสริมบัฟความเสียหายจากสกิลธาตุลมของฮีโร่,Pinalakas ang lahat ng buff ng damage mula sa mga Wind na skill ng bayani,Meningkatkan semua buff damage skill elemen Angin untuk hero,Tăng cường tất cả các buff sát thương kỹ năng hệ Phong của tướng.,Increase buff damage for Wind skills,Tambah buff kerosakan untuk skill Elemen Angin,Increase buff damage for Wind skills,เพิ่มบัฟความเสียหายของสกิลธาตุลม,Dagdag buff ng damage sa Wind skills,Tambah buff damage untuk skill Elemen Angin,Tăng thêm buff sát thương cho các kỹ năng hệ Phong.,,,,,,,,,,309,7,65,6,3,,,39,100,,,,,
