VariableName,sceneName_cn,sceneName,sceneName_vn,sceneName_en,sceneName_th,sceneName_in,sceneName_ph,sceneName_ma,sceneName_kr,_beizhu,monsters,boss,icon,gateType,sceneType,sceneCount,roundLimit,deployType,deployCardNumLimit,deployNum,deployNatureLimit,backMusic,backGround,bg_boss,bg_boss_pos,ownerId,onlyClassify,openLevel,preGateID,stars,showLevel,sceneLevel,skillLevel,sceneLevelCorrect,demonCorrect,demonCorrectSelf,dayChallengeMax,staminaCost,cardExp,roleExp,dropIds,gold,desc,desc_tw,desc_en,desc_th,desc_in,desc_ph,desc_ma,desc_vn,desc_kr,sandangAward,worldLevelSaodangAward,forbidMarkID,winAward,star3Award,kssdFlag,chestAward,pos,awardPos,frontWay,monsterRange,finishPoint,isWheel,isQuickSweep,tag,unitID
14,,Cross-server Martial Tournament,Đại hội Võ đạo Liên Server,Cross-server Martial Tournament,การแข่งขันศิลปะการต่อสู้ข้ามเซิร์ฟเวอร์,Turnamen Bela Diri Antarserver,Martial Arts Tournament Cross-server,Kejohanan Seni Bela Diri Merentas Server,,,,,,14,,5,10,,,,,,battle/scene/battle_map_18.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{ceCorrectTakeEffect=True;pvpAttrTakeEffect=True},
17,,Cross-server Arena,Đấu trường liên server,Cross-server Arena,สนามประลองข้ามเซิร์ฟเวอร์,Arena Antarserver,Arena Cross-server,Arena Merentas Server,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,0,,,{},,,,,,,,,,,,,,,,,,,,,,,,,{ceCorrectTakeEffect=True;pvpAttrTakeEffect=True},
19,,Gym Head Trainer,Huấn luyện viên trưởng phòng tập,Gym Head Trainer,หัวหน้าเทรนเนอร์,Pelatih Utama Gym,Punong Tagasanay sa Gym,Ketua Jurulatih Gim,,,,,,19,,1,,,,,,,battle/scene/battle_map_42.png,,,,,,,,,,,,,,,0,,,{},,,,,,,,,,,,,,,,,,,,,,,,,{ceCorrectTakeEffect=True;pvpAttrTakeEffect=True},
20,,Cross-server Arena,Đấu trường liên server,Cross-server Arena,สนามประลองข้ามเซิร์ฟเวอร์,Arena Antarserver,Arena Cross-server,Arena Merentas Server,,,,,,20,,1,,,,,,,battle/scene/battle_map_42.png,,,,,,,,,,,,,,,0,,,{},,,,,,,,,,,,,,,,,,,,,,,,,{ceCorrectTakeEffect=True;pvpAttrTakeEffect=True},
21,,Real-time Cross-server Arena,Đấu trường thời gian thực liên server,Real-time Cross-server Arena,สนามประลองเรียลไทม์ข้ามเซิร์ฟเวอร์,Arena Real-time Antarserver,Real-time Arena Cross-server,Arena Masa Sebenar Merentas Server,,,,,,21,,1,,,,,,,battle/scene/battle_map_20.png,,,,,,,,,,,,,,,0,,,{},,,,,,,,,,,,,,,,,,,,,,,,,{ceCorrectTakeEffect=True;pvpAttrTakeEffect=True},
22,,Event Boss,Boss sự kiện,Event Boss,บอสกิจกรรม,Bos Acara,Boss ng Kaganapan,Bos Acara,,,,,,22,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,Cross-server PvP Resource War,Chiến PvP tranh đoạt tài nguyên liên server,Cross-server PvP Resource War,ศึก PvP แย่งทรัพยากรข้ามเซิร์ฟเวอร์,PvP Perebutan Sumber Antarserver,PvP Labanan sa Resources Cross-server,PvP Merentas Server untuk Rebutan Sumber,,,,,,23,17,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{ceCorrectTakeEffect=True;pvpAttrTakeEffect=True},
25,,Anniversary Dungeon,Phụ bản kỷ niệm周年,Anniversary Dungeon,ดันเจี้ยนครบรอบ,Dungeon Ulang Tahun,Anniversary Dungeon,Dungeon Ulang Tahun,,,,,,25,25,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,Expedition Mode,Chế độ Viễn Chinh,Expedition Mode,โหมดผจญภัย,Mode Ekspedisi,Expedition Mode,Mod Ekspedisi,,,,,,26,26,1,,,,,,,battle/scene/battle_map_13.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,Summer Challenge,Thử thách mùa hè,Summer Challenge,ความท้าทายฤดูร้อน,Tantangan Musim Panas,Hamon ng Tag-init,Cabaran Musim Panas,,,,,,27,27,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,Cross-server Guild War,Chiến bang liên server,Cross-server Guild War,สงครามกิลด์ข้ามเซิร์ฟเวอร์,Perang Guild Antarserver,Digmaan ng Guild Cross-server,Perang Guild Merentas Server,,,,,,28,28,1,10,,,,,,battle/scene/battle_map_35.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{ceCorrectTakeEffect=True;pvpAttrTakeEffect=True},
29,,World Championship,Giải vô địch thế giới,World Championship,การแข่งขันชิงแชมป์โลก,Kejuaraan Dunia,World Championship,Kejohanan Dunia,,,,,,29,29,,,,,,,,battle/scene/battle_map_44.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{ceCorrectTakeEffect=True;pvpAttrTakeEffect=True},
1000,,Plumber,Thợ sửa ống nước,Plumber,ช่างประปา,Tukang Ledeng,Tubero,Tukang Paip,,,,,config/portrait/simple/img_13.png,6,21,1,5,,,,,,battle/scene/battle_map_35.png,config/big_hero/normal/img_13.png,{y=0;x=0},,,,,,20,100,100,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
1001,,Chris,Chris,Chris,Chris,Chris,Chris,Chris,,,,,config/portrait/simple/img_3293.png,6,21,1,5,,,,,,battle/scene/battle_map_35.png,config/big_hero/normal/img_3293.png,{y=0;x=0},,,,1000,,30,150,150,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3293
1002,,Jaian,Jaian,Jaian,Jaian,Jaian,Jaian,Jaian,,,,,config/portrait/simple/img_402.png,6,21,1,5,,,,,,battle/scene/battle_map_35.png,config/big_hero/normal/img_402.png,{y=0;x=0},,,,1001,,40,200,200,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402
1003,,Predator Monster,Quái vật săn mồi,Predator Monster,สัตว์ประหลาดนักล่า,Monster Predator,Halimaw Mangangaso,Raksasa Pemangsa,,,,,config/portrait/simple/img_493.png,6,21,1,5,,,,,,battle/scene/battle_map_35.png,config/big_hero/normal/img_493.png,{y=0;x=0},,,,1002,,50,250,250,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493
1004,,Gandalf,Gandalf,Gandalf,Gandalf,Gandalf,Gandalf,Gandalf,,,,,config/portrait/simple/img_593.png,6,21,1,5,,,,,,battle/scene/battle_map_35.png,config/big_hero/normal/img_593.png,{y=0;x=0},,,,1003,,60,300,300,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,593
1005,,Thor,Thor,Thor,Thor,Thor,Thor,Thor,,,,,config/portrait/simple/img_1221.png,6,21,1,5,,,,,,battle/scene/battle_map_35.png,config/big_hero/normal/img_1221.png,{y=0;x=0},,,,1004,,70,350,350,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1221
1006,,Superman,Siêu nhân,Superman,ซูเปอร์แมน,Superman,Superman,Superman,,,,,config/portrait/simple/img_1931.png,6,21,1,5,,,,,,battle/scene/battle_map_35.png,config/big_hero/normal/img_1931.png,{y=0;x=0},,,,1005,,80,400,400,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1931
1007,,Captain America,Đội trưởng Mỹ,Captain America,กัปตันอเมริกา,Kapten Amerika,Kapitan Amerika,Kapten Amerika,,,,,config/portrait/simple/img_1903.png,6,21,1,5,,,,,,battle/scene/battle_map_35.png,config/big_hero/normal/img_1903.png,{y=0;x=0},,,,1006,,90,450,450,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1903
1008,,Kamado Tanjirou,Kamado Tanjirou,Kamado Tanjirou,Kamado Tanjirou,Kamado Tanjirou,Kamado Tanjirou,Kamado Tanjirou,,,,,config/portrait/simple/img_631.png,6,21,1,5,,,,,,battle/scene/battle_map_35.png,config/big_hero/normal/img_631.png,{y=0;x=0},,,,1007,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,631
1009,,Ikki,Ikki,Ikki,Ikki,Ikki,Ikki,Ikki,,,,,config/portrait/simple/img_741.png,6,21,1,5,,,,,,battle/scene/battle_map_35.png,config/big_hero/normal/img_741.png,{y=0;x=0},,,,1008,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,741
1010,,Misaka Mikoto,Misaka Mikoto,Misaka Mikoto,Misaka Mikoto,Misaka Mikoto,Misaka Mikoto,Misaka Mikoto,,,,,config/portrait/simple/img_731.png,6,21,1,5,,,,,,battle/scene/battle_map_35.png,config/big_hero/normal/img_731.png,{y=0;x=0},,,,1009,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,731
1011,,Hatake Kakashi,Hatake Kakashi,Hatake Kakashi,Hatake Kakashi,Hatake Kakashi,Hatake Kakashi,Hatake Kakashi,,,,,config/portrait/simple/img_333.png,6,21,1,5,,,,,,battle/scene/battle_map_35.png,config/big_hero/normal/img_333.png,{y=0;x=0},,,,1010,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333
1012,,Yoruichi Shihōin,Yoruichi Shihōin,Yoruichi Shihōin,Yoruichi Shihōin,Yoruichi Shihōin,Yoruichi Shihōin,Yoruichi Shihōin,,,,,config/portrait/simple/img_1293.png,6,21,1,5,,,,,,battle/scene/battle_map_35.png,config/big_hero/normal/img_1293.png,{y=0;x=0},,,,1011,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1293
1013,,Lina Inverse,Lina Inverse,Lina Inverse,Lina Inverse,Lina Inverse,Lina Inverse,Lina Inverse,,,,,config/portrait/simple/img_603.png,6,21,1,5,,,,,,battle/scene/battle_map_35.png,config/big_hero/normal/img_603.png,{y=0;x=0},,,,1012,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603
1014,,Elegant Zoldyck,Kỳ Nhã Zoldyck,Elegant Zoldyck,Zoldyck ผู้งดงาม,Zoldyck Anggun,Zoldyck Marikit,Zoldyck Anggun,,,,,config/portrait/simple/img_883.png,6,21,1,5,,,,,,battle/scene/battle_map_35.png,config/big_hero/normal/img_883.png,{y=0;x=0},,,,1013,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,883
1015,,Takasugi Shinsuke,Takasugi Shinsuke,Takasugi Shinsuke,Takasugi Shinsuke,Takasugi Shinsuke,Takasugi Shinsuke,Takasugi Shinsuke,,,,,config/portrait/simple/img_1071.png,6,21,1,5,,,,,,battle/scene/battle_map_35.png,config/big_hero/normal/img_1071.png,{y=0;x=0},,,,1014,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1071
1016,,Horse Clan,Mã Gia,Horse Clan,ตระกูลม้า,Klan Kuda,Angkan ng Kabayo,Klan Kuda,,,,,config/portrait/simple/img_1082.png,6,21,1,5,,,,,,battle/scene/battle_map_35.png,config/big_hero/normal/img_1082.png,{y=0;x=0},,,,1015,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1082
1017,,Heracles,Heracles,Heracles,เฮรากลีส,Heracles,Heracles,Heracles,,,,,config/portrait/simple/img_1253.png,6,21,1,5,,,,,,battle/scene/battle_map_35.png,config/big_hero/normal/img_1253.png,{y=0;x=0},,,,1016,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1253
1018,,Kenjiro,Kenjiro,Kenjiro,เคนจิโร่,Kenjiro,Kenjiro,Kenjiro,,,,,config/portrait/simple/img_1911.png,6,21,1,5,,,,,,battle/scene/battle_map_35.png,config/big_hero/normal/img_1911.png,{y=0;x=0},,,,1017,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1911
1019,,Ayanami Rei,Ayanami Rei,Ayanami Rei,อายานามิ เรย์,Ayanami Rei,Ayanami Rei,Ayanami Rei,,,,,config/portrait/simple/img_3003.png,6,21,1,5,,,,,,battle/scene/battle_map_35.png,config/big_hero/normal/img_3003.png,{y=0;x=0},,,,1018,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3003
1020,,Hinata Hyūga,Hinata Hyūga,Hinata Hyūga,ฮินาตะ ฮิวกะ,Hinata Hyūga,Hinata Hyūga,Hinata Hyūga,,,,,config/portrait/simple/img_2242.png,6,21,1,5,,,,,,battle/scene/battle_map_35.png,config/big_hero/normal/img_2242.png,{y=0;x=0},,,,1019,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2242
1021,,Misaka Mikoto,Misaka Mikoto,Misaka Mikoto,มิสึกะ มิคาโตะ,Misaka Mikoto,Misaka Mikoto,Misaka Mikoto,,,,,config/portrait/simple/img_731.png,6,21,1,5,,,,,,battle/scene/battle_map_35.png,config/big_hero/normal/img_731.png,{y=0;x=0},,,,1020,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,731
1022,,Kamado Tanjirou,Kamado Tanjirou,Kamado Tanjirou,คามาโดะ แทงจิโร่,Kamado Tanjirou,Kamado Tanjirou,Kamado Tanjirou,,,,,config/portrait/simple/img_631.png,6,21,1,5,,,,,,battle/scene/battle_map_35.png,config/big_hero/normal/img_631.png,{y=0;x=0},,,,1021,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,631
1023,,Yoruichi Shihōin,Yoruichi Shihōin,Yoruichi Shihōin,โยรุอิจิ ชิโฮอิน,Yoruichi Shihōin,Yoruichi Shihōin,Yoruichi Shihōin,,,,,config/portrait/simple/img_1293.png,6,21,1,5,,,,,,battle/scene/battle_map_35.png,config/big_hero/normal/img_1293.png,{y=0;x=0},,,,1022,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1293
1024,,Takasugi Shinsuke,Takasugi Shinsuke,Takasugi Shinsuke,ทากาสุกิ ชินสุเกะ,Takasugi Shinsuke,Takasugi Shinsuke,Takasugi Shinsuke,,,,,config/portrait/simple/img_1071.png,6,21,1,5,,,,,,battle/scene/battle_map_35.png,config/big_hero/normal/img_1071.png,{y=0;x=0},,,,1023,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1071
1025,,Heracles,Heracles,Heracles,เฮรากลีส,Heracles,Heracles,Heracles,,,,,config/portrait/simple/img_1253.png,6,21,1,5,,,,,,battle/scene/battle_map_35.png,config/big_hero/normal/img_1253.png,{y=0;x=0},,,,1024,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1253
1026,,Kenjiro,Kenjiro,Kenjiro,เคนจิโร่,Kenjiro,Kenjiro,Kenjiro,,,,,config/portrait/simple/img_1911.png,6,21,1,5,,,,,,battle/scene/battle_map_35.png,config/big_hero/normal/img_1911.png,{y=0;x=0},,,,1025,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1911
1027,,Hinata Hyūga,Hinata Hyūga,Hinata Hyūga,ฮินาตะ ฮิวกะ,Hinata Hyūga,Hinata Hyūga,Hinata Hyūga,,,,,config/portrait/simple/img_2242.png,6,21,1,5,,,,,,battle/scene/battle_map_35.png,config/big_hero/normal/img_2242.png,{y=0;x=0},,,,1026,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2242
1028,,Tiểu Viên,Tiểu Viên,Tiểu Viên,Small Garden,สวนเล็ก,Kebun Kecil,Maliit na Hardin,,,,,config/portrait/simple/img_771.png,6,21,1,5,,,,,,battle/scene/battle_map_35.png,config/big_hero/normal/img_771.png,{y=0;x=0},,,,1027,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,771
1029,,Kurosaki Ichigo,Kurosaki Ichigo,Kurosaki Ichigo,คุโรซากิ อิจิโกะ,Kurosaki Ichigo,Kurosaki Ichigo,Kurosaki Ichigo,,,,,config/portrait/simple/img_1231.png,6,21,1,5,,,,,,battle/scene/battle_map_35.png,config/big_hero/normal/img_1231.png,{y=0;x=0},,,,1028,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1231
1030,,Akame,Akame,Akame,อาคาเมะ,Akame,Akame,Akame,,,,,config/portrait/simple/img_572.png,6,21,1,5,,,,,,battle/scene/battle_map_35.png,config/big_hero/normal/img_572.png,{y=0;x=0},,,,1029,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572
1031,,Rắn lớn,Rắn lớn,Rắn lớn,Big Snake,งูใหญ่,Ular Besar,Malaking Ahas,,,,,config/portrait/simple/img_263.png,6,21,1,5,,,,,,battle/scene/battle_map_35.png,config/big_hero/normal/img_263.png,{y=0;x=0},,,,1030,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263
1032,,Asuna,Asuna,Asuna,อาสึนะ,Asuna,Asuna,Asuna,,,,,config/portrait/simple/img_3303.png,6,21,1,5,,,,,,battle/scene/battle_map_35.png,config/big_hero/normal/img_3303.png,{y=0;x=0},,,,1031,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3303
1033,,Hades,Hades,Hades,ฮาเดส,Hades,Hades,Hades,,,,,config/portrait/simple/img_393.png,6,21,1,5,,,,,,battle/scene/battle_map_35.png,config/big_hero/normal/img_393.png,{y=0;x=0},,,,1032,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393
1034,,Tohsaka Rin,Tohsaka Rin,Tohsaka Rin,โทซากะ ริน,Tohsaka Rin,Tohsaka Rin,Tohsaka Rin,,,,,config/portrait/simple/img_721.png,6,21,1,5,,,,,,battle/scene/battle_map_35.png,config/big_hero/normal/img_721.png,{y=0;x=0},,,,1033,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,721
1035,,Saitama,Saitama,Saitama,ไซตามะ,Saitama,Saitama,Saitama,,,,,config/portrait/simple/img_1423.png,6,21,1,5,,,,,,battle/scene/battle_map_35.png,config/big_hero/normal/img_1423.png,{y=0;x=0},,,,1034,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1423
1036,,Kurosaki Ichigo,Kurosaki Ichigo,Kurosaki Ichigo,คุโรซากิ อิจิโกะ,Kurosaki Ichigo,Kurosaki Ichigo,Kurosaki Ichigo,,,,,config/portrait/simple/img_1231.png,6,21,1,5,,,,,,battle/scene/battle_map_35.png,config/big_hero/normal/img_1231.png,{y=0;x=0},,,,1035,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1231
1037,,Hatsune Miku,Hatsune Miku,Hatsune Miku,ฮัตสึเนะ มิกุ,Hatsune Miku,Hatsune Miku,Hatsune Miku,,,,,config/portrait/simple/img_1241.png,6,21,1,5,,,,,,battle/scene/battle_map_35.png,config/big_hero/normal/img_1241.png,{y=0;x=0},,,,1036,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1241
1038,,Tiểu Viên,Tiểu Viên,Tiểu Viên,Small Garden,สวนเล็ก,Kebun Kecil,Maliit na Hardin,,,,,config/portrait/simple/img_771.png,6,21,1,5,,,,,,battle/scene/battle_map_35.png,config/big_hero/normal/img_771.png,{y=0;x=0},,,,1037,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,771
1039,,Akame,Akame,Akame,อาคาเมะ,Akame,Akame,Akame,,,,,config/portrait/simple/img_572.png,6,21,1,5,,,,,,battle/scene/battle_map_35.png,config/big_hero/normal/img_572.png,{y=0;x=0},,,,1038,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572
10101,,World in Turmoil,Thế giới biến động,World in Turmoil,โลกปั่นป่วน,Dunia dalam Kekacauan,Mundo ng Kaguluhan,Dunia yang Bergolak,,,<{unitId=50402;level=1;advance=1};{unitId=50082;level=1;advance=1}>,<{unitId=50044;level=1;advance=1}>,,,4,2,,,,,,,battle/scene/battle_map_3.png,config/big_hero/normal/img_44.png,,11,,,,<{key=1;value=1};{key=2;value=2};{key=3;value=6}>,1,,,,,,,6,30,6,{5001=0;5000=0},875,"The ninja world is waiting for me to save it, and no one can stop me!",,"The ninja world is waiting for me to save it, and no one can stop me!",โลกนินจากำลังรอให้ฉันไปช่วย และไม่มีใครหยุดฉันได้!,"Dunia ninja sedang menunggu aku untuk menyelamatkannya, dan tidak ada yang bisa menghentikanku!","Ang mundo ng ninja ay naghihintay sa akin upang iligtas ito, at walang makakapigil sa akin!","Dunia ninja sedang menunggu aku untuk menyelamatkannya, dan tiada siapa yang dapat menghalang aku!",Thế giới ninja đang chờ tôi đến cứu nó và không ai có thể ngăn cản tôi!,,{11=1;30=1;31=1},{11=2;30=1;31=1},,,,1,,{y=826;x=516},,<<516;826>>,,,,1,,
