VariableName,name_cn,name_tw,name,name_vn,name_ma,name_en,name_in,name_th,name_ph,name_kr,desc_cn,desc_tw,desc,desc_vn,desc_ma,desc_en,desc_in,desc_th,desc_ph,desc_kr,targetType,targetArg,targetArg2,attrNatureType,attrType,attrValue,languages
10,,,Collect 3 heroes,Thu thập 3 anh hùng,Kumpul 3 wira,Collect 3 heroes,Kumpulkan 3 pahlawan,รวบรวมฮีโร่ 3 ตัว,Kolektahin ang 3 bayani,,,,#C0xFF5B545B#All heroes increase Holy Light damage #C0xD38D22#1%,#C0xFF5B545B#Toàn bộ tướng tăng thêm sát thương hệ Thánh Quang#C0xD38D22#1%,#C0xFF5B545B#Semua wira meningkatkan kerosakan elemen Cahaya Suci #C0xD38D22#1%,#C0xFF5B545B#All heroes increase Holy Light damage #C0xD38D22#1%,#C0xFF5B545B#Semua pahlawan meningkatkan damage elemen Cahaya Suci #C0xD38D22#1%,#C0xFF5B545B#ฮีโร่ทุกตัวเพิ่มความเสียหายธาตุแสงศักดิ์สิทธิ์ #C0xD38D22#1%,#C0xFF5B545B#Lahat ng bayani ay tumataas ang pinsala ng Holy Light #C0xD38D22#1%,,2,3,1,,36,100,
11,,,Collect 6 heroes,Thu thập 6 anh hùng,Kumpul 6 wira,Collect 6 heroes,Kumpulkan 6 pahlawan,รวบรวมฮีโร่ 6 ตัว,Kolektahin ang 6 bayani,,,,#C0xFF5B545B#All heroes increase Holy Light damage #C0xD38D22#1%,#C0xFF5B545B#Toàn bộ tướng tăng thêm sát thương hệ Thánh Quang#C0xD38D22#1%,#C0xFF5B545B#Semua wira meningkatkan kerosakan elemen Cahaya Suci #C0xD38D22#1%,#C0xFF5B545B#All heroes increase Holy Light damage #C0xD38D22#1%,#C0xFF5B545B#Semua pahlawan meningkatkan damage elemen Cahaya Suci #C0xD38D22#1%,#C0xFF5B545B#ฮีโร่ทุกตัวเพิ่มความเสียหายธาตุแสงศักดิ์สิทธิ์ #C0xD38D22#1%,#C0xFF5B545B#Lahat ng bayani ay tumataas ang pinsala ng Holy Light #C0xD38D22#1%,,2,6,1,,36,100,
12,,,Collect 12 heroes,Thu thập 12 anh hùng.,Kumpul 12 wira,Collect 12 heroes,Kumpulkan 12 pahlawan,รวบรวมฮีโร่ 12 ตัว,Kolektahin ang 12 bayani,,,,#C0xFF5B545B#All heroes increase Holy Light damage #C0xD38D22#1%,#C0xFF5B545B#Toàn bộ tướng tăng thêm sát thương hệ Thánh Quang#C0xD38D22#1%,#C0xFF5B545B#Semua wira meningkatkan kerosakan elemen Cahaya Suci #C0xD38D22#1%,#C0xFF5B545B#All heroes increase Holy Light damage #C0xD38D22#1%,#C0xFF5B545B#Semua pahlawan meningkatkan damage elemen Cahaya Suci #C0xD38D22#1%,#C0xFF5B545B#ฮีโร่ทุกตัวเพิ่มความเสียหายธาตุแสงศักดิ์สิทธิ์ #C0xD38D22#1%,#C0xFF5B545B#Lahat ng bayani ay tumataas ang pinsala ng Holy Light #C0xD38D22#1%,,2,12,1,,36,100,
13,,,Collect 18 heroes,Thu thập 18 anh hùng.,Kumpul 18 wira,Collect 18 heroes,Kumpulkan 18 pahlawan,รวบรวมฮีโร่ 18 ตัว,Kolektahin ang 18 bayani,,,,#C0xFF5B545B#All Holy Light heroes gain increased damage #C0xD38D22#1%,#C0xFF5B545B#Toàn bộ tướng thuộc hệ Thánh Quang được tăng thêm sát thương#C0xD38D22#1%,#C0xFF5B545B#Semua wira elemen Cahaya Suci mendapat peningkatan kerosakan #C0xD38D22#1%,#C0xFF5B545B#All Holy Light heroes gain increased damage #C0xD38D22#1%,#C0xFF5B545B#Semua pahlawan elemen Cahaya Suci mendapatkan peningkatan damage #C0xD38D22#1%,#C0xFF5B545B#ฮีโร่ทุกตัวที่เป็นธาตุแสงศักดิ์สิทธิ์เพิ่มความเสียหาย #C0xD38D22#1%,#C0xFF5B545B#Lahat ng bayani ng Holy Light ay tumatanggap ng dagdag pinsala #C0xD38D22#1%,,2,18,1,,36,100,
14,,,Collect 3 heroes,Thu thập 3 anh hùng,Kumpul 3 wira,Collect 3 heroes,Kumpulkan 3 pahlawan,รวบรวมฮีโร่ 3 ตัว,Kolektahin ang 3 bayani,,,,#C0xFF5B545B#All heroes increase Fire damage #C0xD38D22#1%,#C0xFF5B545B#Toàn bộ tướng tăng sát thương hệ Hỏa#C0xD38D22#1%,#C0xFF5B545B#Semua wira meningkatkan kerosakan elemen Api #C0xD38D22#1%,#C0xFF5B545B#All heroes increase Fire damage #C0xD38D22#1%,#C0xFF5B545B#Semua pahlawan meningkatkan damage elemen Api #C0xD38D22#1%,#C0xFF5B545B#ฮีโร่ทุกตัวเพิ่มความเสียหายธาตุไฟ #C0xD38D22#1%,#C0xFF5B545B#Lahat ng bayani ay tumataas ang pinsala ng apoy #C0xD38D22#1%,,2,3,2,,37,100,
15,,,Collect 6 heroes,Thu thập 6 anh hùng,Kumpul 6 wira,Collect 6 heroes,Kumpulkan 6 pahlawan,รวบรวมฮีโร่ 6 ตัว,Kolektahin ang 6 bayani,,,,#C0xFF5B545B#All heroes deal additional Fire damage #C0xD38D22#1%,#C0xFF5B545B#Toàn bộ tướng gây thêm sát thương hệ Hỏa#C0xD38D22#1%,#C0xFF5B545B#Semua wira memberi kerosakan tambahan elemen Api #C0xD38D22#1%,#C0xFF5B545B#All heroes deal additional Fire damage #C0xD38D22#1%,#C0xFF5B545B#Semua pahlawan memberikan tambahan damage elemen Api #C0xD38D22#1%,#C0xFF5B545B#ฮีโร่ทุกตัวเพิ่มความเสียหายธาตุไฟ #C0xD38D22#1%,#C0xFF5B545B#Lahat ng bayani ay nagdudulot ng dagdag pinsala ng apoy #C0xD38D22#1%,,2,6,2,,37,100,
16,,,Collect 12 heroes collected,Thu thập đủ 12 anh hùng.,Kumpul 12 wira lengkap,Collect 12 heroes collected,Kumpulkan 12 pahlawan lengkap,รวบรวมฮีโร่ครบ 12 ตัว,Kolektahin ang 12 bayani kumpleto,,,,#C0xFF5B545B#All heroes increase Fire damage #C0xD38D22#1%,#C0xFF5B545B#Toàn bộ tướng tăng sát thương hệ Hỏa#C0xD38D22#1%,#C0xFF5B545B#Semua wira meningkatkan kerosakan elemen Api #C0xD38D22#1%,#C0xFF5B545B#All heroes increase Fire damage #C0xD38D22#1%,#C0xFF5B545B#Semua pahlawan meningkatkan damage elemen Api #C0xD38D22#1%,#C0xFF5B545B#ฮีโร่ทุกตัวเพิ่มความเสียหายธาตุไฟ #C0xD38D22#1%,#C0xFF5B545B#Lahat ng bayani ay tumataas ang pinsala ng apoy #C0xD38D22#1%,,2,12,2,,37,100,
17,,,Collect 18 heroes,Thu thập 18 anh hùng.,Kumpul 18 wira,Collect 18 heroes,Kumpulkan 18 pahlawan,รวบรวมฮีโร่ 18 ตัว,Kolektahin ang 18 bayani,,,,#C0xFF5B545B#All heroes increase Fire damage #C0xD38D22#1%,#C0xFF5B545B#Toàn bộ tướng tăng sát thương hệ Hỏa#C0xD38D22#1%,#C0xFF5B545B#Semua wira meningkatkan kerosakan elemen Api #C0xD38D22#1%,#C0xFF5B545B#All heroes increase Fire damage #C0xD38D22#1%,#C0xFF5B545B#Semua pahlawan meningkatkan damage elemen Api #C0xD38D22#1%,#C0xFF5B545B#ฮีโร่ทุกตัวเพิ่มความเสียหายธาตุไฟ #C0xD38D22#1%,#C0xFF5B545B#Lahat ng bayani ay tumataas ang pinsala ng apoy #C0xD38D22#1%,,2,18,2,,37,100,
18,,,Collect 5 heroes,Thu thập 5 anh hùng,Kumpul 5 wira,Collect 5 heroes,Kumpulkan 5 pahlawan,รวบรวมฮีโร่ 5 ตัว,Kolektahin ang 5 bayani,,,,#C0xFF5B545B#All heroes increase Water damage #C0xD38D22#1%,#C0xFF5B545B#Toàn bộ tướng tăng thêm sát thương hệ Thủy#C0xD38D22#1%,#C0xFF5B545B#Semua wira meningkatkan kerosakan elemen Air #C0xD38D22#1%,#C0xFF5B545B#All heroes increase Water damage #C0xD38D22#1%,#C0xFF5B545B#Semua pahlawan meningkatkan damage elemen Air #C0xD38D22#1%,#C0xFF5B545B#ฮีโร่ทุกตัวเพิ่มความเสียหายธาตุน้ำ #C0xD38D22#1%,#C0xFF5B545B#Lahat ng bayani ay tumataas ang pinsala ng tubig #C0xD38D22#1%,,2,5,3,,38,100,
19,,,Collect 10 heroes,Thu thập 10 anh hùng,Kumpul 10 wira,Collect 10 heroes,Kumpulkan 10 pahlawan,รวบรวมฮีโร่ 10 ตัว,Kolektahin ang 10 bayani,,,,#C0xFF5B545B#All heroes increase Mystic Water damage #C0xD38D22#1%,#C0xFF5B545B#Toàn bộ tướng tăng thêm sát thương hệ Huyền Thủy#C0xD38D22#1%,#C0xFF5B545B#Semua wira meningkatkan kerosakan elemen Air Mistik #C0xD38D22#1%,#C0xFF5B545B#All heroes increase Mystic Water damage #C0xD38D22#1%,#C0xFF5B545B#Semua pahlawan meningkatkan damage elemen Air Mistis #C0xD38D22#1%,#C0xFF5B545B#ฮีโร่ทุกตัวเพิ่มความเสียหายธาตุน้ำลึกลับ #C0xD38D22#1%,#C0xFF5B545B#Lahat ng bayani ay tumataas ang pinsala ng Mystic Water #C0xD38D22#1%,,2,10,3,,38,100,
20,,,Collect 20 heroes,Thu thập 20 anh hùng.,Kumpul 20 wira,Collect 20 heroes,Kumpulkan 20 pahlawan,รวบรวมฮีโร่ 20 ตัว,Kolektahin ang 20 bayani,,,,#C0xFF5B545B#All heroes increase Mystic Water damage #C0xD38D22#1%,#C0xFF5B545B#Toàn bộ tướng tăng thêm sát thương hệ Huyền Thủy#C0xD38D22#1%,#C0xFF5B545B#Semua wira meningkatkan kerosakan elemen Air Mistik #C0xD38D22#1%,#C0xFF5B545B#All heroes increase Mystic Water damage #C0xD38D22#1%,#C0xFF5B545B#Semua pahlawan meningkatkan damage elemen Air Mistis #C0xD38D22#1%,#C0xFF5B545B#ฮีโร่ทุกตัวเพิ่มความเสียหายธาตุน้ำลึกลับ #C0xD38D22#1%,#C0xFF5B545B#Lahat ng bayani ay tumataas ang pinsala ng Mystic Water #C0xD38D22#1%,,2,20,3,,38,100,
21,,,Collect 30 heroes,Thu thập 30 anh hùng.,Kumpul 30 wira,Collect 30 heroes,Kumpulkan 30 pahlawan,รวบรวมฮีโร่ 30 ตัว,Kolektahin ang 30 bayani,,,,#C0xFF5B545B#All heroes increase Mystic Water damage #C0xD38D22#1%,#C0xFF5B545B#Toàn bộ tướng tăng sát thương hệ Huyền Thủy#C0xD38D22#1%,#C0xFF5B545B#Semua wira meningkatkan kerosakan elemen Air Mistik #C0xD38D22#1%,#C0xFF5B545B#All heroes increase Mystic Water damage #C0xD38D22#1%,#C0xFF5B545B#Semua pahlawan meningkatkan damage elemen Air Mistis #C0xD38D22#1%,#C0xFF5B545B#ฮีโร่ทุกตัวเพิ่มความเสียหายธาตุน้ำลึกลับ #C0xD38D22#1%,#C0xFF5B545B#Lahat ng bayani ay tumataas ang pinsala ng Mystic Water #C0xD38D22#1%,,2,30,3,,38,100,
22,,,Collect 33 heroes,Thu thập 33 anh hùng.,Kumpul 33 wira,Collect 33 heroes,Kumpulkan 33 pahlawan,รวบรวมฮีโร่ 33 ตัว,Kolektahin ang 33 bayani,,,,#C0xFF5B545B#All heroes increase Mystic Water damage #C0xD38D22#1%,#C0xFF5B545B#Toàn bộ tướng tăng thêm sát thương hệ Huyền Thủy#C0xD38D22#1%,#C0xFF5B545B#Semua wira meningkatkan kerosakan elemen Air Mistik #C0xD38D22#1%,#C0xFF5B545B#All heroes increase Mystic Water damage #C0xD38D22#1%,#C0xFF5B545B#Semua pahlawan meningkatkan damage elemen Air Mistis #C0xD38D22#1%,#C0xFF5B545B#ฮีโร่ทุกตัวเพิ่มความเสียหายธาตุน้ำลึกลับ #C0xD38D22#1%,#C0xFF5B545B#Lahat ng bayani ay tumataas ang pinsala ng Mystic Water #C0xD38D22#1%,,2,33,3,,38,100,
24,,,Collect 5 heroes,Thu thập 5 anh hùng,Kumpul 5 wira,Collect 5 heroes,Kumpulkan 5 pahlawan,รวบรวมฮีโร่ 5 ตัว,Kolektahin ang 5 bayani,,,,#C0xFF5B545B#All heroes increase Wind damage #C0xD38D22#1%,#C0xFF5B545B#Toàn bộ tướng tăng thêm sát thương hệ Phong#C0xD38D22#1%,#C0xFF5B545B#Semua wira meningkatkan kerosakan elemen Angin #C0xD38D22#1%,#C0xFF5B545B#All heroes increase Wind damage #C0xD38D22#1%,#C0xFF5B545B#Semua pahlawan meningkatkan damage elemen Angin #C0xD38D22#1%,#C0xFF5B545B#ฮีโร่ทุกตัวเพิ่มความเสียหายธาตุลม #C0xD38D22#1%,#C0xFF5B545B#Lahat ng bayani ay tumataas ang pinsala ng hangin #C0xD38D22#1%,,2,5,4,,39,100,
25,,,Collect 10 heroes,Thu thập 10 anh hùng,Kumpul 10 wira,Collect 10 heroes,Kumpulkan 10 pahlawan,รวบรวมฮีโร่ 10 ตัว,Kolektahin ang 10 bayani,,,,#C0xFF5B545B#All heroes increase Wind damage #C0xD38D22#1%,#C0xFF5B545B#Toàn bộ tướng tăng thêm sát thương hệ Phong#C0xD38D22#1%,#C0xFF5B545B#Semua wira meningkatkan kerosakan elemen Angin #C0xD38D22#1%,#C0xFF5B545B#All heroes increase Wind damage #C0xD38D22#1%,#C0xFF5B545B#Semua pahlawan meningkatkan damage elemen Angin #C0xD38D22#1%,#C0xFF5B545B#ฮีโร่ทุกตัวเพิ่มความเสียหายธาตุลม #C0xD38D22#1%,#C0xFF5B545B#Lahat ng bayani ay tumataas ang pinsala ng hangin #C0xD38D22#1%,,2,10,4,,39,100,
26,,,Collect 20 heroes,Thu thập 20 anh hùng.,Kumpul 20 wira,Collect 20 heroes,Kumpulkan 20 pahlawan,รวบรวมฮีโร่ 20 ตัว,Kolektahin ang 20 bayani,,,,#C0xFF5B545B#All heroes increase Wind damage #C0xD38D22#1%,#C0xFF5B545B#Tất cả tướng tăng thêm sát thương hệ Phong#C0xD38D22#1%,#C0xFF5B545B#Semua wira meningkatkan kerosakan elemen Angin #C0xD38D22#1%,#C0xFF5B545B#All heroes increase Wind damage #C0xD38D22#1%,#C0xFF5B545B#Semua pahlawan meningkatkan damage elemen Angin #C0xD38D22#1%,#C0xFF5B545B#ฮีโร่ทุกตัวเพิ่มความเสียหายธาตุลม #C0xD38D22#1%,#C0xFF5B545B#Lahat ng bayani ay tumataas ang pinsala ng hangin #C0xD38D22#1%,,2,20,4,,39,100,
27,,,Collect 3 heroes,Thu thập 3 anh hùng,Kumpul 3 wira,Collect 3 heroes,Kumpulkan 3 pahlawan,รวบรวมฮีโร่ 3 ตัว,Kolektahin ang 3 bayani,,,,#C0xFF5B545B#All heroes increase Lightning damage #C0xD38D22#1%,#C0xFF5B545B#Tăng thêm sát thương hệ Lôi cho toàn bộ tướng#C0xD38D22#1%,#C0xFF5B545B#Semua wira meningkatkan kerosakan elemen Petir #C0xD38D22#1%,#C0xFF5B545B#All heroes increase Lightning damage #C0xD38D22#1%,#C0xFF5B545B#Semua pahlawan meningkatkan damage elemen Petir #C0xD38D22#1%,#C0xFF5B545B#ฮีโร่ทุกตัวเพิ่มความเสียหายธาตุฟ้าผ่า #C0xD38D22#1%,#C0xFF5B545B#Lahat ng bayani ay tumataas ang pinsala ng kidlat #C0xD38D22#1%,,2,3,5,,40,100,
28,,,Collect 6 heroes,Thu thập 6 anh hùng,Kumpul 6 wira,Collect 6 heroes,Kumpulkan 6 pahlawan,รวบรวมฮีโร่ 6 ตัว,Kolektahin ang 6 bayani,,,,#C0xFF5B545B#All heroes gain additional Lightning damage #C0xD38D22#1%,#C0xFF5B545B#Toàn bộ tướng được tăng thêm sát thương hệ Lôi#C0xD38D22#1%,#C0xFF5B545B#Semua wira mendapat kerosakan tambahan elemen Petir #C0xD38D22#1%,#C0xFF5B545B#All heroes gain additional Lightning damage #C0xD38D22#1%,#C0xFF5B545B#Semua pahlawan mendapatkan tambahan damage elemen Petir #C0xD38D22#1%,#C0xFF5B545B#ฮีโร่ทุกตัวได้รับความเสียหายเพิ่มธาตุฟ้าผ่า #C0xD38D22#1%,#C0xFF5B545B#Lahat ng bayani ay tumatanggap ng dagdag pinsala ng kidlat #C0xD38D22#1%,,2,6,5,,40,100,
29,,,Collect 12 heroes,Thu thập 12 anh hùng.,Kumpul 12 wira,Collect 12 heroes,Kumpulkan 12 pahlawan,รวบรวมฮีโร่ 12 ตัว,Kolektahin ang 12 bayani,,,,#C0xFF5B545B#All heroes increase Lightning damage #C0xD38D22#1%,#C0xFF5B545B#Tăng thêm sát thương hệ Lôi cho toàn bộ tướng#C0xD38D22#1%,#C0xFF5B545B#Semua wira meningkatkan kerosakan elemen Petir #C0xD38D22#1%,#C0xFF5B545B#All heroes increase Lightning damage #C0xD38D22#1%,#C0xFF5B545B#Semua pahlawan meningkatkan damage elemen Petir #C0xD38D22#1%,#C0xFF5B545B#ฮีโร่ทุกตัวเพิ่มความเสียหายธาตุฟ้าผ่า #C0xD38D22#1%,#C0xFF5B545B#Lahat ng bayani ay tumataas ang pinsala ng kidlat #C0xD38D22#1%,,2,12,5,,40,100,
30,,,Collect 3 heroes,Thu thập 3 anh hùng,Kumpul 3 wira,Collect 3 heroes,Kumpulkan 3 pahlawan,รวบรวมฮีโร่ 3 ตัว,Kolektahin ang 3 bayani,,,,#C0xFF5B545B#All heroes deal extra #C0xD38D22#1%# ice damage,#C0xFF5B545B#Toàn bộ tướng gây thêm #C0xD38D22#1%# băng sát thương,#C0xFF5B545B#Semua wira menyebabkan tambahan #C0xD38D22#1%# kerosakan ais,#C0xFF5B545B#All heroes deal extra #C0xD38D22#1%# ice damage,#C0xFF5B545B#Semua pahlawan memberikan tambahan #C0xD38D22#1%# kerusakan es,#C0xFF5B545B#ฮีโร่ทั้งหมดสร้างความเสียหายเพิ่มเติม #C0xD38D22#1%# ธาตุน้ำแข็ง,#C0xFF5B545B#Lahat ng bayani ay nagdudulot ng dagdag na #C0xD38D22#1%# yelong pinsala,,2,3,6,,41,100,
31,,,Collect 6 heroes,Thu thập 6 anh hùng,Kumpul 6 wira,Collect 6 heroes,Kumpulkan 6 pahlawan,รวบรวมฮีโร่ 6 ตัว,Kolektahin ang 6 bayani,,,,#C0xFF5B545B#All heroes increase Ice damage by #C0xD38D22#1%,#C0xFF5B545B#Toàn bộ tướng tăng thêm sát thương hệ Băng#C0xD38D22#1%,#C0xFF5B545B#Semua wira meningkatkan kerosakan Ais sebanyak #C0xD38D22#1%,#C0xFF5B545B#All heroes increase Ice damage by #C0xD38D22#1%,#C0xFF5B545B#Semua pahlawan meningkatkan kerusakan Es sebesar #C0xD38D22#1%,#C0xFF5B545B#ฮีโร่ทั้งหมดเพิ่มความเสียหายธาตุน้ำแข็ง #C0xD38D22#1%,#C0xFF5B545B#Lahat ng bayani ay tumataas ang pinsala ng Yelo ng #C0xD38D22#1%,,2,6,6,,41,100,
32,,,Collect 12 heroes,Thu thập 12 anh hùng.,Kumpul 12 wira,Collect 12 heroes,Kumpulkan 12 pahlawan,รวบรวมฮีโร่ 12 ตัว,Kolektahin ang 12 bayani,,,,#C0xFF5B545B#All heroes gain increased Ice damage by #C0xD38D22#1%,#C0xFF5B545B#Toàn bộ tướng được tăng thêm sát thương hệ Băng#C0xD38D22#1%,#C0xFF5B545B#Semua wira mendapat peningkatan kerosakan Ais sebanyak #C0xD38D22#1%,#C0xFF5B545B#All heroes gain increased Ice damage by #C0xD38D22#1%,#C0xFF5B545B#Semua pahlawan mendapatkan peningkatan kerusakan Es sebesar #C0xD38D22#1%,#C0xFF5B545B#ฮีโร่ทั้งหมดได้รับความเสียหายธาตุน้ำแข็งเพิ่มขึ้น #C0xD38D22#1%,#C0xFF5B545B#Lahat ng bayani ay nakakakuha ng dagdag na pinsala ng Yelo ng #C0xD38D22#1%,,2,12,6,,41,100,
