VariableName,title_cn,title,title_vn,title_en,title_th,title_in,title_ph,title_ma,languages,showType,color,resBg,res,spineSize,type,sameId,kind,source,itemId,feature,rank,needNotice,alwaysDisplay,days,message,message_vn,message_en,message_th,message_in,needNotice_ph,needNotice_ma,message_kr,conditionDesc_cn,conditionDesc,conditionDesc_vn,conditionDesc_en,conditionDesc_th,conditionDesc_in,conditionDesc_ph,conditionDesc_ma,condition1,conditionArg1_1,conditionArg1_2,conditionDesc2,condition2,conditionArg2_1,conditionArg2_2,attrNatureType1,attrType1,attrValue1,attrNatureType2,attrType2,attrValue2,attrNatureType3,attrType3,attrValue3
18,,"Love You, Love You So Much","Yêu bạn, yêu bạn nhiều","Love You, Love You So Much",รักคุณ รักคุณมาก,"Cinta Kamu, Cinta Kamu Banget","Mahal Kita, Sobrang Mahal Kita","Sayang Kamu, Sangat Sayang Kamu",,pic,,,config/title/title_61.png,,2,,,,,,,,,,,,,,,,,,,"Accumulate 200,000,000 Gold spent",Tích lũy tiêu dùng 200.000.000 vàng,"Accumulate 200,000,000 Gold spent","สะสมการใช้ทอง 200,000,000",Akumulasi pengeluaran 200.000.000 Gold,"Gumastos ng kabuuang 200,000,000 Ginto","Belanja 200,000,000 Emas terkumpul",20,200000000,,,,,,,9,1%,,10,1%,,,
19,,Strong as a Bull,Dũng mãnh như bò,Strong as a Bull,แกร่งเหมือนวัว,Kuat Seperti Banteng,Matatag Gaya ng Baka,Kuat Seperti Lembu,,pic,,,config/title/title_62.png,,2,,,,,,,,,,,,,,,,,,,"Accumulate 99,999 Diamonds spent",Tích lũy tiêu hao 99999 Kim Cương,"Accumulate 99,999 Diamonds spent","สะสมการใช้เพชร 99,999",Akumulasi pengeluaran 99.999 Diamond,"Gumastos ng kabuuang 99,999 Diamante","Belanja 99,999 Berlian terkumpul",21,99999,,,,,,,7,1%,,8,1%,,,
20,,Thank You for Being Here,Cảm ơn vì có bạn,Thank You for Being Here,ขอบคุณที่อยู่เคียงข้าง,Terima Kasih Sudah Ada,Salamat sa Iyong Pagiging Narito,Terima Kasih Kerana Ada,,pic,,,config/title/title_57.png,,2,,,,,,,,,,,,,,,,,,,Log in for a total of 99 days,Đã tích lũy điểm danh 99 lần,Log in for a total of 99 days,เช็กชื่อสะสมครบ 99 วัน,Login total 99 hari,Kabuuang 99 araw ng pag-login,Daftar masuk 99 hari,25,99,,,,,,,1,1000,,,,,,
21,,Glory Peak,Đỉnh cao vinh quang,Glory Peak,จุดสูงสุดแห่งเกียรติยศ,Puncak Kejayaan,Tuktok ng Karangalan,Kemuncak Keagungan,,pic,,,config/title/title_60.png,,2,,,,,,,,,,,,,,,,,,,Upgrade jewelry 500 times,Nâng cấp trang sức 500 lần,Upgrade jewelry 500 times,อัปเกรดเครื่องประดับ 500 ครั้ง,Upgrade perhiasan 500 kali,Mag-upgrade ng alahas 500 beses,Naik taraf perhiasan 500 kali,38,500,,,,,,,9,150,,10,150,,,
22,,Top 3 Strongest Characters,Ba nhân vật mạnh nhất,Top 3 Strongest Characters,3 ตัวละครที่แข็งแกร่งที่สุด,3 Karakter Terkuat,3 Pinakamalakas na Tauhan,3 Watak Paling Kuat,,pic,,,config/title/title_3.png,,99,,,,,,,,,,,,,,,,,,,"Reach 200,000 Combat Power",Giá trị chiến lực đạt 200.000,"Reach 200,000 Combat Power","มีพลังต่อสู้ถึง 200,000",Capai 200.000 Power Tempur,"Umabot sa 200,000 Combat Power","Capai 200,000 Kuasa Tempur",6,200000,,,,,,,7,120,,8,120,,,
23,,Peak of Power,Đỉnh cao sức mạnh,Peak of Power,จุดสูงสุดแห่งพลัง,Puncak Kekuatan,Rurok ng Lakas,Puncak Kekuatan,,pic,,,config/title/title_2.png,,99,,,,,,,,,,,,,,,,,,,"Reach 800,000 Combat Power",Giá trị chiến lực đạt 800.000,"Reach 800,000 Combat Power","มีพลังต่อสู้ถึง 800,000",Capai 800.000 Power Tempur,"Umabot sa 800,000 Combat Power","Capai 800,000 Kuasa Tempur",6,800000,,,,,,,7,1%,,8,1%,,,
24,,Soul of the Sage of Six Paths,Linh hồn của Lục Đạo,Soul of the Sage of Six Paths,จิตวิญญาณแห่งหกวิถี,Jiwa Enam Jalan,Kaluluwa ng Anim na Daan,Jiwa Enam Jalan,,pic,,,config/title/title_15.png,,,,,,,arena,1,,,1,#C0xFF5B545B#[Arena Champion]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# is now online. Go ask for their autograph!,"#C0xFF5B545B#[Quán quân Đấu Trường]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# đã online, mau đến xin chữ ký đi～",#C0xFF5B545B#[Arena Champion]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# is now online. Go ask for their autograph!,#C0xFF5B545B#[แชมป์อารีน่า]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# ออนไลน์แล้ว รีบไปขอลายเซ็นกันเถอะ!,#C0xFF5B545B#[Juara Arena]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# telah online. Ayo minta tanda tangan!,"#C0xFF5B545B#[Kampiyon sa Arena]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# ay online na. Tara, humingi ng autograph!",#C0xFF5B545B#[Juara Arena]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# telah online. Cepat minta autograf!,,,Rank 1 in Arena (calculated daily at 21:00),Vị trí số 1 đấu trường (tính khi kết thúc mỗi ngày lúc 21:00),Rank 1 in Arena (calculated daily at 21:00),อันดับ 1 อารีนา (คำนวณเวลา 21:00 ทุกวัน),Peringkat 1 Arena (dihitung setiap hari pukul 21:00),Rank 1 sa Arena (bilangin tuwing 21:00),Kedudukan 1 Arena (dikira jam 21:00 setiap hari),,,,,,,,,14,100,,,,,,
25,,Realm of the Sage,Ý cảnh của Lục Đạo,Realm of the Sage,มโนภาพของหกวิถี,Wawasan Enam Jalan,Kamalayan ng Anim na Daan,Pandangan Enam Jalan,,pic,,,config/title/title_12.png,,,,,,,arena,2,,,1,#C0xFF5B545B#[Arena Runner-up]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# is now online. Go ask for their autograph!,"#C0xFF5B545B#[Á quân Đấu Trường]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# đã online, mau đến xin chữ ký đi～",#C0xFF5B545B#[Arena Runner-up]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# is now online. Go ask for their autograph!,#C0xFF5B545B#[รองแชมป์อารีน่า]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# ออนไลน์แล้ว รีบไปขอลายเซ็นกันเถอะ!,#C0xFF5B545B#[Runner-up Arena]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# telah online. Ayo minta tanda tangan!,"#C0xFF5B545B#[Pangalawa sa Arena]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# ay online na. Tara, humingi ng autograph!",#C0xFF5B545B#[Naib Juara Arena]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# telah online. Cepat minta autograf!,,,Rank 2 in Arena (calculated daily at 21:00),Hạng 2 Đấu Trường (tính khi kết thúc lúc 21:00 hàng ngày),Rank 2 in Arena (calculated daily at 21:00),อันดับ 2 อารีนา (คำนวณเวลา 21:00 ทุกวัน),Peringkat 2 Arena (dihitung setiap hari pukul 21:00),Rank 2 sa Arena (bilangin tuwing 21:00),Kedudukan 2 Arena (dikira jam 21:00 setiap hari),,,,,,,,,14,100,,,,,,
26,,Will of the Sage,Ý chí của Lục Đạo,Will of the Sage,เจตจำนงของหกวิถี,Tekad Enam Jalan,Lakas ng Loob ng Anim na Daan,Tekad Enam Jalan,,pic,,,config/title/title_14.png,,,,,,,arena,3,,,1,#C0xFF5B545B#[Arena Third Place]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# is now online. Go ask for their autograph!,"#C0xFF5B545B#[Hạng ba Đấu Trường]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# đã online, mau đến xin chữ ký đi～",#C0xFF5B545B#[Arena Third Place]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# is now online. Go ask for their autograph!,#C0xFF5B545B#[อันดับสามอารีน่า]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# ออนไลน์แล้ว รีบไปขอลายเซ็นกันเถอะ!,#C0xFF5B545B#[Peringkat 3 Arena]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# telah online. Ayo minta tanda tangan!,"#C0xFF5B545B#[Pangatlo sa Arena]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# ay online na. Tara, humingi ng autograph!",#C0xFF5B545B#[Tempat Ketiga Arena]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# telah online. Cepat minta autograf!,,,Rank 3 in Arena (calculated daily at 21:00),Hạng 3 Đấu Trường (tính vào lúc 9:00 tối hàng ngày),Rank 3 in Arena (calculated daily at 21:00),อันดับ 3 อารีนา (คำนวณเวลา 21:00 ทุกวัน),Peringkat 3 Arena (dihitung setiap hari pukul 21:00),Rank 3 sa Arena (bilangin tuwing 21:00),Kedudukan 3 Arena (dikira jam 21:00 setiap hari),,,,,,,,,14,100,,,,,,
27,,Companion All the Way,Đồng hành suốt chặng đường,Companion All the Way,เพื่อนร่วมทางตลอดเส้นทาง,Teman Sepanjang Perjalanan,Kasama Hanggang Dulo,Teman Sepanjang Jalan,,pic,,,config/title/title_36.png,,,,,,,pokedex,1,,,1,#C0xFF5B545B#[Top Collection Rank]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# is now online. Go ask for their autograph!,"#C0xFF5B545B#[Hạng 1 Bảng Sưu Tập]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# đã online, mau đến xin chữ ký đi～",#C0xFF5B545B#[Top Collection Rank]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# is now online. Go ask for their autograph!,#C0xFF5B545B#[อันดับ 1 นักสะสม]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# ออนไลน์แล้ว รีบไปขอลายเซ็นกันเถอะ!,#C0xFF5B545B#[Peringkat Koleksi Tertinggi]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# telah online. Ayo minta tanda tangan!,"#C0xFF5B545B#[Nangunguna sa Koleksyon]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# ay online na. Tara, humingi ng autograph!",#C0xFF5B545B#[Juara Koleksi Tertinggi]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# telah online. Cepat minta autograf!,,,Rank 1 in Handbook Ranking (calculated daily at 05:00),Vị trí số 1 trên bảng xếp hạng Sổ tay (tính vào lúc 5:00 mỗi ngày),Rank 1 in Handbook Ranking (calculated daily at 05:00),อันดับ 1 บนกระดานจัดอันดับสมุดภาพ (คำนวณเวลา 05:00 ทุกวัน),Peringkat 1 Papan Peringkat Buku Catatan (dihitung setiap hari pukul 05:00),Rank 1 sa Handbook Ranking (bilangin tuwing 05:00),Kedudukan 1 Papan Skor Buku Nota (dikira jam 05:00 setiap hari),,,,,,,,,1,1%,,,,,,
28,,Strongest Engineer,Kỹ sư mạnh nhất,Strongest Engineer,วิศวกรผู้แข็งแกร่งที่สุด,Insinyur Terkuat,Pinakamalakas na Inhinyero,Jurutera Terkuat,,pic,,,config/title/title_46.png,,,,,,,star,1,,,1,#C0xFF5B545B#[Strongest Commander]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# is now online. Go ask for their autograph!,"#C0xFF5B545B#[Chỉ Huy Mạnh Nhất]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# đã online, mau đến xin chữ ký đi～",#C0xFF5B545B#[Strongest Commander]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# is now online. Go ask for their autograph!,#C0xFF5B545B#[ผู้บัญชาการที่แข็งแกร่งที่สุด]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# ออนไลน์แล้ว รีบไปขอลายเซ็นกันเถอะ!,#C0xFF5B545B#[Komandan Terkuat]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# telah online. Ayo minta tanda tangan!,"#C0xFF5B545B#[Pinakamalakas na Commander]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# ay online na. Tara, humingi ng autograph!",#C0xFF5B545B#[Komander Terkuat]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# telah online. Cepat minta autograf!,,,Top 1 in Star Stage Ranking (calculated daily at 05:00),Top 1 xếp hạng sao màn chơi (kết toán lúc 5:00 mỗi ngày),Top 1 in Star Stage Ranking (calculated daily at 05:00),อันดับ 1 บนจัดอันดับดาวในด่าน (คำนวณเวลา 05:00 ทุกวัน),Peringkat 1 Bintang Tahap (dihitung setiap hari pukul 05:00),Top 1 sa Star Stage Ranking (bilangin tuwing 05:00),Top 1 Penilaian Bintang Tahap (dikira jam 05:00 setiap hari),,,,,,,,,7,1%,,8,1%,,,
31,,Illusion King,Vua ảo ảnh,Illusion King,ราชาแห่งมายา,Raja Ilusi,Hari ng Ilusyon,Raja Ilusi,,pic,,,config/title/title_38.png,,99,,,,,,,,,,,,,,,,,,,Reach VIP6,Đạt VIP6,Reach VIP6,ถึงระดับ VIP6,Capai VIP6,Abutin ang VIP6,Capai VIP6,5,6,,,,,,,1,1%,,,,,,
32,,Conquer Illusions,Chinh phục ảo ảnh,Conquer Illusions,พิชิตมายา,Menaklukkan Ilusi,Sakupin ang Ilusyon,Menakluk Ilusi,,pic,,,config/title/title_39.png,,99,,,,,,,,,,,,,,,,,,,Reach VIP10,Đạt VIP10,Reach VIP10,ถึงระดับ VIP10,Capai VIP10,Abutin ang VIP10,Capai VIP10,5,10,,,,,,,9,1%,,10,1%,,,
33,,Ten Paths of the Six Realms,Mười Đạo của Lục Giới,Ten Paths of the Six Realms,สิบวิถีแห่งหกโลก,Sepuluh Jalan dari Enam Dunia,Sampung Daan ng Anim na Mundo,Sepuluh Jalan Enam Alam,,pic,,,config/title/title_24.png,,99,,,,,,,,,,,,,,,,,,,Reach VIP15,Đạt VIP15,Reach VIP15,ถึงระดับ VIP15,Capai VIP15,Abutin ang VIP15,Capai VIP15,5,15,,,,,,,7,1%,,8,1%,,,
34,,Changer of the Ninja World,Người thay đổi thế giới Ninja,Changer of the Ninja World,ผู้เปลี่ยนแปลงโลกนินจา,Pengubah Dunia Ninja,Nagbago ng Mundo ng Ninja,Pengubah Dunia Ninja,,pic,,,config/title/title_34.png,,99,,,,,,,,,,,,,,,,,,,VIP18 Achieved,VIP18 đã đạt được,VIP18 Achieved,ถึงระดับ VIP18 แล้ว,VIP18 Tercapai,Naabot ang VIP18,VIP18 Telah Dicapai,5,18,,,,,,,22,100,,23,100,,,
35,,Top 3 Icons of the Ninja World,Ba nhân vật nổi bật trong thế giới Ninja,Top 3 Icons of the Ninja World,3 ไอคอนแห่งโลกนินจา,3 Ikon Dunia Ninja,3 Bantog na Tauhan sa Mundo ng Ninja,3 Ikon Dunia Ninja,,pic,,,config/title/title_11.png,,99,,,,,monthcard,,,,30,,,,,,,,,,Own Monthly Card,Nhận thẻ tháng,Own Monthly Card,รับบัตรรายเดือนแล้ว,Memiliki Kartu Bulanan,Nakatanggap ng Monthly Card,Menerima Kad Bulanan,,,,,,,,,1,1%,,,,,,
36,,Ruler of the Ninja World,Vị vua của thế giới Ninja,Ruler of the Ninja World,ราชาแห่งโลกนินจา,Raja Dunia Ninja,Hari ng Mundo ng Ninja,Raja Dunia Ninja,,pic,,,config/title/title_10.png,,99,,,,,monthcard,,,,30,,,,,,,,,,Own Monthly Card,Nhận thẻ tháng,Own Monthly Card,รับบัตรรายเดือนแล้ว,Memiliki Kartu Bulanan,Nakatanggap ng Monthly Card,Menerima Kad Bulanan,,,,,,,,,7,1%,,8,1%,,,
