VariableName,name,name_my,name_en,name_th,name_in,name_ph,name_vn,icon,cardID,itemID,roleID,skinID,languages,unlockDesc,unlockDesc_ma,unlockDesc_en,unlockDesc_th,unlockDesc_in,unlockDesc_ph,unlockDesc_vn
8,Hinata Hyūga (Teen),Hinata Hyuga (Remaja),Hinata Hyūga (Teen),Hinata Hyuga (วัยรุ่น),Hinata Hyuga (Remaja),Hinata Hyuga (Kabataan),Hinata Hyuga (Thiếu niên),config/portrait/toptouxiang/img_hy_71.png,,,8,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
9,Akimichi Chōji (Teen),Akimichi Chōji (Remaja),Akimichi Chōji (Teen),Akimichi Chōji (วัยรุ่น),Akimichi Chōji (Remaja),Akimichi Chōji (Kabataan),Akimichi Chōji (thiếu niên),config/portrait/toptouxiang/img_hy_81.png,,,9,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
10,Yamanaka Ino (Child),Yamanaka Ino (Kanak-kanak),Yamanaka Ino (Child),Yamanaka Ino (เด็ก),Yamanaka Ino (Kecil),Yamanaka Ino (Bata pa),Yamanaka Ino (lúc nhỏ),config/portrait/toptouxiang/img_hy_91.png,,,10,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
11,Lee Rock (Teen),Lee Rock (Remaja),Lee Rock (Teen),Lee Rock (วัยรุ่น),Lee Rock (Remaja),Lee Rock (Kabataan),Lee Rock (Thiếu niên),config/portrait/toptouxiang/img_hy_101.png,,,11,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
12,Daily Teen,Remaja Harian,Daily Teen,วัยรุ่นประจำวัน,Remaja Sehari-hari,Araw-araw na Kabataan,Thiếu niên hằng ngày,config/portrait/toptouxiang/img_hy_111.png,,,12,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
13,Umino Iruka,Umino Iruka,Umino Iruka,Umino Iruka,Umino Iruka,Umino Iruka,Umino Iruka,config/portrait/toptouxiang/img_hy_121.png,,,13,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
14,Inuzuka Kiba,Inuzuka Kiba,Inuzuka Kiba,Inuzuka Kiba,Inuzuka Kiba,Inuzuka Kiba,Inuzuka Kiba,config/portrait/toptouxiang/img_hy_1001.png,,,14,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
15,Everyday,Setiap Hari,Everyday,ทุกวัน,Setiap Hari,Araw-araw,Mỗi ngày,config/portrait/toptouxiang/img_hy_1011.png,,,15,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
16,Haruno Sakura,Haruno Sakura,Haruno Sakura,Haruno Sakura,Haruno Sakura,Haruno Sakura,Haruno Sakura,config/portrait/toptouxiang/img_hy_1021.png,,,16,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
17,Lee Rock,Li Luoke,Lee Rock,หลี่ หลั่ว เก๋อ,Li Luoke,Li Luoke,Lý Lạc Khắc,config/portrait/toptouxiang/img_hy_1031.png,,,17,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
18,Yamanaka Ino,Yamanaka Ino,Yamanaka Ino,Yamanaka Ino,Yamanaka Ino,Yamanaka Ino,Yamanaka Ino,config/portrait/toptouxiang/img_hy_1041.png,,,18,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
19,Hinata Hyūga,Hinata Hyūga,Hinata Hyūga,Hinata Hyūga,Hinata Hyūga,Hinata Hyūga,Hinata Hyūga,config/portrait/toptouxiang/img_hy_1051.png,,,19,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
20,Akimichi Chōji,Akimichi Chōji,Akimichi Chōji,Akimichi Chōji,Akimichi Chōji,Akimichi Chōji,Akimichi Chōji,config/portrait/toptouxiang/img_hy_1061.png,,,20,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
21,Aburame Shino,Aburame Shino,Aburame Shino,Aburame Shino,Aburame Shino,Aburame Shino,Aburame Shino,config/portrait/toptouxiang/img_hy_1071.png,,,21,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
22,Nara Shikamaru,Nara Shikamaru,Nara Shikamaru,Nara Shikamaru,Nara Shikamaru,Nara Shikamaru,Nara Shikamaru,config/portrait/toptouxiang/img_hy_1081.png,,,22,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
23,Uzumaki Naruto,Uzumaki Naruto,Uzumaki Naruto,Uzumaki Naruto,Uzumaki Naruto,Uzumaki Naruto,Uzumaki Naruto,config/portrait/toptouxiang/img_hy_1091.png,,,23,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
24,Neji Hyūga,Neji Hyūga,Neji Hyūga,Neji Hyūga,Neji Hyūga,Neji Hyūga,Neji Hyūga,config/portrait/toptouxiang/img_hy_1101.png,,,24,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
25,Uchiha Sasuke,Uchiha Sasuke,Uchiha Sasuke,Uchiha Sasuke,Uchiha Sasuke,Uchiha Sasuke,Uchiha Sasuke,config/portrait/toptouxiang/img_hy_1111.png,,,25,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
26,Sai,Sai,Sai,Sai,Sai,Sai,Sai,config/portrait/toptouxiang/img_hy_1121.png,,,26,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
27,Suigetsu Hozuki,Suigetsu Hozuki,Suigetsu Hozuki,Suigetsu Hozuki,Suigetsu Hozuki,Suigetsu Hozuki,Suigetsu Hozuki,config/portrait/toptouxiang/img_hy_1131.png,,,27,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
28,Karin,Karin,Karin,Karin,Karin,Karin,Karin,config/portrait/toptouxiang/img_hy_1141.png,,,28,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
29,Jūgo,Jūgo,Jūgo,Jūgo,Jūgo,Jūgo,Jūgo,config/portrait/toptouxiang/img_hy_1151.png,,,29,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
30,Kimmimaro,Kimmimaro,Kimmimaro,Kimmimaro,Kimmimaro,Kimmimaro,Kimmimaro,config/portrait/toptouxiang/img_hy_1161.png,,,30,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
31,Medic-nin Fighter,Ahli Farmasi Pejuang,Medic-nin Fighter,นักสู้เภสัชกร,Prajurit Apoteker,Mandirigmang Albularyo,Dược Sư Đấu,config/portrait/toptouxiang/img_hy_1171.png,,,31,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
32,Momochi Zabuza,Momochi Zabuza,Momochi Zabuza,Momochi Zabuza,Momochi Zabuza,Momochi Zabuza,Momochi Zabuza,config/portrait/toptouxiang/img_hy_1181.png,,,32,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
33,White,Putih,White,สีขาว,Putih,Puti,Trắng,config/portrait/toptouxiang/img_hy_1191.png,,,33,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
34,Temari,Temari,Temari,Temari,Temari,Temari,Temari,config/portrait/toptouxiang/img_hy_2001.png,,,34,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
35,Kankuro,Kankuro,Kankuro,Kankuro,Kankuro,Kankuro,Kankuro,config/portrait/toptouxiang/img_hy_2011.png,,,35,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
36,Medic-nin Fighter,Ahli Farmasi Pejuang,Medic-nin Fighter,นักสู้เภสัชกร,Prajurit Apoteker,Mandirigmang Albularyo,Dược Sư Đấu,config/portrait/toptouxiang/img_hy_2021.png,,,36,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
37,Hidan,Hidan,Hidan,Hidan,Hidan,Hidan,Hidan,config/portrait/toptouxiang/img_hy_2031.png,,,37,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
38,Deidara,Deidara,Deidara,Deidara,Deidara,Deidara,Deidara,config/portrait/toptouxiang/img_hy_2041.png,,,38,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
39,Hoshigaki Kisame,Hoshigaki Kisame,Hoshigaki Kisame,Hoshigaki Kisame,Hoshigaki Kisame,Hoshigaki Kisame,Hoshigaki Kisame,config/portrait/toptouxiang/img_hy_2051.png,,,39,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
40,Kakuzu,Kakuzu,Kakuzu,Kakuzu,Kakuzu,Kakuzu,Kakuzu,config/portrait/toptouxiang/img_hy_2061.png,,,40,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
41,Killer Bee,Killer Bee,Killer Bee,Killer Bee,Killer Bee,Killer Bee,Killer Bee,config/portrait/toptouxiang/img_hy_2071.png,,,41,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
