VariableName,name_cn,name_th,name,name_vn,name_in,name_my,name_en,name_ph,attributeType,rarity,natureType,natureType2,twinFlag,battleFlag,rectSize,bossCard_id,bossLife,cardID,star,icon,cardIcon,cardIcon2,iconSimple,cardShow,cardShowScale,cardShowPosC,unitRes,skin,show,bansxScale,bansxPosC,passiveSkillList,skillList,combinationObjCardId,combinationSkillId,everyPos,lifeScale,specBind,killResumeMp1,scale,scaleC,scaleCMode,scaleU,scaleX,scaleSkin,bornTime,rebornTime,deathTime,deathSound,fightingPoint,buffId,buffLifeRound,buffProb,buffLevel,buffValue1,hpGrow,speedGrow,damageGrow,specialDamageGrow,defenceGrow,specialDefenceGrow,hpBaseC,speedBaseC,damageBaseC,defenceBaseC,specialDamageBaseC,specialDefenceBaseC,hpC,mp1C,initMp1C,hpRecoverC,mp1RecoverC,mp2RecoverC,damageC,specialDamageC,defenceC,specialDefenceC,defenceIgnoreC,specialDefenceIgnoreC,speedC,strikeC,strikeDamageC,strikeResistanceC,blockC,breakBlockC,blockPowerC,dodgeC,hitC,damageDodgeC,damageHitC,damageAddC,damageSubC,ultimateAddC,ultimateSubC,damageDeepenC,damageReduceC,suckBloodC,reboundC,cureC,natureRestraintC,controlPerC,immuneControlC,effectPowerId,summonCalDamage,cardSkinScale,shiny,extraSkillList,shinyPos,cardSpine,cardSpineNeedStar,cardSpineScale,frontPriority,fakePassiveSkillList,cardSkinPos,cardSpinePos,shinyRes,showOpen,showOpenOffsetY,scaleY,ShowScale,cardIcon3,cardShowPosY,cardShowPos,cardShowRes,showRes
333,,คาคาชิ ฮาตาเกะ  ,Kakashi Hatake,Kakashi Hatake,Kakashi Hatake  ,Kakashi Hatake  ,Kakashi Hatake,Kakashi Hatake  ,base,3,18,5,,,,,,333,,config/portrait/speedranktouxiang/img_333.png,config/portrait/jinglingtouxiang/img_333.png,config/portrait/jinglingtouxiang2/img_333.png,config/portrait/simple/img_333.png,config/big_hero/normal/img_333.png,,,qimukakaxi/qimukakaxi.json,,config/big_hero/normal/img_333.png,,,,<3331;3332;3333>,,,,,,,,,,1.75,,,,,,,,,,,,,97.566,1.134,10.413,11.935,4.622,4.366,1.3,1.26,1.3,1.44,1.49,1.36,9030,1000,400,,,,321,576,222,179,0,0,41,500,15000,,,,3000,,,,,500,500,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_kakaxi.png,240,,,,,,,
334,,คาคาชิ คามุอิ  ,Kamui Kakashi,Kamui Kakashi,Kamui Kakashi  ,Kamui Kakashi  ,Kamui Kakashi,Kamui Kakashi  ,base,5,18,5,,,,,,334,,config/portrait/speedranktouxiang/img_334.png,config/portrait/jinglingtouxiang/img_334.png,config/portrait/jinglingtouxiang2/img_334.png,config/portrait/simple/img_334.png,config/big_hero/normal/img_334.png,,,mega_kakaxi/mega_kakaxi.json,,config/big_hero/normal/img_334.png,,,,<3341;3342;3343>,,,,,,,1,,,2.1,,,,,,,,,,,,,120.832,1.413,12.896,14.338,5.04,5.618,1.61,1.57,1.61,1.57,1.79,1.75,21510,1000,400,,,,765,1062,349,464,0,0,89,,15000,1500,1000,,3000,,,,,500,1000,,500,,,,,,,300,,,,,,,,,,,,,,,,lihui/lihui_mega_kakaxi.skel,240,0.7,,,{y=120;x=0},,beibao/lihui_334.skel,
335,,คาคาชิ คามุอิ (สกิน 1)  ,Kamui Kakashi Skin 1,Kamui Kakashi Skin 1,Kamui Kakashi Skin 1  ,Kamui Kakashi Kulit 1  ,Kamui Kakashi Skin 1,Kamui Kakashi Balat 1  ,base,5,18,5,,,,,,334,,config/portrait/speedranktouxiang/img_335.png,config/portrait/jinglingtouxiang/img_335.png,config/portrait/jinglingtouxiang2/img_335.png,config/portrait/simple/img_335.png,config/big_hero/normal/img_335.png,,,mega_kakaxi_pifu1/mega_kakaxi_pifu1.json,,config/big_hero/normal/img_335.png,,,,<3351;3352;3353>,,,,,,,1,,,2.1,,,,,,,,,,,,,120.832,1.413,12.896,14.338,5.04,5.618,1.61,1.57,1.61,1.57,1.79,1.75,21510,1000,400,,,,765,1062,349,464,0,0,89,,15000,1500,1000,,3000,,,,,500,1000,,500,,,,,,,300,,,,,,,,,,,,,,,,lihui/lihui_mega_kakaxi_pifu1.skel,240,0.7,,,{y=80;x=0},,beibao/lihui_335.skel,
393,,Hades,Hades,Hades,Hades,Hades,Hades,Hades,base,4,16,15,,,,,,393,,config/portrait/speedranktouxiang/img_393.png,config/portrait/jinglingtouxiang/img_393.png,config/portrait/jinglingtouxiang2/img_393.png,config/portrait/simple/img_393.png,config/big_hero/normal/img_393.png,,,hadisi/hadisi.json,,config/big_hero/normal/img_393.png,,,,<3931;3932;3933>,,,,,,,,,,1.75,,,,,,,,,,,,,120.832,1.413,12.896,14.338,5.04,5.618,1.61,1.57,1.61,1.57,1.79,1.75,21510,1000,400,,,,765,1062,349,464,0,0,89,,15000,1500,1000,,3000,,,,,500,1000,,500,,,,,,,,,,,,,,,,,,,,,,,lihui/lihui_hadisi.skel,240,,,,,,,
402,,Chaien,Chaien,Chaien,Chaien,Chaien,Chaien,Chaien,base,2,14,13,,,,,,402,,config/portrait/speedranktouxiang/img_402.png,config/portrait/jinglingtouxiang/img_402.png,config/portrait/jinglingtouxiang2/img_402.png,config/portrait/simple/img_402.png,config/big_hero/normal/img_402.png,,,panghujiangshi/panghujiangshi.json,,config/big_hero/normal/img_402.png,,,,<4021;4022;4023>,,,{lifePos={y=320;x=-50};hitPos={y=160;x=0};headPos={y=280;x=0};namePos={y=320;x=0}},,,,0.9,,,,,,,,,,,,,,,,98.316,1.053,10.733,10.013,5.489,4.109,1.31,1.17,1.34,1.71,1.25,1.28,9540,1000,400,,,,378,266,397,140,0,0,30,,15000,,,400,3500,,,,,100,1000,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_panghu.png,240,,,,,,,
493,,Predator,Predator,Predator,Predator,Predator,Predator,Predator,base,2,14,17,,,,,,493,,config/portrait/speedranktouxiang/img_493.png,config/portrait/jinglingtouxiang/img_493.png,config/portrait/jinglingtouxiang2/img_493.png,config/portrait/simple/img_493.png,config/big_hero/normal/img_493.png,,,tiexuezhanshijiangshi/tiexuezhanshijiangshi.json,,config/big_hero/normal/img_493.png,,,,<4931;4932;4933>,,,{lifePos={y=320;x=-50};hitPos={y=160;x=0};headPos={y=280;x=0};namePos={y=320;x=0}},,,,0.9,,,,,,,,,,,,,,,,108.074,1.08,12.175,10.013,4.783,4.013,1.44,1.2,1.52,1.49,1.25,1.25,14226,1000,400,,,,623,266,250,126,0,0,33,500,15000,,,1000,3000,,,,,200,300,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_tiexue.png,240,,,,,,,
503,,Illyasviel,Illyasviel,Illyasviel,Illyasviel,Illyasviel,Illyasviel,Illyasviel,base,3,,11,,<997051>,,,,503,,config/portrait/speedranktouxiang/img_503.png,config/portrait/jinglingtouxiang/img_503.png,config/portrait/jinglingtouxiang2/img_503.png,config/portrait/simple/img_503.png,config/big_hero/normal/img_503.png,,,yiliya/yiliya.json,,config/big_hero/normal/img_503.png,,,,<5031;5032;5033>,,,,,,,,,,1.75,,,,,,,,,,,,,88.846,1.125,8.811,10.493,3.531,4.815,1.89,1.25,1.1,1.1,1.31,1.5,36234,1000,400,,,,123,339,69,259,0,0,39,,15000,500,500,,3000,,,,,500,500,,,,,,,500,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_yiliya.png,240,,,,,,,
552,,Harry Potter,Harry Potter,Harry Potter,Harry Potter,Harry Potter,Harry Potter,Harry Potter,base,2,14,16,,,,,,552,,config/portrait/speedranktouxiang/img_552.png,config/portrait/jinglingtouxiang/img_552.png,config/portrait/jinglingtouxiang2/img_552.png,config/portrait/simple/img_552.png,config/big_hero/normal/img_552.png,,,halibotejiangshi/halibotejiangshi.json,,config/big_hero/normal/img_552.png,,,,<5521;5522;5523>,,,{lifePos={y=320;x=-50};hitPos={y=160;x=0};headPos={y=280;x=0};namePos={y=320;x=0}},,,,0.9,,,,,,,,,,,,,,,,88.56,1.206,9.772,10.413,4.013,4.013,1.18,1.34,1.22,1.25,1.3,1.25,6342,1000,400,,,,273,361,136,136,0,0,56,,15000,,200,,3000,,,,,200,200,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_hali.png,240,,,,,,,
572,,Akame,Akame,Akame,Akame,Akame,Akame,Akame,base,4,12,16,,<997051>,,,,572,,config/portrait/speedranktouxiang/img_572.png,config/portrait/jinglingtouxiang/img_572.png,config/portrait/jinglingtouxiang2/img_572.png,config/portrait/simple/img_572.png,config/big_hero/normal/img_572.png,,,chitong/chitong.json,,config/big_hero/normal/img_572.png,,,,<5721;5722;5723>,,,,,,,,,,1.75,,,,,,,,,,,,,122.334,1.413,13.777,13.217,5.04,5.778,1.63,1.57,1.72,1.57,1.65,1.8,22428,1000,400,,,,938,822,349,500,0,0,89,500,15000,1000,1000,,3000,,,,,500,1000,,500,,,,,,,,,,,,,,,,,,,,,,,lihui/lihui_chitong.skel,240,,,,,,,
574,,Blood Slayer Akame,Blood Slayer Akame,Blood Slayer Akame,Blood Slayer Akame,Blood Slayer Akame,Blood Slayer Akame,Blood Slayer Akame,base,6,12,16,,<997051>,,,,574,,config/portrait/speedranktouxiang/img_574.png,config/portrait/jinglingtouxiang/img_574.png,config/portrait/jinglingtouxiang2/img_574.png,config/portrait/simple/img_574.png,config/big_hero/normal/img_574.png,,,mega_chitong/mega_chitong.json,,config/big_hero/normal/img_574.png,,,,<5741;5742;5743>,,,,,,,0.85,,,1.9,,,,,,,,,,,,,140.6841,1.62495,15.84355,15.19955,5.796,6.6447,1.8745,1.8055,1.978,1.8055,1.8975,2.07,25792.2,1000,460,,,,1078.7,945.3,401.35,575,0,0,102.35,575,17250,1150,1150,,3450,,11500,,11500,575,1150,,575,,,,,,,,,,,,,,,,,,,,,,,lihui/lihui_mega_chitong.skel,240,0.7,,,{y=80;x=0},,beibao/lihui_574.skel,
575,,Akame Skin 0,Akame Skin 1,Akame Skin 2,Akame Skin 3,Akame Skin 4,Akame Skin 5,Akame Skin 6,base,6,12,16,,<997051>,,,,574,,config/portrait/speedranktouxiang/img_575.png,config/portrait/jinglingtouxiang/img_575.png,config/portrait/jinglingtouxiang2/img_575.png,config/portrait/simple/img_575.png,config/big_hero/normal/img_575.png,,,mega_chitong_pifu1/mega_chitong_pifu1.json,,config/big_hero/normal/img_575.png,,,,<5751;5752;5753>,,,,,,,0.85,,,1.9,,,,,,,,,,,,,140.6841,1.62495,15.84355,15.19955,5.796,6.6447,1.8745,1.8055,1.978,1.8055,1.8975,2.07,25792.2,1000,460,,,,1078.7,945.3,401.35,575,0,0,102.35,575,17250,1150,1150,,3450,,11500,,11500,575,1150,,575,,,,,,,,,,,,,,,,,,,,,,,lihui/lihui_mega_chitong_pifu1.skel,240,0.7,,,{y=80;x=0},,beibao/lihui_575.skel,
593,,Gandalf,Gandalf,Gandalf,Gandalf,Gandalf,Gandalf,Gandalf,base,3,5,14,,,,,,593,,config/portrait/speedranktouxiang/img_593.png,config/portrait/jinglingtouxiang/img_593.png,config/portrait/jinglingtouxiang2/img_593.png,config/portrait/simple/img_593.png,config/big_hero/normal/img_593.png,,,mofashijiangshi/mofashijiangshi.json,,config/big_hero/normal/img_593.png,,,,<5931;5932;5933>,,,{lifePos={y=320;x=-50};hitPos={y=160;x=0};headPos={y=280;x=0};namePos={y=320;x=0}},,,,0.9,,,,,,,,,,,,,,,,98.316,1.242,11.775,11.054,4.141,4.301,1.31,1.38,1.47,1.29,1.38,1.34,9540,1000,400,,,,544,421,144,171,0,0,56,500,15000,,,500,3000,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_gandaofu.png,240,,,,,,,
603,,Lina Inverse,Lina Inverse,Lina Inverse,Lina Inverse,Lina Inverse,Lina Inverse,Lina Inverse,base,3,2,11,,<997051>,,,,603,,config/portrait/speedranktouxiang/img_603.png,config/portrait/jinglingtouxiang/img_603.png,config/portrait/jinglingtouxiang2/img_603.png,config/portrait/simple/img_603.png,config/big_hero/normal/img_603.png,,,linayinbasi/linayinbasi.json,,config/big_hero/normal/img_603.png,,,<6034>,<6031;6032;6033>,,,,,,,,,,1.75,,,,,,,,,,,,,98.316,1.206,11.054,11.775,4.141,4.43,1.31,1.34,1.38,1.29,1.47,1.38,9540,1000,400,,,,421,551,144,188,0,0,51,,15000,,,300,3000,,,,,600,100,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_lina.png,240,,,,,,,
611,,Mikasa Ackerman,Mikasa Ackerman,Mikasa Ackerman,Mikasa Ackerman,Mikasa Ackerman,Mikasa Ackerman,Mikasa Ackerman,base,3,12,10,,<997051>,,,,611,,config/portrait/speedranktouxiang/img_611.png,config/portrait/jinglingtouxiang/img_611.png,config/portrait/jinglingtouxiang2/img_611.png,config/portrait/simple/img_611.png,config/big_hero/normal/img_611.png,,,sanliakeman/sanliakeman.json,,config/big_hero/normal/img_611.png,,,,<6111;6112;6113>,,,,,,,,,,1.75,,,,,,,,,,,,,96.066,1.206,11.775,10.013,4.462,4.173,1.28,1.34,1.47,1.39,1.25,1.3,8490,1000,400,,,,551,266,196,148,0,0,51,500,15500,,,300,3000,,,,,500,200,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_sanli.png,240,,,,,,,
632,,Kamado Tanjiro,Kamado Tanjiro,Kamado Tanjiro,Kamado Tanjiro,Kamado Tanjiro,Kamado Tanjiro,Kamado Tanjiro,base,3,3,12,,,,,,631,,config/portrait/speedranktouxiang/img_631.png,config/portrait/jinglingtouxiang/img_631.png,config/portrait/jinglingtouxiang2/img_631.png,config/portrait/simple/img_631.png,config/big_hero/normal/img_631.png,,,zaomentanzhilang/zaomentanzhilang.json,,config/big_hero/normal/img_631.png,,,,<6321;6322;6323>,,,,,,,1,,,2.5,,,,,,,,,,,,,103.57,1.197,11.775,10.093,4.237,4.462,1.38,1.33,1.47,1.32,1.26,1.39,11820,1000,400,,,,551,283,161,196,0,0,50,600,15000,200,,,3000,,,,,1000,200,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_zaomen.png,240,,,,,,,
641,,Rem,Rem,Rem,Rem,Rem,Rem,Rem,base,3,14,3,,<997051>,,,,641,,config/portrait/speedranktouxiang/img_641.png,config/portrait/jinglingtouxiang/img_641.png,config/portrait/jinglingtouxiang2/img_641.png,config/portrait/simple/img_641.png,config/big_hero/normal/img_641.png,,,leimu/leimu.json,,config/big_hero/normal/img_641.png,,,,<6411;6412;6413>,,,,,,,,,,1.75,,,,,,,,,,,,,111.826,1.134,10.733,10.733,4.269,4.43,1.49,1.26,1.34,1.33,1.34,1.38,16176,1000,400,,,,378,378,163,188,0,0,41,,15000,600,,600,3000,,,,,,800,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_leimu.png,240,,,,,,,
692,,Gangster,Gangster,Gangster,Gangster,Gangster,Gangster,Gangster,base,,14,7,,,,,,692,,config/portrait/speedranktouxiang/img_692.png,config/portrait/jinglingtouxiang/img_692.png,config/portrait/jinglingtouxiang2/img_692.png,config/portrait/simple/img_692.png,config/big_hero/normal/img_692.png,,,guhuozai/guhuozai.json,,config/big_hero/normal/img_692.png,,,,<6921;6922;6923>,,,{lifePos={y=320;x=-50};hitPos={y=160;x=0};headPos={y=280;x=0};namePos={y=320;x=0}},,,,0.9,,,,,,,,,,,,,,,,88.56,1.116,10.733,9.532,4.205,3.884,1.18,1.24,1.34,1.31,1.19,1.21,6342,1000,400,,,,416,241,164,116,0,0,42,,15000,200,200,,3000,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_guhuozai.png,240,,,,,,,
701,,Levi Ackerman,Levi Ackerman,Levi Ackerman,Levi Ackerman,Levi Ackerman,Levi Ackerman,Levi Ackerman,base,4,12,10,,,,,,701,,config/portrait/speedranktouxiang/img_701.png,config/portrait/jinglingtouxiang/img_701.png,config/portrait/jinglingtouxiang2/img_701.png,config/portrait/simple/img_701.png,config/big_hero/normal/img_701.png,,,bingzhang/bingzhang.json,,config/big_hero/normal/img_701.png,,,,<7011;7012;7013>,,,,,,,,,,1.75,,,,,,,,,,,,,122.334,1.548,13.217,14.418,5.04,5.04,1.63,1.72,1.65,1.57,1.8,1.57,22428,1000,400,,,,822,1086,349,349,0,0,114,1500,15000,,,500,3000,,,,,1000,500,500,,,,,,,,,,,,,,,,,,,,,,,,lihui/lihui_bingzhang.skel,240,,,,,,,
