VariableName,huodongID,_beizhu,rank,award,desc,desc_vn,desc_en,desc_th,desc_in,desc_ph,desc_ma
106,1002,,30,{930=30;2103=8;gold=400000},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
107,1002,,60,{930=25;2103=8;gold=350000},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
108,1002,,100,{930=20;2103=7;gold=300000},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
109,1002,,300,{930=18;2103=7;gold=250000},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
110,1002,,600,{930=16;2103=6;gold=200000},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
111,1002,,1000,{930=14;2103=6;gold=180000},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
112,1002,,99999,{930=12;2103=5;gold=160000},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
201,1003,,1,{850=300;gold=800000;5000=60},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
202,1003,,2,{850=240;gold=600000;5000=50},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
203,1003,,3,{850=240;gold=550000;5000=45},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
204,1003,,6,{850=200;gold=500000;5000=40},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
205,1003,,10,{850=200;gold=450000;5000=35},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
206,1003,,30,{850=160;gold=400000;5000=30},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
207,1003,,60,{850=160;gold=350000;5000=25},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
208,1003,,100,{850=140;gold=300000;5000=20},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
209,1003,,300,{850=140;gold=250000;5000=18},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
210,1003,,600,{850=120;gold=200000;5000=16},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
211,1003,,1000,{850=120;gold=180000;5000=14},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
212,1003,,99999,{850=100;gold=160000;5000=12},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
301,1004,,1,{930=60;gold=800000;452=75},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
302,1004,,2,{930=50;gold=600000;452=60},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
303,1004,,3,{930=45;gold=550000;452=60},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
304,1004,,6,{930=40;gold=500000;452=50},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
305,1004,,10,{930=35;gold=450000;452=50},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
306,1004,,30,{930=30;gold=400000;452=40},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
307,1004,,60,{930=25;gold=350000;452=40},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
308,1004,,100,{930=20;gold=300000;452=35},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
309,1004,,300,{930=18;gold=250000;452=35},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
310,1004,,600,{930=16;gold=200000;452=30},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
311,1004,,1000,{930=14;gold=180000;452=30},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
312,1004,,99999,{930=12;gold=160000;452=25},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
401,1005,,1,{5000=60;gold=800000;talent_point=4},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
402,1005,,2,{5000=50;gold=600000;talent_point=3},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
403,1005,,3,{5000=45;gold=550000;talent_point=3},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
404,1005,,6,{5000=40;gold=500000;talent_point=2},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
405,1005,,10,{5000=35;gold=450000;talent_point=2},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
406,1005,,30,{5000=30;gold=400000;talent_point=2},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
407,1005,,60,{5000=25;gold=350000;talent_point=2},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
408,1005,,100,{5000=20;gold=300000;talent_point=1},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
409,1005,,300,{5000=18;gold=250000;talent_point=1},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
410,1005,,600,{5000=16;gold=200000;talent_point=1},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
411,1005,,1000,{5000=14;gold=180000;talent_point=1},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
412,1005,,99999,{5000=12;gold=160000;talent_point=1},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
501,1006,,1,{930=60;2103=15;gold=800000},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
502,1006,,2,{930=50;2103=12;gold=600000},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
503,1006,,3,{930=45;2103=12;gold=550000},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
504,1006,,6,{930=40;2103=10;gold=500000},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
505,1006,,10,{930=35;2103=10;gold=450000},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
506,1006,,30,{930=30;2103=8;gold=400000},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
507,1006,,60,{930=25;2103=8;gold=350000},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
508,1006,,100,{930=20;2103=7;gold=300000},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
509,1006,,300,{930=18;2103=7;gold=250000},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
510,1006,,600,{930=16;2103=6;gold=200000},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
511,1006,,1000,{930=14;2103=6;gold=180000},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
512,1006,,99999,{930=12;2103=5;gold=160000},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
601,1007,,1,{500=100;850=300;gold=800000;5000=60},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
602,1007,,2,{500=50;850=240;gold=600000;5000=50},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
603,1007,,3,{500=25;850=240;gold=550000;5000=45},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
604,1007,,6,{500=15;850=200;gold=500000;5000=40},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
605,1007,,10,{500=10;850=200;gold=450000;5000=35},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
606,1007,,30,{850=160;gold=400000;5000=30},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
607,1007,,60,{850=160;gold=350000;5000=25},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
608,1007,,100,{850=140;gold=300000;5000=20},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
609,1007,,300,{850=140;gold=250000;5000=18},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
610,1007,,600,{850=120;gold=200000;5000=16},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
611,1007,,1000,{850=120;gold=180000;5000=14},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
612,1007,,99999,{850=100;gold=160000;5000=12},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
701,1008,,1,{930=60;gold=800000;452=75},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
702,1008,,2,{930=50;gold=600000;452=60},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
703,1008,,3,{930=45;gold=550000;452=60},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
704,1008,,6,{930=40;gold=500000;452=50},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
705,1008,,10,{930=35;gold=450000;452=50},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
706,1008,,30,{930=30;gold=400000;452=40},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
707,1008,,60,{930=25;gold=350000;452=40},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
708,1008,,100,{930=20;gold=300000;452=35},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
709,1008,,300,{930=18;gold=250000;452=35},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
710,1008,,600,{930=16;gold=200000;452=30},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
711,1008,,1000,{930=14;gold=180000;452=30},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
712,1008,,99999,{930=12;gold=160000;452=25},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
801,1009,,1,{5000=60;gold=800000;talent_point=4},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
802,1009,,2,{5000=50;gold=600000;talent_point=3},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
803,1009,,3,{5000=45;gold=550000;talent_point=3},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
804,1009,,6,{5000=40;gold=500000;talent_point=2},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
805,1009,,10,{5000=35;gold=450000;talent_point=2},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
806,1009,,30,{5000=30;gold=400000;talent_point=2},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
807,1009,,60,{5000=25;gold=350000;talent_point=2},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
808,1009,,100,{5000=20;gold=300000;talent_point=1},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
809,1009,,300,{5000=18;gold=250000;talent_point=1},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
810,1009,,600,{5000=16;gold=200000;talent_point=1},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
811,1009,,1000,{5000=14;gold=180000;talent_point=1},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
812,1009,,99999,{5000=12;gold=160000;talent_point=1},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
901,1010,,1,{930=60;2103=15;gold=800000},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
902,1010,,2,{930=50;2103=12;gold=600000},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
903,1010,,3,{930=45;2103=12;gold=550000},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
904,1010,,6,{930=40;2103=10;gold=500000},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
905,1010,,10,{930=35;2103=10;gold=450000},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
906,1010,,30,{930=30;2103=8;gold=400000},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
907,1010,,60,{930=25;2103=8;gold=350000},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
908,1010,,100,{930=20;2103=7;gold=300000},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
909,1010,,300,{930=18;2103=7;gold=250000},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
910,1010,,600,{930=16;2103=6;gold=200000},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
911,1010,,1000,{930=14;2103=6;gold=180000},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
912,1010,,99999,{930=12;2103=5;gold=160000},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
1001,1011,,1,{850=300;gold=800000;5000=60},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
1002,1011,,2,{850=240;gold=600000;5000=50},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
1003,1011,,3,{850=240;gold=550000;5000=45},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
1004,1011,,6,{850=200;gold=500000;5000=40},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
1005,1011,,10,{850=200;gold=450000;5000=35},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
1006,1011,,30,{850=160;gold=400000;5000=30},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
1007,1011,,60,{850=160;gold=350000;5000=25},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
