VariableName,_beizhu,bossID,gateID,baseHP,battleAward,killAward,battleScoreAward,rankAwardVersion,duration,serverKillPoint,buffAdd,buffTime,buffIcon,buffName,buffName_tw,buffName_en,buffName_vn,buffName_kr,buffDesc,buffDesc_tw,buffDesc_en,buffDesc_vn,buffDesc_kr,bossFigure
12,,<42001;42002>,71001,<45000000;45000000>,{coin13=1000;gold=10000},{coin13=100000;rmb=100;gold=300000},,1,60,25000,{2=0.15},120,city/pvp/cross_mine/buff/icon_buff2.png,产出增加,產出增加,Product increase,Tăng sản phẩm,생산 증가,击杀者所在服务器玩家的资源生产速度加成+15%,擊殺者所在伺服器玩家的資源生產速度加成+15%,,Phần thưởng tốc độ sản xuất tài nguyên của máy chủ nơi kẻ giết người nằm+15%,격살자 소속 서버에 있는 모든 유저는 자원 생산 속도 버프 15% 증가.,<2>
13,,<42001;42002>,71001,<45000000;45000000>,{coin13=1000;gold=10000},{coin13=100000;rmb=100;gold=300000},,1,60,25000,{3=0.15},120,city/pvp/cross_mine/buff/icon_buff3.png,抢夺增加,搶奪增加,Plunder increase,Cướp bóc tăng,강탈 증가,击杀者所在服务器玩家在竞标对战中抢夺加成+15%，被抢夺损失-15%,擊殺者所在伺服器玩家在競標對戰中搶奪加成+15%，被搶奪損失-15%,,Người chơi nơi kẻ giết người được đặt đã giành được phần thưởng+15%trong trận chiến đấu thầu và các khoản lỗ đã bị mất -15%,"격살자 소속 서버에 있는 모든 유저는 경쟁 입찰에서 강탈 버프 15% 증가, 피탈 손실 15% 감소.",<2>
21,,<42003;42004>,71002,<30000000;30000000>,{coin13=1000;gold=10000},{coin13=100000;rmb=100;gold=300000},,1,60,25000,{1=0.15},120,city/pvp/cross_mine/buff/icon_buff1.png,属性增强,屬性增強,Status enhancement,Nâng cao tình trạng,속성 강화,击杀者所在服务器玩家在竞标对战中全属性加成+15%,擊殺者所在伺服器玩家在競標對戰中全屬性加成+15%,,Người chơi nơi kẻ giết người nằm trong trận chiến đấu thầu là phần thưởng thuộc tính đầy đủ+15%,격살자 소속 서버에 있는 모든 유저는 경쟁 입찰에서 전 속성 버프 15% 증가.,<2>
22,,<42003;42004>,71002,<30000000;30000000>,{coin13=1000;gold=10000},{coin13=100000;rmb=100;gold=300000},,1,60,25000,{2=0.15},120,city/pvp/cross_mine/buff/icon_buff2.png,产出增加,產出增加,Product increase,Tăng sản phẩm,생산 증가,击杀者所在服务器玩家的资源生产速度加成+15%,擊殺者所在伺服器玩家的資源生產速度加成+15%,,Phần thưởng tốc độ sản xuất tài nguyên của máy chủ nơi kẻ giết người nằm+15%,격살자 소속 서버에 있는 모든 유저는 자원 생산 속도 버프 15% 증가.,<2>
23,,<42003;42004>,71002,<30000000;30000000>,{coin13=1000;gold=10000},{coin13=100000;rmb=100;gold=300000},,1,60,25000,{3=0.15},120,city/pvp/cross_mine/buff/icon_buff3.png,抢夺增加,搶奪增加,Plunder increase,Cướp bóc tăng,강탈 증가,击杀者所在服务器玩家在竞标对战中抢夺加成+15%，被抢夺损失-15%,擊殺者所在伺服器玩家在競標對戰中搶奪加成+15%，被搶奪損失-15%,,Người chơi nơi kẻ giết người được đặt đã giành được phần thưởng+15%trong trận chiến đấu thầu và các khoản lỗ đã bị mất -15%,"격살자 소속 서버에 있는 모든 유저는 경쟁 입찰에서 강탈 버프 15% 증가, 피탈 손실 15% 감소.",<2>
31,,<42005;42006>,71003,<54000000;54000000>,{coin13=1000;gold=10000},{coin13=100000;rmb=100;gold=300000},,2,60,50000,{1=0.3},180,city/pvp/cross_mine/buff/icon_buff4.png,属性增强,屬性增強,Status enhancement,Nâng cao tình trạng,속성 강화,击杀者所在服务器玩家在竞标对战中全属性加成+30%,擊殺者所在伺服器玩家在競標對戰中全屬性加成+30%,,Người chơi nơi kẻ giết người nằm trong trận chiến đấu thầu là phần thưởng thuộc tính đầy đủ+30%,격살자 소속 서버에 있는 모든 유저는 경쟁 입찰에서 전 속성 버프 30% 증가.,<3>
32,,<42005;42006>,71003,<54000000;54000000>,{coin13=1000;gold=10000},{coin13=100000;rmb=100;gold=300000},,2,60,50000,{2=0.3},180,city/pvp/cross_mine/buff/icon_buff5.png,产出增加,產出增加,Product increase,Tăng sản phẩm,생산 증가,击杀者所在服务器玩家的资源生产速度加成+30%,擊殺者所在伺服器玩家的資源生產速度加成+30%,,Phần thưởng tốc độ sản xuất tài nguyên của máy chủ nơi kẻ giết người nằm+30%,격살자 소속 서버에 있는 모든 유저는 자원 생산 속도 버프 30% 증가.,<3>
33,,<42005;42006>,71003,<54000000;54000000>,{coin13=1000;gold=10000},{coin13=100000;rmb=100;gold=300000},,2,60,50000,{3=0.3},180,city/pvp/cross_mine/buff/icon_buff6.png,抢夺增加,搶奪增加,Plunder increase,Cướp bóc tăng,강탈 증가,击杀者所在服务器玩家在竞标对战中抢夺加成+30%，被抢夺损失-30%,擊殺者所在伺服器玩家在競標對戰中搶奪加成+30%，被搶奪損失-30%,,Người chơi nơi kẻ giết người được đặt đã giành được phần thưởng+30%trong trận chiến đấu thầu và bị cướp mất 30%,"격살자 소속 서버에 있는 모든 유저는 경쟁 입찰에서 강탈 버프 30% 증가, 피탈 손실 30% 감소.",<3>
41,,<42007;42008;42009>,71004,<63000000;63000000;63000000>,{coin13=1000;gold=10000},{coin13=100000;rmb=100;gold=300000},,3,60,100000,{1=0.3;2=0.3;3=0.3},300,city/pvp/cross_mine/buff/icon_buff4.png,终极BUFF,終極BUFF,Ultimate BUFF,Buff cuối cùng,최종 버프,"击杀者所在服务器玩家在竞标对战中全属性加成+30%,抢夺加成+30%,被抢夺损失-30%,资源生产速度加成+30%","擊殺者所在伺服器玩家在競標對戰中全屬性加成+30%,搶奪加成+30%,被搶奪損失-30%,資源生產速度加成+30%",,Người chơi nơi kẻ giết người nằm trong trận đấu đấu thầu là phần thưởng thuộc tính đầy đủ+30%. tiền thưởng cướp+30%. tổn thất của Snatch-30%. phần thưởng tốc độ sản xuất tài nguyên+30%,"격살자 소속 서버에 있는 모든 유저는 경쟁 입찰에서 전 속성 버프 30% 증가, 강탈 버프 30% 증가, 피탈 손실 30% 감소, 자원 생산 속도 버프 30% 증가.",<1>
42,,<42007;42008;42009>,71004,<63000000;63000000;63000000>,{coin13=1000;gold=10000},{coin13=100000;rmb=100;gold=300000},,3,60,100000,{1=0.3;2=0.3;3=0.3},300,city/pvp/cross_mine/buff/icon_buff5.png,终极BUFF,終極BUFF,Ultimate BUFF,Buff cuối cùng,최종 버프,"击杀者所在服务器玩家在竞标对战中全属性加成+30%,抢夺加成+30%,被抢夺损失-30%,资源生产速度加成+30%","擊殺者所在伺服器玩家在競標對戰中全屬性加成+30%,搶奪加成+30%,被搶奪損失-30%,資源生產速度加成+30%",,Người chơi nơi kẻ giết người nằm trong trận đấu đấu thầu là phần thưởng thuộc tính đầy đủ+30%. tiền thưởng cướp+30%. tổn thất của Snatch-30%. phần thưởng tốc độ sản xuất tài nguyên+30%,"격살자 소속 서버에 있는 모든 유저는 경쟁 입찰에서 전 속성 버프 30% 증가, 강탈 버프 30% 증가, 피탈 손실 30% 감소, 자원 생산 속도 버프 30% 증가.",<1>
43,,<42007;42008;42009>,71004,<63000000;63000000;63000000>,{coin13=1000;gold=10000},{coin13=100000;rmb=100;gold=300000},,3,60,100000,{1=0.3;2=0.3;3=0.3},300,city/pvp/cross_mine/buff/icon_buff6.png,终极BUFF,終極BUFF,Ultimate BUFF,Buff cuối cùng,최종 버프,"击杀者所在服务器玩家在竞标对战中全属性加成+30%,抢夺加成+30%,被抢夺损失-30%,资源生产速度加成+30%","擊殺者所在伺服器玩家在競標對戰中全屬性加成+30%,搶奪加成+30%,被搶奪損失-30%,資源生產速度加成+30%",,Người chơi nơi kẻ giết người nằm trong trận đấu đấu thầu là phần thưởng thuộc tính đầy đủ+30%. tiền thưởng cướp+30%. tổn thất của Snatch-30%. phần thưởng tốc độ sản xuất tài nguyên+30%,"격살자 소속 서버에 있는 모든 유저는 경쟁 입찰에서 전 속성 버프 30% 증가, 강탈 버프 30% 증가, 피탈 손실 30% 감소, 자원 생산 속도 버프 30% 증가.",<1>
