VariableName,levelMax,card1,levelC1,star1,advance1,damageC1,specialDamageC1,defenceC1,specialDefenceC1,hpC1,card2,levelC2,star2,advance2,damageC2,specialDamageC2,defenceC2,specialDefenceC2,hpC2,card3,levelC3,star3,advance3,damageC3,specialDamageC3,defenceC3,specialDefenceC3,hpC3,card4,levelC4,star4,advance4,damageC4,specialDamageC4,defenceC4,specialDefenceC4,hpC4,card5,levelC5,star5,advance5,damageC5,specialDamageC5,defenceC5,specialDefenceC5,hpC5,card6,levelC6,star6,advance6,damageC6,specialDamageC6,defenceC6,specialDefenceC6,hpC6,card7,levelC7,star7,advance7,damageC7,specialDamageC7,defenceC7,specialDefenceC7,hpC7,card8,levelC8,star8,advance8,damageC8,specialDamageC8,defenceC8,specialDefenceC8,hpC8,card9,levelC9,star9,advance9,damageC9,specialDamageC9,defenceC9,specialDefenceC9,hpC9,card10,levelC10,star10,advance10,damageC10,specialDamageC10,defenceC10,specialDefenceC10,hpC10
Defaults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,角色等级,卡牌id1,卡牌等级修正区间1,星级区间1,进阶区间1,物攻修正区间1,特攻修正区间1,物防修正区间1,特防修正区间1,血量修正区间1,卡牌id2,卡牌等级修正区间2,星级区间2,进阶区间2,物攻修正区间2,特攻修正区间2,物防修正区间2,特防修正区间2,血量修正区间2,卡牌id3,卡牌等级修正区间3,星级区间3,进阶区间3,物攻修正区间3,特攻修正区间3,物防修正区间3,特防修正区间3,血量修正区间3,卡牌id4,卡牌等级修正区间4,星级区间4,进阶区间4,物攻修正区间4,特攻修正区间4,物防修正区间4,特防修正区间4,血量修正区间4,卡牌id5,卡牌等级修正区间5,星级区间5,进阶区间5,物攻修正区间5,特攻修正区间5,物防修正区间5,特防修正区间5,血量修正区间5,卡牌id6,卡牌等级修正区间6,星级区间6,进阶区间6,物攻修正区间6,特攻修正区间6,物防修正区间6,特防修正区间6,血量修正区间6,卡牌id7,卡牌等级修正区间7,星级区间7,进阶区间7,物攻修正区间7,特攻修正区间7,物防修正区间7,特防修正区间7,血量修正区间7,卡牌id8,卡牌等级修正区间8,星级区间8,进阶区间8,物攻修正区间8,特攻修正区间8,物防修正区间8,特防修正区间8,血量修正区间8,卡牌id9,卡牌等级修正区间9,星级区间9,进阶区间9,物攻修正区间9,特攻修正区间9,物防修正区间9,特防修正区间9,血量修正区间9,卡牌id10,卡牌等级修正区间10,星级区间10,进阶区间10,物攻修正区间10,特攻修正区间10,物防修正区间10,特防修正区间10,血量修正区间10
73,50,721,<0.8;1>,<3;4>,<6;8>,<1.8;2.5>,<1.2;1.8>,<1.3;1.6>,<1;1.3>,<1.8;2.5>,44,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,1612,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,3663,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,2843,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,603,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,2233,<0.6;0.8>,<2;3>,<5;7>,<1.2;2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.2;2>,731,<0.6;0.8>,<2;3>,<5;7>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,503,<0.6;0.8>,<2;3>,<5;7>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,1082,<0.6;0.8>,<2;3>,<5;7>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>
74,50,771,<0.8;1>,<3;4>,<6;8>,<1.8;2.5>,<1.2;1.8>,<1.3;1.6>,<1;1.3>,<1.8;2.5>,53,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,2033,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,263,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,3432,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,611,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,2401,<0.6;0.8>,<2;3>,<5;7>,<1.2;2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.2;2>,1221,<0.6;0.8>,<2;3>,<5;7>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,593,<0.6;0.8>,<2;3>,<5;7>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,1293,<0.6;0.8>,<2;3>,<5;7>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>
75,50,1231,<0.8;1>,<3;4>,<6;8>,<1.8;2.5>,<1.2;1.8>,<1.3;1.6>,<1;1.3>,<1.8;2.5>,82,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,972,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,393,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,3772,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,631,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,2493,<0.6;0.8>,<2;3>,<5;7>,<1.2;2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.2;2>,1903,<0.6;0.8>,<2;3>,<5;7>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,603,<0.6;0.8>,<2;3>,<5;7>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,1612,<0.6;0.8>,<2;3>,<5;7>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>
76,50,1241,<0.8;1>,<3;4>,<6;8>,<1.8;2.5>,<1.2;1.8>,<1.3;1.6>,<1;1.3>,<1.8;2.5>,692,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,1032,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,572,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,13,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,641,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,3021,<0.6;0.8>,<2;3>,<5;7>,<1.2;2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.2;2>,1931,<0.6;0.8>,<2;3>,<5;7>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,611,<0.6;0.8>,<2;3>,<5;7>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,2033,<0.6;0.8>,<2;3>,<5;7>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>
77,50,1313,<0.8;1>,<3;4>,<6;8>,<1.8;2.5>,<1.2;1.8>,<1.3;1.6>,<1;1.3>,<1.8;2.5>,2683,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,1071,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,701,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,273,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,712,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,3143,<0.6;0.8>,<2;3>,<5;7>,<1.2;2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.2;2>,3543,<0.6;0.8>,<2;3>,<5;7>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,631,<0.6;0.8>,<2;3>,<5;7>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,972,<0.6;0.8>,<2;3>,<5;7>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>
78,50,1393,<0.8;1>,<3;4>,<6;8>,<1.8;2.5>,<1.2;1.8>,<1.3;1.6>,<1;1.3>,<1.8;2.5>,2843,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,1253,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,721,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,402,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,741,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,3171,<0.6;0.8>,<2;3>,<5;7>,<1.2;2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.2;2>,163,<0.6;0.8>,<2;3>,<5;7>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,641,<0.6;0.8>,<2;3>,<5;7>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,1032,<0.6;0.8>,<2;3>,<5;7>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>
79,50,1423,<0.8;1>,<3;4>,<6;8>,<1.8;2.5>,<1.2;1.8>,<1.3;1.6>,<1;1.3>,<1.8;2.5>,3432,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,1303,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,771,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,493,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,863,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,3303,<0.6;0.8>,<2;3>,<5;7>,<1.2;2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.2;2>,242,<0.6;0.8>,<2;3>,<5;7>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,712,<0.6;0.8>,<2;3>,<5;7>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,1071,<0.6;0.8>,<2;3>,<5;7>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>
80,50,1503,<0.8;1>,<3;4>,<6;8>,<1.8;2.5>,<1.2;1.8>,<1.3;1.6>,<1;1.3>,<1.8;2.5>,3772,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,1381,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,1231,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,552,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,883,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,3353,<0.6;0.8>,<2;3>,<5;7>,<1.2;2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.2;2>,333,<0.6;0.8>,<2;3>,<5;7>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,741,<0.6;0.8>,<2;3>,<5;7>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,1253,<0.6;0.8>,<2;3>,<5;7>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>
81,55,1893,<0.8;1>,<3;4>,<7;9>,<1.8;2.5>,<1.2;1.8>,<1.3;1.6>,<1;1.3>,<1.8;2.5>,13,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,1772,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,1241,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,793,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,1082,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,3673,<0.6;0.8>,<3;4>,<5;7>,<1.2;2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.2;2>,503,<0.6;0.8>,<3;4>,<5;7>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,863,<0.6;0.8>,<3;4>,<5;7>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,1303,<0.6;0.8>,<3;4>,<5;7>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>
82,55,1941,<0.8;1>,<3;4>,<7;9>,<1.8;2.5>,<1.2;1.8>,<1.3;1.6>,<1;1.3>,<1.8;2.5>,273,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,1813,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,1313,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,2013,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,1293,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,7001,<0.6;0.8>,<3;4>,<5;7>,<1.2;2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.2;2>,593,<0.6;0.8>,<3;4>,<5;7>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,883,<0.6;0.8>,<3;4>,<5;7>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,1381,<0.6;0.8>,<3;4>,<5;7>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>
83,55,1951,<0.8;1>,<3;4>,<7;9>,<1.8;2.5>,<1.2;1.8>,<1.3;1.6>,<1;1.3>,<1.8;2.5>,402,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,1841,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,1393,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,2073,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,1612,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,44,<0.6;0.8>,<3;4>,<5;7>,<1.2;2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.2;2>,603,<0.6;0.8>,<3;4>,<5;7>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,1082,<0.6;0.8>,<3;4>,<5;7>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,1772,<0.6;0.8>,<3;4>,<5;7>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>
84,55,2233,<0.8;1>,<3;4>,<7;9>,<1.8;2.5>,<1.2;1.8>,<1.3;1.6>,<1;1.3>,<1.8;2.5>,493,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,1911,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,1423,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,2593,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,2033,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,53,<0.6;0.8>,<3;4>,<5;7>,<1.2;2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.2;2>,611,<0.6;0.8>,<3;4>,<5;7>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,1293,<0.6;0.8>,<3;4>,<5;7>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,1813,<0.6;0.8>,<3;4>,<5;7>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>
85,55,2401,<0.8;1>,<3;4>,<7;9>,<1.8;2.5>,<1.2;1.8>,<1.3;1.6>,<1;1.3>,<1.8;2.5>,552,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,2023,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,1503,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,2612,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,972,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,82,<0.6;0.8>,<3;4>,<5;7>,<1.2;2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.2;2>,631,<0.6;0.8>,<3;4>,<5;7>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,1612,<0.6;0.8>,<3;4>,<5;7>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,1841,<0.6;0.8>,<3;4>,<5;7>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>
86,55,2493,<0.8;1>,<3;4>,<7;9>,<1.8;2.5>,<1.2;1.8>,<1.3;1.6>,<1;1.3>,<1.8;2.5>,793,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,2242,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,1893,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,2633,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,1032,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,692,<0.6;0.8>,<3;4>,<5;7>,<1.2;2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.2;2>,641,<0.6;0.8>,<3;4>,<5;7>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,2033,<0.6;0.8>,<3;4>,<5;7>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,1911,<0.6;0.8>,<3;4>,<5;7>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>
87,55,3021,<0.8;1>,<3;4>,<7;9>,<1.8;2.5>,<1.2;1.8>,<1.3;1.6>,<1;1.3>,<1.8;2.5>,2013,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,2723,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,1941,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,2963,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,1071,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,2683,<0.6;0.8>,<3;4>,<5;7>,<1.2;2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.2;2>,712,<0.6;0.8>,<3;4>,<5;7>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,972,<0.6;0.8>,<3;4>,<5;7>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,2023,<0.6;0.8>,<3;4>,<5;7>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>
88,55,3143,<0.8;1>,<3;4>,<7;9>,<1.8;2.5>,<1.2;1.8>,<1.3;1.6>,<1;1.3>,<1.8;2.5>,2073,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,3003,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,1951,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,3283,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,1253,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,2843,<0.6;0.8>,<3;4>,<5;7>,<1.2;2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.2;2>,741,<0.6;0.8>,<3;4>,<5;7>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,1032,<0.6;0.8>,<3;4>,<5;7>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,2242,<0.6;0.8>,<3;4>,<5;7>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>
89,55,3171,<0.8;1>,<3;4>,<7;9>,<1.8;2.5>,<1.2;1.8>,<1.3;1.6>,<1;1.3>,<1.8;2.5>,2593,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,3152,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,2233,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,3293,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,1303,<0.7;0.9>,<3;4>,<6;8>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,3432,<0.6;0.8>,<3;4>,<5;7>,<1.2;2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.2;2>,863,<0.6;0.8>,<3;4>,<5;7>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,1071,<0.6;0.8>,<3;4>,<5;7>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,2723,<0.6;0.8>,<3;4>,<5;7>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>
