VariableName,group,desc_cn,desc,desc_vn,desc_en,desc_th,desc_in,desc_ph,desc_ma,weight,icon,iconBg,buffColor,buffType,attrNatureType1,attrType1,attrNum1,attrType2,attrNum2,attrNatureType3,attrType3,attrNum3,supplyType,supplyTarget,supplyNum,pointType,pointValue,passiveSkill,effectTimes,skillgroup,onlyOne,limit,changeLib,belongLib,condition
16,,,Our hero's critical damage +10%  ,Sát thương chí mạng của anh hùng của chúng tôi +10%,Our hero's critical damage +10%  ,ความเสียหายคริติคอลของฮีโร่ฝ่ายเรา +10%  ,Kerusakan kritis pahlawan kami +10%  ,Pinsalang kritikal ng aming bayani +10%  ,Kerosakan kritikal wira kami +10%  ,50,city/develop/talent/icon_bjsh.png,city/adventure/random_tower/icon/box_orange.png,effect,,,15,1000,,,,,,,,,,,,,,,,,,
17,2,,Our hero's critical damage +15%  ,Sát thương chí mạng của anh hùng của chúng tôi +15%,Our hero's critical damage +15%  ,ความเสียหายคริติคอลของฮีโร่ฝ่ายเรา +15%  ,Kerusakan kritis pahlawan kami +15%  ,Pinsalang kritikal ng aming bayani +15%  ,Kerosakan kritikal wira kami +15%  ,50,city/develop/talent/icon_bjsh.png,city/adventure/random_tower/icon/box_orange.png,effect,,,15,1500,,,,,,,,,,,,,,,3,,,
18,3,,Our hero's critical damage +20%  ,Sát thương chí mạng của anh hùng của chúng tôi +20%,Our hero's critical damage +20%  ,ความเสียหายคริติคอลของฮีโร่ฝ่ายเรา +20%  ,Kerusakan kritis pahlawan kami +20%  ,Pinsalang kritikal ng aming bayani +20%  ,Kerosakan kritikal wira kami +20%  ,50,city/develop/talent/icon_bjsh.png,city/adventure/random_tower/icon/box_orange.png,effect,,,15,2000,,,,,,,,,,,,,,TRUE,1,,,
19,1111,,Our hero's physical defense +15%  ,Phòng thủ vật lý của anh hùng của chúng tôi +15%,Our hero's physical defense +15%  ,การป้องกันทางกายภาพของฮีโร่ฝ่ายเรา +15%  ,Pertahanan fisik pahlawan kami +15%  ,Depensa sa pisikal ng aming bayani +15%  ,Pertahanan fizikal wira kami +15%  ,20,city/develop/talent/icon_wf.png,city/adventure/random_tower/icon/box_green.png,effect_lan,,,9,15%,,,,,,,,,,,,,,,,,,
20,1111,,Our hero's physical defense +20%  ,Phòng thủ vật lý của anh hùng của chúng tôi +20%,Our hero's physical defense +20%  ,การป้องกันทางกายภาพของฮีโร่ฝ่ายเรา +20%  ,Pertahanan fisik pahlawan kami +20%  ,Depensa sa pisikal ng aming bayani +20%  ,Pertahanan fizikal wira kami +20%  ,50,city/develop/talent/icon_wf.png,city/adventure/random_tower/icon/box_green.png,effect_lan,,,9,20%,,,,,,,,,,,,,,,3,,,
21,1111,,Our hero's physical defense +25%  ,Phòng thủ vật lý của anh hùng của chúng tôi +25%,Our hero's physical defense +25%  ,การป้องกันทางกายภาพของฮีโร่ฝ่ายเรา +25%  ,Pertahanan fisik pahlawan kami +25%  ,Depensa sa pisikal ng aming bayani +25%  ,Pertahanan fizikal wira kami +25%  ,10,city/develop/talent/icon_wf.png,city/adventure/random_tower/icon/box_green.png,effect_lan,,,9,25%,,,,,,,,,,,,,,TRUE,1,,,
22,1111,,Our hero's magic defense +15%  ,Phòng thủ phép của anh hùng của chúng tôi +15%,Our hero's magic defense +15%  ,การป้องกันเวทของฮีโร่ฝ่ายเรา +15%  ,Pertahanan sihir pahlawan kami +15%  ,Depensa sa mahika ng aming bayani +15%  ,Pertahanan magik wira kami +15%  ,20,city/develop/talent/icon_tf.png,city/adventure/random_tower/icon/box_purple.png,effect_lan,,,10,15%,,,,,,,,,,,,,,,,,,
23,1111,,Our hero's magic defense +20%  ,Phòng thủ phép của anh hùng của chúng tôi +20%,Our hero's magic defense +20%  ,การป้องกันเวทของฮีโร่ฝ่ายเรา +20%  ,Pertahanan sihir pahlawan kami +20%  ,Depensa sa mahika ng aming bayani +20%  ,Pertahanan magik wira kami +20%  ,50,city/develop/talent/icon_tf.png,city/adventure/random_tower/icon/box_purple.png,effect_lan,,,10,20%,,,,,,,,,,,,,,,3,,,
24,1111,,Our hero's magic defense +25%  ,Phòng thủ phép của anh hùng của chúng tôi +25%,Our hero's magic defense +25%  ,การป้องกันเวทของฮีโร่ฝ่ายเรา +25%  ,Pertahanan sihir pahlawan kami +25%  ,Depensa sa mahika ng aming bayani +25%  ,Pertahanan magik wira kami +25%  ,10,city/develop/talent/icon_tf.png,city/adventure/random_tower/icon/box_purple.png,effect_lan,,,10,25%,,,,,,,,,,,,,,TRUE,1,,,
25,,,Our hero's physical and magic defense +10%  ,Phòng thủ vật lý và phép của anh hùng của chúng tôi +10%,Our hero's physical and magic defense +10%  ,การป้องกันทางกายภาพและเวทของฮีโร่ฝ่ายเรา +10%  ,Pertahanan fisik dan sihir pahlawan kami +10%  ,Depensa sa pisikal at mahika ng aming bayani +10%  ,Pertahanan fizikal dan magik wira kami +10%  ,200,city/adventure/random_tower/icon/icon_xingxiangskill_5.png,city/adventure/random_tower/icon/box_blue.png,effect_lan,,,10,10%,9,10%,,,,,,,,,,,,,,,,
26,2,,Our hero's physical and magic defense +15%  ,Phòng thủ vật lý và phép của anh hùng của chúng tôi +15%,Our hero's physical and magic defense +15%  ,การป้องกันทางกายภาพและเวทของฮีโร่ฝ่ายเรา +15%  ,Pertahanan fisik dan sihir pahlawan kami +15%  ,Depensa sa pisikal at mahika ng aming bayani +15%  ,Pertahanan fizikal dan magik wira kami +15%  ,200,city/adventure/random_tower/icon/icon_xingxiangskill_5.png,city/adventure/random_tower/icon/box_blue.png,effect_lan,,,10,15%,9,15%,,,,,,,,,,,,,3,,,
27,3,,Our hero's physical and magic defense +20%  ,Phòng thủ vật lý và phép của anh hùng của chúng tôi +20%,Our hero's physical and magic defense +20%  ,การป้องกันทางกายภาพและเวทของฮีโร่ฝ่ายเรา +20%  ,Pertahanan fisik dan sihir pahlawan kami +20%  ,Depensa sa pisikal at mahika ng aming bayani +20%  ,Pertahanan fizikal dan magik wira kami +20%  ,200,city/adventure/random_tower/icon/icon_xingxiangskill_5.png,city/adventure/random_tower/icon/box_blue.png,effect_lan,,,10,20%,9,20%,,,,,,,,,,,,,2,,,
28,,,Our hero's damage reduction +5%  ,Giảm sát thương của anh hùng của chúng tôi +5%,Our hero's damage reduction +5%  ,การลดความเสียหายของฮีโร่ฝ่ายเรา +5%  ,Pengurangan kerusakan pahlawan kami +5%  ,Pagbawas ng pinsala ng aming bayani +5%  ,Pengurangan kerosakan wira kami +5%  ,100,city/develop/talent/icon_shjm.png,city/adventure/random_tower/icon/box_yellow.png,effect_lan,,,23,500,,,,,,,,,,,,,,,,,,
29,2,,Our hero's damage reduction +10%  ,Giảm sát thương của anh hùng của chúng tôi +10%,Our hero's damage reduction +10%  ,การลดความเสียหายของฮีโร่ฝ่ายเรา +10%  ,Pengurangan kerusakan pahlawan kami +10%  ,Pagbawas ng pinsala ng aming bayani +10%  ,Pengurangan kerosakan wira kami +10%  ,100,city/develop/talent/icon_shjm.png,city/adventure/random_tower/icon/box_yellow.png,effect_lan,,,23,1000,,,,,,,,,,,,,,,3,,,
30,3,,Our hero's damage reduction +15%  ,Giảm sát thương của anh hùng của chúng tôi +15%,Our hero's damage reduction +15%  ,การลดความเสียหายของฮีโร่ฝ่ายเรา +15%  ,Pengurangan kerusakan pahlawan kami +15%  ,Pagbawas ng pinsala ng aming bayani +15%  ,Pengurangan kerosakan wira kami +15%  ,50,city/develop/talent/icon_shjm.png,city/adventure/random_tower/icon/box_yellow.png,effect_lan,,,23,1500,,,,,,,,,,,,,,TRUE,1,,,
31,,,Our hero's resistance +10%  ,Kháng cự của anh hùng của chúng tôi +10%,Our hero's resistance +10%  ,ความต้านทานของฮีโร่ฝ่ายเรา +10%  ,Perlawanan pahlawan kami +10%  ,Paglaban ng aming bayani +10%  ,Rintangan wira kami +10%  ,50,city/adventure/random_tower/icon/icon_xingxiangskill_5.png,city/adventure/random_tower/icon/box_blue.png,effect_lan,,,17,1000,,,,,,,,,,,,,,,,,,
32,2,,Our hero's resistance +15%  ,Kháng cự của anh hùng của chúng tôi +15%,Our hero's resistance +15%  ,ความต้านทานของฮีโร่ฝ่ายเรา +15%  ,Perlawanan pahlawan kami +15%  ,Paglaban ng aming bayani +15%  ,Rintangan wira kami +15%  ,50,city/adventure/random_tower/icon/icon_xingxiangskill_5.png,city/adventure/random_tower/icon/box_blue.png,effect_lan,,,17,1500,,,,,,,,,,,,,,,,,,
33,3,,Our hero's resistance +20%  ,Kháng cự của anh hùng của chúng tôi +20%,Our hero's resistance +20%  ,ความต้านทานของฮีโร่ฝ่ายเรา +20%  ,Perlawanan pahlawan kami +20%  ,Paglaban ng aming bayani +20%  ,Rintangan wira kami +20%  ,50,city/adventure/random_tower/icon/icon_xingxiangskill_5.png,city/adventure/random_tower/icon/box_blue.png,effect_lan,,,17,2000,,,,,,,,,,,,,,,,,,
34,,,Our hero's lifesteal +4%  ,Hút máu của anh hùng của chúng tôi +4%,Our hero's lifesteal +4%  ,ดูดเลือดของฮีโร่ฝ่ายเรา +4%  ,Penghisapan darah pahlawan kami +4%  ,Pag-absorb ng dugo ng aming bayani +4%  ,Penyedutan darah wira kami +4%  ,50,city/adventure/random_tower/icon/icon_xingxiangskill_8.png,city/adventure/random_tower/icon/box_pink.png,effect_lan,,,26,400,,,,,,,,,,,,,,,,,,
35,2,,Our hero's lifesteal +8%  ,Hút máu của anh hùng của chúng tôi +8%,Our hero's lifesteal +8%  ,ดูดเลือดของฮีโร่ฝ่ายเรา +8%  ,Penghisapan darah pahlawan kami +8%  ,Pag-absorb ng dugo ng aming bayani +8%  ,Penyedutan darah wira kami +8%  ,40,city/adventure/random_tower/icon/icon_xingxiangskill_8.png,city/adventure/random_tower/icon/box_pink.png,effect_lan,,,26,800,,,,,,,,,,,,,,,,,,
36,3,,Our hero's lifesteal +10%  ,Hút máu của anh hùng của chúng tôi +10%,Our hero's lifesteal +10%  ,ดูดเลือดของฮีโร่ฝ่ายเรา +10%  ,Penghisapan darah pahlawan kami +10%  ,Pag-absorb ng dugo ng aming bayani +10%  ,Penyedutan darah wira kami +10%  ,30,city/adventure/random_tower/icon/icon_xingxiangskill_8.png,city/adventure/random_tower/icon/box_pink.png,effect_lan,,,26,1000,,,,,,,,,,,,,,,,,,
37,4,,Heal 25% HP for one hero  ,Hồi phục 25% máu cho một anh hùng,Heal 25% HP for one hero  ,ฟื้นฟู HP 25% ให้ฮีโร่หนึ่งตัว  ,Memulihkan 25% HP untuk satu pahlawan  ,Pagpapagaling ng 25% HP para sa isang bayani  ,Pulihkan 25% HP untuk seorang wira  ,20,city/adventure/random_tower/icon/icon_xingxiangskill_1.png,city/adventure/random_tower/icon/box_pink.png,,2,,,,,,,,,1,1,25,,,,,,,,,,1
38,5,,Heal 50% HP for one hero  ,Hồi phục 50% máu cho một anh hùng,Heal 50% HP for one hero  ,ฟื้นฟู HP 50% ให้ฮีโร่หนึ่งตัว  ,Memulihkan 50% HP untuk satu pahlawan  ,Pagpapagaling ng 50% HP para sa isang bayani  ,Pulihkan 50% HP untuk seorang wira  ,50,city/adventure/random_tower/icon/icon_xingxiangskill_1.png,city/adventure/random_tower/icon/box_pink.png,,2,,,,,,,,,1,1,50,,,,,,,,,,1
39,5,,Heal 100% HP for one hero  ,Hồi phục 100% máu cho một anh hùng,Heal 100% HP for one hero  ,ฟื้นฟู HP 100% ให้ฮีโร่หนึ่งตัว  ,Memulihkan 100% HP untuk satu pahlawan  ,Pagpapagaling ng 100% HP para sa isang bayani  ,Pulihkan 100% HP untuk seorang wira  ,10,city/adventure/random_tower/icon/icon_xingxiangskill_1.png,city/adventure/random_tower/icon/box_pink.png,,2,,,,,,,,,1,1,100,,,,,,,,,,1
40,4,,Heal 25% HP for one hero  ,Hồi phục 25% máu cho một anh hùng,Heal 25% HP for one hero  ,ฟื้นฟู HP 25% ให้ฮีโร่หนึ่งตัว  ,Memulihkan 25% HP untuk satu pahlawan  ,Pagpapagaling ng 25% HP para sa isang bayani  ,Pulihkan 25% HP untuk seorang wira  ,1,city/adventure/random_tower/icon/icon_xingxiangskill_1.png,city/adventure/random_tower/icon/box_pink.png,,2,,,,,,,,,1,1,25,,,,,,,,,,1
41,4,,Heal 200 energy points for one hero  ,Hồi phục 200 điểm tức cho một anh hùng,Heal 200 energy points for one hero  ,ฟื้นฟูพลังงาน 200 คะแนนให้ฮีโร่หนึ่งตัว  ,Memulihkan 200 poin energi untuk satu pahlawan  ,Pagpapagaling ng 200 puntos ng enerhiya para sa isang bayani  ,Pulihkan 200 mata tenaga untuk seorang wira  ,20,city/adventure/random_tower/icon/icon_xingxiangskill_6.png,city/adventure/random_tower/icon/box_yellow.png,,2,,,,,,,,,2,1,25,,,,,,,,,,2
42,5,,Heal 500 energy points for one hero  ,Hồi phục 500 điểm tức cho một anh hùng,Heal 500 energy points for one hero  ,ฟื้นฟูพลังงาน 500 คะแนนให้ฮีโร่หนึ่งตัว  ,Memulihkan 500 poin energi untuk satu pahlawan  ,Pagpapagaling ng 500 puntos ng enerhiya para sa isang bayani  ,Pulihkan 500 mata tenaga untuk seorang wira  ,50,city/adventure/random_tower/icon/icon_xingxiangskill_6.png,city/adventure/random_tower/icon/box_yellow.png,,2,,,,,,,,,2,1,50,,,,,,,,,,2
43,5,,Heal 1000 energy points for one hero  ,Hồi phục 1000 điểm tức cho một anh hùng,Heal 1000 energy points for one hero  ,ฟื้นฟูพลังงาน 1000 คะแนนให้ฮีโร่หนึ่งตัว  ,Memulihkan 1000 poin energi untuk satu pahlawan  ,Pagpapagaling ng 1000 puntos ng enerhiya para sa isang bayani  ,Pulihkan 1000 mata tenaga untuk seorang wira  ,10,city/adventure/random_tower/icon/icon_xingxiangskill_6.png,city/adventure/random_tower/icon/box_yellow.png,,2,,,,,,,,,2,1,100,,,,,,,,,,2
44,5,,Heal 1000 energy points for one hero  ,Hồi phục 1000 điểm tức cho một anh hùng,Heal 1000 energy points for one hero  ,ฟื้นฟูพลังงาน 1000 คะแนนให้ฮีโร่หนึ่งตัว  ,Memulihkan 1000 poin energi untuk satu pahlawan  ,Pagpapagaling ng 1000 puntos ng enerhiya para sa isang bayani  ,Pulihkan 1000 mata tenaga untuk seorang wira  ,1,city/adventure/random_tower/icon/icon_xingxiangskill_6.png,city/adventure/random_tower/icon/box_yellow.png,,2,,,,,,,,,2,1,100,,,,,,,,,,2
45,4,,Revive one hero  ,Hồi sinh một anh hùng,Revive one hero  ,ชุบชีวิตฮีโร่หนึ่งตัว  ,Menghidupkan kembali satu pahlawan  ,Pagbuhay muli ng isang bayani  ,Hidupkan kembali seorang wira  ,20,city/adventure/random_tower/icon/icon_xingxiangskill_10.png,city/adventure/random_tower/icon/box_yellow.png,,2,,,,,,,,,3,1,,,,,,,,,,,3
46,5,,Revive one hero  ,Hồi sinh một anh hùng,Revive one hero  ,ชุบชีวิตฮีโร่หนึ่งตัว  ,Menghidupkan kembali satu pahlawan  ,Pagbuhay muli ng isang bayani  ,Hidupkan kembali seorang wira  ,20,city/adventure/random_tower/icon/icon_xingxiangskill_10.png,city/adventure/random_tower/icon/box_yellow.png,,2,,,,,,,,,3,1,,,,,,,,,,,3
47,4,,Revive one hero  ,Hồi sinh một anh hùng,Revive one hero  ,ชุบชีวิตฮีโร่หนึ่งตัว  ,Menghidupkan kembali satu pahlawan  ,Pagbuhay muli ng isang bayani  ,Hidupkan kembali seorang wira  ,1,city/adventure/random_tower/icon/icon_xingxiangskill_10.png,city/adventure/random_tower/icon/box_yellow.png,,2,,,,,,,,,3,1,,,,,,,,,,,3
48,5,,Revive one hero  ,Hồi sinh một anh hùng,Revive one hero  ,ชุบชีวิตฮีโร่หนึ่งตัว  ,Menghidupkan kembali satu pahlawan  ,Pagbuhay muli ng isang bayani  ,Hidupkan kembali seorang wira  ,1,city/adventure/random_tower/icon/icon_xingxiangskill_10.png,city/adventure/random_tower/icon/box_yellow.png,,2,,,,,,,,,3,1,,,,,,,,,,,3
49,6,,Fully heal all heroes' HP in the team  ,Hồi phục toàn bộ máu của anh hùng trong đội,Fully heal all heroes' HP in the team  ,ฟื้นฟู HP เต็มของฮีโร่ทั้งหมดในทีม  ,Memulihkan seluruh HP pahlawan dalam tim  ,Buong paggaling ng HP ng mga bayani sa koponan  ,Pulihkan semua HP wira dalam pasukan  ,20,city/adventure/random_tower/icon/icon_xingxiangskill_1.png,city/adventure/random_tower/icon/box_pink.png,,2,,,,,,,,,1,2,100,,,,,,,,,,1
50,6,,Fully restore all heroes' energy in the team  ,Hồi phục toàn bộ tức của anh hùng trong đội,Fully restore all heroes' energy in the team  ,ฟื้นฟูพลังงานเต็มของฮีโร่ทั้งหมดในทีม  ,Memulihkan seluruh energi pahlawan dalam tim  ,Buong paggaling ng enerhiya ng mga bayani sa koponan  ,Pulihkan semua tenaga wira dalam pasukan  ,20,city/adventure/random_tower/icon/icon_xingxiangskill_6.png,city/adventure/random_tower/icon/box_yellow.png,,2,,,,,,,,,2,2,100,,,,,,,,,,2
51,6,,Revive one hero  ,Hồi sinh một anh hùng,Revive one hero  ,ชุบชีวิตฮีโร่หนึ่งตัว  ,Menghidupkan kembali satu pahlawan  ,Pagbuhay muli ng isang bayani  ,Hidupkan kembali seorang wira  ,1,city/adventure/random_tower/icon/icon_xingxiangskill_10.png,city/adventure/random_tower/icon/box_yellow.png,,2,,,,,,,,,3,1,,,,,,,,,,,3
52,99,,"At battle end, gain additional points = remaining turns * 2  ","Khi kết thúc trận đấu, có thể nhận thêm điểm = số lượt còn lại * 2","At battle end, gain additional points = remaining turns * 2  ",เมื่อจบการต่อสู้ รับคะแนนเพิ่ม = จำนวนรอบที่เหลือ * 2  ,"Di akhir pertempuran, dapatkan poin tambahan = giliran tersisa * 2  ","Sa pagtatapos ng laban, makakakuha ng karagdagang puntos = natitirang mga turn * 2  ","Pada akhir pertempuran, dapatkan mata tambahan = giliran tinggal * 2  ",,city/adventure/random_tower/icon_jf.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,3,,,,,,,,,,,,1,2,,,,TRUE,,,,
53,99,,"At battle end, gain additional points = number of surviving heroes * 1  ","Khi kết thúc trận đấu, có thể nhận thêm điểm = số anh hùng còn sống * 1","At battle end, gain additional points = number of surviving heroes * 1  ",เมื่อจบการต่อสู้ รับคะแนนเพิ่ม = จำนวนฮีโร่ที่รอดชีวิต * 1  ,"Di akhir pertempuran, dapatkan poin tambahan = jumlah pahlawan yang masih hidup * 1  ","Sa pagtatapos ng laban, makakakuha ng karagdagang puntos = bilang ng mga bayani na buhay pa * 1  ","Pada akhir pertempuran, dapatkan mata tambahan = bilangan wira yang hidup * 1  ",10,city/adventure/random_tower/icon_jf.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,3,,,,,,,,,,,,2,1,,,,TRUE,,,,
