VariableName,levelStart,levelEnd,monsters1,monsters2,rangeFixs
Defaults,1,101,,,<>
ID,基准等级下限（大于等于）,基准等级上限（小于）,怪物队伍1(cardsID),怪物队伍2(cardsID),段位
1036,1,101,<593;242;1903;3683;3472;2963>,<1071;972;883;1612;863;1032>,<23;24;25;26;27>
1037,1,101,<603;333;1931;731;3511;3283>,<1253;1032;1082;2033;883;1071>,<23;24;25;26;27>
1038,1,101,<611;503;3543;1221;3683;3293>,<1303;1071;1293;972;1082;1253>,<23;24;25;26;27>
1039,1,101,<631;593;163;1903;731;3342>,<1381;1253;1612;1032;1293;1303>,<23;24;25;26;27>
1040,1,101,<641;603;242;1931;1221;3472>,<1772;1303;2033;1071;1612;1381>,<23;24;25;26;27>
1041,1,101,<712;611;333;3543;1903;3511>,<1813;1381;972;1253;2033;1772>,<23;24;25;26;27>
1042,1,101,<741;631;503;163;1931;3683>,<1841;1772;1032;1303;972;1813>,<23;24;25;26;27>
1043,1,101,<863;641;593;242;3543;731>,<1911;1813;1071;1381;1032;1841>,<23;24;25;26;27>
1044,1,101,<883;712;603;333;163;1221>,<2023;1841;1253;1772;1071;1911>,<23;24;25;26;27>
1045,1,101,<1082;741;611;503;242;1903>,<2242;1911;1303;1813;1253;2023>,<23;24;25;26;27>
1046,1,101,<1293;863;631;593;333;1931>,<2723;2023;1381;1841;1303;2242>,<23;24;25;26;27>
1047,1,101,<1612;883;641;603;503;3543>,<3003;2242;1772;1911;1381;2723>,<23;24;25;26;27>
1048,1,101,<2033;1082;712;611;593;163>,<3152;2723;1813;2023;1772;3003>,<23;24;25;26;27>
1049,1,101,<972;1293;741;631;603;242>,<3161;3003;1841;2242;1813;3152>,<23;24;25;26;27>
1050,1,101,<1032;1612;863;641;611;333>,<3181;3152;1911;2723;1841;3161>,<23;24;25;26;27>
1051,1,101,<1071;2033;883;712;631;503>,<3251;3161;2023;3003;1911;3181>,<23;24;25;26;27>
1052,1,101,<1253;972;1082;741;641;593>,<3592;3181;2242;3152;2023;3251>,<23;24;25;26;27>
1053,1,101,<1303;1032;1293;863;712;603>,<3663;3251;2723;3161;2242;3592>,<23;24;25;26;27>
1054,1,101,<1381;1071;1612;883;741;611>,<263;3592;3003;3181;2723;3663>,<23;24;25;26;27>
1055,1,101,<1772;1253;2033;1082;863;631>,<393;3663;3152;3251;3003;263>,<23;24;25;26;27>
1056,1,101,<1813;1303;972;1293;883;641>,<572;263;3161;3592;3152;393>,<23;24;25;26;27>
1057,1,101,<1841;1381;1032;1612;1082;712>,<701;393;3181;3663;3161;572>,<23;24;25;26;27>
1058,1,101,<1911;1772;1071;2033;1293;741>,<721;572;3251;263;3181;701>,<23;24;25;26;27>
1059,1,101,<2023;1813;1253;972;1612;863>,<771;701;3592;393;3251;721>,<23;24;25;26;27>
1060,1,101,<2242;1841;1303;1032;2033;883>,<1231;721;3663;572;3592;771>,<23;24;25;26;27>
1061,1,101,<2723;1911;1381;1071;972;1082>,<1241;771;263;701;3663;1231>,<23;24;25;26;27>
1062,1,101,<3003;2023;1772;1253;1032;1293>,<1313;1231;393;721;263;1241>,<23;24;25;26;27>
1063,1,101,<3152;2242;1813;1303;1071;1612>,<1393;1241;572;771;393;1313>,<23;24;25;26;27>
1064,1,101,<3161;2723;1841;1381;1253;2033>,<1423;1313;701;1231;572;1393>,<23;24;25;26;27>
1065,1,101,<3181;3003;1911;1772;1303;972>,<1503;1393;721;1241;701;1423>,<23;24;25;26;27>
1066,1,101,<3251;3152;2023;1813;1381;1032>,<1893;1423;771;1313;721;1503>,<23;24;25;26;27>
1067,1,101,<3592;3161;2242;1841;1772;1071>,<1941;1503;1231;1393;771;1893>,<23;24;25;26;27>
1068,1,101,<3663;3181;2723;1911;1813;1253>,<1951;1893;1241;1423;1231;1941>,<23;24;25;26;27>
1069,1,101,<263;3251;3003;2023;1841;1303>,<2233;1941;1313;1503;1241;1951>,<23;24;25;26;27>
1070,1,101,<393;3592;3152;2242;1911;1381>,<2401;1951;1393;1893;1313;2233>,<23;24;25;26;27>
1071,1,101,<572;3663;3161;2723;2023;1772>,<2493;2233;1423;1941;1393;2401>,<23;24;25;26;27>
1072,1,101,<701;263;3181;3003;2242;1813>,<3021;2401;1503;1951;1423;2493>,<23;24;25;26;27>
1073,1,101,<721;393;3251;3152;2723;1841>,<3143;2493;1893;2233;1503;3021>,<23;24;25;26;27>
1074,1,101,<771;572;3592;3161;3003;1911>,<3171;3021;1941;2401;1893;3143>,<23;24;25;26;27>
1075,1,101,<1231;701;3663;3181;3152;2023>,<3303;3143;1951;2493;1941;3171>,<23;24;25;26;27>
1076,1,101,<1241;721;263;3251;3161;2242>,<3353;3171;2233;3021;1951;3303>,<23;24;25;26;27>
1077,1,101,<1313;771;393;3592;3181;2723>,<3673;3303;2401;3143;2233;3353>,<23;24;25;26;27>
1078,1,101,<1393;1231;572;3663;3251;3003>,<7001;3353;2493;3171;2401;3673>,<23;24;25;26;27>
1079,1,101,<1423;1241;701;263;3592;3152>,<44;3673;3021;3303;2493;7001>,<23;24;25;26;27>
1080,1,101,<1503;1313;721;393;3663;3161>,<53;7001;3143;3353;3021;44>,<23;24;25;26;27>
1081,1,101,<1893;1393;771;572;263;3181>,<82;44;3171;3673;3143;53>,<23;24;25;26;27>
1082,1,101,<1941;1423;1231;701;393;3251>,<692;53;3303;7001;3171;82>,<23;24;25;26;27>
1083,1,101,<1951;1503;1241;721;572;3592>,<2683;82;3353;44;3303;692>,<23;24;25;26;27>
1084,1,101,<2233;1893;1313;771;701;3663>,<2843;692;3673;53;3353;2683>,<23;24;25;26;27>
1085,1,101,<2401;1941;1393;1231;721;263>,<3432;2683;7001;82;3673;2843>,<23;24;25;26;27>
1086,1,101,<2493;1951;1423;1241;771;393>,<3772;2843;44;692;7001;3432>,<23;24;25;26;27>
1087,1,101,<3021;2233;1503;1313;1231;572>,<13;3432;53;2683;44;3772>,<23;24;25;26;27>
1088,1,101,<3143;2401;1893;1393;1241;701>,<273;3772;82;2843;53;13>,<23;24;25;26;27>
1089,1,101,<3171;2493;1941;1423;1313;721>,<402;13;692;3432;82;273>,<23;24;25;26;27>
1090,1,101,<3303;3021;1951;1503;1393;771>,<493;273;2683;3772;692;402>,<23;24;25;26;27>
1091,1,101,<3353;3143;2233;1893;1423;1231>,<552;402;2843;13;2683;493>,<23;24;25;26;27>
1092,1,101,<3673;3171;2401;1941;1503;1241>,<793;493;3432;273;2843;552>,<23;24;25;26;27>
1093,1,101,<7001;3303;2493;1951;1893;1313>,<2013;552;3772;402;3432;793>,<23;24;25;26;27>
1094,1,101,<44;3353;3021;2233;1941;1393>,<2073;793;13;493;3772;2013>,<23;24;25;26;27>
1095,1,101,<53;3673;3143;2401;1951;1423>,<2593;2013;273;552;13;2073>,<23;24;25;26;27>
1096,1,101,<82;7001;3171;2493;2233;1503>,<2612;2073;402;793;273;2593>,<23;24;25;26;27>
1097,1,101,<692;44;3303;3021;2401;1893>,<2633;2593;493;2013;402;2612>,<23;24;25;26;27>
1098,1,101,<2683;53;3353;3143;2493;1941>,<2963;2612;552;2073;493;2633>,<23;24;25;26;27>
1099,1,101,<2843;82;3673;3171;3021;1951>,<3283;2633;793;2593;552;2963>,<23;24;25;26;27>
1100,1,101,<3432;692;7001;3303;3143;2233>,<3293;2963;2013;2612;793;3283>,<23;24;25;26;27>
1101,1,101,<3772;2683;44;3353;3171;2401>,<3342;3283;2073;2633;2013;3293>,<23;24;25;26;27>
1102,1,101,<13;2843;53;3673;3303;2493>,<3472;3293;2593;2963;2073;3342>,<23;24;25;26;27>
1103,1,101,<273;3432;82;7001;3353;3021>,<3511;3342;2612;3283;2593;3472>,<23;24;25;26;27>
1104,1,101,<402;3772;692;44;3673;3143>,<3683;3472;2633;3293;2612;3511>,<23;24;25;26;27>
1105,1,101,<493;13;2683;53;7001;3171>,<731;3511;2963;3342;2633;3683>,<23;24;25;26;27>
1106,1,101,<552;273;2843;82;44;3303>,<1221;3683;3283;3472;2963;731>,<23;24;25;26;27>
1107,1,101,<793;402;3432;692;53;3353>,<1903;731;3293;3511;3283;1221>,<23;24;25;26;27>
1108,1,101,<2013;493;3772;2683;82;3673>,<1931;1221;3342;3683;3293;1903>,<23;24;25;26;27>
1109,1,101,<2073;552;13;2843;692;7001>,<3543;1903;3472;731;3342;1931>,<23;24;25;26;27>
1110,1,101,<2593;793;273;3432;2683;44>,<163;1931;3511;1221;3472;3543>,<23;24;25;26;27>
1111,1,101,<2612;2013;402;3772;2843;53>,<242;3543;3683;1903;3511;163>,<23;24;25;26;27>
1112,1,101,<2633;2073;493;13;3432;82>,<333;163;731;1931;3683;242>,<23;24;25;26;27>
1113,1,101,<2963;2593;552;273;3772;692>,<503;242;1221;3543;731;333>,<23;24;25;26;27>
1114,1,101,<3283;2612;793;402;13;2683>,<593;333;1903;163;1221;503>,<23;24;25;26;27>
1115,1,101,<3293;2633;2013;493;273;2843>,<603;503;1931;242;1903;593>,<23;24;25;26;27>
1116,1,101,<3342;2963;2073;552;402;3432>,<611;593;3543;333;1931;603>,<23;24;25;26;27>
1117,1,101,<3472;3283;2593;793;493;3772>,<631;603;163;503;3543;611>,<23;24;25;26;27>
1118,1,101,<3511;3293;2612;2013;552;13>,<641;611;242;593;163;631>,<23;24;25;26;27>
1119,1,101,<3683;3342;2633;2073;793;273>,<712;631;333;603;242;641>,<23;24;25;26;27>
1120,1,101,<731;3472;2963;2593;2013;402>,<741;641;503;611;333;712>,<23;24;25;26;27>
1121,1,101,<1221;3511;3283;2612;2073;493>,<863;712;593;631;503;741>,<23;24;25;26;27>
1122,1,101,<1903;3683;3293;2633;2593;552>,<883;741;603;641;593;863>,<23;24;25;26;27>
1123,1,101,<1931;731;3342;2963;2612;793>,<1082;863;611;712;603;883>,<23;24;25;26;27>
1124,1,101,<3543;1221;3472;3283;2633;2013>,<1293;883;631;741;611;1082>,<23;24;25;26;27>
1125,1,101,<163;1903;3511;3293;2963;2073>,<1612;1082;641;863;631;1293>,<23;24;25;26;27>
1126,1,101,<242;1931;3683;3342;3283;2593>,<2033;1293;712;883;641;1612>,<23;24;25;26;27>
1127,1,101,<333;3543;731;3472;3293;2612>,<972;1612;741;1082;712;2033>,<23;24;25;26;27>
1128,1,101,<503;163;1221;3511;3342;2633>,<1032;2033;863;1293;741;972>,<23;24;25;26;27>
1129,1,101,<593;242;1903;3683;3472;2963>,<1071;972;883;1612;863;1032>,<23;24;25;26;27>
1130,1,101,<603;333;1931;731;3511;3283>,<1253;1032;1082;2033;883;1071>,<23;24;25;26;27>
1131,1,101,<611;503;3543;1221;3683;3293>,<1303;1071;1293;972;1082;1253>,<23;24;25;26;27>
1132,1,101,<631;593;163;1903;731;3342>,<1381;1253;1612;1032;1293;1303>,<23;24;25;26;27>
1133,1,101,<641;603;242;1931;1221;3472>,<1772;1303;2033;1071;1612;1381>,<23;24;25;26;27>
1134,1,101,<712;611;333;3543;1903;3511>,<1813;1381;972;1253;2033;1772>,<23;24;25;26;27>
1135,1,101,<741;631;503;163;1931;3683>,<1841;1772;1032;1303;972;1813>,<23;24;25;26;27>
1136,1,101,<863;641;593;242;3543;731>,<1911;1813;1071;1381;1032;1841>,<23;24;25;26;27>
1137,1,101,<883;712;603;333;163;1221>,<2023;1841;1253;1772;1071;1911>,<23;24;25;26;27>
1138,1,101,<1082;741;611;503;242;1903>,<2242;1911;1303;1813;1253;2023>,<23;24;25;26;27>
1139,1,101,<1293;863;631;593;333;1931>,<2723;2023;1381;1841;1303;2242>,<23;24;25;26;27>
1140,1,101,<1612;883;641;603;503;3543>,<3003;2242;1772;1911;1381;2723>,<23;24;25;26;27>
1141,1,101,<2033;1082;712;611;593;163>,<3152;2723;1813;2023;1772;3003>,<23;24;25;26;27>
1142,1,101,<972;1293;741;631;603;242>,<3161;3003;1841;2242;1813;3152>,<23;24;25;26;27>
1143,1,101,<1032;1612;863;641;611;333>,<3181;3152;1911;2723;1841;3161>,<23;24;25;26;27>
1144,1,101,<1071;2033;883;712;631;503>,<3251;3161;2023;3003;1911;3181>,<23;24;25;26;27>
1145,1,101,<1253;972;1082;741;641;593>,<3592;3181;2242;3152;2023;3251>,<23;24;25;26;27>
1146,1,101,<1303;1032;1293;863;712;603>,<3663;3251;2723;3161;2242;3592>,<23;24;25;26;27>
1147,1,101,<1381;1071;1612;883;741;611>,<263;3592;3003;3181;2723;3663>,<23;24;25;26;27>
1148,1,101,<1772;1253;2033;1082;863;631>,<393;3663;3152;3251;3003;263>,<23;24;25;26;27>
1149,1,101,<1813;1303;972;1293;883;641>,<572;263;3161;3592;3152;393>,<23;24;25;26;27>
1150,1,101,<1841;1381;1032;1612;1082;712>,<701;393;3181;3663;3161;572>,<23;24;25;26;27>
1151,1,101,<1911;1772;1071;2033;1293;741>,<721;572;3251;263;3181;701>,<23;24;25;26;27>
1152,1,101,<2023;1813;1253;972;1612;863>,<771;701;3592;393;3251;721>,<23;24;25;26;27>
1153,1,101,<2242;1841;1303;1032;2033;883>,<1231;721;3663;572;3592;771>,<23;24;25;26;27>
1154,1,101,<2723;1911;1381;1071;972;1082>,<1241;771;263;701;3663;1231>,<23;24;25;26;27>
1155,1,101,<3003;2023;1772;1253;1032;1293>,<1313;1231;393;721;263;1241>,<23;24;25;26;27>
1156,1,101,<3152;2242;1813;1303;1071;1612>,<1393;1241;572;771;393;1313>,<23;24;25;26;27>
1157,1,101,<3161;2723;1841;1381;1253;2033>,<1423;1313;701;1231;572;1393>,<23;24;25;26;27>
1158,1,101,<3181;3003;1911;1772;1303;972>,<1503;1393;721;1241;701;1423>,<23;24;25;26;27>
1159,1,101,<3251;3152;2023;1813;1381;1032>,<1893;1423;771;1313;721;1503>,<23;24;25;26;27>
1160,1,101,<3592;3161;2242;1841;1772;1071>,<1941;1503;1231;1393;771;1893>,<23;24;25;26;27>
1161,1,101,<3663;3181;2723;1911;1813;1253>,<1951;1893;1241;1423;1231;1941>,<23;24;25;26;27>
1162,1,101,<263;3251;3003;2023;1841;1303>,<2233;1941;1313;1503;1241;1951>,<23;24;25;26;27>
1163,1,101,<393;3592;3152;2242;1911;1381>,<2401;1951;1393;1893;1313;2233>,<23;24;25;26;27>
1164,1,101,<572;3663;3161;2723;2023;1772>,<2493;2233;1423;1941;1393;2401>,<23;24;25;26;27>
1165,1,101,<701;263;3181;3003;2242;1813>,<3021;2401;1503;1951;1423;2493>,<23;24;25;26;27>
1166,1,101,<721;393;3251;3152;2723;1841>,<3143;2493;1893;2233;1503;3021>,<23;24;25;26;27>
1167,1,101,<771;572;3592;3161;3003;1911>,<3171;3021;1941;2401;1893;3143>,<23;24;25;26;27>
1168,1,101,<1231;701;3663;3181;3152;2023>,<3303;3143;1951;2493;1941;3171>,<23;24;25;26;27>
1169,1,101,<1241;721;263;3251;3161;2242>,<3353;3171;2233;3021;1951;3303>,<23;24;25;26;27>
1170,1,101,<1313;771;393;3592;3181;2723>,<3673;3303;2401;3143;2233;3353>,<23;24;25;26;27>
1171,1,101,<1393;1231;572;3663;3251;3003>,<7001;3353;2493;3171;2401;3673>,<23;24;25;26;27>
1172,1,101,<1423;1241;701;263;3592;3152>,<44;3673;3021;3303;2493;7001>,<23;24;25;26;27>
1173,1,101,<1503;1313;721;393;3663;3161>,<53;7001;3143;3353;3021;44>,<23;24;25;26;27>
1174,1,101,<1893;1393;771;572;263;3181>,<82;44;3171;3673;3143;53>,<23;24;25;26;27>
1175,1,101,<1941;1423;1231;701;393;3251>,<692;53;3303;7001;3171;82>,<23;24;25;26;27>
1176,1,101,<1951;1503;1241;721;572;3592>,<2683;82;3353;44;3303;692>,<23;24;25;26;27>
1177,1,101,<2233;1893;1313;771;701;3663>,<2843;692;3673;53;3353;2683>,<23;24;25;26;27>
1178,1,101,<2401;1941;1393;1231;721;263>,<3432;2683;7001;82;3673;2843>,<23;24;25;26;27>
1179,1,101,<2493;1951;1423;1241;771;393>,<3772;2843;44;692;7001;3432>,<23;24;25;26;27>
1180,1,101,<3021;2233;1503;1313;1231;572>,<13;3432;53;2683;44;3772>,<23;24;25;26;27>
1181,1,101,<3143;2401;1893;1393;1241;701>,<273;3772;82;2843;53;13>,<23;24;25;26;27>
1182,1,101,<3171;2493;1941;1423;1313;721>,<402;13;692;3432;82;273>,<23;24;25;26;27>
1183,1,101,<3303;3021;1951;1503;1393;771>,<493;273;2683;3772;692;402>,<23;24;25;26;27>
1184,1,101,<3353;3143;2233;1893;1423;1231>,<552;402;2843;13;2683;493>,<23;24;25;26;27>
1185,1,101,<3673;3171;2401;1941;1503;1241>,<793;493;3432;273;2843;552>,<23;24;25;26;27>
1186,1,101,<7001;3303;2493;1951;1893;1313>,<2013;552;3772;402;3432;793>,<23;24;25;26;27>
1187,1,101,<44;3353;3021;2233;1941;1393>,<2073;793;13;493;3772;2013>,<23;24;25;26;27>
1188,1,101,<53;3673;3143;2401;1951;1423>,<2593;2013;273;552;13;2073>,<23;24;25;26;27>
1189,1,101,<82;7001;3171;2493;2233;1503>,<2612;2073;402;793;273;2593>,<23;24;25;26;27>
1190,1,101,<692;44;3303;3021;2401;1893>,<2633;2593;493;2013;402;2612>,<23;24;25;26;27>
1191,1,101,<2683;53;3353;3143;2493;1941>,<2963;2612;552;2073;493;2633>,<23;24;25;26;27>
1192,1,101,<2843;82;3673;3171;3021;1951>,<3283;2633;793;2593;552;2963>,<23;24;25;26;27>
1193,1,101,<3432;692;7001;3303;3143;2233>,<3293;2963;2013;2612;793;3283>,<23;24;25;26;27>
1194,1,101,<3772;2683;44;3353;3171;2401>,<3342;3283;2073;2633;2013;3293>,<23;24;25;26;27>
1195,1,101,<13;2843;53;3673;3303;2493>,<3472;3293;2593;2963;2073;3342>,<23;24;25;26;27>
1196,1,101,<273;3432;82;7001;3353;3021>,<3511;3342;2612;3283;2593;3472>,<23;24;25;26;27>
1197,1,101,<402;3772;692;44;3673;3143>,<3683;3472;2633;3293;2612;3511>,<23;24;25;26;27>
1198,1,101,<493;13;2683;53;7001;3171>,<731;3511;2963;3342;2633;3683>,<23;24;25;26;27>
1199,1,101,<552;273;2843;82;44;3303>,<1221;3683;3283;3472;2963;731>,<23;24;25;26;27>
1200,1,101,<793;402;3432;692;53;3353>,<1903;731;3293;3511;3283;1221>,<23;24;25;26;27>
1201,1,101,<2013;493;3772;2683;82;3673>,<1931;1221;3342;3683;3293;1903>,<18;19;20;21;22>
1202,1,101,<2073;552;13;2843;692;7001>,<3543;1903;3472;731;3342;1931>,<18;19;20;21;22>
1203,1,101,<2593;793;273;3432;2683;44>,<163;1931;3511;1221;3472;3543>,<18;19;20;21;22>
1204,1,101,<2612;2013;402;3772;2843;53>,<242;3543;3683;1903;3511;163>,<18;19;20;21;22>
1205,1,101,<2633;2073;493;13;3432;82>,<333;163;731;1931;3683;242>,<18;19;20;21;22>
1206,1,101,<2963;2593;552;273;3772;692>,<503;242;1221;3543;731;333>,<18;19;20;21;22>
1207,1,101,<3283;2612;793;402;13;2683>,<593;333;1903;163;1221;503>,<18;19;20;21;22>
1208,1,101,<3293;2633;2013;493;273;2843>,<603;503;1931;242;1903;593>,<18;19;20;21;22>
1209,1,101,<3342;2963;2073;552;402;3432>,<611;593;3543;333;1931;603>,<18;19;20;21;22>
1210,1,101,<3472;3283;2593;793;493;3772>,<631;603;163;503;3543;611>,<18;19;20;21;22>
1211,1,101,<3511;3293;2612;2013;552;13>,<641;611;242;593;163;631>,<18;19;20;21;22>
1212,1,101,<3683;3342;2633;2073;793;273>,<712;631;333;603;242;641>,<18;19;20;21;22>
1213,1,101,<731;3472;2963;2593;2013;402>,<741;641;503;611;333;712>,<18;19;20;21;22>
1214,1,101,<1221;3511;3283;2612;2073;493>,<863;712;593;631;503;741>,<18;19;20;21;22>
1215,1,101,<1903;3683;3293;2633;2593;552>,<883;741;603;641;593;863>,<18;19;20;21;22>
1216,1,101,<1931;731;3342;2963;2612;793>,<1082;863;611;712;603;883>,<18;19;20;21;22>
1217,1,101,<3543;1221;3472;3283;2633;2013>,<1293;883;631;741;611;1082>,<18;19;20;21;22>
1218,1,101,<163;1903;3511;3293;2963;2073>,<1612;1082;641;863;631;1293>,<18;19;20;21;22>
1219,1,101,<242;1931;3683;3342;3283;2593>,<2033;1293;712;883;641;1612>,<18;19;20;21;22>
1220,1,101,<333;3543;731;3472;3293;2612>,<972;1612;741;1082;712;2033>,<18;19;20;21;22>
1221,1,101,<503;163;1221;3511;3342;2633>,<1032;2033;863;1293;741;972>,<18;19;20;21;22>
1222,1,101,<593;242;1903;3683;3472;2963>,<1071;972;883;1612;863;1032>,<18;19;20;21;22>
1223,1,101,<603;333;1931;731;3511;3283>,<1253;1032;1082;2033;883;1071>,<18;19;20;21;22>
1224,1,101,<611;503;3543;1221;3683;3293>,<1303;1071;1293;972;1082;1253>,<18;19;20;21;22>
1225,1,101,<631;593;163;1903;731;3342>,<1381;1253;1612;1032;1293;1303>,<18;19;20;21;22>
1226,1,101,<641;603;242;1931;1221;3472>,<1772;1303;2033;1071;1612;1381>,<18;19;20;21;22>
1227,1,101,<712;611;333;3543;1903;3511>,<1813;1381;972;1253;2033;1772>,<18;19;20;21;22>
1228,1,101,<741;631;503;163;1931;3683>,<1841;1772;1032;1303;972;1813>,<18;19;20;21;22>
1229,1,101,<863;641;593;242;3543;731>,<1911;1813;1071;1381;1032;1841>,<18;19;20;21;22>
1230,1,101,<883;712;603;333;163;1221>,<2023;1841;1253;1772;1071;1911>,<18;19;20;21;22>
1231,1,101,<1082;741;611;503;242;1903>,<2242;1911;1303;1813;1253;2023>,<18;19;20;21;22>
1232,1,101,<1293;863;631;593;333;1931>,<2723;2023;1381;1841;1303;2242>,<18;19;20;21;22>
1233,1,101,<1612;883;641;603;503;3543>,<3003;2242;1772;1911;1381;2723>,<18;19;20;21;22>
1234,1,101,<2033;1082;712;611;593;163>,<3152;2723;1813;2023;1772;3003>,<18;19;20;21;22>
1235,1,101,<972;1293;741;631;603;242>,<3161;3003;1841;2242;1813;3152>,<18;19;20;21;22>
1236,1,101,<1032;1612;863;641;611;333>,<3181;3152;1911;2723;1841;3161>,<18;19;20;21;22>
1237,1,101,<1071;2033;883;712;631;503>,<3251;3161;2023;3003;1911;3181>,<18;19;20;21;22>
1238,1,101,<1253;972;1082;741;641;593>,<3592;3181;2242;3152;2023;3251>,<18;19;20;21;22>
1239,1,101,<1303;1032;1293;863;712;603>,<3663;3251;2723;3161;2242;3592>,<18;19;20;21;22>
1240,1,101,<1381;1071;1612;883;741;611>,<263;3592;3003;3181;2723;3663>,<18;19;20;21;22>
1241,1,101,<1772;1253;2033;1082;863;631>,<393;3663;3152;3251;3003;263>,<18;19;20;21;22>
1242,1,101,<1813;1303;972;1293;883;641>,<572;263;3161;3592;3152;393>,<18;19;20;21;22>
1243,1,101,<1841;1381;1032;1612;1082;712>,<701;393;3181;3663;3161;572>,<18;19;20;21;22>
1244,1,101,<1911;1772;1071;2033;1293;741>,<721;572;3251;263;3181;701>,<18;19;20;21;22>
1245,1,101,<2023;1813;1253;972;1612;863>,<771;701;3592;393;3251;721>,<18;19;20;21;22>
1246,1,101,<2242;1841;1303;1032;2033;883>,<1231;721;3663;572;3592;771>,<18;19;20;21;22>
1247,1,101,<2723;1911;1381;1071;972;1082>,<1241;771;263;701;3663;1231>,<18;19;20;21;22>
1248,1,101,<3003;2023;1772;1253;1032;1293>,<1313;1231;393;721;263;1241>,<18;19;20;21;22>
1249,1,101,<3152;2242;1813;1303;1071;1612>,<1393;1241;572;771;393;1313>,<18;19;20;21;22>
1250,1,101,<3161;2723;1841;1381;1253;2033>,<1423;1313;701;1231;572;1393>,<18;19;20;21;22>
1251,1,101,<3181;3003;1911;1772;1303;972>,<1503;1393;721;1241;701;1423>,<18;19;20;21;22>
