VariableName,_beizhu,cardID,unitID,desc,rarity,level,star,advance,skillLevels,skills,abilities,nvalue,fetters,equipAdvance,equipStar,equipLevel,equipAwake,hp,damage,specialDamage,defence,specialDefence,speed,strikeLevel,strikeDamage,strikeResistance,blockLevel,breakBlockLevel,blockPower,damageAdd,damageSub,mainSkillAdd,mainSkillSub,controlPer,immuneControl,suckBlood,rebound,languages
271,,271,271,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,,272,272,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,,273,273,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,,281,281,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,,282,282,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,,283,283,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,,301,301,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,,302,302,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,,303,303,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,,331,331,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,,332,332,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,,333,333,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,,341,341,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,,351,351,Thẻ dự phòng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,,352,352,Thẻ dự phòng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,,371,371,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,,372,372,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,,381,381,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,,382,382,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,,391,391,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,,392,392,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,,393,393,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,,394,394,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,,401,401,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,,402,402,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,,451,451,Thẻ dự phòng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,,452,452,Thẻ dự phòng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,,461,461,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,,462,462,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,,463,463,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,,464,464,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,,471,471,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,,472,472,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,,481,481,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,,482,482,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,,491,491,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,,492,492,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,,493,493,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,,501,501,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,,502,502,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,,503,503,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,,541,541,Thẻ dự phòng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,,542,542,Thẻ dự phòng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,,551,551,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,,552,552,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571,,571,571,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
572,,572,572,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,,574,574,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,,591,591,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,,592,592,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,,593,593,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,,601,601,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,,602,602,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,,603,603,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631,,631,632,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,,641,641,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
691,,691,691,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692,,692,692,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701,,701,701,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
711,,711,711,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712,,712,712,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,,721,721,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731,,731,731,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
741,,741,741,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
753,,753,753,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
761,,761,761,Thẻ dự phòng,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
771,,771,771,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
781,,781,781,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
782,,782,782,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
783,,783,783,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
791,,791,791,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
792,,792,792,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
793,,793,793,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,,801,801,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
802,,802,802,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,,803,803,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
861,,861,861,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
862,,862,862,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
863,,863,863,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
881,,881,881,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
882,,882,882,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883,,883,883,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
884,,884,884,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,,891,891,Thẻ dự phòng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892,,892,892,Thẻ dự phòng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
893,,893,893,Thẻ dự phòng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1031,,1031,1031,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1032,,1032,1032,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1071,,1071,1071,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1081,,1081,1081,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1082,,1082,1082,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1171,,1171,1171,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1172,,1172,1172,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1221,,1221,1221,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1231,,1231,1231,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241,,1241,1241,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1251,,1251,1251,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1252,,1252,1252,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1253,,1253,1253,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1261,,1261,1261,Thẻ dự phòng,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1271,,1271,1271,Thẻ dự phòng,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291,,1291,1291,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1292,,1292,1292,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1293,,1293,1293,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1301,,1301,1301,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1302,,1302,1302,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1303,,1303,1303,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1311,,1311,1311,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1312,,1312,1312,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1313,,1313,1313,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1314,,1314,1314,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1351,,1351,1351,Thẻ dự phòng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1352,,1352,1352,Thẻ dự phòng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1353,,1353,1353,Thẻ dự phòng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1391,,1391,1391,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1392,,1392,1392,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1393,,1393,1393,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1394,,1394,1394,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1396,,1396,1396,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1421,,1421,1421,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1422,,1422,1422,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1423,,1423,1423,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1441,,1441,1441,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1442,,1442,1442,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1443,,1443,1443,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1501,,1501,1501,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1502,,1502,1502,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1503,,1503,1503,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1611,,1611,1611,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1612,,1612,1612,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1771,,1771,1771,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1772,,1772,1772,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1801,,1801,1801,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1802,,1802,1802,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1811,,1811,1811,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1812,,1812,1812,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1813,,1813,1813,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1841,,1841,1841,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1851,,1851,1851,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852,,1852,1852,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1853,,1853,1853,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1861,,1861,1861,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1862,,1862,1862,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1863,,1863,1863,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1891,,1891,1891,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1892,,1892,1892,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1893,,1893,1893,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901,,1901,1901,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902,,1902,1902,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1903,,1903,1903,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1911,,1911,1911,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,,1921,1921,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931,,1931,1931,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,,1941,1941,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951,,1951,1951,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,,1961,1961,Thẻ dự phòng,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,,1971,1971,Thẻ dự phòng,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,,1981,1981,Thẻ dự phòng,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,,1982,1982,Thẻ dự phòng,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,,1991,1991,Thẻ dự phòng,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,2011,2011,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,2012,2012,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,2013,2013,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2031,,2031,2031,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2032,,2032,2032,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2033,,2033,2033,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2071,,2071,2071,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2072,,2072,2072,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2073,,2073,2073,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2231,,2231,2231,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2232,,2232,2232,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2233,,2233,2233,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2241,,2241,2241,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2242,,2242,2242,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2271,,2271,2271,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2272,,2272,2272,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2301,,2301,2301,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2302,,2302,2302,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2303,,2303,2303,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2351,,2351,2351,Thẻ dự phòng,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2361,,2361,2361,Thẻ dự phòng,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2381,,2381,2381,Thẻ dự phòng,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
