VariableName,type,targetType,targetType2,targetArg,targetArg2,yyID,point,award,isShow,sort,title_cn,title_tw,title,title_vn,title_en,title_th,title_in,title_ph,title_ma,desc_cn,desc_tw,desc,desc_vn,desc_en,desc_th,desc_in,desc_ph,desc_ma,jumpTo,languages
1013,1,3,3,20,,,10,{453=10;rmb=10},,,,,Enhanced Training,Huấn luyện tăng cường,Enhanced Training,การฝึกอบรมเพิ่มพูน,Latihan Ditingkatkan,Pagsasanay na Pinahusay,Latihan Ditingkatkan,,,Total Privilege Attribute Points Reach 20,Tổng cấp điểm thuộc tính đặc quyền đạt 20,Total Privilege Attribute Points Reach 20,แต้มคุณสมบัติพิเศษรวมถึง 20,Total Poin Atribut Khusus Mencapai 20,Kabuuang Espesyal na Atribut ay 20,Jumlah Titik Atribut Keistimewaan Mencapai 20,trainer,
1014,1,3,3,50,,,10,{453=10;rmb=20},,2,,,Special Training,Huấn luyện đặc biệt,Special Training,การฝึกอบรมพิเศษ,Latihan Khusus,Pagsasanay na Espesyal,Latihan Khas,,,Total Privilege Attribute Points Reach 50,Tổng cấp điểm thuộc tính đặc quyền đạt 50,Total Privilege Attribute Points Reach 50,แต้มคุณสมบัติพิเศษรวมถึง 50,Total Poin Atribut Khusus Mencapai 50,Kabuuang Espesyal na Atribut ay 50,Jumlah Titik Atribut Keistimewaan Mencapai 50,trainer,
1015,1,3,3,100,,,20,{453=10;rmb=30},,3,,,Level-up Training,Huấn luyện thăng cấp,Level-up Training,การฝึกอบรมเลเวลอัพ,Latihan Naik Level,Pagsasanay na Nagpapataas ng Antas,Latihan Naik Tahap,,,Total Privilege Attribute Points Reach 100,Tổng cấp điểm thuộc tính đặc quyền đạt 100,Total Privilege Attribute Points Reach 100,แต้มคุณสมบัติพิเศษรวมถึง 100,Total Poin Atribut Khusus Mencapai 100,Kabuuang Espesyal na Atribut ay 100,Jumlah Titik Atribut Keistimewaan Mencapai 100,trainer,
1016,1,3,3,300,,,30,{453=10;rmb=50},,4,,,Professional Training,Huấn luyện chuyên nghiệp,Professional Training,การฝึกอบรมมืออาชีพ,Latihan Profesional,Pagsasanay na Propesyonal,Latihan Profesional,,,Total Privilege Attribute Points Reach 300,Tổng cấp điểm thuộc tính đặc quyền đạt 300,Total Privilege Attribute Points Reach 300,แต้มคุณสมบัติพิเศษรวมถึง 300,Total Poin Atribut Khusus Mencapai 300,Kabuuang Espesyal na Atribut ay 300,Jumlah Titik Atribut Keistimewaan Mencapai 300,trainer,
1017,1,4,401,60,1,,20,{rmb=20;talent_point=5},,,,,Start from Basics,Bắt đầu từ cơ bản,Start from Basics,เริ่มต้นจากพื้นฐาน,Mulai dari Dasar,Nagsisimula sa Pangunahing Kaalaman,Mula Asas,,,Invest 60 Basic Cultivation Points,Đầu tư 60 điểm tu luyện cơ bản,Invest 60 Basic Cultivation Points,ลงทุน 60 แต้มฝึกพื้นฐาน,Investasi 60 Poin Latihan Dasar,Mag-invest ng 60 Basic Training Points,Laburkan 60 Titik Latihan Asas,talent,
1018,1,4,401,120,1,,20,{rmb=20;talent_point=5},,2,,,Start from Basics,Bắt đầu từ cơ bản,Start from Basics,เริ่มต้นจากพื้นฐาน,Mulai dari Dasar,Nagsisimula sa Pangunahing Kaalaman,Mula Asas,,,Invest 120 Basic Cultivation Points,Đầu tư 120 điểm tu luyện cơ bản,Invest 120 Basic Cultivation Points,ลงทุน 120 แต้มฝึกพื้นฐาน,Investasi 120 Poin Latihan Dasar,Mag-invest ng 120 Basic Training Points,Laburkan 120 Titik Latihan Asas,talent,
1019,1,4,401,240,1,,30,{rmb=20;talent_point=5},,3,,,Start from Basics,Bắt đầu từ cơ bản,Start from Basics,เริ่มต้นจากพื้นฐาน,Mulai dari Dasar,Nagsisimula sa Pangunahing Kaalaman,Mula Asas,,,Invest 240 Basic Cultivation Points,Đầu tư 240 điểm tu luyện cơ bản,Invest 240 Basic Cultivation Points,ลงทุน 240 แต้มฝึกพื้นฐาน,Investasi 240 Poin Latihan Dasar,Mag-invest ng 240 Basic Training Points,Laburkan 240 Titik Latihan Asas,talent,
1020,1,4,402,100,2,,10,{rmb=20;talent_point=5},,,,,Easy Proficiency,Thành thạo dễ dàng,Easy Proficiency,ความเชี่ยวชาญง่าย,Keahlian Mudah,Kadalubhasaan Madali,Kemahiran Mudah,,,Invest 100 Advanced Cultivation Points,Đầu tư 100 điểm tu luyện nâng cao,Invest 100 Advanced Cultivation Points,ลงทุน 100 แต้มฝึกขั้นสูง,Investasi 100 Poin Latihan Lanjutan,Mag-invest ng 100 Advanced Training Points,Laburkan 100 Titik Latihan Lanjutan,talent,
1021,1,4,402,200,2,,20,{rmb=20;talent_point=5},,2,,,Easy Proficiency,Thành thạo dễ dàng,Easy Proficiency,ความเชี่ยวชาญง่าย,Keahlian Mudah,Kadalubhasaan Madali,Kemahiran Mudah,,,Invest 200 Advanced Cultivation Points,Đầu tư 200 điểm tu luyện nâng cao,Invest 200 Advanced Cultivation Points,ลงทุน 200 แต้มฝึกขั้นสูง,Investasi 200 Poin Latihan Lanjutan,Mag-invest ng 200 Advanced Training Points,Laburkan 200 Titik Latihan Lanjutan,talent,
1022,1,4,402,400,2,,30,{rmb=20;talent_point=5},,3,,,Easy Proficiency,Thành thạo dễ dàng,Easy Proficiency,ความเชี่ยวชาญง่าย,Keahlian Mudah,Kadalubhasaan Madali,Kemahiran Mudah,,,Invest 400 Advanced Cultivation Points,Đầu tư 400 điểm tu luyện nâng cao,Invest 400 Advanced Cultivation Points,ลงทุน 400 แต้มฝึกขั้นสูง,Investasi 400 Poin Latihan Lanjutan,Mag-invest ng 400 Advanced Training Points,Laburkan 400 Titik Latihan Lanjutan,talent,
1023,1,4,403,100,3,,10,{rmb=30;talent_point=5},,,,,Elemental Ambassador,Đại sứ nguyên tố,Elemental Ambassador,ทูตแห่งธาตุ,Duta Unsur,Sugo ng Elemento,Duta Unsur,,,Invest 100 Elemental Cultivation Points,Đầu tư 100 điểm tu luyện nguyên tố,Invest 100 Elemental Cultivation Points,ลงทุน 100 แต้มฝึกธาตุ,Investasi 100 Poin Latihan Elemen,Mag-invest ng 100 Element Training Points,Laburkan 100 Titik Latihan Unsur,talent,
1024,1,4,403,200,3,,20,{rmb=30;talent_point=5},,2,,,Elemental Ambassador,Đại sứ nguyên tố,Elemental Ambassador,ทูตแห่งธาตุ,Duta Unsur,Sugo ng Elemento,Duta Unsur,,,Invest 200 Elemental Cultivation Points,Đầu tư 200 điểm tu luyện nguyên tố,Invest 200 Elemental Cultivation Points,ลงทุน 200 แต้มฝึกธาตุ,Investasi 200 Poin Latihan Elemen,Mag-invest ng 200 Element Training Points,Laburkan 200 Titik Latihan Unsur,talent,
1025,1,4,403,400,3,,30,{rmb=30;talent_point=5},,3,,,Elemental Ambassador,Đại sứ nguyên tố,Elemental Ambassador,ทูตแห่งธาตุ,Duta Unsur,Sugo ng Elemento,Duta Unsur,,,Invest 400 Elemental Cultivation Points,Đầu tư 400 điểm tu luyện nguyên tố,Invest 400 Elemental Cultivation Points,ลงทุน 400 แต้มฝึกธาตุ,Investasi 400 Poin Latihan Elemen,Mag-invest ng 400 Element Training Points,Laburkan 400 Titik Latihan Unsur,talent,
1026,1,4,403,800,3,,30,{rmb=50;talent_point=10},,4,,,Elemental Ambassador,Đại sứ nguyên tố,Elemental Ambassador,ทูตแห่งธาตุ,Duta Unsur,Sugo ng Elemento,Duta Unsur,,,Invest 800 Elemental Cultivation Points,Đầu tư 800 điểm tu luyện nguyên tố,Invest 800 Elemental Cultivation Points,ลงทุน 800 แต้มฝึกธาตุ,Investasi 800 Poin Latihan Elemen,Mag-invest ng 800 Element Training Points,Laburkan 800 Titik Latihan Unsur,talent,
1027,1,4,403,1600,3,,30,{rmb=100;2501=1},FALSE,5,,,Elemental Ambassador,Đại sứ nguyên tố,Elemental Ambassador,ทูตแห่งธาตุ,Duta Unsur,Sugo ng Elemento,Duta Unsur,,,Invest 1600 Elemental Cultivation Points,Đầu tư 1600 điểm tu luyện nguyên tố,Invest 1600 Elemental Cultivation Points,ลงทุน 1600 แต้มฝึกธาตุ,Investasi 1600 Poin Latihan Elemen,Mag-invest ng 1600 Element Training Points,Laburkan 1600 Titik Latihan Unsur,talent,
1028,1,5,5,200,,,20,{rmb=10;talent_point=5},,,,,Master Cultivator,Cao thủ tu luyện,Master Cultivator,ผู้ฝึกฝนระดับปรมาจารย์,Pengasah Ahli,Master ng Pagsasanay,Tuan Latihan,,,Total Cultivation Points Invested Reach 200,Tổng điểm tu luyện đã đầu tư đạt 200,Total Cultivation Points Invested Reach 200,แต้มฝึกที่ลงทุนรวมถึง 200,Total Poin Latihan yang Diinvestasi Mencapai 200,Kabuuang Puntos ng Pagsasanay ay 200,Jumlah Titik Latihan Dilaburkan Mencapai 200,talent,
1029,1,5,5,500,,,30,{rmb=20;talent_point=5},,2,,,Master Cultivator,Cao thủ tu luyện,Master Cultivator,ผู้ฝึกฝนระดับปรมาจารย์,Pengasah Ahli,Master ng Pagsasanay,Tuan Latihan,,,Total Cultivation Points Invested Reach 500,Tổng điểm tu luyện đã đầu tư đạt 500,Total Cultivation Points Invested Reach 500,แต้มฝึกที่ลงทุนรวมถึง 500,Total Poin Latihan yang Diinvestasi Mencapai 500,Kabuuang Puntos ng Pagsasanay ay 500,Jumlah Titik Latihan Dilaburkan Mencapai 500,talent,
1030,1,5,5,1000,,,30,{rmb=30;talent_point=10},,3,,,Master Cultivator,Cao thủ tu luyện,Master Cultivator,ผู้ฝึกฝนระดับปรมาจารย์,Pengasah Ahli,Master ng Pagsasanay,Tuan Latihan,,,Total Cultivation Points Invested Reach 1000,Tổng điểm tu luyện đã đầu tư đạt 1000,Total Cultivation Points Invested Reach 1000,แต้มฝึกที่ลงทุนรวมถึง 1000,Total Poin Latihan yang Diinvestasi Mencapai 1000,Kabuuang Puntos ng Pagsasanay ay 1000,Jumlah Titik Latihan Dilaburkan Mencapai 1000,talent,
1031,1,5,5,2000,,,50,{rmb=40;talent_point=10},,4,,,Master Cultivator,Cao thủ tu luyện,Master Cultivator,ผู้ฝึกฝนระดับปรมาจารย์,Pengasah Ahli,Master ng Pagsasanay,Tuan Latihan,,,Total Cultivation Points Invested Reach 2000,Tổng điểm tu luyện đã đầu tư đạt 2000,Total Cultivation Points Invested Reach 2000,แต้มฝึกที่ลงทุนรวมถึง 2000,Total Poin Latihan yang Diinvestasi Mencapai 2000,Kabuuang Puntos ng Pagsasanay ay 2000,Jumlah Titik Latihan Dilaburkan Mencapai 2000,talent,
1032,1,6,6,3,,,10,{rmb=10;4000=30},,,,,Novice Summoner,Tân thủ triệu hồi,Novice Summoner,ผู้เรียกซ้ำมือใหม่,Pemanggil Pemula,Bagitong Tagatawag,Pemanggil Baharu,,,Activate 3 Summon Beasts,Kích hoạt 3 thú triệu hồi,Activate 3 Summon Beasts,เปิดใช้งานสัตว์อสูร 3 ตัว,Aktifkan 3 Beast Panggilan,I-activate ang 3 Summon Beast,Aktifkan 3 Binatang Pemanggil,explorer,
1033,1,6,6,6,,,20,{rmb=20;4000=30},,2,,,Master Summoner,Cao thủ triệu hồi,Master Summoner,ผู้เรียกซ้ำปรมาจารย์,Pemanggil Ahli,Master Tagatawag,Pemanggil Tuan,,,Activate 6 Summon Beasts,Kích hoạt 6 thú triệu hồi,Activate 6 Summon Beasts,เปิดใช้งานสัตว์อสูร 6 ตัว,Aktifkan 6 Beast Panggilan,I-activate ang 6 Summon Beast,Aktifkan 6 Binatang Pemanggil,explorer,
1034,1,6,6,9,,,30,{rmb=30;4000=30},,3,,,Grandmaster Summoner,Đại sư triệu hồi,Grandmaster Summoner,ผู้เรียกซ้ำปรมาจารย์ใหญ่,Pemanggil Guru Besar,Grandmaster Tagatawag,Pemanggil Guru Besar,,,Activate 9 Summon Beasts,Kích hoạt 9 thú triệu hồi,Activate 9 Summon Beasts,เปิดใช้งานสัตว์อสูร 9 ตัว,Aktifkan 9 Beast Panggilan,I-activate ang 9 Summon Beast,Aktifkan 9 Binatang Pemanggil,explorer,
1035,1,6,6,12,,,30,{rmb=40;4000=30},FALSE,4,,,Summoner Expert,Tông sư triệu hồi,Summoner Expert,ผู้เรียกซ้ำผู้เชี่ยวชาญ,Pemanggil Pakar,Tagatawag Eksperto,Pemanggil Pakar,,,Activate 12 Summon Beasts,Kích hoạt 12 thú triệu hồi,Activate 12 Summon Beasts,เปิดใช้งานสัตว์อสูร 12 ตัว,Aktifkan 12 Beast Panggilan,I-activate ang 12 Summon Beast,Aktifkan 12 Binatang Pemanggil,explorer,
1036,1,7,706,1,6,,20,{rmb=50;4000=30},,,,,Wen Tai,Văn Thái,Wen Tai,เหวินไถ, Wén Tài, Wen Tai, Wen Tai,,,Activate Văn Thái,Kích hoạt Văn Thái,Activate Văn Thái,เปิดใช้งาน Văn Thái,Aktifkan Văn Thái,I-activate si Văn Thái,Aktifkan Văn Thái,explorer,
1037,1,7,707,1,7,,20,{rmb=50;4000=30},,,,,Van Snake,Vạn Xà,Van Snake,ว่านงู, Ular Van,Sawa ng Van,Ular Van,,,Activate Vạn Xà,Kích hoạt Vạn Xà,Activate Vạn Xà,เปิดใช้งาน Vạn Xà,Aktifkan Vạn Xà,I-activate si Vạn Xà,Aktifkan Vạn Xà,explorer,
1038,1,7,708,1,8,,30,{rmb=50;4000=50},,,,,First Tail - Beast Master,Nhất Vĩ - Thú Thủ,First Tail - Beast Master,หางที่หนึ่ง - เจ้าแห่งสัตว์ป่า,Ekor Pertama - Penguasa Binatang,Unang Ikid - Guro ng Hayop,Ekor Pertama - Tuan Binatang,,,Activate Nhất Vĩ · Thú Thủ,Kích hoạt Nhất Vĩ · Thú Thủ,Activate Nhất Vĩ · Thú Thủ,เปิดใช้งาน Nhất Vĩ · Thú Thủ,Aktifkan Nhất Vĩ · Thú Thủ,I-activate ang Nhất Vĩ · Thú Thủ,Aktifkan Nhất Vĩ · Thú Thủ,explorer,
1039,1,7,709,1,9,,30,{rmb=50;4000=50},,,,,Second Tail - Fire Cat,Nhị Vĩ - Mèo Lửa,Second Tail - Fire Cat,หางที่สอง - แมวไฟ,Ekor Kedua - Kucing Api,Pangalawang Ikid - Pusang Apoy,Ekor Kedua - Kucing Api,,,Activate Nhị Vĩ · Miêu Du,Kích hoạt Nhị Vĩ · Miêu Du,Activate Nhị Vĩ · Miêu Du,เปิดใช้งาน Nhị Vĩ · Miêu Du,Aktifkan Nhị Vĩ · Miêu Du,I-activate ang Nhị Vĩ · Miêu Du,Aktifkan Nhị Vĩ · Miêu Du,explorer,
1040,1,8,8,3,,,15,{rmb=10;4000=50},,,,,Novice Summoner,Triệu hồi sư gà mờ,Novice Summoner,นักเรียกมือใหม่,Pemanggil Pemula,Bagitong Tagatawag,Pemanggil Baharu,,,Any Summon Beast reaches Level 3,Bất kỳ thú triệu hồi nào đạt cấp 3,Any Summon Beast reaches Level 3,สัตว์อสูรใดๆ ถึงเลเวล 3,Beast Panggilan apapun mencapai Level 3,Anumang Summon Beast ay umabot sa Antas 3,Apa-apa Binatang Pemanggil mencapai Tahap 3,explorer,
1041,1,8,8,6,,,20,{rmb=15;4000=50},,2,,,Beginner Summoner,Triệu hồi sư nhập môn,Beginner Summoner,นักเรียกมือใหม่,Pemanggil Pemula,Bagitong Tagatawag,Pemanggil Baharu,,,Any Summon Beast reaches Level 6,Bất kỳ thú triệu hồi nào đạt cấp 6,Any Summon Beast reaches Level 6,สัตว์อสูรใดๆ ถึงเลเวล 6,Beast Panggilan apapun mencapai Level 6,Anumang Summon Beast ay umabot sa Antas 6,Apa-apa Binatang Pemanggil mencapai Tahap 6,explorer,
1042,1,8,8,9,,,20,{rmb=20;4000=50},,3,,,Experienced Summoner,Triệu hồi sư kỳ cựu,Experienced Summoner,นักเรียกผู้มีประสบการณ์,Pemanggil Berpengalaman,Maranasang Tagatawag,Pemanggil Berpengalaman,,,Any Summon Beast reaches Level 9,Bất kỳ thú triệu hồi nào đạt cấp 9,Any Summon Beast reaches Level 9,สัตว์อสูรใดๆ ถึงเลเวล 9,Beast Panggilan apapun mencapai Level 9,Anumang Summon Beast ay umabot sa Antas 9,Apa-apa Binatang Pemanggil mencapai Tahap 9,explorer,
1043,1,8,8,12,,,30,{rmb=30;4000=100},,4,,,Advanced Summoner,Triệu hồi sư cao cấp,Advanced Summoner,นักเรียกขั้นสูง,Pemanggil Lanjutan,Masigasig na Tagatawag,Pemanggil Lanjutan,,,Any Summon Beast reaches Level 12,Bất kỳ thú triệu hồi nào đạt cấp 12,Any Summon Beast reaches Level 12,สัตว์อสูรใดๆ ถึงเลเวล 12,Beast Panggilan apapun mencapai Level 12,Anumang Summon Beast ay umabot sa Antas 12,Apa-apa Binatang Pemanggil mencapai Tahap 12,explorer,
1044,1,8,8,15,,,30,{rmb=50;4000=100},,5,,,Grandmaster Summoner,Triệu hồi sư đại sư,Grandmaster Summoner,นักเรียกปรมาจารย์,Pemanggil Guru Besar,Grandmaster Tagatawag,Pemanggil Guru Besar,,,Any Summon Beast reaches Level 15,Bất kỳ thú triệu hồi nào đạt cấp 15,Any Summon Beast reaches Level 15,สัตว์อสูรใดๆ ถึงเลเวล 15,Beast Panggilan apapun mencapai Level 15,Anumang Summon Beast ay umabot sa Antas 15,Apa-apa Binatang Pemanggil mencapai Tahap 15,explorer,
1045,1,8,8,20,,,30,{rmb=100;4000=200},FALSE,6,,,Master Summoner,Triệu hồi sư tông sư,Master Summoner,นักเรียกผู้เชี่ยวชาญ,Pemanggil Pakar,Tagatawag Eksperto,Pemanggil Pakar,,,Any Summon Beast reaches Level 20,Bất kỳ thú triệu hồi nào đạt cấp 20,Any Summon Beast reaches Level 20,สัตว์อสูรใดๆ ถึงเลเวล 20,Beast Panggilan apapun mencapai Level 20,Anumang Summon Beast ay umabot sa Antas 20,Apa-apa Binatang Pemanggil mencapai Tahap 20,explorer,
1046,1,9,9,100000,,,20,{rmb=5;gold=2000},,,,,Some Achievement,Có chút thành tựu,Some Achievement,มีความสำเร็จเล็กน้อย,Beberapa Prestasi,May Ilang Tagumpay,Beberapa Pencapaian,,,"Combat Power reaches 100,000",Lực chiến đạt 100000,"Combat Power reaches 100,000","พลังรบถึง 100,000","Kekuatan Tempur mencapai 100,000","Lakas ng Laban umabot sa 100,000","Kekuatan Tempur mencapai 100,000",strengthen-1,
1047,1,9,9,200000,,,20,{rmb=10;gold=2000},,2,,,Ready for Battle!,Đủ sức chiến một trận!,Ready for Battle!,พร้อมสู้!,Siap Bertempur!,Handa Na Sa Laban!,Bersedia Bertempur!,,,"Combat Power reaches 200,000",Lực chiến đạt 200000,"Combat Power reaches 200,000","พลังรบถึง 200,000","Kekuatan Tempur mencapai 200,000","Lakas ng Laban umabot sa 200,000","Kekuatan Tempur mencapai 200,000",strengthen-1,
1048,1,9,9,500000,,,30,{rmb=15;gold=2000},,3,,,"If Not Satisfied, Try It",Không phục thì thử xem,"If Not Satisfied, Try It",ถ้าไม่พอใจ ลองดูสิ,"Jika Tidak Puas, Coba"," Kung Hindi Nasiyahan, Subukan Mo!","Jika Tidak Puas, Cuba",,,"Combat Power reaches 500,000",Lực chiến đạt 500000,"Combat Power reaches 500,000","พลังรบถึง 500,000","Kekuatan Tempur mencapai 500,000","Lakas ng Laban umabot sa 500,000","Kekuatan Tempur mencapai 500,000",strengthen-1,
1049,1,9,9,1000000,,,50,{rmb=20;gold=2000},,4,,,Who Dares to Step Up,Còn ai dám bước lên,Who Dares to Step Up,ใครกล้าเข้ามา,Siapa Berani Melangkah, Sino ang Nangahas Lumapit?,Siapa Berani Melangkah,,,"Combat Power reaches 1,000,000",Lực chiến đạt 1000000,"Combat Power reaches 1,000,000","พลังรบถึง 1,000,000","Kekuatan Tempur mencapai 1,000,000","Lakas ng Laban umabot sa 1,000,000","Kekuatan Tempur mencapai 1,000,000",strengthen-1,
1050,1,9,9,1500000,,,50,{rmb=25;gold=2000},,5,,,Lonely Champion,Vô địch đến cô đơn,Lonely Champion,แชมป์ที่โดดเดี่ยว,Juara Kesepian,Nag-iisang Kampeon,Pjuara Kesepian,,,"Combat Power reaches 1,500,000",Lực chiến đạt 1500000,"Combat Power reaches 1,500,000","พลังรบถึง 1,500,000","Kekuatan Tempur mencapai 1,500,000","Lakas ng Laban umabot sa 1,500,000","Kekuatan Tempur mencapai 1,500,000",strengthen-1,
1051,1,9,9,2000000,,,50,{rmb=50;gold=2000},,6,,,Lonely Pursuit of Defeat,Cô độc cầu bại,Lonely Pursuit of Defeat,ความโดดเดี่ยวในการตามหาความพ่ายแพ้,Pengejar Kekalahan Kesepian,Nag-iisang Pagsubok ng Pagkatalo,Pengejar Kekalahan Kesepian,,,"Combat Power reaches 2,000,000",Lực chiến đạt 2000000,"Combat Power reaches 2,000,000","พลังรบถึง 2,000,000","Kekuatan Tempur mencapai 2,000,000","Lakas ng Laban umabot sa 2,000,000","Kekuatan Tempur mencapai 2,000,000",strengthen-1,
