VariableName,name_cn,name_tw,name,name_vn,name_en,name_th,name_in,name_ph,name_ma,icon,quality,exclusiveCards,itemsShow,languages,stackShow,strengthMax,strengthSeqID,advanceMax,advanceSeqID,advanceLvLimit,universalItems,attrTypes,attrNumRates,viceAttrRate,strengthAttrSeq,advanceAttrSeq,effect1,effect1LevelAdvSeq,effect2,effect2LevelAdvSeq,rebirthRMB,heldItemExp,fragID,produceGate1,produceGate2,produceGate3,produceDesc_cn,produceDesc_tw,produceDesc,produceDesc_vn,produceDesc_en,produceDesc_th,produceDesc_in,produceDesc_ph,produceDesc_ma,effect,effectCardID
30202,,,Master Roshi's Rare Book  ,Sách Quý Của Quy Tiên Nhân,Master Roshi's Rare Book  ,หนังสือหายากของอาจารย์เต่า  ,Buku Langka Master Roshi  ,Master Roshi’s Rare Book  ,Buku Rare Guru Roshi  ,config/item/xddj/icon_renjubao_30202.png,,,,,,80,3,9,8,<5;10;15;20;25;30;50;60;80>,<2151>,,<1.05;0.9;1;1;1;1.05>,,3,3,17,<0;1;2;3;4;5;6;7;8;9>,,,5,150,,,,,,,Can be obtained through jewelry card draw  ,Có thể nhận được thông qua rút thẻ trang sức,Can be obtained through jewelry card draw  ,สามารถรับได้จากการสุ่มบัตรเครื่องประดับ  ,Dapat diperoleh melalui undian kartu perhiasan  ,Makakakuha sa pamamagitan ng jewelry card draw  ,Boleh diperoleh melalui cabutan kad barang kemas  ,,
30203,,,Master Roshi’s Keepsake  ,Tín Vật Quy Tiên Lưu,Master Roshi’s Keepsake  ,ของระลึกของอาจารย์เต่า  ,Kenangan Master Roshi  ,Master Roshi’s Keepsake  ,Kenangan Guru Roshi  ,config/item/xddj/icon_panrenhue_30203.png,,,,,,80,3,9,9,<5;10;15;20;25;30;50;60;80>,<2151>,,<1;0.9;1;1.05;1;1.05>,,3,3,19,<0;1;2;3;4;5;6;7;8;9>,,,5,150,,,,,,,Can be obtained through jewelry card draw  ,Có thể nhận được thông qua rút thẻ trang sức,Can be obtained through jewelry card draw  ,สามารถรับได้จากการสุ่มบัตรเครื่องประดับ  ,Dapat diperoleh melalui undian kartu perhiasan  ,Makakakuha sa pamamagitan ng jewelry card draw  ,Boleh diperoleh melalui cabutan kad barang kemas  ,,
30204,,,Wind Horse Sword  ,Kiếm Phong Mã,Wind Horse Sword  ,ดาบม้าลม  ,Pedang Angin Kuda  ,Wind Horse Sword  ,Pedang Kuda Angin  ,config/item/xddj/icon_fengmoshoulijian_30204.png,,,,,,80,3,9,10,<5;10;15;20;25;30;50;60;80>,<2151>,,<1;0.9;1.1;1;1;1>,,3,3,21,<0;1;2;3;4;5;6;7;8;9>,,,5,150,,,,,,,Can be obtained through jewelry card draw  ,Có thể nhận được thông qua rút thẻ trang sức,Can be obtained through jewelry card draw  ,สามารถรับได้จากการสุ่มบัตรเครื่องประดับ  ,Dapat diperoleh melalui undian kartu perhiasan  ,Makakakuha sa pamamagitan ng jewelry card draw  ,Boleh diperoleh melalui cabutan kad barang kemas  ,,
30205,,,Minotaur Helmet  ,Mũ Bò Đầu Người,Minotaur Helmet  ,หมวกกระทิง  ,Helm Minotaur  ,Minotaur Helmet  ,Topi Minotaur  ,config/item/xddj/icon_yinrenbeidai_30205.png,,,,,,80,3,9,11,<5;10;15;20;25;30;50;60;80>,<2151>,,<1;0.9;1;1;1.1;1>,,3,3,23,<0;1;2;3;4;5;6;7;8;9>,,,5,150,,,,,,,Can be obtained through jewelry card draw  ,Có thể nhận được thông qua rút thẻ trang sức,Can be obtained through jewelry card draw  ,สามารถรับได้จากการสุ่มบัตรเครื่องประดับ  ,Dapat diperoleh melalui undian kartu perhiasan  ,Makakakuha sa pamamagitan ng jewelry card draw  ,Boleh diperoleh melalui cabutan kad barang kemas  ,,
30206,,,Frenzy Fang  ,Nanh Cuồng Bạo,Frenzy Fang  ,เขี้ยวคลั่ง  ,Taring Ganas  ,Fury Fang  ,Taring Amarah  ,config/item/xddj/icon_zhongrenmajia_30206.png,,,,,,80,3,9,12,<5;10;15;20;25;30;50;60;80>,<2151>,,<1.05;0.9;1.05;1;1;1>,,3,3,25,<0;1;2;3;4;5;6;7;8;9>,,,5,150,,,,,,,Can be obtained through jewelry card draw  ,Có thể nhận được thông qua rút thẻ trang sức,Can be obtained through jewelry card draw  ,สามารถรับได้จากการสุ่มบัตรเครื่องประดับ  ,Dapat diperoleh melalui undian kartu perhiasan  ,Makakakuha sa pamamagitan ng jewelry card draw  ,Boleh diperoleh melalui cabutan kad barang kemas  ,,
30207,,,Red Thread Necklace  ,Dây Chuyền Hồng Loan,Red Thread Necklace  ,สร้อยคอด้ายแดง  ,Kalung Benang Merah  ,Red Thread Necklace  ,Kalung Benang Merah  ,config/item/xddj/icon_fengheiwuguan_30207.png,,,,,,80,3,9,13,<5;10;15;20;25;30;50;60;80>,<2151>,,<1.05;0.9;1;1;1.05;1>,,3,3,27,<0;1;2;3;4;5;6;7;8;9>,,,5,150,,,,,,,Can be obtained through jewelry card draw  ,Có thể nhận được thông qua rút thẻ trang sức,Can be obtained through jewelry card draw  ,สามารถรับได้จากการสุ่มบัตรเครื่องประดับ  ,Dapat diperoleh melalui undian kartu perhiasan  ,Makakakuha sa pamamagitan ng jewelry card draw  ,Boleh diperoleh melalui cabutan kad barang kemas  ,,
30208,,,Bone Blade  ,Lưỡi Dao Xương,Bone Blade  ,ใบมีดกระดูก  ,Pisau Tulang  ,Bone Blade  ,Pisau Tulang  ,config/item/xddj/icon_mishuzhishu_30208.png,,,,,,80,3,9,14,<5;10;15;20;25;30;50;60;80>,<2151>,,<1;1;1;1;1;1>,,3,3,29,<0;1;2;3;4;5;6;7;8;9>,,,5,150,,,,,,,Can be obtained through jewelry card draw  ,Có thể nhận được thông qua rút thẻ trang sức,Can be obtained through jewelry card draw  ,สามารถรับได้จากการสุ่มบัตรเครื่องประดับ  ,Dapat diperoleh melalui undian kartu perhiasan  ,Makakakuha sa pamamagitan ng jewelry card draw  ,Boleh diperoleh melalui cabutan kad barang kemas  ,,
30209,,,Laser Gun  ,Súng Laser,Laser Gun  ,ปืนเลเซอร์  ,Senjata Laser  ,Laser Gun  ,Pistol Laser  ,config/item/xddj/icon_jiazhimianju_30209.png,,,,,,80,3,9,15,<5;10;15;20;25;30;50;60;80>,<2151>,,<1;1;1;1;1;1>,,3,3,31,<0;1;2;3;4;5;6;7;8;9>,,,5,150,,,,,,,Can be obtained through jewelry card draw  ,Có thể nhận được thông qua rút thẻ trang sức,Can be obtained through jewelry card draw  ,สามารถรับได้จากการสุ่มบัตรเครื่องประดับ  ,Dapat diperoleh melalui undian kartu perhiasan  ,Makakakuha sa pamamagitan ng jewelry card draw  ,Boleh diperoleh melalui cabutan kad barang kemas  ,,
30301,,,Energy Shield Ring  ,Vòng Bảo Vệ Năng Lượng,Energy Shield Ring  ,แหวนเกราะพลังงาน  ,Cincin Perisai Energi  ,Energy Protection Ring  ,Cincin Perlindungan Tenaga  ,config/item/xddj/icon_yizhimianju_30301.png,4,,,,,80,4,9,16,<5;10;15;20;25;30;50;60;80>,<2152>,,<1.1;0.9;1;1;1;1>,,4,4,33,<0;1;2;3;4;5;6;7;8;9>,34,<0;1;2;3;4;5;6;7;8;9>,8,280,28001,,,,,,Can be obtained through jewelry card draw  ,Có thể nhận được thông qua rút thẻ trang sức,Can be obtained through jewelry card draw  ,สามารถรับได้จากการสุ่มบัตรเครื่องประดับ  ,Dapat diperoleh melalui undian kartu perhiasan  ,Makakakuha sa pamamagitan ng jewelry card draw  ,Boleh diperoleh melalui cabutan kad barang kemas  ,{drawcard=zi_effect_loop;gain=zi_effect_loop},
30302,,,Fire Shadow Necklace  ,Dây Chuyền Hỏa Ảnh,Fire Shadow Necklace  ,สร้อยคอเพลิงเงา  ,Kalung Bayangan Api  ,Flame Shadow Necklace  ,Kalung Bayang Api  ,config/item/xddj/icon_30302.png,4,,,,,80,4,9,17,<5;10;15;20;25;30;50;60;80>,<2152>,,<1;1;1;1;1;1>,,4,4,35,<0;1;2;3;4;5;6;7;8;9>,36,<0;1;2;3;4;5;6;7;8;9>,8,280,28002,,,,,,Can be obtained through jewelry card draw  ,Có thể nhận được thông qua rút thẻ trang sức,Can be obtained through jewelry card draw  ,สามารถรับได้จากการสุ่มบัตรเครื่องประดับ  ,Dapat diperoleh melalui undian kartu perhiasan  ,Makakakuha sa pamamagitan ng jewelry card draw  ,Boleh diperoleh melalui cabutan kad barang kemas  ,{drawcard=zi_effect_loop;gain=zi_effect_loop},
30303,,,Damaged Palm Leaf Fan  ,Quạt Ba Tiêu Hư Hỏng,Damaged Palm Leaf Fan  ,พัดสามใบไม้เสีย  ,Kipas Tiga Daun Rusak  ,Broken Banana Fan  ,Kipas Tiga Daun Rosak  ,config/item/xddj/icon_30303.png,4,,,,,80,4,9,18,<5;10;15;20;25;30;50;60;80>,<2152>,,<1;1;1;1;1;1>,,4,4,37,<0;1;2;3;4;5;6;7;8;9>,38,<0;1;2;3;4;5;6;7;8;9>,8,280,28003,,,,,,Can be obtained through jewelry card draw  ,Có thể nhận được thông qua rút thẻ trang sức,Can be obtained through jewelry card draw  ,สามารถรับได้จากการสุ่มบัตรเครื่องประดับ  ,Dapat diperoleh melalui undian kartu perhiasan  ,Makakakuha sa pamamagitan ng jewelry card draw  ,Boleh diperoleh melalui cabutan kad barang kemas  ,{drawcard=zi_effect_loop;gain=zi_effect_loop},
30304,,,Saiyan Battle Suit  ,Chiến Phục Saiyan,Saiyan Battle Suit  ,ชุดรบไซย่า  ,Baju Tempur Saiyan  ,Saiyan Battle Suit  ,Pakaian Perang Saiyan  ,config/item/xddj/icon_yizhimianju_30304.png,4,,,,,80,4,9,19,<5;10;15;20;25;30;50;60;80>,<2152>,,<1;1;1;1;1;1>,,4,4,39,<0;1;2;3;4;5;6;7;8;9>,40,<0;1;2;3;4;5;6;7;8;9>,8,280,28004,,,,,,Can be obtained through jewelry card draw  ,Có thể nhận được thông qua rút thẻ trang sức,Can be obtained through jewelry card draw  ,สามารถรับได้จากการสุ่มบัตรเครื่องประดับ  ,Dapat diperoleh melalui undian kartu perhiasan  ,Makakakuha sa pamamagitan ng jewelry card draw  ,Boleh diperoleh melalui cabutan kad barang kemas  ,{drawcard=zi_effect_loop;gain=zi_effect_loop},
30305,,,Nimbus Cloud  ,Cân Đẩu Vân,Nimbus Cloud  ,เมฆวิเศษ  ,Awan Nimbus  ,Nimbus Cloud  ,Awan Ajaib  ,config/item/xddj/icon_gengzhimianju_30305.png,4,,,,,80,4,9,20,<5;10;15;20;25;30;50;60;80>,<2152>,,<1;0.9;1;1.05;1;1.05>,,4,4,41,<0;1;2;3;4;5;6;7;8;9>,42,<0;1;2;3;4;5;6;7;8;9>,8,280,28005,,,,,,Can be obtained through jewelry card draw  ,Có thể nhận được thông qua rút thẻ trang sức,Can be obtained through jewelry card draw  ,สามารถรับได้จากการสุ่มบัตรเครื่องประดับ  ,Dapat diperoleh melalui undian kartu perhiasan  ,Makakakuha sa pamamagitan ng jewelry card draw  ,Boleh diperoleh melalui cabutan kad barang kemas  ,{drawcard=zi_effect_loop;gain=zi_effect_loop},
30306,,,Golden Apple  ,Táo Vàng,Golden Apple  ,แอปเปิ้ลทอง  ,Apel Emas  ,Golden Apple  ,Epal Emas  ,config/item/xddj/icon_xinzhimianju_30306.png,4,,,,,80,4,9,21,<5;10;15;20;25;30;50;60;80>,<2152>,,<1.1;0.9;1;1;1;1>,,4,4,43,<0;1;2;3;4;5;6;7;8;9>,44,<0;1;2;3;4;5;6;7;8;9>,8,280,28006,,,,,,Can be obtained through jewelry card draw  ,Có thể nhận được thông qua rút thẻ trang sức,Can be obtained through jewelry card draw  ,สามารถรับได้จากการสุ่มบัตรเครื่องประดับ  ,Dapat diperoleh melalui undian kartu perhiasan  ,Makakakuha sa pamamagitan ng jewelry card draw  ,Boleh diperoleh melalui cabutan kad barang kemas  ,{drawcard=zi_effect_loop;gain=zi_effect_loop},
30307,,,Rainbow Pearl  ,Ngọc Cầu Vồng,Rainbow Pearl  ,ไข่มุกสายรุ้ง  ,Mutiara Pelangi  ,Rainbow Pearl  ,Mutiara Pelangi  ,config/item/xddj/icon_wuzhimianju_30307.png,4,,,,,80,4,9,22,<5;10;15;20;25;30;50;60;80>,<2152>,,<1.05;0.95;1;1;1;1>,,4,4,45,<0;1;2;3;4;5;6;7;8;9>,46,<0;1;2;3;4;5;6;7;8;9>,8,280,28007,,,,,,Can be obtained through jewelry card draw  ,Có thể nhận được thông qua rút thẻ trang sức,Can be obtained through jewelry card draw  ,สามารถรับได้จากการสุ่มบัตรเครื่องประดับ  ,Dapat diperoleh melalui undian kartu perhiasan  ,Makakakuha sa pamamagitan ng jewelry card draw  ,Boleh diperoleh melalui cabutan kad barang kemas  ,{drawcard=zi_effect_loop;gain=zi_effect_loop},
30308,,,Dora’s Small Bell  ,Chuông Nhỏ Của Dora,Dora’s Small Bell  ,กระดิ่งของโดราเอมอน  ,Lonceng Kecil Dora  ,Dora’s Bell  ,Loceng Kecil Dora  ,config/item/xddj/icon_renzhimianju_30308.png,4,,,,,80,4,9,23,<5;10;15;20;25;30;50;60;80>,<2152>,,<1.05;0.95;1;1;1;1>,,4,4,47,<0;1;2;3;4;5;6;7;8;9>,48,<0;1;2;3;4;5;6;7;8;9>,8,280,28008,,,,,,Can be obtained through jewelry card draw  ,Có thể nhận được thông qua rút thẻ trang sức,Can be obtained through jewelry card draw  ,สามารถรับได้จากการสุ่มบัตรเครื่องประดับ  ,Dapat diperoleh melalui undian kartu perhiasan  ,Makakakuha sa pamamagitan ng jewelry card draw  ,Boleh diperoleh melalui cabutan kad barang kemas  ,{drawcard=zi_effect_loop;gain=zi_effect_loop},
30309,,,Ninja Technique Book  ,Sách Nhẫn Thuật,Ninja Technique Book  ,หนังสือวิชานินจา  ,Buku Teknik Ninja  ,Ninja Technique Book  ,Buku Teknik Ninja  ,config/item/xddj/icon_guizhimianju_30309.png,4,,,,,80,4,9,24,<5;10;15;20;25;30;50;60;80>,<2152>,,<1.05;0.95;1;1;1;1>,,4,4,49,<0;1;2;3;4;5;6;7;8;9>,50,<0;1;2;3;4;5;6;7;8;9>,8,280,28009,,,,,,Can be obtained through jewelry card draw  ,Có thể nhận được thông qua rút thẻ trang sức,Can be obtained through jewelry card draw  ,สามารถรับได้จากการสุ่มบัตรเครื่องประดับ  ,Dapat diperoleh melalui undian kartu perhiasan  ,Makakakuha sa pamamagitan ng jewelry card draw  ,Boleh diperoleh melalui cabutan kad barang kemas  ,{drawcard=zi_effect_loop;gain=zi_effect_loop},
30310,,,Iron Cutting Sword  ,Kiếm Trảm Thiết,Iron Cutting Sword  ,ดาบตัดเหล็ก  ,Pedang Pemotong Besi  ,Iron Slash Sword  ,Pedang Pemotong Besi  ,config/item/xddj/icon_30310.png,4,,,,,80,4,9,25,<5;10;15;20;25;30;50;60;80>,<2152>,,<1.05;0.95;1;1;1;1>,,4,4,51,<0;1;2;3;4;5;6;7;8;9>,52,<0;1;2;3;4;5;6;7;8;9>,8,280,28010,,,,,,Can be obtained through jewelry card draw  ,Có thể nhận được thông qua rút thẻ trang sức,Can be obtained through jewelry card draw  ,สามารถรับได้จากการสุ่มบัตรเครื่องประดับ  ,Dapat diperoleh melalui undian kartu perhiasan  ,Makakakuha sa pamamagitan ng jewelry card draw  ,Boleh diperoleh melalui cabutan kad barang kemas  ,{drawcard=zi_effect_loop;gain=zi_effect_loop},
30311,,,Super Divine Water  ,Siêu Thần Thủy,Super Divine Water  ,น้ำเทพพลังสูง  ,Air Dewa Super  ,Ultra Divine Water  ,Air Dewa Super  ,config/item/xddj/icon_huitudoupeng_30311.png,4,,,,,80,4,9,26,<5;10;15;20;25;30;50;60;80>,<2152>,,<1.05;0.95;1;1;1;1>,,4,4,53,<0;1;2;3;4;5;6;7;8;9>,54,<0;1;2;3;4;5;6;7;8;9>,8,280,28011,,,,,,Can be obtained through jewelry card draw  ,Có thể nhận được thông qua rút thẻ trang sức,Can be obtained through jewelry card draw  ,สามารถรับได้จากการสุ่มบัตรเครื่องประดับ  ,Dapat diperoleh melalui undian kartu perhiasan  ,Makakakuha sa pamamagitan ng jewelry card draw  ,Boleh diperoleh melalui cabutan kad barang kemas  ,{drawcard=zi_effect_loop;gain=zi_effect_loop},
30312,,,Mystery Cloak  ,Áo Choàng Bí Ẩn,Mystery Cloak  ,ผ้าคลุมปริศนา  ,Jubah Misterius  ,Mystery Cloak  ,Jubah Misteri  ,config/item/xddj/icon_huangjinsheng_30312.png,4,,,,,80,4,9,27,<5;10;15;20;25;30;50;60;80>,<2152>,,<1.05;0.95;1;1;1;1>,,4,4,55,<0;1;2;3;4;5;6;7;8;9>,56,<0;1;2;3;4;5;6;7;8;9>,8,280,28012,,,,,,Can be obtained through jewelry card draw  ,Có thể nhận được thông qua rút thẻ trang sức,Can be obtained through jewelry card draw  ,สามารถรับได้จากการสุ่มบัตรเครื่องประดับ  ,Dapat diperoleh melalui undian kartu perhiasan  ,Makakakuha sa pamamagitan ng jewelry card draw  ,Boleh diperoleh melalui cabutan kad barang kemas  ,{drawcard=zi_effect_loop;gain=zi_effect_loop},
30313,,,Goku's Martial Arts Robe  ,Đạo Phục Võ Thuật Của Goku,Goku's Martial Arts Robe  ,ชุดศิลปะการต่อสู้ของโกคู  ,Jubah Bela Diri Goku  ,Goku’s Martial Robe  ,Jubah Seni Goku  ,config/item/xddj/icon_30313.png,4,,,,,80,4,9,28,<5;10;15;20;25;30;50;60;80>,<2152>,,<1;0.9;1.1;1;1;1>,,4,4,59,<0;1;2;3;4;5;6;7;8;9>,,,8,280,28013,,,,,,Can be obtained through jewelry card draw  ,Có thể nhận được thông qua rút thẻ trang sức,Can be obtained through jewelry card draw  ,สามารถรับได้จากการสุ่มบัตรเครื่องประดับ  ,Dapat diperoleh melalui undian kartu perhiasan  ,Makakakuha sa pamamagitan ng jewelry card draw  ,Boleh diperoleh melalui cabutan kad barang kemas  ,{drawcard=zi_effect_loop;gain=zi_effect_loop},
30314,,,Power Pole  ,Gậy Như Ý,Power Pole  ,กระบองยืด  ,Tongkat Sakti  ,Power Staff  ,Tongkat Sakti  ,config/item/xddj/icon_honghulu_30314.png,4,,,,,80,4,9,29,<5;10;15;20;25;30;50;60;80>,<2152>,,<1;0.9;1;1;1.1;1>,,4,4,57,<0;1;2;3;4;5;6;7;8;9>,,,8,280,28014,,,,,,Can be obtained through jewelry card draw  ,Có thể nhận được thông qua rút thẻ trang sức,Can be obtained through jewelry card draw  ,สามารถรับได้จากการสุ่มบัตรเครื่องประดับ  ,Dapat diperoleh melalui undian kartu perhiasan  ,Makakakuha sa pamamagitan ng jewelry card draw  ,Boleh diperoleh melalui cabutan kad barang kemas  ,{drawcard=zi_effect_loop;gain=zi_effect_loop},
30315,,,Tactical Belt  ,Thắt Lưng Chiến Thuật,Tactical Belt  ,เข็มขัดยุทธวิธี  ,Sabuk Taktis  ,Tactical Belt  ,Tali Pinggang Taktikal  ,config/item/xddj/icon_30315.png,4,,,,,80,4,9,30,<5;10;15;20;25;30;50;60;80>,<2152>,,<1;1;1;1;1;1>,,4,4,71,<0;1;2;3;4;5;6;7;8;9>,,,8,280,28015,,,,,,Can be obtained through jewelry card draw  ,Có thể nhận được thông qua rút thẻ trang sức,Can be obtained through jewelry card draw  ,สามารถรับได้จากการสุ่มบัตรเครื่องประดับ  ,Dapat diperoleh melalui undian kartu perhiasan  ,Makakakuha sa pamamagitan ng jewelry card draw  ,Boleh diperoleh melalui cabutan kad barang kemas  ,{drawcard=zi_effect_loop;gain=zi_effect_loop},
