61,Liệt Xuyến,Liệt Xuyến,Blazing Spinner  ,วงล้อเพลิง  ,Pemutar Api  ,Umiikot na Apoy  ,Pusingan Api  
62,Đại Miệng Xuyến,Đại Miệng Xuyến,Big Mouth Spinner  ,วงล้อปากใหญ่  ,Pemutar Mulut Besar  ,Umiikot na Bibig Malaki  ,Pusingan Mulut Besar  
71,Á Bá Xà,Á Bá Xà,Aba Snake  ,งูอาป้า  ,Ular Aba  ,Aba Ahas  ,Ular Aba  
72,Á Bá Quái,Á Bá Quái,Aba Monster  ,สัตว์ประหลาดอาป้า  ,Monster Aba  ,Aba Halimaw  ,Raksasa Aba  
81,Pi Châu,Pi Châu,Pi Pearl  ,ไข่มุกปี  ,Mutiara Pi  ,Pi Perlas  ,Mutiara Pi  
82,Da đồi,Da đồi,Rock Skin  ,ผิวหิน  ,Kulit Batu  ,Balat-Bato  ,Kulit Batu  
91,Pikachu,Pikachu,Pikachu  ,ปิกาจู  ,Pikachu  ,Pikachu  ,Pikachu  
92,Lôi đồi,Lôi đồi,Electric Skin  ,ผิวสายฟ้า  ,Kulit Petir  ,Balat-Kidlat  ,Kulit Kilat  
93,Xuyên Sơn Thử,Xuyên Sơn Thử,Mountain Mole  ,ตุ่นภูเขา  ,Tikus Gunung  ,Daga sa Bundok  ,Tikus Gunung  
101,Xuyên Sơn Vương,Xuyên Sơn Vương,Mountain King Mole  ,ราชาตุ่นภูเขา  ,Raja Tikus Gunung  ,Hari ng Daga sa Bundok  ,Raja Tikus Gunung  
102,Ni nhiều lan,Ni nhiều lan,Ni Niu Lan  ,หนี่หนิวหลาน  ,Ni Niu Lan  ,Ni Niu Lan  ,Ni Niu Lan  
111,Ni nhiều na,Ni nhiều na,Ni Niu Na  ,หนี่หนิวน่า  ,Ni Niu Na  ,Ni Niu Na  ,Ni Niu Na  
112,Ni nhiều sau,Ni nhiều sau,Ni Niu Sau  ,หนี่หนิวเซ่า  ,Ni Niu Sau  ,Ni Niu Sau  ,Ni Niu Sau  
113,Ni nhiều lãng,Ni nhiều lãng,Ni Niu Lang  ,หนี่หนิวล่าง  ,Ni Niu Lang  ,Ni Niu Lang  ,Ni Niu Lang  
121,Ni nhiều lực nặc,Ni nhiều lực nặc,Ni Niu Luenak  ,หนี่หนิ่วลวี่หน่า  ,Ni Niu Luenak  ,Ni Niu Luenak  ,Ni Niu Luenak  
122,Ni nhiều vương,Ni nhiều vương,Ni Niu King  ,หนี่หนิ่วหวัง  ,Ni Niu Raja  ,Ni Niu Hari  ,Ni Niu Raja  
123,Da Bảo Bảo,Da Bảo Bảo,Big Baby  ,ต้าปาวปาว  ,Si Bayi Besar  ,Baby Malaki  ,Bayi Besar  
131,Bì Bì,Bì Bì,Bibi  ,ปีปี  ,Bibi  ,Bibi  ,Bibi  
132,Da nhưng tây,Da nhưng tây,Western Rock Skin  ,หนังหินตะวันตก  ,Kulit Batu Barat  ,Bato-Kanluran Balat  ,Kulit Batu Barat  
133,Bảo Bảo đinh,Bảo Bảo đinh,Baby Ding  ,เป่าปาวติง  ,Bayi Ding  ,Baby Ding  ,Bayi Ding  
151,Béo đinh,Béo đinh,Fat Ding  ,อ้วนติง  ,Ding Gendut  ,Matabang Ding  ,Ding Gemuk  
152,Béo nhưng đinh,Béo nhưng đinh,Fat Rock Ding  ,อ้วนหนังติง  ,Batu Gendut Ding  ,Matabang Bato Ding  ,Batu Ding Gemuk  
153,Đi đường cỏ,Đi đường cỏ,Grass Path Walker  ,นักเดินทางบนหญ้า  ,Penjelajah Rumput  ,Naglalakad sa Damo  ,Penjejak Rumput  
171,Xú xú hoa,Xú xú hoa,Stinky Flower  ,ดอกไม้เหม็น  ,Bunga Busuk  ,Bulaklak Mabaho  ,Bunga Busuk  
172,Bá vương hoa,Bá vương hoa,Overlord Flower  ,ดอกไม้จอมพลัง  ,Bunga Raja  ,Bulaklak na Panginoon  ,Bunga Raja  
173,Mao cầu,Mao cầu,Fur Ball  ,ลูกขน  ,Bola Bulu  ,Bola ng Balahibo  ,Bola Bulu  
191,Ma lỗ nga,Ma lỗ nga,Malu Nga  ,มาหลู่หง่า  ,Malu Nga  ,Malu Nga  ,Malu Nga  
192,Có thể đạt tới vịt,Có thể đạt tới vịt,Reachable Duck  ,เป็ดที่เข้าถึงได้  ,Bebek yang Bisa Dicapai  ,Maabot na Pato  ,Itik yang Boleh Dicapai  
221,Ca đạt vịt,Ca đạt vịt,Kadak Duck  ,คาดักเป็ด  ,Kadak Bebek  ,Kadak na Pato  ,Kadak Itik  
222,Khỉ quái,Khỉ quái,Monkey Monster  ,ลิงประหลาด  ,Monyet Monster  ,Halimaw na Unggoy  ,Monyet Ganas  
231,Hỏa Bạo Hầu,Hỏa Bạo Hầu,Fire Blast Ape  ,ลิงเพลิงระเบิด  ,Kera Ledakan Api  ,Apoy Pumuputok na Unggoy  ,Bingit Api Monyet  
232,Kathi chó,Kathi chó,Kathi Dog  ,หมาคาธี  ,Anjing Kathi  ,Aso ni Kathi  ,Anjing Kathi  
241,Tốc độ gió chó,Tốc độ gió chó,Wind Speed Dog  ,หมาความเร็วลม  ,Anjing Kecepatan Angin  ,Aso ng Bilis ng Hangin  ,Anjing Laju Angin  
242,Cathy,Cathy,Cathy  ,แคธี่  ,Cathy  ,Cathy  ,Cathy  
261,Dũng Kira,Dũng Kira,Brave Kira  ,ผู้กล้าคิระ  ,Pemberani Kira  ,Matapang na Kira  ,Berani Kira  
262,Hồ,Hồ,Hu  ,หู  ,Hu  ,Hu  ,Hu  
263,Siêu cấp Hồ,Siêu cấp Hồ,Super Hu  ,ซูเปอร์หู  ,Super Hu  ,Super Hu  ,Super Hu  
264,Bắp thịt,Bắp thịt,Muscle  ,กล้ามเนื้อ  ,Otot  ,Kalamanan  ,Otot  
271,Hào lực,Hào lực,Powerful Strength  ,พลังกล้า  ,Kekuatan Hebat  ,Lakas Matindi  ,Tenaga Hebat  
272,Quái lực,Quái lực,Monster Strength  ,พลังประหลาด  ,Kekuatan Monster  ,Lakas Halimaw  ,Kekuatan Raksasa  
273,Loa mầm,Loa mầm,Sprout Horn  ,หน่อแตร  ,Tunas Bertanduk  ,Tangkay Sibol  ,Tunas Bertanduk  
281,Ngây mồm hoa,Ngây mồm hoa,Dazed Flower  ,ดอกไม้เบลอ  ,Bunga Linglung  ,Bulaklak Tanga  ,Bunga Bingung  
282,Đại thực hoa,Đại thực hoa,Big Eater Flower  ,ดอกไม้กินใหญ่  ,Bunga Pemakan Besar  ,Bulaklak Matakaw  ,Bunga Pemakan Besar  
283,Tiểu Quyền Thạch,Tiểu Quyền Thạch,Little Rock Fist  ,หินหมัดเล็ก  ,Batu Tinju Kecil  ,Maliit na Batong Kamao  ,Batu Tumbuk Kecil  
301,Ù ù thạch,Ù ù thạch,Oo Oo Rock  ,หินอู้ๆ  ,Batu Uu  ,Bato Oo Oo  ,Batu Oo Oo  
302,Ù ù nham,Ù ù nham,Oo Oo Lava  ,ลาวาอู้ๆ  ,Lava Uu  ,Lava Oo Oo  ,Lava Oo Oo  
303,Nhỏ từ quái,Nhỏ từ quái,Tiny Word Monster  ,อสูรคำตัวเล็ก  ,Monster Kata Mini  ,Halimaw ng Salita Maliit  ,Raksasa Kata Kecil  
331,Ba hợp một từ quái,Ba hợp một từ quái,Triple Word Monster  ,อสูรรวมสามคำ  ,Tiga Jadi Satu Kata Monster  ,Tatlo-sa-Isang Salita Halimaw  ,Gabungan Tiga Kata Raksasa  
332,Tự bạo từ quái,Tự bạo từ quái,Self-Destruct Word Monster  ,อสูรคำระเบิดตัวเอง  ,Monster Kata Meledak  ,Pumutok Sariling Salita Halimaw  ,Meletup Kata Raksasa  
333,Hành tây vịt,Hành tây vịt,Onion Duck  ,หัวหอมเป็ด  ,Bebek Bawang  ,Pato Sibuyas  ,Itik Bawang  
341,Tút tút,Tút tút,Toot Toot  ,ตู๊ด ตู๊ด  ,Tut Tut  ,Tut Tut  ,Tut Tut  
351,Tút tút lợi,Tút tút lợi,Toot Toot Gum  ,ตู๊ด ตู๊ด เหงือก  ,Tut Tut Gusi  ,Tut Tut Gilagid  ,Tut Tut Gusi  
352,Thối bùn,Thối bùn,Stinky Mud  ,โคลนเหม็น  ,Lumpur Busuk  ,Putik Mabaho  ,Lumpur Busuk  
371,Xú xú bùn,Xú xú bùn,Stinky Mud Slime  ,โคลนเน่าเหม็น  ,Lumpur Bau  ,Putik Mabahong Amoy  ,Lumpur Berbau Busuk  
372,Lưỡi to bối,Lưỡi to bối,Big Tongue Shell  ,หอยลิ้นโต  ,Kerang Lidah Besar  ,Kabibe Dila Malaki  ,Cengkerang Lidah Besar  
381,Đâm giáp bối,Đâm giáp bối,Spiky Shell  ,หอยเกราะแหลม  ,Kerang Berduri  ,Kabibe May Tinik  ,Cengkerang Berduri  
382,Quỷ tư,Quỷ tư,Ghost Si  ,ผี ซือ  ,Hantu Si  ,Multo Si  ,Hantu Si  
391,Quỷ Stone,Quỷ Stone,Ghost Stone  ,ผีหิน  ,Hantu Batu  ,Bato Multo  ,Hantu Batu  
392,Cảnh quỷ,Cảnh quỷ,Alert Ghost  ,ผียาม  ,Hantu Penjaga  ,Bantay Multo  ,Hantu Penjaga  
393,Siêu cấp cảnh quỷ,Siêu cấp cảnh quỷ,Super Alert Ghost  ,ซูเปอร์ผียาม  ,Super Hantu Penjaga  ,Super Bantay Multo  ,Super Hantu Penjaga  
394,Đại nham rắn,Đại nham rắn,Big Lava Snake  ,งูลาวาขนาดใหญ่  ,Ular Lava Besar  ,Ahas Lava Malaki  ,Ular Lava Besar  
401,Lớn cương xà,Lớn cương xà,Steel Snake  ,งูเหล็ก  ,Ular Baja  ,Ahas Bakal  ,Ular Besi  
402,Siêu cấp lớn cương xà,Siêu cấp lớn cương xà,Super Steel Snake  ,ซูเปอร์งูเหล็ก  ,Super Ular Baja  ,Super Ahas Bakal  ,Super Ular Besi  
403,Tạp lạp Tạp lạp,Tạp lạp Tạp lạp,Zala Zala  ,ซาลา ซาลา  ,Zala Zala  ,Zala Zala  ,Zala Zala  
451,Ầm ầm ầm ầm,Ầm ầm ầm ầm,Boom Boom Boom Boom  ,ตู้ม ตู้ม ตู้ม ตู้ม  ,Boom Boom Boom Boom  ,Boom Boom Boom Boom  ,Boom Boom Boom Boom  
452,Không sợ tiểu tử,Không sợ tiểu tử,Fearless Kid  ,เด็กไม่กลัว  ,Anak Tak Takut  ,Batang Walang Takot  ,Budak Tak Takut  
461,Phi cước lang,Phi cước lang,Flying Kick Wolf  ,หมาป่าถีบบิน  ,Serigala Tendangan Terbang  ,Wolf Sipa Lumilipad  ,Serigala Terajang Terbang  
462,Khoái quyền lang,Khoái quyền lang,Fast Fist Wolf  ,หมาป่าหมัดเร็ว  ,Serigala Tinju Cepat  ,Wolf Kamao Mabilis  ,Serigala Tumbukan Pantas  
463,Chiến múa lang,Chiến múa lang,Battle Dance Wolf  ,หมาป่ารำศึก  ,Serigala Tarian Perang  ,Wolf Sayaw Laban  ,Serigala Tarian Perang  
464,Đầu lưỡi lớn,Đầu lưỡi lớn,Big Tongue Tip  ,ปลายลิ้นใหญ่  ,Ujung Lidah Besar  ,Dulo ng Dila Malaki  ,Hujung Lidah Besar  
471,Lưỡi to liếm,Lưỡi to liếm,Big Tongue Licker  ,ลิ้นโตเลีย  ,Penjilat Lidah Besar  ,Dila Malaking Dumidila  ,Penjilat Lidah Besar  
472,Gas đạn,Gas đạn,Gas Bomb  ,ระเบิดแก๊ส  ,Bom Gas  ,Gas na Bomba  ,Bom Gas  
481,Song đạn gas,Song đạn gas,Double Gas Bomb  ,ระเบิดแก๊สคู่  ,Bom Gas Ganda  ,Bomba Gas Dalawa  ,Bom Gas Berganda  
482,Độc giác tê giác,Độc giác tê giác,Poison Horn Rhino  ,แรดเขาอันตราย  ,Badak Bertanduk Racun  ,Rinocerong May Lason  ,Badak Bertanduk Racun  
491,Chui tê giác thú,Chui tê giác thú,Charging Rhino Beast  ,สัตว์แรดพุ่ง  ,Binatang Badak Menyusup  ,Hayop Sungay Sunggab  ,Binatang Badak Menyusup  
492,Siêu giáp cuồng tê,Siêu giáp cuồng tê,Super Armored Mad Rhino  ,แรดคลั่งเกราะเหล็ก  ,Badak Gila Berzirah Super  ,Super Badak Perisai Gila  ,Badak Gila Berperisai Super  
493,Sừng cá vàng,Sừng cá vàng,Golden Fish Horn  ,เขาปลาทอง  ,Tanduk Ikan Emas  ,Sungay ng Isdang Ginto  ,Tanduk Ikan Emas  
541,Cá vàng vương,Cá vàng vương,Goldfish King  ,ราชาปลาทอง  ,Raja Ikan Emas  ,Hari ng Isdang Ginto  ,Raja Ikan Emas  
542,Hải tinh tinh,Hải tinh tinh,Sea Starling  ,ปลาดาวทะเล  ,Bintang Laut Kecil  ,Bituwin Dagat  ,Bintang Laut  
551,Bảo thạch hải tinh,Bảo thạch hải tinh,Gem Sea Star  ,ปลาดาวอัญมณี  ,Bintang Laut Permata  ,Bituwin Dagat Alahas  ,Bintang Laut Permata  
552,Phi Thiên Đường Lang,Phi Thiên Đường Lang,Sky Flying Praying Mantis  ,ตั๊กแตนสวรรค์บิน  ,Belalang Sembah Terbang  ,Langgam-Dasalan Lumilipad  ,Belalang Sembah Terbang  
571,Cự kìm bọ ngựa,Cự kìm bọ ngựa,Giant Claw Mantis  ,ตั๊กแตนก้ามยักษ์  ,Belalang Sembah Cakar Raksasa  ,Belalang Gunting Raksasa  ,Belalang Sembah Cakar Besar  
572,Điện giật quái,Điện giật quái,Electric Shock Monster  ,สัตว์ประหลาดไฟฟ้า  ,Monster Kejut Listrik  ,Halimaong Kuryente  ,Raksasa Kejutan Elektrik  
591,Điện giật thú,Điện giật thú,Electric Shock Beast  ,สัตว์ไฟฟ้า  ,Binatang Kejut Listrik  ,Hayop ng Kuryente  ,Binatang Kejutan Elektrik  
592,Điện giật ma thú,Điện giật ma thú,Electric Shock Demon Beast  ,อสูรไฟฟ้า  ,Iblis Kejut Listrik  ,Demonyong Hayop Kuryente  ,Iblis Kejutan Elektrik  
593,Vịt miệng Bảo Bảo,Vịt miệng Bảo Bảo,Beaky Baby Duck  ,ลูกเป็ดปากแหลม  ,Bayi Bebek Bermulut  ,Bebeng Pato Nguso  ,Anak Itik Bermulut  
601,Vịt miệng lửa thú,Vịt miệng lửa thú,Fire-Mouthed Duck Beast  ,สัตว์ปากเป็ดไฟ  ,Binatang Bebek Mulut Api  ,Hayop Pato Api  ,Binatang Itik Api  
602,Vịt miệng viêm thú,Vịt miệng viêm thú,Flame-Mouth Duck Beast  ,สัตว์ปากเป็ดเพลิง  ,Binatang Bebek Mulut Api  ,Hayop Itik Apoy  ,Binatang Itik Mulut Api  
603,Bạo Lý Long,Bạo Lý Long,Violent Tyranno  ,ไทแรนโนบ้าคลั่ง  ,Tyranno Ganas  ,Galit na Tyranno  ,Tyranno Ganas  
632,Laplace,Laplace,Laplace  ,ลาพลาซ  ,Laplace  ,Laplace  ,Laplace  
641,Hoá thạch nón trụ,Hoá thạch nón trụ,Fossil Cone  ,ฟอสซิลโคน  ,Fosil Kerucut  ,Fosil Kon  ,Fosil Kon  
691,Liêm đao nón trụ,Liêm đao nón trụ,Scythe Cone  ,โคนเคียว  ,Kerucut Sabit  ,Kon na Karit  ,Kon Sabit  
692,Hoá thạch Dực Long,Hoá thạch Dực Long,Fossil Winged Dragon  ,ฟอสซิลมังกรปีก  ,Fosil Naga Bersayap  ,Fosil Dragon Pakpak  ,Fosil Naga Bersayap  
701,Nhỏ thẻ so thú,Nhỏ thẻ so thú,Mini Scan Beast  ,สัตว์สแกนจิ๋ว  ,Beast Pemindai Mini  ,Maliit na Beast Scanner  ,Beast Imbas Mini  
711,Thẻ so thú,Thẻ so thú,Scan Beast  ,สัตว์สแกน  ,Beast Pemindai  ,Beast Scanner  ,Beast Imbas  
712,Cấp đống chim,Cấp đống chim,Stacked Bird  ,นกกองซ้อน  ,Burung Bertumpuk  ,Ibon Nakatumpok  ,Burung Bertindih  
721,Thiểm Điện điểu,Thiểm Điện điểu,Lightning Bird  ,นกสายฟ้า  ,Burung Petir  ,Ibon Kidlat  ,Burung Kilat  
731,Hỏa Diễm Điểu,Hỏa Diễm Điểu,Flame Bird  ,นกไฟ  ,Burung Api  ,Ibon Apoy  ,Burung Api  
741,Rồng tí hon,Rồng tí hon,Tiny Dragon  ,มังกรตัวเล็ก  ,Naga Mini  ,Maliit na Dragon  ,Naga Kecil  
751,Hag rồng,Hag rồng,Baby Dragon  ,เบบี้ดราก้อน  ,Naga Bayi  ,Dragon Baby  ,Bayi Naga  
752,Nhanh rồng,Nhanh rồng,Swift Dragon  ,มังกรไว  ,Naga Cepat  ,Dragon Mabilis  ,Naga Pantas  
753,Siêu mộng,Siêu mộng,Super Dream  ,ซูเปอร์ดรีม  ,Super Mimpi  ,Super Panaginip  ,Mimpi Super  
761,Mộng ảo,Mộng ảo,Dream Illusion  ,ภาพลวงดรีม  ,Mimpi Ilusi  ,Panaginip Ilusyon  ,Ilusi Mimpi  
771,Cúc cây cỏ,Cúc cây cỏ,Daisy Grass  ,เดซี่หญ้า  ,Rumput Daisy  ,Damo Daisy  ,Rumput Daisy  
781,Nguyệt quế lá,Nguyệt quế lá,Laurel Leaf  ,ใบลอเรล  ,Daun Laurel  ,Dahon Laurel  ,Daun Laurel  
782,Lớn trúc quỳ,Lớn trúc quỳ,Big Bamboo Turtle  ,เต่าไผ่ใหญ่  ,Kura Bambu Besar  ,Pagong Kawayan Malaki  ,Penyu Buluh Besar  
783,Hỏa cầu chuột,Hỏa cầu chuột,Fireball Mouse  ,หนูไฟบอล  ,Tikus Bola Api  ,Daga Bola Apoy  ,Tikus Bola Api  
791,Lửa nham chuột,Lửa nham chuột,Lava Mouse  ,หนูลาวา  ,Tikus Lava  ,Daga Lava  ,Tikus Lava  
792,Hỏa bạo thú,Hỏa bạo thú,Blazing Beast  ,สัตว์ไฟระเบิด  ,Binatang Ledakan Api  ,Hayop Putok Apoy  ,Binatang Letupan Api  
793,Nhỏ cưa ngạc,Nhỏ cưa ngạc,Little Saw Jaw  ,ขากรรไกรเลื่อยจิ๋ว  ,Rahang Gergaji Kecil  ,Panga Lagari Maliit  ,Rahang Gergaji Kecil  
801,Lam ngạc,Lam ngạc,Blue Jaw  ,ขากรรไกรน้ำเงิน  ,Rahang Biru  ,Panga Asul  ,Rahang Biru  
802,Đại lực ngạc,Đại lực ngạc,Strong Jaw  ,ขากรรไกรพลังสูง  ,Rahang Kuat  ,Panga Kuat  ,Rahang Kuat  
803,Be lợi dê,Be lợi dê,Soft Sheep  ,แพะนิ่ม  ,Domba Lembut  ,Kambing Lembut  ,Kambing Lembut  
881,Mượt mà dê,Mượt mà dê,Smooth Goat  ,แพะเรียบลื่น  ,Kambing Halus  ,Kambing Makinis  ,Kambing Licin  
882,Điện Long,Điện Long,Electric Dragon  ,มังกรไฟฟ้า  ,Naga Listrik  ,Dragon Elektrik  ,Naga Elektrik  
883,Lộ lực lệ,Lộ lực lệ,Rolu Lei  ,โรลูเล่  ,Rolu Lei  ,Rolu Lei  ,Rolu Lei  
891,Mã lực lộ,Mã lực lộ,Horsepower Ro  ,ม้าพลังโร  ,Tenaga Kuda Ro  ,Kabayo Power Ro  ,Kuda Kuasa Ro  
892,Mã lực lộ lệ,Mã lực lộ lệ,Horsepower Rolu  ,ม้าพลังโรลู  ,Tenaga Kuda Rolu  ,Kabayo Power Rolu  ,Kuda Kuasa Rolu  
893,Hera Kroos,Hera Kroos,Heracross  ,เฮราครอส  ,Heracross  ,Heracross  ,Heracross  
1071,Nữu kéo,Nữu kéo,Pull Nyu  ,ดึงหนิว  ,Tarik Nyu  ,Hila Nyu  ,Tarik Nyu  
1081,Mã nữu kéo,Mã nữu kéo,Horse Pull Nyu  ,ม้าดึงหนิว  ,Tarik Kuda Nyu  ,Kabayo Hila Nyu  ,Kuda Tarik Nyu  
1082,Mang Rewby,Mang Rewby,Mang Rewby  ,แมงรูบี้  ,Mang Rewby  ,Mang Rewby  ,Mang Rewby  
1171,Hắc Lỗ thêm,Hắc Lỗ thêm,Black Hole Plus  ,หลุมดำพลัส  ,Lubang Hitam Plus  ,Itim na Butas Plus  ,Lubang Hitam Tambahan  
1172,Lôi Công,Lôi Công,Thunder God  ,เทพสายฟ้า  ,Dewa Petir  ,Diyos ng Kidlat  ,Dewa Guruh  
1221,Viêm Đế,Viêm Đế,Flame Emperor  ,จักรพรรดิไฟ  ,Kaisar Api  ,Emperador ng Apoy  ,Maharaja Api  
1231,Thủy quân,Thủy quân,Water Trooper  ,ทหารน้ำ  ,Prajurit Air  ,Mandirigma ng Tubig  ,Prajurit Air  
1241,Ấu Kira tư,Ấu Kira tư,Baby Kirath  ,คิระตัวน้อย  ,Kirath Kecil  ,Munting Kirath  ,Kirath Kecil  
1251,Cát Kira tư,Cát Kira tư,Sand Kirath  ,คิระทราย  ,Kirath Pasir  ,Kirath ng Buhangin  ,Kirath Pasir  
1252,Ban Kira tư,Ban Kira tư,Spot Kirath  ,คิระลายจุด  ,Kirath Bercorak  ,Kirath na May Bakat  ,Kirath Bercorak  
1253,Lạc Kỳ á,Lạc Kỳ á,Lucky A  ,ลัคกี้ เอ  ,Si Beruntung A  ,Maswerteng A  ,Bertuah A  
1261,Phượng vương,Phượng vương,Phoenix King  ,ราชาฟีนิกซ์  ,Raja Phoenix  ,Hari ng Phoenix  ,Raja Phoenix  
1271,Mộc thạch sùng,Mộc thạch sùng,Wood Rock Bug  ,แมลงหินไม้  ,Serangga Batu Kayu  ,Insekto ng Bato-Kahoy  ,Serangga Batu Kayu  
1291,Rừng rậm thằn lằn,Rừng rậm thằn lằn,Jungle Lizard  ,กิ้งก่าในป่า  ,Kadal Hutan  ,Butiking Gubat  ,Cicak Hutan  
1292,Thằn lằn vương,Thằn lằn vương,Lizard King  ,ราชากิ้งก่า  ,Raja Kadal  ,Hari ng Butiki  ,Raja Cicak  
1293,Hỏa Trĩ gà,Hỏa Trĩ gà,Fire Pheasant  ,ไก่ไฟฟ้า  ,Ayam Api  ,Manok Apoy  ,Ayam Api  
1301,Khỏe mạnh cường tráng gà,Khỏe mạnh cường tráng gà,Strong Rooster  ,ไก่แข็งแรง  ,Ayam Perkasa  ,Manok Matatag  ,Ayam Gagah  
1302,Hỏa diễm gà,Hỏa diễm gà,Flame Chicken  ,ไก่เพลิง  ,Ayam Api Menyala  ,Manok na Nagniningas  ,Ayam Berapi  
1303,Nước vọt cá,Nước vọt cá,Water Jet Fish  ,ปลาพุ่งน้ำ  ,Ikan Sembur Air  ,Isdang Sirit Tubig  ,Ikan Pancutan Air  
1311,Chiểu vọt cá,Chiểu vọt cá,Swamp Jet Fish  ,ปลาพุ่งหนองน้ำ  ,Ikan Sembur Rawa  ,Isdang Sirit Lawa  ,Ikan Pancutan Rawa  
1312,Cự chiểu quái,Cự chiểu quái,Giant Swamp Monster  ,อสูรหนองน้ำยักษ์  ,Monster Rawa Raksasa  ,Halimaw Lawa Higante  ,Raksasa Rawa Besar  
1313,Sen Diệp Đồng tử,Sen Diệp Đồng tử,Lotus Leaf Boy  ,เด็กชายใบบัว  ,Bocah Daun Teratai  ,Batang Dahon Lotus  ,Budak Daun Teratai  
1351,Sen mũ tiểu đồng,Sen mũ tiểu đồng,Lotus Hat Kid  ,เด็กหมวกบัว  ,Anak Topi Teratai  ,Batang Sombrero Lotus  ,Budak Topi Teratai  
1352,Vui Thiên Hà đồng,Vui Thiên Hà đồng,Happy Galaxy Kid  ,เด็กแห่งทางช้างเผือก  ,Anak Galaksi Ceria  ,Batang Kalawakan Masaya  ,Budak Galaksi Ceria  
