VariableName,advanceIndex,advanceLevel,advanceName,advanceName_vn,advanceName_tw,advanceName_kr,advanceName_en,advanceName_th,advanceName_in,advanceName_ph,advanceName_ma,advanceLimitType,advanceLimitNum,advanceSeqID,sceneType,attrType1,attrNum1,attrType2,attrNum2
2108,5,7,Supreme,Tối thượng,,,Supreme,สูงสุด,Tertinggi,Natatangi,Tertinggi,,4,5,<2>,22,750,,
2109,5,8,Glorious,Vinh quang,,,Glorious,รุ่งโรจน์,Gemilang,Marilag,Gemilang,,5,5,<2>,23,750,,
2110,5,9,Infinity,Vô Cực,,,Infinity,ไร้ขีดจำกัด,Tak Terbatas,Walang Hanggan,Tanpa Had,2,4,5,<2>,24,750,,
2111,5,10,Infinity II,Vô Cực II,,,Infinity II,ไร้ขีดจำกัด II,Tak Terbatas II,Walang Hanggan II,Tanpa Had II,2,5,5,<2>,25,750,,
2201,6,0,Normal,Bình thường,,,Normal,ปกติ,Normal,Karaniwan,Biasa,,,,,,,,
2202,6,,Good,Tốt,,,Good,ดี,Bagus,Maganda,Baik,,1,6,<6>,9,10%,10,10%
2203,6,2,Exquisite I,Tinh xảo I,,,Exquisite I,ประณีต I,Indah I,Pinong I,Halus I,,2,6,<6>,7,10%,8,10%
2204,6,3,Exquisite II,Tinh xảo II,,,Exquisite II,ประณีต II,Indah II,Pinong II,Halus II,,,6,<6>,1,10%,,
2205,6,4,Excellent I,Xuất sắc I,,,Excellent I,ยอดเยี่ยม I,Luar Biasa I,Napakahusay I,Cemerlang I,2,1,6,<6>,11,500,12,500
2206,6,5,Excellent II,Xuất sắc II,,,Excellent II,ยอดเยี่ยม II,Luar Biasa II,Napakahusay II,Cemerlang II,2,2,6,<6>,14,500,,
2207,6,6,Luxurious,Xa hoa,,,Luxurious,หรูหรา,Mewah,Marangya,Mewah,2,,6,<6>,16,500,,
2208,6,7,Supreme,Tối thượng,,,Supreme,สูงสุด,Tertinggi,Natatangi,Tertinggi,,4,6,<6>,22,750,,
2209,6,8,Glorious,Vinh quang,,,Glorious,รุ่งโรจน์,Gemilang,Marilag,Gemilang,,5,6,<6>,23,750,,
2210,6,9,Infinity,Vô Cực,,,Infinity,ไร้ขีดจำกัด,Tak Terbatas,Walang Hanggan,Tanpa Had,2,4,6,<6>,24,750,,
2211,6,10,Infinity II,Vô Cực II,,,Infinity II,ไร้ขีดจำกัด II,Tak Terbatas II,Walang Hanggan II,Tanpa Had II,2,5,6,<6>,25,750,,
2301,7,0,Normal,Bình thường,,,Normal,ปกติ,Normal,Karaniwan,Biasa,,,,,,,,
2302,7,,Good,Tốt,,,Good,ดี,Bagus,Maganda,Baik,,1,7,<10>,9,10%,10,10%
2303,7,2,Exquisite I,Tinh xảo I,,,Exquisite I,ประณีต I,Indah I,Pinong I,Halus I,,2,7,<10>,7,10%,8,10%
2304,7,3,Exquisite II,Tinh xảo II,,,Exquisite II,ประณีต II,Indah II,Pinong II,Halus II,,,7,<10>,1,10%,,
2305,7,4,Excellent I,Xuất sắc I,,,Excellent I,ยอดเยี่ยม I,Luar Biasa I,Napakahusay I,Cemerlang I,2,1,7,<10>,11,500,12,500
2306,7,5,Excellent II,Xuất sắc II,,,Excellent II,ยอดเยี่ยม II,Luar Biasa II,Napakahusay II,Cemerlang II,2,2,7,<10>,14,500,,
2307,7,6,Luxurious,Xa hoa,,,Luxurious,หรูหรา,Mewah,Marangya,Mewah,2,,7,<10>,16,500,,
2308,7,7,Supreme,Tối thượng,,,Supreme,สูงสุด,Tertinggi,Natatangi,Tertinggi,,4,7,<10>,22,750,,
2309,7,8,Glorious,Vinh quang,,,Glorious,รุ่งโรจน์,Gemilang,Marilag,Gemilang,,5,7,<10>,23,750,,
2310,7,9,Infinity,Vô Cực,,,Infinity,ไร้ขีดจำกัด,Tak Terbatas,Walang Hanggan,Tanpa Had,2,4,7,<10>,24,750,,
2311,7,10,Infinity II,Vô Cực II,,,Infinity II,ไร้ขีดจำกัด II,Tak Terbatas II,Walang Hanggan II,Tanpa Had II,2,5,7,<10>,25,750,,
2401,8,0,Normal,Bình thường,,,Normal,ปกติ,Normal,Karaniwan,Biasa,,,,,,,,
2402,8,,Good,Tốt,,,Good,ดี,Bagus,Maganda,Baik,,1,8,<12>,9,10%,10,10%
2403,8,2,Exquisite I,Tinh xảo I,,,Exquisite I,ประณีต I,Indah I,Pinong I,Halus I,,2,8,<12>,7,10%,8,10%
2404,8,3,Exquisite II,Tinh xảo II,,,Exquisite II,ประณีต II,Indah II,Pinong II,Halus II,,,8,<12>,1,10%,,
2405,8,4,Excellent I,Xuất sắc I,,,Excellent I,ยอดเยี่ยม I,Luar Biasa I,Napakahusay I,Cemerlang I,2,1,8,<12>,11,500,12,500
2406,8,5,Excellent II,Xuất sắc II,,,Excellent II,ยอดเยี่ยม II,Luar Biasa II,Napakahusay II,Cemerlang II,2,2,8,<12>,14,500,,
2407,8,6,Luxurious,Xa hoa,,,Luxurious,หรูหรา,Mewah,Marangya,Mewah,2,,8,<12>,16,500,,
2408,8,7,Supreme,Tối thượng,,,Supreme,สูงสุด,Tertinggi,Natatangi,Tertinggi,,4,8,<12>,22,750,,
2409,8,8,Glorious,Vinh quang,,,Glorious,รุ่งโรจน์,Gemilang,Marilag,Gemilang,,5,8,<12>,23,750,,
2410,8,9,Infinity,Vô Cực,,,Infinity,ไร้ขีดจำกัด,Tak Terbatas,Walang Hanggan,Tanpa Had,2,4,8,<12>,24,750,,
2411,8,10,Infinity II,Vô Cực II,,,Infinity II,ไร้ขีดจำกัด II,Tak Terbatas II,Walang Hanggan II,Tanpa Had II,2,5,8,<12>,25,750,,
3101,9,0,Normal,Bình thường,,,Normal,ปกติ,Normal,Karaniwan,Biasa,,,,,,,,
3102,9,,Good,Tốt,,,Good,ดี,Bagus,Maganda,Baik,,1,9,<2>,9,10%,10,10%
3103,9,2,Exquisite I,Tinh xảo I,,,Exquisite I,ประณีต I,Indah I,Pinong I,Halus I,,2,9,<2>,7,10%,8,10%
3104,9,3,Exquisite II,Tinh xảo II,,,Exquisite II,ประณีต II,Indah II,Pinong II,Halus II,,,9,<2>,1,10%,,
3105,9,4,Excellent I,Xuất sắc I,,,Excellent I,ยอดเยี่ยม I,Luar Biasa I,Napakahusay I,Cemerlang I,2,1,9,<2>,11,500,12,500
3106,9,5,Excellent II,Xuất sắc II,,,Excellent II,ยอดเยี่ยม II,Luar Biasa II,Napakahusay II,Cemerlang II,2,2,9,<2>,14,500,,
3107,9,6,Luxurious,Xa hoa,,,Luxurious,หรูหรา,Mewah,Marangya,Mewah,2,,9,<2>,16,500,,
3108,9,7,Supreme,Tối thượng,,,Supreme,สูงสุด,Tertinggi,Natatangi,Tertinggi,,4,9,<2>,22,750,,
3109,9,8,Glorious,Vinh quang,,,Glorious,รุ่งโรจน์,Gemilang,Marilag,Gemilang,,5,9,<2>,23,750,,
3110,9,9,Infinity,Vô Cực,,,Infinity,ไร้ขีดจำกัด,Tak Terbatas,Walang Hanggan,Tanpa Had,2,4,9,<2>,24,750,,
3111,9,10,Infinity II,Vô Cực II,,,Infinity II,ไร้ขีดจำกัด II,Tak Terbatas II,Walang Hanggan II,Tanpa Had II,2,5,9,<2>,25,750,,
3201,10,0,Normal,Bình thường,,,Normal,ปกติ,Normal,Karaniwan,Biasa,,,,,,,,
3202,10,,Good,Tốt,,,Good,ดี,Bagus,Maganda,Baik,,1,10,<6>,9,10%,10,10%
3203,10,2,Exquisite I,Tinh xảo I,,,Exquisite I,ประณีต I,Indah I,Pinong I,Halus I,,2,10,<6>,7,10%,8,10%
3204,10,3,Exquisite II,Tinh xảo II,,,Exquisite II,ประณีต II,Indah II,Pinong II,Halus II,,,10,<6>,1,10%,,
3205,10,4,Excellent I,Xuất sắc I,,,Excellent I,ยอดเยี่ยม I,Luar Biasa I,Napakahusay I,Cemerlang I,2,1,10,<6>,11,500,12,500
3206,10,5,Excellent II,Xuất sắc II,,,Excellent II,ยอดเยี่ยม II,Luar Biasa II,Napakahusay II,Cemerlang II,2,2,10,<6>,14,500,,
3207,10,6,Luxurious,Xa hoa,,,Luxurious,หรูหรา,Mewah,Marangya,Mewah,2,,10,<6>,16,500,,
3208,10,7,Supreme,Tối thượng,,,Supreme,สูงสุด,Tertinggi,Natatangi,Tertinggi,,4,10,<6>,22,750,,
3209,10,8,Glorious,Vinh quang,,,Glorious,รุ่งโรจน์,Gemilang,Marilag,Gemilang,,5,10,<6>,23,750,,
3210,10,9,Infinity,Vô Cực,,,Infinity,ไร้ขีดจำกัด,Tak Terbatas,Walang Hanggan,Tanpa Had,2,4,10,<6>,24,750,,
3211,10,10,Infinity II,Vô Cực II,,,Infinity II,ไร้ขีดจำกัด II,Tak Terbatas II,Walang Hanggan II,Tanpa Had II,2,5,10,<6>,25,750,,
3301,11,0,Normal,Bình thường,,,Normal,ปกติ,Normal,Karaniwan,Biasa,,,,,,,,
3302,11,,Good,Tốt,,,Good,ดี,Bagus,Maganda,Baik,,1,11,<10>,9,10%,10,10%
3303,11,2,Exquisite I,Tinh xảo I,,,Exquisite I,ประณีต I,Indah I,Pinong I,Halus I,,2,11,<10>,7,10%,8,10%
3304,11,3,Exquisite II,Tinh xảo II,,,Exquisite II,ประณีต II,Indah II,Pinong II,Halus II,,,11,<10>,1,10%,,
3305,11,4,Excellent I,Xuất sắc I,,,Excellent I,ยอดเยี่ยม I,Luar Biasa I,Napakahusay I,Cemerlang I,2,1,11,<10>,11,500,12,500
3306,11,5,Excellent II,Xuất sắc II,,,Excellent II,ยอดเยี่ยม II,Luar Biasa II,Napakahusay II,Cemerlang II,2,2,11,<10>,14,500,,
3307,11,6,Luxurious,Xa hoa,,,Luxurious,หรูหรา,Mewah,Marangya,Mewah,2,,11,<10>,16,500,,
3308,11,7,Supreme,Tối thượng,,,Supreme,สูงสุด,Tertinggi,Natatangi,Tertinggi,,4,11,<10>,22,750,,
3309,11,8,Glorious,Vinh quang,,,Glorious,รุ่งโรจน์,Gemilang,Marilag,Gemilang,,5,11,<10>,23,750,,
3310,11,9,Infinity,Vô Cực,,,Infinity,ไร้ขีดจำกัด,Tak Terbatas,Walang Hanggan,Tanpa Had,2,4,11,<10>,24,750,,
3311,11,10,Infinity II,Vô Cực II,,,Infinity II,ไร้ขีดจำกัด II,Tak Terbatas II,Walang Hanggan II,Tanpa Had II,2,5,11,<10>,25,750,,
3401,12,0,Normal,Bình thường,,,Normal,ปกติ,Normal,Karaniwan,Biasa,,,,,,,,
3402,12,,Good,Tốt,,,Good,ดี,Bagus,Maganda,Baik,,1,12,<12>,9,10%,10,10%
3403,12,2,Exquisite I,Tinh xảo I,,,Exquisite I,ประณีต I,Indah I,Pinong I,Halus I,,2,12,<12>,7,10%,8,10%
3404,12,3,Exquisite II,Tinh xảo II,,,Exquisite II,ประณีต II,Indah II,Pinong II,Halus II,,,12,<12>,1,10%,,
3405,12,4,Excellent I,Xuất sắc I,,,Excellent I,ยอดเยี่ยม I,Luar Biasa I,Napakahusay I,Cemerlang I,2,1,12,<12>,11,500,12,500
3406,12,5,Excellent II,Xuất sắc II,,,Excellent II,ยอดเยี่ยม II,Luar Biasa II,Napakahusay II,Cemerlang II,2,2,12,<12>,14,500,,
3407,12,6,Luxurious,Xa hoa,,,Luxurious,หรูหรา,Mewah,Marangya,Mewah,2,,12,<12>,16,500,,
3408,12,7,Supreme,Tối thượng,,,Supreme,สูงสุด,Tertinggi,Natatangi,Tertinggi,,4,12,<12>,22,750,,
3409,12,8,Glorious,Vinh quang,,,Glorious,รุ่งโรจน์,Gemilang,Marilag,Gemilang,,5,12,<12>,23,750,,
3410,12,9,Infinity,Vô Cực,,,Infinity,ไร้ขีดจำกัด,Tak Terbatas,Walang Hanggan,Tanpa Had,2,4,12,<12>,24,750,,
3411,12,10,Infinity II,Vô Cực II,,,Infinity II,ไร้ขีดจำกัด II,Tak Terbatas II,Walang Hanggan II,Tanpa Had II,2,5,12,<12>,25,750,,
4101,13,0,Normal,Bình thường,,,Normal,ปกติ,Normal,Karaniwan,Biasa,,,,,,,,
4102,13,,Good,Tốt,,,Good,ดี,Bagus,Maganda,Baik,,1,13,<2>,9,10%,10,10%
4103,13,2,Exquisite I,Tinh xảo I,,,Exquisite I,ประณีต I,Indah I,Pinong I,Halus I,,2,13,<2>,7,10%,8,10%
4104,13,3,Exquisite II,Tinh xảo II,,,Exquisite II,ประณีต II,Indah II,Pinong II,Halus II,,,13,<2>,1,10%,,
4105,13,4,Excellent I,Xuất sắc I,,,Excellent I,ยอดเยี่ยม I,Luar Biasa I,Napakahusay I,Cemerlang I,2,1,13,<2>,11,500,12,500
4106,13,5,Excellent II,Xuất sắc II,,,Excellent II,ยอดเยี่ยม II,Luar Biasa II,Napakahusay II,Cemerlang II,2,2,13,<2>,14,500,,
4107,13,6,Luxurious,Xa hoa,,,Luxurious,หรูหรา,Mewah,Marangya,Mewah,2,,13,<2>,16,500,,
4108,13,7,Supreme,Tối thượng,,,Supreme,สูงสุด,Tertinggi,Natatangi,Tertinggi,,4,13,<2>,22,750,,
4109,13,8,Glorious,Vinh quang,,,Glorious,รุ่งโรจน์,Gemilang,Marilag,Gemilang,,5,13,<2>,23,750,,
4110,13,9,Infinity,Vô Cực,,,Infinity,ไร้ขีดจำกัด,Tak Terbatas,Walang Hanggan,Tanpa Had,2,4,13,<2>,24,750,,
4111,13,10,Infinity II,Vô Cực II,,,Infinity II,ไร้ขีดจำกัด II,Tak Terbatas II,Walang Hanggan II,Tanpa Had II,2,5,13,<2>,25,750,,
4201,14,0,Normal,Bình thường,,,Normal,ปกติ,Normal,Karaniwan,Biasa,,,,,,,,
4202,14,,Good,Tốt,,,Good,ดี,Bagus,Maganda,Baik,,1,14,<6>,9,10%,10,10%
4203,14,2,Exquisite I,Tinh xảo I,,,Exquisite I,ประณีต I,Indah I,Pinong I,Halus I,,2,14,<6>,7,10%,8,10%
4204,14,3,Exquisite II,Tinh xảo II,,,Exquisite II,ประณีต II,Indah II,Pinong II,Halus II,,,14,<6>,1,10%,,
4205,14,4,Excellent I,Xuất sắc I,,,Excellent I,ยอดเยี่ยม I,Luar Biasa I,Napakahusay I,Cemerlang I,2,1,14,<6>,11,500,12,500
4206,14,5,Excellent II,Xuất sắc II,,,Excellent II,ยอดเยี่ยม II,Luar Biasa II,Napakahusay II,Cemerlang II,2,2,14,<6>,14,500,,
4207,14,6,Luxurious,Xa hoa,,,Luxurious,หรูหรา,Mewah,Marangya,Mewah,2,,14,<6>,16,500,,
4208,14,7,Supreme,Tối thượng,,,Supreme,สูงสุด,Tertinggi,Natatangi,Tertinggi,,4,14,<6>,22,750,,
4209,14,8,Glorious,Vinh quang,,,Glorious,รุ่งโรจน์,Gemilang,Marilag,Gemilang,,5,14,<6>,23,750,,
4210,14,9,Infinity,Vô Cực,,,Infinity,ไร้ขีดจำกัด,Tak Terbatas,Walang Hanggan,Tanpa Had,2,4,14,<6>,24,750,,
4211,14,10,Infinity II,Vô Cực II,,,Infinity II,ไร้ขีดจำกัด II,Tak Terbatas II,Walang Hanggan II,Tanpa Had II,2,5,14,<6>,25,750,,
4301,15,0,Normal,Bình thường,,,Normal,ปกติ,Normal,Karaniwan,Biasa,,,,,,,,
4302,15,,Good,Tốt,,,Good,ดี,Bagus,Maganda,Baik,,1,15,<10>,9,10%,10,10%
4303,15,2,Exquisite I,Tinh xảo I,,,Exquisite I,ประณีต I,Indah I,Pinong I,Halus I,,2,15,<10>,7,10%,8,10%
4304,15,3,Exquisite II,Tinh xảo II,,,Exquisite II,ประณีต II,Indah II,Pinong II,Halus II,,,15,<10>,1,10%,,
4305,15,4,Excellent I,Xuất sắc I,,,Excellent I,ยอดเยี่ยม I,Luar Biasa I,Napakahusay I,Cemerlang I,2,1,15,<10>,11,500,12,500
4306,15,5,Excellent II,Xuất sắc II,,,Excellent II,ยอดเยี่ยม II,Luar Biasa II,Napakahusay II,Cemerlang II,2,2,15,<10>,14,500,,
4307,15,6,Luxurious,Xa hoa,,,Luxurious,หรูหรา,Mewah,Marangya,Mewah,2,,15,<10>,16,500,,
4308,15,7,Supreme,Tối thượng,,,Supreme,สูงสุด,Tertinggi,Natatangi,Tertinggi,,4,15,<10>,22,750,,
4309,15,8,Glorious,Vinh quang,,,Glorious,รุ่งโรจน์,Gemilang,Marilag,Gemilang,,5,15,<10>,23,750,,
4310,15,9,Infinity,Vô Cực,,,Infinity,ไร้ขีดจำกัด,Tak Terbatas,Walang Hanggan,Tanpa Had,2,4,15,<10>,24,750,,
4311,15,10,Infinity II,Vô Cực II,,,Infinity II,ไร้ขีดจำกัด II,Tak Terbatas II,Walang Hanggan II,Tanpa Had II,2,5,15,<10>,25,750,,
4401,16,0,Normal,Bình thường,,,Normal,ปกติ,Normal,Karaniwan,Biasa,,,,,,,,
4402,16,,Good,Tốt,,,Good,ดี,Bagus,Maganda,Baik,,1,16,<12>,9,10%,10,10%
4403,16,2,Exquisite I,Tinh xảo I,,,Exquisite I,ประณีต I,Indah I,Pinong I,Halus I,,2,16,<12>,7,10%,8,10%
4404,16,3,Exquisite II,Tinh xảo II,,,Exquisite II,ประณีต II,Indah II,Pinong II,Halus II,,,16,<12>,1,10%,,
4405,16,4,Excellent I,Xuất sắc I,,,Excellent I,ยอดเยี่ยม I,Luar Biasa I,Napakahusay I,Cemerlang I,2,1,16,<12>,11,500,12,500
4406,16,5,Excellent II,Xuất sắc II,,,Excellent II,ยอดเยี่ยม II,Luar Biasa II,Napakahusay II,Cemerlang II,2,2,16,<12>,14,500,,
4407,16,6,Luxurious,Xa hoa,,,Luxurious,หรูหรา,Mewah,Marangya,Mewah,2,,16,<12>,16,500,,
4408,16,7,Supreme,Tối thượng,,,Supreme,สูงสุด,Tertinggi,Natatangi,Tertinggi,,4,16,<12>,22,750,,
4409,16,8,Glorious,Vinh quang,,,Glorious,รุ่งโรจน์,Gemilang,Marilag,Gemilang,,5,16,<12>,23,750,,
4410,16,9,Infinity,Vô Cực,,,Infinity,ไร้ขีดจำกัด,Tak Terbatas,Walang Hanggan,Tanpa Had,2,4,16,<12>,24,750,,
4411,16,10,Infinity II,Vô Cực II,,,Infinity II,ไร้ขีดจำกัด II,Tak Terbatas II,Walang Hanggan II,Tanpa Had II,2,5,16,<12>,25,750,,
5101,17,0,Normal,Bình thường,,,Normal,ปกติ,Normal,Karaniwan,Biasa,,,,,,,,
5102,17,,Good,Tốt,,,Good,ดี,Bagus,Maganda,Baik,,1,17,<2>,9,10%,10,10%
5103,17,2,Exquisite I,Tinh xảo I,,,Exquisite I,ประณีต I,Indah I,Pinong I,Halus I,,2,17,<2>,7,10%,8,10%
5104,17,3,Exquisite II,Tinh xảo II,,,Exquisite II,ประณีต II,Indah II,Pinong II,Halus II,,,17,<2>,1,10%,,
5105,17,4,Excellent I,Xuất sắc I,,,Excellent I,ยอดเยี่ยม I,Luar Biasa I,Napakahusay I,Cemerlang I,2,1,17,<2>,11,500,12,500
5106,17,5,Excellent II,Xuất sắc II,,,Excellent II,ยอดเยี่ยม II,Luar Biasa II,Napakahusay II,Cemerlang II,2,2,17,<2>,14,500,,
5107,17,6,Luxurious,Xa hoa,,,Luxurious,หรูหรา,Mewah,Marangya,Mewah,2,,17,<2>,16,500,,
5108,17,7,Supreme,Tối thượng,,,Supreme,สูงสุด,Tertinggi,Natatangi,Tertinggi,,4,17,<2>,22,750,,
5109,17,8,Glorious,Vinh quang,,,Glorious,รุ่งโรจน์,Gemilang,Marilag,Gemilang,,5,17,<2>,23,750,,
5110,17,9,Infinity,Vô Cực,,,Infinity,ไร้ขีดจำกัด,Tak Terbatas,Walang Hanggan,Tanpa Had,2,4,17,<2>,24,750,,
