VariableName,suitID,suitName_cn,suitName_tw,suitName,suitName_vn,suitName_en,suitName_th,suitName_in,suitName_ph,suitName_ma,suitNum,suitQuality,attrType1,attrNum1,attrType2,attrNum2
66,8,,,Radiant  ,Tỏa Sáng,Radiant  ,เปล่งประกาย  ,Bersinar  ,Nagniningning  ,Bersinar  ,3,2,26,200,,
67,8,,,Radiant  ,Tỏa Sáng,Radiant  ,เปล่งประกาย  ,Bersinar  ,Nagniningning  ,Bersinar  ,3,3,26,300,,
68,8,,,Radiant  ,Tỏa Sáng,Radiant  ,เปล่งประกาย  ,Bersinar  ,Nagniningning  ,Bersinar  ,3,4,26,400,,
69,8,,,Radiant  ,Tỏa Sáng,Radiant  ,เปล่งประกาย  ,Bersinar  ,Nagniningning  ,Bersinar  ,3,5,26,600,,
70,8,,,Radiant  ,Tỏa Sáng,Radiant  ,เปล่งประกาย  ,Bersinar  ,Nagniningning  ,Bersinar  ,3,6,26,2000,,
71,9,,,Counter  ,Phản Chế,Counter  ,ต่อต้าน  ,Lawan  ,Kontra  ,Tangkis  ,3,2,27,300,,
72,9,,,Counter  ,Phản Chế,Counter  ,ต่อต้าน  ,Lawan  ,Kontra  ,Tangkis  ,3,3,27,450,,
73,9,,,Counter  ,Phản Chế,Counter  ,ต่อต้าน  ,Lawan  ,Kontra  ,Tangkis  ,3,4,27,600,,
74,9,,,Counter  ,Phản Chế,Counter  ,ต่อต้าน  ,Lawan  ,Kontra  ,Tangkis  ,3,5,27,900,,
75,9,,,Counter  ,Phản Chế,Counter  ,ต่อต้าน  ,Lawan  ,Kontra  ,Tangkis  ,3,6,27,2000,,
