VariableName,_beizhu,point,award
Defaults,0,0,{}
ID,所需累计天数,所需热心人点数,赠送奖励
1,,50,{12=10;coin3=120}
480,,229050,{13=20;coin3=720}
481,,229550,{13=20;coin3=720}
482,,230050,{13=20;coin3=720}
483,,230550,{13=20;coin3=720}
484,,231050,{13=20;coin3=720}
485,,231550,{13=20;coin3=720}
486,,232050,{13=20;coin3=720}
487,,232550,{13=20;coin3=720}
488,,233050,{13=20;coin3=720}
489,,233550,{13=20;coin3=720}
490,,234050,{13=20;coin3=720}
491,,234550,{13=20;coin3=720}
492,,235050,{13=20;coin3=720}
493,,235550,{13=20;coin3=720}
494,,236050,{13=20;coin3=720}
495,,236550,{13=20;coin3=720}
496,,237050,{13=20;coin3=720}
497,,237550,{13=20;coin3=720}
498,,238050,{13=20;coin3=720}
499,,238550,{13=20;coin3=720}
500,,239050,{13=20;coin3=720}
501,,239550,{13=20;coin3=720}
502,,240050,{13=20;coin3=720}
503,,240550,{13=20;coin3=720}
504,,241050,{13=20;coin3=720}
505,,241550,{13=20;coin3=720}
506,,242050,{13=20;coin3=720}
507,,242550,{13=20;coin3=720}
508,,243050,{13=20;coin3=720}
509,,243550,{13=20;coin3=720}
510,,244050,{13=20;coin3=720}
511,,244550,{13=20;coin3=720}
512,,245050,{13=20;coin3=720}
513,,245550,{13=20;coin3=720}
514,,246050,{13=20;coin3=720}
515,,246550,{13=20;coin3=720}
516,,247050,{13=20;coin3=720}
517,,247550,{13=20;coin3=720}
518,,248050,{13=20;coin3=720}
519,,248550,{13=20;coin3=720}
520,,249050,{13=20;coin3=720}
