VariableName,memberMax,viceChairmanMax,levelUpContrib,taskExpMax,ContribMax,ContribSumMax,openFeature,trainingExp,dailyGift,dailyPacket1,totalCount1,dailyPacket2,totalCount2,dailyPacket3,totalCount3,skillLvMax,notice1_cn,notice1_vn,notice1_tw,notice1,notice1_en,notice1_th,notice1_in,notice1_ph,notice1_ma,notice2_cn,notice2_vn,notice2_tw,notice2,notice2_en,notice2_th,notice2_in,notice2_ph,notice2_ma,notice3,notice4
9,38,,230000,34640,5,19000,,1.04,{13=7;21841=2;gold=60000;coin3=180},{gold=3100000},28,{rmb=460},28,{coin3=2300},28,30,,Giới hạn số lượng thành viên đã tăng 1 (đạt 38).,,Member limit increased by 1 (reached 38).,Member limit increased by 1 (reached 38).,ขีดจำกัดจำนวนสมาชิกเพิ่มขึ้น 1 (ถึง 38),Batas anggota bertambah 1 (mencapai 38).,Limitasyon ng miyembro nadagdagan ng 1 (umabot sa 38).,Had ahli bertambah 1 (mencapai 38).,,,,,,,,,,,
10,39,,346000,35000,5,19500,,1.04,{13=7;21841=2;gold=65000;coin3=190},{gold=3300000},29,{rmb=480},29,{coin3=2400},29,30,,Giới hạn số lượng thành viên đã tăng 1 (đạt 39).,,Member limit increased by 1 (reached 39).,Member limit increased by 1 (reached 39).,ขีดจำกัดจำนวนสมาชิกเพิ่มขึ้น 1 (ถึง 39),Batas anggota bertambah 1 (mencapai 39).,Limitasyon ng miyembro nadagdagan ng 1 (umabot sa 39).,Had ahli bertambah 1 (mencapai 39).,,Có thể cài đặt số lượng phó hội trưởng +1,,Can set the number of vice guild leaders +1,Can set the number of vice guild leaders +1,สามารถตั้งค่าจำนวนรองหัวหน้ากิลด์ +1,Dapat mengatur jumlah wakil ketua guild +1,Maaaring itakda ang bilang ng mga bise lider ng guild +1,Boleh tetapkan bilangan timbalan ketua guild +1,,
11,40,3,428000,35000,5,20000,,1.05,{13=8;21841=3;gold=70000;coin3=200},{gold=3500000},30,{rmb=500},30,{coin3=2500},30,30,,Giới hạn số lượng thành viên đã tăng 1 (đạt 40).,,Member limit increased by 1 (reached 40).,Member limit increased by 1 (reached 40).,ขีดจำกัดจำนวนสมาชิกเพิ่มขึ้น 1 (ถึง 40),Batas anggota bertambah 1 (mencapai 40).,Limitasyon ng miyembro nadagdagan ng 1 (umabot sa 40).,Had ahli bertambah 1 (mencapai 40).,,,,,,,,,,,
12,41,3,524000,35000,5,20500,,1.05,{13=8;21841=3;gold=75000;coin3=210},{gold=3700000},30,{rmb=520},30,{coin3=2600},30,30,,Giới hạn số lượng thành viên đã tăng 1 (đạt 41).,,Member limit increased by 1 (reached 41).,Member limit increased by 1 (reached 41).,ขีดจำกัดจำนวนสมาชิกเพิ่มขึ้น 1 (ถึง 41),Batas anggota bertambah 1 (mencapai 41).,Limitasyon ng miyembro nadagdagan ng 1 (umabot sa 41).,Had ahli bertambah 1 (mencapai 41).,,,,,,,,,,,
13,42,3,640000,35000,5,21000,,1.06,{13=9;21841=3;gold=80000;coin3=220},{gold=3900000},31,{rmb=540},31,{coin3=2700},31,40,,Giới hạn số lượng thành viên đã tăng 1 (đạt 42).,,Member limit increased by 1 (reached 42).,Member limit increased by 1 (reached 42).,ขีดจำกัดจำนวนสมาชิกเพิ่มขึ้น 1 (ถึง 42),Batas anggota bertambah 1 (mencapai 42).,Limitasyon ng miyembro nadagdagan ng 1 (umabot sa 42).,Had ahli bertambah 1 (mencapai 42).,,,,,,,,,,,
14,43,3,778000,35000,5,21500,,1.06,{13=9;21841=3;gold=85000;coin3=230},{gold=4100000},31,{rmb=560},31,{coin3=2800},31,40,,Giới hạn số lượng thành viên đã tăng 1 (đạt 43).,,Member limit increased by 1 (reached 43).,Member limit increased by 1 (reached 43).,ขีดจำกัดจำนวนสมาชิกเพิ่มขึ้น 1 (ถึง 43),Batas anggota bertambah 1 (mencapai 43).,Limitasyon ng miyembro nadagdagan ng 1 (umabot sa 43).,Had ahli bertambah 1 (mencapai 43).,,,,,,,,,,,
15,44,3,924000,35000,5,22000,,1.07,{13=10;21841=3;gold=90000;coin3=240},{gold=4300000},32,{rmb=580},32,{coin3=2900},32,40,,Giới hạn số lượng thành viên đã tăng 1 (đạt 44).,,Member limit increased by 1 (reached 44).,Member limit increased by 1 (reached 44).,ขีดจำกัดจำนวนสมาชิกเพิ่มขึ้น 1 (ถึง 44),Batas anggota bertambah 1 (mencapai 44).,Limitasyon ng miyembro nadagdagan ng 1 (umabot sa 44).,Had ahli bertambah 1 (mencapai 44).,,,,,,,,,,,
16,45,3,1128000,35000,5,22500,,1.07,{13=10;21841=3;gold=95000;coin3=250},{gold=4500000},32,{rmb=600},32,{coin3=3000},32,40,,Giới hạn số lượng thành viên đã tăng 1 (đạt 45).,,Member limit increased by 1 (reached 45).,Member limit increased by 1 (reached 45).,ขีดจำกัดจำนวนสมาชิกเพิ่มขึ้น 1 (ถึง 45),Batas anggota bertambah 1 (mencapai 45).,Limitasyon ng miyembro nadagdagan ng 1 (umabot sa 45).,Had ahli bertambah 1 (mencapai 45).,,,,,,,,,,,
17,46,3,1380000,35000,5,23000,,1.08,{13=11;21841=3;gold=100000;coin3=260},{gold=4700000},33,{rmb=620},33,{coin3=3100},33,50,,Giới hạn số lượng thành viên đã tăng 1 (đạt 46).,,Member limit increased by 1 (reached 46).,Member limit increased by 1 (reached 46).,ขีดจำกัดจำนวนสมาชิกเพิ่มขึ้น 1 (ถึง 46),Batas anggota bertambah 1 (mencapai 46).,Limitasyon ng miyembro nadagdagan ng 1 (umabot sa 46).,Had ahli bertambah 1 (mencapai 46).,,,,,,,,,,,
18,47,3,1690000,35000,5,23500,,1.08,{13=11;21841=3;gold=105000;coin3=270},{gold=4900000},33,{rmb=640},33,{coin3=3200},33,50,,Giới hạn số lượng thành viên đã tăng 1 (đạt 47).,,Member limit increased by 1 (reached 47).,Member limit increased by 1 (reached 47).,ขีดจำกัดจำนวนสมาชิกเพิ่มขึ้น 1 (ถึง 47),Batas anggota bertambah 1 (mencapai 47).,Limitasyon ng miyembro nadagdagan ng 1 (umabot sa 47).,Had ahli bertambah 1 (mencapai 47).,,,,,,,,,,,
19,48,3,2040000,35000,5,24000,,1.09,{13=12;21841=3;gold=110000;coin3=280},{gold=5100000},34,{rmb=660},34,{coin3=3300},34,50,,Giới hạn số lượng thành viên đã tăng 1 (đạt 48).,,Member limit increased by 1 (reached 48).,Member limit increased by 1 (reached 48).,ขีดจำกัดจำนวนสมาชิกเพิ่มขึ้น 1 (ถึง 48),Batas anggota bertambah 1 (mencapai 48).,Limitasyon ng miyembro nadagdagan ng 1 (umabot sa 48).,Had ahli bertambah 1 (mencapai 48).,,,,,,,,,,,
20,49,3,2450000,35000,5,24500,,1.09,{13=12;21841=3;gold=115000;coin3=290},{gold=5300000},34,{rmb=680},34,{coin3=3400},34,50,,Giới hạn số lượng thành viên đã tăng 1 (đạt 49).,,Member limit increased by 1 (reached 49).,Member limit increased by 1 (reached 49).,ขีดจำกัดจำนวนสมาชิกเพิ่มขึ้น 1 (ถึง 49),Batas anggota bertambah 1 (mencapai 49).,Limitasyon ng miyembro nadagdagan ng 1 (umabot sa 49).,Had ahli bertambah 1 (mencapai 49).,,,,,,,,,,,
