VariableName,firstMonters,repeatMonters,name,monsterDesc,desc,scene,hpFix,damageFix,defenceFix,speedFix,floor,firstAward,repeatAward,extraAward,singleDamageMax,damageMax
10,<120>,<120;20>,Màn 10,,Biểu tượng tình bạn: Pokémon khởi đầu,,1.31,1.31,1.31,1.31,10,{930=30;973=1;6393=10;850=120},{gold=50000},,,
11,<121>,<121;21>,Màn 11,,Trận chiến cuối cùng,,1.35,1.35,1.35,1.35,11,{2415=1;521=3;6393=30;rmb=188},{gold=50000},{2415=1;521=3;6393=30;rmb=188},,
101,<111>,<111;11>,Màn 1,,Mình chọn cậu!,,0.6,0.6,0.6,0.6,,{5000=50;gold=100000;talent_point=1},{gold=50000},,,
102,<112>,<112;12>,Màn 2,,Chào mừng đến căn cứ nghiên cứu,,0.66,0.66,0.66,0.66,2,{930=50;502=1;gold=100000},{gold=50000},,,
103,<113>,<113;13>,Màn 3,,Sẽ gặp gì trong bão tuyết đây?,,0.73,0.73,0.73,0.73,3,{talent_point=1;951=10;gold=100000},{gold=50000},,,
104,<114>,<114;14>,Màn 4,,Phía bên kia cầu vồng,,0.85,0.85,0.85,0.85,4,{502=1;gold=100000;452=50},{gold=50000},,,
105,<115>,<115;15>,Màn 5,,Biến thân đối chiến,,0.97,0.97,0.97,0.97,5,{talent_point=1;stamina=100;gold=100000},{gold=50000},,,
106,<116>,<116;16>,Màn 6,,Bài hát của Pikachu,,1.09,1.09,1.09,1.09,6,{502=1;501=1;gold=100000},{gold=50000},,,
107,<117>,<117;17>,Màn 7,,"Mewtwo, tôi ở ngay đây!",,1.24,1.24,1.24,1.24,7,{talent_point=1;4000=200;gold=100000},{gold=50000},,,
108,<118>,<118;18>,Màn 8,,Dũng sĩ đến từ thế giới khác,,1.39,1.39,1.39,1.39,8,{502=1;529=1000;gold=100000},{gold=50000},,,
109,<119>,<119;19>,Màn 9,,Con đường trở thành kẻ mạnh nhất,,1.56,1.56,1.56,1.56,9,{111=200;gold=100000;talent_point=1},{gold=50000},,,
110,<120>,<120;20>,Màn 10,,Biểu tượng tình bạn: Pokémon khởi đầu,,1.73,1.73,1.73,1.73,10,{502=1;gold=100000;527=2},{gold=50000},,,
111,<121>,<121;21>,Màn 11,,Trận chiến cuối cùng,,1.79,1.79,1.79,1.79,11,{521=1;501=1;gold=100000},{gold=50000},,,
201,<111>,<111;11>,Màn 1,,Pokémon Thần Thoại Hội Tụ,,0.69,0.69,0.69,0.69,,{5000=50;gold=100000;talent_point=1},{gold=50000},,,
202,<112>,<112;12>,Màn 2,,Pokémon Thần Thoại Hội Tụ,,0.76,0.76,0.76,0.76,2,{930=50;502=1;gold=100000},{gold=50000},,,
203,<113>,<113;13>,Màn 3,,Pokémon Thần Thoại Hội Tụ,,0.84,0.84,0.84,0.84,3,{talent_point=1;951=10;gold=100000},{gold=50000},,,
204,<114>,<114;14>,Màn 4,,Pokémon Thần Thoại Hội Tụ,,0.98,0.98,0.98,0.98,4,{502=1;gold=100000;452=50},{gold=50000},,,
205,<115>,<115;15>,Màn 5,,Pokémon Thần Thoại Hội Tụ,,1.12,1.12,1.12,1.12,5,{talent_point=1;stamina=100;gold=100000},{gold=50000},,,
206,<116>,<116;16>,Màn 6,,Pokémon Thần Thoại Hội Tụ,,1.25,1.25,1.25,1.25,6,{502=1;501=1;gold=100000},{gold=50000},,,
207,<117>,<117;17>,Màn 7,,Pokémon Thần Thoại Hội Tụ,,1.43,1.43,1.43,1.43,7,{talent_point=1;4000=200;gold=100000},{gold=50000},,,
208,<118>,<118;18>,Màn 8,,Pokémon Thần Thoại Hội Tụ,,1.6,1.6,1.6,1.6,8,{502=1;529=1000;gold=100000},{gold=50000},,,
209,<119>,<119;19>,Màn 9,,Pokémon Thần Thoại Hội Tụ,,1.79,1.79,1.79,1.79,9,{111=200;gold=100000;talent_point=1},{gold=50000},,,
210,<120>,<120;20>,Màn 10,,Pokémon Thần Thoại Hội Tụ,,1.99,1.99,1.99,1.99,10,{502=1;gold=100000;527=2},{gold=50000},,,
211,<121>,<121;21>,Màn 11,,Pokémon Thần Thoại Hội Tụ,,2.06,2.06,2.06,2.06,11,{521=1;501=1;gold=100000},{gold=50000},,,
301,<111>,<111;11>,Màn 1,,Tộc Rồng Hội Tụ,,0.69,0.69,0.69,0.69,,{5000=50;gold=100000;talent_point=1},{gold=50000},,,
302,<112>,<112;12>,Màn 2,,Tộc Rồng Hội Tụ,,0.76,0.76,0.76,0.76,2,{930=50;502=1;gold=100000},{gold=50000},,,
303,<113>,<113;13>,Màn 3,,Tộc Rồng Hội Tụ,,0.84,0.84,0.84,0.84,3,{talent_point=1;951=10;gold=100000},{gold=50000},,,
304,<114>,<114;14>,Màn 4,,Tộc Rồng Hội Tụ,,0.98,0.98,0.98,0.98,4,{502=1;gold=100000;452=50},{gold=50000},,,
305,<115>,<115;15>,Màn 5,,Tộc Rồng Hội Tụ,,1.12,1.12,1.12,1.12,5,{talent_point=1;stamina=100;gold=100000},{gold=50000},,,
306,<116>,<116;16>,Màn 6,,Tộc Rồng Hội Tụ,,1.25,1.25,1.25,1.25,6,{502=1;501=1;gold=100000},{gold=50000},,,
307,<117>,<117;17>,Màn 7,,Tộc Rồng Hội Tụ,,1.43,1.43,1.43,1.43,7,{talent_point=1;4000=200;gold=100000},{gold=50000},,,
308,<118>,<118;18>,Màn 8,,Tộc Rồng Hội Tụ,,1.6,1.6,1.6,1.6,8,{502=1;529=1000;gold=100000},{gold=50000},,,
309,<119>,<119;19>,Màn 9,,Tộc Rồng Hội Tụ,,1.79,1.79,1.79,1.79,9,{111=200;gold=100000;talent_point=1},{gold=50000},,,
310,<120>,<120;20>,Màn 10,,Tộc Rồng Hội Tụ,,1.99,1.99,1.99,1.99,10,{502=1;gold=100000;527=2},{gold=50000},,,
311,<121>,<121;21>,Màn 11,,Tộc Rồng Hội Tụ,,2.06,2.06,2.06,2.06,11,{521=1;501=1;gold=100000},{gold=50000},,,
401,<111>,<111;11>,Màn 1,,Hệ Giác Đấu Hội Tụ,,0.69,0.69,0.69,0.69,,{5000=50;gold=100000;talent_point=1},{gold=50000},,,
402,<112>,<112;12>,Màn 2,,Hệ Giác Đấu Hội Tụ,,0.76,0.76,0.76,0.76,2,{930=50;502=1;gold=100000},{gold=50000},,,
403,<113>,<113;13>,Màn 3,,Hệ Giác Đấu Hội Tụ,,0.84,0.84,0.84,0.84,3,{talent_point=1;951=10;gold=100000},{gold=50000},,,
404,<114>,<114;14>,Màn 4,,Hệ Giác Đấu Hội Tụ,,0.98,0.98,0.98,0.98,4,{502=1;gold=100000;452=50},{gold=50000},,,
405,<115>,<115;15>,Màn 5,,Hệ Giác Đấu Hội Tụ,,1.12,1.12,1.12,1.12,5,{talent_point=1;stamina=100;gold=100000},{gold=50000},,,
406,<116>,<116;16>,Màn 6,,Hệ Giác Đấu Hội Tụ,,1.25,1.25,1.25,1.25,6,{502=1;501=1;gold=100000},{gold=50000},,,
407,<117>,<117;17>,Màn 7,,Hệ Giác Đấu Hội Tụ,,1.43,1.43,1.43,1.43,7,{talent_point=1;4000=200;gold=100000},{gold=50000},,,
408,<118>,<118;18>,Màn 8,,Hệ Giác Đấu Hội Tụ,,1.6,1.6,1.6,1.6,8,{502=1;529=1000;gold=100000},{gold=50000},,,
409,<119>,<119;19>,Màn 9,,Hệ Giác Đấu Hội Tụ,,1.79,1.79,1.79,1.79,9,{111=200;gold=100000;talent_point=1},{gold=50000},,,
410,<120>,<120;20>,Màn 10,,Hệ Giác Đấu Hội Tụ,,1.99,1.99,1.99,1.99,10,{502=1;gold=100000;527=2},{gold=50000},,,
411,<121>,<121;21>,Màn 11,,Hệ Giác Đấu Hội Tụ,,2.06,2.06,2.06,2.06,11,{521=1;501=1;gold=100000},{gold=50000},,,
