VariableName,name,_beizhu,type,activeType,desc,rarity,groupID,addAttrs,addType,skillIDs,cardIDs,unlockType,unlockTarget,unlockCount,weight,timesLimit,iconResPath,desc_en
2009,Tăng cường giảm sát thương,,1,,"Trong chế độ chơi này, miễn thương hàng trước phe ta tăng 10%",1,2001,{23=1000},1,,,,,,,,activity/brave_challenge/xz_icon/icon_yztz_fy.png,
2010,Tăng cường phòng thủ kép (mạnh),,1,,"Trong chế độ chơi này, thủ vật lý và thủ phép hàng trước phe ta tăng 20%",1,2001,{10=20%;9=20%},1,,,,,,,,activity/brave_challenge/xz_icon/icon_yztz_fy.png,
2011,Tăng cường hút máu,,1,,"Trong chế độ chơi này, tỷ lệ hút máu toàn đội phe ta tăng 5%",1,2001,{26=500},,,,,,,,,activity/brave_challenge/xz_icon/icon_yztz_gj.png,
2012,Tăng cường hồi nộ,,1,,"Trong chế độ chơi này, tốc độ hồi nộ toàn đội phe ta tăng 5%",1,2001,{5=500},,,,,,,,,activity/brave_challenge/xz_icon/icon_yztz_fz.png,
3001,Tăng cường khống chế,,1,,"Trong chế độ chơi này, tỷ lệ khống chế toàn đội phe ta tăng 5%",1,3,{90=500},,,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_kz.png,
3002,Tăng cường phản đòn,,1,,"Trong chế độ chơi này, tỷ lệ phản đòn toàn đội phe ta tăng 5%",1,3,{27=500},,,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_fz.png,
3003,Tăng cường hút máu,,1,,"Trong chế độ chơi này, tỷ lệ hút máu toàn đội phe ta tăng 5%",1,3,{26=500},,,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_gj.png,
3004,Tăng cường trị liệu,,1,,"Trong chế độ chơi này, hiệu quả trị liệu toàn đội phe ta tăng 5%",1,3,{28=500},,,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_jx.png,
3005,Tăng cường tốc độ,,1,,"Trong chế độ chơi này, tốc độ toàn đội phe ta tăng 5%",1,3,{13=500},,,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_fz.png,
3006,Tăng cường hồi nộ,,1,,"Trong chế độ chơi này, tốc độ hồi nộ toàn đội phe ta tăng 5%",1,3,{5=500},,,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_fz.png,
3007,Tăng cường khống chế (mạnh),,1,,"Trong chế độ chơi này, tỷ lệ khống chế toàn đội phe ta tăng 15%",2,4,{90=1500},,,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_kz.png,
3008,Tăng cường phản đòn (mạnh),,1,,"Trong chế độ chơi này, tỷ lệ phản đòn toàn đội phe ta tăng 20%",2,4,{27=2000},,,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_fz.png,
3009,Tăng cường hút máu (mạnh),,1,,"Trong chế độ chơi này, tỷ lệ hút máu toàn đội phe ta tăng 20%",2,4,{26=2000},,,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_gj.png,
3010,Tăng cường trị liệu (mạnh),,1,,"Trong chế độ chơi này, hiệu quả trị liệu toàn đội phe ta tăng 40%",2,4,{28=4000},,,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_jx.png,
3011,Tăng cường tốc độ (mạnh),,1,,"Trong chế độ chơi này, tốc độ toàn đội phe ta tăng 25%",2,4,{13=25%},,,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_fz.png,
3012,Tăng cường hồi nộ (mạnh),,1,,"Trong chế độ chơi này, tốc độ hồi nộ toàn đội phe ta tăng 30%",2,4,{5=3000},,,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_fz.png,
4001,Thông dụng tấn công,,2,,Mỗi lần tấn công có 30% xác suất tăng gấp đôi tỷ lệ bạo kích trong 1 lượt,1,101,,,<4001001>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_gj.png,
4002,Thông dụng tấn công,,2,,Mục tiêu hành động đầu tiên trong đội được tăng thêm 20% công vật lý và công phép,1,101,,,<4001002>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_gj.png,
4003,Thông dụng tấn công,,2,,"Mỗi lượt lớn, tướng phe ta đầu tiên sử dụng tuyệt kỹ được tăng 20% sát thương tuyệt kỹ tạm thời",1,101,,,<4001003>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_gj.png,
4004,Thông dụng tấn công,,2,,Kết thúc mỗi lượt lớn gây sát thương chuẩn bằng 30% tổng công của tướng phe ta có công cao nhất lên một kẻ địch ngẫu nhiên,1,101,,,<4001004>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_gj.png,
4005,Thông dụng tấn công (mạnh),,2,,"Máu càng thấp sát thương càng cao, tối đa tăng 20%",2,1001,,,<4001005>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_gj.png,
4006,Thông dụng tấn công (mạnh),,2,,"Máu càng cao sát thương càng cao, tối đa tăng 20%",2,1001,,,<4001006>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_gj.png,
4007,Thông dụng tấn công (mạnh),,2,,Khi gây bạo kích khiến mục tiêu chịu thêm 10% sát thương trong 2 lượt (cộng dồn tối đa 3 lần),2,1001,,,<4001007>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_gj.png,
4008,Thông dụng tấn công (mạnh),,2,,Giảm 10% kháng sát thương chuẩn của toàn bộ địch,2,1001,,,<4001008>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_gj.png,
4101,Thông dụng phòng thủ,,2,,"Sau khi bị thương, tăng 50% thủ vật lý và thủ phép trong 1 lượt",1,101,,,<4001009>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_fy.png,
4102,Thông dụng phòng thủ,,2,,"Sau khi bị thương, tăng 20% miễn thương trong 1 lượt",1,101,,,<4001010>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_fy.png,
4103,Thông dụng phòng thủ,,2,,"Máu càng thấp kháng sát thương tuyệt kỹ càng cao, tối đa tăng 40%",1,101,,,<4001011>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_fy.png,
4104,Thông dụng phòng thủ,,2,,Hàng trước phe ta tăng 20% kháng bạo,1,101,,,<4001012>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_fy.png,
4105,Thông dụng phòng thủ (mạnh),,2,,Nhận tăng công bằng 100% thủ vật lý và thủ phép của bản thân,2,1001,,,<4001013>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_fy.png,
4106,Thông dụng phòng thủ (mạnh),,2,,"Kết thúc mỗi lượt lớn, khiến sát thương cộng thêm hoặc miễn thương bằng nhau, lấy giá trị cao hơn",2,1001,,,<4001014>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_fy.png,
4107,Thông dụng phòng thủ (mạnh),,2,,"Sau khi chịu sát thương tuyệt kỹ, hồi thêm 500 điểm nộ khí",2,1001,,,<4001015>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_fy.png,
4108,Thông dụng phòng thủ (mạnh),,2,,Kích hoạt đỡ đòn sẽ hồi 20% máu tối đa cho bản thân,2,1001,,,<4001016>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_fy.png,
4201,Thông dụng khống chế,,2,,"Máu càng thấp, tỷ lệ khống chế càng cao, tối đa tăng 30%",1,101,,,<4001017>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_kz.png,
4202,Thông dụng khống chế,,2,,Lần đầu tung kỹ năng trong trận được tăng 30% tỷ lệ khống chế,1,101,,,<4001018>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_kz.png,
4203,Thông dụng khống chế,,2,,Khi vào trận làm tê liệt ngẫu nhiên 1 kẻ địch hàng sau trong 2 lượt,1,101,,,<4001019>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_kz.png,
4204,Thông dụng khống chế,,2,,"Trong 3 lượt đầu khi vào trận, giảm 20% kháng khống chế của địch",1,101,,,<4001020>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_kz.png,
4205,Thông dụng khống chế (mạnh),,2,,Gây thêm 20% sát thương lên mục tiêu đang bị khống chế,2,1001,,,<4001021>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_kz.png,
4206,Thông dụng khống chế (mạnh),,2,,Kỹ năng chủ động hút 200 điểm nộ khí của mục tiêu đang bị khống chế,2,1001,,,<4001022>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_kz.png,
4207,Thông dụng khống chế (mạnh),,2,,Khi tấn công mục tiêu bị khống chế sẽ bỏ qua 20% miễn thương của chúng,2,1001,,,<4001023>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_kz.png,
4208,Thông dụng khống chế (mạnh),,2,,"Máu bản thân càng cao thì tỷ lệ khống chế càng cao, tối đa tăng 30%",2,1001,,,<4001024>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_kz.png,
4301,Thông dụng hỗ trợ,,2,,"Từ lượt 4 trở đi, toàn đội tăng 20% tỷ lệ hút máu",1,101,,,<4001025>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_fz.png,
4302,Thông dụng hỗ trợ,,2,,"Trong 3 lượt đầu trận, toàn đội tăng 20% tỷ lệ phản đòn",1,101,,,<4001026>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_fz.png,
4303,Thông dụng hỗ trợ,,2,,Khi tấn công có 50% xác suất gây hiệu ứng thiêu đốt trong 3 lượt (cộng dồn tối đa 5 tầng) (mỗi tầng gây sát thương bằng 20% tổng công),1,101,,,<4001027>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_fz.png,
4304,Thông dụng hỗ trợ,,2,,Gây thêm 20% sát thương lên mục tiêu có lượng máu dưới 50%,1,101,,,<4001028>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_fz.png,
4305,Thông dụng hỗ trợ (mạnh),,2,,Mỗi 1% hút máu tăng 5% sát thương cộng thêm,2,1001,,,<4001029>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_fz.png,
4306,Thông dụng hỗ trợ (mạnh),,2,,"Nếu sau khi tấn công máu bản thân > 70%, nhận lá chắn trong 1 lượt bằng 50% sát thương vừa gây ra",2,1001,,,<4001030>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_fz.png,
4307,Thông dụng hỗ trợ (mạnh),,2,,"Khi tấn công mục tiêu đang chịu sát thương duy trì, mỗi tầng hiệu ứng khiến mục tiêu chịu thêm 5% sát thương",2,1001,,,<4001031>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_fz.png,
4308,Thông dụng hỗ trợ (mạnh),,2,,Mỗi 1% phản đòn tăng 5% giới hạn máu bản thân,2,1001,,,<4001032>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_fz.png,
4401,Thông dụng hồi phục,,2,,Khi bị thương hồi 5% máu,1,101,,,<4001033>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_jx.png,
4402,Thông dụng hồi phục,,2,,Sau mỗi hành động hồi 5% máu,1,101,,,<4001034>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_jx.png,
4403,Thông dụng hồi phục,,2,,Lượt chẵn tăng 50% hiệu quả trị liệu toàn đội,1,101,,,<4001035>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_jx.png,
4404,Thông dụng hồi phục,,2,,Kết thúc mỗi lượt lớn hồi 10% máu cho đơn vị phe ta có máu thấp nhất,1,101,,,<4001036>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_jx.png,
4405,Thông dụng hồi phục (mạnh),,2,,"Khi hồi máu, vĩnh viễn tăng 15% công đôi, cộng dồn tối đa 5 lần",2,1001,,,<4001037>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_jx.png,
4406,Thông dụng hồi phục (mạnh),,2,,"Khi hồi máu, vĩnh viễn tăng 15% tốc độ hồi nộ, cộng dồn tối đa 5 lần",2,1001,,,<4001038>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_jx.png,
4407,Thông dụng hồi phục (mạnh),,2,,"Khi hồi máu, vĩnh viễn tăng 15% tỷ lệ bạo kích, cộng dồn tối đa 5 lần",2,1001,,,<4001039>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_jx.png,
4408,Thông dụng hồi phục (mạnh),,2,,"Khi hồi máu, vĩnh viễn tăng 15% tốc độ, cộng dồn tối đa 5 lần",2,1001,,,<4001040>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_jx.png,
5001,Huy hiệu vĩnh viễn,,2,2,"【Huy hiệu vĩnh viễn】Trong trận đấu, một anh hùng phe ta ngẫu nhiên nhận hiệu quả mang đạo cụ 【Gương hiện hình】",2,5001,,,<4002001>,,2,,3,5,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png,
5002,Huy hiệu vĩnh viễn,,2,2,"【Huy hiệu vĩnh viễn】Trong trận đấu, một anh hùng phe ta ngẫu nhiên nhận hiệu quả mang đạo cụ 【Táo】",2,5001,,,<4002002>,,2,,6,5,1,activity/brave_challenge/xz_icon/icon_yztz_jx.png,
5003,Huy hiệu vĩnh viễn,,2,2,"【Huy hiệu vĩnh viễn】Trong trận đấu, một anh hùng phe ta ngẫu nhiên nhận hiệu quả mang đạo cụ 【Mặt nạ tiến sĩ】",2,5001,,,<4002003>,,2,,9,5,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png,
5004,Huy hiệu vĩnh viễn,,2,2,"【Huy hiệu vĩnh viễn】Trong trận đấu, một anh hùng phe ta ngẫu nhiên nhận hiệu quả mang đạo cụ 【Vòng tay cường lực】",2,5001,,,<4002004>,,2,,12,5,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png,
5005,Huy hiệu vĩnh viễn,,2,2,"【Huy hiệu vĩnh viễn】Trong trận đấu, kỹ năng nhỏ của một anh hùng phe ta ngẫu nhiên có thời gian hồi chiêu chỉ 1 lượt",2,5001,,,<4002005>,,2,,2,5,1,activity/brave_challenge/xz_icon/icon_yztz_gj.png,
5006,Huy hiệu vĩnh viễn,,2,2,"【Huy hiệu vĩnh viễn】Trong trận đấu, một anh hùng phe ta ngẫu nhiên bắt đầu trận với đầy nộ khí",2,5001,,,<4002006>,,2,,4,5,1,activity/brave_challenge/xz_icon/icon_yztz_gj.png,
5007,Huy hiệu vĩnh viễn,,2,2,"【Huy hiệu vĩnh viễn】Trong trận đấu, một anh hùng phe ta ngẫu nhiên được nhận hiệu ứng chúc phúc của Phượng Hoàng ngay từ đầu",2,5001,,,<4002007>,,2,,6,5,1,activity/brave_challenge/xz_icon/icon_yztz_fy.png,
5008,Huy hiệu vĩnh viễn,,2,2,"【Huy hiệu vĩnh viễn】Trong trận đấu, một anh hùng phe ta ngẫu nhiên được miễn khống chế",2,5001,,,<4002008>,,2,,8,5,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png,
5051,Hồi phục mạnh mẽ,,2,,Hiệp 1 toàn đội hồi 50% máu,2,5051,,,<4002051>,,,,,10,1,activity/brave_challenge/xz_icon/icon_yztz_jx.png,
5052,Hồi phục mạnh mẽ,,2,,Kết thúc mỗi lượt lớn toàn đội hồi 10% máu,2,5051,,,<4002052>,,,,,10,1,activity/brave_challenge/xz_icon/icon_yztz_jx.png,
5053,Hồi phục mạnh mẽ,,2,,Hiệp 1 toàn đội hồi 30% máu và 300 điểm nộ khí,2,5051,,,<4002053>,,,,,10,1,activity/brave_challenge/xz_icon/icon_yztz_jx.png,
5054,Hồi phục mạnh mẽ,,2,,Tất cả đơn vị phe ta có 30% xác suất hồi sinh ngay lập tức sau khi tử vong,2,5051,,,<4002054>,,,,,10,1,activity/brave_challenge/xz_icon/icon_yztz_jx.png,
5061,Hồi phục mạnh mẽ,,2,,Hiệp 1 toàn đội hồi 50% máu,2,5051,,,<4002061>,,,,,10,1,activity/brave_challenge/xz_icon/icon_yztz_gj.png,
5062,Hồi phục mạnh mẽ,,2,,Kết thúc mỗi lượt lớn toàn đội hồi 10% máu,2,5051,,,<4002062>,,,,,10,1,activity/brave_challenge/xz_icon/icon_yztz_gj.png,
5063,Hồi phục mạnh mẽ,,2,,Hiệp 1 toàn đội hồi 30% máu và 300 điểm nộ khí,2,5051,,,<4002063>,,,,,10,1,activity/brave_challenge/xz_icon/icon_yztz_gj.png,
5064,Hồi phục mạnh mẽ,,2,,Tất cả đơn vị phe ta có 30% xác suất hồi sinh ngay lập tức sau khi tử vong,2,5051,,,<4002064>,,,,,10,1,activity/brave_challenge/xz_icon/icon_yztz_gj.png,
5071,Hồi phục mạnh mẽ,,2,,Hiệp 1 toàn đội hồi 50% máu,2,5051,,,<4002071>,,,,,10,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png,
5072,Hồi phục mạnh mẽ,,2,,Kết thúc mỗi lượt lớn toàn đội hồi 10% máu,2,5051,,,<4002072>,,,,,10,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png,
5073,Hồi phục mạnh mẽ,,2,,Hiệp 1 toàn đội hồi 30% máu và 300 điểm nộ khí,2,5051,,,<4002073>,,,,,10,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png,
5074,Hồi phục mạnh mẽ,,2,,Tất cả đơn vị phe ta có 30% xác suất hồi sinh ngay lập tức sau khi tử vong,2,5051,,,<4002074>,,,,,10,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png,
5101,Kỹ năng đặc biệt,,1,,Kích hoạt anh hùng khóa đầu trận: Latias,2,5101,{25=0},,,,2,,2,50,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png,
5102,Bí ẩn hợp thể I,,1,,Kích hoạt anh hùng khóa đầu trận: Latios,2,5101,{25=0},,,,2,,2,50,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png,
5103,Bí ẩn hợp thể II,,1,,Kích hoạt anh hùng khóa đầu trận: Groudon,2,5101,{25=0},,,,2,,2,50,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png,
5111,Siêu may mắn,,1,,Kích hoạt anh hùng khóa đầu trận: Jirachi,2,5111,{25=0},,,,2,,2,50,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png,
5112,Trái tim biết ơn,,1,,Kích hoạt anh hùng khóa đầu trận: Shaymin,2,5111,{25=0},,,,2,,2,50,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png,
5113,Xoay chuyển không gian,,1,,Kích hoạt anh hùng khóa đầu trận: Hoopa Trừng Phạt,2,5111,{25=0},,,,2,,2,50,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png,
5121,Luân hồi thời gian,,1,,Kích hoạt anh hùng khóa đầu trận: Dialga,2,5121,{25=0},,,,2,,2,50,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png,
5122,Không gian ẩn giấu,,1,,Kích hoạt anh hùng khóa đầu trận: Palkia,2,5121,{25=0},,,,2,,2,50,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png,
5123,Chế độ quá tải,,1,,Kích hoạt anh hùng khóa đầu trận: Reshiram,2,5121,{25=0},,,,2,,2,50,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png,
5131,Mắt kỳ tích,,1,,Kích hoạt anh hùng khóa đầu trận: Mewtwo,2,5131,{25=0},,,,2,,2,50,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png,
5132,Huyết mạch cổ đại,,1,,Kích hoạt anh hùng khóa đầu trận: Groudon,2,5131,{25=0},,,,2,,2,50,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png,
5133,Thế giới băng giá,,1,,Kích hoạt anh hùng khóa đầu trận: Kyurem,2,5131,{25=0},,,,2,,2,50,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png,
10001,Tâm niệm tinh thần,,2,,Khi Alakazam có mặt sẽ có xác suất nhất định kích hoạt: khi ra trận chắc chắn hóa đá ngẫu nhiên 1 mục tiêu phe địch trong 2 lượt,1,10001,,,<4011001>,,1,10263,1,10,,activity/brave_challenge/xz_icon/icon_yztz_kz.png,
10002,Bọ ngựa phía sau,,2,,Khi Scizor có mặt sẽ có xác suất nhất định kích hoạt: kỹ năng nhỏ không kết liễu được mục tiêu vẫn được hành động thêm 1 lần,1,10001,,,<4011002>,,1,10572,1,10,,activity/brave_challenge/xz_icon/icon_yztz_gj.png,
10003,Điện áp cao,,2,,Khi Electivire có mặt sẽ có xác suất nhất định kích hoạt: đồng đội hàng trước (trừ bản thân) bị tấn công hoặc tấn công sẽ nạp điện cho Electivire,1,10001,,,<4011003>,,1,10593,1,10,,activity/brave_challenge/xz_icon/icon_yztz_gj.png,
10004,Giáp thép,,2,,Khi Aggron có mặt sẽ có xác suất nhất định kích hoạt: trước mỗi lượt lớn sẽ tạo lá chắn thép cho một đơn vị ngẫu nhiên khác,1,10001,,,<4011004>,,1,11503,1,10,,activity/brave_challenge/xz_icon/icon_yztz_fy.png,
10005,Phong ấn băng giá,,2,,Khi Cryogonal có mặt sẽ có xác suất nhất định kích hoạt: khi ra trận chắc chắn đóng băng ngẫu nhiên 1 mục tiêu phe địch trong 2 lượt,1,10001,,,<4011005>,,1,13021,1,10,,activity/brave_challenge/xz_icon/icon_yztz_fy.png,
10006,Vũ công hoa,,2,,Khi Florges có mặt sẽ có xác suất nhất định kích hoạt: đồng minh hành động sẽ hồi máu bằng 35% công phép của Florges,1,10001,,,<4011006>,,1,13353,1,10,,activity/brave_challenge/xz_icon/icon_yztz_jx.png,
10007,Kiếm·Khiên,,2,,Khi Aegislash (dạng khiên) có mặt sẽ có xác suất nhất định kích hoạt: khi ở dạng khiên: toàn đội được +20% miễn sát thương; khi ở dạng kiếm: toàn đội được +20% sát thương cộng thêm,1,10001,,,<4011007>,,1,13413,1,10,,activity/brave_challenge/xz_icon/icon_yztz_fy.png,
