VariableName,groupID,type,desc,desc_vn,desc_en,desc_th,desc_in,desc_ph,desc_ma,unlock,isShow,targetType,targetType2,targetArg1,targetArg2,award,sort
9,1,,Total kill 120 monsters,Tổng cộng tiêu diệt 120 quái vật,Total kill 120 monsters,รวมกำจัดมอนสเตอร์ 120 ตัว,Total membunuh 120 monster,Tinanggal ang kabuuang 120 halimaw,Jumlah membunuh 120 monster,,,4,,120,,{930=10;gold=100000;6393=5;901=5},
10,1,,Total kill 240 monsters,Tổng cộng tiêu diệt 240 quái vật,Total kill 240 monsters,รวมกำจัดมอนสเตอร์ 240 ตัว,Total membunuh 240 monster,Tinanggal ang kabuuang 240 halimaw,Jumlah membunuh 240 monster,,,4,,240,,{930=10;gold=200000;6393=5;901=5},
11,1,,Total kill 480 monsters,Tổng cộng tiêu diệt 480 quái vật,Total kill 480 monsters,รวมกำจัดมอนสเตอร์ 480 ตัว,Total membunuh 480 monster,Tinanggal ang kabuuang 480 halimaw,Jumlah membunuh 480 monster,,,4,,480,,{gold=300000;6393=10;901=10;519=2},
12,1,,Total 5 heroes fallen,Tổng cộng có 5 anh hùng tử trận,Total 5 heroes fallen,มีฮีโร่ตายรวม 5 คน,Total 5 pahlawan gugur,May kabuuang 5 bayani na namatay,Jumlah 5 wira gugur,,,5,,5,,{5000=10;901=5;6393=5;gold=100000},
13,1,,Total 15 heroes fallen,Tổng cộng có 15 anh hùng tử trận,Total 15 heroes fallen,มีฮีโร่ตายรวม 15 คน,Total 15 pahlawan gugur,May kabuuang 15 bayani na namatay,Jumlah 15 wira gugur,,,5,,15,,{5000=10;901=5;6393=5;gold=150000},
14,1,,Total 30 heroes fallen,Tổng cộng có 30 anh hùng tử trận,Total 30 heroes fallen,มีฮีโร่ตายรวม 30 คน,Total 30 pahlawan gugur,May kabuuang 30 bayani na namatay,Jumlah 30 wira gugur,,,5,,30,,{gold=200000;6393=10;901=5;951=5},
15,1,,Total 50 heroes fallen,Tổng cộng có 50 anh hùng tử trận,Total 50 heroes fallen,มีฮีโร่ตายรวม 50 คน,Total 50 pahlawan gugur,May kabuuang 50 bayani na namatay,Jumlah 50 wira gugur,,,5,,50,,{502=3;gold=300000;6393=10;901=10},
16,1,,Total earn 30 badges,Tổng cộng nhận được 30 huy hiệu,Total earn 30 badges,ได้รับเหรียญรางวัลรวม 30 เหรียญ,Total mendapatkan 30 lencana,Nakakuha ng kabuuang 30 badge,Total memperolehi 30 lencana,,,6,,30,,{930=10;gold=100000;6393=5;901=5},
17,1,,Total earn 50 badges,Tổng cộng nhận được 50 huy hiệu,Total earn 50 badges,ได้รับเหรียญรางวัลรวม 50 เหรียญ,Total mendapatkan 50 lencana,Nakakuha ng kabuuang 50 badge,Total memperolehi 50 lencana,,,6,,50,,{930=10;gold=200000;6393=5;901=5},
18,1,,Total earn 100 badges,Tổng cộng nhận được 100 huy hiệu,Total earn 100 badges,ได้รับเหรียญรางวัลรวม 100 เหรียญ,Total mendapatkan 100 lencana,Nakakuha ng kabuuang 100 badge,Total memperolehi 100 lencana,,,6,,100,,{502=3;gold=300000;6393=10;901=10},
19,1,2,Unlock Latias,Mở khóa Latias,Unlock Latias,ปลดล็อก Latias,Membuka Latias,I-unlock ang Latias,Buka kunci Latias,,,2,,11941,,{930=10;519=1;901=5;503=1},
20,1,2,Unlock Latios,Mở khóa Latios,Unlock Latios,ปลดล็อก Latios,Membuka Latios,I-unlock ang Latios,Buka kunci Latios,,,2,,11951,,{930=10;519=1;901=5;503=1},
21,1,2,Unlock Mewtwo,Mở khóa Mewtwo,Unlock Mewtwo,ปลดล็อก Mewtwo,Membuka Mewtwo,I-unlock ang Mewtwo,Buka kunci Mewtwo,,,2,,10761,,{930=10;901=5;rmb=100;503=1},
22,1,2,Unlock Ho-Oh,Mở khóa Ho-Oh,Unlock Ho-Oh,ปลดล็อก Ho-Oh,Membuka Ho-Oh,I-unlock ang Ho-Oh,Buka kunci Ho-Oh,,,2,,11271,,{930=10;519=1;901=5;503=2},
23,1,2,Unlock Groudon,Mở khóa Groudon,Unlock Groudon,ปลดล็อก Groudon,Membuka Groudon,I-unlock ang Groudon,Buka kunci Groudon,,,2,,11971,,{502=5;519=2;gold=250000;503=1},
24,1,2,Unlock Dialga,Mở khóa Dialga,Unlock Dialga,ปลดล็อก Dialga,Membuka Dialga,I-unlock ang Dialga,Buka kunci Dialga,,,2,,12351,,{5000=10;521=2;901=5;503=1},
25,1,2,Unlock Palkia,Mở khóa Palkia,Unlock Palkia,ปลดล็อก Palkia,Membuka Palkia,I-unlock ang Palkia,Buka kunci Palkia,,,2,,12361,,{5000=10;521=2;901=5;503=1},
26,1,2,Unlock Shaymin,Mở khóa Shaymin,Unlock Shaymin,ปลดล็อก Shaymin,Membuka Shaymin,I-unlock ang Shaymin,Buka kunci Shaymin,,,2,,12441,,{502=5;519=2;gold=500000;503=1},
27,1,2,Unlock Rayquaza,Mở khóa Rayquaza,Unlock Rayquaza,ปลดล็อก Rayquaza,Membuka Rayquaza,I-unlock ang Rayquaza,Buka kunci Rayquaza,,,2,,11981,,{930=10;519=1;901=5;503=1},
101,101,,Clear the stage 2 times,Vượt ải 2 lần,Clear the stage 2 times,ผ่านด่าน 2 ครั้ง,Menyelesaikan stage 2 kali,Nalampasan ang yugto ng 2 beses,Melepasi peringkat 2 kali,,,,,2,,{930=10;5000=10;gold=50000},
102,101,,Clear the stage 3 times,Vượt ải 3 lần,Clear the stage 3 times,ผ่านด่าน 3 ครั้ง,Menyelesaikan stage 3 kali,Nalampasan ang yugto ng 3 beses,Melepasi peringkat 3 kali,,,,,3,,{930=10;5000=10;gold=80000},
103,101,,Clear the stage 5 times,Vượt ải 5 lần,Clear the stage 5 times,ผ่านด่าน 5 ครั้ง,Menyelesaikan stage 5 kali,Nalampasan ang yugto ng 5 beses,Melepasi peringkat 5 kali,,,,,5,,{930=10;5000=10;gold=100000},
104,101,,Clear the stage 10 times,Vượt ải 10 lần,Clear the stage 10 times,ผ่านด่าน 10 ครั้ง,Menyelesaikan stage 10 kali,Nalampasan ang yugto ng 10 beses,Melepasi peringkat 10 kali,,,,,10,,{502=1;rmb=50;gold=150000},
105,101,,Shortest rounds less than or equal to 60,Số lượt ngắn nhất nhỏ hơn hoặc bằng 60,Shortest rounds less than or equal to 60,จำนวนรอบสั้นที่สุดไม่เกิน 60,Jumlah putaran tercepat kurang dari atau sama dengan 60,Pinakamaikling bilang ng round ay hindi lalampas sa 60,Round terpendek kurang dari atau sama dengan 60,,,3,,60,,{529=200;112=30;gold=50000},
106,101,,Shortest rounds less than or equal to 48,Số lượt ngắn nhất nhỏ hơn hoặc bằng 48,Shortest rounds less than or equal to 48,จำนวนรอบสั้นที่สุดไม่เกิน 48,Jumlah putaran tercepat kurang dari atau sama dengan 48,Pinakamaikling bilang ng round ay hindi lalampas sa 48,Round terpendek kurang dari atau sama dengan 48,,,3,,48,,{529=200;112=30;gold=80000},
107,101,,Shortest rounds less than or equal to 36,Số lượt ngắn nhất nhỏ hơn hoặc bằng 36,Shortest rounds less than or equal to 36,จำนวนรอบสั้นที่สุดไม่เกิน 36,Jumlah putaran tercepat kurang dari atau sama dengan 36,Pinakamaikling bilang ng round ay hindi lalampas sa 36,Round terpendek kurang dari atau sama dengan 36,,,3,,36,,{529=200;112=30;gold=100000},
108,101,,Shortest rounds less than or equal to 24,Số lượt ngắn nhất nhỏ hơn hoặc bằng 24,Shortest rounds less than or equal to 24,จำนวนรอบสั้นที่สุดไม่เกิน 24,Jumlah putaran tercepat kurang dari atau sama dengan 24,Pinakamaikling bilang ng round ay hindi lalampas sa 24,Round terpendek kurang dari atau sama dengan 24,,,3,,24,,{502=1;rmb=50;gold=150000},
109,101,,Total kill 120 monsters,Tổng cộng tiêu diệt 120 quái vật,Total kill 120 monsters,รวมกำจัดมอนสเตอร์ 120 ตัว,Total membunuh 120 monster,Tinanggal ang kabuuang 120 halimaw,Jumlah membunuh 120 monster,,,4,,120,,{901=5;gold=50000;452=30},
110,101,,Total kill 240 monsters,Tổng cộng tiêu diệt 240 quái vật,Total kill 240 monsters,รวมกำจัดมอนสเตอร์ 240 ตัว,Total membunuh 240 monster,Tinanggal ang kabuuang 240 halimaw,Jumlah membunuh 240 monster,,,4,,240,,{901=5;gold=100000;452=30},
111,101,,Total kill 480 monsters,Tổng cộng tiêu diệt 480 quái vật,Total kill 480 monsters,รวมกำจัดมอนสเตอร์ 480 ตัว,Total membunuh 480 monster,Tinanggal ang kabuuang 480 halimaw,Jumlah membunuh 480 monster,,,4,,480,,{502=1;rmb=50;gold=150000},
112,101,,Total 5 heroes fallen,Tổng cộng có 5 anh hùng tử trận,Total 5 heroes fallen,มีฮีโร่ตายรวม 5 คน,Total 5 pahlawan gugur,May kabuuang 5 bayani na namatay,Jumlah 5 wira gugur,,,5,,5,,{901=10;951=5;gold=50000},
113,101,,Total 15 heroes fallen,Tổng cộng có 15 anh hùng tử trận,Total 15 heroes fallen,มีฮีโร่ตายรวม 15 คน,Total 15 pahlawan gugur,May kabuuang 15 bayani na namatay,Jumlah 15 wira gugur,,,5,,15,,{901=10;951=5;gold=80000},
114,101,,Total 30 heroes fallen,Tổng cộng có 30 anh hùng tử trận,Total 30 heroes fallen,มีฮีโร่ตายรวม 30 คน,Total 30 pahlawan gugur,May kabuuang 30 bayani na namatay,Jumlah 30 wira gugur,,,5,,30,,{901=10;951=5;gold=100000},
115,101,,Total 50 heroes fallen,Tổng cộng có 50 anh hùng tử trận,Total 50 heroes fallen,มีฮีโร่ตายรวม 50 คน,Total 50 pahlawan gugur,May kabuuang 50 bayani na namatay,Jumlah 50 wira gugur,,,5,,50,,{502=1;rmb=50;gold=150000},
116,101,,Total earn 30 badges,Tổng cộng nhận được 30 huy hiệu,Total earn 30 badges,ได้รับเหรียญรางวัลรวม 30 เหรียญ,Total mendapatkan 30 lencana,Nakakuha ng kabuuang 30 badge,Total memperolehi 30 lencana,,,6,,30,,{850=100;851=50;gold=50000},
117,101,,Total earn 50 badges,Tổng cộng nhận được 50 huy hiệu,Total earn 50 badges,ได้รับเหรียญรางวัลรวม 50 เหรียญ,Total mendapatkan 50 lencana,Nakakuha ng kabuuang 50 badge,Total memperolehi 50 lencana,,,6,,50,,{850=100;851=50;gold=100000},
118,101,,Total earn 100 badges,Tổng cộng nhận được 100 huy hiệu,Total earn 100 badges,ได้รับเหรียญรางวัลรวม 100 เหรียญ,Total mendapatkan 100 lencana,Nakakuha ng kabuuang 100 badge,Total memperolehi 100 lencana,,,6,,100,,{502=1;851=50;gold=150000},
119,101,2,Unlock Latias,Mở khóa Latias,Unlock Latias,ปลดล็อก Latias,Membuka Latias,I-unlock ang Latias,Buka kunci Latias,,,2,,31941,,{930=10;4000=50;5000=10},
120,101,2,Unlock Latios,Mở khóa Latios,Unlock Latios,ปลดล็อก Latios,Membuka Latios,I-unlock ang Latios,Buka kunci Latios,,,2,,31951,,{930=10;4000=50;5000=10},
121,101,2,Unlock Mewtwo,Mở khóa Mewtwo,Unlock Mewtwo,ปลดล็อก Mewtwo,Membuka Mewtwo,I-unlock ang Mewtwo,Buka kunci Mewtwo,,,2,,30761,,{503=1;gold=150000;talent_point=1},
122,101,2,Unlock Ho-Oh,Mở khóa Ho-Oh,Unlock Ho-Oh,ปลดล็อก Ho-Oh,Membuka Ho-Oh,I-unlock ang Ho-Oh,Buka kunci Ho-Oh,,,2,,31271,,{503=1;gold=150000;talent_point=1},
123,101,2,Unlock Groudon,Mở khóa Groudon,Unlock Groudon,ปลดล็อก Groudon,Membuka Groudon,I-unlock ang Groudon,Buka kunci Groudon,,,2,,31971,,{503=1;gold=150000;talent_point=1},
124,101,2,Unlock Dialga,Mở khóa Dialga,Unlock Dialga,ปลดล็อก Dialga,Membuka Dialga,I-unlock ang Dialga,Buka kunci Dialga,,,2,,32351,,{502=2;gold=150000;526=1},
125,101,2,Unlock Palkia,Mở khóa Palkia,Unlock Palkia,ปลดล็อก Palkia,Membuka Palkia,I-unlock ang Palkia,Buka kunci Palkia,,,2,,32361,,{502=2;gold=150000;526=1},
126,101,2,Unlock Shaymin,Mở khóa Shaymin,Unlock Shaymin,ปลดล็อก Shaymin,Membuka Shaymin,I-unlock ang Shaymin,Buka kunci Shaymin,,,2,,32441,,{502=2;gold=150000;526=1},
127,101,2,Unlock Rayquaza,Mở khóa Rayquaza,Unlock Rayquaza,ปลดล็อก Rayquaza,Membuka Rayquaza,I-unlock ang Rayquaza,Buka kunci Rayquaza,,,2,,31981,,{502=2;gold=150000;526=1},
201,201,,Clear the stage 2 times,Vượt ải 2 lần,Clear the stage 2 times,ผ่านด่าน 2 ครั้ง,Menyelesaikan stage 2 kali,Nalampasan ang yugto ng 2 beses,Melepasi peringkat 2 kali,,,,,2,,{901=5;951=5;gold=50000},
202,201,,Clear the stage 3 times,Vượt ải 3 lần,Clear the stage 3 times,ผ่านด่าน 3 ครั้ง,Menyelesaikan stage 3 kali,Nalampasan ang yugto ng 3 beses,Melepasi peringkat 3 kali,,,,,3,,{901=5;951=5;gold=80000},
203,201,,Clear the stage 5 times,Vượt ải 5 lần,Clear the stage 5 times,ผ่านด่าน 5 ครั้ง,Menyelesaikan stage 5 kali,Nalampasan ang yugto ng 5 beses,Melepasi peringkat 5 kali,,,,,5,,{901=5;951=5;gold=100000},
204,201,,Clear the stage 10 times,Vượt ải 10 lần,Clear the stage 10 times,ผ่านด่าน 10 ครั้ง,Menyelesaikan stage 10 kali,Nalampasan ang yugto ng 10 beses,Melepasi peringkat 10 kali,,,,,10,,{901=10;gold=150000;526=1},
205,201,,Shortest rounds less than or equal to 60,Số lượt ngắn nhất nhỏ hơn hoặc bằng 60,Shortest rounds less than or equal to 60,จำนวนรอบสั้นที่สุดไม่เกิน 60,Jumlah putaran tercepat kurang dari atau sama dengan 60,Pinakamaikling bilang ng round ay hindi lalampas sa 60,Round terpendek kurang dari atau sama dengan 60,,,3,,60,,{901=5;951=5;gold=50000},
206,201,,Shortest rounds less than or equal to 48,Số lượt ngắn nhất nhỏ hơn hoặc bằng 48,Shortest rounds less than or equal to 48,จำนวนรอบสั้นที่สุดไม่เกิน 48,Jumlah putaran tercepat kurang dari atau sama dengan 48,Pinakamaikling bilang ng round ay hindi lalampas sa 48,Round terpendek kurang dari atau sama dengan 48,,,3,,48,,{901=5;951=5;gold=80000},
207,201,,Shortest rounds less than or equal to 36,Số lượt ngắn nhất nhỏ hơn hoặc bằng 36,Shortest rounds less than or equal to 36,จำนวนรอบสั้นที่สุดไม่เกิน 36,Jumlah putaran tercepat kurang dari atau sama dengan 36,Pinakamaikling bilang ng round ay hindi lalampas sa 36,Round terpendek kurang dari atau sama dengan 36,,,3,,36,,{901=5;951=5;gold=100000},
208,201,,Shortest rounds less than or equal to 24,Số lượt ngắn nhất nhỏ hơn hoặc bằng 24,Shortest rounds less than or equal to 24,จำนวนรอบสั้นที่สุดไม่เกิน 24,Jumlah putaran tercepat kurang dari atau sama dengan 24,Pinakamaikling bilang ng round ay hindi lalampas sa 24,Round terpendek kurang dari atau sama dengan 24,,,3,,24,,{901=10;gold=150000;526=1},
209,201,,Total kill 120 monsters,Tổng cộng tiêu diệt 120 quái vật,Total kill 120 monsters,รวมกำจัดมอนสเตอร์ 120 ตัว,Total membunuh 120 monster,Tinanggal ang kabuuang 120 halimaw,Jumlah membunuh 120 monster,,,4,,120,,{901=5;951=5;gold=50000},
210,201,,Total kill 240 monsters,Tổng cộng tiêu diệt 240 quái vật,Total kill 240 monsters,รวมกำจัดมอนสเตอร์ 240 ตัว,Total membunuh 240 monster,Tinanggal ang kabuuang 240 halimaw,Jumlah membunuh 240 monster,,,4,,240,,{901=5;951=5;gold=100000},
211,201,,Total kill 480 monsters,Tổng cộng tiêu diệt 480 quái vật,Total kill 480 monsters,รวมกำจัดมอนสเตอร์ 480 ตัว,Total membunuh 480 monster,Tinanggal ang kabuuang 480 halimaw,Jumlah membunuh 480 monster,,,4,,480,,{901=10;gold=150000;526=1},
212,201,,Total 5 heroes fallen,Tổng cộng có 5 anh hùng tử trận,Total 5 heroes fallen,มีฮีโร่ตายรวม 5 คน,Total 5 pahlawan gugur,May kabuuang 5 bayani na namatay,Jumlah 5 wira gugur,,,5,,5,,{901=5;951=5;gold=50000},
213,201,,Total 15 heroes fallen,Tổng cộng có 15 anh hùng tử trận,Total 15 heroes fallen,มีฮีโร่ตายรวม 15 คน,Total 15 pahlawan gugur,May kabuuang 15 bayani na namatay,Jumlah 15 wira gugur,,,5,,15,,{901=5;951=5;gold=80000},
214,201,,Total 30 heroes fallen,Tổng cộng có 30 anh hùng tử trận,Total 30 heroes fallen,มีฮีโร่ตายรวม 30 คน,Total 30 pahlawan gugur,May kabuuang 30 bayani na namatay,Jumlah 30 wira gugur,,,5,,30,,{901=5;951=5;gold=100000},
215,201,,Total 50 heroes fallen,Tổng cộng có 50 anh hùng tử trận,Total 50 heroes fallen,มีฮีโร่ตายรวม 50 คน,Total 50 pahlawan gugur,May kabuuang 50 bayani na namatay,Jumlah 50 wira gugur,,,5,,50,,{901=10;gold=150000;526=2},
216,201,,Total earn 30 badges,Tổng cộng nhận được 30 huy hiệu,Total earn 30 badges,ได้รับเหรียญรางวัลรวม 30 เหรียญ,Total mendapatkan 30 lencana,Nakakuha ng kabuuang 30 badge,Total memperolehi 30 lencana,,,6,,30,,{901=5;951=5;gold=50000},
217,201,,Total earn 50 badges,Tổng cộng nhận được 50 huy hiệu,Total earn 50 badges,ได้รับเหรียญรางวัลรวม 50 เหรียญ,Total mendapatkan 50 lencana,Nakakuha ng kabuuang 50 badge,Total memperolehi 50 lencana,,,6,,50,,{901=5;951=5;gold=100000},
218,201,,Total earn 100 badges,Tổng cộng nhận được 100 huy hiệu,Total earn 100 badges,ได้รับเหรียญรางวัลรวม 100 เหรียญ,Total mendapatkan 100 lencana,Nakakuha ng kabuuang 100 badge,Total memperolehi 100 lencana,,,6,,100,,{901=10;gold=150000;526=2},
219,201,2,Unlock Jirachi,Mở khóa Jirachi,Unlock Jirachi,ปลดล็อก Jirachi,Membuka Jirachi,I-unlock ang Jirachi,Buka kunci Jirachi,,,2,,51991,,{930=10;901=5;503=1},
220,201,2,Unlock Shaymin,Mở khóa Shaymin,Unlock Shaymin,ปลดล็อก Shaymin,Membuka Shaymin,I-unlock ang Shaymin,Buka kunci Shaymin,,,2,,52441,,{930=10;901=5;503=1},
221,201,2,Unlock Meloetta,Mở khóa Meloetta,Unlock Meloetta,ปลดล็อก Meloetta,Membuka Meloetta,I-unlock ang Meloetta,Buka kunci Meloetta,,,2,,53261,,{502=3;901=5;503=1},
222,201,2,Unlock Diancie,Mở khóa Diancie,Unlock Diancie,ปลดล็อก Diancie,Membuka Diancie,I-unlock ang Diancie,Buka kunci Diancie,,,2,,53631,,{930=10;901=5;503=1},
223,201,2,Unlock Hoopa (Punishment),Mở khóa Hoopa (Hình phạt),Unlock Hoopa (Punishment),ปลดล็อก Hoopa (โทษ),Membuka Hoopa (Hukuman),I-unlock ang Hoopa (Parusa),Buka kunci Hoopa (Hukuman),,,2,,53641,,{502=3;503=1;gold=150000},
224,201,2,Unlock Melmetal,Mở khóa Melmetal,Unlock Melmetal,ปลดล็อก Melmetal,Membuka Melmetal,I-unlock ang Melmetal,Buka kunci Melmetal,,,2,,54172,,{502=5;503=1;5000=10},
225,201,2,Unlock Darkrai,Mở khóa Darkrai,Unlock Darkrai,ปลดล็อก Darkrai,Membuka Darkrai,I-unlock ang Darkrai,Buka kunci Darkrai,,,2,,52431,,{502=5;503=1;5000=10},
226,201,2,Unlock Ho-Oh,Mở khóa Ho-Oh,Unlock Ho-Oh,ปลดล็อก Ho-Oh,Membuka Ho-Oh,I-unlock ang Ho-Oh,Buka kunci Ho-Oh,,,2,,51271,,{502=5;503=2;gold=250000},
227,201,2,Unlock Lugia,Mở khóa Lugia,Unlock Lugia,ปลดล็อก Lugia,Membuka Lugia,I-unlock ang Lugia,Buka kunci Lugia,,,2,,51261,,{930=10;901=5;503=1},
301,301,,Clear the stage 2 times,Vượt ải 2 lần,Clear the stage 2 times,ผ่านด่าน 2 ครั้ง,Menyelesaikan stage 2 kali,Nalampasan ang yugto ng 2 beses,Melepasi peringkat 2 kali,,,,,2,,{901=5;951=5;gold=50000},
302,301,,Clear the stage 3 times,Vượt ải 3 lần,Clear the stage 3 times,ผ่านด่าน 3 ครั้ง,Menyelesaikan stage 3 kali,Nalampasan ang yugto ng 3 beses,Melepasi peringkat 3 kali,,,,,3,,{901=5;951=5;gold=80000},
303,301,,Clear the stage 5 times,Vượt ải 5 lần,Clear the stage 5 times,ผ่านด่าน 5 ครั้ง,Menyelesaikan stage 5 kali,Nalampasan ang yugto ng 5 beses,Melepasi peringkat 5 kali,,,,,5,,{901=5;951=5;gold=100000},
304,301,,Clear the stage 10 times,Vượt ải 10 lần,Clear the stage 10 times,ผ่านด่าน 10 ครั้ง,Menyelesaikan stage 10 kali,Nalampasan ang yugto ng 10 beses,Melepasi peringkat 10 kali,,,,,10,,{901=10;gold=150000;526=1},
305,301,,Shortest rounds less than or equal to 60,Số lượt ngắn nhất nhỏ hơn hoặc bằng 60,Shortest rounds less than or equal to 60,จำนวนรอบสั้นที่สุดไม่เกิน 60,Jumlah putaran tercepat kurang dari atau sama dengan 60,Pinakamaikling bilang ng round ay hindi lalampas sa 60,Round terpendek kurang dari atau sama dengan 60,,,3,,60,,{901=5;951=5;gold=50000},
306,301,,Shortest rounds less than or equal to 48,Số lượt ngắn nhất nhỏ hơn hoặc bằng 48,Shortest rounds less than or equal to 48,จำนวนรอบสั้นที่สุดไม่เกิน 48,Jumlah putaran tercepat kurang dari atau sama dengan 48,Pinakamaikling bilang ng round ay hindi lalampas sa 48,Round terpendek kurang dari atau sama dengan 48,,,3,,48,,{901=5;951=5;gold=80000},
307,301,,Shortest rounds less than or equal to 36,Số lượt ngắn nhất nhỏ hơn hoặc bằng 36,Shortest rounds less than or equal to 36,จำนวนรอบสั้นที่สุดไม่เกิน 36,Jumlah putaran tercepat kurang dari atau sama dengan 36,Pinakamaikling bilang ng round ay hindi lalampas sa 36,Round terpendek kurang dari atau sama dengan 36,,,3,,36,,{901=5;951=5;gold=100000},
308,301,,Shortest rounds less than or equal to 24,Số lượt ngắn nhất nhỏ hơn hoặc bằng 24,Shortest rounds less than or equal to 24,จำนวนรอบสั้นที่สุดไม่เกิน 24,Jumlah putaran tercepat kurang dari atau sama dengan 24,Pinakamaikling bilang ng round ay hindi lalampas sa 24,Round terpendek kurang dari atau sama dengan 24,,,3,,24,,{901=10;gold=150000;526=1},
309,301,,Total kill 120 monsters,Tổng cộng tiêu diệt 120 quái vật,Total kill 120 monsters,รวมกำจัดมอนสเตอร์ 120 ตัว,Total membunuh 120 monster,Tinanggal ang kabuuang 120 halimaw,Jumlah membunuh 120 monster,,,4,,120,,{901=5;951=5;gold=50000},
310,301,,Total kill 240 monsters,Tổng cộng tiêu diệt 240 quái vật,Total kill 240 monsters,รวมกำจัดมอนสเตอร์ 240 ตัว,Total membunuh 240 monster,Tinanggal ang kabuuang 240 halimaw,Jumlah membunuh 240 monster,,,4,,240,,{901=5;951=5;gold=100000},
311,301,,Total kill 480 monsters,Tổng cộng tiêu diệt 480 quái vật,Total kill 480 monsters,รวมกำจัดมอนสเตอร์ 480 ตัว,Total membunuh 480 monster,Tinanggal ang kabuuang 480 halimaw,Jumlah membunuh 480 monster,,,4,,480,,{901=10;gold=150000;526=1},
312,301,,Total 5 heroes fallen,Tổng cộng có 5 anh hùng tử trận,Total 5 heroes fallen,มีฮีโร่ตายรวม 5 คน,Total 5 pahlawan gugur,May kabuuang 5 bayani na namatay,Jumlah 5 wira gugur,,,5,,5,,{901=5;951=5;gold=50000},
313,301,,Total 15 heroes fallen,Tổng cộng có 15 anh hùng tử trận,Total 15 heroes fallen,มีฮีโร่ตายรวม 15 คน,Total 15 pahlawan gugur,May kabuuang 15 bayani na namatay,Jumlah 15 wira gugur,,,5,,15,,{901=5;951=5;gold=80000},
314,301,,Total 30 heroes fallen,Tổng cộng có 30 anh hùng tử trận,Total 30 heroes fallen,มีฮีโร่ตายรวม 30 คน,Total 30 pahlawan gugur,May kabuuang 30 bayani na namatay,Jumlah 30 wira gugur,,,5,,30,,{901=5;951=5;gold=100000},
