VariableName,_beizhu,cardID,desc,groupID,starUnlock,addAttributes,unlockdesc1,unlockdesc2,unlockType,unlockTarget,lock,rarity,level,star,advance,skillLevels,abilities,nvalue,fetters,equipAdvance,equipStar,equipLevel,equipAwake,zawake,hp,damage,specialDamage,defence,specialDefence,speed,strikeLevel,strikeDamage,strikeResistance,blockLevel,breakBlockLevel,blockPower,damageAdd,damageSub,mainSkillAdd,mainSkillSub,controlPer,immuneControl,suckBlood,rebound,languages
13152,,44,Gru,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13283,,44,Gru,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13293,,53,Batman,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13303,,53,Batman,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13353,,53,Batman,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13413,,13,Mario,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13502,,13,Mario,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13663,,53,Batman,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13772,,53,Batman,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20004,,13,Mario,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
20014,,44,Gru,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
20015,,53,Batman,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
20024,,13,Mario,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
20053,,44,Gru,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
20093,,53,Batman,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
20133,,13,Mario,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
20153,,44,Gru,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
20163,,53,Batman,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
20264,,13,Mario,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
20273,,44,Gru,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
20283,,53,Batman,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
20303,,13,Mario,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
20393,,44,Gru,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
20394,,53,Batman,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
20493,,13,Mario,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
20603,,44,Gru,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
20721,,44,Gru,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
20731,,53,Batman,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
20741,,13,Mario,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
20753,,53,Batman,3,,,,,,,,3,,,,<80;80;80;80;80;80;80>,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
20771,,44,Gru,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
20863,,13,Mario,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
20883,,44,Gru,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
20884,,53,Batman,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
21071,,53,Batman,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
21221,,13,Mario,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
21231,,44,Gru,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
21241,,53,Batman,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
21261,,53,Batman,3,,,,,,,,3,,,,,,,,,,,,,150%,150%,150%,150%,150%,150%,,,,,,,1500,1500,,,,,,,
21393,,13,Mario,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
21394,,44,Gru,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
21423,,53,Batman,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
21813,,13,Mario,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
21863,,44,Gru,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
21911,,13,Mario,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
21921,,44,Gru,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
21931,,53,Batman,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
21961,,13,Mario,3,,,,,,,,3,,,,,,,,,,,,,150%,150%,150%,150%,150%,150%,,,,,,,1500,1500,,,,,,,
22073,,53,Batman,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
22233,,13,Mario,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
22303,,44,Gru,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
22351,,44,Gru,3,,,,,,,,3,,,,,,,,,,,,,150%,150%,150%,150%,150%,150%,,,,,,,1500,1500,,,,,,,
22361,,53,Batman,3,,,,,,,,3,,,,,,,,,,,,,150%,150%,150%,150%,150%,150%,,,,,,,1500,1500,,,,,,,
22381,,44,Gru,3,,,,,,,,3,,,,,,,,,,,,,150%,150%,150%,150%,150%,150%,,,,,,,1500,1500,,,,,,,
22391,,53,Batman,3,,,,,,,,3,,,,,,,,,,,,,150%,150%,150%,150%,150%,150%,,,,,,,1500,1500,,,,,,,
22401,,13,Mario,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
22431,,13,Mario,3,,,,,,,,3,,,,,,,,,,,,,150%,150%,150%,150%,150%,150%,,,,,,,1500,1500,,,,,,,
22442,,44,Gru,3,,,,,,,,3,,,,,,,,,,,,,150%,150%,150%,150%,150%,150%,,,,,,,1500,1500,,,,,,,
22593,,53,Batman,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
22633,,13,Mario,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
22683,,44,Gru,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
22723,,53,Batman,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
22843,,13,Mario,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
22873,,44,Gru,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
22963,,53,Batman,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
22993,,13,Mario,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
23003,,44,Gru,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
23143,,53,Batman,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
23211,,53,Batman,3,,,,,,,,3,,,,,,,,,,,,,150%,150%,150%,150%,150%,150%,,,,,,,1500,1500,,,,,,,
23221,,13,Mario,3,,,,,,,,3,,,,,,,,,,,,,150%,150%,150%,150%,150%,150%,,,,,,,1500,1500,,,,,,,
23241,,44,Gru,3,,,,,,,,3,,,,,,,,,,,,,150%,150%,150%,150%,150%,150%,,,,,,,1500,1500,,,,,,,
23251,,44,Gru,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
23543,,13,Mario,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
23592,,53,Batman,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
23631,,53,Batman,3,,,,,,,,3,,,,,,,,,,,,,150%,150%,150%,150%,150%,150%,,,,,,,1500,1500,,,,,,,
23641,,13,Mario,3,,,,,,,,3,,,,,,,,,,,,,150%,150%,150%,150%,150%,150%,,,,,,,1500,1500,,,,,,,
23843,,44,Gru,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
24132,,13,Mario,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
30003,,13,Mario,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30013,,44,Gru,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30023,,53,Batman,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30031,,53,Batman,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30263,,53,Batman,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30333,,13,Mario,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30552,,53,Batman,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30572,,13,Mario,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30593,,44,Gru,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30761,,53,Batman,4,,,,,,,,3,,,,,,,,,,,,,120%,120%,120%,120%,120%,120%,,,,,,,1000,1000,500,500,,,,,
30783,,44,Gru,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30793,,53,Batman,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30803,,13,Mario,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30893,,44,Gru,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31253,,53,Batman,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31271,,13,Mario,4,,,,,,,,3,,,,,,,,,,,,,120%,120%,120%,120%,120%,120%,,,,,,,1000,1000,500,500,,,,,
31293,,53,Batman,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31303,,53,Batman,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31313,,13,Mario,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31443,,44,Gru,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31503,,53,Batman,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31893,,44,Gru,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31903,,53,Batman,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31941,,13,Mario,4,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,500,500,,,,,
31951,,44,Gru,4,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,500,500,,,,,
31971,,44,Gru,4,,,,,,,,3,,,,,,,,,,,,,200%,200%,200%,200%,200%,200%,,,,,,,2000,2000,500,500,,,,,
31981,,53,Batman,4,,,,,,,,3,,,,,,,,,,,,,120%,120%,120%,120%,120%,120%,,,,,,,1000,1000,500,500,,,,,
32013,,53,Batman,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32033,,44,Gru,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32242,,13,Mario,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32351,,53,Batman,4,,,,,,,,3,,,,,,,,,,,,,140%,140%,140%,140%,140%,140%,,,,,,,1000,1000,500,500,,,,,
32361,,13,Mario,4,,,,,,,,3,,,,,,,,,,,,,140%,140%,140%,140%,140%,140%,,,,,,,1000,1000,500,500,,,,,
32441,,44,Gru,4,,,,,,,,3,,,,,,,,,,,,,160%,160%,160%,160%,160%,160%,,,,,,,1500,1500,500,500,,,,,
32473,,13,Mario,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32483,,13,Mario,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33021,,13,Mario,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33152,,13,Mario,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33283,,13,Mario,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33293,,44,Gru,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33303,,44,Gru,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33353,,44,Gru,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33413,,53,Batman,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33502,,13,Mario,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33663,,44,Gru,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33772,,44,Gru,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40004,,53,Batman,5,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
40014,,13,Mario,5,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
40015,,44,Gru,5,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
40024,,53,Batman,5,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
40053,,13,Mario,5,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
40093,,44,Gru,5,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
40133,,53,Batman,5,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
40153,,13,Mario,5,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
40163,,13,Mario,5,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
40222,,44,Gru,5,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
40242,,44,Gru,5,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
40264,,53,Batman,5,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
40273,,53,Batman,5,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
40283,,13,Mario,5,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
40303,,44,Gru,5,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
40341,,53,Batman,5,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
40372,,13,Mario,5,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
40382,,44,Gru,5,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
40393,,13,Mario,5,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
40394,,44,Gru,5,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
40402,,53,Batman,5,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
40462,,53,Batman,5,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
40463,,13,Mario,5,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
40464,,44,Gru,5,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
40472,,53,Batman,5,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
40482,,13,Mario,5,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
40493,,13,Mario,5,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
40503,,44,Gru,5,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
40574,,44,Gru,5,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
40603,,53,Batman,5,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
40631,,13,Mario,5,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
40641,,44,Gru,5,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
40692,,53,Batman,5,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
40701,,53,Batman,5,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
40712,,13,Mario,5,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
40721,,44,Gru,5,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
40731,,53,Batman,5,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
40741,,13,Mario,5,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
40753,,44,Gru,5,,,,,,,,3,,,,<80;80;80;80;80;80;80>,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
40771,,53,Batman,5,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
