VariableName,_beizhu,npc,gymID,hardDegree,weight,deployType,deployNatureLimit,deployCardNumLimit,deployNum,lastJump,historyJump,_beizhu1,weatherDesc,weatherDesc_vn,weatherDesc_en,weatherDesc_th,weatherDesc_in,weatherDesc_ph,weatherDesc_ma,palce,palce_vn,palce_en,palce_th,palce_in,palce_ph,palce_ma,placeDesc,placeDesc_vn,placeDesc_en,placeDesc_th,placeDesc_in,placeDesc_ph,placeDesc_ma,specialEff,specialEffDesc,specialEffDesc_vn,specialEffDesc_tw,specialEffDesc_en,specialEffDesc_th,specialEffDesc_in,specialEffDesc_ph,specialEffDesc_ma
80013,,,1,2,1,,,,,,,,"Sandstorm (Increases physical defense for stone-type spirit beasts, all spirit beasts not belonging to earth and stone types have a chance to be blinded at the end of each major round)","Bão cát (Tăng phòng thủ vật lý cho linh thú hệ đá, tất cả linh thú không thuộc hệ đất và đá có khả năng bị Mù vào cuối mỗi vòng lớn)","Sandstorm (Increases physical defense for stone-type spirit beasts, all spirit beasts not belonging to earth and stone types have a chance to be blinded at the end of each major round)",พายุทราย (เพิ่มการป้องกันทางกายภาพสำหรับสัตว์วิญญาณประเภทหิน สัตว์วิญญาณทั้งหมดที่ไม่ใช่ประเภทดินและหินมีโอกาสถูกทำให้ตาบอดเมื่อสิ้นสุดแต่ละรอบใหญ่),"Badai Pasir (Meningkatkan pertahanan fisik untuk hewan roh tipe batu, semua hewan roh yang bukan tipe tanah dan batu memiliki kemungkinan untuk buta di akhir setiap putaran besar)","Bagyong Buhangin (Nagpapataas ng pisikal na depensa para sa mga spirit beast na uri ng bato, lahat ng spirit beast na hindi kabilang sa uri ng lupa at bato ay may pagkakataong mabulag sa pagtatapos ng bawat malaking round)","Badai Pasir (Meningkatkan pertahanan fizikal untuk haiwan roh jenis batu, semua haiwan roh yang bukan jenis tanah dan batu mempunyai kemungkinan untuk buta pada akhir setiap pusingan utama)",,,,,,,,,,,,,,,<<<9>;1;0;6%>;<<9>;7;0;10%>;<<9>;9;0;30%>>,,,,,,,,
80014,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80015,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80016,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80021,,,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<<<13>;1;0;7%>;<<13>;27;0;500>>,,,,,,,,
80022,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80023,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<<<13>;24;0;10000>>,,,,,,,,
80024,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80025,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80026,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80031,,,1,4,1,,,,,2,,,"Sandstorm (Increases physical defense for stone-type spirit beasts, all spirit beasts not belonging to earth and stone types have a chance to be blinded at the end of each major round)  ","Bão Cát (Tăng phòng thủ vật lý cho linh thú hệ đá, tất cả linh thú không thuộc hệ đất và đá có khả năng bị Mù vào cuối mỗi vòng lớn)","Sandstorm (Increases physical defense for stone-type spirit beasts, all spirit beasts not belonging to earth and stone types have a chance to be blinded at the end of each major round)  ",พายุทราย (เพิ่มการป้องกันทางกายภาพสำหรับสัตว์วิญญาณประเภทหิน สัตว์วิญญาณทั้งหมดที่ไม่ใช่ประเภทดินและหินมีโอกาสถูกทำให้ตาบอดเมื่อสิ้นสุดแต่ละรอบใหญ่)  ,"Badai Pasir (Meningkatkan pertahanan fisik untuk hewan roh tipe batu, semua hewan roh yang bukan tipe tanah dan batu memiliki kemungkinan untuk buta di akhir setiap putaran besar)  ","Bagyong Buhangin (Nagpapataas ng pisikal na depensa para sa mga spirit beast na uri ng bato, lahat ng spirit beast na hindi kabilang sa uri ng lupa at bato ay may pagkakataong mabulag sa pagtatapos ng bawat malaking round)  ","Badai Pasir (Meningkatkan pertahanan fizikal untuk haiwan roh jenis batu, semua haiwan roh yang bukan jenis tanah dan batu mempunyai kemungkinan untuk buta pada akhir setiap pusingan utama)  ",,,,,,,,,,,,,,,<<<9;13>;1;0;8%>;<<9;13>;14;0;500>>,,,,,,,,
80032,,,1,4,1,,,,,2,,,"Sandstorm (Increases physical defense for stone-type spirit beasts, all spirit beasts not belonging to earth and stone types have a chance to be blinded at the end of each major round)  ","Bão Cát (Tăng phòng thủ vật lý cho linh thú hệ đá, tất cả linh thú không thuộc hệ đất và đá có khả năng bị Mù vào cuối mỗi vòng lớn)","Sandstorm (Increases physical defense for stone-type spirit beasts, all spirit beasts not belonging to earth and stone types have a chance to be blinded at the end of each major round)  ",พายุทราย (เพิ่มการป้องกันทางกายภาพสำหรับสัตว์วิญญาณประเภทหิน สัตว์วิญญาณทั้งหมดที่ไม่ใช่ประเภทดินและหินมีโอกาสถูกทำให้ตาบอดเมื่อสิ้นสุดแต่ละรอบใหญ่)  ,"Badai Pasir (Meningkatkan pertahanan fisik untuk hewan roh tipe batu, semua hewan roh yang bukan tipe tanah dan batu memiliki kemungkinan untuk buta di akhir setiap putaran besar)  ","Bagyong Buhangin (Nagpapataas ng pisikal na depensa para sa mga spirit beast na uri ng bato, lahat ng spirit beast na hindi kabilang sa uri ng lupa at bato ay may pagkakataong mabulag sa pagtatapos ng bawat malaking round)  ","Badai Pasir (Meningkatkan pertahanan fizikal untuk haiwan roh jenis batu, semua haiwan roh yang bukan jenis tanah dan batu mempunyai kemungkinan untuk buta pada akhir setiap pusingan utama)  ",,,,,,,,,,,,,,,<<<13>;1;0;8%>;<<13>;9;0;20%>>,,,,,,,,
80033,,,1,4,1,,,,,2,,,"Sandstorm (Increases physical defense for stone-type spirit beasts, all spirit beasts not belonging to earth and stone types have a chance to be blinded at the end of each major round)","Bão Cát (Tăng phòng thủ vật lý cho linh thú hệ đá, tất cả linh thú không thuộc hệ đất và đá có khả năng bị Mù vào cuối mỗi vòng lớn)","Sandstorm (Increases physical defense for stone-type spirit beasts, all spirit beasts not belonging to earth and stone types have a chance to be blinded at the end of each major round)",พายุทราย (เพิ่มการป้องกันทางกายภาพสำหรับสัตว์วิญญาณประเภทหิน สัตว์วิญญาณทั้งหมดที่ไม่ใช่ประเภทดินและหินมีโอกาสถูกทำให้ตาบอดเมื่อสิ้นสุดแต่ละรอบใหญ่),"Badai Pasir (Meningkatkan pertahanan fisik untuk hewan roh tipe batu, semua hewan roh yang bukan tipe tanah dan batu memiliki kemungkinan untuk buta di akhir setiap putaran besar)","Bagyong Buhangin (Nagpapataas ng pisikal na depensa para sa mga spirit beast na uri ng bato, lahat ng spirit beast na hindi kabilang sa uri ng lupa at bato ay may pagkakataong mabulag sa pagtatapos ng bawat malaking round)","Badai Pasir (Meningkatkan pertahanan fizikal untuk haiwan roh jenis batu, semua haiwan roh yang bukan jenis tanah dan batu mempunyai kemungkinan untuk buta pada akhir setiap pusingan utama)",,,,,,,,,,,,,,,<<<13;9>;1;0;8%>;<<13;9>;17;0;1000>>,,,,,,,,
80034,,,1,4,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80035,,,1,4,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80036,,,1,4,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80041,,,1,5,1,,,,,3,2,,"Sandstorm (Increases physical defense for stone-type spirit beasts, all spirit beasts not belonging to earth and stone types have a chance to be blinded at the end of each major round)","Bão Cát (Tăng phòng thủ vật lý cho linh thú hệ đá, tất cả linh thú không thuộc hệ đất và đá có khả năng bị Mù vào cuối mỗi vòng lớn)","Sandstorm (Increases physical defense for stone-type spirit beasts, all spirit beasts not belonging to earth and stone types have a chance to be blinded at the end of each major round)",พายุทราย (เพิ่มการป้องกันทางกายภาพสำหรับสัตว์วิญญาณประเภทหิน สัตว์วิญญาณทั้งหมดที่ไม่ใช่ประเภทดินและหินมีโอกาสถูกทำให้ตาบอดเมื่อสิ้นสุดแต่ละรอบใหญ่),"Badai Pasir (Meningkatkan pertahanan fisik untuk hewan roh tipe batu, semua hewan roh yang bukan tipe tanah dan batu memiliki kemungkinan untuk buta di akhir setiap putaran besar)","Bagyong Buhangin (Nagpapataas ng pisikal na depensa para sa mga spirit beast na uri ng bato, lahat ng spirit beast na hindi kabilang sa uri ng lupa at bato ay may pagkakataong mabulag sa pagtatapos ng bawat malaking round)","Badai Pasir (Meningkatkan pertahanan fizikal untuk haiwan roh jenis batu, semua haiwan roh yang bukan jenis tanah dan batu mempunyai kemungkinan untuk buta pada akhir setiap pusingan utama)",,,,,,,,,,,,,,,<<<9;13>;1;0;10%>;<<9>;23;0;1000>;<<10>;22;0;6000>>,,,,,,,,
80042,,,1,5,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,Especially hates flying element beasts！/nEspecially hates flying element beasts！！/nEspecially hates flying element beasts！！！,đặc biệt căm ghét linh thú hệ bay！/nđặc biệt căm ghét linh thú hệ bay！! /nđặc biệt căm ghét linh thú hệ bay！! !,,Especially hates flying element beasts！/nEspecially hates flying element beasts！！/nEspecially hates flying element beasts！！！,เกลียดเป็นพิเศษกับสัตว์ธาตุปักษ์！/nเกลียดเป็นพิเศษกับสัตว์ธาตุปักษ์！！/nเกลียดเป็นพิเศษกับสัตว์ธาตุปักษ์！！！,Sangat membenci makhluk elemen terbang！/nSangat membenci makhluk elemen terbang！！/nSangat membenci makhluk elemen terbang！！！,Lalo na kinamumuhian ang mga nilalang na may elementong lumilipad！/nLalo na kinamumuhian ang mga nilalang na may elementong lumilipad！！/nLalo na kinamumuhian ang mga nilalang na may elementong lumilipad！！！,Sangat membenci makhluk unsur terbang！/nSangat membenci makhluk unsur terbang！！/nSangat membenci makhluk unsur terbang！！！
80043,,,1,5,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,<<<13;9>;1;0;10%>;<<13;9>;17;0;10000>>,"Crystal Stone Snake is immune to control, negative effects, and water-element damage. Whenever an ally is attacked, the Crystal Stone Snake will counterattack. The Stone Monster starts the battle with Petrification status for 10 turns, increasing defense by 60%. Tip: The Crystal Stone Snake is not afraid of water, so what is it afraid of?","Rắn Đá Pha Lê miễn nhiễm với kiểm soát, hiệu ứng tiêu cực và sát thương hệ nước. Bất cứ khi nào một đồng đội bị tấn công, Rắn Đá Pha Lê sẽ phản công.Quái Vật Đá bắt đầu trận đấu với trạng thái Hóa Đá trong 10 lượt,tăng cường khả năng phòng thủ lên 60%.Mẹo nhỏ: Rắn Đá Pha Lê không sợ nước, vậy nó sợ gì?",,"Crystal Stone Snake is immune to control, negative effects, and water-element damage. Whenever an ally is attacked, the Crystal Stone Snake will counterattack. The Stone Monster starts the battle with Petrification status for 10 turns, increasing defense by 60%. Tip: The Crystal Stone Snake is not afraid of water, so what is it afraid of?",งูหินคริสตัลไม่แพ้ต่อการควบคุม ผลเสีย และความเสียหายธาตุน้ำ เมื่อเพื่อนร่วมทีมถูกโจมตี งูหินคริสตัลจะโจมตีกลับ ปีศาจหินเริ่มการต่อสู้ด้วยสถานะกลายเป็นหินเป็นเวลา 10 เทิร์น เพิ่มความสามารถป้องกันขึ้น 60% เคล็ดลับ: งูหินคริสตัลไม่กลัวน้ำ แล้วมันกลัวอะไร?,"Ular Batu Kristal kebal terhadap kontrol, efek negatif, dan kerusakan elemen air. Setiap kali sekutu diserang, Ular Batu Kristal akan menyerang balik. Monster Batu memulai pertarungan dengan status Batu selama 10 giliran, meningkatkan pertahanan sebesar 60%. Tip: Ular Batu Kristal tidak takut air, jadi apa yang ditakutinya?","Ang Crystal Stone Snake ay immune sa kontrol, negatibong epekto, at pinsala mula sa elemento ng tubig. Sa tuwing inaatake ang isang kakampi, ang Crystal Stone Snake ay sasagupa. Nagsisimula ang Stone Monster sa laban na may status na Petrification sa loob ng 10 turns, nagpapataas ng depensa ng 60%. Tip: Hindi natatakot ang Crystal Stone Snake sa tubig, kaya ano ang kinatatakutan nito?","Ular Batu Kristal kebal terhadap kawalan kawalan, kesan negatif dan kerosakan unsur air. Setiap kali sekutu diserang, Ular Batu Kristal akan membalas serangan. Raksasa Batu memulakan pertarungan dengan status Batu selama 10 pusingan, meningkatkan pertahanan sebanyak 60%. Tip: Ular Batu Kristal tidak takut air, jadi apa yang ditakutinya?"
80044,,,1,5,1,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,"#L10#Godzilla vs Kong#L0# Before the ultimate monsters, humans are so small and insignificant.","#L10#Godzilla đại chiến Kong#L0#  Trước những quái vật tối thượng, con người thật nhỏ bé biết bao.",,"#L10#Godzilla vs Kong#L0# Before the ultimate monsters, humans are so small and insignificant.",#L10#Godzilla ปะทะ Kong#L0# ท่ามกลางสัตว์ประหลาดสุดยอด มนุษย์นั้นช่างเล็กน้อยและไม่มีความหมายเพียงใด,"#L10#Godzilla melawan Kong#L0# Di hadapan monster paling hebat, manusia begitu kecil dan tak berarti.","#L10#Godzilla laban kay Kong#L0# Sa harap ng mga ultimong halimaw, ang mga tao ay napakaliit at walang kabuluhan.","#L10#Godzilla melawan Kong#L0# Di hadapan raksasa tertinggi, manusia sangat kecil dan tidak berarti."
80045,,,1,5,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80046,,,1,5,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80051,,TRUE,1,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80101,,,2,11,1,,,,,,,,"Rain (Increases speed for Water element pets, reduces damage from Fire element pets, at the end of each major round removes some negative effects from all pets)","Mưa (Tăng tốc độ cho linh thú hệ nước, giảm sát thương của linh thú hệ lửa, vào cuối mỗi vòng lớn sẽ xóa bỏ một phần hiệu ứng xấu của toàn bộ linh thú)","Rain (Increases speed for Water element pets, reduces damage from Fire element pets, at the end of each major round removes some negative effects from all pets)",ฝน (เพิ่มความเร็วให้สัตว์เลี้ยงธาตุน้ำ ลดความเสียหายจากสัตว์เลี้ยงธาตุไฟ ในตอนท้ายของแต่ละรอบใหญ่จะลบผลกระทบเชิงลบบางส่วนจากสัตว์เลี้ยงทั้งหมด),"Hujan (Meningkatkan kecepatan untuk hewan peliharaan elemen Air, mengurangi kerusakan dari hewan peliharaan elemen Api, di akhir setiap ronde besar menghapus beberapa efek negatif dari semua hewan peliharaan)","Ulan (Pinapataas ang bilis para sa mga Water element na alagang hayop, binabawasan ang pinsala mula sa Fire element na alagang hayop, sa katapusan ng bawat malaking round ay tinatanggal ang ilang negatibong epekto mula sa lahat ng alagang hayop)","Hujan (Meningkatkan kelajuan untuk haiwan peliharaan elemen Air, mengurangkan kerosakan dari haiwan peliharaan elemen Api, pada akhir setiap pusingan besar menghapuskan sebahagian kesan negatif dari semua haiwan peliharaan)",,,,,,,,,,,,,,,<<<3>;1;0;5%>;<<2>;22;1;2000>>,,,,,,,,
80102,,,2,11,1,,,,,,,,"Snow (Doubles defense for Ice element pets, all pets not belonging to Ice element receive Ice elemental damage at the end of each major round and may be Frozen)","Tuyết (Tăng phòng thủ kép cho linh thú hệ băng, tất cả linh thú không thuộc hệ băng sẽ nhận sát thương nguyên tố băng vào cuối mỗi vòng lớn và có khả năng bị Đóng Băng)","Snow (Doubles defense for Ice element pets, all pets not belonging to Ice element receive Ice elemental damage at the end of each major round and may be Frozen)",หิมะ (เพิ่มเกราะเป็นสองเท่าสำหรับสัตว์เลี้ยงธาตุน้ำแข็ง สัตว์เลี้ยงทั้งหมดที่ไม่ใช่ธาตุน้ำแข็งจะได้รับความเสียหายธาตุน้ำแข็งในตอนท้ายของแต่ละรอบใหญ่ และอาจถูกแช่แข็ง),"Salju (Menggandakan pertahanan untuk hewan peliharaan elemen Es, semua hewan peliharaan yang bukan elemen Es menerima kerusakan elemen Es di akhir setiap ronde besar dan mungkin Beku)","Niyebe (Dobleng depensa para sa mga Ice element na alagang hayop, lahat ng alagang hayop na hindi kabilang sa Ice element ay tumatanggap ng Ice elemental na pinsala sa katapusan ng bawat malaking round at maaaring mag-Frozen)","Salji (Menggandakan pertahanan untuk haiwan peliharaan elemen Ais, semua haiwan peliharaan yang bukan elemen Ais akan menerima kerosakan elemen Ais pada akhir setiap pusingan besar dan mungkin akan Beku)",,,,,,,,,,,,,,,<<<6>;1;0;5%>>,,,,,,,,
