VariableName,name,name_en,name_th,name_in,name_ph,name_ma,name_vn,type,group,groupWeight,quality,icon,weight,skillID,desc,desc_en,desc_th,desc_in,desc_ph,desc_ma,desc_vn
9,Wind Veil II,Wind Veil II,ผ้าคลุมลม II,Selimut Angin II,Pananakip ng Hangin II,Selimut Angin II,Phong Mang II,201,4,200,7,city/adventure/random_tower/icon/icon_xingxiangskill_7.png,,81009,"Back row allies gain 15% damage, lasting the entire battle #L0##C0xFF3D3D#(If there is another effect of the same type, the bonus increases by 8%)#L0##C0xFF3D3D#  ","Back row allies gain 15% damage, lasting the entire battle #L0##C0xFF3D3D#(If there is another effect of the same type, the bonus increases by 8%)#L0##C0xFF3D3D#  ",แนวหลังฝ่ายเราเพิ่มความเสียหาย 15% ตลอดการต่อสู้ #L0##C0xFF3D3D#(หากมีเอฟเฟกต์ประเภทเดียวกัน เอฟเฟกต์เพิ่มอีก 8%)#L0##C0xFF3D3D#  ,"Barisan belakang tim kita meningkatkan 15% damage, berlangsung sepanjang pertempuran #L0##C0xFF3D3D#(Jika ada efek sejenis, bonus meningkat 8%)#L0##C0xFF3D3D#  ","Ang likurang hanay ng ating panig ay tumataas ng 15% damage, tumatagal sa buong laban #L0##C0xFF3D3D#(Kung may parehong epekto, tataas pa ng 8%)#L0##C0xFF3D3D#  ","Barisan belakang pihak kita meningkat 15% kerosakan, sepanjang pertempuran #L0##C0xFF3D3D#(Jika ada kesan jenis yang sama, bonus meningkat 8%)#L0##C0xFF3D3D#  ","Hàng sau phe ta tăng 15% sát thương, kéo dài toàn trận #L0##C0xFF3D3D#(Nếu có hiệu ứng cùng loại khác, hiệu ứng tăng thêm 8%)#L0##C0xFF3D3D#  "
10,Wind Veil III,Wind Veil III,ผ้าคลุมลม III,Selimut Angin III,Pananakip ng Hangin III,Selimut Angin III,Phong Mang III,301,4,100,7,city/adventure/random_tower/icon/icon_xingxiangskill_7.png,,81010,"The allied organization unit with the highest attack gains 15% damage #L0##C0xFF3D3D#(If Phong Mang I, II, III are also present, the effect is doubled)#L0##C0xFF3D3D#  ","The allied organization unit with the highest attack gains 15% damage #L0##C0xFF3D3D#(If Phong Mang I, II, III are also present, the effect is doubled)#L0##C0xFF3D3D#  ","หน่วยองค์กรที่มีพลังโจมตีสูงสุดของฝ่ายเราเพิ่มความเสียหาย 15% #L0##C0xFF3D3D#(หากมี Phong Mang I, II, III เอฟเฟกต์จะเพิ่มเป็นสองเท่า)#L0##C0xFF3D3D#  ","Unit organisasi dengan serangan tertinggi di tim kita meningkatkan 15% damage #L0##C0xFF3D3D#(Jika Phong Mang I, II, III juga aktif, efeknya menjadi dua kali lipat)#L0##C0xFF3D3D#  ","Ang yunit ng organisasyon na may pinakamataas na atake sa ating panig ay tumataas ng 15% damage #L0##C0xFF3D3D#(Kung may Phong Mang I, II, III, dodoble ang epekto)#L0##C0xFF3D3D#  ","Unit organisasi dengan serangan tertinggi pihak kita meningkat 15% kerosakan #L0##C0xFF3D3D#(Jika ada Phong Mang I, II, III, kesan digandakan)#L0##C0xFF3D3D#  ","Tổ chức có tấn công cao nhất phe ta tăng 15% sát thương #L0##C0xFF3D3D#(Nếu đồng thời có Phong Mang I, Phong Mang II, Phong Mang III, hiệu ứng nhân đôi)#L0##C0xFF3D3D#  "
11,Inner Strength I,Inner Strength I,พลังภายใน I,Kekuatan Dalam I,Lakas sa Loob I,Kekuatan Dalam I,Nội Dung Chi Lực I,1001,5,80,3,city/develop/talent/icon_sg.png,,81011,"Allied Lightning-type ninjas gain 20% Crit Rate and 15% damage #L0##C0xFF3D3D#(If there are 3 or more types of Power of Content, the effect applies to the whole team)#L0##C0xFF3D3D#  ","Allied Lightning-type ninjas gain 20% Crit Rate and 15% damage #L0##C0xFF3D3D#(If there are 3 or more types of Power of Content, the effect applies to the whole team)#L0##C0xFF3D3D#  ",นินจาสายสายฟ้าฝ่ายเราเพิ่มอัตราคริติคอล 20% และความเสียหาย 15% #L0##C0xFF3D3D#(หากมีพลังเนื้อหา 3 ประเภทขึ้นไป เอฟเฟกต์มีผลกับทั้งทีม)#L0##C0xFF3D3D#  ,"Ninja elemen Petir tim kita meningkatkan 20% Crit Rate dan 15% damage #L0##C0xFF3D3D#(Jika ada 3 atau lebih jenis Power of Content, efek berlaku untuk seluruh tim)#L0##C0xFF3D3D#  ","Ang mga ninja ng ating panig na may Lightning element ay tumataas ng 20% Crit Rate at 15% damage #L0##C0xFF3D3D#(Kung may 3 o higit pang uri ng Power of Content, ang epekto ay para sa buong team)#L0##C0xFF3D3D#  ","Ninja Elemen Petir pihak kita meningkat 20% Kadar Kritikal dan 15% kerosakan #L0##C0xFF3D3D#(Jika ada 3 atau lebih jenis Kuasa Kandungan, kesan digunakan kepada seluruh pasukan)#L0##C0xFF3D3D#  ","Ninja hệ Lôi phe ta tăng 20% tỷ lệ bạo kích và 15% sát thương #L0##C0xFF3D3D#(Nếu có từ 3 loại Nội Dung Chi Lực trở lên, hiệu ứng áp dụng toàn đội)#L0##C0xFF3D3D#  "
12,Inner Strength II,Inner Strength II,พลังภายใน II,Kekuatan Dalam II,Lakas sa Loob II,Kekuatan Dalam II,Nội Dung Chi Lực II,1001,5,80,3,city/develop/talent/icon_sg.png,,81012,"Allied Earth-type ninjas gain 15% damage and 15% damage reduction #L0##C0xFF3D3D#(If there are 3 or more types of Power of Content, the effect applies to the whole team)#L0##C0xFF3D3D#","Allied Earth-type ninjas gain 15% damage and 15% damage reduction #L0##C0xFF3D3D#(If there are 3 or more types of Power of Content, the effect applies to the whole team)#L0##C0xFF3D3D#",นินจาสายดินฝ่ายเราเพิ่มความเสียหาย 15% และลดความเสียหาย 15% #L0##C0xFF3D3D#(หากมีพลังเนื้อหา 3 ประเภทขึ้นไป เอฟเฟกต์มีผลกับทั้งทีม)#L0##C0xFF3D3D#,"Ninja elemen Tanah tim kita meningkatkan 15% damage dan 15% pengurangan damage #L0##C0xFF3D3D#(Jika ada 3 atau lebih jenis Power of Content, efek berlaku untuk seluruh tim)#L0##C0xFF3D3D#","Ang mga ninja ng ating panig na may Earth element ay tumataas ng 15% damage at 15% damage reduction #L0##C0xFF3D3D#(Kung may 3 o higit pang uri ng Power of Content, ang epekto ay para sa buong team)#L0##C0xFF3D3D#","Ninja Elemen Tanah pihak kita meningkat 15% kerosakan dan 15% pengurangan kerosakan #L0##C0xFF3D3D#(Jika ada 3 atau lebih jenis Kuasa Kandungan, kesan digunakan kepada seluruh pasukan)#L0##C0xFF3D3D#","Ninja hệ Thổ phe ta tăng 15% sát thương và 15% giảm sát thương #L0##C0xFF3D3D#(Nếu có từ 3 loại Nội Dung Chi Lực trở lên, hiệu ứng áp dụng toàn đội)#L0##C0xFF3D3D#  "
13,Inner Strength III,Inner Strength III,พลังภายใน III,Kekuatan Dalam III,Lakas sa Loob III,Kekuatan Dalam III,Nội Dung Chi Lực III,1001,5,80,3,city/develop/talent/icon_sg.png,,81013,"Allied Wind-type ninjas gain 20% Evasion and 15% Speed #L0##C0xFF3D3D#(If there are 3 or more types of Power of Content, the effect applies to the whole team)#L0##C0xFF3D3D#  ","Allied Wind-type ninjas gain 20% Evasion and 15% Speed #L0##C0xFF3D3D#(If there are 3 or more types of Power of Content, the effect applies to the whole team)#L0##C0xFF3D3D#  ",นินจาสายลมฝ่ายเราเพิ่มการหลบหลีก 20% และความเร็ว 15% #L0##C0xFF3D3D#(หากมีพลังเนื้อหา 3 ประเภทขึ้นไป เอฟเฟกต์มีผลกับทั้งทีม)#L0##C0xFF3D3D#  ,"Ninja elemen Angin tim kita meningkatkan 20% Evasion dan 15% Kecepatan #L0##C0xFF3D3D#(Jika ada 3 atau lebih jenis Power of Content, efek berlaku untuk seluruh tim)#L0##C0xFF3D3D#  ","Ang mga ninja ng ating panig na may Wind element ay tumataas ng 20% Evasion at 15% Speed #L0##C0xFF3D3D#(Kung may 3 o higit pang uri ng Power of Content, ang epekto ay para sa buong team)#L0##C0xFF3D3D#  ","Ninja elemen Angin pihak kita meningkat 20% Elakan dan 15% Kelajuan #L0##C0xFF3D3D#(Jika ada 3 atau lebih jenis Kuasa Kandungan, kesan digunakan kepada seluruh pasukan)#L0##C0xFF3D3D#  ","Ninja hệ Phong phe ta tăng 20% né tránh và 15% tốc độ #L0##C0xFF3D3D#(Nếu có từ 3 loại Nội Dung Chi Lực trở lên, hiệu ứng áp dụng toàn đội)#L0##C0xFF3D3D#  "
14,Inner Strength IV,Inner Strength IV,พลังภายใน IV,Kekuatan Dalam IV,Lakas sa Loob IV,Kekuatan Dalam IV,Nội Dung Chi Lực IV,1001,5,80,3,city/develop/talent/icon_sg.png,,81014,"Allied Water-type ninjas gain 20% Crit Resistance and 20% Crit Rate #L0##C0xFF3D3D#(If there are 3 or more types of Power of Content, the effect applies to the whole team)#L0##C0xFF3D3D#  ","Allied Water-type ninjas gain 20% Crit Resistance and 20% Crit Rate #L0##C0xFF3D3D#(If there are 3 or more types of Power of Content, the effect applies to the whole team)#L0##C0xFF3D3D#  ",นินจาสายน้ำฝ่ายเราเพิ่มต้านคริติคอล 20% และอัตราคริติคอล 20% #L0##C0xFF3D3D#(หากมีพลังเนื้อหา 3 ประเภทขึ้นไป เอฟเฟกต์มีผลกับทั้งทีม)#L0##C0xFF3D3D#  ,"Ninja elemen Air tim kita meningkatkan 20% Resistensi Kritikal dan 20% Peluang Kritikal #L0##C0xFF3D3D#(Jika ada 3 atau lebih jenis Power of Content, efek berlaku untuk seluruh tim)#L0##C0xFF3D3D#  ","Ang mga ninja ng ating panig na may Water element ay tumataas ng 20% Crit Resistance at 20% Crit Rate #L0##C0xFF3D3D#(Kung may 3 o higit pang uri ng Power of Content, ang epekto ay para sa buong team)#L0##C0xFF3D3D#  ","Ninja elemen Air pihak kita meningkat 20% Rintangan Kritikal dan 20% Kadar Kritikal #L0##C0xFF3D3D#(Jika ada 3 atau lebih jenis Kuasa Kandungan, kesan digunakan kepada seluruh pasukan)#L0##C0xFF3D3D#  ","Ninja hệ Thủy phe ta tăng 20% kháng bạo kích và 20% tỷ lệ bạo kích #L0##C0xFF3D3D#(Nếu có từ 3 loại Nội Dung Chi Lực trở lên, hiệu ứng áp dụng toàn đội)#L0##C0xFF3D3D#  "
15,Inner Strength V,Inner Strength V,พลังภายใน V,Kekuatan Dalam V,Lakas sa Loob V,Kekuatan Dalam V,Nội Dung Chi Lực V,1001,5,80,3,city/develop/talent/icon_sg.png,,81015,"Allied Fire-type ninjas gain 15% Damage Reduction and 20% Crit Damage #L0##C0xFF3D3D#(If there are 3 or more types of Power of Content, the effect applies to the whole team)#L0##C0xFF3D3D#  ","Allied Fire-type ninjas gain 15% Damage Reduction and 20% Crit Damage #L0##C0xFF3D3D#(If there are 3 or more types of Power of Content, the effect applies to the whole team)#L0##C0xFF3D3D#  ",นินจาไฟฝ่ายเราเพิ่มลดความเสียหาย 15% และความเสียหายคริติคอล 20% #L0##C0xFF3D3D#(หากมีพลังเนื้อหา 3 ประเภทขึ้นไป เอฟเฟกต์มีผลกับทั้งทีม)#L0##C0xFF3D3D#  ,"Ninja elemen Api tim kita meningkatkan 15% Pengurangan Damage dan 20% Damage Kritikal #L0##C0xFF3D3D#(Jika ada 3 atau lebih jenis Power of Content, efek berlaku untuk seluruh tim)#L0##C0xFF3D3D#  ","Ang mga ninja ng ating panig na may Fire element ay tumataas ng 15% Damage Reduction at 20% Crit Damage #L0##C0xFF3D3D#(Kung may 3 o higit pang uri ng Power of Content, ang epekto ay para sa buong team)#L0##C0xFF3D3D#  ","Ninja elemen Api pihak kita meningkat 15% Pengurangan Kerosakan dan 20% Kerosakan Kritikal #L0##C0xFF3D3D#(Jika ada 3 atau lebih jenis Kuasa Kandungan, kesan digunakan kepada seluruh pasukan)#L0##C0xFF3D3D#  ","Ninja hệ Hỏa phe ta tăng 15% giảm sát thương và 20% sát thương bạo kích #L0##C0xFF3D3D#(Nếu có từ 3 loại Nội Dung Chi Lực trở lên, hiệu ứng áp dụng toàn đội)#L0##C0xFF3D3D#  "
16,Inner Strength VI,Inner Strength VI,พลังภายใน VI,Kekuatan Dalam VI,Lakas sa Loob VI,Kekuatan Dalam VI,Nội Dung Chi Lực VI,1001,5,80,3,city/develop/talent/icon_sg.png,,81016,"Allied Lightning and Fire-type ninjas gain 15% Chakra Recovery Speed and 15% Damage #L0##C0xFF3D3D#(If there are 3 or more types of Power of Content, the effect applies to the whole team)#L0##C0xFF3D3D#  ","Allied Lightning and Fire-type ninjas gain 15% Chakra Recovery Speed and 15% Damage #L0##C0xFF3D3D#(If there are 3 or more types of Power of Content, the effect applies to the whole team)#L0##C0xFF3D3D#  ",นินจาสายฟ้าและไฟฝ่ายเราเพิ่มความเร็วฟื้น Chakra 15% และความเสียหาย 15% #L0##C0xFF3D3D#(หากมีพลังเนื้อหา 3 ประเภทขึ้นไป เอฟเฟกต์มีผลกับทั้งทีม)#L0##C0xFF3D3D#  ,"Ninja elemen Petir dan Api tim kita meningkatkan 15% Kecepatan Pemulihan Chakra dan 15% Damage #L0##C0xFF3D3D#(Jika ada 3 atau lebih jenis Power of Content, efek berlaku untuk seluruh tim)#L0##C0xFF3D3D#  ","Ang mga ninja ng ating panig na may Lightning at Fire element ay tumataas ng 15% Chakra Recovery Speed at 15% Damage #L0##C0xFF3D3D#(Kung may 3 o higit pang uri ng Power of Content, ang epekto ay para sa buong team)#L0##C0xFF3D3D#  ","Ninja elemen Petir dan Api pihak kita meningkat 15% Kadar Pemulihan Chakra dan 15% Kerosakan #L0##C0xFF3D3D#(Jika ada 3 atau lebih jenis Kuasa Kandungan, kesan digunakan kepada seluruh pasukan)#L0##C0xFF3D3D#  ","Ninja hệ Lôi và Hỏa phe ta tăng 15% tốc độ hồi Chakra và 15% sát thương #L0##C0xFF3D3D#(Nếu có từ 3 loại Nội Dung Chi Lực trở lên, hiệu ứng áp dụng toàn đội)#L0##C0xFF3D3D#  "
17,Inner Strength VII,Inner Strength VII,พลังภายใน VII,Kekuatan Dalam VII,Lakas sa Loob VII,Kekuatan Dalam VII,Nội Dung Chi Lực VII,1001,5,80,3,city/develop/talent/icon_sg.png,,81017,"Allied Wind and Water-type ninjas gain 20% Evasion and 15% Damage Reduction #L0##C0xFF3D3D#(If there are 3 or more types of Power of Content, the effect applies to the whole team)#L0##C0xFF3D3D#  ","Allied Wind and Water-type ninjas gain 20% Evasion and 15% Damage Reduction #L0##C0xFF3D3D#(If there are 3 or more types of Power of Content, the effect applies to the whole team)#L0##C0xFF3D3D#  ",นินจาสายลมและน้ำฝ่ายเราเพิ่มการหลบหลีก 20% และลดความเสียหาย 15% #L0##C0xFF3D3D#(หากมีพลังเนื้อหา 3 ประเภทขึ้นไป เอฟเฟกต์มีผลกับทั้งทีม)#L0##C0xFF3D3D#  ,"Ninja elemen Angin dan Air tim kita meningkatkan 20% Evasion dan 15% Pengurangan Damage #L0##C0xFF3D3D#(Jika ada 3 atau lebih jenis Power of Content, efek berlaku untuk seluruh tim)#L0##C0xFF3D3D#  ","Ang mga ninja ng ating panig na may Wind at Water element ay tumataas ng 20% Evasion at 15% Damage Reduction #L0##C0xFF3D3D#(Kung may 3 o higit pang uri ng Power of Content, ang epekto ay para sa buong team)#L0##C0xFF3D3D#  ","Ninja elemen Angin dan Air pihak kita meningkat 20% Elakan dan 15% Pengurangan Kerosakan #L0##C0xFF3D3D#(Jika ada 3 atau lebih jenis Kuasa Kandungan, kesan digunakan kepada seluruh pasukan)#L0##C0xFF3D3D#  ","Ninja hệ Phong và Thủy phe ta tăng 20% né tránh và 15% giảm sát thương #L0##C0xFF3D3D#(Nếu có từ 3 loại Nội Dung Chi Lực trở lên, hiệu ứng áp dụng toàn đội)#L0##C0xFF3D3D#  "
18,Inner Strength VIII,Inner Strength VIII,พลังภายใน VIII,Kekuatan Dalam VIII,Lakas sa Loob VIII,Kekuatan Dalam VIII,Nội Dung Chi Lực VIII,1001,5,80,3,city/develop/talent/icon_sg.png,,81018,"Allied Earth and Fire-type ninjas gain 20% Crit Resistance and 20% Crit Damage #L0##C0xFF3D3D#(If there are 3 or more types of Power of Content, the effect applies to the whole team)#L0##C0xFF3D3D#","Allied Earth and Fire-type ninjas gain 20% Crit Resistance and 20% Crit Damage #L0##C0xFF3D3D#(If there are 3 or more types of Power of Content, the effect applies to the whole team)#L0##C0xFF3D3D#",นินจาดินและไฟฝ่ายเราเพิ่มต้านคริติคอล 20% และความเสียหายคริติคอล 20% #L0##C0xFF3D3D#(หากมีพลังเนื้อหา 3 ประเภทขึ้นไป เอฟเฟกต์มีผลกับทั้งทีม)#L0##C0xFF3D3D#,"Ninja elemen Tanah dan Api tim kita meningkatkan 20% Resistensi Kritikal dan 20% Damage Kritikal #L0##C0xFF3D3D#(Jika ada 3 atau lebih jenis Power of Content, efek berlaku untuk seluruh tim)#L0##C0xFF3D3D#","Ang mga ninja ng ating panig na may Earth at Fire element ay tumataas ng 20% Crit Resistance at 20% Crit Damage #L0##C0xFF3D3D#(Kung may 3 o higit pang uri ng Power of Content, ang epekto ay para sa buong team)#L0##C0xFF3D3D#","Ninja elemen Tanah dan Api pihak kita meningkat 20% Rintangan Kritikal dan 20% Kerosakan Kritikal #L0##C0xFF3D3D#(Jika ada 3 atau lebih jenis Kuasa Kandungan, kesan digunakan kepada seluruh pasukan)#L0##C0xFF3D3D#","Ninja hệ Thổ và Hỏa phe ta tăng 20% kháng bạo kích và 20% sát thương bạo kích #L0##C0xFF3D3D#(Nếu có từ 3 loại Nội Dung Chi Lực trở lên, hiệu ứng áp dụng toàn đội)#L0##C0xFF3D3D#  "
19,Wisdom I,Wisdom I,ปัญญา I,Kebijaksanaan I,Katalinuhan I,Kebijaksanaan I,Thông Tuệ I,101,6,300,,city/develop/talent/icon_wf.png,,81019,"All allied ninjas gain 20% Defense and Resistance, lasting the entire battle #L0##C0xFF3D3D#(If there is another effect of the same type, the effect increases by 10%)#L0##C0xFF3D3D#  ","All allied ninjas gain 20% Defense and Resistance, lasting the entire battle #L0##C0xFF3D3D#(If there is another effect of the same type, the effect increases by 10%)#L0##C0xFF3D3D#  ",นินจาฝ่ายเราทั้งหมดเพิ่มพลังป้องกันและต้านทาน 20% ตลอดการต่อสู้ #L0##C0xFF3D3D#(หากมีเอฟเฟกต์ประเภทเดียวกัน เอฟเฟกต์เพิ่มขึ้นอีก 10%)#L0##C0xFF3D3D#  ,"Semua ninja tim kita mendapatkan 20% Pertahanan dan Ketahanan, berlaku sepanjang pertempuran #L0##C0xFF3D3D#(Jika ada efek sejenis lainnya, efek meningkat 10%)#L0##C0xFF3D3D#  ","Lahat ng ninja sa ating panig ay tumataas ng 20% Defense at Resistance, tumatagal sa buong laban #L0##C0xFF3D3D#(Kung may parehong uri ng epekto, tataas pa ng 10%)#L0##C0xFF3D3D#  ","Semua ninja pihak kita meningkat 20% Pertahanan dan Ketahanan, sepanjang pertempuran #L0##C0xFF3D3D#(Jika ada kesan jenis yang sama, kesan meningkat 10%)#L0##C0xFF3D3D#  ","Toàn bộ ninja phe ta tăng 20% phòng thủ và kháng tính, kéo dài toàn trận #L0##C0xFF3D3D#(Nếu có hiệu ứng cùng loại khác, hiệu quả tăng thêm 10%)#L0##C0xFF3D3D#  "
20,Wisdom II,Wisdom II,ปัญญา II,Kebijaksanaan II,Katalinuhan II,Kebijaksanaan II,Thông Tuệ II,201,6,200,,city/develop/talent/icon_wf.png,,81020,"Front row allies gain 30% Defense and Resistance, lasting the entire battle #L0##C0xFF3D3D#(If there is another effect of the same type, the effect increases by 15%)#L0##C0xFF3D3D#  ","Front row allies gain 30% Defense and Resistance, lasting the entire battle #L0##C0xFF3D3D#(If there is another effect of the same type, the effect increases by 15%)#L0##C0xFF3D3D#  ",แนวหน้าฝ่ายเราเพิ่มพลังป้องกันและต้านทาน 30% ตลอดการต่อสู้ #L0##C0xFF3D3D#(หากมีเอฟเฟกต์ประเภทเดียวกัน เอฟเฟกต์เพิ่มขึ้นอีก 15%)#L0##C0xFF3D3D#  ,"Barisan depan tim kita mendapatkan 30% Pertahanan dan Ketahanan, berlaku sepanjang pertempuran #L0##C0xFF3D3D#(Jika ada efek sejenis lainnya, efek meningkat 15%)#L0##C0xFF3D3D#  ","Ang front row ng ating panig ay tumataas ng 30% Defense at Resistance, tumatagal sa buong laban #L0##C0xFF3D3D#(Kung may parehong uri ng epekto, tataas pa ng 15%)#L0##C0xFF3D3D#  ","Barisan hadapan pihak kita meningkat 30% Pertahanan dan Ketahanan, sepanjang pertempuran #L0##C0xFF3D3D#(Jika ada kesan jenis yang sama, kesan meningkat 15%)#L0##C0xFF3D3D#  ","Hàng trước phe ta tăng 30% phòng thủ và kháng tính, kéo dài toàn trận #L0##C0xFF3D3D#(Nếu có hiệu ứng cùng loại khác, hiệu quả tăng thêm 15%)#L0##C0xFF3D3D#  "
21,Wisdom III,Wisdom III,ปัญญา III,Kebijaksanaan III,Katalinuhan III,Kebijaksanaan III,Thông Tuệ III,301,6,100,,city/develop/talent/icon_wf.png,,81021,"The organization unit with the highest Defense gains 50% more Defense and Resistance #L0##C0xFF3D3D#(If Wisdom I, II, and III are all present, the effect is doubled)#L0##C0xFF3D3D#  ","The organization unit with the highest Defense gains 50% more Defense and Resistance #L0##C0xFF3D3D#(If Wisdom I, II, and III are all present, the effect is doubled)#L0##C0xFF3D3D#  ","หน่วยองค์กรที่มีค่าพลังป้องกันสูงสุดเพิ่มพลังป้องกันและต้านทานอีก 50% #L0##C0xFF3D3D#(หากมี Trí tuệ I, II และ III เอฟเฟกต์จะเพิ่มเป็นสองเท่า)#L0##C0xFF3D3D#  ","Unit organisasi dengan pertahanan tertinggi mendapatkan tambahan 50% Pertahanan dan Ketahanan #L0##C0xFF3D3D#(Jika memiliki Trí tuệ I, II dan III sekaligus, efeknya menjadi dua kali lipat)#L0##C0xFF3D3D#  ","Ang yunit ng organisasyon na may pinakamataas na Defense ay tumataas ng 50% Defense at Resistance #L0##C0xFF3D3D#(Kung may Trí tuệ I, II, at III, dodoble ang epekto)#L0##C0xFF3D3D#  ","Unit organisasi dengan pertahanan tertinggi pihak kita mendapat tambahan 50% Pertahanan dan Ketahanan #L0##C0xFF3D3D#(Jika memiliki Trí tuệ I, II dan III, kesan digandakan)#L0##C0xFF3D3D#  ","Khả năng phòng thủ và kháng cự của tổ chức có chỉ số phòng thủ cao nhất tăng thêm 50%#L0##C0xFF3D3D#(Có Trí tuệ I, Trí tuệ II và Trí tuệ III cùng lúc sẽ nhân đôi hiệu quả)#L0##C0xFF3D3D#"
22,Guardian I,Guardian I,ผู้พิทักษ์ I,Penjaga I,Tagapangalaga I,Penjaga I,Ngự Thủ I,201,7,300,3,city/adventure/random_tower/icon/icon_xingxiangskill_5.png,,81022,"Your own front row gains 20% Block Rate #L0##C0xFF3D3D#(With similar ninjas, effect coefficient increases by 10%)#L0##C0xFF3D3D#  ","Your own front row gains 20% Block Rate #L0##C0xFF3D3D#(With similar ninjas, effect coefficient increases by 10%)#L0##C0xFF3D3D#  ",แนวหน้าของคุณเพิ่มอัตราการบล็อกอีก 20% #L0##C0xFF3D3D#(หากมีนินจาประเภทเดียวกัน ค่าสัมประสิทธิ์เอฟเฟกต์เพิ่มอีก 10%)#L0##C0xFF3D3D#  ,"Barisan depan milikmu meningkatkan 20% Peluang Blok #L0##C0xFF3D3D#(Dengan ninja sejenis lainnya, koefisien efek meningkat 10%)#L0##C0xFF3D3D#  ","Ang front row mo ay tumataas ng 20% Block Rate #L0##C0xFF3D3D#(Kung may parehong uri ng ninja, tataas pa ng 10%)#L0##C0xFF3D3D#  ","Barisan hadapan anda sendiri meningkat 20% Kadar Sekat #L0##C0xFF3D3D#(Dengan ninja jenis yang sama, pekali kesan meningkat 10%)#L0##C0xFF3D3D#  ","Tỷ lệ chặn hàng trước của chính bạn tăng thêm 20%#L0##C0xFF3D3D#(Với các ninja tương tự khác, hệ số hiệu ứng tăng thêm 10%)#L0##C0xFF3D3D#"
23,Guardian II,Guardian II,ผู้พิทักษ์ II,Penjaga II,Tagapangalaga II,Penjaga II,Ngự Thủ II,301,7,200,3,city/adventure/random_tower/icon/icon_xingxiangskill_5.png,,81023,"Your own front row gains 30% Block Strength #L0##C0xFF3D3D#(With similar ninjas, effect coefficient increases by 15%)#L0##C0xFF3D3D#  ","Your own front row gains 30% Block Strength #L0##C0xFF3D3D#(With similar ninjas, effect coefficient increases by 15%)#L0##C0xFF3D3D#  ",แนวหน้าของคุณเพิ่มความแข็งแกร่งในการบล็อกอีก 30% #L0##C0xFF3D3D#(หากมีนินจาประเภทเดียวกัน ค่าสัมประสิทธิ์เอฟเฟกต์เพิ่มอีก 15%)#L0##C0xFF3D3D#  ,"Barisan depan milikmu meningkatkan 30% Kekuatan Blok #L0##C0xFF3D3D#(Dengan ninja sejenis lainnya, koefisien efek meningkat 15%)#L0##C0xFF3D3D#  ","Ang front row mo ay tumataas ng 30% Block Strength #L0##C0xFF3D3D#(Kung may parehong uri ng ninja, tataas pa ng 15%)#L0##C0xFF3D3D#  ","Barisan hadapan anda sendiri meningkat 30% Kekuatan Sekat #L0##C0xFF3D3D#(Dengan ninja jenis yang sama, pekali kesan meningkat 15%)#L0##C0xFF3D3D#  ","Sức mạnh chặn của hàng trước của bạn tăng thêm 30%#L0##C0xFF3D3D#(Với các ninja tương tự khác, hệ số hiệu ứng tăng thêm 15%)#L0##C0xFF3D3D#"
24,Thorny I,Thorny I,มีหนาม I,Berbuah Duri I,Maputik I,Berbuah Duri I,Gai Góc I,1201,8,300,2,city/develop/talent/icon_shjm.png,,81024,"Your personal highest Body and Ninjutsu Reflection is increased by 20% #L0##C0xFF3D3D#(When other same-type effects are present, Reflection effect is doubled)#L0##C0xFF3D3D#  ","Your personal highest Body and Ninjutsu Reflection is increased by 20% #L0##C0xFF3D3D#(When other same-type effects are present, Reflection effect is doubled)#L0##C0xFF3D3D#  ",การสะท้อนสูงสุดของคุณสำหรับศิลปะร่างกายและนินจutsu เพิ่มขึ้นอีก 20% #L0##C0xFF3D3D#(หากมีเอฟเฟกต์ประเภทเดียวกันอื่น ๆ เอฟเฟกต์สะท้อนจะเพิ่มเป็นสองเท่า)#L0##C0xFF3D3D#  ,"Refleksi tertinggi tubuh dan ninjutsu milikmu meningkat sebesar 20% #L0##C0xFF3D3D#(Jika ada efek sejenis lainnya, efek Refleksi akan menjadi dua kali lipat)#L0##C0xFF3D3D#  ","Ang pinakamataas mong Body at Ninjutsu Reflection ay tumataas ng 20% #L0##C0xFF3D3D#(Kung may parehong uri ng epekto, dodoble ang Reflection)#L0##C0xFF3D3D#  ","Refleksi tertinggi seni tubuh dan ninjutsu anda meningkat 20% #L0##C0xFF3D3D#(Jika ada kesan jenis yang sama, kesan Refleksi digandakan)#L0##C0xFF3D3D#  ","Khả năng bật lại mô cao nhất của nghệ thuật cơ thể và nhẫn thuật của chính một người được tăng thêm 20%#L0##C0xFF3D3D#(Khi có các hiệu ứng khác cùng loại, hiệu ứng bật lại sẽ tăng gấp đôi)#L0##C0xFF3D3D#"
