VariableName,cardId,_name,_rarity,level,advance,star,skillLevels,abilities,nvalue,fetters,equipAdvance,equipStar,equipLevel,equipAwake,speedRate,languages,hp,damage,specialDamage,defence,specialDefence,strikeLevel,strikeDamage,strikeResistance,blockLevel,breakBlockLevel,blockPower,damageAdd,damageSub,mainSkillAdd,mainSkillSub
1018,611,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1019,631,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1020,641,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1021,692,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1022,701,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1023,712,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1024,721,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1025,731,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1026,741,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1027,771,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1028,793,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1029,863,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1030,883,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1031,972,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1032,1071,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1033,1032,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1034,1082,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1035,1221,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1036,1231,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1037,1241,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1038,1253,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1039,1293,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1040,1303,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1041,1313,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1042,1393,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1043,1381,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1044,1423,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1045,1503,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1046,1612,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1047,1772,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1048,1813,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1049,1841,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1050,1893,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1051,1903,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1052,1911,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1053,1931,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1054,1941,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1055,1951,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1056,2013,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1057,2023,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1058,2033,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1059,2073,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1060,2233,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1061,2242,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1062,2401,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1063,2493,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1064,2593,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1065,2612,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1066,2633,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1067,2683,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1068,2723,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1069,2843,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1070,2963,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1071,3003,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1072,3021,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1073,3143,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1074,3152,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1075,3161,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1076,3171,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1077,3181,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1078,3251,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1079,3283,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1080,3293,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1081,3303,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1082,3342,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1083,3353,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1084,3432,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1085,3472,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1086,3511,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1087,3543,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1088,3592,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1089,3663,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1090,3673,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1091,3683,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1092,3772,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1093,7001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
