id,key,key_tw
51,简单的教堂,簡單的教堂
52,等级：80,等級：80
53,社团：简简单单,社團：簡簡單單
54,颓废的金刚狼,頹廢的金剛狼
55,达成成就可获得积分，积分越高排名越高，难度越高的成就获得的积分越高,達成成就可獲得積分，積分越高排名越高，難度越高的成就獲得的積分越高
56,披星戴月,披星戴月
57,中尉,中尉
58,完成后领取,完成後領取
59,免费次数,免費次數
60,免费,免費
61,结束倒计时:3天10:22:33,結束倒計時:3天10:22:33
62,免费次数: 5/5,免費次數: 5/5
63,亚古兽,亞古獸
64,已有相同卡牌，自动转化,已有相同卡牌，自動轉化
65,30个亚古兽碎片,30個亞古獸碎片
66,强力,強力
67,可获得热点数码兽碎片,可獲得熱點數碼獸碎片
68,名字名字名字,名字名字名字
69,资质：14,資質：14
70,定位：纯粹的暴力,定位：純粹的暴力
71,钢铁加鲁鲁兽,鋼鐵加魯魯獸
72,道具名称名称,道具名稱名稱
73,再来一次,再來一次
74,4次后必得数码兽,4次後必得數碼獸
75,免费次数: 1/1,免費次數: 1/1
76,逆天の葫芦娃,逆天の葫蘆娃
77,恶魔兽妄图破坏并重塑数码世界，发出大量黑暗齿轮，控制了大批数码兽，每天都会放出部分数码兽出来作乱。为了拯救数码世界，让我们团结起来，净化被黑色齿轮控制的数码兽吧。,惡魔獸妄圖破壞並重塑數碼世界，發出大量黑暗齒輪，控制了大批數碼獸，每天都會放出部分數碼獸出來作亂。為了拯救數碼世界，讓我們團結起來，淨化被黑色齒輪控制的數碼獸吧。
78,规则说明,規則說明
79,1.每天12点会刷新新的黑暗数码兽阵容。,1.每天12點會刷新新的黑暗數碼獸陣容。
80,2.每天12点世界各地的召唤师门可以创建或加入其他召唤师的队伍，一起对抗被黑色齿轮控制的数码兽。,2.每天12點世界各地的召喚師門可以創建或加入其他召喚師的隊伍，一起對抗被黑色齒輪控制的數碼獸。
81,3.组队净化数码兽可以获得相应的数码兽碎片。,3.組隊淨化數碼獸可以獲得相應的數碼獸碎片。
82,4.想要净化某个数码兽，需要先拥有该数码兽。,4.想要淨化某個數碼獸，需要先擁有該數碼獸。
83,5.每次战斗胜利可以获得两个宝箱，第一个免费开启，第二个需要花费钻石，两个宝箱都有几率获得数码兽碎片。,5.每次戰鬥勝利可以獲得兩個寶箱，第一個免費開啟，第二個需要花費鑽石，兩個寶箱都有幾率獲得數碼獸碎片。
84,6.每次净化任务中，完成所有战斗的玩家越多，获得的额外奖励越多，额外奖励将通过邮件发送，获得额外奖励的前提是自己完成所有战斗。,6.每次淨化任務中，完成所有戰鬥的玩家越多，獲得的額外獎勵越多，額外獎勵將通過郵件發送，獲得額外獎勵的前提是自己完成所有戰鬥。
85,7.队伍中3人、4人、5人完成战斗时可获得不同程度的额外奖励。,7.隊伍中3人、4人、5人完成戰鬥時可獲得不同程度的額外獎勵。
86,8.选择净化目标后，只要战斗胜利过一次，就无法退出当前队伍，将战斗进行到底！,8.選擇淨化目標後，只要戰鬥勝利過一次，就無法退出當前隊伍，將戰鬥進行到底！
87,9.每天12点老队伍会自动解散，需要重新组队。,9.每天12點老隊伍會自動解散，需要重新組隊。
88,10.玩家可以点击队伍中自己的头像更换上阵的数码兽。,10.玩家可以點擊隊伍中自己的頭像更換上陣的數碼獸。
89,克隆兽后面才是名字,克隆獸後面才是名字
90,当前完成人数:,當前完成人數:
91,人， 可获得额外奖励,人， 可獲得額外獎勵
92,(邮件发送),(郵件發送)
93,禁止快速加入,禁止快速加入
94,完成战斗0/3,完成戰鬥0/3
95,我的名字六字,我的名字六字
96,等待玩家加入,等待玩家加入
97,机械暴龙兽+1,機械暴龍獸+1
98,战斗力：,戰鬥力：
99,重生石需求：,重生石需求：
100,（拥有：,（擁有：
101,高级重生,高級重生
102,（提升返还率！）,（提升返還率！）
103,还原数码兽,還原數碼獸
104,究极暴龙兽+2,究極暴龍獸+2
105,的品质,的品質
106,，可以返还以下道具：,，可以返還以下道具：
107,最多六个字吗,最多六個字嗎
108,的品质还原至初始,的品質還原至初始
109,将数码兽,將數碼獸
110,普通重生返还80%的材料。,普通重生返還80%的材料。
111,返还,返還
112,的材料，,的材料，
113,消耗：,消耗：
114,状态，是否继续？,狀態，是否繼續？
115,1.玩家可以通过重生系统，将数码兽还原至初始状态；,1.玩家可以通過重生系統，將數碼獸還原至初始狀態；
116,3.可重生的系统包括：数码兽阶数、技能、斗魂、装备(不包括指环和神圣计划)；,3.可重生的系統包括：數碼獸階數、技能、鬥魂、裝備(不包括指環和神聖計畫)；
117,5.还原过程中存在一定的资源损失，可以通过消耗钻石达到100%返还，钻石消耗数量与多余部分的资源返还量相关。,5.還原過程中存在一定的資源損失，可以通過消耗鑽石達到100%返還，鑽石消耗數量與多餘部分的資源返還量相關。
118,重生系统，让你不再因为养错数码兽而懊悔，你好，它也好。,重生系統，讓你不再因為養錯數碼獸而懊悔，你好，它也好。
119,2.每次重生需要消耗相应的重生石；,2.每次重生需要消耗相應的重生石；
120,4.还原后，返还相应资源，可以用这些资源培养心仪的数码兽；,4.還原後，返還相應資源，可以用這些資源培養心儀的數碼獸；
121,消耗:,消耗:
122,确认购买VX超值礼包么？,確認購買VX超值禮包麼？
123,V1特权,V1特權
124,现价：,現價：
125,原价：,原價：
126,V1(首充)超值礼包包含以下内容：,V1(首储)超值禮包包含以下內容：
127,额外赠送6480钻,額外贈送6480鑽
128,所有玩法中，战斗开始时初始怒气增加500点，没有了,所有玩法中，戰鬥開始時初始怒氣增加500點，沒有了
129,斗魂能够提升数码兽在不同玩法中的怒气回复速度与技能释放概率,鬥魂能夠提升數碼獸在不同玩法中的怒氣回復速度與技能釋放概率
130,所有玩法中，每次攻击恢复怒气110点,所有玩法中，每次攻擊恢復怒氣110點
131,钻石强化,鑽石強化
132,需要花费,需要花費
133,，不消耗材料,，不消耗材料
134,直接将勇气斗魂提升至LV.XX,直接將勇氣鬥魂提升至LV.XX
135,报错啦,報錯啦
136,重置关卡,重置關卡
137,购买体力,購買體力
138,确定花费钻石购买体力么？,確定花費鑽石購買體力麼？
139,(今日已用X/X),(今日已用X/X)
140,点体力需,點體力需
141,购买120,購買120
142,降星返还所有觉醒材料，确定使用吗？,降星返還所有覺醒材料，確定使用嗎？
143,准备将星需消耗,準備將星需消耗
144,重置天赋,重置天賦
145,重置后返还190点天赋及加点消耗金币50%,重置後返還190點天賦及加點消耗金幣50%
146,重置所有天赋，需消耗钻石：,重置所有天賦，需消耗鑽石：
147,确认花费,確認花費
148,开通训练栏位吗？,開通訓練欄位嗎？
149,当前场馆中的星座：名字名字名字名字,當前場館中的星座：名字名字名字名字
150,95级解锁,95級解鎖
151,需要获得数码兽名字名字名字,需要獲得數碼獸名字名字名字
152,星座外框,星座外框
153,星级加成：,星級加成：
154,安琪儿达到,安琪兒達到
155,，属性额外提升,，屬性額外提升
156,品质加成：,品質加成：
157,绿色,綠色
158,铜像加成：,銅像加成：
159,铜像总数达到,銅像總數達到
160,个，属性额外提升,個，屬性額外提升
161,青铜星座,青銅星座
162,1.解锁守护大厅后，可以解锁数码兽对应的星座；,1.解鎖守護大廳後，可以解鎖數碼獸對應的星座；
163,2.战队等级越高，能够购买越高品质的星座，同品质下，越贵的星座越强；,2.戰隊等級越高，能夠購買越高品質的星座，同品質下，越貴的星座越強；
164,3.星座能够为特定类型的数码兽提供属性加成，取决于该星座所在的守护大厅对何种类型数码兽存在加成；,3.星座能夠為特定類型的數碼獸提供屬性加成，取決於該星座所在的守護大廳對何種類型數碼獸存在加成；
165,4.星座的属性加成会随着数码兽品质提升、数码兽星级提升、星座的总数量得到加成；,4.星座的屬性加成會隨著數碼獸品質提升、數碼獸星級提升、星座的總數量得到加成；
166,5.部分星座需要获得相应数码兽后才能购买。,5.部分星座需要獲得相應數碼獸後才能購買。
167,守护的名称,守護的名稱
168,80级解锁,80級解鎖
169,道具名字哈哈哈,道具名字哈哈哈
170,拥有：999999999,擁有：999999999
171,点金手,點金手
172,通过点金获取金币，还有暴击成倍获取金币机会,通過點金獲取金幣，還有暴擊成倍獲取金幣機會
173,点击前往,點擊前往
174,公会公告公会公告公,公會公告公會公告公
175,副本血量,副本血量
176,本次PK-名字名字名字,本次PK-名字名字名字
177,点击可更换单个数码兽,點擊可更換單個數碼獸
178,公会副本将于周一至周六9.30-23：30期间开启,公會副本將於週一至週六9.30-23：30期間開啟
179,全属性加成:60%,全屬性加成:60%
180,最近忙着相亲巴拉相亲巴拉,最近忙著相親巴拉相親巴拉
181,最近忙着相亲相亲巴拉着相亲巴拉相亲巴拉,最近忙著相親相親巴拉著相親巴拉相親巴拉
182,文字描述文字描述文字描述文字描述文字描述文字描述文字描述文字描述文字描述,文字描述文字描述文字描述文字描述文字描述文字描述文字描述文字描述文字描述
183,公会名字六个,公會名字六個
184,暂无伤害数据,暫無傷害數據
185,系统自动分配,系統自動分配
186,2016年08月09日23:30获得,2016年08月09日23:30獲得
187,暂无分配记录,暫無分配記錄
188,公会名字六字,公會名字六字
189,琅琊榜,琅琊榜
190,暂无公会通关,暫無公會通關
191,会员,會員
192,第23名,第23名
193,战斗规则,戰鬥規則
194,1.公会副本开放时间：周一至周六9：30-23：00，周日休息；,1.公會副本開放時間：週一至週六9：30-23：00，周日休息；
195,2.周一、三、五凌晨5点系统自动重置副本，仅重置当前进度中难度最高的副本；,2.週一、三、五淩晨5點系統自動重置副本，僅重置當前進度中難度最高的副本；
196,3.每天有3次挑战次数，所有副本共用该次数，每天凌晨5点重置，挑战过程中有几率获得公会boss宝箱；,3.每天有3次挑戰次數，所有副本共用該次數，每天淩晨5點重置，挑戰過程中有幾率獲得公會boss寶箱；
197,4.通关当前副本后，将会开启下一副本，已通关的副本在月度重置前无法重复打；,4.通關當前副本後，將會開啟下一副本，已通關的副本在月度重置前無法重複打；
198,5.每打掉副本怪物一定血量，公会将获得公共奖励，每次结算时该奖励会被随机分配给公会内玩家；,5.每打掉副本怪物一定血量，公會將獲得公共獎勵，每次結算時該獎勵會被隨機分配給公會內玩家；
199,6.每个副本有首次通关奖励，每个玩家只能领取一次；,6.每個副本有首次通關獎勵，每個玩家只能領取一次；
200,7.单个副本随着通关公会个数和停留时长，公会内玩家将获得额外的攻、防、血量加成，该加成只对当前副本生效；,7.單個副本隨著通關公會個數和停留時長，公會內玩家將獲得額外的攻、防、血量加成，該加成隻對當前副本生效；
201,8.每月月初重置所有副本，重置后每通关一个副本，全公会可领取击杀奖励（非首次通关奖励）；,8.每月月初重置所有副本，重置後每通關一個副本，全公會可領取擊殺獎勵（非首次通關獎勵）；
202,9.击杀奖励（非首次通关奖励）每个玩家每个副本每次重置均只能领取1次；,9.擊殺獎勵（非首次通關獎勵）每個玩家每個副本每次重置均只能領取1次；
203,10.更换公会后，当天无法进行公会副本挑战，需要等到次日凌晨5点后才能进行,10.更換公會後，當天無法進行公會副本挑戰，需要等到次日淩晨5點後才能進行
204,伤害排名奖励,傷害排名獎勵
205,会长：,會長：
206,公会ID：,公會ID：
207,人数：,人數：
208,排名：,排名：
209,修改,修改
210,我还要改个名,我還要改個名
211,公会排名：,公會排名：
212,小明游乐园,小明遊樂園
213,还没有任何人申请哦，可以通过,還沒有任何人申請哦，可以通過
214,来邀请其他玩家~,來邀請其他玩家~
215,招募会员,招募會員
216,申请条件：,申請條件：
217,60级,60級
218,（自由加入）,（自由加入）
219,招募社员,招募社員
220,4月10日,4月10日
221,扭蛋次数增加,扭蛋次數增加
222,捐献次数：,捐獻次數：
223,所有建筑设施共用每日捐献次数,所有建築設施共用每日捐獻次數
224,致所有成员：,致所有成員：
225,会长：我名字刘儿子,會長：我名字劉兒子
226,2100000金币,2100000金幣
227,金乐洋,金樂洋
228,公会研究院红包升级需要下次红包刷新才生效哦~,公會研究院紅包升級需要下次紅包刷新才生效哦~
229,您抢到名字是六个字的红包，获得888888金币,您搶到名字是六個字的紅包，獲得888888金幣
230,汤加鱼,東加魚
231,名字是六个字的红包排行,名字是六個字的紅包排行
232,您是第一个来玩的哦，赶紧玩一把吧~,您是第一個來玩的哦，趕緊玩一把吧~
233,1.玩家可在公会红包里进行发红包和抢红包，红包有个数限定，可要抓紧咯,1.玩家可在公會紅包裡進行發紅包和搶紅包，紅包有個數限定，可要抓緊咯
234,2.公会红包每天19点自动刷新,2.公會紅包每天19點自動刷新
235,3.提升研究院红包科技的等级可提升公会红包的额度和个数,3.提升研究院紅包科技的等級可提升公會紅包的額度和個數
236,4.发红包和抢红包由玩家自己手动选择,4.發紅包和搶紅包由玩家自己手動選擇
237,5.发红包玩家可抢自己所发的红包哟,5.發紅包玩家可搶自己所發的紅包喲
238,6.红包内的额度为随机获得，多扶老奶奶过马路吧,6.紅包內的額度為隨機獲得，多扶老奶奶過馬路吧
239,7.提高vip等级可增加发红包和抢红包的次数,7.提高vip等級可增加發紅包和搶紅包的次數
240,8.玩家发出的红包保留24小时，到期自动消失，剩余额度不会退回,8.玩家發出的紅包保留24小時，到期自動消失，剩餘額度不會退回
241,高级金币红包10个,高級金幣紅包10個
242,发红包获得:,發紅包獲得:
243,红包总额:,紅包總額:
244,至尊金币红包10个,至尊金幣紅包10個
245,公会说明,公會說明
246,说明,說明
247,本次修改花费：,本次修改花費：
248,编辑公告,編輯公告
249,（公会公告最多50字）,（公會公告最多50字）
250,点击此处，开始输入（最多输入200汉字）,點擊此處，開始輸入（最多輸入200漢字）
251,恭喜您成功创建了[公会名]，赶紧去看看吧~,恭喜您成功創建了[公會名]，趕緊去看看吧~
252,满级的数码兽不能继续获得经验，记得经常来看看~,滿級的數碼獸不能繼續獲得經驗，記得經常來看看~
253,加速次数,加速次數
254,被动加速次数,被動加速次數
255,滨江詹姆斯斯,濱江詹姆斯斯
256,帮您加速啦,幫您加速啦
257,滨江詹姆斯,濱江詹姆斯
258,机械亚古兽+3,機械亞古獸+3
259,70级解锁,70級解鎖
260,玩法说明：,玩法說明：
261,升级说明：,升級說明：
262,公会实验室是升级科技的奇妙地方,公會實驗室是升級科技的奇妙地方
263,当前科技包括增加公会人数、增加公会精英人数,當前科技包括增加公會人數、增加公會精英人數
264,公会人数增加,公會人數增加
265,公会人数额外增加1人,公會人數額外增加1人
266,当前等级：,當前等級：
267,下一等级：,下一等級：
268,创建要求：需战队等级达到20,創建要求：需戰隊等級達到20
269,公会名称：,公會名稱：
270,点击此处输入,點擊此處輸入
271,公会徽章：,公會徽章：
272,创建费用：,創建費用：
273,请输入公会名称或ID：,請輸入公會名稱或ID：
274,59级,59級
275,自由加入,自由加入
276,申请中,申請中
277,我名字六个字,我名字六個字
278,酷车族志志,酷車族志志
279,成员,成員
280,最近登录：,最近登錄：
281,5小时前,5小時前
282,公会贡献：,公會貢獻：
283,汤加鱼加鱼,東加魚加魚
284,在线,線上
285,公会类型,公會類型
286,等级限制,等級限制
287,禁止任何人加入,禁止任何人加入
288,无限制,無限制
289,限制设置,限制設置
290,公会等级,公會等級
291,今日公会经验,今日公會經驗
292,逆流而上,逆流而上
293,额外获得,額外獲得
294,第一战,第一戰
295,第1/3波,第1/3波
296,是否花费钻石换取金币？,是否花費鑽石換取金幣？
297,（今日已用0/12）,（今日已用0/12）
298,VIP等级越高，暴击倍率越高,VIP等級越高，暴擊倍率越高
299,点金,點金
300,次，其中暴击,次，其中暴擊
301,次,次
302,共获得,共獲得
303,点击任意位置继续,點擊任意位置繼續
304,第一章 王者之路,第一章 王者之路
305,消耗体力：,消耗體力：
306,今日剩余次数：,今日剩餘次數：
307,可能掉落：,可能掉落：
308,nice达到5次以上,nice達到5次以上
309,普通奖励,普通獎勵
310,三星奖励,三星獎勵
311,现世传来吸血魔兽的消息，必须回到现世，保护自己的家园。,現世傳來吸血魔獸的消息，必須回到現世，保護自己的家園。
312,3-1  哥玛兽,3-1  哥瑪獸
313,开启条件：,開啟條件：
314,1、开启条件开启条件开启条件开启条件开启条件开启条件,1、開啟條件開啟條件開啟條件開啟條件開啟條件開啟條件
315,2、开启条件开启条件开启条件开启条件开启条件开启条件,2、開啟條件開啟條件開啟條件開啟條件開啟條件開啟條件
316,04月27日00时-04月27日00时,04月27日00時-04月27日00時
317,0天10:33:54,0天10:33:54
318,文字描述文字描述文字描述,文字描述文字描述文字描述
319,每充值6元可获得1个锤子（每天最多可获得10个），每砸一次金蛋消耗锤子*1+金币*XXX,每储值6元可獲得1個錘子（每天最多可獲得10個），每砸一次金蛋消耗錘子*1+金幣*XXX
320,1.活动期间，每累计充值6元，可获得一个砸金蛋的锤子。每天最多能获得10个锤子。,1.活動期間，每累計储值6元，可獲得一個砸金蛋的錘子。每天最多能獲得10個錘子。
321,2.砸金蛋的正确步骤为：拥有锤子的情况下，点击您喜欢的金蛋，即可获取奖励。,2.擁有錘子的情況下，點擊您喜歡的金蛋，即可獲取獎勵。
322,3.每砸一次金蛋，消耗1个锤子和XXXX货币（数量和货币读取配置）。每次砸蛋有几率获取3倍、6倍、10倍的翻倍奖励。,3.每砸一次金蛋，消耗1個錘子和XXXX貨幣（數量和貨幣讀取配置）。每次砸蛋有幾率獲取3倍、6倍、10倍的翻倍獎勵。
323,4.当砸中10倍大奖时，会立即重置为3个金蛋，若未砸中，可继续砸剩余的金蛋直至砸中。,4.當砸中10倍大獎時，會立即重置為3個金蛋，若未砸中，可繼續砸剩餘的金蛋直至砸中。
324,5.如果运气好，第一次就能砸出10倍大奖；如果运气欠佳，3次砸完也必定会出10倍奖励。,5.如果運氣好，第一次就能砸出10倍大獎；如果運氣欠佳，3次砸完也必定會出10倍獎勵。
325,等级礼包,等級禮包
326,王者之路,王者之路
327,我是精英,我是精英
328,第一天,第一天
329,剩余次数：3、3,剩餘次數：3、3
330,2天11:56:26,2天11:56:26
331,第  名,第  名
332,K*五星+碎片*100,K*五星+碎片*100
333,第       名,第       名
334,第         名,第         名
335,第          名,第          名
336,第           名,第           名
337,东方红一号,東方紅一號
338,凌晨5点免费次数重置,淩晨5點免費次數重置
339,必得觉醒石和万能碎片宝箱,必得覺醒石和萬能碎片寶箱
340,未上榜,未上榜
341,积分宝箱,積分寶箱
342,1.在限时宝箱里每抽取一次宝箱，可获得10积分，积分高低决定排行榜排名先后，积分相同时，先达到该积分的玩家排名靠前,1.在限時寶箱裡每抽取一次寶箱，可獲得10積分，積分高低決定排行榜排名先後，積分相同時，先達到該積分的玩家排名靠前
343,2.在本活动中，每抽取十次装备宝箱必得觉醒合金和万能碎片宝箱(不产出觉醒碎片),2.在本活動中，每抽取十次裝備寶箱必得覺醒合金和萬能碎片寶箱(不產出覺醒碎片)
344,3.活动结束时间为最后一天的21:30，活动结束后，无法再进行抽奖，前30名奖励将通过邮件发放,3.活動結束時間為最後一天的21:30，活動結束後，無法再進行抽獎，前30名獎勵將通過郵件發放
345,4.第1名的排行奖励需要达到7000积分,4.第1名的排行獎勵需要達到7000積分
346,5.2-3名的排名奖励需要达到5000积分,5.2-3名的排名獎勵需要達到5000積分
347,6.4-6名的排名奖励需要达到3500积分,6.4-6名的排名獎勵需要達到3500積分
348,7.7-10名的排名奖励需要达到2000积分,7.7-10名的排名獎勵需要達到2000積分
349,8.11-20名的排名奖励需要达到1000积分,8.11-20名的排名獎勵需要達到1000積分
350,9.若未达到活动对应积分需求，只能领取自身积分对应奖励,9.若未達到活動對應積分需求，只能領取自身積分對應獎勵
351,奖励说明,獎勵說明
352,早餐体力,早餐體力
353,参加活动得好礼,參加活動得好禮
354,道具对话_每日活动,道具對話_每日活動
355,累积充值,累積储值
356,金币*10000,金幣*10000
357,兑换,兌換
358,罗伯特时装（7天）,羅伯特時裝（7天）
359,初级装备箱,初級裝備箱
360,仅限4000人购买（剩余1114件）,僅限4000人購買（剩餘1114件）
361,V7特权超值礼包,V7特權超值禮包
362,以上玩家可购买，当前v特权等级：,以上玩家可購買，當前v特權等級：
363,购买提示,購買提示
364,是否花费,是否花費
365,购买V0钻石礼包,購買V0鑽石禮包
366,特权及以上玩家可购买,特權及以上玩家可購買
367,花费：,花費：
368,04月28日05时-05月01日05时,04月28日05時-05月01日05時
369,1天12:26:09,1天12:26:09
370,特级经验徽章,特級經驗徽章
371,可购买次数：2,可購買次數：2
372,单笔充值60钻石,單筆储值60鑽石
373,1、登录两天可以领取哥玛兽，登录三天可领巴鲁兽1、登录两天可以领取哥玛兽，登录三天可领巴鲁兽,1、登錄兩天可以領取哥瑪獸，登錄三天可領巴魯獸1、登錄兩天可以領取哥瑪獸，登錄三天可領巴魯獸
374,1天12:1:12,1天12:1:12
375,2、登录两天可以领取哥玛兽，登录三天可领巴鲁兽1、登录两天可以领取哥玛兽，登录三天可领巴鲁兽,2、登錄兩天可以領取哥瑪獸，登錄三天可領巴魯獸1、登錄兩天可以領取哥瑪獸，登錄三天可領巴魯獸
376,充值5天，就可以领取最终大奖,储值5天，就可以領取最終大獎
377,活动倒计时：,活動倒計時：
378,即可领取,即可領取
379,大量,大量
380,返还等您拿， 充值后,返還等您拿， 储值後
381,已领取,已領取
382,剩余5天,剩餘5天
383,元即可激活,鑽即可激活
384,再充值,再储值
385,福利激活后可在日常任务中领取钻石>>,福利啟動後可在日常任務中領取鑽石>>
386,"（需要开启\""日常任务\""后领取，充值附赠，无需单独购买）","（需要開啟\""日常任務\""後領取，储值附贈，無需單獨購買）"
387,超强控制，爆炸输出,超強控制，爆炸輸出
388,可激活,可啟動
389,亚古兽、哥玛兽,亞古獸、哥瑪獸
390,的缘分,的緣分
391,输出强力，长相呆萌，你值得拥有,輸出強力，長相呆萌，你值得擁有
392,必杀：尖尖碰碰拳，用尖刺制裁你,必殺：尖尖碰碰拳，用尖刺制裁你
393,快速恢复,快速恢復
394,怒气、全屏,怒氣、全屏
395,攻击,攻擊
396,萌萌兽、拉拉兽,萌萌獸、拉拉獸
397,觉醒后和亚古兽组成双重火焰，燃烧吧～,覺醒後和亞古獸組成雙重火焰，燃燒吧～
398,任意充值即可获得，全屏秒杀脆皮敌人,任意储值即可獲得，全屏秒殺脆皮敵人
399,solo之王，最强单挑数码兽,solo之王，最強單挑數碼獸
400,亚古兽、妖狐兽,亞古獸、妖狐獸
401,最强的进攻就是最好的防守，火神兽-最强之矛！,最強的進攻就是最好的防守，火神獸-最強之矛！
402,V12玩家可购买礼包获得，火神兽不会令你失望。,V12玩家可購買禮包獲得，火神獸不會令你失望。
403,返还等你拿，购买后,返還等你拿，購買後
404,2天11:57:26,2天11:57:26
405,每个人都有5次机会，             有更多机会哦~,每個人都有5次機會，             有更多機會哦~
406,哈哈哈哈,哈哈哈哈
407,获得,獲得
408,活动时间：,活動時間：
409,4月22日5时-4月25日5时,4月22日5時-4月25日5時
410,本次最高可获得：,本次最高可獲得：
411,1天08:14:00,1天08:14:00
412,玩家等级达5,玩家等級達5
413,当前进度：,當前進度：
414,当前可领：,當前可領：
415,下档可领：,下檔可領：
416,已达到进度：,已達到進度：
417,需进度达到：,需進度達到：
418,全目标最终大奖,全目標最終大獎
419,5天13小时00分钟后可领取,5天13小時00分鐘後可領取
420,已签到,已簽到
421,天,天
422,登录两天可以领取哥玛兽，登录三天可领巴鲁兽,登錄兩天可以領取哥瑪獸，登錄三天可領巴魯獸
423,1天8:14:00,1天8:14:00
424,我的战力：2305,我的戰力：2305
425,战力需达到90000发放排名奖励,戰力需達到90000發放排名獎勵
426,活动奖励,活動獎勵
427,战力奖励,戰力獎勵
428,活动排名,活動排名
429,天使兽介绍,天使獸介紹
430,活动规则,活動規則
431,第九名,第九名
432,达到指定战力就有额外好礼哦（24日晚21:30按照最高战力结算发放）,達到指定戰力就有額外好禮哦（24日晚21:30按照最高戰力結算發放）
433,24日晚21:30战斗力排行榜前10玩家有丰厚奖励哦！,24日晚21:30戰鬥力排行榜前10玩家有豐厚獎勵哦！
434,天下第一,天下第一
435,天使数码兽,天使數碼獸
436,数码兽介绍,數碼獸介紹
437,活动开启时间为21日5点-25日5点，奖励发放依据为活动开启后第5日21：30战力排行榜排名（通过邮件发放）！,活動開啟時間為21日5點-25日5點，獎勵發放依據為活動開啟後第5日21：30戰力排行榜排名（通過郵件發放）！
438,24日晚21：30根据战力，可以获得战力达标奖励（达标奖励按照最高战力发放，不累计）,24日晚21：30根據戰力，可以獲得戰力達標獎勵（達標獎勵按照最高戰力發放，不累計）
439,战力相同，按照排名时间先后排序,戰力相同，按照排名時間先後排序
440,1-10名排名奖励需要达到90000战力值,1-10名排名獎勵需要達到90000戰力值
441,礼包内容,禮包內容
442,1.限时BOSS活动为限时活动，活动期间每天有3次挑战BOSS的机会，次数用完后，可花费钻石购买次数，挑战次数每天凌晨5点重置；,1.限時BOSS活動為限時活動，活動期間每天有3次挑戰BOSS的機會，次數用完後，可花費鑽石購買次數，挑戰次數每天淩晨5點重置；
443,2.排行榜会记录玩家的单次最高伤害，而非总伤害；,2.排行榜會記錄玩家的單次最高傷害，而非總傷害；
444,3.每次挑战会获得一定的金币和道具奖励；,3.每次挑戰會獲得一定的金幣和道具獎勵；
445,4.活动开放期间，每天凌晨5点会重置排行榜，并根据伤害排行发放排行奖励；,4.活動開放期間，每天淩晨5點會重置排行榜，並根據傷害排行發放排行獎勵；
446,5.限时BOSS有各种各样的属性特点，挑战前还请仔细阅读BOSS介绍。,5.限時BOSS有各種各樣的屬性特點，挑戰前還請仔細閱讀BOSS介紹。
447,小明,小明
448,登陆：,登陸：
449,3小时之前,3小時之前
450,数码宝贝,數碼寶貝
451,个性签名: ,個性簽名:
452,3小时前,3小時前
