VariableName,huodongID,level,needExp,normalAward,eliteAward,specialAward,texiao
3001006,3001,6,12,{coin4=500},{520=1;coin4=2000},,
3001007,3001,7,14,{532=20},{533=10},,
3001008,3001,8,16,{940=5},{941=5;942=5},,
3001009,3001,9,18,{gold=1000001},{rmb=201},,
3001010,3001,10,20,{coin4=31},{520=3},1,<1;2;3>
3001011,3001,11,22,{14=51},{16=31;15=20},,
3001012,3001,12,24,{19=3},{4000=200;16=20},,
3001013,3001,13,26,{gold=1000000},{gold=3000000},,
3001014,3001,14,28,{coin4=501},{520=2;coin4=2000},,
3001015,3001,15,30,{532=21},{533=11},,
3001016,3001,16,32,{940=6},{941=5;942=6},,
3001017,3001,17,34,{gold=1000002},{rmb=202},,
3001018,3001,18,36,{coin4=32},{520=4},,
3001019,3001,19,38,{14=52},{16=32;15=20},,
3001020,3001,20,40,{19=4},{4000=300;19=10},1,<1;2;3>
3001021,3001,21,42,{gold=1000000},{gold=3000000},,
3001022,3001,22,44,{coin4=502},{520=3;coin4=2000},,
3001023,3001,23,46,{532=22},{533=12},,
3001024,3001,24,48,{940=7},{941=5;942=7},,
3001025,3001,25,50,{gold=1000003},{rmb=203},,
3001026,3001,26,52,{coin4=33},{520=5},,
3001027,3001,27,54,{14=53},{16=33;15=20},,
3001028,3001,28,56,{19=5},{4000=400;19=10},,
3001029,3001,29,58,{gold=1000000},{gold=3000000},,
3001030,3001,30,60,{coin4=503},{520=4;coin4=2000},1,<1;2;3>
3001031,3001,31,62,{532=23},{533=13},,
3001032,3001,32,64,{940=8},{941=5;942=8},,
3001033,3001,33,66,{gold=1000004},{rmb=204},,
3001034,3001,34,68,{coin4=34},{520=6},,
3001035,3001,35,70,{14=54},{16=34;15=20},,
3001036,3001,36,72,{19=6},{4000=500;19=10},,
3001037,3001,37,74,{gold=1000000},{gold=3000000},,
3001038,3001,38,76,{coin4=504},{520=5;coin4=2000},,
3001039,3001,39,78,{532=24},{533=14},,
3001040,3001,40,80,{940=9},{941=5;942=9},1,<1;2;3>
4001001,4001,1,2,{gold=1000000},{rmb=200},,
4001002,4001,2,4,{coin4=30},{520=2},,
4001003,4001,3,6,{14=50},{16=30;15=20},,
4001004,4001,4,8,{19=2},{4000=100;19=10},,
4001005,4001,5,10,{gold=1000000},{gold=3000000},,
4001006,4001,6,12,{coin4=500},{520=1;coin4=2000},,
4001007,4001,7,14,{532=20},{533=10},,
4001008,4001,8,16,{940=5},{941=5;942=5},,
4001009,4001,9,18,{gold=1000001},{rmb=201},,
4001010,4001,10,20,{coin4=31},{520=3},1,<1;2;3>
4001011,4001,11,22,{14=51},{16=31;15=20},,
4001012,4001,12,24,{19=3},{4000=200;19=10},,
4001013,4001,13,26,{gold=1000000},{gold=3000000},,
4001014,4001,14,28,{coin4=501},{520=2;coin4=2000},,
4001015,4001,15,30,{532=21},{533=11},,
4001016,4001,16,32,{940=6},{941=5;942=6},,
4001017,4001,17,34,{gold=1000002},{rmb=202},,
4001018,4001,18,36,{coin4=32},{520=4},,
4001019,4001,19,38,{14=52},{16=32;15=20},,
4001020,4001,20,40,{19=4},{4000=300;19=10},1,<1;2;3>
4001021,4001,21,42,{gold=1000000},{gold=3000000},,
4001022,4001,22,44,{coin4=502},{520=3;coin4=2000},,
4001023,4001,23,46,{532=22},{533=12},,
4001024,4001,24,48,{940=7},{941=5;942=7},,
4001025,4001,25,50,{gold=1000003},{rmb=203},,
4001026,4001,26,52,{coin4=33},{520=5},,
4001027,4001,27,54,{14=53},{16=33;15=20},,
4001028,4001,28,56,{19=5},{4000=400;19=10},,
4001029,4001,29,58,{gold=1000000},{gold=3000000},,
4001030,4001,30,60,{coin4=503},{520=4;coin4=2000},1,<1;2;3>
4001031,4001,31,62,{532=23},{533=13},,
4001032,4001,32,64,{940=8},{941=5;942=8},,
4001033,4001,33,66,{gold=1000004},{rmb=204},,
4001034,4001,34,68,{coin4=34},{520=6},,
4001035,4001,35,70,{14=54},{16=34;15=20},,
4001036,4001,36,72,{19=6},{4000=500;19=10},,
4001037,4001,37,74,{gold=1000000},{gold=3000000},,
4001038,4001,38,76,{coin4=504},{520=5;coin4=2000},,
4001039,4001,39,78,{532=24},{533=14},,
4001040,4001,40,80,{940=9},{941=5;942=9},1,<1;2;3>
4010001,4010,1,1,{151=30},{151=70;gold=200000},,
4010002,4010,2,1,{151=30},{151=70;gold=200000},,
4010003,4010,3,1,{151=30},{151=70;gold=200000},,
4010004,4010,4,1,{151=30},{151=70;gold=200000},,
4010005,4010,5,1,{151=50},{151=200;gold=500000},,<1;2;3>
4010006,4010,6,2,{151=30},{151=70;gold=200000},,
4010007,4010,7,2,{151=30},{151=70;gold=200000},,
4010008,4010,8,2,{151=30},{151=70;gold=200000},,
4010009,4010,9,2,{151=30},{151=70;gold=200000},,
4010010,4010,10,2,{152=30},{rmb=150;152=90},1,<1;2;3>
4010011,4010,11,2,{151=30},{151=70;gold=200000},,
4010012,4010,12,2,{151=30},{151=70;gold=200000},,
4010013,4010,13,2,{151=30},{151=70;gold=200000},,
4010014,4010,14,2,{151=30},{151=70;gold=200000},,
4010015,4010,15,2,{151=50},{151=200;gold=500000},,<1;2;3>
4010016,4010,16,2,{151=30},{151=70;gold=200000},,
4010017,4010,17,2,{151=30},{151=70;gold=200000},,
4010018,4010,18,2,{151=30},{151=70;gold=200000},,
4010019,4010,19,2,{151=30},{151=70;gold=200000},,
4010020,4010,20,2,{152=30},{rmb=150;152=90},1,<1;2;3>
4010021,4010,21,2,{151=30},{151=70;gold=200000},,
4010022,4010,22,2,{151=30},{151=70;gold=200000},,
4010023,4010,23,2,{151=30},{151=70;gold=200000},,
4010024,4010,24,2,{151=30},{151=70;gold=200000},,
4010025,4010,25,2,{151=50},{151=200;gold=500000},,<1;2;3>
4010026,4010,26,2,{151=30},{151=70;gold=200000},,
4010027,4010,27,2,{151=30},{151=70;gold=200000},,
4010028,4010,28,2,{151=30},{151=70;gold=200000},,
4010029,4010,29,2,{151=30},{151=70;gold=200000},,
4010030,4010,30,2,{152=30},{rmb=150;152=90},1,<1;2;3>
4010031,4010,31,2,{151=30},{151=70;gold=200000},,
4010032,4010,32,2,{151=30},{151=70;gold=200000},,
4010033,4010,33,2,{151=30},{151=70;gold=200000},,
4010034,4010,34,2,{151=30},{151=70;gold=200000},,
4010035,4010,35,2,{151=50},{151=200;gold=500000},,<1;2;3>
4010036,4010,36,2,{151=30},{151=70;gold=200000},,
4010037,4010,37,2,{151=30},{151=70;gold=200000},,
4010038,4010,38,2,{151=30},{151=70;gold=200000},,
4010039,4010,39,2,{151=30},{151=70;gold=200000},,
4010040,4010,40,2,{152=30},{rmb=150;152=90},1,<1;2;3>
4010041,4010,41,2,{151=30},{151=70;gold=200000},,
4010042,4010,42,2,{151=30},{151=70;gold=200000},,
4010043,4010,43,2,{151=30},{151=70;gold=200000},,
4010044,4010,44,2,{151=30},{151=70;gold=200000},,
4010045,4010,45,3,{151=50},{151=200;gold=500000},,<1;2;3>
4010046,4010,46,3,{151=30},{151=70;gold=200000},,
4010047,4010,47,3,{151=30},{151=70;gold=200000},,
4010048,4010,48,3,{151=30},{151=70;gold=200000},,
4010049,4010,49,3,{151=30},{151=70;gold=200000},,
4010050,4010,50,3,{152=30},{rmb=150;152=90},1,<1;2;3>
,,,,,,,
6000001,6002,1,5,{8888=1},{rmb=8888;103=1},,<1;2;3>
6000002,6002,2,5,{talent_point=5},{103=1;talent_point=10},,
6000003,6002,3,5,{15=10},{103=1;500=1},,
6000004,6002,4,5,{930=50},{103=1;930=300},,
6000005,6002,5,5,{452=30},{103=1;452=100},,
6000006,6002,6,5,{520=2},{103=1;520=5},,
6000007,6002,7,5,{2103=30},{2103=100;103=1},,
6000008,6002,8,5,{gold=500000},{103=1;gold=5000000},,
6000009,6002,9,5,{851=30},{103=1;851=150},,
6000010,6002,10,5,{520=3},{103=1;520=10},1,<1;2;3>
6000011,6002,11,5,{rmb=188},{103=1;rmb=1888},,
6000012,6002,12,5,{talent_point=5},{103=1;talent_point=10},,
6000013,6002,13,5,{15=10},{103=1;500=1},,
6000014,6002,14,5,{930=50},{103=1;930=300},,
6000015,6002,15,5,{452=30},{103=1;452=100},,
6000016,6002,16,5,{520=2},{103=1;520=5},,
6000017,6002,17,5,{2103=30},{2103=100;103=1},,
6000018,6002,18,5,{gold=500000},{103=1;gold=5000000},,
6000019,6002,19,5,{851=30},{103=1;851=150},,
6000020,6002,20,5,{520=3},{103=1;520=10},1,<1;2;3>
6000021,6002,21,5,{rmb=188},{103=1;rmb=1888},,
6000022,6002,22,5,{talent_point=5},{103=1;talent_point=10},,
6000023,6002,23,5,{15=10},{103=1;500=1},,
6000024,6002,24,5,{930=50},{103=1;930=300},,
6000025,6002,25,5,{452=30},{103=1;452=100},,
6000026,6002,26,5,{520=2},{103=1;520=5},,
6000027,6002,27,5,{2103=30},{2103=100;103=1},,
6000028,6002,28,5,{gold=500000},{103=1;gold=5000000},,
6000029,6002,29,5,{851=30},{103=1;851=150},,
6000030,6002,30,5,{520=3},{103=1;520=10},1,<1;2;3>
,,,,,,,
7000001,7001,1,4,{16=5},{8888=1;87=5},,<1;2;3>
7000002,7001,2,1,{19=5},{talent_point=20;87=5},,
7000003,7001,3,1,{talent_point=5},{500=10;87=5},,
7000004,7001,4,1,{15=10},{930=500;87=5},,
7000005,7001,5,1,{930=50},{87=5;521=50},,
7000006,7001,6,1,{452=30},{rmb=8888;87=5},,<1;2;3>
7000007,7001,7,1,{520=2},{520=50;87=5},,
7000008,7001,8,1,{2103=30},{2103=50;87=5},,
7000009,7001,9,1,{gold=500000},{gold=5000000;87=5},,
7000010,7001,10,1,{851=30},{87=5;521=50},,<1;2;3>
