VariableName,_beizhu,huodongID,periodType,weekParam,taskAttribute,taskType,taskParam,taskSpecialParam,title,title_th,title_en,title_vn,title_kr,desc,desc_th,desc_en,desc_vn,desc_kr,exp,goToPanel
1003,,1002,,,4,39,1,,Accessory Breakthrough Once,เจาะผ่านอุปกรณ์ครั้งเดียว,Accessory Breakthrough Once,Đột phá phụ kiện 1 lần,,,ทำภารกิจให้สำเร็จเพื่อรับค่าประสบการณ์ (EXP),,,,15,
1004,,1002,,,,41,5,,Participate in the arena 5 times,เข้าร่วมสนามประลอง 5 ครั้ง,Participate in the arena 5 times,Tham đấu trường 5 lần,,,,,,,15,
1005,,1002,,,,66,2,,Participate in Illusion Challenge 2 times,เข้าร่วมท้าทายภาพลวงตา 2 ครั้ง,Participate in Illusion Challenge 2 times,Tham gia Khiêu chiến ảo ảnh 2 lần,,,,,,,15,
1006,,1002,,,,20,1000000,,"Spend 1,000,000 Xu coins","ใช้ 1,000,000 เหรียญ Xu","Spend 1,000,000 Xu coins",Tiêu 1000000 Xu đồng,,,,,,,15,
1007,,1002,,,,21,300,,Spend 300 Primogems,ใช้ 300 เพชร,Spend 300 Primogems,Tiêu 300 Nguyên bảo,,,,,,,15,
1101,,1002,2,,4,17,2,,Logged in for a total of 2 days,ล็อกอินครบทั้งหมด 2 วัน,Logged in for a total of 2 days,Đăng nhập tổng cộng 2 ngày,,,,,,,50,
1102,,1002,2,,4,36,30,,Upgrade Ninja 30 times,อัปเกรดนินจา 30 ครั้ง,Upgrade Ninja 30 times,Nâng cấp Ninja 30 lần,,,,,,,50,strengthen-1
1103,,1002,2,,4,21,1000,,Spend 1000 Primogems,ใช้ 1000 เพชร,Spend 1000 Primogems,Tiêu 1000 Nguyên bảo,,,,,,,50,
1104,,1002,2,,,43,25,,Arena points: 25 points,คะแนนสนามประลอง: 25 คะแนน,Arena points: 25 points,Điểm đấu trường: 25 điểm,,,,,,,50,
1105,,1002,2,,,63,25000,,Accumulate 25000 Anbu Special Training points,สะสมคะแนนฝึกพิเศษ Anbu 25000 คะแนน,Accumulate 25000 Anbu Special Training points,Tích lũy 25000 điểm Đặc huấn Anbu,,,,,,,50,
1106,,1002,2,,,55,10,,Donate 10 times,บริจาค 10 ครั้ง,Donate 10 times,Quyên góp 10 lần,,,,,,,50,
1107,,1002,2,,,50,10,,Draw 10 times in Primogem Banner,หมุน 10 ครั้งในกาชา Primogem,Draw 10 times in Primogem Banner,Rút 10 lần trong Rút thẻ Nguyên bảo,,,,,,,50,
1108,,1002,2,,4,29,150,,Fight in the normal stage 150 times,ต่อสู้ในด่านปกติ 150 ครั้ง,Fight in the normal stage 150 times,Chiến đấu ở ải bình thường 150 lần,,,,,,,50,10000
1109,,1002,2,,,30,30,,Challenge the hard stage 30 times,ท้าทายด่านยาก 30 ครั้ง,Challenge the hard stage 30 times,Thử thách ải khó 30 lần,,,,,,,50,20000
1110,,1002,2,,,85,15,,Complete the dispatch mission 15 times,ทำภารกิจส่งสายงานให้สำเร็จ 15 ครั้ง,Complete the dispatch mission 15 times,Hoàn thành nhiệm điều phái 15 lần,,,,,,,50,
1111,,1002,2,,,21,3000,,Spend 3000 Primogems,ใช้ 3000 หินอัญมณี,Spend 3000 Primogems,Tiêu 3000 Nguyên bảo,,,,,,,50,
1112,,1002,2,,4,67,7,,Clear Anbu Training Level 7,ผ่านการฝึกอบรมอันบู ชั้นที่ 7,Clear Anbu Training Level 7,Vượt Huấn luyện Anbu tầng 7,,,,,,,50,
1113,,1002,2,,,86,3,{3=4},Complete the S-rank dispatch mission 3 times,ทำภารกิจส่งกำลังระดับ S ให้ครบ 3 ครั้ง,Complete the S-rank dispatch mission 3 times,Hoàn thành nhiệm vụ điều phái bậc S 3 lần,,,,,,,50,
1201,,1002,2,2,4,17,3,,Logged in for a total of 3 days,เข้าสู่ระบบทั้งหมด 3 วัน,Logged in for a total of 3 days,Đăng nhập tổng cộng 3 ngày,,,,,,,50,
1202,,1002,2,2,,36,50,,Upgrade Ninja 50 times.,อัปเกรดนินจา 50 ครั้ง.,Upgrade Ninja 50 times.,Nâng cấp Ninja 50 lần.,,,,,,,50,strengthen-1
1203,,1002,2,2,,21,1000,,Spend 1000 Primogems,ใช้ 1000 เพชร,Spend 1000 Primogems,Tiêu 1000 Nguyên bảo,,,,,,,50,
1204,,1002,2,2,,43,50,,Arena Points: 50 points,คะแนนสนามประลอง: 50 คะแนน,Arena Points: 50 points,Điểm đấu trường: 50 điểm,,,,,,,50,
1205,,1002,2,2,,63,50000,,Accumulate 50000 Anbu Special Training points,สะสมคะแนนฝึกพิเศษ Anbu 50000 คะแนน,Accumulate 50000 Anbu Special Training points,Tích lũy 50000 điểm Đặc huấn Anbu,,,,,,,50,
1206,,1002,2,2,4,55,20,,Donate 20 times,บริจาค 20 ครั้ง,Donate 20 times,Quyên góp 20 lần,,,,,,,50,
1207,,1002,2,2,,50,20,,Draw 20 times in the Gacha Spirit Stone Draw,หมุน 20 ครั้งในการสุ่มบัตรหินวิญญาณ,Draw 20 times in the Gacha Spirit Stone Draw,Rút 20 lần trong Rút thẻ Nguyên bảo,,,,,,,50,
1208,,1002,2,2,4,29,300,,Fight in the normal stage 300 times,ต่อสู้ในด่านปกติ 300 ครั้ง,Fight in the normal stage 300 times,Chiến đấu ở ải bình thường 300 lần,,,,,,,50,10000
1209,,1002,2,2,,30,60,,Challenge 60 Hard Levels,ท้าทาย 60 ด่านยาก,Challenge 60 Hard Levels,Thử thách ải khó 60 lần,,,,,,,50,20000
1210,,1002,2,2,4,85,30,,Complete the dispatch mission 30 times,ทำภารกิจส่งกำลัง 30 ครั้งสำเร็จ,Complete the dispatch mission 30 times,Hoàn thành nhiệm vụ điều phái 30 lần,,,,,,,50,
1211,,1002,2,2,,21,3000,,Spend 3000 Primogems,ใช้ 3000 หินอัญมณี,Spend 3000 Primogems,Tiêu 3000 Nguyên bảo,,,,,,,50,
1212,,1002,2,2,,67,7,,Clear Anbu Training Level 7,ผ่านการฝึกอบรมอันบู ชั้นที่ 7,Clear Anbu Training Level 7,Vượt Huấn luyện Anbu tầng 7,,,,,,,50,
1213,,1002,2,2,,86,6,{6=4},Complete S-rank dispatch mission 6 times,ทำภารกิจส่งกำลังระดับ S ให้สำเร็จ 6 ครั้ง,Complete S-rank dispatch mission 6 times,Hoàn thành nhiệm vụ điều phái bậc S 6 lần,,,,,,,50,
1301,,1002,2,3,4,17,3,,Logged in for a total of 3 days,เข้าสู่ระบบทั้งหมด 3 วัน,Logged in for a total of 3 days,Đăng nhập tổng cộng 3 ngày,,,,,,,50,
1302,,1002,2,3,,36,50,,Upgrade Ninja 50 times.,อัปเกรดนินจา 50 ครั้ง.,Upgrade Ninja 50 times.,Nâng cấp Ninja 50 lần.,,,,,,,50,strengthen-1
1303,,1002,2,3,,21,1000,,Spend 1000 Primogems,ใช้ 1000 เพชร,Spend 1000 Primogems,Tiêu 1000 Nguyên bảo,,,,,,,100,
1304,,1002,2,3,,43,50,,Arena Points: 50 points,คะแนนสนามประลอง: 50 คะแนน,Arena Points: 50 points,Điểm đấu trường: 50 điểm,,,,,,,50,
1305,,1002,2,3,4,63,50000,,Accumulate 50000 Anbu Special Training points,สะสมคะแนนฝึกพิเศษ Anbu 50000 คะแนน,Accumulate 50000 Anbu Special Training points,Tích lũy 50000 điểm Đặc huấn Anbu,,,,,,,50,
1306,,1002,2,3,,55,20,,Donate 20 times,บริจาค 20 ครั้ง,Donate 20 times,Quyên góp 20 lần,,,,,,,50,
1307,,1002,2,3,4,50,20,,Draw 20 times in the Gacha Spirit Stone Draw,หมุน 20 ครั้งในการสุ่มบัตรหินวิญญาณ,Draw 20 times in the Gacha Spirit Stone Draw,Rút 20 lần trong Rút thẻ Nguyên bảo,,,,,,,100,
1308,,1002,2,3,,29,300,,Fight in the normal stage 300 times,ต่อสู้ในด่านปกติ 300 ครั้ง,Fight in the normal stage 300 times,Chiến đấu ở ải bình thường 300 lần,,,,,,,100,10000
1309,,1002,2,3,4,30,60,,Challenge 60 Hard Levels,ท้าทาย 60 ด่านยาก,Challenge 60 Hard Levels,Thử thách ải khó 60 lần,,,,,,,100,20000
1310,,1002,2,3,4,85,30,,Complete the dispatch mission 30 times,ทำภารกิจส่งกำลัง 30 ครั้งสำเร็จ,Complete the dispatch mission 30 times,Hoàn thành nhiệm vụ điều phái 30 lần,,,,,,,50,
1311,,1002,2,3,,21,3000,,Spend 3000 Primogems,ใช้ 3000 หินอัญมณี,Spend 3000 Primogems,Tiêu 3000 Nguyên bảo,,,,,,,100,
1312,,1002,2,3,4,67,7,,Clear Floor 7 Anbu Training,ผ่านชั้นที่ 7 การฝึกอบรมอันบู,Clear Floor 7 Anbu Training,Vượt tầng 7 Huấn luyện Anbu,,,,,,,100,
1313,,1002,2,3,,86,6,{6=4},Complete S-rank dispatch mission 6 times,ทำภารกิจส่งกำลังระดับ S ให้สำเร็จ 6 ครั้ง,Complete S-rank dispatch mission 6 times,Hoàn thành nhiệm vụ điều phái bậc S 6 lần,,,,,,,100,
1401,,1002,2,4,,17,3,,Logged in for a total of 3 days,เข้าสู่ระบบทั้งหมด 3 วัน,Logged in for a total of 3 days,Đăng nhập tổng cộng 3 ngày,,,,,,,50,
1402,,1002,2,4,,36,50,,Upgrade Ninja 50 times.,อัปเกรดนินจา 50 ครั้ง.,Upgrade Ninja 50 times.,Nâng cấp Ninja 50 lần.,,,,,,,50,strengthen-1
1403,,1002,2,4,4,21,1000,,Spend 1000 Primogems,ใช้ 1000 เพชร,Spend 1000 Primogems,Tiêu 1000 Nguyên bảo,,,,,,,100,
1404,,1002,2,4,4,43,50,,Arena Points: 50 points,คะแนนสนามประลอง: 50 คะแนน,Arena Points: 50 points,Điểm đấu trường: 50 điểm,,,,,,,50,
1405,,1002,2,4,,63,50000,,Accumulate 50000 Anbu Special Training points,สะสมคะแนนฝึกพิเศษ Anbu 50000 คะแนน,Accumulate 50000 Anbu Special Training points,Tích lũy 50000 điểm Đặc huấn Anbu,,,,,,,50,
1406,,1002,2,4,4,55,20,,Donate 20 times,บริจาค 20 ครั้ง,Donate 20 times,Quyên góp 20 lần,,,,,,,50,
1407,,1002,2,4,,50,20,,Draw 20 times in the Gacha Spirit Stone Draw,หมุน 20 ครั้งในการสุ่มบัตรหินวิญญาณ,Draw 20 times in the Gacha Spirit Stone Draw,Rút 20 lần trong Rút thẻ Nguyên bảo,,,,,,,100,
1408,,1002,2,4,4,29,300,,Fight in the normal stage 300 times,ต่อสู้ในด่านปกติ 300 ครั้ง,Fight in the normal stage 300 times,Chiến đấu ở ải bình thường 300 lần,,,,,,,100,10000
1409,,1002,2,4,,30,60,,Challenge 60 Hard Levels,ท้าทาย 60 ด่านยาก,Challenge 60 Hard Levels,Thử thách ải khó 60 lần,,,,,,,100,20000
1410,,1002,2,4,,85,30,,Complete the dispatch mission 30 times,ทำภารกิจส่งกำลัง 30 ครั้งสำเร็จ,Complete the dispatch mission 30 times,Hoàn thành nhiệm vụ điều phái 30 lần,,,,,,,50,
1411,,1002,2,4,,21,3000,,Spend 3000 Primogems,ใช้ 3000 หินอัญมณี,Spend 3000 Primogems,Tiêu 3000 Nguyên bảo,,,,,,,100,
1412,,1002,2,4,,67,7,,Clear Anbu Training Level 7,ผ่านการฝึกอบรมอันบู ชั้นที่ 7,Clear Anbu Training Level 7,Vượt Huấn luyện Anbu tầng 7,,,,,,,100,
1413,,1002,2,4,,86,6,{6=4},Complete S-rank dispatch mission 6 times,ทำภารกิจส่งกำลังระดับ S ให้สำเร็จ 6 ครั้ง,Complete S-rank dispatch mission 6 times,Hoàn thành nhiệm vụ điều phái bậc S 6 lần,,,,,,,100,
1501,,1002,2,5,4,17,3,,Logged in for a total of 3 days,เข้าสู่ระบบทั้งหมด 3 วัน,Logged in for a total of 3 days,Đăng nhập tổng cộng 3 ngày,,,,,,,50,
1502,,1002,2,5,,36,50,,Upgrade Ninja 50 times.,อัปเกรดนินจา 50 ครั้ง.,Upgrade Ninja 50 times.,Nâng cấp Ninja 50 lần.,,,,,,,50,strengthen-1
1503,,1002,2,5,,21,1000,,Spend 1000 Primogems,ใช้ 1000 เพชร,Spend 1000 Primogems,Tiêu 1000 Nguyên bảo,,,,,,,100,
1504,,1002,2,5,,43,50,,Arena Points: 50 points,คะแนนสนามประลอง: 50 คะแนน,Arena Points: 50 points,Điểm đấu trường: 50 điểm,,,,,,,50,
1505,,1002,2,5,,63,50000,,Accumulate 50000 Anbu Special Training points,สะสมคะแนนฝึกพิเศษ Anbu 50000 คะแนน,Accumulate 50000 Anbu Special Training points,Tích lũy 50000 điểm Đặc huấn Anbu,,,,,,,50,
1506,,1002,2,5,,55,20,,Donate 20 times,บริจาค 20 ครั้ง,Donate 20 times,Quyên góp 20 lần,,,,,,,50,
1507,,1002,2,5,,50,20,,Draw 20 times in the Gacha Spirit Stone Draw,หมุน 20 ครั้งในการสุ่มบัตรหินวิญญาณ,Draw 20 times in the Gacha Spirit Stone Draw,Rút 20 lần trong Rút thẻ Nguyên bảo,,,,,,,100,
1508,,1002,2,5,,29,300,,Fight in the normal stage 300 times,ต่อสู้ในด่านปกติ 300 ครั้ง,Fight in the normal stage 300 times,Chiến đấu ở ải bình thường 300 lần,,,,,,,100,10000
1509,,1002,2,5,,30,60,,Challenge 60 Hard Levels,ท้าทาย 60 ด่านยาก,Challenge 60 Hard Levels,Thử thách ải khó 60 lần,,,,,,,100,20000
1510,,1002,2,5,,85,30,,Complete the dispatch mission 30 times,ทำภารกิจส่งกำลัง 30 ครั้งสำเร็จ,Complete the dispatch mission 30 times,Hoàn thành nhiệm vụ điều phái 30 lần,,,,,,,50,
1511,,1002,2,5,,21,3000,,Spend 3000 Primogems,ใช้ 3000 หินอัญมณี,Spend 3000 Primogems,Tiêu 3000 Nguyên bảo,,,,,,,100,
1512,,1002,2,5,,67,7,,Clear Anbu Training Level 7,ผ่านการฝึกอบรมอันบู ชั้นที่ 7,Clear Anbu Training Level 7,Vượt Huấn luyện Anbu tầng 7,,,,,,,100,
1513,,1002,2,5,,86,6,{6=4},Complete S-rank dispatch mission 6 times,ทำภารกิจส่งกำลังระดับ S ให้สำเร็จ 6 ครั้ง,Complete S-rank dispatch mission 6 times,Hoàn thành nhiệm vụ điều phái bậc S 6 lần,,,,,,,100,
1601,,1002,2,6,4,17,3,,Logged in for a total of 3 days,เข้าสู่ระบบทั้งหมด 3 วัน,Logged in for a total of 3 days,Đăng nhập tổng cộng 3 ngày,,,,,,,50,
1602,,1002,2,6,,36,50,,Upgrade Ninja 50 times.,อัปเกรดนินจา 50 ครั้ง.,Upgrade Ninja 50 times.,Nâng cấp Ninja 50 lần.,,,,,,,50,strengthen-1
1603,,1002,2,6,,21,1000,,Spend 1000 Primogems,ใช้ 1000 เพชร,Spend 1000 Primogems,Tiêu 1000 Nguyên bảo,,,,,,,100,
1604,,1002,2,6,,43,50,,Arena Points: 50 points,คะแนนสนามประลอง: 50 คะแนน,Arena Points: 50 points,Điểm đấu trường: 50 điểm,,,,,,,50,
1605,,1002,2,6,,63,50000,,Accumulate 50000 Anbu Special Training points,สะสมคะแนนฝึกพิเศษ Anbu 50000 คะแนน,Accumulate 50000 Anbu Special Training points,Tích lũy 50000 điểm Đặc huấn Anbu,,,,,,,50,
1606,,1002,2,6,4,55,20,,Donate 20 times,บริจาค 20 ครั้ง,Donate 20 times,Quyên góp 20 lần,,,,,,,50,
1607,,1002,2,6,4,50,20,,Draw 20 times in the Gacha Spirit Stone Draw,หมุน 20 ครั้งในการสุ่มบัตรหินวิญญาณ,Draw 20 times in the Gacha Spirit Stone Draw,Rút 20 lần trong Rút thẻ Nguyên bảo,,,,,,,100,
1608,,1002,2,6,4,29,300,,Fight in the normal stage 300 times,ต่อสู้ในด่านปกติ 300 ครั้ง,Fight in the normal stage 300 times,Chiến đấu ở ải bình thường 300 lần,,,,,,,100,10000
1609,,1002,2,6,,30,60,,Challenge 60 Hard Levels,ท้าทาย 60 ด่านยาก,Challenge 60 Hard Levels,Thử thách ải khó 60 lần,,,,,,,100,20000
1610,,1002,2,6,,85,30,,Complete the dispatch mission 30 times,ทำภารกิจส่งกำลัง 30 ครั้งสำเร็จ,Complete the dispatch mission 30 times,Hoàn thành nhiệm vụ điều phái 30 lần,,,,,,,50,
1611,,1002,2,6,,21,3000,,Spend 3000 Primogems,ใช้ 3000 หินอัญมณี,Spend 3000 Primogems,Tiêu 3000 Nguyên bảo,,,,,,,100,
1612,,1002,2,6,,67,7,,Clear Anbu Training Level 7,ผ่านการฝึกอบรมอันบู ชั้นที่ 7,Clear Anbu Training Level 7,Vượt Huấn luyện Anbu tầng 7,,,,,,,100,
1613,,1002,2,6,,86,6,{6=4},Complete S-rank dispatch mission 6 times,ทำภารกิจส่งกำลังระดับ S ให้สำเร็จ 6 ครั้ง,Complete S-rank dispatch mission 6 times,Hoàn thành nhiệm vụ điều phái bậc S 6 lần,,,,,,,100,
1701,,1002,2,7,4,17,3,,Logged in for a total of 3 days,เข้าสู่ระบบทั้งหมด 3 วัน,Logged in for a total of 3 days,Đăng nhập tổng cộng 3 ngày,,,,,,,50,
1702,,1002,2,7,,36,50,,Upgrade Ninja 50 times.,อัปเกรดนินจา 50 ครั้ง.,Upgrade Ninja 50 times.,Nâng cấp Ninja 50 lần.,,,,,,,50,strengthen-1
1703,,1002,2,7,,21,1000,,Spend 1000 Primogems,ใช้ 1000 เพชร,Spend 1000 Primogems,Tiêu 1000 Nguyên bảo,,,,,,,100,
1704,,1002,2,7,,43,50,,Arena Points: 50 points,คะแนนสนามประลอง: 50 คะแนน,Arena Points: 50 points,Điểm đấu trường: 50 điểm,,,,,,,50,
1705,,1002,2,7,,63,50000,,Accumulate 50000 Anbu Special Training points,สะสมคะแนนฝึกพิเศษ Anbu 50000 คะแนน,Accumulate 50000 Anbu Special Training points,Tích lũy 50000 điểm Đặc huấn Anbu,,,,,,,50,
1706,,1002,2,7,,55,20,,Donate 20 times,บริจาค 20 ครั้ง,Donate 20 times,Quyên góp 20 lần,,,,,,,50,
1707,,1002,2,7,,50,20,,Draw 20 times in the Gacha Spirit Stone Draw,หมุน 20 ครั้งในการสุ่มบัตรหินวิญญาณ,Draw 20 times in the Gacha Spirit Stone Draw,Rút 20 lần trong Rút thẻ Nguyên bảo,,,,,,,100,
1708,,1002,2,7,,29,300,,Fight in the normal stage 300 times,ต่อสู้ในด่านปกติ 300 ครั้ง,Fight in the normal stage 300 times,Chiến đấu ở ải bình thường 300 lần,,,,,,,100,10000
1709,,1002,2,7,,30,60,,Challenge 60 Hard Levels,ท้าทาย 60 ด่านยาก,Challenge 60 Hard Levels,Thử thách ải khó 60 lần,,,,,,,100,20000
1710,,1002,2,7,4,85,30,,Complete the dispatch mission 30 times,ทำภารกิจส่งกำลัง 30 ครั้งสำเร็จ,Complete the dispatch mission 30 times,Hoàn thành nhiệm vụ điều phái 30 lần,,,,,,,50,
1711,,1002,2,7,4,21,3000,,Spend 3000 Primogems,ใช้ 3000 หินอัญมณี,Spend 3000 Primogems,Tiêu 3000 Nguyên bảo,,,,,,,100,
